ID	//备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID,3：是否拥有某道具,4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	dlc版本	关卡倒计时	是否直接进入剧情（1直接进入）	是否返回编队界面（1返回，不配进入下一关）	是否使用玩家最后使用的编队（1使用，不配不使用）	点击下一关返回章节列表（1返回，不配进入下一关）	能力适应阶段ID，对应level_adaptation.txt表	BuffEx
5407	DLC7主线-Act7	0	5407	1	{{2,5427}}	{0,0}	{{30,20},{30,40},{30,60}}	{400121302,4001211,400111601,4001212,5001203,5001208,5001204}	1	0			0	0	5428			40077		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}		1803050	DLC7TASK/Dlc7_Act7_task.Dlc7_Act7_task	7				1			
5408	DLC7主线-Act8	0	5408	1	{{2,5428}}	{0,0}	{{1,300},{7,1},{9}}	{6001208}	1	0			0	0	5429			40078		{}	{7077}					{{4,3,2,1,50},{5,29,3,2,5}}	1804136	1803051	DLC7TASK/Dlc7_Act8_task.Dlc7_Act8_task	7				1			
																																					
5421	DLC7主线-Ep1	7	50000	1	{{1,10}}	{0,0}							0	0	5422	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep1.Dlc7_Task_Ep1	7		1					
5422	DLC7主线-Ep2	7	50000	1	{{2,5421}}	{0,0}							0	0	5401	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep2.Dlc7_Task_Ep2	7		1					
5423	DLC7主线-Ep3	7	50000	1	{{2,5401}}	{0,0}							0	0	5402	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep3.Dlc7_Task_Ep3	7		1					
5424	DLC7主线-Ep4	7	50000	1	{{2,5403}}	{0,0}							0	0	5425	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep4.Dlc7_Task_Ep4	7		1					
5425	DLC7主线-Ep5	7	50000	1	{{2,5424}}	{0,0}							0	0	5404	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep5.Dlc7_Task_Ep5	7		1					
5426	DLC7主线-Ep6	7	50000	1	{{2,5405}}	{0,0}							0	0	5406	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep6.Dlc7_Task_Ep6	7		1					
5427	DLC7主线-Ep7	7	50000	1	{{2,5406}}	{0,0}							0	0	5407	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep7.Dlc7_Task_Ep7	7		1					
5428	DLC7主线-Ep8	7	50000	1	{{2,5407}}	{0,0}							0	0	5408	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep8.Dlc7_Task_Ep8	7		1					
5429	DLC7主线-Ep9	7	50000	1	{{2,5408}}	{0,0}							0	0	0	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_Ep9.Dlc7_Task_Ep9	7		1					
																																					
5431	DLC7主线-St1	2	50000	1	{{2,5422}}	{0,0}							0	0	0	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_St1.Dlc7_Task_St1	7		1					
5432	DLC7主线-St2	2	50000	1	{{2,5423}}	{0,0}							0	0	0	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_St2.Dlc7_Task_St2	7		1					
5433	DLC7主线-St3	2	50000	1	{{2,5425}}	{0,0}							0	0	0	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_St3.Dlc7_Task_St3	7		1					
5434	DLC7主线-St4	2	50000	1	{{2,5426}}	{0,0}							0	0	0	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_St4.Dlc7_Task_St4	7		1					
5435	DLC7主线-St5	2	50000	1	{{2,5429}}	{0,0}							0	0	0	0	0				{7078}			{{4,3,2,1,20},{5,29,3,2,5}}					DLC7TASK/Dlc7_Task_St5.Dlc7_Task_St5	7		1					
																																					
5450	DLC7_复刷-01	0	5450	1	{{1,20}}	{0,14}		{4001211,4001212,4001213}	3	0			1	0	5451	14				{}	{7071}	{7071}		{{5,29,3,1,6}}		{{5,29,3,1,6}}		1803048	DLC7Task/RepeatLevel/DLC7_Repeat01.DLC7_Repeat01	7					1		
5451	DLC7_复刷-02	0	5451	1	{{2,5450}}	{0,16}		{4001211,4001212,4001213}	3	0			1	0	5452	16				{}	{7072}	{7072}		{{5,29,3,1,7}}		{{5,29,3,1,7}}		1803048	DLC7Task/RepeatLevel/DLC7_Repeat01.DLC7_Repeat01	7					1		
5452	DLC7_复刷-03	0	5452	1	{{2,5451}}	{0,18}		{4001211,4001212,4001213}	3	0			1	0	5453	18				{}	{7073}	{7073}		{{5,29,3,1,8}}		{{5,29,3,1,8}}		1803048	DLC7Task/RepeatLevel/DLC7_Repeat01.DLC7_Repeat01	7					1		
5453	DLC7_复刷-04	0	5453	1	{{2,5452}}	{0,20}		{4001211,4001212,4001213}	3	0			1	0	5454	20				{}	{7074}	{7074}		{{5,29,3,1,9}}		{{5,29,3,1,9}}		1803048	DLC7Task/RepeatLevel/DLC7_Repeat01.DLC7_Repeat01	7					1		
5454	DLC7_复刷-05	0	5454	1	{{2,5453}}	{0,24}		{4001211,4001212,4001213}	3	0			1	0	5455	24				{}	{7075}	{7075}		{{5,29,3,1,11}}		{{5,29,3,1,11}}		1803048	DLC7Task/RepeatLevel/DLC7_Repeat01.DLC7_Repeat01	7					1		
5455	DLC7_复刷-06	0	5455	1	{{2,5454}}	{0,30}		{4001211,4001212,4001213}	3	0			1	0		30				{}	{7076}	{7076}		{{5,29,3,1,15}}		{{5,29,3,1,15}}		1803048	DLC7Task/RepeatLevel/DLC7_Repeat01.DLC7_Repeat01	7					1		
																																					
5600	DLC8_复刷-01	0	5600	1	{{1,20}}	{0,14}		{400150601,400130102,400130402,400250601}	3	0			1	0	5601	14				{}	{7091}	{7091}		{{5,29,4,1,6}}		{{5,29,4,1,6}}		1803056	DLC8Task/RepeatLevel/DLC8_Repeat01.DLC8_Repeat01	8					1		
5601	DLC8_复刷-02	0	5600	1	{{2,5600}}	{0,16}		{400150601,400130102,400130402,400250601}	3	0			1	0	5602	16				{}	{7092}	{7092}		{{5,29,4,1,7}}		{{5,29,4,1,7}}		1803056	DLC8Task/RepeatLevel/DLC8_Repeat01.DLC8_Repeat01	8					1		
5602	DLC8_复刷-03	0	5600	1	{{2,5601}}	{0,18}		{400150601,400130102,400130402,400250601}	3	0			1	0	5603	18				{}	{7093}	{7093}		{{5,29,4,1,8}}		{{5,29,4,1,8}}		1803056	DLC8Task/RepeatLevel/DLC8_Repeat01.DLC8_Repeat01	8					1		
5603	DLC8_复刷-04	0	5600	1	{{2,5602}}	{0,20}		{400150601,400130102,400130402,400250601}	3	0			1	0	5604	20				{}	{7094}	{7094}		{{5,29,4,1,9}}		{{5,29,4,1,9}}		1803056	DLC8Task/RepeatLevel/DLC8_Repeat01.DLC8_Repeat01	8					1		
5604	DLC8_复刷-05	0	5600	1	{{2,5603}}	{0,24}		{400150601,400130102,400130402,400250601}	3	0			1	0	5605	24				{}	{7095}	{7095}		{{5,29,4,1,11}}		{{5,29,4,1,11}}		1803056	DLC8Task/RepeatLevel/DLC8_Repeat01.DLC8_Repeat01	8					1		
5605	DLC8_复刷-06	0	5600	1	{{2,5604}}	{0,30}		{400150601,400130102,400130402,400250601}	3	0			1	0		30				{}	{7096}	{7096}		{{5,29,4,1,15}}		{{5,29,4,1,15}}		1803056	DLC8Task/RepeatLevel/DLC8_Repeat01.DLC8_Repeat01	8					1		
																																					
5700	DLC9_复刷-01	0	5700	1	{{1,20}}	{0,14}		{400111201,4003103,4001116,4001106,400110201,4001104}	3	0			1	0	5701	14				{}	{7101}	{7101}		{{5,29,5,1,6}}		{{5,29,5,1,6}}		1803062	DLC9Task/RepeatLevel/DLC9_Repeat01.DLC9_Repeat01	9					1		
5701	DLC9_复刷-02	0	5700	1	{{2,5700}}	{0,16}		{400111201,4003103,4001116,4001106,400110201,4001104}	3	0			1	0	5702	16				{}	{7102}	{7102}		{{5,29,5,1,7}}		{{5,29,5,1,7}}		1803062	DLC9Task/RepeatLevel/DLC9_Repeat01.DLC9_Repeat01	9					1		
5702	DLC9_复刷-03	0	5700	1	{{2,5701}}	{0,18}		{400111201,4003103,4001116,4001106,400110201,4001104}	3	0			1	0	5703	18				{}	{7103}	{7103}		{{5,29,5,1,8}}		{{5,29,5,1,8}}		1803062	DLC9Task/RepeatLevel/DLC9_Repeat01.DLC9_Repeat01	9					1		
5703	DLC9_复刷-04	0	5700	1	{{2,5702}}	{0,20}		{400111201,4003103,4001116,4001106,400110201,4001104}	3	0			1	0	5704	20				{}	{7104}	{7104}		{{5,29,5,1,9}}		{{5,29,5,1,9}}		1803062	DLC9Task/RepeatLevel/DLC9_Repeat01.DLC9_Repeat01	9					1		
5704	DLC9_复刷-05	0	5700	1	{{2,5703}}	{0,24}		{400111201,4003103,4001116,4001106,400110201,4001104}	3	0			1	0	5705	24				{}	{7105}	{7105}		{{5,29,5,1,11}}		{{5,29,5,1,11}}		1803062	DLC9Task/RepeatLevel/DLC9_Repeat01.DLC9_Repeat01	9					1		
5705	DLC9_复刷-06	0	5700	1	{{2,5704}}	{0,30}		{400111201,4003103,4001116,4001106,400110201,4001104}	3	0			1	0		30				{}	{7106}	{7106}		{{5,29,5,1,15}}		{{5,29,5,1,15}}		1803062	DLC9Task/RepeatLevel/DLC9_Repeat01.DLC9_Repeat01	9					1		
																																					
8000	DLC10_复刷-01	0	8000	1	{{1,20}}	{0,14}		{4002003,4001005,4003006,4001002,4002002,4003004}	3	0			1	0	8001	14				{}	{7151}	{7151}		{{5,29,6,1,6}}		{{5,29,6,1,6}}		1803083	DLC10Task/RepeatLevel/DLC10_Repeat01.DLC10_Repeat01	10					1		
8001	DLC10_复刷-02	0	8000	1	{{2,8000}}	{0,16}		{4002003,4001005,4003006,4001002,4002002,4003004}	3	0			1	0	8002	16				{}	{7152}	{7152}		{{5,29,6,1,7}}		{{5,29,6,1,7}}		1803083	DLC10Task/RepeatLevel/DLC10_Repeat01.DLC10_Repeat01	10					1		
8002	DLC10_复刷-03	0	8000	1	{{2,8001}}	{0,18}		{4002003,4001005,4003006,4001002,4002002,4003004}	3	0			1	0	8003	18				{}	{7153}	{7153}		{{5,29,6,1,8}}		{{5,29,6,1,8}}		1803083	DLC10Task/RepeatLevel/DLC10_Repeat01.DLC10_Repeat01	10					1		
8003	DLC10_复刷-04	0	8000	1	{{2,8002}}	{0,20}		{4002003,4001005,4003006,4001002,4002002,4003004}	3	0			1	0	8004	20				{}	{7154}	{7154}		{{5,29,6,1,9}}		{{5,29,6,1,9}}		1803083	DLC10Task/RepeatLevel/DLC10_Repeat01.DLC10_Repeat01	10					1		
8004	DLC10_复刷-05	0	8000	1	{{2,8003}}	{0,24}		{4002003,4001005,4003006,4001002,4002002,4003004}	3	0			1	0	8005	24				{}	{7155}	{7155}		{{5,29,6,1,11}}		{{5,29,6,1,11}}		1803083	DLC10Task/RepeatLevel/DLC10_Repeat01.DLC10_Repeat01	10					1		
8005	DLC10_复刷-06	0	8000	1	{{2,8004}}	{0,30}		{4002003,4001005,4003006,4001002,4002002,4003004}	3	0			1	0		30				{}	{7156}	{7156}		{{5,29,6,1,15}}		{{5,29,6,1,15}}		1803083	DLC10Task/RepeatLevel/DLC10_Repeat01.DLC10_Repeat01	10					1		
																																					
8201	DLC11主线-Act1	0	8201	1	{{2,8232}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101,400130601,500130701,400130301,500130901,500130801}	1	0			0	0	8233			8201		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803086	DLC11Task/DLC11_Act1_task.DLC11_Act1_task	11	600			1			
8202	DLC11主线-Act2	0	8202	1	{{2,8233}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101,400130601,500130701,500130201}	1	0			0	0	8234			8202		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803086	DLC11Task/DLC11_Act2_task.DLC11_Act2_task	11	600			1			
8203	DLC11主线-Act3	0	8203	1	{{2,8234}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101,400130301,4001310}	1	0			0	0	8235			8203		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803086	DLC11Task/DLC11_Act3_task.DLC11_Act3_task	11	600			1			
8204	DLC11主线-Act4	0	8204	1	{{2,8235}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101}	1	0			0	0	8236			8204		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803086	DLC11Task/DLC11_Act4_task.DLC11_Act4_task	11	600			1			
8205	DLC11主线-Act5	0	8205	1	{{2,8236}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101,400130601,4001310,5001311}	1	0			0	0	8237			8205		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803086	DLC11Task/DLC11_Act5_task.DLC11_Act5_task	11	600			1			
8206	DLC11主线-Act6	0	8206	1	{{2,8237}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{}	1	0			0	0	8238			8206		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803086	DLC11Task/DLC11_Act6_task.DLC11_Act6_task	11	600			1			
8207	DLC11主线-Act7	0	8207	1	{{2,8238}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101,400130601,400130301,4001310,500130701,500130901,500130801}	1	0			0	0	8239			8207		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803087	DLC11Task/DLC11_Act7_task.DLC11_Act7_task	11	600			1			
8208	DLC11主线-Act8	0	8208	1	{{2,8239}}	{0,0}	{{32,10000},{32,15000},{32,20000}}	{400130401,400130101,400130601,400130301,500130701,500130901,500130801}	1	0			0	0	8240			8208		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}		1803087	DLC11Task/DLC11_Act8_task.DLC11_Act8_task	11	600			1			
8209	DLC11主线-Act9	1	8209	1	{{2,8240}}	{0,0}	{{1,480},{7,1},{9}}	{6001303}	1	0			0	0	8241			8209		{}	{7167}					{{4,3,2,1,50},{5,29,7,2,5}}	1804136	1803088	DLC11Task/DLC11_Act9_task.DLC11_Act9_task	11	600			1			
																																					
8231	DLC11主线-Ep1	7	50000	1	{{1,10}}	{0,0}							0	0	8232	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep1.Dlc11_Task_Ep1	11		1					
8232	DLC11主线-Ep2	7	50000	1	{{2,8231}}	{0,0}							0	0	8201	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep2.Dlc11_Task_Ep2	11		1					
8233	DLC11主线-Ep3	7	50000	1	{{2,8201}}	{0,0}							0	0	8202	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep3.Dlc11_Task_Ep3	11		1					
8234	DLC11主线-Ep4	7	50000	1	{{2,8202}}	{0,0}							0	0	8203	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep4.Dlc11_Task_Ep4	11		1					
8235	DLC11主线-Ep5	7	50000	1	{{2,8203}}	{0,0}							0	0	8204	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep5.Dlc11_Task_Ep5	11		1					
8236	DLC11主线-Ep6	7	50000	1	{{2,8204}}	{0,0}							0	0	8205	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep6.Dlc11_Task_Ep6	11		1					
8237	DLC11主线-Ep7	7	50000	1	{{2,8205}}	{0,0}							0	0	8206	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep7.Dlc11_Task_Ep7	11		1					
8238	DLC11主线-Ep8	7	50000	1	{{2,8206}}	{0,0}							0	0	8207	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep8.Dlc11_Task_Ep8	11		1					
8239	DLC11主线-Ep9	7	50000	1	{{2,8207}}	{0,0}							0	0	8208	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep9.Dlc11_Task_Ep9	11		1					
8240	DLC11主线-Ep10	7	50000	1	{{2,8208}}	{0,0}							0	0	8209	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep10.Dlc11_Task_Ep10	11		1					
8241	DLC11主线-Ep11	7	50000	1	{{2,8209}}	{0,0}							0	0	0	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_Ep11.Dlc11_Task_Ep11	11		1					
																																					
8251	DLC11主线-St1	2	50000	1	{{2,8236}}	{0,0}							0	0	0	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_St1.Dlc11_Task_St1	11		1					
8252	DLC11主线-St2	2	50000	1	{{2,8238}}	{0,0}							0	0	0	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_St2.Dlc11_Task_St2	11		1					
8253	DLC11主线-St3	2	50000	1	{{2,8241}}	{0,0}							0	0	0	0	0				{7168}			{{4,3,2,1,20},{5,29,7,2,5}}					DLC11Task/Dlc11_Task_St3.Dlc11_Task_St3	11		1					
																																					
8211	DLC11_复刷-01	0	8211	1	{{1,20}}	{0,14}		{4001310,400130101,400130601}	3	0			1	0	8212	14				{}	{7161}	{7161}		{{5,29,7,1,6}}		{{5,29,7,1,6}}		1803086	DLC11Task/RepeatLevel/DLC11_Repeat_Task.DLC11_Repeat_Task	11	600				1		
8212	DLC11_复刷-02	0	8212	1	{{2,8211}}	{0,16}		{4001310,400130101,400130601}	3	0			1	0	8213	16				{}	{7162}	{7162}		{{5,29,7,1,7}}		{{5,29,7,1,7}}		1803086	DLC11Task/RepeatLevel/DLC11_Repeat_Task.DLC11_Repeat_Task	11	600				1		
8213	DLC11_复刷-03	0	8213	1	{{2,8212}}	{0,18}		{4001310,400130101,400130601}	3	0			1	0	8214	18				{}	{7163}	{7163}		{{5,29,7,1,8}}		{{5,29,7,1,8}}		1803086	DLC11Task/RepeatLevel/DLC11_Repeat_Task.DLC11_Repeat_Task	11	600				1		
8214	DLC11_复刷-04	0	8214	1	{{2,8213}}	{0,20}		{4001310,400130101,400130601}	3	0			1	0	8215	20				{}	{7164}	{7164}		{{5,29,7,1,9}}		{{5,29,7,1,9}}		1803086	DLC11Task/RepeatLevel/DLC11_Repeat_Task.DLC11_Repeat_Task	11	600				1		
8215	DLC11_复刷-05	0	8215	1	{{2,8214}}	{0,24}		{4001310,400130101,400130601}	3	0			1	0	8216	24				{}	{7165}	{7165}		{{5,29,7,1,11}}		{{5,29,7,1,11}}		1803086	DLC11Task/RepeatLevel/DLC11_Repeat_Task.DLC11_Repeat_Task	11	600				1		
8216	DLC11_复刷-06	0	8216	1	{{2,8215}}	{0,30}		{4001310,400130101,400130601}	3	0			1	0		30				{}	{7166}	{7166}		{{5,29,7,1,15}}		{{5,29,7,1,15}}		1803086	DLC11Task/RepeatLevel/DLC11_Repeat_Task.DLC11_Repeat_Task	11	600				1		
																																					
8400	DLC23_复刷-01	0	8400	1	{{1,20}}	{0,14}		{400260301,4002604,4002605,4003002}	3	0			1	0	8401	14				{}	{7171}	{7171}		{{5,29,8,1,6}}		{{5,29,8,1,6}}		1803090	DLC23Task/RepeatLevel/DLC23_Repeat01.DLC23_Repeat01	23					1		
8401	DLC23_复刷-02	0	8400	1	{{2,8400}}	{0,16}		{400260301,4002604,4002605,4003002}	3	0			1	0	8402	16				{}	{7172}	{7172}		{{5,29,8,1,7}}		{{5,29,8,1,7}}		1803090	DLC23Task/RepeatLevel/DLC23_Repeat01.DLC23_Repeat01	23					1		
8402	DLC23_复刷-03	0	8400	1	{{2,8401}}	{0,18}		{400260301,4002604,4002605,4003002}	3	0			1	0	8403	18				{}	{7173}	{7173}		{{5,29,8,1,8}}		{{5,29,8,1,8}}		1803090	DLC23Task/RepeatLevel/DLC23_Repeat01.DLC23_Repeat01	23					1		
8403	DLC23_复刷-04	0	8400	1	{{2,8402}}	{0,20}		{400260301,4002604,4002605,4003002}	3	0			1	0	8404	20				{}	{7174}	{7174}		{{5,29,8,1,9}}		{{5,29,8,1,9}}		1803090	DLC23Task/RepeatLevel/DLC23_Repeat01.DLC23_Repeat01	23					1		
8404	DLC23_复刷-05	0	8400	1	{{2,8403}}	{0,24}		{400260301,4002604,4002605,4003002}	3	0			1	0	8405	24				{}	{7175}	{7175}		{{5,29,8,1,11}}		{{5,29,8,1,11}}		1803090	DLC23Task/RepeatLevel/DLC23_Repeat01.DLC23_Repeat01	23					1		
8405	DLC23_复刷-06	0	8400	1	{{2,8404}}	{0,30}		{400260301,4002604,4002605,4003002}	3	0			1	0		30				{}	{7176}	{7176}		{{5,29,8,1,15}}		{{5,29,8,1,15}}		1803090	DLC23Task/RepeatLevel/DLC23_Repeat01.DLC23_Repeat01	23					1		
																																					
8420	DLC24_复刷-01	0	8420	1	{{1,20}}	{0,14}		{4002603,4001602,400300202}	3	0			1	0	8421	14				{}	{7181}	{7181}		{{5,29,9,1,6}}		{{5,29,9,1,6}}		1803090	DLC24Task/RepeatLevel/DLC24_Repeat01.DLC24_Repeat01	24	600				1		
8421	DLC24_复刷-02	0	8420	1	{{2,8420}}	{0,16}		{4002603,4001602,400300202}	3	0			1	0	8422	16				{}	{7182}	{7182}		{{5,29,9,1,7}}		{{5,29,9,1,7}}		1803090	DLC24Task/RepeatLevel/DLC24_Repeat01.DLC24_Repeat01	24	600				1		
8422	DLC24_复刷-03	0	8420	1	{{2,8421}}	{0,18}		{4002603,4001602,400300202}	3	0			1	0	8423	18				{}	{7183}	{7183}		{{5,29,9,1,8}}		{{5,29,9,1,8}}		1803090	DLC24Task/RepeatLevel/DLC24_Repeat01.DLC24_Repeat01	24	600				1		
8423	DLC24_复刷-04	0	8420	1	{{2,8422}}	{0,20}		{4002603,4001602,400300202}	3	0			1	0	8424	20				{}	{7184}	{7184}		{{5,29,9,1,9}}		{{5,29,9,1,9}}		1803090	DLC24Task/RepeatLevel/DLC24_Repeat01.DLC24_Repeat01	24	600				1		
8424	DLC24_复刷-05	0	8420	1	{{2,8423}}	{0,24}		{4002603,4001602,400300202}	3	0			1	0	8425	24				{}	{7185}	{7185}		{{5,29,9,1,11}}		{{5,29,9,1,11}}		1803090	DLC24Task/RepeatLevel/DLC24_Repeat01.DLC24_Repeat01	24	600				1		
8425	DLC24_复刷-06	0	8420	1	{{2,8424}}	{0,30}		{4002603,4001602,400300202}	3	0			1	0		30				{}	{7186}	{7186}		{{5,29,9,1,15}}		{{5,29,9,1,15}}		1803090	DLC24Task/RepeatLevel/DLC24_Repeat01.DLC24_Repeat01	24	600				1		
																																					
8426	DLC25_复刷-01	0	11430	1	{{1,20}}	{0,14}		{4002603,4001602,4002604,4002605,400300202}	3	0			1	0	8427	14				{}	{7191}	{7191}		{{5,29,10,1,6}}		{{5,29,10,1,6}}		1803099	DLC25Task/RepeatLevel/DLC25_Repeat01.DLC25_Repeat01	25	600				1		
8427	DLC25_复刷-02	0	11430	1	{{2,8426}}	{0,16}		{4002603,4001602,4002604,4002605,400300202}	3	0			1	0	8428	16				{}	{7192}	{7192}		{{5,29,10,1,7}}		{{5,29,10,1,7}}		1803099	DLC25Task/RepeatLevel/DLC25_Repeat01.DLC25_Repeat01	25	600				1		
8428	DLC25_复刷-03	0	11430	1	{{2,8427}}	{0,18}		{4002603,4001602,4002604,4002605,400300202}	3	0			1	0	8429	18				{}	{7193}	{7193}		{{5,29,10,1,8}}		{{5,29,10,1,8}}		1803099	DLC25Task/RepeatLevel/DLC25_Repeat01.DLC25_Repeat01	25	600				1		
8429	DLC25_复刷-04	0	11430	1	{{2,8428}}	{0,20}		{4002603,4001602,4002604,4002605,400300202}	3	0			1	0	8430	20				{}	{7194}	{7194}		{{5,29,10,1,9}}		{{5,29,10,1,9}}		1803099	DLC25Task/RepeatLevel/DLC25_Repeat01.DLC25_Repeat01	25	600				1		
8430	DLC25_复刷-05	0	11430	1	{{2,8429}}	{0,24}		{4002603,4001602,4002604,4002605,400300202}	3	0			1	0	8446	24				{}	{7195}	{7195}		{{5,29,10,1,11}}		{{5,29,10,1,11}}		1803099	DLC25Task/RepeatLevel/DLC25_Repeat01.DLC25_Repeat01	25	600				1		
8446	DLC25_复刷-06	0	11430	1	{{2,8430}}	{0,30}		{4002603,4001602,4002604,4002605,400300202}	3	0			1	0		30				{}	{7196}	{7196}		{{5,29,10,1,15}}		{{5,29,10,1,15}}		1803099	DLC25Task/RepeatLevel/DLC25_Repeat01.DLC25_Repeat01	25	600				1		
																																					
8500	Dlc26主线-Act1	0	8500	1	{{2,8510}}	{0,0}	{{1,300},{7,1},{9}}	{4002006,4001017,4001005,4001007,4002003,5001019,5001001,4002004,4002002}	1	0			0	0	8501			8500		{}	{7207}					{{4,3,2,1,50},{5,29,11,2,5}}		1803105	DLC26Task/DLC26_Act1_task.DLC26_Act1_task	26	600			1			
8501	Dlc26主线-Act2	0	8501	1	{{2,8500}}	{0,0}	{{1,300},{7,1},{9}}	{4002007,4001017,4001005,4001002,4002003}	1	0			0	0	8511			8501		{}	{7207}					{{4,3,2,1,50},{5,29,11,2,5}}		1803106	DLC26Task/DLC26_Act2_task.DLC26_Act2_task	26	600			1			
8502	Dlc26主线-Act3	0	8502	1	{{2,8511}}	{0,0}	{{1,300},{7,1},{9}}	{4001007,4001004,4001005,4001006,5001019,5001010,4002002,4001003,4001602,4001002}	1	0			0	0	8503			8502		{}	{7207}					{{4,3,2,1,50},{5,29,11,2,5}}		1803107	DLC26Task/DLC26_Act3_task.DLC26_Act3_task	26	600			1			
8503	Dlc26主线-Act4	0	8503	1	{{2,8502}}	{0,0}	{{1,300},{7,1},{9}}	{4001004,5001001,4002007,4002003,4002002,4001005,4003006,4001002,5001009}	1	0			0	0	8512			8503		{}	{7207}					{{4,3,2,1,50},{5,29,11,2,5}}		1803107	DLC26Task/DLC26_Act4_task.DLC26_Act4_task	26	600			1			
