	注释	血量（破墙值）	血量ID	强度血量ID	血量倍数	攻击ID	强度攻击ID	攻击倍数	护盾类型	护盾ID	强度护盾ID	护盾倍数	防御ID	强度防御ID	防御倍数	护盾回复间隔	充能延迟	充能速率	暴击率	暴击加成	动能抗性	高热抗性	低温抗性	电击抗性	特异抗性	场地伤害抗性	群伤减免系数	装甲值	速度加成	气绝时间	硬直容量	硬直衰减延迟	硬直恢复间隔	硬直恢复速度（百分比/s）	硬直触发间隔	破墙值	仇恨系数（威胁值）	威胁值衰减比例	效果系数	控制保护	基础保护时间	保护时间系数	保护延长时间	控制免疫阈值	控制时间上限
5043	精英 捕蝇草	0		103	{{1,13.24},{80,10.35},{81,10.35}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5044	精英 幻影部队高速近战	0		103	{{1,10},{80,7.65},{81,7.65}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5045	精英 幻影部队强化远程	0		103	{{1,15.64},{80,9.2},{81,9.2}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5046	精英部位 幻影部队强化远程部位	600			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5047	精英 幻影部队高速近战（Boss召唤）	0		103	{{1,5},{80,4.71},{81,4.71}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5048	精英 幻影部队赫尔墨斯	0		103	40		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
5049	精英 幻影部队强化远程（Boss召唤）	0		103	{{1,6.44},{80,3.79},{81,3.79}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5050	精英 空壳遗迹守卫	0		103	{{1,13.24},{80,10.35},{81,10.35}}		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5051	部位 空壳遗迹守卫	750			0		201	1			103	0		302	1	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5052	精英 猛火	0		103	{{1,15.56},{80,11.36},{81,11.36}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5053	精英 重壁	0		103	{{1,15.56},{80,11.36},{81,11.36}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5054	召唤物 猛火导弹舱	300			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5055	精英部位 猛火导弹舱发射器	1200			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5056	精英 天启对策机	0		103	{{1,14.4},{80,10.16},{81,10.16}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5057	召唤物 反应机	600			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5058	精英 巴伦支精英斥候	0		103	{{1,15},{80,10.6},{81,10.6}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5059	精英部位 巴伦支精英斥候1	600			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5060	召唤物 巴伦支精英斥候	0		101	{{1,2},{80,2.94},{81,2.94}}		201	1			101	0		301	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	5	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5061	精英 自走炮	0		103	{{1,7.68},{80,6.21},{81,6.21}}		201	1			103	0		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5062	精英 播种使徒	0		103	{{1,3.7},{80,3.8},{81,3.8}}		201	1			103	{{1,11.3},{80,11.5},{81,11.5}}		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5063	精英 赐福者	0		103	{{1,6.6},{80,6.2},{81,6.2}}		201	1			103	{{1,18.4},{80,17.1},{81,17.1}}		302	1	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5064	精英 真神室女	0		103	{{1,25.09},{80,21.17},{81,21.17}}		201	1			103	0		302	1	0	0	0	0	0	-10	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5065	精英 太阳伞	0		103	{{1,25.09},{80,21.17},{81,21.17}}		201	1			103	0		302	1	0	0	0	0	0	40	0	-20	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5066	精英部位 太阳伞光束屏障	600			0		201	1		0		0	0		1	0	0	0	0	0	40	0	-20	0	0	-100	100	-1	0	3	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5067	复生石人	0		103	{{1,9.8},{80,12.9},{81,12.9}}		201	1			103	{{1,29.6},{80,38.8},{81,38.8}}		302	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5068	天枢无人机	0		103	{{1,16.8},{80,21.6},{81,21.6}}		201	1			103	0		302	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5069	凶弹	0		103	{{1,16.8},{80,21.6},{81,21.6}}		201	1			103	0		302	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5070	铁娘子	0		103	{{1,23.9},{80,16.5},{81,16.5}}		201	1			103	0		302	1	0	0	0	0	0	20	-40	0	0	0	-100	100	-1	0	3	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5071	精英 卫城一型机兵	0		103	{{1,25},{80,16.47},{81,16.47}}		201	1			103	0		302	1	0	0	0	0	0	0	0	20	20	-20	-100	100	-1	0	0	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5072	精英 卫城二型机兵	0		103	{{1,25},{80,16.47},{81,16.47}}		201	1			103	0		302	1	0	0	0	0	0	0	0	20	20	-20	-100	100	-1	0	0	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5073	精英 螺旋小子	0		103	{{1,32.5},{80,24.7},{81,24.7}}		201	1			103	0		302	1	0	0	0	0	0	0	0	0	0	0	-100	100	-1	0	0	1500	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5074	精英 格伦德尔（蓝色NPC）	0		103	{{1,16.32},{80,10.59},{81,10.59}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5075	精英 格伦德尔（红色NPC）	0		103	{{1,16.32},{80,10.59},{81,10.59}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5076	精英 畸态异化人	0		103	{{1,37.65},{80,21.65},{81,21.65}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
5077	精英 晶态异化人	0		103	{{1,37.65},{80,21.65},{81,21.65}}		201	1			103	0		302	1	0	0	0	0	0	-5	0	-10	-5	-5	-100	100	-1	0	0	1000	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
																																													
6001	BOSS XM2	0		104	69.34		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6002	BOSS 约瑟夫	0		104	59.69		201	1			104	0		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6003	BOSS 波伏娃13	0		104	34.28		201	1			104	12.86		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	10	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6004	BOSS 海拉	0		104	66.65		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6005	BOSS 加文	0		104	46		201	1			104	27.6		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6006	BOSS 尤弥尔	0		104	60.61		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	5	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6007	BOSS 新手海拉	0		104	150		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6008	BOSS 挑战-波伏娃	0		104	34.28		201	1			104	25.71		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6009	BOSS 萨特	0		104	34.28		201	1			104	38.57		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6010	BOSS刻耳柏洛斯	0		104	55.2		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6011	BOSS刻耳柏洛斯的小狗	0		104	4.71		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	10	1	2	2	10
6012	BOSS 第九章 尤弥尔	0		104	45.46		201	1			104	11.36		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6013	BOSS 爱思特	0		104	38.97		201	1			104	0		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6014	BOSS 祟	0		104	105.9		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6015	BOSS 弱化XM2	0		104	34.67		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6016	Boss 威尔安德森	0		104	39.04		201	1			104	0		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	8	1500	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6017	BOSS MCTeaPot	0		104	57.6		201	1			104	0		303	1	0	0	0	0	0	0	-5	0	-10	-10	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6018	BOSS MCTeaPot召唤物1	150			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6019	BOSS MCTeaPot召唤物2	225			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6020	BOSS 新-约瑟夫	0		104	38.82		201	0.8			104	0		303	1	0	0	0	0	0	-10	-10	-5	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6021	BOSS 新-约瑟夫导弹舱	150			0		201	1		0		0	0		0	0	0	0	0	0	-10	-10	-5	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6022	BOSS 弹幕方块1型	0		104	26.66		201	1			104	119.98		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	7	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6023	Boss火工头陀	0		104	85		201	1			104	0		303	1	0	0	0	0	0	-5	0	-10	-5	-5	0	100	-1	0	5	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6024	BOSS 二律背反的盟约	0		104	65		201	1			104	0		303	1	0	0	0	0	0	40	0	0	0	-20	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6025	BOSS 二律背反的盟约可破坏部件	700			0		201	1		0		0	0		0	0	0	0	0	0	40	0	0	0	-20	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6026	BOSS 火祟	0		104	105.9		201	1			104	0		303	1	0	0	0	0	0	-5	80	-10	-5	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6027	BOSS 冰祟	0		104	105.9		201	1			104	0		303	1	0	0	0	0	0	-5	0	80	-5	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6028	Boss 凯茜娅覆霜	0		104	20		201	1			104	40		303	1	0	0	0	0	0	-40	0	60	0	0	-100	100	-1	0	7	700	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6029	Boss 威尔安德森（亚种）	0		104	35		201	1			104	0		303	1	0	0	0	0	0	-40	60	0	0	0	0	100	-1	0	8	1500	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6030	Boss 恒沙之眼	1000		104	35		201	1			104	0		303	1	0	0	0	0	0	-50	60	0	0	0	0	100	-1	0	8	1500	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6031	BOSS 派纯洁一阶段可破坏子弹	200			0		201	1		0		0	0		0	0	0	0	0	0	40	-20	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6032	BOSS 派纯洁一阶段消除程序	500			0		201	1		0		0	0		0	0	0	0	0	0	40	-20	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6033	BOSS 派纯洁二阶段本体	0		104	60.61		201	1			104	0		303	1	0	0	0	0	0	40	-20	0	0	0	0	100	-1	0	5	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6034	BOSS 派纯洁二阶段可破坏物	200			0		201	1		0		0	0		0	0	0	0	0	0	40	-20	0	0	0	-100	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
6035	BOSS 派纯洁二阶段小球	0		104	25		201	1			104	0		303	1	0	0	0	0	0	40	-20	0	0	0	0	100	-1	0	5	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6036	Boss 初诞的沃坦	0		104	62.5		201	1			104	0		303	1	0	0	0	0	0	-20	0	0	0	40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6037	Boss 真神沃坦	0		104	87.5		201	1			104	0		303	1	0	0	0	0	0	-20	0	0	0	40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6038	Boss 初诞的沃坦（联机）	0		104	75		201	1			104	0		303	1	0	0	0	0	0	-20	0	0	0	40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6039	Boss 真神沃坦（联机）	0		104	105		201	1			104	0		303	1	0	0	0	0	0	-20	0	0	0	40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6040	BOSS 弹幕方块2型	0		104	26.66		201	1			104	119.98		303	1	0	0	0	0	0	0	0	-40	-40	60	0	100	-1	0	7	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6041	BOSS 狄俄尼索斯	0		104	80		201	1			104	0		303	1	0	0	0	0	0	0	40	0	-20	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6042	BOSS刻耳柏洛斯亚种	0		104	95		201	1			104	0		303	1	0	0	0	0	0	0	40	-40	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6043	Boss 尘白恶魔号	0		104	110		201	1			104	0		303	1	0	0	0	0	0	40	0	-20	0	0	0	100	-1	0	10	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6044	BOSS 蒙古沙虫	0		104	25		201	1			104	127		303	1	0	0	0	0	0	0	0	0	40	-20	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6045	BOSS 通用噬神斗场	0		104	100		201	1			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6046	BOSS 噬神斗场-小透	0		104	100		201	1			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6047	BOSS 噬神斗场-四足	0		104	100		201	1			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6048	BOSS 食夜影兽	0		104	50		201	1			104	100		303	1	0	0	0	0	0	0	-20	40	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6049	BOSS 噬神斗场-尤弥尔	0		104	100		201	0.75			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6050	BOSS 舍塔无正觉·慈	0		104	40		201	1			104	80		303	1	0	0	0	0	0	0	0	0	-20	40	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6051	BOSS 舍塔无正觉·怒	0		104	40		201	1			104	80		303	1	0	0	0	0	0	0	0	0	-20	40	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6052	BOSS 噬神斗场-高护盾	0		104	50		201	1			104	50		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6053	BOSS 梦神（拟境）	0		104	160		201	1			0	127		303	1	0	0	0	0	0	-30	40	0	0	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6054	BOSS 梦神（主线）	0		104	200		201	1			0	127		303	1	0	0	0	0	0	-30	40	0	0	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6055	BOSS 海底观测者	0		104	120		201	1	2		104	120		303	1	0	0	0	0	0	0	0	40	40	-40	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6056	BOSS 噬神斗场-技能护盾	0		104	{{1,50},{89,50},{90,300}}		201	1	2		104	{{1,50},{89,50},{90,300}}		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6057	BOSS 战斗人偶军团（母体）	0		104	300		201	1			104	0		303	1	0	0	0	0	0	40	0	-30	40	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6058	BOSS 战斗人偶军团红战士	0		104	52.5		201	1			104	0		303	1	0	0	0	0	0	40	0	-30	40	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6059	BOSS 战斗人偶军团紫战士	0		104	52.5		201	1			104	0		303	1	0	0	0	0	0	40	0	-30	40	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6060	BOSS 战斗人偶军团黄战士	0		104	52.5		201	1			104	0		303	1	0	0	0	0	0	40	0	-30	40	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6061	BOSS 战斗人偶军团绿战士	0		104	52.5		201	1			104	0		303	1	0	0	0	0	0	40	0	-30	40	0	0	100	-1	0	15	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6062	BOSS 噬孽机·卡律布狄斯	0		104	250		201	1						303	1	0	0	0	0	0	15	15	30	30	-10	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6063	BOSS 通用噬神斗场	0		104	{{1,100},{89,100},{90,2000}}		201	1			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6064	BOSS 尼亚尔磐石	0		104	150		201	1	2		104	75		303	1	0	0	0	0	0	-30	-30	30	30	30	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6065	BOSS 祟·超越精神拟境用	0		104	300		201	1			104	0		303	1	0	0	0	0	0	-20	40	-20	0	40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6066	BOSS 米拉·猩红武装	0		104	450		201	1			104	0		303	1	0	0	0	0	0	-30	0	40	40	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6067	BOSS 噬神斗场-技能护盾	0		104	{{1,100},{89,100},{90,2000}}		201	1	2		104	{{1,100},{89,100},{90,2000}}		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6068	BOSS 噬神斗场-高护盾	0		104	{{1,100},{89,100},{90,2000}}		201	1			104	{{1,100},{89,100},{90,2000}}		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6069	BOSS 蛇女（主线）	0		104	100		201	1			104	0		303	1	0	0	0	0	0	-20	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6070	BOSS SpH-L12	0		104	275		201	1	4		104	330		303	1	0	0	0	0	0	60	-30	30	60	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6071	BOSS 噬神斗场-超级射击护盾	0		104	{{1,50},{89,50},{90,2000}}		201	1	3		104	{{1,50},{89,50},{90,2000}}		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6072	BOSS 噬神斗场-超级技能护盾	0		104	{{1,50},{89,50},{90,2000}}		201	1	4		104	{{1,50},{89,50},{90,2000}}		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6073	BOSS 新序章-尤弥尔（特殊调整）	0		104	150		201	1			104	0		303	1	0	0	0	0	0	0	0	0	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6078	BOSS-起源物种一阶段(主线)	0		104	30		201	1	3		104	60		303	1	0	0	0	0	0	0	50	50	-30	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6079	BOSS-起源物种二阶段(主线)	0		104	30		201	1	3		104	60		303	1	0	0	0	0	0	0	50	50	-30	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6080	BOSS-起源物种（拟境特供）	0		104	80		201	1	3		104	200		303	1	0	0	0	0	0	0	50	50	-30	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6081	BOSS-埃吉尔（拟境特供）	0		104	240		201	1	3		104	0		303	1	0	0	0	0	0	-30	30	0	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6082	BOSS 西西弗斯	0		104	250		201	1	3		104	350		303	1	0	0	0	0	0	0	50	0	50	-30	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6083	BOSS 西西弗斯分身	0		104	20		201	1			104	0		303	1	0	0	0	0	0	0	50	0	50	-30	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6084	BOSS-星祈雪人号A	0		104	80		201	1	3		104	300		303	1	0	0	0	0	0	0	0	0	0	-40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6085	BOSS-星祈雪人号B	0		104	80		201	1	3		104	300		303	1	0	0	0	0	0	0	0	0	0	-40	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6086	BOSS-瑟茜	0		104	435		201	1	4		104	600		303	1	0	0	0	0	0	-30	50	50	0	0	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6087	BOSS-神座·狐相	0		104	500		201	1	3		104	300		303	1	0	0	0	0	0	50	-30	0	0	50	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
6088	BOSS-苏菲	0		104	500		201	1	4		104	300		303	1	0	0	0	0	0	50	0	0	-30	50	0	100	-1	0	0	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
																																													
30001	活动BOSS 食夜影兽（无护盾版本）	0		104	150		201	1						303	1	0	0	0	0	0	0	-20	40	0	0	0	100	-1	0	8	0	3	0.1	-0.1	0.7	5	1	20	1	1	10	1	2	2	10
																																													
7001	四足机甲 腿部外装甲	600			0		201	1		0		0	0		0	0	0	0	0	0	0	-5	0	-10	-10	-100	100	-1	0	3	1	3	0.1	-0.1	0.7	5	1	20	1	0	0	0	0	0	0
