id	注释	第一次突破所需道具									第二次突破所需道具									第三次突破所需道具									第四次突破所需道具									第五次突破所需道具								
ID	Comment	1Items1	1Items2	1Items3	1Items4	1Items5	1Items6	1Items7	1Items8	1Items9	2Items1	2Items2	2Items3	2Items4	2Items5	2Items6	2Items7	2Items8	2Items9	3Items1	3Items2	3Items3	3Items4	3Items5	3Items6	3Items7	3Items8	3Items9	4Items1	4Items2	4Items3	4Items4	4Items5	4Items6	4Items7	4Items8	4Items9	5Items1	5Items2	5Items3	5Items4	5Items5	5Items6	5Items7	5Items8	5Items9
1033	凯茜娅-朝翼	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,12}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,6}}	{{5,4,15,2,12}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,9}}	{{5,4,15,2,18}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,12}}	{{5,4,15,2,24}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,15}}	{{5,4,15,2,30}}
1034	茉莉安-幽潮	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,12}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,6}}	{{5,4,5,3,12}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,9}}	{{5,4,5,3,18}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,12}}	{{5,4,5,3,24}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,15}}	{{5,4,5,3,30}}
1035	芙提雅-驰掣	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,12}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,6}}	{{5,4,4,3,12}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,9}}	{{5,4,4,3,18}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,12}}	{{5,4,4,3,24}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,15}}	{{5,4,4,3,30}}
1036	卜卜	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,12}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,6}}	{{5,4,20,1,12}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,9}}	{{5,4,20,1,18}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,12}}	{{5,4,20,1,24}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,15}}	{{5,4,20,1,30}}
1037	辰星-琼弦	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,12}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,6}}	{{5,4,14,3,12}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,9}}	{{5,4,14,3,18}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,12}}	{{5,4,14,3,24}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,15}}	{{5,4,14,3,30}}
1038	肴-夜天光	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,12}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,6}}	{{5,4,10,3,12}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,9}}	{{5,4,10,3,18}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,12}}	{{5,4,10,3,24}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,15}}	{{5,4,10,3,30}}
1039	恩雅-澜风	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,12}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,6}}	{{5,4,11,3,12}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,9}}	{{5,4,11,3,18}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,12}}	{{5,4,11,3,24}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,15}}	{{5,4,11,3,30}}
1041	奈莉德-冥河代理人	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,12}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,6}}	{{5,4,21,1,12}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,9}}	{{5,4,21,1,18}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,12}}	{{5,4,21,1,24}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,15}}	{{5,4,21,1,30}}
1042	薇蒂雅-天鹅座	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,12}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,6}}	{{5,4,18,2,12}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,9}}	{{5,4,18,2,18}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,12}}	{{5,4,18,2,24}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,15}}	{{5,4,18,2,30}}
1043	凯茜娅-狂诗	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,12}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,6}}	{{5,4,15,3,12}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,9}}	{{5,4,15,3,18}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,12}}	{{5,4,15,3,24}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,15}}	{{5,4,15,3,30}}
1044	苔丝-绮幻	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,12}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,6}}	{{5,4,17,2,12}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,9}}	{{5,4,17,2,18}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,12}}	{{5,4,17,2,24}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,15}}	{{5,4,17,2,30}}
1045	克罗瑞娜-绯月	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,12}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,6}}	{{5,4,22,1,12}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,9}}	{{5,4,22,1,18}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,12}}	{{5,4,22,1,24}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,15}}	{{5,4,22,1,30}}
1046	芬妮-澄意	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,12}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,6}}	{{5,4,8,4,12}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,9}}	{{5,4,8,4,18}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,12}}	{{5,4,8,4,24}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,15}}	{{5,4,8,4,30}}
1047	瑟瑞斯-悠游	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,12}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,6}}	{{5,4,13,3,12}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,9}}	{{5,4,13,3,18}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,12}}	{{5,4,13,3,24}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,15}}	{{5,4,13,3,30}}
1048	米娅-星彩	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,12}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,6}}	{{5,4,23,1,12}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,9}}	{{5,4,23,1,18}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,12}}	{{5,4,23,1,24}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,15}}	{{5,4,23,1,30}}
1049	卜卜-灵鉴	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,12}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,6}}	{{5,4,20,2,12}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,9}}	{{5,4,20,2,18}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,12}}	{{5,4,20,2,24}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,15}}	{{5,4,20,2,30}}
1050	安卡希雅-时之重奏	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,12}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,6}}	{{5,4,1,3,12}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,9}}	{{5,4,1,3,18}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,12}}	{{5,4,1,3,24}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,15}}	{{5,4,1,3,30}}
1051	茉莉安-霄鹰	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,12}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,6}}	{{5,4,5,4,12}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,9}}	{{5,4,5,4,18}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,12}}	{{5,4,5,4,24}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,15}}	{{5,4,5,4,30}}
1052	胧嫣-瑞狐	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,12}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,6}}	{{5,4,24,1,12}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,9}}	{{5,4,24,1,18}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,12}}	{{5,4,24,1,24}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,15}}	{{5,4,24,1,30}}
1053	里芙-永恒	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,12}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,6}}	{{5,4,2,4,12}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,9}}	{{5,4,2,4,18}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,12}}	{{5,4,2,4,24}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,15}}	{{5,4,2,4,30}}
