少女Id	剧情Id	剧情Key	剧情名字	剧情触发区域	是否需要入住后才触发（0不是 1是）	是否需要拥有某个角色后才触发（本体除外）	需要拥有某个家具后才触发	需要通过某个关卡才触发	需要阅读完某个随机事件才触发	需要好感度等级达到多少才触发	需要道具,{1,1,1,1}	开始时间,[202406011000]	结束时间，[202406011000]	优先级
18	10	3DRoom_DLC28/Girl018RM10	house.DailyTalkName1810	18	1									
18	11	3DRoom_DLC28/Girl018RM11	house.DailyTalkName1811	18	1									1
18	12	3DRoom_DLC30/Girl018RM12	house.DailyTalkName1812	18	1									1
18	13	3DRoom_DLC32/Girl018RM13	house.DailyTalkName1813	18	1									1
18	14	3DRoom_DLC35/Girl018RM14	house.DailyTalkName1814	0										1
														
														
20	1	3DRoom_DLC27/Girl020RM1	house.DailyTalkName2001	20	1		{2005}							
20	2	3DRoom_DLC27/Girl020RM2	house.DailyTalkName2002	20	1		{2003}							
20	3	3DRoom_DLC27/Girl020RM3	house.DailyTalkName2003	0										
20	4	3DRoom_DLC27/Girl020RM4	house.DailyTalkName2004	0										
20	5	3DRoom_DLC27/Girl020RM5	house.DailyTalkName2005	0										
20	6	3DRoom_DLC30/Girl020RM6	house.DailyTalkName2006	20	1		{2003}							
20	7	3DRoom_DLC32/Girl020RM7	house.DailyTalkName2007	20	1		{2005}							
20	8	3DRoom_DLC35/Girl020RM8	house.DailyTalkName2008	0	1									
														
														
21	1	3DRoom_DLC28/Girl021RM1	house.DailyTalkName2101	0										
21	2	3DRoom_DLC28/Girl021RM2	house.DailyTalkName2102	0										
21	3	3DRoom_DLC28/Girl021RM3	house.DailyTalkName2103	0										
21	4	3DRoom_DLC28/Girl021RM4	house.DailyTalkName2104	21	1									
21	5	3DRoom_DLC28/Girl021RM5	house.DailyTalkName2105	0										
21	6	3DRoom_DLC30/Girl021RM6	house.DailyTalkName2106	21	1		{2104}							
21	7	3DRoom_DLC32/Girl021RM7	house.DailyTalkName2107	21	1		{2106}							
21	8	3DRoom_DLC35/Girl021RM8	house.DailyTalkName2108	0										
														
														
22	1	3DRoom_DLC33/Girl022RM1	house.DailyTalkName2201	22	1		{2203}							
22	2	3DRoom_DLC33/Girl022RM2	house.DailyTalkName2202	0				51550						
22	3	3DRoom_DLC33/Girl022RM3	house.DailyTalkName2203	0										
22	4	3DRoom_DLC33/Girl022RM4	house.DailyTalkName2204	0	1									
22	5	3DRoom_DLC33/Girl022RM5	house.DailyTalkName2205	0										
22	6	3DRoom_DLC35/Girl022RM6	house.DailyTalkName2206	0										
														
														
23	1	3DRoom_DLC34/Girl023RM1	house.DailyTalkName2301	0										
23	2	3DRoom_DLC34/Girl023RM2	house.DailyTalkName2302	0										
23	3	3DRoom_DLC34/Girl023RM3	house.DailyTalkName2303	0										
23	4	3DRoom_DLC34/Girl023RM4	house.DailyTalkName2304	23	1									
23	5	3DRoom_DLC34/Girl023RM5	house.DailyTalkName2305	23	1		{2311}							
23	6	3DRoom_DLC35/Girl023RM6	house.DailyTalkName2306	23	1									
