序列ID	模式类型（1常规无尽 2赛季模式）	关卡ID（赛季对应关卡）	//关卡备注	波次id	数值模板	等级	buff
419	2	8	boss连战-高难检验	11	16	160	{7013012,34}
420	2	8	boss连战-高难检验	12	16	160	{7013012,35}
421	2	8	boss连战-高难检验	13	16	160	{7013012,35}
422	2	8	boss连战-高难检验	14	16	160	{7013012,36}
423	2	8	boss连战-高难检验	15	16	160	{7013012,36}
424	2	8	boss连战-高难检验	16	16	160	{7013012,37}
425	2	8	boss连战-高难检验	17	16	160	{7013012,37}
426	2	8	boss连战-高难检验	18	16	160	{7013012,38}
427	2	8	boss连战-高难检验	19	16	160	{7013012,38}
428	2	8	boss连战-高难检验	20	16	160	{7013012,39}
429	2	8	boss连战-高难检验	21	16	160	{7013012,39}
430	2	8	boss连战-高难检验	22	16	160	{7013012,40}
431	2	8	boss连战-高难检验	23	16	160	{7013012,40}
432	2	8	boss连战-高难检验	24	16	160	{7013012,40}
433	2	8	boss连战-高难检验	25	16	160	{7013012,42}
434	2	8	boss连战-高难检验	26	16	160	{7013012,42}
435	2	8	boss连战-高难检验	27	16	160	{7013012,42}
436	2	8	boss连战-高难检验	28	16	160	{7013012,44}
437	2	8	boss连战-高难检验	29	16	160	{7013012,44}
438	2	8	boss连战-高难检验	30	16	160	{7013012,46}
439	2	8	boss连战-高难检验	31	16	160	{7013012,46}
440	2	8	boss连战-高难检验	32	16	160	{7013012,48}
441	2	8	boss连战-高难检验	33	16	160	{7013012,48}
442	2	8	boss连战-高难检验	34	16	160	{7013012,50}
443	2	8	boss连战-高难检验	35	16	160	{7013012,50}
444	2	8	boss连战-高难检验	36	16	160	{7013012,52}
445	2	8	boss连战-高难检验	37	16	160	{7013012,54}
446	2	8	boss连战-高难检验	38	16	160	{7013012,56}
447	2	8	boss连战-高难检验	39	16	160	{7013012,58}
448	2	8	boss连战-高难检验	40	16	160	{7013012,60}
449	2	8	boss连战-高难检验	-1	16	160	{7013013,1}
