模式类型（1常规无尽 2赛季模式）	关卡ID（赛季对应关卡）	ID	怪物id	//备注	积分对应等级
2	4	440	5001206	贡露（大眼）	{{{120,180},54}}
2	4	441	5001204	索列姆（扩音）	{{{120,180},90}}
2	4	442	4001213	丙型异化人	{{{120,180},35}}
2	4	443	4001215	祸斗	{{{120,180},18}}
2	4	444	4001216	侵蚀泰坦	{{{120,180},9}}
2	4	445	5001208	密弥尔（低温）	{{{120,180},63}}
2	4	446	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	4	447	400101602	四象弩机	{{{120,180},35}}
2	4	448	4001604	伪镖师	{{{120,180},13}}
2	4	449	4001605	伪镖头	{{{120,180},13}}
2	4	450	4002605	步枪兵	{{{120,180},13}}
2	4	451	4003002	狙击兵	{{{120,180},18}}
2	4	452	4001606	阴镖箱	{{{120,180},18}}
2	4	453	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	4	454	5001601	秉天护运机	{{{120,180},90}}
2	4	455	5003010	加特林兵	{{{120,180},72}}
2	4	456	5001607	伪造泰坦	{{{120,180},108}}
2	4	457	400130105	埃罗换皮	{{{120,180},7}}
2	4	458	400130405	格里芬换皮	{{{120,180},22}}
2	4	459	400131005	噬咬球换皮	{{{120,180},7}}
2	4	460	4001407	自爆机器人	{{{120,180},22}}
2	4	461	500131105	太阳伞换皮	{{{120,180},90}}
2	4	462	500130705	莱拉普斯换皮	{{{120,180},72}}
2	4	463	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	4	464	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	4	465	4002016	炽热投手	{{{120,180},26}}
2	4	466	5001305	西西弗斯	{{{120,180},72}}
2	4	467	5001309	空壳遗迹守卫	{{{120,180},72}}
2	4	468	6002601	蒙古沙虫	{{{120,180},336}}
2	4	469	4002013	罐头a/b/c	{{{120,180},35}}
2	4	470	600120801	二律背反的盟约	{{{120,180},336}}
2	4	471	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	4	472	5002110	净化官-降临团	{{{120,180},58}}
2	4	473	4003016	污染投手	{{{120,180},26}}
2	4	474	5001205	夏基（枯萎）	{{{120,180},90}}
2	4	475	5001214	精英异化人	{{{120,180},54}}
2	4	476	4001007	通条	{{{120,180},13}}
2	4	477	400100304	螺钉（老兵）	{{{120,180},26}}
2	4	478	4001016	炽热投手	{{{120,180},26}}
2	4		600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	4		600140104	派·纯净	{{{120,180},299}}
2	4		600120507	祟·超限	{{{120,180},387}}
2	5	479	-1	通用小怪	{{{120,180},18}}
2	5	480	-2	通用精英	{{{120,180},70}}
2	5	481	-3	通用boss	{{{120,180},350}}
2	5	482	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	5	483	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	5	484	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	5	485	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	5	486	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	5	487	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	5	488	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	5	489	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	5	490	4003007	普通:通条-郊狼	{{{120,180},13}}
2	5	491	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	5	492	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	5	493	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	5	494	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	5	495	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	5	496	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	5	497	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	5	498	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	5	499	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	5	500	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	5	501	4001108	普通:会员-降临团	{{{120,180},7}}
2	5	502	500110902	精英:审判官-降临团	{{{120,180},72}}
2	5	503	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	5	504	5003110	精英:净化官-降临团	{{{120,180},58}}
2	5	505	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	5	506	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	5	507	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	5	508	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	5	509	500110901	精英:审判官-降临团	{{{120,180},72}}
2	5	510	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	5	511	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	5	512	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	5	513	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	5	514	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	5	515	6001102	boss:加文-降临团	{{{120,180},301}}
2	5	516	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	5	517	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	5	518	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	5	519	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	5	520	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	5	521	6001302	boss:透墨索斯	{{{120,180},336}}
2	5	522	6001303	boss:尘白恶魔	{{{120,180},462}}
2	5	523	4001103	长刀会员-降临团	{{{120,180},31}}
2	5	524	400110802	会员-老兵	{{{120,180},7}}
2	5	525	4001106	爆破会员-降临团	{{{120,180},9}}
2	5	526	4001102	弓箭会员-降临团	{{{120,180},18}}
2	5	527	5001110	净化官-降临团	{{{120,180},58}}
2	5	528	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	5	529	400111401	散射会员（老兵）	{{{120,180},13}}
2	5	530	4002102	弓箭会员-降临团	{{{120,180},18}}
2	5	531	5001311	太阳伞	{{{120,180},90}}
2	5	532	5001308	塞壬	{{{120,180},72}}
2	5	533	5001307	莱拉普斯	{{{120,180},72}}
2	5	534	4001304	格里芬	{{{120,180},22}}
2	5	535	4001303	哈比	{{{120,180},35}}
2	5	536	4001301	埃罗	{{{120,180},7}}
2	5	537	5001302	阿耳戈斯	{{{120,180},54}}
2	5	538	4001306	滚石	{{{120,180},9}}
2	5	539	400150602	清理部队（霰弹）	{{{120,180},13}}
2	5	540	400250602	清理部队（步枪）	{{{120,180},13}}
2	5	541	5001403	天启对策机	{{{120,180},54}}
2	5	542	400130103	埃罗	{{{120,180},7}}
2	5	543	400130403	格里芬	{{{120,180},22}}
2	5	544	400350602	清理部队（近战）	{{{120,180},26}}
2	5	545	5001402	巴伦支精英斥候	{{{120,180},54}}
2	5	546	500100902	自走炮（换皮）	{{{120,180},36}}
2	5	547	4001211	甲型异化人	{{{120,180},4}}
2	5	548	4001212	乙型异化人	{{{120,180},4}}
2	5	549	5001206	贡露（大眼）	{{{120,180},54}}
2	5	550	5001204	索列姆（扩音）	{{{120,180},90}}
2	5	551	4001213	丙型异化人	{{{120,180},35}}
2	5	552	4001215	祸斗	{{{120,180},18}}
2	5	553	4001216	侵蚀泰坦	{{{120,180},9}}
2	5	554	5001208	密弥尔（低温）	{{{120,180},63}}
2	5	555	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	5	556	400101602	四象弩机	{{{120,180},35}}
2	5	557	4001604	伪镖师	{{{120,180},13}}
2	5	558	4001605	伪镖头	{{{120,180},13}}
2	5	559	4002605	步枪兵	{{{120,180},13}}
2	5	560	4003002	狙击兵	{{{120,180},18}}
2	5	561	4001606	阴镖箱	{{{120,180},18}}
2	5	562	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	5	563	5001601	秉天护运机	{{{120,180},90}}
2	5	564	5003010	加特林兵	{{{120,180},72}}
2	5	565	5001607	伪造泰坦	{{{120,180},108}}
2	5	566	400130105	埃罗换皮	{{{120,180},7}}
2	5	567	400130405	格里芬换皮	{{{120,180},22}}
2	5	568	400131005	噬咬球换皮	{{{120,180},7}}
2	5	569	4001407	自爆机器人	{{{120,180},22}}
2	5	570	500131105	太阳伞换皮	{{{120,180},90}}
2	5	571	500130705	莱拉普斯换皮	{{{120,180},72}}
2	5	572	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	5	573	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	5	574	4002016	炽热投手	{{{120,180},26}}
2	5	575	5001305	西西弗斯	{{{120,180},72}}
2	5	576	5001309	空壳遗迹守卫	{{{120,180},72}}
2	5	577	6002601	蒙古沙虫	{{{120,180},336}}
2	5	578	4002013	罐头a/b/c	{{{120,180},35}}
2	5	579	600120801	二律背反的盟约	{{{120,180},336}}
2	5	580	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	5	581	5002110	净化官-降临团	{{{120,180},58}}
2	5	582	4003016	污染投手	{{{120,180},26}}
2	5	583	5001205	夏基（枯萎）	{{{120,180},90}}
2	5	584	5001214	精英异化人	{{{120,180},54}}
2	5	585	4001007	通条	{{{120,180},13}}
2	5	586	400100304	螺钉（老兵）	{{{120,180},26}}
2	5	587	4001016	炽热投手	{{{120,180},26}}
2	5		600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	5		600140104	派·纯净	{{{120,180},299}}
2	5		600120507	祟·超限	{{{120,180},387}}
2	6	588	-1	通用小怪	{{{120,180},18}}
2	6	589	-2	通用精英	{{{120,180},70}}
2	6	590	-3	通用boss	{{{120,180},350}}
2	6	591	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	6	592	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	6	593	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	6	594	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	6	595	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	6	596	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	6	597	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	6	598	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	6	599	4003007	普通:通条-郊狼	{{{120,180},13}}
2	6	600	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	6	601	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	6	602	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	6	603	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	6	604	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	6	605	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	6	606	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	6	607	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	6	608	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	6	609	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	6	610	4001108	普通:会员-降临团	{{{120,180},7}}
2	6	611	500110902	精英:审判官-降临团	{{{120,180},72}}
2	6	612	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	6	613	5003110	精英:净化官-降临团	{{{120,180},58}}
2	6	614	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	6	615	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	6	616	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	6	617	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	6	618	500110901	精英:审判官-降临团	{{{120,180},72}}
2	6	619	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	6	620	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	6	621	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	6	622	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	6	623	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	6	624	6001102	boss:加文-降临团	{{{120,180},301}}
2	6	625	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	6	626	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	6	627	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	6	628	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	6	629	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	6	630	6001302	boss:透墨索斯	{{{120,180},336}}
2	6	631	6001303	boss:尘白恶魔	{{{120,180},462}}
2	6	632	4001103	长刀会员-降临团	{{{120,180},31}}
2	6	633	400110802	会员-老兵	{{{120,180},7}}
2	6	634	4001106	爆破会员-降临团	{{{120,180},9}}
2	6	635	4001102	弓箭会员-降临团	{{{120,180},18}}
2	6	636	5001110	净化官-降临团	{{{120,180},58}}
2	6	637	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	6	638	400111401	散射会员（老兵）	{{{120,180},13}}
2	6	639	4002102	弓箭会员-降临团	{{{120,180},18}}
2	6	640	5001311	太阳伞	{{{120,180},90}}
2	6	641	5001308	塞壬	{{{120,180},72}}
2	6	642	5001307	莱拉普斯	{{{120,180},72}}
2	6	643	4001304	格里芬	{{{120,180},22}}
2	6	644	4001303	哈比	{{{120,180},35}}
2	6	645	4001301	埃罗	{{{120,180},7}}
2	6	646	5001302	阿耳戈斯	{{{120,180},54}}
2	6	647	4001306	滚石	{{{120,180},9}}
2	6	648	400150602	清理部队（霰弹）	{{{120,180},13}}
2	6	649	400250602	清理部队（步枪）	{{{120,180},13}}
2	6	650	5001403	天启对策机	{{{120,180},54}}
2	6	651	400130103	埃罗	{{{120,180},7}}
2	6	652	400130403	格里芬	{{{120,180},22}}
2	6	653	400350602	清理部队（近战）	{{{120,180},26}}
2	6	654	5001402	巴伦支精英斥候	{{{120,180},54}}
2	6	655	500100902	自走炮（换皮）	{{{120,180},36}}
2	6	656	4001211	甲型异化人	{{{120,180},4}}
2	6	657	4001212	乙型异化人	{{{120,180},4}}
2	6	658	5001206	贡露（大眼）	{{{120,180},54}}
2	6	659	5001204	索列姆（扩音）	{{{120,180},90}}
2	6	660	4001213	丙型异化人	{{{120,180},35}}
2	6	661	4001215	祸斗	{{{120,180},18}}
2	6	662	4001216	侵蚀泰坦	{{{120,180},9}}
2	6	663	5001208	密弥尔（低温）	{{{120,180},63}}
2	6	664	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	6	665	400101602	四象弩机	{{{120,180},35}}
2	6	666	4001604	伪镖师	{{{120,180},13}}
2	6	667	4001605	伪镖头	{{{120,180},13}}
2	6	668	4002605	步枪兵	{{{120,180},13}}
2	6	669	4003002	狙击兵	{{{120,180},18}}
2	6	670	4001606	阴镖箱	{{{120,180},18}}
2	6	671	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	6	672	5001601	秉天护运机	{{{120,180},90}}
2	6	673	5003010	加特林兵	{{{120,180},72}}
2	6	674	5001607	伪造泰坦	{{{120,180},108}}
2	6	675	400130105	埃罗换皮	{{{120,180},7}}
2	6	676	400130405	格里芬换皮	{{{120,180},22}}
2	6	677	400131005	噬咬球换皮	{{{120,180},7}}
2	6	678	4001407	自爆机器人	{{{120,180},22}}
2	6	679	500131105	太阳伞换皮	{{{120,180},90}}
2	6	680	500130705	莱拉普斯换皮	{{{120,180},72}}
2	6	681	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	6	682	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	6	683	4002016	炽热投手	{{{120,180},26}}
2	6	684	5001305	西西弗斯	{{{120,180},72}}
2	6	685	5001309	空壳遗迹守卫	{{{120,180},72}}
2	6	686	6002601	蒙古沙虫	{{{120,180},336}}
2	6	687	4002013	罐头a/b/c	{{{120,180},35}}
2	6	688	600120801	二律背反的盟约	{{{120,180},336}}
2	6	689	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	6	690	5002110	净化官-降临团	{{{120,180},58}}
2	6	691	4003016	污染投手	{{{120,180},26}}
2	6	692	5001205	夏基（枯萎）	{{{120,180},90}}
2	6	693	5001214	精英异化人	{{{120,180},54}}
2	6	694	4001007	通条	{{{120,180},13}}
2	6	695	400100304	螺钉（老兵）	{{{120,180},26}}
2	6	696	4001016	炽热投手	{{{120,180},26}}
2	6		600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	6		600140104	派·纯净	{{{120,180},299}}
2	6		600120507	祟·超限	{{{120,180},387}}
2	7	697	-1	通用小怪	{{{120,180},18}}
2	7	698	-2	通用精英	{{{120,180},70}}
2	7	699	-3	通用boss	{{{120,180},350}}
2	7	700	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	7	701	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	7	702	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	7	703	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	7	704	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	7	705	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	7	706	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	7	707	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	7	708	4003007	普通:通条-郊狼	{{{120,180},13}}
2	7	709	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	7	710	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	7	711	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	7	712	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	7	713	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	7	714	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	7	715	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	7	716	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	7	717	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	7	718	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	7	719	4001108	普通:会员-降临团	{{{120,180},7}}
2	7	720	500110902	精英:审判官-降临团	{{{120,180},72}}
2	7	721	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	7	722	5003110	精英:净化官-降临团	{{{120,180},58}}
2	7	723	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	7	724	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	7	725	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	7	726	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	7	727	500110901	精英:审判官-降临团	{{{120,180},72}}
2	7	728	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	7	729	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	7	730	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	7	731	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	7	732	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	7	733	6001102	boss:加文-降临团	{{{120,180},301}}
2	7	734	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	7	735	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	7	736	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	7	737	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	7	738	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	7	739	6001302	boss:透墨索斯	{{{120,180},336}}
2	7	740	6001303	boss:尘白恶魔	{{{120,180},462}}
2	7	741	4001103	长刀会员-降临团	{{{120,180},31}}
2	7	742	400110802	会员-老兵	{{{120,180},7}}
2	7	743	4001106	爆破会员-降临团	{{{120,180},9}}
2	7	744	4001102	弓箭会员-降临团	{{{120,180},18}}
2	7	745	5001110	净化官-降临团	{{{120,180},58}}
2	7	746	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	7	747	400111401	散射会员（老兵）	{{{120,180},13}}
2	7	748	4002102	弓箭会员-降临团	{{{120,180},18}}
2	7	749	5001311	太阳伞	{{{120,180},90}}
2	7	750	5001308	塞壬	{{{120,180},72}}
2	7	751	5001307	莱拉普斯	{{{120,180},72}}
2	7	752	4001304	格里芬	{{{120,180},22}}
2	7	753	4001303	哈比	{{{120,180},35}}
2	7	754	4001301	埃罗	{{{120,180},7}}
2	7	755	5001302	阿耳戈斯	{{{120,180},54}}
2	7	756	4001306	滚石	{{{120,180},9}}
2	7	757	400150602	清理部队（霰弹）	{{{120,180},13}}
2	7	758	400250602	清理部队（步枪）	{{{120,180},13}}
2	7	759	5001403	天启对策机	{{{120,180},54}}
2	7	760	400130103	埃罗	{{{120,180},7}}
2	7	761	400130403	格里芬	{{{120,180},22}}
2	7	762	400350602	清理部队（近战）	{{{120,180},26}}
2	7	763	5001402	巴伦支精英斥候	{{{120,180},54}}
2	7	764	500100902	自走炮（换皮）	{{{120,180},36}}
2	7	765	4001211	甲型异化人	{{{120,180},4}}
2	7	766	4001212	乙型异化人	{{{120,180},4}}
2	7	767	5001206	贡露（大眼）	{{{120,180},54}}
2	7	768	5001204	索列姆（扩音）	{{{120,180},90}}
2	7	769	4001213	丙型异化人	{{{120,180},35}}
2	7	770	4001215	祸斗	{{{120,180},18}}
2	7	771	4001216	侵蚀泰坦	{{{120,180},9}}
2	7	772	5001208	密弥尔（低温）	{{{120,180},63}}
2	7	773	5001209	古尔薇格（幻象）	{{{120,180},108}}
2	7	774	400101602	四象弩机	{{{120,180},35}}
2	7	775	4001604	伪镖师	{{{120,180},13}}
2	7	776	4001605	伪镖头	{{{120,180},13}}
2	7	777	4002605	步枪兵	{{{120,180},13}}
2	7	778	4003002	狙击兵	{{{120,180},18}}
2	7	779	4001606	阴镖箱	{{{120,180},18}}
2	7	780	4001602	鼯鼠无人机（换皮）	{{{120,180},2}}
2	7	781	5001601	秉天护运机	{{{120,180},90}}
2	7	782	5003010	加特林兵	{{{120,180},72}}
2	7	783	5001607	伪造泰坦	{{{120,180},108}}
2	7	784	400130105	埃罗换皮	{{{120,180},7}}
2	7	785	400130405	格里芬换皮	{{{120,180},22}}
2	7	786	400131005	噬咬球换皮	{{{120,180},7}}
2	7	787	4001407	自爆机器人	{{{120,180},22}}
2	7	788	500131105	太阳伞换皮	{{{120,180},90}}
2	7	789	500130705	莱拉普斯换皮	{{{120,180},72}}
2	7	790	5001406	AI机器人远程炮兵	{{{120,180},90}}
2	7	791	5001405	AI机器人近战枪兵	{{{120,180},90}}
2	7	792	4002016	炽热投手	{{{120,180},26}}
2	7	793	5001305	西西弗斯	{{{120,180},72}}
2	7	794	5001309	空壳遗迹守卫	{{{120,180},72}}
2	7	795	6002601	蒙古沙虫	{{{120,180},336}}
2	7	796	4002013	罐头a/b/c	{{{120,180},35}}
2	7	797	600120801	二律背反的盟约	{{{120,180},336}}
2	7	798	6001006	约瑟夫·顽骨	{{{120,180},560}}
2	7	799	5002110	净化官-降临团	{{{120,180},58}}
2	7	800	4003016	污染投手	{{{120,180},26}}
2	7	801	5001205	夏基（枯萎）	{{{120,180},90}}
2	7	802	5001214	精英异化人	{{{120,180},54}}
2	7	803	4001007	通条	{{{120,180},13}}
2	7	804	400100304	螺钉（老兵）	{{{120,180},26}}
2	7	805	4001016	炽热投手	{{{120,180},26}}
2	7		600230103	刻耳柏洛斯·灼痕	{{{120,180},344}}
2	7		600140104	派·纯净	{{{120,180},299}}
2	7		600120507	祟·超限	{{{120,180},387}}
2	8	806	-1	通用小怪	{{{120,180},18}}
2	8	807	-2	通用精英	{{{120,180},70}}
2	8	808	-3	通用boss	{{{120,180},350}}
2	8	809	4001002	普通:灯泡-郊狼	{{{120,180},18}}
2	8	810	4001005	普通:钢珠-郊狼	{{{120,180},7}}
2	8	811	4001006	普通:喷壶-郊狼	{{{120,180},13}}
2	8	812	4001015	普通:简易哨兵-郊狼	{{{120,180},20}}
2	8	813	4001017	普通:链斧-郊狼	{{{120,180},44}}
2	8	814	4003003	普通:螺钉-郊狼	{{{120,180},26}}
2	8	815	4003004	普通:螺帽-郊狼	{{{120,180},7}}
2	8	816	4003006	普通:喷壶-郊狼	{{{120,180},13}}
2	8	817	4003007	普通:通条-郊狼	{{{120,180},13}}
2	8	818	5001001	精英:炉子-郊狼	{{{120,180},29}}
2	8	819	5001009	精英:自走炮-郊狼	{{{120,180},29}}
2	8	820	5001010	精英:铁锤-郊狼	{{{120,180},72}}
2	8	821	5001018	精英:猛火-郊狼	{{{120,180},54}}
2	8	822	5001019	精英:重壁-郊狼	{{{120,180},65}}
2	8	823	5002010	精英:喇叭-郊狼	{{{120,180},72}}
2	8	824	400160202	普通:鼹鼠无人机-郊狼	{{{120,180},2}}
2	8	825	5001113	精英:净化贤者-降临团	{{{120,180},47}}
2	8	826	5001118	精英:赐福者-降临团	{{{120,180},72}}
2	8	827	4001104	普通:武装会员-降临团	{{{120,180},40}}
2	8	828	4001108	普通:会员-降临团	{{{120,180},7}}
2	8	829	500110902	精英:审判官-降临团	{{{120,180},72}}
2	8	830	4003106	普通:爆破会员-降临团	{{{120,180},9}}
2	8	831	5003110	精英:净化官-降临团	{{{120,180},58}}
2	8	832	4001114	普通:散射会员-降临团	{{{120,180},13}}
2	8	833	5001101	精英:波伏娃系统-降临团	{{{120,180},50}}
2	8	834	4003103	普通:长刀会员-降临团	{{{120,180},31}}
2	8	835	4001116	普通:降临火花-降临团	{{{120,180},2}}
2	8	836	500110901	精英:审判官-降临团	{{{120,180},72}}
2	8	837	4003102	普通:弓箭会员-降临团	{{{120,180},18}}
2	8	838	4001112	普通:连弩会员-降临团	{{{120,180},9}}
2	8	839	5001111	精英:幻射会员-降临团	{{{120,180},43}}
2	8	840	5001117	精英:播种试图-降临团	{{{120,180},43}}
2	8	841	600120502	boss:祟（火）-泰坦	{{{120,180},423}}
2	8	842	6001102	boss:加文-降临团	{{{120,180},301}}
2	8	843	6001004	boss:爱思特-郊狼	{{{120,180},235}}
2	8	844	6002101	boss:波伏娃13-降临团	{{{120,180},308}}
2	8	845	6001206	boss:尼亚尔-军方	{{{120,180},340}}
2	8	846	6001003	boss:约瑟夫-郊狼	{{{120,180},320}}
2	8	847	6001005	boss:二型验证机甲-郊狼	{{{120,180},360}}
2	8	848	6001302	boss:透墨索斯	{{{120,180},336}}
2	8	849	6001303	boss:尘白恶魔	{{{120,180},462}}
2	8	850	4001103	长刀会员-降临团	{{{120,180},31}}
2	8	851	400110802	会员-老兵	{{{120,180},7}}
2	8	852	4001106	爆破会员-降临团	{{{120,180},9}}
2	8	853	4001102	弓箭会员-降临团	{{{120,180},18}}
2	8	854	5001110	净化官-降临团	{{{120,180},58}}
2	8	855	400111201	连弩会员-老兵-降临团	{{{120,180},9}}
2	8	856	400111401	散射会员（老兵）	{{{120,180},13}}
2	8	857	4002102	弓箭会员-降临团	{{{120,180},18}}
2	8	858	5001311	太阳伞	{{{120,180},90}}
2	8	859	5001308	塞壬	{{{120,180},72}}
2	8	860	5001307	莱拉普斯	{{{120,180},72}}
2	8	861	4001304	格里芬	{{{120,180},22}}
2	8	862	4001303	哈比	{{{120,180},35}}
2	8	863	4001301	埃罗	{{{120,180},7}}
2	8	864	5001302	阿耳戈斯	{{{120,180},54}}
2	8	865	4001306	滚石	{{{120,180},9}}
2	8	866	400150602	清理部队（霰弹）	{{{120,180},13}}
2	8	867	400250602	清理部队（步枪）	{{{120,180},13}}
2	8	868	5001403	天启对策机	{{{120,180},54}}
2	8	869	400130103	埃罗	{{{120,180},7}}
2	8	870	400130403	格里芬	{{{120,180},22}}
2	8	871	400350602	清理部队（近战）	{{{120,180},26}}
2	8	872	5001402	巴伦支精英斥候	{{{120,180},54}}
2	8	873	500100902	自走炮（换皮）	{{{120,180},36}}
2	8	874	4001211	甲型异化人	{{{120,180},4}}
2	8	875	4001212	乙型异化人	{{{120,180},4}}
2	8	876	5001206	贡露（大眼）	{{{120,180},54}}
2	8	877	5001204	索列姆（扩音）	{{{120,180},90}}
2	8	878	4001213	丙型异化人	{{{120,180},35}}
2	8	879	4001215	祸斗	{{{120,180},18}}
2	8	880	4001216	侵蚀泰坦	{{{120,180},9}}
2	8	881	5001208	密弥尔（低温）	{{{120,180},63}}
