玩法组	节点id	备注	路线数量	地图风貌	通道地图	路线1	路线2	路线3{{地图组,权重}}	特殊路线和触发条件	房间等级	怪物数值模板	完成后获得的经验	完成后获得的科技点	完成后获得的奖券（赛季生效）	完成后获得的钥匙（冒险模式生效）	完成后获得的万能钥匙（冒险模式生效）	完成后消耗的精力值（冒险模式生效）	初始地图配置(地图组,地图id)
404	15	极难5-房间14	3			bingo_level2	random_havefight_hard	fight_hard	{"mystery",1}	134	16	22	6	1	1	0	6	
404	16	极难5-房间15	3			fight_hard_vip	fight_hard_vip	fight_hard_vip	{"mystery",1}	137	16	24	6	0	0	1	0	
404	17	极难5-房间16	3			random_nofight_hard	relx_normal	fight_boss	{"mystery",1}	140	16	24	7	1	0	0	0	
404	18	极难5-房间17	3			fight_boss	fight_boss	fight_boss	{"mystery",1}	144	16	26	7	1	1	0	6	
404	19	极难5-房间18	3			fight_boss	fight_hard	fight_boss	{"mystery",1}	148	16	32	8	1	0	0	0	
404	20	极难5-房间19	3			relx_rare_3	fight_boss	shop_level3		152	16	40	8	1	0	0	0	
404	21	极难5-房间20	1			fight_finboss				156	16	48	10	1	1	0	6	
404	22	极难5-房间21	1			fight_infinity				160	16	60	12	2	0	1	0	
404	23	极难5-无尽关	0							160	16	0	0	0	0	0	0	
																		
501	1	特殊1-1-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
501	2	特殊1-1-房间1	3	area08	corridor1	random_havefight_normal	fight_normal	fight_normal		105	15	10	2	1				
501	3	特殊1-1-房间2	3	area08		random_havefight_normal	random_nofight_normal	fight_normal		107	15	10	2	1				
501	4	特殊1-1-房间3	3	area08		fight_normal	fight_normal_magic	fight_normal		109	15	14	3	1				
501	5	特殊1-1-房间4	3	area08		fight_hard	fight_hard	fight_hard		111	15	14	3	0				
501	6	特殊1-1-房间5	3	area08		shop_level1	random_havefight_hard	fight_hard		113	15	14	3	1				
501	7	特殊1-1-房间6	3	area10	corridor1	fight_hard	fight_hard	fight_hard_personal		115	15	14	3	1				
501	8	特殊1-1-房间7	3	area10		relx_rare_2	reward_hard	random_havefight_hard		117	15	19	5	1				
501	9	特殊1-1-房间8	3	area10		fight_hard_vip	fight_hard_vip	fight_hard_vip		119	15	19	5	0				
501	10	特殊1-1-房间9	3	area10		random_havefight_hard	shop_level2	fight_hard		121	15	19	5	1				
501	11	特殊1-1-房间10	3	area10		fight_hard	fight_hard	fight_hard		123	15	24	6	1				
501	12	特殊1-1-房间11	3	area02	corridor2	fight_hard_magic	fight_hard	fight_hard		125	15	24	6	1				
501	13	特殊1-1-房间12	3	area02		fight_boss	fight_boss	fight_boss		128	15	24	6	1				
501	14	特殊1-1-房间13	3	area02		random_havefight_hard	fight_hard	relx_rare_2		131	15	24	6	1				
501	15	特殊1-1-房间14	3	area02		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
501	16	特殊1-1-房间15	3	area02		fight_boss	fight_boss	fight_boss		137	15	29	7	1				
501	17	特殊1-1-房间16	3	area11	corridor3	fight_hard	random_havefight_hard	fight_hard		140	15	29	7	1				
501	18	特殊1-1-房间17	3	area11		fight_hard	fight_hard	fight_hard		143	15	34	8	1				
501	19	特殊1-1-房间18	3	area11		shop_level3	relx_rare_3	fight_hard		146	15	38	9	1				
501	20	特殊1-1-房间19	1	area11		fight_finboss				149	15	43	10	2				
501	21	特殊1-1-房间20	0	area11						152	15	48	12	2				
																		
502	1	特殊1-2-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
502	2	特殊1-2-房间1	3	area10	corridor1	random_havefight_normal	fight_normal	fight_normal		105	15	10	2	1				
502	3	特殊1-2-房间2	3	area10		random_havefight_normal	random_nofight_normal	fight_normal		107	15	10	2	1				
502	4	特殊1-2-房间3	3	area10		fight_normal	fight_normal_magic	fight_normal		109	15	14	3	1				
502	5	特殊1-2-房间4	3	area10		fight_hard	fight_hard	fight_hard		111	15	14	3	0				
502	6	特殊1-2-房间5	3	area10		shop_level1	random_havefight_hard	fight_hard		113	15	14	3	1				
502	7	特殊1-2-房间6	3	area11	corridor1	fight_hard	fight_hard	fight_hard_personal		115	15	14	3	1				
502	8	特殊1-2-房间7	3	area11		relx_rare_2	reward_hard	random_havefight_hard		117	15	19	5	1				
502	9	特殊1-2-房间8	3	area11		fight_hard_vip	fight_hard_vip	fight_hard_vip		119	15	19	5	0				
502	10	特殊1-2-房间9	3	area11		random_havefight_hard	shop_level2	fight_hard		121	15	19	5	1				
502	11	特殊1-2-房间10	3	area11		fight_hard	fight_hard	fight_hard		123	15	24	6	1				
502	12	特殊1-2-房间11	3	area02	corridor2	fight_hard_magic	fight_hard	fight_hard		125	15	24	6	1				
502	13	特殊1-2-房间12	3	area02		fight_boss	fight_boss	fight_boss		128	15	24	6	1				
502	14	特殊1-2-房间13	3	area02		random_havefight_hard	fight_hard	relx_rare_2		131	15	24	6	1				
502	15	特殊1-2-房间14	3	area02		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
502	16	特殊1-2-房间15	3	area02		fight_boss	fight_boss	fight_boss		137	15	29	7	1				
502	17	特殊1-2-房间16	3	area08	corridor3	fight_hard	random_havefight_hard	fight_hard		140	15	29	7	1				
502	18	特殊1-2-房间17	3	area08		fight_hard	fight_hard	fight_hard		143	15	34	8	1				
502	19	特殊1-2-房间18	3	area08		shop_level3	relx_rare_3	fight_hard		146	15	38	9	1				
502	20	特殊1-2-房间19	1	area08		fight_finboss				149	15	43	10	2				
502	21	特殊1-2-房间20	0	area08						152	15	48	12	2				
																		
503	1	特殊1-3-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
503	2	特殊1-3-房间1	3	area02	corridor1	random_havefight_normal	fight_normal	fight_normal		105	15	10	2	1				
503	3	特殊1-3-房间2	3	area02		random_havefight_normal	random_nofight_normal	fight_normal		107	15	10	2	1				
503	4	特殊1-3-房间3	3	area02		fight_normal	fight_normal_magic	fight_normal		109	15	14	3	1				
503	5	特殊1-3-房间4	3	area02		fight_hard	fight_hard	fight_hard		111	15	14	3	0				
503	6	特殊1-3-房间5	3	area02		shop_level1	random_havefight_hard	fight_hard		113	15	14	3	1				
503	7	特殊1-3-房间6	3	area11	corridor1	fight_hard	fight_hard	fight_hard_personal		115	15	14	3	1				
503	8	特殊1-3-房间7	3	area11		relx_rare_2	reward_hard	random_havefight_hard		117	15	19	5	1				
503	9	特殊1-3-房间8	3	area11		fight_hard_vip	fight_hard_vip	fight_hard_vip		119	15	19	5	0				
503	10	特殊1-3-房间9	3	area11		random_havefight_hard	shop_level2	fight_hard		121	15	19	5	1				
503	11	特殊1-3-房间10	3	area11		fight_hard	fight_hard	fight_hard		123	15	24	6	1				
503	12	特殊1-3-房间11	3	area08	corridor2	fight_hard_magic	fight_hard	fight_hard		125	15	24	6	1				
503	13	特殊1-3-房间12	3	area08		fight_boss	fight_boss	fight_boss		128	15	24	6	1				
503	14	特殊1-3-房间13	3	area08		random_havefight_hard	fight_hard	relx_rare_2		131	15	24	6	1				
503	15	特殊1-3-房间14	3	area08		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
503	16	特殊1-3-房间15	3	area08		fight_boss	fight_boss	fight_boss		137	15	29	7	1				
503	17	特殊1-3-房间16	3	area10	corridor3	fight_hard	random_havefight_hard	fight_hard		140	15	29	7	1				
503	18	特殊1-3-房间17	3	area10		fight_hard	fight_hard	fight_hard		143	15	34	8	1				
503	19	特殊1-3-房间18	3	area10		shop_level3	relx_rare_3	fight_hard		146	15	38	9	1				
503	20	特殊1-3-房间19	1	area10		fight_finboss				149	15	43	10	2				
503	21	特殊1-3-房间20	0	area10						152	15	48	12	2				
																		
504	1	特殊1-4-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
504	2	特殊1-4-房间1	3	area11	corridor1	random_havefight_normal	fight_normal	fight_normal		105	15	10	2	1				
504	3	特殊1-4-房间2	3	area11		random_havefight_normal	random_nofight_normal	fight_normal		107	15	10	2	1				
504	4	特殊1-4-房间3	3	area11		fight_normal	fight_normal_magic	fight_normal		109	15	14	3	1				
504	5	特殊1-4-房间4	3	area11		fight_hard	fight_hard	fight_hard		111	15	14	3	0				
504	6	特殊1-4-房间5	3	area11		shop_level1	random_havefight_hard	fight_hard		113	15	14	3	1				
504	7	特殊1-4-房间6	3	area08	corridor1	fight_hard	fight_hard	fight_hard_personal		115	15	14	3	1				
504	8	特殊1-4-房间7	3	area08		relx_rare_2	reward_hard	random_havefight_hard		117	15	19	5	1				
504	9	特殊1-4-房间8	3	area08		fight_hard_vip	fight_hard_vip	fight_hard_vip		119	15	19	5	0				
504	10	特殊1-4-房间9	3	area08		random_havefight_hard	shop_level2	fight_hard		121	15	19	5	1				
504	11	特殊1-4-房间10	3	area08		fight_hard	fight_hard	fight_hard		123	15	24	6	1				
504	12	特殊1-4-房间11	3	area10	corridor2	fight_hard_magic	fight_hard	fight_hard		125	15	24	6	1				
504	13	特殊1-4-房间12	3	area10		fight_boss	fight_boss	fight_boss		128	15	24	6	1				
504	14	特殊1-4-房间13	3	area10		random_havefight_hard	fight_hard	relx_rare_2		131	15	24	6	1				
504	15	特殊1-4-房间14	3	area10		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
504	16	特殊1-4-房间15	3	area10		fight_boss	fight_boss	fight_boss		137	15	29	7	1				
504	17	特殊1-4-房间16	3	area02	corridor3	fight_hard	random_havefight_hard	fight_hard		140	15	29	7	1				
504	18	特殊1-4-房间17	3	area02		fight_hard	fight_hard	fight_hard		143	15	34	8	1				
504	19	特殊1-4-房间18	3	area02		shop_level3	relx_rare_3	fight_hard		146	15	38	9	1				
504	20	特殊1-4-房间19	1	area02		fight_finboss				149	15	43	10	2				
504	21	特殊1-4-房间20	0	area02						152	15	48	12	2				
																		
511	1	特殊2-1-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
511	2	特殊2-1-房间1	3	area08	corridor1	reward_normal	random_havefight_normal	fight_normal		105	15	10	2	1				
511	3	特殊2-1-房间2	3	area08		fight_hard	fight_hard	fight_hard		107	15	10	2	1				
511	4	特殊2-1-房间3	3	area08		random_havefight_hard	shop_level1	fight_hard		109	15	14	3	1				
511	5	特殊2-1-房间4	3	area08		fight_boss	fight_boss	fight_boss		111	15	14	3	0				
511	6	特殊2-1-房间5	3	area08		relx_rare_1	fight_hard	random_havefight_hard		113	15	14	3	1				
511	7	特殊2-1-房间6	3	area02	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
511	8	特殊2-1-房间7	3	area02		random_nofight_hard	random_havefight_hard	fight_hard		117	15	19	5	1				
511	9	特殊2-1-房间8	3	area02		fight_hard	fight_hard_personal	fight_hard_magic		119	15	19	5	0				
511	10	特殊2-1-房间9	3	area02		fight_boss	fight_boss	fight_hard		121	15	19	5	1				
511	11	特殊2-1-房间10	3	area02		relx_rare_2	shop_level2	random_nofight_hard		123	15	24	6	1				
511	12	特殊2-1-房间11	3	area11	corridor2	fight_boss	fight_boss	fight_boss		125	15	24	6	1				
511	13	特殊2-1-房间12	3	area11		random_havefight_hard	random_havefight_hard	random_havefight_hard		128	15	24	6	1				
511	14	特殊2-1-房间13	3	area11		fight_hard_vip	fight_hard_vip	fight_hard_vip		131	15	24	6	1				
511	15	特殊2-1-房间14	3	area11		reward_hard	relx_rare_3	fight_hard		134	15	29	7	1				
511	16	特殊2-1-房间15	3	area11		fight_hard_magic	fight_hard	fight_hard		137	15	29	7	1				
511	17	特殊2-1-房间16	3	area10	corridor3	fight_boss	fight_boss	fight_boss		140	15	29	7	1				
511	18	特殊2-1-房间17	3	area10		random_havefight_hard	fight_hard	shop_level3		143	15	34	8	1				
511	19	特殊2-1-房间18	3	area10		fight_hard	fight_hard	fight_hard		146	15	38	9	1				
511	20	特殊2-1-房间19	1	area10		fight_finboss				149	15	43	10	2				
511	21	特殊2-1-房间20	0	area10						152	15	48	12	2				
																		
512	1	特殊2-2-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
512	2	特殊2-2-房间1	3	area11	corridor1	reward_normal	random_havefight_normal	fight_normal		105	15	10	2	1				
512	3	特殊2-2-房间2	3	area11		fight_hard	fight_hard	fight_hard		107	15	10	2	1				
512	4	特殊2-2-房间3	3	area11		random_havefight_hard	shop_level1	fight_hard		109	15	14	3	1				
512	5	特殊2-2-房间4	3	area11		fight_boss	fight_boss	fight_boss		111	15	14	3	0				
512	6	特殊2-2-房间5	3	area11		relx_rare_1	fight_hard	random_havefight_hard		113	15	14	3	1				
512	7	特殊2-2-房间6	3	area02	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
512	8	特殊2-2-房间7	3	area02		random_nofight_hard	random_havefight_hard	fight_hard		117	15	19	5	1				
512	9	特殊2-2-房间8	3	area02		fight_hard	fight_hard_personal	fight_hard_magic		119	15	19	5	0				
512	10	特殊2-2-房间9	3	area02		fight_boss	fight_boss	fight_hard		121	15	19	5	1				
512	11	特殊2-2-房间10	3	area02		relx_rare_2	shop_level2	random_nofight_hard		123	15	24	6	1				
512	12	特殊2-2-房间11	3	area10	corridor2	fight_boss	fight_boss	fight_boss		125	15	24	6	1				
512	13	特殊2-2-房间12	3	area10		random_havefight_hard	random_havefight_hard	random_havefight_hard		128	15	24	6	1				
512	14	特殊2-2-房间13	3	area10		fight_hard_vip	fight_hard_vip	fight_hard_vip		131	15	24	6	1				
512	15	特殊2-2-房间14	3	area10		reward_hard	relx_rare_3	fight_hard		134	15	29	7	1				
512	16	特殊2-2-房间15	3	area10		fight_hard_magic	fight_hard	fight_hard		137	15	29	7	1				
512	17	特殊2-2-房间16	3	area08	corridor3	fight_boss	fight_boss	fight_boss		140	15	29	7	1				
512	18	特殊2-2-房间17	3	area08		random_havefight_hard	fight_hard	shop_level3		143	15	34	8	1				
512	19	特殊2-2-房间18	3	area08		fight_hard	fight_hard	fight_hard		146	15	38	9	1				
512	20	特殊2-2-房间19	1	area08		fight_finboss				149	15	43	10	2				
512	21	特殊2-2-房间20	0	area08						152	15	48	12	2				
																		
513	1	特殊2-3-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
513	2	特殊2-3-房间1	3	area02	corridor1	reward_normal	random_havefight_normal	fight_normal		105	15	10	2	1				
513	3	特殊2-3-房间2	3	area02		fight_hard	fight_hard	fight_hard		107	15	10	2	1				
513	4	特殊2-3-房间3	3	area02		random_havefight_hard	shop_level1	fight_hard		109	15	14	3	1				
513	5	特殊2-3-房间4	3	area02		fight_boss	fight_boss	fight_boss		111	15	14	3	0				
513	6	特殊2-3-房间5	3	area02		relx_rare_1	fight_hard	random_havefight_hard		113	15	14	3	1				
513	7	特殊2-3-房间6	3	area08	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
513	8	特殊2-3-房间7	3	area08		random_nofight_hard	random_havefight_hard	fight_hard		117	15	19	5	1				
513	9	特殊2-3-房间8	3	area08		fight_hard	fight_hard_personal	fight_hard_magic		119	15	19	5	0				
513	10	特殊2-3-房间9	3	area08		fight_boss	fight_boss	fight_hard		121	15	19	5	1				
513	11	特殊2-3-房间10	3	area08		relx_rare_2	shop_level2	random_nofight_hard		123	15	24	6	1				
513	12	特殊2-3-房间11	3	area10	corridor2	fight_boss	fight_boss	fight_boss		125	15	24	6	1				
513	13	特殊2-3-房间12	3	area10		random_havefight_hard	random_havefight_hard	random_havefight_hard		128	15	24	6	1				
513	14	特殊2-3-房间13	3	area10		fight_hard_vip	fight_hard_vip	fight_hard_vip		131	15	24	6	1				
513	15	特殊2-3-房间14	3	area10		reward_hard	relx_rare_3	fight_hard		134	15	29	7	1				
513	16	特殊2-3-房间15	3	area10		fight_hard_magic	fight_hard	fight_hard		137	15	29	7	1				
513	17	特殊2-3-房间16	3	area11	corridor3	fight_boss	fight_boss	fight_boss		140	15	29	7	1				
513	18	特殊2-3-房间17	3	area11		random_havefight_hard	fight_hard	shop_level3		143	15	34	8	1				
513	19	特殊2-3-房间18	3	area11		fight_hard	fight_hard	fight_hard		146	15	38	9	1				
513	20	特殊2-3-房间19	1	area11		fight_finboss				149	15	43	10	2				
513	21	特殊2-3-房间20	0	area11						152	15	48	12	2				
																		
514	1	特殊2-4-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
514	2	特殊2-4-房间1	3	area10	corridor1	reward_normal	random_havefight_normal	fight_normal		105	15	10	2	1				
514	3	特殊2-4-房间2	3	area10		fight_hard	fight_hard	fight_hard		107	15	10	2	1				
514	4	特殊2-4-房间3	3	area10		random_havefight_hard	shop_level1	fight_hard		109	15	14	3	1				
514	5	特殊2-4-房间4	3	area10		fight_boss	fight_boss	fight_boss		111	15	14	3	0				
514	6	特殊2-4-房间5	3	area10		relx_rare_1	fight_hard	random_havefight_hard		113	15	14	3	1				
514	7	特殊2-4-房间6	3	area08	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
514	8	特殊2-4-房间7	3	area08		random_nofight_hard	random_havefight_hard	fight_hard		117	15	19	5	1				
514	9	特殊2-4-房间8	3	area08		fight_hard	fight_hard_personal	fight_hard_magic		119	15	19	5	0				
514	10	特殊2-4-房间9	3	area08		fight_boss	fight_boss	fight_hard		121	15	19	5	1				
514	11	特殊2-4-房间10	3	area08		relx_rare_2	shop_level2	random_nofight_hard		123	15	24	6	1				
514	12	特殊2-4-房间11	3	area11	corridor2	fight_boss	fight_boss	fight_boss		125	15	24	6	1				
514	13	特殊2-4-房间12	3	area11		random_havefight_hard	random_havefight_hard	random_havefight_hard		128	15	24	6	1				
514	14	特殊2-4-房间13	3	area11		fight_hard_vip	fight_hard_vip	fight_hard_vip		131	15	24	6	1				
514	15	特殊2-4-房间14	3	area11		reward_hard	relx_rare_3	fight_hard		134	15	29	7	1				
514	16	特殊2-4-房间15	3	area11		fight_hard_magic	fight_hard	fight_hard		137	15	29	7	1				
514	17	特殊2-4-房间16	3	area02	corridor3	fight_boss	fight_boss	fight_boss		140	15	29	7	1				
514	18	特殊2-4-房间17	3	area02		random_havefight_hard	fight_hard	shop_level3		143	15	34	8	1				
514	19	特殊2-4-房间18	3	area02		fight_hard	fight_hard	fight_hard		146	15	38	9	1				
514	20	特殊2-4-房间19	1	area02		fight_finboss				149	15	43	10	2				
514	21	特殊2-4-房间20	0	area02						152	15	48	12	2				
																		
521	1	特殊3-1-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
521	2	特殊3-1-房间1	3	area10	corridor1	reward_normal	fight_normal	random_havefight_normal		105	15	10	2	1				
521	3	特殊3-1-房间2	3	area10		fight_normal	fight_normal_magic	fight_normal		107	15	10	2	1				
521	4	特殊3-1-房间3	3	area10		fight_hard	fight_hard	fight_hard		109	15	14	3	1				
521	5	特殊3-1-房间4	3	area10		fight_hard	relx_rare_1	shop_level1		111	15	14	3	0				
521	6	特殊3-1-房间5	3	area10		random_nofight_hard	random_havefight_hard	fight_hard		113	15	14	3	1				
521	7	特殊3-1-房间6	3	area02	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
521	8	特殊3-1-房间7	3	area02		fight_boss	fight_boss	fight_boss		117	15	19	5	1				
521	9	特殊3-1-房间8	3	area02		reward_hard	shop_level2	fight_hard		119	15	19	5	0				
521	10	特殊3-1-房间9	3	area02		fight_boss	fight_boss	fight_boss		121	15	19	5	1				
521	11	特殊3-1-房间10	3	area02		fight_hard	fight_hard_personal	fight_hard		123	15	24	6	1				
521	12	特殊3-1-房间11	3	area11	corridor2	random_havefight_hard	random_havefight_hard	random_havefight_hard		125	15	24	6	1				
521	13	特殊3-1-房间12	3	area11		fight_hard_magic	fight_hard	fight_hard		128	15	24	6	1				
521	14	特殊3-1-房间13	3	area11		random_nofight_hard	relx_rare_3	fight_hard		131	15	24	6	1				
521	15	特殊3-1-房间14	3	area11		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
521	16	特殊3-1-房间15	3	area11		random_havefight_hard	random_havefight_hard	fight_hard		137	15	29	7	1				
521	17	特殊3-1-房间16	3	area08	corridor3	fight_hard_personal	fight_boss	fight_boss		140	15	29	7	1				
521	18	特殊3-1-房间17	3	area08		shop_level3	fight_boss	fight_hard		143	15	34	8	1				
521	19	特殊3-1-房间18	3	area08		relx_rare_3	fight_hard	random_nofight_hard		146	15	38	9	1				
521	20	特殊3-1-房间19	1	area08		fight_finboss				149	15	43	10	2				
521	21	特殊3-1-房间20	0	area08						152	15	48	12	2				
																		
522	1	特殊3-2-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
522	2	特殊3-2-房间1	3	area02	corridor1	reward_normal	fight_normal	random_havefight_normal		105	15	10	2	1				
522	3	特殊3-2-房间2	3	area02		fight_normal	fight_normal_magic	fight_normal		107	15	10	2	1				
522	4	特殊3-2-房间3	3	area02		fight_hard	fight_hard	fight_hard		109	15	14	3	1				
522	5	特殊3-2-房间4	3	area02		fight_hard	relx_rare_1	shop_level1		111	15	14	3	0				
522	6	特殊3-2-房间5	3	area02		random_nofight_hard	random_havefight_hard	fight_hard		113	15	14	3	1				
522	7	特殊3-2-房间6	3	area11	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
522	8	特殊3-2-房间7	3	area11		fight_boss	fight_boss	fight_boss		117	15	19	5	1				
522	9	特殊3-2-房间8	3	area11		reward_hard	shop_level2	fight_hard		119	15	19	5	0				
522	10	特殊3-2-房间9	3	area11		fight_boss	fight_boss	fight_boss		121	15	19	5	1				
522	11	特殊3-2-房间10	3	area11		fight_hard	fight_hard_personal	fight_hard		123	15	24	6	1				
522	12	特殊3-2-房间11	3	area08	corridor2	random_havefight_hard	random_havefight_hard	random_havefight_hard		125	15	24	6	1				
522	13	特殊3-2-房间12	3	area08		fight_hard_magic	fight_hard	fight_hard		128	15	24	6	1				
522	14	特殊3-2-房间13	3	area08		random_nofight_hard	relx_rare_3	fight_hard		131	15	24	6	1				
522	15	特殊3-2-房间14	3	area08		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
522	16	特殊3-2-房间15	3	area08		random_havefight_hard	random_havefight_hard	fight_hard		137	15	29	7	1				
522	17	特殊3-2-房间16	3	area10	corridor3	fight_hard_personal	fight_boss	fight_boss		140	15	29	7	1				
522	18	特殊3-2-房间17	3	area10		shop_level3	fight_boss	fight_hard		143	15	34	8	1				
522	19	特殊3-2-房间18	3	area10		relx_rare_3	fight_hard	random_nofight_hard		146	15	38	9	1				
522	20	特殊3-2-房间19	1	area10		fight_finboss				149	15	43	10	2				
522	21	特殊3-2-房间20	0	area10						152	15	48	12	2				
																		
523	1	特殊3-3-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
523	2	特殊3-3-房间1	3	area08	corridor1	reward_normal	fight_normal	random_havefight_normal		105	15	10	2	1				
523	3	特殊3-3-房间2	3	area08		fight_normal	fight_normal_magic	fight_normal		107	15	10	2	1				
523	4	特殊3-3-房间3	3	area08		fight_hard	fight_hard	fight_hard		109	15	14	3	1				
523	5	特殊3-3-房间4	3	area08		fight_hard	relx_rare_1	shop_level1		111	15	14	3	0				
523	6	特殊3-3-房间5	3	area08		random_nofight_hard	random_havefight_hard	fight_hard		113	15	14	3	1				
523	7	特殊3-3-房间6	3	area10	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
523	8	特殊3-3-房间7	3	area10		fight_boss	fight_boss	fight_boss		117	15	19	5	1				
523	9	特殊3-3-房间8	3	area10		reward_hard	shop_level2	fight_hard		119	15	19	5	0				
523	10	特殊3-3-房间9	3	area10		fight_boss	fight_boss	fight_boss		121	15	19	5	1				
523	11	特殊3-3-房间10	3	area10		fight_hard	fight_hard_personal	fight_hard		123	15	24	6	1				
523	12	特殊3-3-房间11	3	area02	corridor2	random_havefight_hard	random_havefight_hard	random_havefight_hard		125	15	24	6	1				
523	13	特殊3-3-房间12	3	area02		fight_hard_magic	fight_hard	fight_hard		128	15	24	6	1				
523	14	特殊3-3-房间13	3	area02		random_nofight_hard	relx_rare_3	fight_hard		131	15	24	6	1				
523	15	特殊3-3-房间14	3	area02		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
523	16	特殊3-3-房间15	3	area02		random_havefight_hard	random_havefight_hard	fight_hard		137	15	29	7	1				
523	17	特殊3-3-房间16	3	area11	corridor3	fight_hard_personal	fight_boss	fight_boss		140	15	29	7	1				
523	18	特殊3-3-房间17	3	area11		shop_level3	fight_boss	fight_hard		143	15	34	8	1				
523	19	特殊3-3-房间18	3	area11		relx_rare_3	fight_hard	random_nofight_hard		146	15	38	9	1				
523	20	特殊3-3-房间19	1	area11		fight_finboss				149	15	43	10	2				
523	21	特殊3-3-房间20	0	area11						152	15	48	12	2				
																		
524	1	特殊3-4-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
524	2	特殊3-4-房间1	3	area11	corridor1	reward_normal	fight_normal	random_havefight_normal		105	15	10	2	1				
524	3	特殊3-4-房间2	3	area11		fight_normal	fight_normal_magic	fight_normal		107	15	10	2	1				
524	4	特殊3-4-房间3	3	area11		fight_hard	fight_hard	fight_hard		109	15	14	3	1				
524	5	特殊3-4-房间4	3	area11		fight_hard	relx_rare_1	shop_level1		111	15	14	3	0				
524	6	特殊3-4-房间5	3	area11		random_nofight_hard	random_havefight_hard	fight_hard		113	15	14	3	1				
524	7	特殊3-4-房间6	3	area08	corridor1	fight_hard_vip	fight_hard_vip	fight_hard_vip		115	15	14	3	1				
524	8	特殊3-4-房间7	3	area08		fight_boss	fight_boss	fight_boss		117	15	19	5	1				
524	9	特殊3-4-房间8	3	area08		reward_hard	shop_level2	fight_hard		119	15	19	5	0				
524	10	特殊3-4-房间9	3	area08		fight_boss	fight_boss	fight_boss		121	15	19	5	1				
524	11	特殊3-4-房间10	3	area08		fight_hard	fight_hard_personal	fight_hard		123	15	24	6	1				
524	12	特殊3-4-房间11	3	area10	corridor2	random_havefight_hard	random_havefight_hard	random_havefight_hard		125	15	24	6	1				
524	13	特殊3-4-房间12	3	area10		fight_hard_magic	fight_hard	fight_hard		128	15	24	6	1				
524	14	特殊3-4-房间13	3	area10		random_nofight_hard	relx_rare_3	fight_hard		131	15	24	6	1				
524	15	特殊3-4-房间14	3	area10		fight_hard_vip	fight_hard_vip	fight_hard_vip		134	15	29	7	1				
524	16	特殊3-4-房间15	3	area10		random_havefight_hard	random_havefight_hard	fight_hard		137	15	29	7	1				
524	17	特殊3-4-房间16	3	area02	corridor3	fight_hard_personal	fight_boss	fight_boss		140	15	29	7	1				
524	18	特殊3-4-房间17	3	area02		shop_level3	fight_boss	fight_hard		143	15	34	8	1				
524	19	特殊3-4-房间18	3	area02		relx_rare_3	fight_hard	random_nofight_hard		146	15	38	9	1				
524	20	特殊3-4-房间19	1	area02		fight_finboss				149	15	43	10	2				
524	21	特殊3-4-房间20	0	area02						152	15	48	12	2				
																		
531	1	特殊4-1-起点	3	origin		fight_normal_vip	fight_normal_vip	fight_normal_vip		0	15	0	0	0				start,1
531	2	特殊4-1-房间1	3	area11	corridor1	reward_normal	reward_normal	reward_normal		105	15	10	2	1				
531	3	特殊4-1-房间2	3	area11		fight_normal	fight_normal	fight_normal		107	15	10	2	1				
