唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
216	7	{-19959.1,24874.4,1381.4}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	555	11	0
217	7	{-19230.8,28679.0,1508.1}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	556	11	0
218	7	{-17020.7,24579.8,1265.6}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	557	11	0
219	7	{-17921.7,17422.6,633.2}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	558	11	0
220	7	{-12173.0,15421.9,800.3}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	559	11	0
221	7	{-11840.3,2013.6,372.4}	{0.0,0.0,0.0}	4	1	{0.0,0.0,0.0,0.0}	560	11	0
222	7	{-21057.1,17277.6,-36.2}	{0.0,51.9,0.0}	4	0	{0.0,0.0,0.0,0.0}	867	7	43
223	7	{655.0,3669.0,859.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1022	14	0
224	7	{-4187.0,1376.0,907.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1023	14	0
225	7	{-9537.0,9675.0,897.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1024	14	0
226	7	{-14254.0,14593.0,208.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1025	14	0
227	7	{-15504.0,12307.0,305.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1026	14	0
228	7	{-14345.0,22790.0,995.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1027	14	0
229	7	{-18277.0,32670.0,1528.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1028	14	0
230	7	{-20618.0,20579.0,1236.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1029	14	0
231	7	{-6500.0,15455.0,745.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1030	14	0
232	7	{-19374.9,8342.3,159.4}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1031	14	0
233	7	{1764.0,3634.0,1017.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1065	16	0
234	7	{-5219.0,10057.0,713.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1066	16	0
235	7	{-20530.0,10145.0,668.3}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1067	16	0
236	7	{-21414.0,20486.0,950.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1068	16	0
237	7	{-19159.0,27738.0,1272.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1069	16	0
238	7	{-13769.0,-19461.0,1785.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1070	16	0
239	7	{-6791.0,-9877.0,2814.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1071	16	0
240	7	{-15231.0,-11743.0,-26.0}	{0.0,0.0,0.0}	4	2	{0.0,0.0,0.0,0.0}	1072	16	0
241	7	{-17573.0,16859.5,192.3}	{0.0,-79.6,0.0}	4	0	{0.0,0.0,0.0,0.0}	0	13	0
242	7	{-10189.7,1576.8,155.6}	{0.0,122.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	0	13	0
243	7	{-11039.1,23808.4,3194.9}	{-90.0,-9.5,-35.8}	5	1	{0.0,0.0,0.0,0.0}	691	12	0
244	7	{2599.3,27641.5,1028.2}	{14.8,-7.0,-16.0}	5	1	{0.0,0.0,0.0,0.0}	692	12	0
245	7	{9114.7,18995.3,2774.9}	{6.6,0.0,-11.4}	5	1	{0.0,0.0,0.0,0.0}	693	12	0
246	7	{7704.3,4857.0,1941.4}	{-0.5,18.9,1.4}	5	1	{0.0,0.0,0.0,0.0}	694	12	0
247	7	{6674.8,2148.0,1922.3}	{0.0,-34.6,0.0}	5	1	{0.0,0.0,0.0,0.0}	695	12	0
248	7	{8676.1,6966.0,1874.3}	{0.0,-34.6,0.0}	5	1	{0.0,0.0,0.0,0.0}	696	12	0
249	7	{9461.6,11391.5,3699.1}	{-6.2,179.5,177.4}	5	1	{0.0,0.0,0.0,0.0}	697	12	0
250	7	{10307.2,14270.4,2562.0}	{5.8,-37.7,-3.0}	5	1	{0.0,0.0,0.0,0.0}	698	12	0
251	7	{15302.2,17263.9,3291.5}	{0.0,0.0,43.9}	5	1	{0.0,0.0,0.0,0.0}	699	12	0
252	7	{8297.9,23314.0,5317.4}	{0.0,-72.1,43.9}	5	1	{0.0,0.0,0.0,0.0}	700	12	0
253	7	{4821.2,22570.2,4436.0}	{0.0,-46.7,43.9}	5	1	{0.0,0.0,0.0,0.0}	701	12	0
254	7	{-2258.6,23065.0,4554.9}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	702	12	0
255	7	{904.2,25632.3,3098.0}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	703	12	0
256	7	{-529.1,28330.7,2114.0}	{0.0,0.0,-40.9}	5	1	{0.0,0.0,0.0,0.0}	704	12	0
257	7	{4717.0,31416.8,1960.4}	{10.2,-36.3,-59.5}	5	1	{0.0,0.0,0.0,0.0}	705	12	0
258	7	{9244.4,28892.9,3646.1}	{-4.7,0.4,7.2}	5	1	{0.0,0.0,0.0,0.0}	706	12	0
259	7	{12656.7,30613.1,2263.6}	{20.9,-0.9,3.9}	5	1	{0.0,0.0,0.0,0.0}	707	12	0
260	7	{12975.9,33359.3,2433.3}	{15.4,34.0,-6.4}	5	1	{0.0,0.0,0.0,0.0}	708	12	0
261	7	{13136.9,35127.5,2154.9}	{90.0,-4.8,122.7}	5	1	{0.0,0.0,0.0,0.0}	709	12	0
262	7	{20449.3,28822.7,1968.5}	{0.0,-40.1,0.0}	5	1	{0.0,0.0,0.0,0.0}	710	12	0
263	7	{21755.4,26832.7,1620.3}	{0.0,-40.1,0.0}	5	1	{0.0,0.0,0.0,0.0}	711	12	0
264	7	{23366.0,27522.9,294.3}	{0.0,-40.1,0.0}	5	1	{0.0,0.0,0.0,0.0}	712	12	0
265	7	{28558.0,24572.2,-50.4}	{0.0,-37.5,14.2}	5	1	{0.0,0.0,0.0,0.0}	713	12	0
266	7	{28284.5,21114.0,183.9}	{0.0,-29.4,0.0}	5	1	{0.0,0.0,0.0,0.0}	714	12	0
267	7	{28130.9,18986.5,523.5}	{0.0,-180.0,-180.0}	5	1	{0.0,0.0,0.0,0.0}	715	12	0
268	7	{29416.0,16376.5,149.6}	{0.0,-161.9,0.0}	5	1	{0.0,0.0,0.0,0.0}	716	12	0
269	7	{-93.3,17734.9,1248.1}	{0.0,-177.8,135.7}	5	1	{0.0,0.0,0.0,0.0}	717	12	0
270	7	{394.8,14453.2,1457.7}	{17.5,4.6,15.1}	5	1	{0.0,0.0,0.0,0.0}	718	12	0
271	7	{3489.5,20316.7,2681.8}	{-84.5,-180.0,-180.0}	5	1	{0.0,0.0,0.0,0.0}	719	12	0
272	7	{1056.8,21196.9,2644.4}	{-6.4,0.0,-0.6}	5	1	{0.0,0.0,0.0,0.0}	720	12	0
273	7	{4697.4,28115.1,2782.7}	{0.0,43.3,0.0}	5	1	{0.0,0.0,0.0,0.0}	721	12	0
274	7	{-9755.4,28537.9,2545.9}	{-34.1,0.0,90.0}	5	1	{0.0,0.0,0.0,0.0}	722	12	0
275	7	{-10286.6,26480.4,2606.1}	{8.1,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	723	12	0
276	7	{-12161.4,32940.5,2545.9}	{-4.1,51.1,84.9}	5	1	{0.0,0.0,0.0,0.0}	724	12	0
277	7	{-16845.5,36871.4,2443.2}	{-6.5,0.0,-15.4}	5	1	{0.0,0.0,0.0,0.0}	725	12	0
278	7	{-12732.7,38711.4,2110.5}	{0.0,0.0,-39.0}	5	1	{0.0,0.0,0.0,0.0}	726	12	0
279	7	{-8075.5,37186.5,2584.6}	{5.1,-0.5,-5.1}	5	1	{0.0,0.0,0.0,0.0}	727	12	0
280	7	{-8526.6,32147.9,2181.4}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	728	12	0
281	7	{-1108.7,33413.9,3215.1}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	729	12	0
282	7	{-2356.6,34452.3,2204.2}	{4.7,-17.9,-1.5}	5	1	{0.0,0.0,0.0,0.0}	730	12	0
283	7	{-5284.7,37761.5,1903.6}	{-86.7,178.2,-180.0}	5	1	{0.0,0.0,0.0,0.0}	731	12	0
284	7	{-25.9,45309.0,1331.8}	{-5.9,-179.9,178.9}	5	1	{0.0,0.0,0.0,0.0}	732	12	0
285	7	{2782.0,46514.1,49.1}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	733	12	0
286	7	{-5223.6,48466.2,-45.7}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	734	12	0
287	7	{2216.0,41545.2,126.0}	{0.0,0.0,-14.1}	5	1	{0.0,0.0,0.0,0.0}	735	12	0
288	7	{-689.4,38893.4,2525.5}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	736	12	0
289	7	{1738.6,33310.6,1872.8}	{-10.0,-2.6,8.3}	5	1	{0.0,0.0,0.0,0.0}	737	12	0
290	7	{31223.4,18973.7,301.3}	{0.0,-132.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	738	12	0
291	7	{33025.7,15006.6,429.1}	{0.0,-132.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	739	12	0
292	7	{31269.9,9988.7,88.5}	{-21.5,-1.3,3.4}	5	1	{0.0,0.0,0.0,0.0}	740	12	0
293	7	{27839.8,11461.1,1215.8}	{0.0,0.0,15.3}	5	1	{0.0,0.0,0.0,0.0}	741	12	0
294	7	{26876.5,11297.3,1509.2}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	742	12	0
295	7	{26708.5,8619.4,1526.3}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	743	12	0
296	7	{19236.4,10621.5,2993.5}	{-71.2,-172.8,-177.4}	5	1	{0.0,0.0,0.0,0.0}	744	12	0
297	7	{21550.4,14021.6,1846.6}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	745	12	0
298	7	{19174.5,18682.1,2441.5}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	746	12	0
299	7	{15557.0,22889.2,3487.1}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	747	12	0
300	7	{10698.9,24503.8,3455.0}	{1.3,-1.1,24.2}	5	1	{0.0,0.0,0.0,0.0}	748	12	0
301	7	{7437.6,20789.8,4272.1}	{-6.2,0.0,-21.7}	5	1	{0.0,0.0,0.0,0.0}	749	12	0
302	7	{36537.2,19521.9,227.6}	{0.0,-132.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	750	12	0
303	7	{2769.0,18112.0,2615.4}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	962	15	0
304	7	{4115.5,22330.6,3921.2}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	963	15	0
305	7	{2542.0,27738.0,1685.0}	{0.0,-25.3,0.0}	5	2	{0.0,0.0,0.0,0.0}	964	15	0
306	7	{11429.1,32274.5,2467.3}	{0.0,-25.3,0.0}	5	2	{0.0,0.0,0.0,0.0}	965	15	0
307	7	{930.0,39412.1,316.4}	{0.0,-25.3,0.0}	5	2	{0.0,0.0,0.0,0.0}	966	15	0
308	7	{-4620.9,39644.7,2529.0}	{0.0,-25.3,0.0}	5	2	{0.0,0.0,0.0,0.0}	967	15	0
309	7	{-11563.0,36078.0,2743.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	968	15	0
310	7	{-11563.0,41427.0,2021.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	969	15	0
311	7	{-18802.0,41625.0,2013.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	970	15	0
312	7	{-17128.0,37591.0,2740.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	971	15	0
313	7	{-12931.0,23721.0,3380.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	972	15	0
314	7	{-10236.0,22951.0,3494.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	973	15	0
315	7	{-5195.0,20178.0,4552.9}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	974	15	0
316	7	{-6097.0,28806.0,3550.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	975	15	0
317	7	{-9717.0,29887.0,2870.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	976	15	0
318	7	{-165.9,32978.8,3623.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	977	15	0
319	7	{10004.0,24927.0,4849.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	978	15	0
320	7	{1032.0,44137.0,1854.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	979	15	0
321	7	{3007.0,46006.0,867.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	980	15	0
322	7	{9990.0,36930.0,695.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	981	15	0
323	7	{18792.0,35185.0,2136.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	982	15	0
324	7	{22968.0,26562.0,595.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	983	15	0
325	7	{22621.8,3786.2,2960.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	984	15	0
326	7	{22716.0,7191.0,2441.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	985	15	0
327	7	{18341.0,8742.0,3990.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	986	15	0
328	7	{29606.0,7366.0,2092.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	987	15	0
329	7	{31607.0,9307.0,488.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	988	15	0
330	7	{39201.0,19786.0,478.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	989	15	0
331	7	{24079.0,17991.0,1965.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	990	15	0
332	7	{6104.0,25677.0,6089.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	991	15	0
333	7	{-1432.6,48444.0,-51.5}	{0.0,40.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	868	7	51
334	7	{23821.3,29389.0,-30.9}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	869	7	52
335	7	{37895.7,19438.9,227.4}	{0.0,20.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	870	7	53
336	7	{9657.9,17144.0,2519.9}	{0.0,40.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	871	7	54
337	7	{-13576.1,23502.4,2834.7}	{0.0,-80.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	823	10	0
338	7	{-10188.6,24776.6,2726.9}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	561	11	0
339	7	{-4593.4,23489.3,2329.8}	{0.0,89.7,0.0}	5	1	{0.0,0.0,0.0,0.0}	824	10	0
340	7	{-2900.4,20111.3,4532.6}	{0.0,45.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	825	10	0
341	7	{-5341.4,33535.6,2211.3}	{0.0,-3.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	826	10	0
342	7	{5453.9,33303.3,1252.2}	{0.0,90.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	827	10	0
343	7	{1076.7,25062.5,310.3}	{-4.9,-29.4,19.8}	5	1	{0.0,0.0,0.0,0.0}	828	10	0
344	7	{-10297.5,30582.6,2205.1}	{0.0,135.7,0.0}	5	1	{0.0,0.0,0.0,0.0}	829	10	0
345	7	{-4153.4,46014.0,788.6}	{0.0,141.5,0.0}	5	1	{0.0,0.0,0.0,0.0}	830	10	0
346	7	{5233.4,39775.2,849.4}	{0.0,19.2,0.0}	5	1	{0.0,0.0,0.0,0.0}	831	10	0
347	7	{17381.7,28671.0,2571.9}	{0.0,154.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	832	10	0
348	7	{5649.7,25450.8,4409.5}	{0.0,154.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	833	10	0
349	7	{4565.1,16406.7,2696.7}	{0.0,53.3,0.0}	5	1	{0.0,0.0,0.0,0.0}	834	10	0
350	7	{27506.2,22960.8,892.9}	{0.0,78.6,0.0}	5	1	{0.0,0.0,0.0,0.0}	835	10	0
351	7	{31790.4,18287.2,229.8}	{0.0,-120.9,0.0}	5	1	{0.0,0.0,0.0,0.0}	836	10	0
352	7	{29651.6,10566.8,1015.7}	{0.0,140.3,0.0}	5	1	{0.0,0.0,0.0,0.0}	837	10	0
353	7	{20225.6,27438.1,1616.5}	{0.0,140.3,0.0}	5	1	{0.0,0.0,0.0,0.0}	838	10	0
354	7	{-8933.8,28269.8,2248.4}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	562	11	0
355	7	{-5266.9,28738.5,2320.1}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	563	11	0
356	7	{-4317.8,16586.3,2117.0}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	564	11	0
357	7	{2367.9,21978.4,4391.0}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	565	11	0
358	7	{-700.2,32032.6,2677.7}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	566	11	0
359	7	{-1372.7,33491.4,3124.3}	{0.0,178.3,0.0}	5	1	{0.0,0.0,0.0,0.0}	839	10	0
360	7	{-404.9,25647.5,3298.8}	{0.0,145.9,0.0}	5	1	{0.0,0.0,0.0,0.0}	840	10	0
361	7	{-516.0,24185.0,4410.9}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	567	11	0
362	7	{1902.7,31801.2,2238.4}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	568	11	0
363	7	{1299.6,35538.6,1637.3}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	569	11	0
364	7	{-3372.0,38565.1,2293.9}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	570	11	0
365	7	{-4421.3,41632.1,1212.5}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	571	11	0
366	7	{1508.9,45556.1,263.7}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	572	11	0
367	7	{2704.0,46018.5,184.5}	{0.0,-87.5,0.0}	5	1	{0.0,0.0,0.0,0.0}	841	10	0
368	7	{37346.7,22190.7,231.0}	{0.0,72.8,0.0}	5	1	{0.0,0.0,0.0,0.0}	842	10	0
369	7	{5495.0,41067.0,528.7}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	573	11	0
370	7	{10107.3,35420.4,926.7}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	574	11	0
371	7	{12712.4,28980.6,2283.9}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	575	11	0
372	7	{22950.6,24833.7,1800.0}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	576	11	0
373	7	{25141.1,20963.7,958.6}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	577	11	0
374	7	{23570.1,12264.1,1613.2}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	578	11	0
375	7	{24556.9,8285.5,1613.2}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	579	11	0
376	7	{23217.1,4653.1,2203.0}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	580	11	0
377	7	{27931.5,9133.6,1580.9}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	581	11	0
378	7	{35217.8,17618.1,113.0}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	582	11	0
379	7	{33158.2,19145.2,475.6}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	583	11	0
380	7	{24270.7,26804.5,318.4}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	584	11	0
381	7	{17885.9,35169.8,2516.6}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	585	11	0
382	7	{18010.8,30372.3,2558.6}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	586	11	0
383	7	{11423.1,23761.9,3549.5}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	587	11	0
384	7	{6341.0,7560.9,2078.7}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	588	11	0
385	7	{10602.3,7181.6,2091.8}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	589	11	0
386	7	{12065.6,17995.9,2929.2}	{0.0,0.0,0.0}	5	1	{0.0,0.0,0.0,0.0}	590	11	0
387	7	{-4380.0,29010.0,2802.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1032	14	0
388	7	{-9714.0,23404.0,2913.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1033	14	0
389	7	{-13476.0,25012.0,1910.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1034	14	0
390	7	{-17520.0,38235.0,2566.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1035	14	0
391	7	{-7923.0,38914.0,2278.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1036	14	0
392	7	{-9605.0,33629.0,3433.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1037	14	0
393	7	{3392.0,22839.0,2673.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1038	14	0
394	7	{10433.0,15629.0,2610.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1039	14	0
395	7	{9658.0,23236.0,4636.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1040	14	0
396	7	{582.0,21753.0,4555.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1041	14	0
397	7	{-2400.0,23006.0,4560.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1042	14	0
398	7	{35163.0,19919.0,259.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1043	14	0
399	7	{26605.0,24566.0,260.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1044	14	0
400	7	{30046.0,10909.0,1022.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1045	14	0
401	7	{23825.0,1068.0,3086.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1046	14	0
402	7	{5138.0,31832.0,2056.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1073	16	0
403	7	{-5268.0,31387.0,2086.8}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1074	16	0
404	7	{-12380.0,20079.0,2054.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1075	16	0
405	7	{-6425.0,46931.0,-41.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1076	16	0
406	7	{7438.0,17945.0,2545.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1077	16	0
407	7	{37078.8,22018.5,227.0}	{0.0,16.9,0.0}	5	2	{0.0,0.0,0.0,0.0}	1078	16	0
408	7	{21139.0,28452.0,1436.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1079	16	0
409	7	{22328.0,375.0,2331.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1080	16	0
410	7	{19101.0,31132.0,2418.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1081	16	0
411	7	{-1084.0,23731.0,4319.0}	{0.0,0.0,0.0}	5	2	{0.0,0.0,0.0,0.0}	1082	16	0
412	7	{-9775.3,35636.6,2086.5}	{0.0,-29.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	0	13	0
413	7	{29693.3,15205.8,151.3}	{0.0,-6.1,0.0}	5	0	{0.0,0.0,0.0,0.0}	0	13	0
414	7	{8890.6,36220.6,-11.3}	{0.0,-6.1,0.0}	5	0	{0.0,0.0,0.0,0.0}	0	13	0
415	7	{-13165.1,-24093.5,353.0}	{0.0,-33.7,0.0}	6	1	{0.0,0.0,0.0,0.0}	751	12	0
416	7	{-10744.4,-28602.4,1248.1}	{74.3,-166.0,180.0}	6	1	{0.0,0.0,0.0,0.0}	752	12	0
417	7	{-13192.3,-30874.7,1262.5}	{0.0,10.6,90.0}	6	1	{0.0,0.0,0.0,0.0}	753	12	0
418	7	{-18502.8,-36559.7,859.3}	{0.0,64.1,90.0}	6	1	{0.0,0.0,0.0,0.0}	754	12	0
419	7	{-21001.9,-35277.0,478.1}	{0.0,-176.3,90.0}	6	1	{0.0,0.0,0.0,0.0}	755	12	0
420	7	{-27560.3,-29291.5,732.8}	{0.0,47.8,0.0}	6	1	{0.0,0.0,0.0,0.0}	756	12	0
421	7	{-16509.4,-21482.6,-65.0}	{0.0,47.8,0.0}	6	1	{0.0,0.0,0.0,0.0}	757	12	0
422	7	{-19870.2,-28923.7,115.0}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	758	12	0
423	7	{-10715.0,-33914.1,409.8}	{3.5,-15.1,12.7}	6	1	{0.0,0.0,0.0,0.0}	759	12	0
424	7	{-5949.8,-39724.5,978.3}	{21.9,-4.1,-12.9}	6	1	{0.0,0.0,0.0,0.0}	760	12	0
425	7	{-11628.3,-38418.7,331.8}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	761	12	0
426	7	{-12582.9,-39992.7,230.1}	{29.9,25.2,8.7}	6	1	{0.0,0.0,0.0,0.0}	762	12	0
427	7	{-15811.2,-38666.2,348.1}	{69.1,-19.8,-42.4}	6	1	{0.0,0.0,0.0,0.0}	763	12	0
428	7	{-9717.5,-24035.9,4506.3}	{-22.9,2.5,-37.1}	6	1	{0.0,0.0,0.0,0.0}	764	12	0
429	7	{-6870.3,-28075.1,6461.5}	{7.2,1.1,9.0}	6	1	{0.0,0.0,0.0,0.0}	765	12	0
430	7	{-1874.6,-29141.9,6000.0}	{0.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	766	12	0
431	7	{-4699.4,-26952.5,6128.9}	{0.0,-42.5,0.0}	6	1	{0.0,0.0,0.0,0.0}	767	12	0
432	7	{-5376.3,-24902.9,6101.6}	{0.0,-42.5,0.0}	6	1	{0.0,0.0,0.0,0.0}	768	12	0
433	7	{-907.0,-20949.8,6544.7}	{-90.0,0.0,0.0}	6	1	{0.0,0.0,0.0,0.0}	769	12	0
