ID	备注	标签信息(N代表角色or武器，M代表常驻orUP）	生效范围	蛋池限定时间	界面上是否显示时间（1代表不显示）	排序权重（越高越前）	蛋池类型区(0新手1常规2限定3常规自选UP4锁定自选UP5庆典卡池6单选7庆典单选）	保底类型（1特选，2非特选）	蛋池描述（名称，时间描述，外围描述，详情）	详细描述配置	展示资源（界面名字，资源名字{武器填视频名字，角色填spine名字}，缩放时间，初始位移点，最终位移点，缩放大小，slogan资源，展示角色GDPL，从第几秒开始循环、背景乐ID）	单抽价格{{g,d,p,l,n}}	十连价格{{g,d,p,l,n}}	特殊抽卡道具	具体蛋池内容配置{表名，表名}	保底必得{{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}},{抽卡次数,{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}}}		保底继承序列（影响UP+箱子）	概率	十连重置标记{{表名,稀有度,（具体序号）},{表名,稀有度,（具体序号）}...}	第十抽保底概率	每日抽奖次数上限	十连内概率叠加	保底内概率叠加	特殊不歪池概率叠加	指定抽数出道具	是否开启UP选择功能	显示概率	初始特殊保底	独立新手池抽取次数	展示4星道具	定轨UP自选	锁定关联池子ID	锁定关联池子确认提示	标签页UI资源关联	蛋池大图UI资源关联	是否禁止播放视频（不配正常播，1全部不播，2和谐下不播）	武器spine	获取途径	获取途径	获取途径	推荐id
26	羽蜕专武UP池【渊光】	{2,2}	0	{202405011000,202405300400}		217	2	2	10026	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10026_detailtitle1","10026_detaildes11","10026_detaildes12","10026_detaildes13","10026_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10026_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42504',1602327, {2,4,26,1},10,3078,12,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool24'}	{60,{{'pool02',5},{'pool24',5}}}	{60,{'pool24',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool24',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_42504.weapon_42504				120
27	瞬刻UP池【瑟瑞斯-瞬刻】	{1,2}	0	{202410170400,202411070400}		222	2	2	10027	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10027_detailtitle1","10027_detaildes11","10027_detaildes12","10027_detaildes13","10027_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10027_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl013a','/Game/Spine/Hero/Girl013a/GachaGirl_013a.GachaGirl_013a',0.3,{0,0},{0,0},{1.2,1},1602371,{1,13,2,1},3,3082}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool25'}	{80,{{'pool01',5},{'pool25',5}}}	{80,{'pool25',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool25',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
28	瞬刻专武UP池【王权连枷】	{2,2}	0	{202410170400,202411070400}		221	2	2	10028	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10028_detailtitle1","10028_detaildes11","10028_detaildes12","10028_detaildes13","10028_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10028_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_32504',1602370, {2,3,26,1},9,3083,10.24,0.1,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool26'}	{60,{{'pool02',5},{'pool26',5}}}	{60,{'pool26',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool26',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_32504.weapon_32504				120
29	里芙新换装UP池【里芙-无限之视】	{1,2}	0	{202411281000,202412190400}		228	2	2	10029	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10029_detailtitle1","10029_detaildes11","10029_detaildes12","10029_detaildes13","10029_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10029_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl002b','/Game/Spine/Hero/Girl002b/GachaGirl_002b.GachaGirl_002b',0.3,{0,0},{0,0},{1.2,1},1602398,{1,2,3,1},1,3086}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool27'}	{80,{{'pool01',5},{'pool27',5}}}	{80,{'pool27',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool27',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
30	里芙新换装专武UP池【九夜之冕】	{2,2}	0	{202411281000,202412190400}		227	2	2	10030	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10030_detailtitle1","10030_detaildes11","10030_detaildes12","10030_detaildes13","10030_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10030_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_71501',1602402, {2,7,3,1},8,3087,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02_28','pool28'}	{60,{{'pool02_28',5},{'pool28',5}}}	{60,{'pool28',5}}	2	10002	{{'pool02_28',4},{'pool02_28',5},{'pool28',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_71501.weapon_71501				120
31	芬妮新换装UP池【芬妮-辉耀】	{1,2}	0	{202409260400,202410170400}		226	2	2	10031	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10031_detailtitle1","10031_detaildes11","10031_detaildes12","10031_detaildes13","10031_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10031_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl008b','/Game/Spine/Hero/Girl008b/GachaGirl_008b.GachaGirl_008b',0.3,{0,0},{0,0},{1.2,1},1602399,{1,8,3,1},1,3088}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool29'}	{80,{{'pool01',5},{'pool29',5}}}	{80,{'pool29',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool29',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
32	芬妮新换装专武UP池【捕心先锋】	{2,2}	0	{202409260400,202410170400}		225	2	2	10032	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10032_detailtitle1","10032_detaildes11","10032_detaildes12","10032_detaildes13","10032_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10032_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon 51507',1602427, {2,5,24,1},8,3089,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool30'}	{60,{{'pool02',5},{'pool30',5}}}	{60,{'pool30',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool30',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_51507.weapon_51507				120
33	2.5周年特殊自选池-角色	{1,2}	0	{202501230400,202503060400}		224	4	2	10033	{{"10003_detailtitle1","10003_detaildes11","10003_detaildes12","10003_detaildes13","10003_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10003_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl001a','/Game/Spine/Hero/Girl001a/GachaGirl_001a.GachaGirl_001a',0.3,{0,0},{0,0},{1.2,1},1602066,{1,1,2,1},1,3052}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool4'}	{80,{{'pool01',5},{'pool4',5}}}	{80,{'pool4',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool4',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{4,{1,1,2,1}},{7,{1,14,2,1}},{10,{1,6,2,1}},{13,{1,12,2,1}},{15,{1,17,1,1}},{17,{1,15,1,1}},{19,{1,16,1,1}},{23,{1,7,2,1}},{25,{1,11,2,1}},{27,{1,13,2,1}},{29,{1,2,3,1}},{31,{1,8,3,1}},{37,{1,18,1,1}}}	133	{"10033_sure1","10033_sure2","10033_sure3","10033_sure4"}			1					120
34	2.5周年特殊自选池-武器	{2,2}	0	{202501230400,202503060400}		223	4	2	10034	{{"10004_detailtitle1","10004_detaildes11","10004_detaildes12","10004_detaildes13","10004_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10004_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_41502',1602079, {2,4,18,1},13,3044,16,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool5'}	{60,{{'pool02',5},{'pool5',5}}}	{60,{'pool5',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool5',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{5,{2,4,18,1}},{8,{2,5,22,1}},{11,{2,4,20,1}},{14,{2,1,25,1}},{16,{2,2,22,1}},{18,{2,6,4,1}},{20,{2,3,24,1}},{24,{2,1,27,1}},{26,{2,4,26,1}},{28,{2,3,26,1}},{30,{2,7,3,1}},{32,{2,5,24,1}},{38,{2,4,28,1}}}	134	{"10034_sure1","10034_sure2","10034_sure3","10034_sure4"}			1	/Game/Spine/Weapon/weapon_41502.weapon_41502				120
35	D9专属-伊切尔UP池【伊切尔-豹豹】	{1,2}	0	{202408010400,202408220400}		214	2	2	10018	{{"10018_detailtitle1","10018_detaildes11","10018_detaildes12","10018_detaildes13","10018_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10018_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl016','/Game/Spine/Hero/Girl016/GachaGirl_016.GachaGirl_016',0.3,{0,0},{0,0},{1.2,1},1602297,{1,16,1,1},3,3074}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool19'}	{80,{{'pool01',5},{'pool19',5}}}	{80,{'pool19',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool19',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
36	D9专属-伊切尔专武UP池【镭射风虎】	{2,2}	0	{202408010400,202408220400}		213	2	2	10019	{{"10019_detailtitle1","10019_detaildes11","10019_detaildes12","10019_detaildes13","10019_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10019_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31503',1602299, {2,3,24,1},8,3073,10,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool20'}	{60,{{'pool02',5},{'pool20',5}}}	{60,{'pool20',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool20',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_31503.weapon_31503				120
37	龙舌兰UP池【薇蒂雅-龙舌兰】	{1,2}	0	{202408221000,202409190400}		232	2	2	10035	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10035_detailtitle1","10035_detaildes11","10035_detaildes12","10035_detaildes13","10035_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10035_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl018','/Game/Spine/Hero/Girl018/GachaGirl_018.GachaGirl_018',0.3,{0,0},{0,0},{1.2,1},1602442,{1,18,1,1},3,3094}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool31'}	{80,{{'pool01',5},{'pool31',5}}}	{80,{'pool31',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool31',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
38	龙舌兰专武UP池【抓拍胜机】	{2,2}	0	{202408221000,202409190400}		231	2	2	10036	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10036_detailtitle1","10036_detaildes11","10036_detaildes12","10036_detaildes13","10036_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10036_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42505',1602443, {2,4,28,1},5.5,3095,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool32'}	{60,{{'pool02',5},{'pool32',5}}}	{60,{'pool32',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool32',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_42505.weapon_42505				120
39	悖谬羽蜕自选池	{1,2}	0	{202409051000,202409260400}		230	3	2	10037	{{"10023_detailtitle1","10023_detaildes11","10023_detaildes12","10023_detaildes13","10023_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10023_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl007a','/Game/Spine/Hero/Girl007a/GachaGirl_007a.GachaGirl_007a',0.3,{0,0},{0,0},{1.2,1},1602330,{1,7,2,1},3,3075}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool21'}	{80,{{'pool01',5},{'pool21',5}}}	{80,{'pool21',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool21',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}				{{23,{1,7,2,1}},{25,{1,11,2,1}}}	139	{"10038_sure1","10033_sure2","10033_sure3","10033_sure4"}			1					120
40	悖谬羽蜕专武自选池	{2,2}	0	{202409051000,202409260400}		229	3	2	10038	{{"10024_detailtitle1","10024_detaildes11","10024_detaildes12","10024_detaildes13","10024_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10024_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_12502',1602328, {2,1,27,1},10,3076,11,0.5}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool22'}	{60,{{'pool02',5},{'pool22',5}}}	{60,{'pool22',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool22',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}				{{24,{2,1,27,1}},{26,{2,4,26,1}}}	140	{"10038_sure1","10034_sure2","10034_sure3","10034_sure4"}			1	/Game/Spine/Weapon/weapon_12502.weapon_12502				120
41	凯茜娅【朝翼】	{1,2}	0	{202501021000,202501230400}		234	2	2	10039	{{"90003_detailtitle4","90003_detaildes41","90003_detaildes42"},{"10039_detailtitle1","10039_detaildes11","10039_detaildes12","10039_detaildes13","10039_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10039_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl015b','/Game/Spine/Hero/Girl015a/GachaGirl_015a.GachaGirl_015a',0.3,{0,0},{0,0},{1.2,1},1602506,{1,15,2,1},3,3099}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool33'}	{80,{{'pool01',5},{'pool33',5}}}	{80,{'pool33',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool33',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
42	凯茜娅【朝翼】武器	{2,2}	0	{202501021000,202501230400}		233	2	2	10040	{{"90004_detailtitle4","90004_detaildes41","90004_detaildes42"},{"10040_detailtitle1","10040_detaildes11","10040_detaildes12","10040_detaildes13","10040_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10040_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_51508',1602503, {2,5,26,1},5.5,3100,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool34'}	{60,{{'pool02',5},{'pool34',5}}}	{60,{'pool34',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool34',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_51508.weapon_51508				120
43	茉莉安【幽潮】	{1,2}	0	{202502130400,202503060400}		236	2	2	10041	{{"90001_detailtitle4","90001_detaildes41","90001_detaildes42"},{"10041_detailtitle1","10041_detaildes11","10041_detaildes12","10041_detaildes13","10041_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10041_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl005b','/Game/Spine/Hero/Girl005b/GachaGirl_005b.GachaGirl_005b',0.3,{0,0},{0,0},{1.2,1},1602505,{1,5,3,1},3,3101}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool35'}	{80,{{'pool01',5},{'pool35',5}}}	{80,{'pool35',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool35',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
44	茉莉安【幽潮】武器	{2,2}	0	{202502130400,202503060400}		235	2	2	10042	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10042_detailtitle1","10042_detaildes11","10042_detaildes12","10042_detaildes13","10042_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10042_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_31504',1602504, {2,3,28,1},5.5,3102,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool36'}	{60,{{'pool02',5},{'pool36',5}}}	{60,{'pool36',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool36',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_31504.weapon_31504				120
45	芙提亚【2.3芙提雅】	{1,2}	0	{202503271000,202504170400}		238	2	2	10043	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10043_detailtitle1","10043_detaildes11","10043_detaildes12","10043_detaildes13","10043_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10043_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl004b','/Game/Spine/Hero/Girl004b/GachaGirl_004b.GachaGirl_004b',0.3,{0,0},{0,0},{1.2,1},1602551,{1,4,3,1},1,3114}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool37'}	{80,{{'pool01',5},{'pool37',5}}}	{80,{'pool37',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool37',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
46	芙提亚【2.3芙提雅】武器	{2,2}	0	{202503271000,202504170400}		237	2	2	10044	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10044_detailtitle1","10044_detaildes11","10044_detaildes12","10044_detaildes13","10044_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10044_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_22402',1602552, {2,2,24,1},3.5,3115,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool38'}	{60,{{'pool02',5},{'pool38',5}}}	{60,{'pool38',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool38',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_22402.weapon_22402				120
47	2.4新角色	{1,2}	0	{202505081000,202505290400}		240	2	2	10045	{{"10033_detailtitle4","10033_detaildes41","10033_detaildes42"},{"10045_detailtitle1","10045_detaildes11","10045_detaildes12","10045_detaildes13","10045_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10045_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl020','/Game/Spine/Hero/Girl020/GachaGirl_020.GachaGirl_020',0.3,{0,0},{0,0},{1.2,1},1602596,{1,20,1,1},3,3126}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool39'}	{80,{{'pool01',5},{'pool39',5}}}	{80,{'pool39',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool39',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
48	2.4新角色武器	{2,2}	0	{202505081000,202505290400}		239	2	2	10046	{{"10034_detailtitle4","10034_detaildes41","10034_detaildes42"},{"10046_detailtitle1","10046_detaildes11","10046_detaildes12","10046_detaildes13","10046_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10046_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_42506',1602589, {2,4,30,1},7,3125,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool40'}	{60,{{'pool02',5},{'pool40',5}}}	{60,{'pool40',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool40',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_42506.weapon_42506				120
49	2.5肴	{1,2}	0	{202506191000,202507100400}		242	2	2	10049	{{"60033_detailtitle4","60033_detaildes41","60033_detaildes42"},{"10049_detailtitle1","10049_detaildes11","10049_detaildes12","10049_detaildes13","10049_detaildes14"},{"10003_detailtitle2","10003_detaildes21","10003_detaildes22","10049_detaildes23","10003_detaildes24","10003_detaildes25","10003_detaildes26","10000_detaildes26"},{"10003_detailtitle3","10003_detaildes31","10003_detaildes32","10003_detaildes33"}}	{'uw_gacha_roleup','role_girl010b','/Game/Spine/Hero/Girl010b/GachaGirl_010b.GachaGirl_010b',0.3,{0,0},{0,0},{1.2,1},1602633,{1,10,3,1},3,3135}	{{5,21,1,5,1}}	{{5,21,1,5,10}}		{'pool01','pool41'}	{80,{{'pool01',5},{'pool41',5}}}	{80,{'pool41',5}}	1	10001	{{'pool01',4},{'pool01',5},{'pool41',5}}	10003	0	{8,{4,5000},{3,2}}	{62,{5,500},{3,2}}				{{5,{0.7,1.86}},{4,{8,14.68}},{3,{91.3,83.46}}}									1					120
50	2.5肴武器	{2,2}	0	{202506191000,202507100400}		241	2	2	10050	{{"90002_detailtitle4","90002_detaildes41","90002_detaildes42"},{"10050_detailtitle1","10050_detaildes11","10050_detaildes12","10050_detaildes13","10050_detaildes14"},{"10004_detailtitle2","10004_detaildes21","10004_detaildes22","10050_detaildes23","10004_detaildes24","10004_detaildes25","10004_detaildes26","10000_detaildes26"}}	{'uw_gacha_weaponup','weapon_11503',1602639, {2,1,29,1},6.5,3132,10,0.5,3}	{{5,21,2,5,1}}	{{5,21,2,5,10}}		{'pool02','pool42'}	{60,{{'pool02',5},{'pool42',5}}}	{60,{'pool42',5}}	2	10002	{{'pool02',4},{'pool02',5},{'pool42',5}}	10004	0	{8,{4,5000},{3,2}}	{45,{5,600},{3,2}}				{{5,{0.7,2.37}},{4,{8,14.68}},{3,{91.3,82.95}}}									1	/Game/Spine/Weapon/weapon_11503.weapon_11503				120
