类别ID	图片路径ID	标题	说明	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	是否显示页码	是否循环	切页方式（默认滑动加按钮）1：仅可滑动	备注
81	2000246	TxtTutorialVircaptureTitle4	ui.TxtTutorialVircapture4		1	1		新星开拓_收编分配
81	2000247	TxtTutorialVircaptureTitle5	ui.TxtTutorialVircapture5		1	1		新星开拓_关卡挑战
81	2000248	TxtTutorialVircaptureTitle6	ui.TxtTutorialVircapture6		1	1		新星开拓_战斗环境
81	2000249	TxtTutorialVircaptureTitle11	ui.TxtTutorialVircapture11		1	1		新星开拓_快捷劝降
81	2000250	TxtTutorialVircaptureTitle12	ui.TxtTutorialVircapture12		1	1		新星开拓_钓鱼攻略
81	2000369	TxtTutorialVircaptureTitle13	ui.TxtTutorialVircapture13		1	1		新星开拓_昼夜切换
81	2000510	TxtTutorialVircaptureTitle14	ui.TxtTutorialVircapture14		1	1		新星开拓_蓝图岛
82	2000192	TxtTutorialVircaptureTitle6	ui.TxtTutorialOnlineBoss5_1		1	1		DLC7联机BOSS挑战-概览
82	2000193	TxtTutorialOnlineBossTitle5_2	ui.TxtTutorialOnlineBoss5_2		1	1		DLC7联机BOSS挑战-总伤害
82	2000194	TxtTutorialOnlineBossTitle5_3	ui.TxtTutorialOnlineBoss5_3		1	1		DLC7联机BOSS挑战-BOSS
82	2000195	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		DLC7联机BOSS挑战-奖励
83	2000204	TxtTutorialVircaptureTitle7	ui.TxtTutorialVircapture7		1	1		新星开拓_关卡引导1
84	2000205	TxtTutorialVircaptureTitle8	ui.TxtTutorialVircapture8		1	1		新星开拓_关卡引导2
85	2000206	TxtTutorialVircaptureTitle9	ui.TxtTutorialVircapture9		1	1		新星开拓_关卡引导3
85	2000207	TxtTutorialVircaptureTitle10	ui.TxtTutorialVircapture10		1	1		新星开拓_关卡引导4
86	2000204	TxtTutorialVircaptureTitle7	ui.TxtTutorialVircapture7		1	1		新星开拓_帮助_关卡引导1
86	2000205	TxtTutorialVircaptureTitle8	ui.TxtTutorialVircapture8		1	1		新星开拓_帮助_关卡引导2
86	2000206	TxtTutorialVircaptureTitle9	ui.TxtTutorialVircapture9		1	1		新星开拓_帮助_关卡引导3
86	2000207	TxtTutorialVircaptureTitle10	ui.TxtTutorialVircapture10		1	1		新星开拓_帮助_关卡引导4
87	2000208	TxtTutorialOnlineBossTitle6_1	ui.TxtTutorialOnlineBoss6_1		1	1		DLC8联机BOSS挑战-概览
87	2000209	TxtTutorialOnlineBossTitle6_2	ui.TxtTutorialOnlineBoss6_2		1	1		DLC8联机BOSS挑战-总伤害
87	2000210	TxtTutorialOnlineBossTitle6_3	ui.TxtTutorialOnlineBoss6_3		1	1		DLC8联机BOSS挑战-BOSS
87	2000211	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		DLC8联机BOSS挑战-奖励
88	2000176	TxtMultiiTower_name4	ui.TxtMultiiTower_des4		1	1		塔防联机NEW
89	2000225	TxtTutorialRepressionTitle1_4	ui.TxtTutorialRepression1		1	1		DLC8_危境战幕_概述
89	2000227	TxtTutorialRepressionTitle3	ui.TxtTutorialRepression3		1	1		DLC8_危境战幕_临时阵地
89	2000226	TxtTutorialRepressionTitle2	ui.TxtTutorialRepression2		1	1		DLC8_危境战幕_通行密钥
89	2000228	TxtTutorialRepressionTitle4	ui.TxtTutorialRepression4		1	1		DLC8_危境战幕_战幕绩点
89	2000229	TxtTutorialRepressionTitle5	ui.TxtTutorialRepression5		1	1		DLC8_危境战幕_驻守队伍
89	2000230	TxtTutorialRepressionTitle6	ui.TxtTutorialRepression6_4		1	1		DLC8_危境战幕_战线挑战
90	2000019	TxtTutorialDefense08_Main_Title	ui.TxtTutorialDefense08_Main		1	1		【DLC8荣誉冲突】主界面
90	2000212	TxtTutorialDefense08_Diff_Title	ui.TxtTutorialDefense08_Diff		1	1		【DLC8荣誉冲突】难度选择
90	2000213	TxtTutorialDefense08_Skill_Title	ui.TxtTutorialDefense08_Skill		1	1		【DLC8荣誉冲突】技巧挑战
90	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC8荣誉冲突】史诗系统
90	2000073	TxtTutorialDefense08_Reset_Title	ui.TxtTutorialDefense08_Reset		1	1		【DLC8荣誉冲突】重选难度
90	2000214	TxtTutorialDefense08_Combo_Title	ui.TxtTutorialDefense08_Combo		1	1		【DLC8荣誉冲突】连杀
90	2000215	TxtTutorialDefense08_Score_Title	ui.TxtTutorialDefense08_Score		1	1		【DLC8荣誉冲突】积分显示
90	2000216	TxtTutorialDefense08_Pause_Title	ui.TxtTutorialDefense08_Pause		1	1		【DLC8荣誉冲突】局内暂停
90	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC8荣誉冲突】跳跃
90	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC8荣誉冲突】限时挑战
90	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC8荣誉冲突】补给装置
91	2000217	TxtDLC8Level13_05Defence_Name	ui.TxtDLC8Level13_05Defence_Des1		1	1		DLC8第五关教学图1
91	2000218	TxtDLC8Level13_05Defence_Name	ui.TxtDLC8Level13_05Defence_Des2		1	1		DLC8第五关教学图2
91	2000219	TxtDLC8Level13_05Defence_Name	ui.TxtDLC8Level13_05Defence_Des3		1	1		DLC8第五关教学图3
92	2000221	TxtMonsterIntroTitle4	ui.TxtMonsterIntro4		1	1		低效部位
93	2000223	TxtMonsterIntroTitle6	ui.TxtMonsterIntro6		1	1		普通护盾
94	2000224	TxtMonsterIntroTitle1	ui.TxtMonsterIntro1		1	1		可破坏部位
95	2000231	TxtMonsterIntroTitle7	ui.TxtMonsterIntro7		1	1		元素抗性
96	2000220	TxtMonsterIntroTitle3	ui.TxtMonsterIntro3		1	1		弱点部位
97	2000222	TxtMonsterIntroTitle2	ui.TxtMonsterIntro2		1	1		不可破坏部位
98	2000239	TxtTutorialOnlineBossTitle7_1	ui.TxtTutorialOnlineBoss7_1		1	1		DLC9联机BOSS挑战-概览
98	2000240	TxtTutorialOnlineBossTitle7_2	ui.TxtTutorialOnlineBoss7_2		1	1		DLC9联机BOSS挑战-总伤害
98	2000241	TxtTutorialOnlineBossTitle7_3	ui.TxtTutorialOnlineBoss7_3		1	1		DLC9联机BOSS挑战-BOSS
98	2000242	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		DLC9联机BOSS挑战-奖励
99	2000234	TxtContainerBox1	ui.TxtContainerBox1_des		1	1		DLC9主线集装箱教学
99	2000232	TxtContainerBox2	ui.TxtContainerBox2_des		1	1		DLC9主线集装箱教学
100	2000233	TxtContainerBox3	ui.TxtContainerBox3_des		1	1		DLC9主线集装箱教学
101	2000235	TxtTutorialRealTower01Title	ui.TxtTutorialRealTower01		1	1		DLC9战术考核优化
101	2000236	TxtTutorialRealTower02Title	ui.TxtTutorialRealTower02		1	1		DLC9战术考核优化
102	2000257	TxtTutorialRichManLoveTitle2	ui.TxtRichManLoveDes2		1	1		dlc9大富翁教学图1
102	2000258	TxtTutorialRichManLoveTitle3	ui.TxtRichManLoveDes3		1	1		dlc9大富翁教学图2
102	2000259	TxtTutorialRichManLoveTitle4	ui.TxtRichManLoveDes4		1	1		dlc9大富翁教学图3
102	2000260	TxtTutorialRichManLoveTitle5	ui.TxtRichManLoveDes5		1	1		dlc9大富翁教学图4
102	2000261	TxtTutorialRichManLoveTitle6	ui.TxtRichManLoveDes6		1	1		dlc9大富翁教学图5
103	2000256	TxtTutorialRichManLoveTitle1	ui.TxtRichManLoveDes1		1	1		dlc9大富翁教学图特殊周说明
104	2000259	TxtTutorialRichManLoveTitle4	ui.TxtRichManLoveDes4		1	1		dlc9大富翁教学图翻牌说明
105	2000261	TxtTutorialRichManLoveTitle6	ui.TxtRichManLoveDes6		1	1		dlc9大富翁教学图图鉴说明
108	2000019	TxtTutorialDefense09_Main_Title	ui.TxtTutorialDefense09_Main		1	1		【DLC9荣誉冲突】主界面
108	2000212	TxtTutorialDefense08_Diff_Title	ui.TxtTutorialDefense08_Diff		1	1		【DLC9荣誉冲突】难度选择
108	2000213	TxtTutorialDefense08_Skill_Title	ui.TxtTutorialDefense08_Skill		1	1		【DLC9荣誉冲突】技巧挑战
108	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC9荣誉冲突】史诗系统
108	2000073	TxtTutorialDefense08_Reset_Title	ui.TxtTutorialDefense08_Reset		1	1		【DLC9荣誉冲突】重选难度
108	2000214	TxtTutorialDefense08_Combo_Title	ui.TxtTutorialDefense08_Combo		1	1		【DLC9荣誉冲突】连杀
108	2000215	TxtTutorialDefense08_Score_Title	ui.TxtTutorialDefense08_Score		1	1		【DLC9荣誉冲突】积分显示
108	2000216	TxtTutorialDefense08_Pause_Title	ui.TxtTutorialDefense08_Pause		1	1		【DLC9荣誉冲突】局内暂停
108	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC9荣誉冲突】跳跃
108	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC9荣誉冲突】限时挑战
108	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC9荣誉冲突】补给装置
109	2000286	TxtRogueMapTitle	rogue3.SeasonHelp1		1	1		【悖论迷宫】思维深潜已开启，请与少女们共同踏入这些曾经并肩作战的地方。
109	2000287	TxtRogueTitleKey	rogue3.SeasonHelp2		1	1		【悖论迷宫】在迷宫推演中，上阵不同队员可获得不同类型的思维译码。
109	2000288	TxtRogueMapTitle	rogue3.SeasonHelp3		1	1		【悖论迷宫】使用对应类型思维译码可以解锁思维深潜中的节点，持续推进，获取各种奖励。
109	2000290	TxtRogueHelpMasterKey	rogue3.SeasonHelp4		1	1		【悖论迷宫】通关高难度的战局或成功挑战滚球关卡均可获得万用思维译码
109	2000289	TxtDLC5.RogueExchange	rogue3.SeasonHelp5		1	1		【悖论迷宫】可以使用万用思维译码兑换任意类型的思维译码
109	2000291	TxtOnlineHardTryRole	rogue3.SeasonHelp6		1	1		【悖论迷宫】如果感到挑战困难，可尝试使用试用队员进行战斗
110	2000255	TxtLittleRobot1	ui.TxtLittleRobot1_des		1	1		DLC9主线小机器人切换教学
111	2000266	TxtTutorialMassageTitle01	ui.TxtTutorialMassageDes01		1	1		按摩游戏教学1
111	2000267	TxtTutorialMassageTitle02	ui.TxtTutorialMassageDes02		1	1		按摩游戏教学2
111	2000268	TxtTutorialMassageTitle03	ui.TxtTutorialMassageDes03		1	1		按摩游戏教学3
112	2000251	TxtTutorialCombine01Title	online.CombineHelpDes1		1	1		火线突击
112	2000252	TxtTutorialCombine02Title	online.CombineHelpDes2		1	1		火线突击
112	2000253	TxtTutorialCombine03Title	online.CombineHelpDes3		1	1		火线突击
112	2000254	TxtTutorialCombine04Title	online.CombineHelpDes4		1	1		火线突击
113	2000019	TxtTutorialDefense10_Main_Title	ui.TxtTutorialDefense10_Main		1	1		【DLC10荣誉冲突】主界面
113	2000212	TxtTutorialDefense08_Diff_Title	ui.TxtTutorialDefense08_Diff		1	1		【DLC10荣誉冲突】难度选择
113	2000213	TxtTutorialDefense08_Skill_Title	ui.TxtTutorialDefense08_Skill		1	1		【DLC10荣誉冲突】技巧挑战
113	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC10荣誉冲突】史诗系统
113	2000073	TxtTutorialDefense08_Reset_Title	ui.TxtTutorialDefense08_Reset		1	1		【DLC10荣誉冲突】重选难度
113	2000214	TxtTutorialDefense08_Combo_Title	ui.TxtTutorialDefense08_Combo		1	1		【DLC10荣誉冲突】连杀
113	2000215	TxtTutorialDefense08_Score_Title	ui.TxtTutorialDefense08_Score		1	1		【DLC10荣誉冲突】积分显示
113	2000216	TxtTutorialDefense08_Pause_Title	ui.TxtTutorialDefense08_Pause		1	1		【DLC10荣誉冲突】局内暂停
113	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC10荣誉冲突】跳跃
113	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC10荣誉冲突】限时挑战
113	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC10荣誉冲突】补给装置
113	2000155	TxtTutorialDefense10_MG_Title	ui.TxtTutorialDefense10_MG		1	1		【DLC10荣誉冲突】机枪塔
114	2000269	TxtDLC2_1Level13_31Moniter_Name1	ui.TxtDLC2_1Level13_31Moniter_Des1		1	1		2.1场景机制教学图1
114	2000270	TxtDLC2_1Level13_31Moniter_Name2	ui.TxtDLC2_1Level13_31Moniter_Des2		1	1		2.1场景机制教学图2
115	2000271	TxtTutorialOnlineBossTitle8_1	ui.TxtTutorialOnlineBoss8_1		1	1		2.1联机BOSS挑战-概览
115	2000272	TxtTutorialOnlineBossTitle8_2	ui.TxtTutorialOnlineBoss8_2		1	1		2.1联机BOSS挑战-概览
115	2000273	TxtTutorialOnlineBossTitle8_3	ui.TxtTutorialOnlineBoss8_3		1	1		2.1联机BOSS挑战-概览
115	2000274	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		2.1联机BOSS挑战-概览
								
116	2000012	TxtMultiiTower07_name01	ui.TxtMultiiTower07_des01		1	1		塔防联机
116	2000199	TxtMultiiTower07_name08	ui.TxtMultiiTower07_des08		1	1		塔防联机
116	2000278	TxtMultiiTower07_name06	ui.TxtMultiiTower07_des06		1	1		塔防联机
116	2000279	TxtMultiiTower07_name02	ui.TxtMultiiTower07_des02		1	1		塔防联机
116	2000175	TxtMultiiTower07_name03	ui.TxtMultiiTower07_des03		1	1		塔防联机
116	2000201	TxtMultiiTower07_name09	ui.TxtMultiiTower07_des09		1	1		塔防联机
116	2000277	TxtMultiiTower07_name10	ui.TxtMultiiTower07_des10		1	1		塔防联机
116	2000275	TxtMultiiTower07_name04	ui.TxtMultiiTower07_des04		1	1		塔防联机
116	2000276	TxtMultiiTower07_name05	ui.TxtMultiiTower07_des05		1	1		塔防联机
116	2000200	TxtMultiiTower_name10	ui.TxtMultiiTower_des10		1	1		塔防联机
117	2000280	TxtTutorialStoneTitle	ui.TxtTutorialStone		1	1		【DLC2.2主线】滚石关卡
118	2000281	TxtTutorialCarTitle	ui.TxtTutorialCar		1	1		【DLC2.2主线】推车关卡
119	2000282	TxtTutorialMatchKillTitle	ui.TxtTutorialMatchKill		1	1		【DLC2.2主线】双消关卡
120	2000283	TxtTutorialMalonKillTitle	ui.TxtTutorialMalonKill		1	1		【DLC2.2主线】打小球关卡
121	2000284	TxtTutorialFanPlatFormTitle	ui.TxtTutorialFanPlatForm		1	1		【DLC2.2主线】螺旋桨平台关卡
122	2000285	TxtTutorialRollerCoasterTitle	ui.TxtTutorialRollerCoaster		1	1		【DLC2.2主线】云霄飞车关卡
123	2000292	TxtTutorialOnlineBossTitle9_1	ui.TxtTutorialOnlineBoss9_1		1	1		2.2联机BOSS挑战-概览
123	2000293	TxtTutorialOnlineBossTitle9_2	ui.TxtTutorialOnlineBoss9_2		1	1		2.2联机BOSS挑战-概览
123	2000294	TxtTutorialOnlineBossTitle9_3	ui.TxtTutorialOnlineBoss9_3		1	1		2.2联机BOSS挑战-概览
123	2000295	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		2.2联机BOSS挑战-概览
124	2000301	TxtForbidzone01_name01	ui.TxtForbidzone01_desc01		1	1		禁区协议
124	2000302	TxtForbidzone01_name02	ui.TxtForbidzone01_desc02		1	1		禁区协议
124	2000303	TxtForbidzone01_name03	ui.TxtForbidzone01_desc03		1	1		禁区协议
124	2000304	TxtForbidzone01_name04	ui.TxtForbidzone01_desc04		1	1		禁区协议
124	2000305	TxtForbidzone01_name05	ui.TxtForbidzone01_desc05		1	1		禁区协议
124	2000306	TxtForbidzone01_name06	ui.TxtForbidzone01_desc06		1	1		禁区协议
124	2000307	TxtForbidzone01_name07	ui.TxtForbidzone01_desc07		1	1		禁区协议
124	2000308	TxtForbidzone01_name08	ui.TxtForbidzone01_desc08		1	1		禁区协议
124	2000309	TxtForbidzone01_name09	ui.TxtForbidzone01_desc09		1	1		禁区协议
124	2000414	TxtForbidzone01_name10	ui.TxtForbidzone01_desc10		1	1		禁区协议
124	2000415	TxtForbidzone01_name11	ui.TxtForbidzone01_desc11		1	1		禁区协议
125	2000296	TxtParty.hlepimgs_Title1	ui.TxtParty.hlepimgs_des1		1	1		海姆向前冲教学图1
125	2000297	TxtParty.hlepimgs_Title2	ui.TxtParty.hlepimgs_des2		1	1		海姆向前冲教学图2
125	2000298	TxtParty.hlepimgs_Title3	ui.TxtParty.hlepimgs_des3		1	1		海姆向前冲教学图3
125	2000299	TxtParty.hlepimgs_Title4	ui.TxtParty.hlepimgs_des4		1	1		海姆向前冲教学图4
125	2000300	TxtParty.hlepimgs_Title5	ui.TxtParty.hlepimgs_des5		1	1		海姆向前冲教学图5
126	2000019	TxtTutorialDefense11_Main_Title	ui.TxtTutorialDefense11_Main		1	1		【DLC11荣誉冲突】主界面
126	2000212	TxtTutorialDefense08_Diff_Title	ui.TxtTutorialDefense08_Diff		1	1		【DLC11荣誉冲突】难度选择
126	2000213	TxtTutorialDefense08_Skill_Title	ui.TxtTutorialDefense08_Skill		1	1		【DLC11荣誉冲突】技巧挑战
126	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC11荣誉冲突】史诗系统
126	2000073	TxtTutorialDefense08_Reset_Title	ui.TxtTutorialDefense08_Reset		1	1		【DLC11荣誉冲突】重选难度
126	2000214	TxtTutorialDefense08_Combo_Title	ui.TxtTutorialDefense08_Combo		1	1		【DLC11荣誉冲突】连杀
126	2000215	TxtTutorialDefense08_Score_Title	ui.TxtTutorialDefense08_Score		1	1		【DLC11荣誉冲突】积分显示
126	2000216	TxtTutorialDefense08_Pause_Title	ui.TxtTutorialDefense08_Pause		1	1		【DLC11荣誉冲突】局内暂停
126	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC11荣誉冲突】跳跃
126	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC11荣誉冲突】限时挑战
126	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC11荣誉冲突】补给装置
127	2000308	TxtForbidzone01_name08	ui.TxtForbidzone01_desc08		1	1		禁区协议-关卡内补给箱教学图
128	2000019	TxtTutorialDefense23_Main_Title	ui.TxtTutorialDefense23_Main		1	1		【DLC2.3荣誉冲突】主界面
128	2000212	TxtTutorialDefense08_Diff_Title	ui.TxtTutorialDefense08_Diff		1	1		【DLC2.3荣誉冲突】难度选择
128	2000213	TxtTutorialDefense08_Skill_Title	ui.TxtTutorialDefense08_Skill		1	1		【DLC2.3荣誉冲突】技巧挑战
128	2000074	TxtTutorialDefenseTitle04	ui.TxtTutorialDefense04		1	1		【DLC2.3荣誉冲突】史诗系统
128	2000073	TxtTutorialDefense08_Reset_Title	ui.TxtTutorialDefense08_Reset		1	1		【DLC2.3荣誉冲突】重选难度
128	2000214	TxtTutorialDefense08_Combo_Title	ui.TxtTutorialDefense08_Combo		1	1		【DLC2.3荣誉冲突】连杀
128	2000215	TxtTutorialDefense08_Score_Title	ui.TxtTutorialDefense08_Score		1	1		【DLC2.3荣誉冲突】积分显示
128	2000216	TxtTutorialDefense08_Pause_Title	ui.TxtTutorialDefense08_Pause		1	1		【DLC2.3荣誉冲突】局内暂停
128	2000020	TxtTutorialDefenseTitle07	ui.TxtTutorialDefense07		1	1		【DLC2.3荣誉冲突】跳跃
128	2000021	TxtTutorialDefenseTitle08	ui.TxtTutorialDefense08		1	1		【DLC2.3荣誉冲突】限时挑战
128	2000022	TxtTutorialDefenseTitle09	ui.TxtTutorialDefense09		1	1		【DLC2.3荣誉冲突】补给装置
128	2000155	TxtTutorialDefense10_MG_Title	ui.TxtTutorialDefense10_MG		1	1		【DLC2.3荣誉冲突】机枪塔
129	2000310	TxtTutorialSevendaysTitle1_1	ui.TxtTutorialSevendays1_1		1	1		2.3七日派对
129	2000311	TxtTutorialSevendaysTitle1_2	ui.TxtTutorialSevendays1_2		1	1		2.3七日派对
129	2000321	TxtTutorialSevendaysTitle1_3	ui.TxtTutorialSevendays1_3		1	1		2.3七日派对
129	2000322	TxtTutorialSevendaysTitle1_4	ui.TxtTutorialSevendays1_4		1	1		2.3七日派对
129	2000323	TxtTutorialSevendaysTitle1_5	ui.TxtTutorialSevendays1_5		1	1		2.3七日派对
129	2000324	TxtTutorialSevendaysTitle1_6	ui.TxtTutorialSevendays1_6		1	1		2.3七日派对
129	2000325	TxtTutorialSevendaysTitle1_7	ui.TxtTutorialSevendays1_7		1	1		2.3七日派对
130	2000312	TxtDLC2_3Level14_04Stepped_Name1	ui.TxtDLC2_3Level14_04Stepped_Des1		1	1		【DLC2.3主线关卡】走格子玩法教学图1
130	2000313	TxtDLC2_3Level14_04Stepped_Name2	ui.TxtDLC2_3Level14_04Stepped_Des2		1	1		【DLC2.3主线关卡】走格子玩法教学图2
131	2000012	TxtMultiiTower08_name01	ui.TxtMultiiTower08_des01		1	1		塔防联机
131	2000399	TxtMultiiTower08_name11	ui.TxtMultiiTower08_des11		1	1		塔防联机
131	2000199	TxtMultiiTower08_name02	ui.TxtMultiiTower08_des02		1	1		塔防联机
131	2000175	TxtMultiiTower08_name03	ui.TxtMultiiTower08_des03		1	1		塔防联机
131	2000314	TxtMultiiTower08_name04	ui.TxtMultiiTower08_des04		1	1		塔防联机
131	2000315	TxtMultiiTower08_name05	ui.TxtMultiiTower08_des05		1	1		塔防联机
131	2000319	TxtMultiiTower08_name06	ui.TxtMultiiTower08_des06		1	1		塔防联机
131	2000317	TxtMultiiTower08_name07	ui.TxtMultiiTower08_des07		1	1		塔防联机
131	2000316	TxtMultiiTower08_name08	ui.TxtMultiiTower08_des08		1	1		塔防联机
131	2000320	TxtMultiiTower08_name09	ui.TxtMultiiTower08_des09		1	1		塔防联机
131	2000318	TxtMultiiTower08_name10	ui.TxtMultiiTower08_des10		1	1		塔防联机
132	2000321	TxtTutorialSevendaysTitle1_3	ui.TxtTutorialSevendays1_3		1	1		2.3七日派对-关卡引导
133	2000322	TxtTutorialSevendaysTitle1_4	ui.TxtTutorialSevendays1_4		1	1		2.3七日派对-关卡引导
134	2000323	TxtTutorialSevendaysTitle1_5	ui.TxtTutorialSevendays1_5		1	1		2.3七日派对-关卡引导
135	2000324	TxtTutorialSevendaysTitle1_6	ui.TxtTutorialSevendays1_6		1	1		2.3七日派对-关卡引导
136	2000325	TxtTutorialSevendaysTitle1_7	ui.TxtTutorialSevendays1_7		1	1		2.3七日派对-关卡引导
137	2000326	TutorialOnlineHardTitle1	ui.TutorialOnlineHardDesc1		1	1		2.3火线突击系统引导
137	2000327	TutorialOnlineHardTitle2	ui.TutorialOnlineHardDesc2		1	1		2.3火线突击系统引导
137	2000328	TutorialOnlineHardTitle3	ui.TutorialOnlineHardDesc3		1	1		2.3火线突击系统引导
137	2000329	TutorialOnlineHardTitle4	ui.TutorialOnlineHardDesc4		1	1		2.3火线突击系统引导
137	2000330	TutorialOnlineHardTitle5	ui.TutorialOnlineHardDesc5		1	1		2.3火线突击系统引导
137	2000331	TutorialOnlineHardTitle6	ui.TutorialOnlineHardDesc6		1	1		2.3火线突击系统引导
138	2000327	TutorialOnlineHardTitle2	ui.TutorialOnlineHardDesc2		1	1		2.3火线突击关卡引导
139	2000328	TutorialOnlineHardTitle3	ui.TutorialOnlineHardDesc3		1	1		2.3火线突击关卡引导
140	2000329	TutorialOnlineHardTitle4	ui.TutorialOnlineHardDesc4		1	1		2.3火线突击关卡引导
141	2000330	TutorialOnlineHardTitle5	ui.TutorialOnlineHardDesc5		1	1		2.3火线突击关卡引导
142	2000331	TutorialOnlineHardTitle6	ui.TutorialOnlineHardDesc6		1	1		2.3火线突击关卡引导
143	2000332	TxtTutorialOnlineBossTitle10_1	ui.TxtTutorialOnlineBoss10_1		1	1		2.3联机BOSS挑战-概览
143	2000333	TxtTutorialOnlineBossTitle10_2	ui.TxtTutorialOnlineBoss10_2		1	1		2.3联机BOSS挑战-概览
143	2000334	TxtTutorialOnlineBossTitle10_3	ui.TxtTutorialOnlineBoss10_3		1	1		2.3联机BOSS挑战-概览
143	2000335	TxtTutorialOnlineBossTitle4	ui.TxtTutorialOnlineBoss4		1	1		2.3联机BOSS挑战-概览
144	2000337	TxtTutorialBackPackTitle1	bagrogue.HelpDes1		1	1		背包肉鸽帮助图1
144	2000338	TxtTutorialBackPackTitle2	bagrogue.HelpDes2		1	1		背包肉鸽帮助图1
144	2000339	TxtTutorialBackPackTitle3	bagrogue.HelpDes3		1	1		背包肉鸽帮助图1
144	2000340	TxtTutorialBackPackTitle4	bagrogue.HelpDes4		1	1		背包肉鸽帮助图1
144	2000341	TxtTutorialBackPackTitle5	bagrogue.HelpDes5		1	1		背包肉鸽帮助图1
144	2000342	TxtTutorialBackPackTitle6	bagrogue.HelpDes6		1	1		背包肉鸽帮助图1
144	2000347	TxtTutorialBackPackTitle11	bagrogue.HelpDes11		1	1		背包肉鸽帮助图1
144	2000343	TxtTutorialBackPackTitle7	bagrogue.HelpDes7		1	1		背包肉鸽帮助图1
144	2000344	TxtTutorialBackPackTitle8	bagrogue.HelpDes8		1	1		背包肉鸽帮助图1
144	2000408	TxtTutorialBackPackTitle12	bagrogue.HelpDes12		1	1		背包肉鸽帮助图1
144	2000409	TxtTutorialBackPackTitle13	bagrogue.HelpDes13		1	1		背包肉鸽帮助图1
144	2000345	TxtTutorialBackPackTitle9	bagrogue.HelpDes9		1	1		背包肉鸽帮助图1
144	2000346	TxtTutorialBackPackTitle10	bagrogue.HelpDes10		1	1		背包肉鸽帮助图1
145	2000341	TxtTutorialBackPackTitle5	bagrogue.HelpDes5		1	1		背包肉鸽帮助图2
145	2000342	TxtTutorialBackPackTitle6	bagrogue.HelpDes6		1	1		背包肉鸽帮助图2
145	2000347	TxtTutorialBackPackTitle11	bagrogue.HelpDes11		1	1		背包肉鸽帮助图2
145	2000343	TxtTutorialBackPackTitle7	bagrogue.HelpDes7		1	1		背包肉鸽帮助图2
145	2000344	TxtTutorialBackPackTitle8	bagrogue.HelpDes8		1	1		背包肉鸽帮助图2
146	2000348	TxtTeamBoss.PicTitle1	ui.TxtTeamBoss.Picdes1		1	1		噬神斗场帮助图1
146	2000349	TxtTeamBoss.PicTitle2	ui.TxtTeamBoss.Picdes2		1	1		噬神斗场帮助图2
146	2000350	TxtTeamBoss.PicTitle3	ui.TxtTeamBoss.Picdes3		1	1		噬神斗场帮助图3
146	2000351	TxtTeamBoss.PicTitle4	ui.TxtTeamBoss.Picdes4		1	1		噬神斗场帮助图4
146	2000361	TxtTeamBoss.PicTitle5	ui.TxtTeamBoss.Picdes5		1	1		噬神斗场帮助图5
								
147	2000310	TxtTutorialSevendaysTitle1_1	ui.TxtTutorialSevendays1_1		1	1		2.4七日派对
147	2000311	TxtTutorialSevendaysTitle1_2	ui.TxtTutorialSevendays1_2		1	1		2.4七日派对
147	2000352	TxtTutorialSevendaysTitle1_24	ui.TxtTutorialSevendays1_24_1		1	1		2.4七日派对
147	2000353	TxtTutorialSevendaysTitle1_24	ui.TxtTutorialSevendays1_24_2		1	1		2.4七日派对
147	2000354	TxtTutorialSevendaysTitle2_24	ui.TxtTutorialSevendays2_24		1	1		2.4七日派对
147	2000355	TxtTutorialSevendaysTitle3_24	ui.TxtTutorialSevendays3_24		1	1		2.4七日派对
