活动Id(最大6550)	排序	//备注	所在页签（0或不填则隐藏，1为限时页，2为常驻页，3为新手活动页）	组别	组Icon（父标签ICON，可不填，默认读后面的子标签ICON）	组名（父标签名称，可不填，默认读后面的子标签名称）	活动类型	起始时间	结束时间	临时关闭(常规不用 0默认开启 1关闭,任务计数 2关闭,任务不计数)	是否隐藏	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	模板Id(主要是非签到模板)	背景图	页签Icon	抬头图标	立绘	帮助描述{文本key,显示标记 1默认统一位置显示2活动模板自己显示，外围隐藏}	内容描述(逗号分割多个)	页签描述	每日任务({成就id}activity_quest.txt)	每周任务({成就id}activity_quest.txt)	活动期任务({成就id}activity_quest.txt)	代币ID({id1,..})	自定义数据(商店模板:商店id;返还模板:0展示阶段1领奖阶段;首充模板：奖励物品;短签模板:弹窗顺序;任务回归离线时间【只限活动大厅内的回归使用】)	自定义数据(任务活动1013模板:{1显示常驻标签,默认关闭}；联机活动模板:{按钮的IconId})	跳转界面({类型,值}1类型,function id;2类型,ui窗口名字;3类型,lua函数)	跳转参数	每日解锁任务({{第几天开放,Normal任务id,...},..})	终身模式(1标记)	弹窗顺序(仅短签活动)；序号越大越先弹出	地区限制目前可填：0国内外,1国内,2海外	是否已有核心奖励	是否能领取核心奖励	是否是新手活动
126	9	角色试玩_芬妮-新换装_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407251000]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_14															
127	9	角色试玩_辉夜_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_1															
128	9	角色试玩_云篆_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_2															
129	9	角色试玩_藏锋_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_4															
130	9	角色试玩_溯影_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_6															
131	9	角色试玩_苔丝魔术师_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_7															
132	9	角色试玩_凯西娅_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_8															
133	9	角色试玩_伊切尔_DLC9	1	125	1701195	activity.TxtActivityTry1	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_9															
134	9	皮肤试玩_里芙新换装恒约_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408080400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_30															
135	9	皮肤试玩_芬妮新换装恒约_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407251000]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_31															
136	9	皮肤试玩_雨燕舞会4星_DLC9	1	134	1701196	activity.TxtActivityTry2	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_32															
137	9	皮肤试玩_里芙宇航员BP3星_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_33															
138	9	皮肤试玩_伊切尔3星_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408210400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_34															
139	9	皮肤试玩_晴凛冽冬花_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_1															
140	9	皮肤试玩_芙提雅狂曲雅跃_DLC8	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_15															
141	9	皮肤试玩_安卡希雅东流映荷_DLC9	1	134	1701196	activity.TxtActivityTry2	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_19															
142	9	皮肤试玩_伊切尔迟到花蕾_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_21															
143	9	皮肤试玩_芙提雅行疾脱兔_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_2															
144	9	皮肤试玩_芬妮初晴金雪_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_12															
145	9	皮肤试玩_里芙霜舞盛典_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_11															
146	9	皮肤试玩_芬妮甜蜜统治_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_20															
147	9	皮肤试玩_凯茜娅远曲独舞_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_14															
148	13	DLC9版本签到	1	88			signin_monthly	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1021	1602391	1701104	1602390	1602389	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable33										1					
149		回归_DLC9	1	19			player_return	[202407110959]	[202408221000]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
150	13	下半期七日累签	1	88			signin_monthly	[202407250400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1021	1602426	1701104	1602425	1602424	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable34										1					
151		dlc9永续联战任务	1	32			activity_quest	[202407220400]	[202408050400]		1		1016										{14101,14102,14103,14104,14105,14106,14107,14108,14109,14110,14111,14112}												
152	3	【保健室开放】dlc9	1	152			dorm_cpfur_off	[202407110400]	[202408220400]			{{{2,11429}},{{2,10104}}}	1030	1602395	1701104					activity.Lable35					{'activity.dlc9house_detail'}										
153	7	新星开拓跳转	1	153				[202407110400]	[202408220400]				1031	1602393	1701104	1602392			vircapture.vircapture_ADContent,vircapture.vircapture_ADTitle	ui.TxtVircaptureMain.title					{{4,3,2,1,1},{5,5,1,4,1},{4,1,6,5,1}}		{3, "VirCapture:CheckOpenAct()"}								
154	9	皮肤试玩_凯西娅贴身特助_DLC9	1	134	1701196	activity.TxtActivityTry3	gacha_try	[202407110400]	[202407180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_27															
155	9	角色试玩_薇蒂雅_DLC10	1	155	1701195	activity.TxtActivityTry1	gacha_try	[202408221000]	[202409190400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_15															
156	9	角色试玩_辰星云篆_DLC10	1	155	1701195	activity.TxtActivityTry1	gacha_try	[202408221000]	[202409120400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_2															
157	9	角色试玩_琴诺_DLC10	1	155	1701195	activity.TxtActivityTry1	gacha_try	[202409051000]	[202409260400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_10															
158	9	角色试玩_恩雅_DLC10	1	155	1701195	activity.TxtActivityTry1	gacha_try	[202409051000]	[202409260400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_11															
159	9	皮肤试玩_薇蒂雅翠翎倩姿_DLC10	1	159	1701196	activity.TxtActivityTry3	gacha_try	[202408221000]	[202409190400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_35															
160	9	皮肤试玩_辰星云篆旗袍_DLC10	1	159	1701196	activity.TxtActivityTry3	gacha_try	[202408221000]	[202409260400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_36															
161	9	皮肤试玩_安卡希雅战损_DLC10	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202408221000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_37															
164	13	DLC10版本签到	1	88			signin_monthly	[202408221000]	[202409120400]			{{{2,11429}},{{2,10104}}}	1021	1602430	1701104	1602429	1602428	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable36										1					
165		回归_DLC10	1	19			player_return	[202408221000]	[202409260959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
166	3	【宿舍上新】龙舌兰	1	166			dorm_cpfur_off	[202408221000]	[202409260400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable21					{'activity.dlc10house_detail1','activity.dlc10house_detail1','activity.dlc10house_detail2','activity.dlc10house_detail3',1601010}	{3}									
167	6	体力兑换活动3期	1	167			energy_exchange	[202409160400]	[202409230400]			{{{2,11429}},{{2,10104}}}	1023	1602236	1701104	1602237			activity.road1_des	activity.TxtActivityRoad1					{45}										
168	9	武器试玩_恩雅轻吻疗法_DLC10	1	168	1701196	activity.TxtActivityTry3	gacha_try	[202408221000]	[202409250400]		1	{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_24															
169		回归_DLC11	1	19			player_return	[202409261000]	[202411070959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
170	6	独家委托新版	1	170			extra_mission	[202410240400]	[202410310400]			{{{2,11429}},{{2,10104}}}	1027	1602483	1701104	1602125				activity.Lable27					{{202410240400, {{4,3,2,1,10}, {5,1,1,3,2}, {4,3,1,1,3000}}},{202410250400, {{4,3,2,1,10}, {5,2,1,3,2}, {4,3,1,1,3000}}},{202410260400, {{4,3,2,1,10}, {5,3,1,3,2}, {4,3,1,1,3000}}},{202410270400, {{4,3,2,1,10}, {5,1,1,3,2}, {4,3,1,1,3000}}},{202410280400, {{4,3,2,1,10}, {5,2,1,3,2}, {4,3,1,1,3000}}},{202410290400, {{4,3,2,1,10}, {5,3,1,3,2}, {4,3,1,1,3000}}},{202410300400, {{4,3,2,1,10}, {5,9,1,2,2}, {4,3,1,1,3000}}},{{4,3,2,1,50}, {5,6,1,2,1}, {4,3,1,1,5000}}}	{12002,12003,12004,12005,12007,12008,12009}				1					
171	13	DLC11版本签到上半期	1	88			signin_monthly	[202409260400]	[202410170400]			{{{2,11429}},{{2,10104}}}	1021	1602486	1701104	1602485	1602484	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable37										1					
172	13	DLC11版本签到下半期	1	88			signin_monthly	[202410100400]	[202410310400]			{{{2,11429}},{{2,10104}}}	1021	1602489	1701104	1602488	1602487	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable38										1					
173	3	【宿舍上新】茉莉安凯茜娅	1	173			dorm_cpfur_off	[202409260400]	[202411070400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable31					{'activity.dlc11house_detail1','activity.dlc11house_detail1','activity.dlc11house_detail2','activity.dlc11house_detail3',1601012,1601011,1602495,2}	{3,4}									
174	1	特别邀请_茉莉安幽潮	1	174			free_items	[202410090400]	[202411070400]				1028	1602507	1701104	1602511	1602508		activity.template_15_des	activity.Lable28					{{1,5,3,1,1,20},{3,1,40,2,1},{3,2,40,2,1},{3,3,40,2,1}}	{202410101000}				1					
175		dlc11永续联战任务	1	32			activity_quest	[202409300400]	[202410140400]		1		1016										{14201,14202,14203,14204,14205,14206,14207,14208,14209,14210,14211,14212}												
176	9	角色试玩_凯茜娅·朝翼_DLC11	1	176	1701195	activity.TxtActivityTry1	gacha_try	[202409260400]	[202410240400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_16															
177	9	角色试玩_茉莉安·幽潮_DLC11	1	176	1701195	activity.TxtActivityTry1	gacha_try	[202410101000]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_17															
178	9	角色试玩_芬妮-新换装_DLC11	1	176	1701195	activity.TxtActivityTry1	gacha_try	[202409260400]	[202410170400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_14															
179	9	角色试玩_瞬刻_DLC11	1	176	1701195	activity.TxtActivityTry1	gacha_try	[202410170400]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_12															
180	9	皮肤试玩_凯茜娅·朝翼沐浪倦姿_DLC11	1	180	1701196	activity.TxtActivityTry3	gacha_try	[202409260400]	[202410240400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_38															
181	9	皮肤试玩_茉莉安·幽潮灿阳一刻_DLC11	1	180	1701196	activity.TxtActivityTry3	gacha_try	[202410101000]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_39															
182	9	皮肤试玩_恩雅·羽蜕浅憩之处_DLC11	1	180	1701196	activity.TxtActivityTry2	gacha_try	[202409260400]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_40															
183	9	皮肤试玩_琴诺·悖谬静聆潮韵_DLC11	1	180	1701196	activity.TxtActivityTry2	gacha_try	[202409260400]	[202411060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_41															
184	9	皮肤试玩_溯影灼阳假期_DLC11	1	180	1701196	activity.TxtActivityTry3	gacha_try	[202409260400]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_4															
185	9	皮肤试玩_云篆波光倩影_DLC11	1	180	1701196	activity.TxtActivityTry3	gacha_try	[202409260400]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_5															
186	9	皮肤试玩_瞬刻须臾蹁跹_DLC11	1	180	1701196	activity.TxtActivityTry3	gacha_try	[202409260400]	[202411070400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_26															
188	6	体力兑换活动4期	1	188			energy_exchange	[202410010400]	[202410080400]			{{{2,11429}},{{2,10104}}}	1023	1602236	1701104	1602237			activity.road1_des	activity.TxtActivityRoad1					{45}										
189	13	DLC12版本签到	1	189			signin_monthly	[202411071000]	[202411280400]			{{{2,11429}},{{2,10104}}}	1021	1602533	1701104	1602532	1602531	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable39										1					
190		回归_DLC12	1	19			player_return	[202411071000]	[202412190959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
191	9	角色试玩_芙提雅·驰掣_DLC12	1	191	1701195	activity.TxtActivityTry1	gacha_try	[202411071000]	[202412190400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_18															
193	9	角色试玩_里芙-新换装_DLC12	1	191	1701195	activity.TxtActivityTry1	gacha_try	[202411281000]	[202412190400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_13															
194	9	皮肤试玩_芙提雅·驰掣毛绒派对_DLC12	1	194	1701196	activity.TxtActivityTry3	gacha_try	[202411071000]	[202412190400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_42															
195	9	皮肤试玩_瑟瑞斯·瞬刻斑斓水色_DLC12	1	194	1701196	activity.TxtActivityTry3	gacha_try	[202411071000]	[202412190400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_43															
196	9	皮肤试玩_茉莉安·幽潮灿阳一刻_DLC12	1	194	1701196	activity.TxtActivityTry3	gacha_try	[202411071000]	[202411140400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_39															
197	9	皮肤试玩_辰星不灭守望_DLC12	1	50	1701196	activity.TxtActivityTry2	gacha_try	[202411071000]	[202509291000]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_44															
198	9	皮肤试玩_恩雅·羽蜕专属教练_DLC12	1	194	1701196	activity.TxtActivityTry3	gacha_try	[202411071000]	[202412180400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_45															
200	3	【宿舍上新】里芙芬妮膝枕	1	200			dorm_cpfur_off	[202411071000]	[202412190400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable31					{'activity.dlc12house_detail1','activity.dlc12house_detail1','activity.dlc12house_detail2','activity.dlc12house_detail3',1601014,1601013,1602495,2}	{3,4}									
201	9	角色试玩_溯影_DLC12	1	191	1701195	activity.TxtActivityTry1	gacha_try	[202411071000]	[202412190400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_6															
202		回归_DLC24	1	19			player_return	[202412191000]	[202501230959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
203	13	DLC24版本签到	1	203			signin_monthly	[202412191000]	[202501090400]			{{{2,11429}},{{2,10104}}}	1021	1602574	1701104	1602573	1602572	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable40										1					
204	9	角色试玩_卜卜_DLC24	1	204	1701195	activity.TxtActivityTry1	gacha_try	[202412191000]	[202501230400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_20															
205	9	角色试玩_凯茜娅·朝翼_DLC24	1	204	1701195	activity.TxtActivityTry1	gacha_try	[202501021000]	[202501230400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_16															
206	9	角色试玩_伊切尔_DLC24	1	204	1701195	activity.TxtActivityTry1	gacha_try	[202412191000]	[202501090400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_9															
207	9	皮肤试玩_伊切尔·豹豹捕猎演习_DLC24	1	207	1701196	activity.TxtActivityTry3	gacha_try	[202412191000]	[202501230400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_46															
208	9	皮肤试玩_琴诺·悖谬清荷雅弈_DLC24	1	207	1701196	activity.TxtActivityTry3	gacha_try	[202412191000]	[202501230400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_47															
209	9	皮肤试玩_凯西娅·朝翼秘密彩蛋_DLC24	1	207	1701196	activity.TxtActivityTry3	gacha_try	[202412191000]	[202501230400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_48															
210		2.4永续联战任务	1	32			activity_quest	[202412230400]	[202501060400]		1		1016										{14301,14302,14303,14304,14305,14306,14307,14308,14309,14310,14311,14312}												
211	3	【宿舍上新】晴膝枕	1	211			dorm_cpfur_off	[202412191000]	[202501230400]			{{{2,11422},{15,10230}},{{2,10104}}}	1020	1602222	1701104					activity.Lable31					{'activity.dlc13house_detail1','activity.dlc13house_detail1','activity.dlc13house_detail2','activity.dlc13house_detail3',1601015,-1,1602495,2}	{4}									
212	8	悖论迷宫2.5赛季跳转	1	212				[202502061000]	[202502270400]				1012	1602619	1701104	1602620			rogue3.massage_adDesSeason2	ui.TxtDLC5.RogueTitle					{{13,1,21,1,1},{5,21,2,5,1},{4,3,2,1,1}}	{1602274}	{3,"Rogue3DLogic.OpenUI()"}								
213	9	角色试玩_辰星·琼弦_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_21															
214	9	角色试玩_肴·夜天光_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202502061000]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_22															
215	9	角色试玩_茉莉安·幽潮_DLC25	1	213	1701195	activity.TxtActivityTry1	gacha_try	[202502130400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602197	1701195			{"activity.try_girl_test",1}		activity.TxtActivityTry1_17															
216	9	皮肤试玩_辰星·琼弦欣描红妆_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_49															
217	9	皮肤试玩_肴·夜天光暖夜情醺_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202502061000]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_50															
218	9	皮肤试玩_芬妮·辉耀金狮舞瑞_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_51															
219	9	皮肤试玩_瑟瑞斯·瞬刻纯白午后_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503050400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_52															
220	9	皮肤试玩_里芙新换装恒约_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_30															
221	9	皮肤试玩_芬妮新换装恒约_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_31															
222	9	皮肤试玩_狂猎宵宴绯盏_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_18															
223	9	皮肤试玩_晴凛冽冬花_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_1															
224	9	皮肤试玩_瞬刻须臾蹁跹_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_26															
225	9	皮肤试玩_凯西娅贴身特助_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_27															
226	9	皮肤试玩_雨燕舞会4星_DLC25	1	216	1701196	activity.TxtActivityTry2	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_32															
227	9	皮肤试玩_薇蒂雅翠翎倩姿_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_35															
228	9	皮肤试玩_辰星云篆旗袍_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_36															
229	9	皮肤试玩_芙提雅·驰掣毛绒派对_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602167	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_42															
230	9	皮肤试玩_瑟瑞斯·瞬刻斑斓水色_DLC25	1	216	1701196	activity.TxtActivityTry3	gacha_try	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1011	1602026	1701196			{"activity.try_girl_test1",1}		activity.TxtActivityTry2_43															
231		回归_DLC25	1	19			player_return	[202501231000]	[202503060959]		1	{{{1,30}}}						{"activity.return_template_6_des",1}																	
232	1	特别邀请_肴	1	232			free_items	[202502050400]	[202503060400]				1028	1602597	1701104	1602601	1602598		activity.template_16_des	activity.Lable28					{{1,10,3,1,1,15},{3,1,45,2,1},{3,2,45,2,1},{3,3,45,2,1}}	{202502061000}				1					
233	13	DLC25版本签到上半期	1	233			signin_monthly	[202501230400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1021	1602610	1701104	1602613	1602616	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable41										1					
234	13	DLC25版本签到下半期	1	235			signin_monthly	[202502060400]	[202503060400]			{{{2,11429}},{{2,10104}}}	1021	1602612	1701104	1602615	1602618	{"activity.template_5_des",1}	activity.template_5_des	activity.Lable43										1					
