期数id	等级	普通奖励{g,d,p,l,n}	是否是特殊奖励	普通奖励显示优先级(越小越靠前)	进阶奖励{g,d,p,l,n}	是否是特殊奖励	进阶奖励显示优先级(越小越靠前)	地区限制目前可填：0国内外,1国内,2海外
9	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
9	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
9	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
9	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
9	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
9	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
9	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
9	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
9	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
9	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
9	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
9	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
9	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
9	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
9	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
9	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
9	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
9	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
9	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
9	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
9	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
9	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
9	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
9	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
9	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
9	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
9	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
9	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
9	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
9	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
9	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
9	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
10	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
10	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
10	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
10	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
10	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
10	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
10	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
10	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
10	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
10	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
10	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
10	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
10	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
10	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
10	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
10	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
10	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
10	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
10	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
10	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
10	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
10	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
10	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
10	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
10	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
10	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
10	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
10	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
10	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
10	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
10	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
10	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
10	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
10	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
10	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
10	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
10	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
10	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
10	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
10	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
10	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
10	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
10	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
10	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
10	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
10	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
10	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
10	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
10	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
10	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
11	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
11	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
11	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
11	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
11	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
11	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
11	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
11	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
11	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
11	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
11	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
11	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
11	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
11	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
11	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
11	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
11	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
11	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
11	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
11	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
11	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
11	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
11	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
11	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
11	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
11	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
11	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
11	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
11	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
11	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
11	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
11	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
11	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
11	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
11	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
11	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
11	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
11	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
11	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
11	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
11	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
11	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
11	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
11	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
11	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
11	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
11	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
11	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
11	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
11	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
12	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
12	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
12	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
12	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
12	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
12	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
12	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
12	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
12	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
12	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
12	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
12	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
12	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
12	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
12	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
12	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
12	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
12	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
12	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
12	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
12	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
12	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
12	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
12	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
12	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
12	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
12	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
12	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
12	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
12	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
12	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
12	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
12	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
12	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
12	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
12	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
12	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
12	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
12	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
12	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
12	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
12	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
12	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
12	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
12	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
12	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
12	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
12	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
12	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
12	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
13	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
13	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
13	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
13	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
13	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
13	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
13	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
13	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
13	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
13	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
13	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
13	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
13	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
13	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
13	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
13	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
13	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
13	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
13	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
13	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
13	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
13	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
13	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
13	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
13	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
13	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
13	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
13	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
13	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
13	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
13	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
13	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
13	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
13	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
13	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
13	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
13	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
13	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
13	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
13	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
13	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
13	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
13	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
13	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
13	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
13	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
13	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
13	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
13	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
13	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
14	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
14	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
14	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
14	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
14	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
14	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
14	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
14	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
14	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
14	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
14	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
14	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
14	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
14	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
14	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
14	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
14	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
14	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
14	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
14	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
14	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
14	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
14	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
14	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
14	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
14	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
14	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
14	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
14	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
14	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
14	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
14	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
14	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
14	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
14	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
14	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
14	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
14	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
14	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
14	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
14	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
14	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
14	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
14	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
14	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
14	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
14	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
14	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
14	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
14	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
15	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
15	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
15	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
15	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
15	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
15	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
15	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
15	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
15	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
15	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
15	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
15	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
15	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
15	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
15	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
15	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
15	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
15	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
15	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
15	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
15	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
15	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
15	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
15	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
15	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
15	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
15	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
15	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
15	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
15	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
15	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
15	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
15	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
15	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
15	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
15	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
15	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
15	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
15	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
15	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
15	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
15	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
15	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
15	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
15	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
15	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
15	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
15	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
15	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
15	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
16	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
16	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
16	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
16	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
16	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
16	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
16	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
16	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
16	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
16	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
16	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
16	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
16	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
16	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
16	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
16	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
16	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
16	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
16	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
16	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
16	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
16	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
16	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
16	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
16	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
16	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
16	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
16	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
16	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
16	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
16	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
16	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
16	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
16	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
16	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
16	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
16	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
16	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
16	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
16	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
16	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
16	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
16	43	{4,3,1,1,4500}		43	{4,3,1,1,28000}			
16	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
16	45	{5,5,1,4,1}	1	45	{4,2,1,4,8}	1	4	
16	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
16	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
16	48	{4,3,1,1,6000}		48	{4,3,1,1,34000}			
16	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
16	50	{5,21,1,4,1}	1	50	{5,6,1,2,4}	1		
								
17	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
17	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
17	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
17	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
17	5	{4,2,1,4,3}	1	5	{4,2,1,4,7}	1	4	
17	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
17	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
17	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
17	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
17	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
17	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
17	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
17	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
17	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
17	15	{5,9,1,3,2}	1	15	{5,9,1,3,2}	1	3	
17	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
17	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
17	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
17	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
17	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
17	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
17	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
17	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
17	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
17	25	{4,2,1,4,3}	1	25	{4,2,1,4,7}	1	4	
17	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
17	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
17	28	{4,3,1,1,3000}		28	{4,3,1,1,22000}			
17	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
17	30	{5,21,1,4,2}	1	30	{5,21,1,5,2}	1	2	
17	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
17	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
17	33	{4,3,1,1,4500}		33	{4,3,1,1,28000}			
17	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
17	35	{5,6,1,2,2}	1	35	{5,6,1,2,4}	1	3	
17	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
17	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
17	38	{4,3,1,1,4500}		38	{4,3,1,1,28000}			
17	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
17	40	{4,1,6,5,100}	1	40	{4,1,6,5,400}	1	2	
17	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
17	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
