商店ID	商品ID	GDPLN	Up定向池的限制，配置格式为{{定向卡池ID1,所选卡池ID…},{定向卡池ID2,所选卡池ID…}…}	//备注	固定位置	后置商品ID（需要按ID顺序解锁时配）	解锁条件	购买逻辑	售价	限购类型	限购数量	拥有数量限制（超过则不可购买）	超过限购提示（1或不配显示售罄标签，2显示下次刷新倒计时）	折扣类型（1按比例，2超值）	折扣{{概率,比例或超值}...}	上线时间	下线时间	是否隐藏限时标签	是否未上架时进行显示	是否提示防沉迷	是否显示后勤专属角色角标（1=显示，0或不配=不显示）	扩展参数
120	12005	{3,2,34,1,1}		祖灵-斯卡特	5			ordinary	{5,29,6,1,50}							[202409051000]		1				
120	12006	{3,3,34,1,1}		祖灵-艾丽娅	6			ordinary	{5,29,6,1,50}							[202409051000]		1				
120	12007	{3,1,35,1,1}		沙叶-阿什叶	7			ordinary	{5,29,6,1,50}							[202409051000]		1				
120	12008	{3,2,35,1,1}		沙叶-娜姆	8			ordinary	{5,29,6,1,50}							[202409051000]		1				
120	12009	{3,3,35,1,1}		沙叶-帕斯特	9			ordinary	{5,29,6,1,50}							[202409051000]		1				
120	12010	{3,1,28,1,1}		明夷-赭毫	10			ordinary	{5,29,6,1,50}													
120	12011	{3,2,28,1,1}		明夷-朱鹤	11			ordinary	{5,29,6,1,50}													
120	12012	{3,3,28,1,1}		明夷-金琅	12			ordinary	{5,29,6,1,50}													
120	12013	{2,4,27,1,1}		澄叶	13			ordinary	{5,29,6,1,300}													
120	12014	{2,1,26,1,1}		洁白之环	14			ordinary	{5,29,6,1,300}							[202409051000]		1				
120	12015	{2,4,25,1,1}		玫瑰之荣	15			ordinary	{5,29,6,1,300}							[202409051000]		1				
120	12016	{2,5,10,1,1}		荒野微笑	16			ordinary	{5,29,6,1,300}													
120	12017	{4,3,1,1,200}		通用银	17			ordinary	{5,29,6,1,1}													
																						
121	12101	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,7,2,50}	5	5											
121	12102	{5,1,1,3,8}		战斗记录3	20			ordinary	{5,29,7,1,16}	5	15											
121	12103	{5,1,1,4,5}		战斗记录4	13			ordinary	{5,29,7,1,30}	5	8											
121	12104	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,7,1,16}	5	30											
121	12105	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,7,1,75}	5	10											
121	12106	{6,2,151,1,1}		【凯茜娅-朝翼】SSR武器配件	3			ordinary	{5,29,7,2,100}	5	1											
121	12107	{6,2,150,1,1}		【茉莉安-幽潮】SSR武器配件	4			ordinary	{5,29,7,2,100}	5	1					[202410101000]						
121	12108	{2,5,25,1,1}		龙卷风	10			ordinary	{5,29,7,1,150}	5	1											
121	12109	{2,3,27,1,1}		晶棱	11			ordinary	{5,29,7,1,150}	5	1					[202410101000]						
121	12110	{5,2,1,3,8}		强化套件3	16			ordinary	{5,29,7,1,16}	5	10											
121	12111	{5,2,1,4,5}		强化套件4	15			ordinary	{5,29,7,1,30}	5	5											
121	12112	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,7,1,8}	5	10											
121	12113	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,7,1,16}	5	10											
121	12114	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,7,1,16}	5	10											
121	12115	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,7,1,100}	5	5											
121	12116	{5,3,1,3,8}		职级认证丙	18			ordinary	{5,29,7,1,16}	5	30											
121	12117	{5,3,1,4,5}		职级认证丁	14			ordinary	{5,29,7,1,30}	5	15											
121	12118	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,7,1,75}	5	10											
121	12119	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,7,1,20}	5	35											
121	12120	{4,3,1,1,15000}		通用银	22			ordinary	{5,29,7,2,10}	5	10											
121	12121	{16,3,1,1,1}		分析员西装皮肤	6			ordinary	{5,29,7,2,300}	5	1					[202410171000]		1	1			
121	12122	{8,99,15,3,1}		宿舍纪念品-尘白恶魔号模型	2			ordinary	{5,29,7,2,100}	5	1											
121	12123	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,7,2,25}	5	6											
																						
122	12201	{3,1,41,1,1}		射影-玛莉妮	1			ordinary	{5,29,7,1,50}													
122	12202	{3,2,41,1,1}		射影-贝莎	2			ordinary	{5,29,7,1,50}													
122	12203	{3,3,41,1,1}		射影-埃拉托	3			ordinary	{5,29,7,1,50}													
122	12204	{3,1,40,1,1}		钢羽-布莱莉卡	4			ordinary	{5,29,7,1,50}							[202410101000]		1				
122	12205	{3,2,40,1,1}		钢羽-蕾拉	5			ordinary	{5,29,7,1,50}							[202410101000]		1				
122	12206	{3,3,40,1,1}		钢羽-普尔法	6			ordinary	{5,29,7,1,50}							[202410101000]		1				
122	12207	{3,1,38,1,1}		清乐-桫椤	7			ordinary	{5,29,7,1,50}													
122	12208	{3,2,38,1,1}		清乐-白桦	8			ordinary	{5,29,7,1,50}													
122	12209	{3,3,38,1,1}		清乐-棕榈	9			ordinary	{5,29,7,1,50}													
122	12210	{3,1,36,1,1}		金甲-菈普克	10			ordinary	{5,29,7,1,50}							[202410170400]		1				
122	12211	{3,2,36,1,1}		金甲-莫尔德莉	11			ordinary	{5,29,7,1,50}							[202410170400]		1				
122	12212	{3,3,36,1,1}		金甲-艾巴赫	12			ordinary	{5,29,7,1,50}							[202410170400]		1				
122	12213	{2,5,25,1,1}		龙卷风	13			ordinary	{5,29,7,1,300}													
122	12214	{2,3,27,1,1}		晶棱	14			ordinary	{5,29,7,1,300}							[202410101000]		1				
122	12215	{2,5,23,1,1}		像素时代	15			ordinary	{5,29,7,1,300}													
122	12216	{2,3,25,1,1}		圣甲	16			ordinary	{5,29,7,1,300}							[202410170400]		1				
122	12217	{4,3,1,1,200}		通用银	17			ordinary	{5,29,7,1,1}													
																						
123	12301	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,8,2,50}	5	5											
123	12302	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,8,1,16}	5	15											
123	12303	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,8,1,30}	5	8											
123	12304	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,8,1,16}	5	30											
123	12305	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,8,1,75}	5	10											
123	12306	{6,2,156,1,1}		折叠末日-瞄准镜	3			ordinary	{5,29,8,2,100}	5	1											
123	12307	{2,2,23,1,1}		梦幻捷径（第一把）	10			ordinary	{5,29,8,1,150}	5	1											
123	12308	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,8,1,16}	5	10											
123	12309	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,8,1,30}	5	5											
123	12310	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,8,1,8}	5	10											
123	12311	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,8,1,16}	5	10											
123	12312	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,8,1,16}	5	10											
123	12313	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,8,1,100}	5	5											
123	12314	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,8,1,16}	5	30											
123	12315	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,8,1,30}	5	15											
123	12316	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,8,1,75}	5	10											
123	12317	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,8,1,20}	5	35											
123	12318	{4,3,1,1,15000}		通用银（有限代币兑换）	22			ordinary	{5,29,8,2,10}	5	10											
123	12319	{8,99,16,3,1}		石碑纪念品	2			ordinary	{5,29,8,2,100}	5	1											
123	12320	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,8,2,25}	5	6											
																						
124	12401	{3,1,42,1,1}		超视-狄瓦丝	1			ordinary	{5,29,8,1,50}							[202411071000]		1				
124	12402	{3,2,42,1,1}		超视-奥莎娜	2			ordinary	{5,29,8,1,50}							[202411071000]		1				
124	12403	{3,3,42,1,1}		超视-天厨一	3			ordinary	{5,29,8,1,50}							[202411071000]		1				
124	12404	{3,1,30,1,1}		阿玛纳-阿赫莫特	4			ordinary	{5,29,8,1,50}							[202411071000]		1				
124	12405	{3,2,30,1,1}		阿玛纳-卜内菲尔	5			ordinary	{5,29,8,1,50}							[202411071000]		1				
124	12406	{3,3,30,1,1}		阿玛纳-梅克塔腾	6			ordinary	{5,29,8,1,50}							[202411071000]		1				
124	12407	{3,1,37,1,1}		星朗-朵薇尔	7			ordinary	{5,29,8,1,50}							[202411281000]		1				
124	12408	{3,2,37,1,1}		星朗-爱莉薇娅	8			ordinary	{5,29,8,1,50}							[202411281000]		1				
124	12409	{3,3,37,1,1}		星朗-妲柯丝	9			ordinary	{5,29,8,1,50}							[202411281000]		1				
124	12410	{2,2,23,1,1}		梦幻捷径	10			ordinary	{5,29,8,1,300}							[202411071000]		1				
124	12411	{2,1,14,1,1}		浮浪	11			ordinary	{5,29,8,1,300}							[202411071000]		1				
124	12412	{2,7,2,1,1}		转轮辉光	12			ordinary	{5,29,8,1,300}							[202411281000]		1				
124	12413	{4,3,1,1,200}		通用银	13			ordinary	{5,29,8,1,1}													
																						
125	12501	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,9,2,50}	5	5											
125	12502	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,9,1,16}	5	5											
125	12503	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,9,1,30}	5	5											
125	12504	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,9,1,16}	5	30											
125	12505	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,9,1,75}	5	10											
125	12506	{6,2,159,1,1}		火鳞·瞄准镜	3			ordinary	{5,29,9,2,100}	5	1											
125	12507	{2,4,29,1,1}		晚梅	10			ordinary	{5,29,9,1,150}	5	1											
125	12508	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,9,1,16}	5	5											
125	12509	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,9,1,30}	5	5											
125	12510	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,9,1,8}	5	10											
125	12511	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,9,1,16}	5	10											
125	12512	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,9,1,16}	5	10											
125	12513	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,9,1,100}	5	5											
125	12514	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,9,1,16}	5	10											
125	12515	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,9,1,30}	5	10											
125	12516	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,9,1,75}	5	10											
125	12517	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,9,1,20}	5	35											
125	12518	{4,3,1,1,15000}		通用银（有限代币兑换）	22			ordinary	{5,29,9,2,10}	5	10											
125	12519	{8,99,17,3,1}		竹筏纪念品	2			ordinary	{5,29,9,2,100}	5	1											
125	12520	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,9,2,25}	5	6											
																						
126	12601	{3,1,43,1,1}		泽虹-西格丽达	1			ordinary	{5,29,9,1,50}							[202412191000]		1				
126	12602	{3,2,43,1,1}		泽虹-莉尼	2			ordinary	{5,29,9,1,50}							[202412191000]		1				
126	12603	{3,3,43,1,1}		泽虹-缔罗尔	3			ordinary	{5,29,9,1,50}							[202412191000]		1				
126	12604	{3,1,33,1,1}		极光-维塔利娜	4			ordinary	{5,29,9,1,50}							[202412191000]		1				
126	12605	{3,2,33,1,1}		极光-格洛莉娅	5			ordinary	{5,29,9,1,50}							[202412191000]		1				
126	12606	{3,3,33,1,1}		极光-伊芙尼卡	6			ordinary	{5,29,9,1,50}							[202412191000]		1				
126	12607	{3,1,41,1,1}		射影-玛莉妮	7			ordinary	{5,29,9,1,50}							[202501021000]		1				
126	12608	{3,2,41,1,1}		射影-贝莎	8			ordinary	{5,29,9,1,50}							[202501021000]		1				
126	12609	{3,3,41,1,1}		射影-埃拉托	9			ordinary	{5,29,9,1,50}							[202501021000]		1				
126	12610	{2,4,29,1,1}		晚梅	10			ordinary	{5,29,9,1,300}							[202412191000]		1				
126	12611	{2,3,15,1,1}		岩蟒	11			ordinary	{5,29,9,1,300}							[202412191000]		1				
126	12612	{2,5,25,1,1}		龙卷风	12			ordinary	{5,29,9,1,300}							[202501021000]		1				
126	12613	{4,3,1,1,200}		通用银	13			ordinary	{5,29,9,1,1}													
																						
127	12701	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,10,2,50}	5	5											
127	12702	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,10,1,16}	5	15											
127	12703	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,10,1,30}	5	8											
127	12704	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,10,1,16}	5	30											
127	12705	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,10,1,75}	5	10											
127	12706	{6,9,162,1,1}		金喙·稳定器	3			ordinary	{5,29,10,2,100}	5	1											
127	12707	{6,4,163,1,1}		虹廊·弹匣	4			ordinary	{5,29,10,2,100}	5	1					[202502061000]						
127	12708	{2,8,2,1,1}		暗巷英雄	10			ordinary	{5,29,10,1,150}	5	1											
127	12709	{2,1,28,1,1}		正法	11			ordinary	{5,29,10,1,150}	5	1					[202502061000]						
127	12710	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,10,1,16}	5	10											
127	12711	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,10,1,30}	5	5											
127	12712	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,10,1,8}	5	10											
127	12713	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,10,1,16}	5	10											
127	12714	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,10,1,16}	5	10											
127	12715	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,10,1,100}	5	5											
127	12716	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,10,1,16}	5	30											
127	12717	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,10,1,30}	5	15											
127	12718	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,10,1,75}	5	10											
127	12719	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,10,1,20}	5	35											
127	12720	{4,3,1,1,15000}		通用银（有限代币兑换）	22			ordinary	{5,29,10,2,10}	5	10											
127	12721	{8,99,20,3,1}		画卷纪念品	2			ordinary	{5,29,10,2,100}	5	1											
127	12722	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,10,2,25}	5	6											
																						
128	12801	{3,1,44,1,1}		新桃-温然	1			ordinary	{5,29,10,1,50}									1			1	
128	12802	{3,2,44,1,1}		新桃-铃焰	2			ordinary	{5,29,10,1,50}									1			1	
128	12803	{3,3,44,1,1}		新桃-玉茗	3			ordinary	{5,29,10,1,50}									1			1	
128	12804	{3,1,45,1,1}		闻风-乌贝尔	4			ordinary	{5,29,10,1,50}							[202502061000]		1			1	
128	12805	{3,2,45,1,1}		闻风-伊瑟瑞斯	5			ordinary	{5,29,10,1,50}							[202502061000]		1			1	
128	12806	{3,3,45,1,1}		闻风-谢菲尔	6			ordinary	{5,29,10,1,50}							[202502061000]		1			1	
128	12807	{3,1,40,1,1}		钢羽-布莱莉卡	7			ordinary	{5,29,10,1,50}							[202502130400]		1			1	
128	12808	{3,2,40,1,1}		钢羽-蕾拉	8			ordinary	{5,29,10,1,50}							[202502130400]		1			1	
128	12809	{3,3,40,1,1}		钢羽-普尔法	9			ordinary	{5,29,10,1,50}							[202502130400]		1			1	
128	12810	{2,8,2,1,1}		暗巷英雄	10			ordinary	{5,29,10,1,300}									1				
128	12811	{2,1,28,1,1}		正法	11			ordinary	{5,29,10,1,300}							[202502061000]		1				
128	12812	{2,3,27,1,1}		晶棱	12			ordinary	{5,29,10,1,300}							[202502130400]		1				
128	12813	{4,3,1,1,200}		通用银	13			ordinary	{5,29,10,1,1}													
																						
129	12901	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,11,2,50}	5	5											
129	12902	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,11,1,16}	5	15											
129	12903	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,11,1,30}	5	8											
129	12904	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,11,1,16}	5	30											
129	12905	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,11,1,75}	5	10											
129	12906	{6,2,170,1,1}		菱能视角·瞄准镜	3			ordinary	{5,29,11,2,100}	5	1											
129	12907	{2,3,29,1,1}		沼泽之主	10			ordinary	{5,29,11,1,150}	5	1											
129	12908	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,11,1,16}	5	10											
129	12909	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,11,1,30}	5	5											
129	12910	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,11,1,8}	5	10											
129	12911	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,11,1,16}	5	10											
129	12912	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,11,1,16}	5	10											
129	12913	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,11,1,100}	5	5											
129	12914	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,11,1,16}	5	30											
129	12915	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,11,1,30}	5	15											
129	12916	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,11,1,75}	5	10											
129	12917	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,11,1,20}	5	35											
129	12918	{4,3,1,1,15000}		通用银	22			ordinary	{5,29,11,2,10}	5	10											
129	12919	{8,99,25,3,1}		玻璃球纪念品	2			ordinary	{5,29,11,2,100}	5	1											
129	12920	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,11,2,25}	5	6											
																						
130	13001	{3,1,46,1,1}		微光-猫柳	1			ordinary	{5,29,11,1,50}									1			1	
130	13002	{3,2,46,1,1}		微光-秋晴	2			ordinary	{5,29,11,1,50}									1			1	
130	13003	{3,3,46,1,1}		微光-长天	3			ordinary	{5,29,11,1,50}									1			1	
130	13004	{3,1,32,1,1}		伊莱-安提	4			ordinary	{5,29,11,1,50}									1			1	
130	13005	{3,2,32,1,1}		伊莱-斯特拉	5			ordinary	{5,29,11,1,50}									1			1	
130	13006	{3,3,32,1,1}		伊莱-伊达米娅	6			ordinary	{5,29,11,1,50}									1			1	
130	13007	{3,1,42,1,1}		超视-狄瓦丝	7			ordinary	{5,29,11,1,50}							[202503271000]		1			1	
130	13008	{3,2,42,1,1}		超视-奥莎娜	8			ordinary	{5,29,11,1,50}							[202503271000]		1			1	
130	13009	{3,3,42,1,1}		超视-天厨一	9			ordinary	{5,29,11,1,50}							[202503271000]		1			1	
130	13010	{2,3,29,1,1}		沼泽之主	10			ordinary	{5,29,11,1,300}									1				
130	13011	{2,6,2,1,1}		龙胆	11			ordinary	{5,29,11,1,300}									1				
130	13012	{2,2,23,1,1}		梦幻捷径	12			ordinary	{5,29,11,1,300}							[202503271000]		1				
130	13013	{4,3,1,1,200}		通用银	13			ordinary	{5,29,11,1,1}													
																						
131	13101	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,12,2,50}	5	5											
131	13102	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,12,1,16}	5	15											
131	13103	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,12,1,30}	5	8											
131	13104	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,12,1,16}	5	30											
131	13105	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,12,1,75}	5	10											
131	13106	{6,2,174,1,1}		奈莉德橙色配件	3			ordinary	{5,29,12,2,100}	5	1											
131	13107	{6,5,173,1,1}		妮塔橙色配件	3			ordinary	{5,29,12,2,100}	5	1					[202505011000]						
131	13108	{2,5,27,1,1}		奈莉德四星武器	10			ordinary	{5,29,12,1,150}	5	1											
131	13109	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,12,1,16}	5	10											
131	13110	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,12,1,30}	5	5											
131	13111	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,12,1,8}	5	10											
131	13112	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,12,1,16}	5	10											
131	13113	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,12,1,16}	5	10											
131	13114	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,12,1,100}	5	5											
131	13115	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,12,1,16}	5	30											
131	13116	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,12,1,30}	5	15											
131	13117	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,12,1,75}	5	10											
131	13118	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,12,1,20}	5	35											
131	13119	{4,3,1,1,15000}		通用银	22			ordinary	{5,29,12,2,10}	5	10											
131	13120	{8,99,26,3,1}		鱼缸纪念品	2			ordinary	{5,29,12,2,100}	5	1											
131	13121	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,12,2,25}	5	6											
																						
132	13201	{3,1,47,1,1}		希德-瑞特兰	1			ordinary	{5,29,12,1,50}									1			1	
132	13202	{3,2,47,1,1}		希德-乌布	2			ordinary	{5,29,12,1,50}									1			1	
132	13203	{3,3,47,1,1}		希德-伊斯莫	3			ordinary	{5,29,12,1,50}									1			1	
132	13204	{3,1,48,1,1}		花楸-白三叶	4			ordinary	{5,29,12,1,50}							[202505011000]		1			1	
132	13205	{3,2,48,1,1}		花楸-卡尔哈雅	5			ordinary	{5,29,12,1,50}							[202505011000]		1			1	
132	13206	{3,3,48,1,1}		花楸-柯尔希	6			ordinary	{5,29,12,1,50}							[202505011000]		1			1	
132	13207	{3,1,43,1,1}		泽虹-西格丽达	7			ordinary	{5,29,12,1,50}							[202505081000]		1			1	
132	13208	{3,2,43,1,1}		泽虹-莉尼	8			ordinary	{5,29,12,1,50}							[202505081000]		1			1	
132	13209	{3,3,43,1,1}		泽虹-缔罗尔	9			ordinary	{5,29,12,1,50}							[202505081000]		1			1	
132	13210	{2,5,27,1,1}		奈莉德四星武器	10			ordinary	{5,29,12,1,300}									1				
132	13211	{2,4,29,1,1}		晚梅	11			ordinary	{5,29,12,1,300}							[202505081000]		1				
132	13212	{4,3,1,1,200}		通用银	13			ordinary	{5,29,12,1,1}													
																						
133	13301	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,13,2,50}	5	5											
133	13302	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,13,1,16}	5	15											
133	13303	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,13,1,30}	5	8											
133	13304	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,13,1,16}	5	30											
133	13305	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,13,1,75}	5	10											
133	13306	{6,1,178,1,1}		天鹅座橙色配件	3			ordinary	{5,29,13,2,100}	5	1											
133	13307	{2,2,25,1,1}		天鹅座四星武器	10			ordinary	{5,29,13,1,150}	5	1											
133	13308	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,13,1,16}	5	10											
133	13309	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,13,1,30}	5	5											
133	13310	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,13,1,8}	5	10											
133	13311	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,13,1,16}	5	10											
133	13312	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,13,1,16}	5	10											
133	13313	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,13,1,100}	5	5											
133	13314	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,13,1,16}	5	30											
133	13315	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,13,1,30}	5	15											
133	13316	{5,6,1,2,1}		重修申请	9			ordinary	{5,29,13,1,75}	5	10											
133	13317	{4,3,1,1,15000}		通用银	21			ordinary	{5,29,13,1,20}	5	35											
133	13318	{4,3,1,1,15000}		通用银	22			ordinary	{5,29,13,2,10}	5	10											
133	13319	{8,99,27,3,1}		法槌纪念品	2			ordinary	{5,29,13,2,100}	5	1											
133	13320	{4,1,6,5,100}		奥普奖券	5			ordinary	{5,29,13,2,25}	5	6											
																						
134	13401	{3,1,49,1,1}		星夜-南希	1			ordinary	{5,29,13,1,50}									1			1	
134	13402	{3,2,49,1,1}		星夜-梅尔塞蒂	2			ordinary	{5,29,13,1,50}									1			1	
134	13403	{3,3,49,1,1}		星夜-彗音	3			ordinary	{5,29,13,1,50}									1			1	
134	13404	{3,1,44,1,1}		新桃-温然	4			ordinary	{5,29,13,1,50}							[202506191000]		1			1	
134	13405	{3,2,44,1,1}		新桃-铃焰	5			ordinary	{5,29,13,1,50}							[202506191000]		1			1	
134	13406	{3,3,44,1,1}		新桃-玉茗	6			ordinary	{5,29,13,1,50}							[202506191000]		1			1	
134	13407	{3,1,45,1,1}		闻风-乌贝尔	7			ordinary	{5,29,13,1,50}							[202506191000]		1			1	
134	13408	{3,2,45,1,1}		闻风-伊瑟瑞斯	8			ordinary	{5,29,13,1,50}							[202506191000]		1			1	
134	13409	{3,3,45,1,1}		闻风-谢菲尔	9			ordinary	{5,29,13,1,50}							[202506191000]		1			1	
134	13410	{2,2,25,1,1}		天鹅座四星武器	10			ordinary	{5,29,13,1,300}									1				
134	13411	{2,8,2,1,1}		暗巷英雄	11			ordinary	{5,29,13,1,300}							[202506191000]		1				
134	13412	{2,1,28,1,1}		正法	12			ordinary	{5,29,13,1,300}							[202506191000]		1				
134	13413	{4,3,1,1,200}		通用银	13			ordinary	{5,29,13,1,1}													
																						
135	13501	{5,21,1,5,1}		天启者共鸣誓约	1			ordinary	{5,29,14,2,50}	5	5											
135	13502	{5,1,1,3,8}		优秀战斗记录	20			ordinary	{5,29,14,1,16}	5	15											
135	13503	{5,1,1,4,5}		精英战斗记录	13			ordinary	{5,29,14,1,30}	5	8											
135	13504	{5,9,1,2,10}		光纤轴突	17			ordinary	{5,29,14,1,16}	5	30											
135	13505	{5,9,1,3,1}		量子胞体	8			ordinary	{5,29,14,1,75}	5	10											
135	13506	{6,4,182,1,1}		凯茜娅橙色配件	3			ordinary	{5,29,14,2,100}	5	1											
135	13507	{6,2,181,1,1}		苔丝橙色配件	4			ordinary	{5,29,14,2,100}	5	1					[202507241000]						
135	13508	{2,9,2,1,1}		凯茜娅四星武器	10			ordinary	{5,29,14,1,150}	5	1											
135	13509	{2,5,29,1,1}		苔丝四星武器	11			ordinary	{5,29,14,1,150}	5	1					[202507241000]						
135	13510	{5,2,1,3,8}		精致强化套件	16			ordinary	{5,29,14,1,16}	5	10											
135	13511	{5,2,1,4,5}		珍稀强化套件	15			ordinary	{5,29,14,1,30}	5	5											
135	13512	{5,5,1,1,10}		合成颗粒	23			ordinary	{5,29,14,1,8}	5	10											
135	13513	{5,5,1,2,10}		芳烃塑料	19			ordinary	{5,29,14,1,16}	5	10											
135	13514	{5,5,1,3,4}		单极纤维	12			ordinary	{5,29,14,1,16}	5	10											
135	13515	{5,5,1,4,1}		碳原子板	7			ordinary	{5,29,14,1,100}	5	5											
135	13516	{5,3,1,3,8}		高级职级认证	18			ordinary	{5,29,14,1,16}	5	30											
135	13517	{5,3,1,4,5}		特级职级认证	14			ordinary	{5,29,14,1,30}	5	15											
