商店栏目类	商品ID	GDPLN	额外赠送	备注	固定位置	权重	后置商品ID（需要按ID顺序解锁时配）	解锁条件	购买逻辑	计算方式（1:售价1或售价2 2:售价1和售价2）	售价1{代币,价格}	售价2{代币,价格}	限购类型(1刷新 2每日 3每周 4每月 5活动期间)	限购数量	背包拥有超过上限显示已售罄	拥有数量限制（超过则不可购买）	超过限购提示（1或不配显示售罄标签，2显示下次刷新倒计时）	折扣类型（1按比例，2超值）	折扣{{概率,比例或超值}...}	上线时间	下线时间	是否隐藏限时标签	是否提示防沉迷	是否显示后勤专属角色角标（1=显示，0或不配=不显示）	扩展参数
19	1941	{5,4,14,3,1}		辰星-琼弦碎片	28	10			ordinary		{5,19,1,2,30}														
19	1942	{5,4,10,3,1}		肴-夜天光碎片	29	10			ordinary		{5,19,1,2,30}														
19	1943	{5,4,11,3,1}		恩雅-澜风碎片	30	10			ordinary		{5,19,1,2,30}														
19	1944	{5,4,21,1,1}		奈莉德-冥河代理人碎片	31	10			ordinary		{5,19,1,2,30}														
19	1945	{5,4,18,2,1}		薇蒂雅-天鹅座碎片	32	10			ordinary		{5,19,1,2,30}														
19	1946	{5,4,15,3,1}		凯茜娅-狂诗碎片	33	10			ordinary		{5,19,1,2,30}														
19	1947	{5,4,17,2,1}		苔丝-绮幻碎片	34	10			ordinary		{5,19,1,2,30}														
19	1948	{5,4,22,1,1}		克罗瑞娜-绯月碎片	35	10			ordinary		{5,19,1,2,30}														
19	1949	{5,4,8,4,1}		芬妮-澄意碎片	36	10			ordinary		{5,19,1,2,30}														
19	1950	{5,4,13,3,1}		瑟瑞斯-悠游碎片	37	10			ordinary		{5,19,1,2,30}														
19	1951	{5,4,23,1,1}		米娅-星彩碎片	38	10			ordinary		{5,19,1,2,30}														
19	1952	{5,4,20,2,1}		卜卜-灵鉴碎片	39	10			ordinary		{5,19,1,2,30}														
19	1953	{5,4,1,3,1}		安卡希雅-时之重奏碎片	40	10			ordinary		{5,19,1,2,30}														
19	1954	{5,4,5,4,1}		茉莉安-霄鹰碎片	41	10			ordinary		{5,19,1,2,30}														
19	1955	{5,4,24,1,1}		胧嫣-瑞狐碎片	42	10			ordinary		{5,19,1,2,30}														
																									
13	1301	{5,21,1,5,1}		天启者共鸣誓约	1	10			ordinary		{5,13,1,4,16}														
13	1302	{5,21,1,4,1}		天启者共鸣凭证	3	10			ordinary		{5,13,1,4,16}														
13	1303	{2,1,17,1,1}		星尘回忆	5	10			ordinary		{5,13,1,4,480}		4	1											
13	1304	{2,1,18,1,1}		百战老兵	6	10			ordinary		{5,13,1,4,480}		4	1											
13	1305	{2,2,4,1,1}		奥林匹斯	7	10			ordinary		{5,13,1,4,480}		4	1											
13	1306	{2,2,17,1,1}		虎鲸号角	8	10			ordinary		{5,13,1,4,480}		4	1											
13	1307	{2,2,19,1,1}		太空骑手	9	10			ordinary		{5,13,1,4,480}		4	1											
13	1308	{2,3,17,1,1}		太阳酬金	10	10			ordinary		{5,13,1,4,480}		4	1											
13	1309	{2,3,4,1,1}		小粮食	11	10			ordinary		{5,13,1,4,480}		4	1											
13	1310	{2,4,3,1,1}		星辰大海	12	10			ordinary		{5,13,1,4,480}		4	1											
13	1311	{2,5,3,1,1}		审判前夜	13	10			ordinary		{5,13,1,4,480}		4	1											
13	1312	{2,5,19,1,1}		熔岩骨骼	14	10			ordinary		{5,13,1,4,480}		4	1											
13	1313	{5,21,2,5,1}		武器定制合约	2	10			ordinary		{5,13,1,4,16}														
13	1314	{5,21,2,4,1}		武器申请书	4	10			ordinary		{5,13,1,4,16}														
																									
14	1401	{5,21,1,5,1}		天启者共鸣誓约	1				ordinary		{5,13,1,3,100}		4	5											
14	1402	{5,21,1,4,1}		天启者共鸣凭证	3				ordinary		{5,13,1,3,100}		4	5											
14	1403	{4,3,1,1,3000}		通用银x3000	8				ordinary		{5,13,1,3,50}		4	20											
14	1404	{4,3,1,1,3000}		通用银x3000	99				ordinary		{5,13,1,3,100}														
14	1405	{5,5,1,1,1}		合成颗粒	13				ordinary		{5,13,1,3,10}		4	40											
14	1406	{5,5,1,2,1}		芳烃塑料	12				ordinary		{5,13,1,3,20}		4	25											
14	1407	{5,9,1,2,1}		光纤轴突	11				ordinary		{5,13,1,3,20}		4	25											
14	1408	{5,1,1,3,1}		战斗记录3	9				ordinary		{5,13,1,3,25}		4	30											
14	1409	{5,2,1,3,1}		强化套件3	10				ordinary		{5,13,1,3,25}		4	30											
14	1410	{5,9,1,3,1}		量子胞体	6				ordinary		{5,13,1,3,100}		4	1											
14	1411	{5,21,2,5,1}		武器定制合约	2				ordinary		{5,13,1,3,100}		4	5											
14	1412	{5,21,2,4,1}		武器申请书	4				ordinary		{5,13,1,3,100}		4	5											
14	1413	{5,6,1,2,1}		重修申请	5				ordinary		{5,13,1,3,100}		4	2											
																									
20	2001	{2,1,17,1,1}		星尘回忆	1				ordinary		{5,13,2,1,30}														
20	2002	{2,1,18,1,1}		百战老兵	2				ordinary		{5,13,2,1,30}														
20	2003	{2,2,4,1,1}		奥林匹斯	3				ordinary		{5,13,2,1,30}														
20	2004	{2,2,17,1,1}		虎鲸号角	4				ordinary		{5,13,2,1,30}														
20	2005	{2,2,19,1,1}		太空骑手	5				ordinary		{5,13,2,1,30}														
20	2006	{2,3,17,1,1}		太阳酬金	6				ordinary		{5,13,2,1,30}														
20	2007	{2,3,4,1,1}		小粮食	7				ordinary		{5,13,2,1,30}														
20	2008	{2,4,3,1,1}		星辰大海	8				ordinary		{5,13,2,1,30}														
20	2009	{2,5,3,1,1}		审判前夜	9				ordinary		{5,13,2,1,30}														
20	2010	{2,5,19,1,1}		熔岩骨骼	10				ordinary		{5,13,2,1,30}														
20	2011	{2,4,18,1,1}		松林极光	11				ordinary		{5,13,2,1,30}														
20	2012	{2,5,22,1,1}		朱书断邪	12				ordinary		{5,13,2,1,30}														
20	2013	{2,4,20,1,1}		普赛克16	13				ordinary		{5,13,2,1,30}														
20	2014	{2,1,25,1,1}		合金真理	14				ordinary		{5,13,2,1,30}														
20	2015	{2,2,22,1,1}		王牌怪诞	15				ordinary		{5,13,2,1,30}														
20	2016	{2,6,4,1,1}		海王星	16				ordinary		{5,13,2,1,30}														
20	2017	{2,3,24,1,1}		镭射风虎	17				ordinary		{5,13,2,1,30}														
20	2018	{2,1,27,1,1}		白夜别诗	18				ordinary		{5,13,2,1,30}														
20	2019	{2,4,26,1,1}		渊光	19				ordinary		{5,13,2,1,30}														
20	2020	{2,3,26,1,1}		王权连枷	20				ordinary		{5,13,2,1,30}														
20	2021	{2,7,3,1,1}		九夜之冕	21				ordinary		{5,13,2,1,30}														
20	2022	{2,5,24,1,1}		捕心先锋	22				ordinary		{5,13,2,1,30}														
20	2023	{2,4,28,1,1}		抓拍胜机	23				ordinary		{5,13,2,1,30}														
20	2024	{2,5,26,1,1}		晴海星埃	24				ordinary		{5,13,2,1,30}														
20	2025	{2,3,28,1,1}		深渊幽灵	25				ordinary		{5,13,2,1,30}														
20	2026	{2,2,24,1,1}		2.3芙提雅武器	26				ordinary		{5,13,2,1,30}														
20	2027	{2,4,30,1,1}		流焰融金	27				ordinary		{5,13,2,1,30}														
20	2028	{2,8,3,1,1}		茜羽破空	28				ordinary		{5,13,2,1,30}														
20	2029	{2,1,29,1,1}		星熔靛夜	29				ordinary		{5,13,2,1,30}														
20	2030	{2,3,30,1,1}		紫棘	30				ordinary		{5,13,2,1,30}														
20	2031	{2,5,28,1,1}		夕潮	31				ordinary		{5,13,2,1,30}														
20	2032	{2,2,26,1,1}		真实之空	32				ordinary		{5,13,2,1,30}														
20	2033	{2,9,3,1,1}		速旋青雨	33				ordinary		{5,13,2,1,30}														
20	2034	{2,5,30,1,1}		坚者之心	34				ordinary		{5,13,2,1,30}														
20	2035	{2,1,31,1,1}		瑰翼	35				ordinary		{5,13,2,1,30}														
20	2036	{2,1,33,1,1}		冲锋枪SSR临时	36				ordinary		{5,13,2,1,30}														
20	2037	{2,4,32,1,1}		左轮SSR临时	37				ordinary		{5,13,2,1,30}														
20	2038	{2,3,33,1,1}		织心秘语	38				ordinary		{5,13,2,1,30}														
20	2039	{2,7,5,1,1}		薪烛明痕	39				ordinary		{5,13,2,1,30}														
20	2040	{2,10,3,1,1}		星渊月刃	40				ordinary		{5,13,2,1,30}														
20	2041	{2,1,35,1,1}		棱光核心	41				ordinary		{5,13,2,1,30}														
20	2042	{2,7,7,1,1}		朱映金霓	42				ordinary		{5,13,2,1,30}														
																									
22	2201	{2,4,11,1,1}		野蜂尾针	1				ordinary		{5,13,2,2,165}														
22	2202	{2,1,14,1,1}		浮浪s	2				ordinary		{5,13,2,2,165}														
22	2203	{2,2,6,1,1}		黄蜂s	3				ordinary		{5,13,2,2,165}														
22	2204	{2,6,2,1,1}		龙胆	4				ordinary		{5,13,2,2,165}														
22	2205	{2,3,15,1,1}		岩蟒	5				ordinary		{5,13,2,2,165}														
22	2206	{2,1,26,1,1}		洁白之环	6				ordinary		{5,13,2,2,165}														
22	2207	{2,4,25,1,1}		玫瑰之荣	7				ordinary		{5,13,2,2,165}														
22	2208	{2,5,10,1,1}		荒野微笑	8				ordinary		{5,13,2,2,165}														
22	2209	{2,3,25,1,1}		圣甲	9				ordinary		{5,13,2,2,165}														
22	2210	{2,7,2,1,1}		轮转辉光	10				ordinary		{5,13,2,2,165}														
22	2211	{2,5,23,1,1}		像素时代	11				ordinary		{5,13,2,2,165}														
22	2212	{2,4,27,1,1}		澄叶	12				ordinary		{5,13,2,2,165}														
22	2213	{2,5,25,1,1}		龙卷风	13				ordinary		{5,13,2,2,165}														
22	2214	{2,3,27,1,1}		晶棱	14				ordinary		{5,13,2,2,165}														
22	2215	{2,2,23,1,1}		梦幻捷径	15				ordinary		{5,13,2,2,165}														
22	2216	{2,4,29,1,1}		晚梅	16				ordinary		{5,13,2,2,165}														
22	2217	{2,8,2,1,1}		暗巷英雄	17				ordinary		{5,13,2,2,165}														
22	2218	{2,1,28,1,1}		正法	18				ordinary		{5,13,2,2,165}														
22	2219	{2,3,29,1,1}		沼泽之主	19				ordinary		{5,13,2,2,165}														
22	2220	{2,5,27,1,1}		蛛网	20				ordinary		{5,13,2,2,165}														
22	2221	{2,2,25,1,1}		嵌合	21				ordinary		{5,13,2,2,165}														
22	2222	{2,9,2,1,1}		无限之日	22				ordinary		{5,13,2,2,165}														
22	2223	{2,5,29,1,1}		稳固色彩	23				ordinary		{5,13,2,2,165}														
22	2224	{2,1,30,1,1}		枯萎蔓延	24				ordinary		{5,13,2,2,165}														
22	2225	{2,1,32,1,1}		完美结构	25				ordinary		{5,13,2,2,165}														
22	2226	{2,4,31,1,1}		远古螺旋	26				ordinary		{5,13,2,2,165}														
22	2227	{2,3,32,1,1}		爆裂甜蜜	27				ordinary		{5,13,2,2,165}														
22	2228	{2,7,4,1,1}		松纸剪影	28				ordinary		{5,13,2,2,165}														
22	2229	{2,10,2,1,1}		铁戒之刃	29				ordinary		{5,13,2,2,165}														
22	2230	{2,1,34,1,1}		绶礼荣辉	30				ordinary		{5,13,2,2,165}														
																									
26	2601	{6,5,118,1,1}		澄泥砚·辅助模块	1				ordinary		{5,13,2,3,40}		5	1	1										
26	2602	{6,1,121,1,1}		集中点	2				ordinary		{5,13,2,3,40}		5	1	1										
26	2603	{6,2,123,1,1}		本相琥珀	3				ordinary		{5,13,2,3,40}		5	1	1										
26	2604	{6,5,125,1,1}		仙境通行·记录仪	4				ordinary		{5,13,2,3,40}		5	1	1										
26	2605	{6,4,126,1,1}		风琴·箭筒	5				ordinary		{5,13,2,3,40}		5	1	1										
26	2606	{6,2,129,1,1}		恶灵守护·瞄准镜	6				ordinary		{5,13,2,3,40}		5	1	1										
26	2607	{4,3,1,1,3000}		通用银x3000	99				ordinary		{5,13,2,3,1}														
26	2608	{6,2,130,1,1}		善意陷阱·瞄准镜	7				ordinary		{5,13,2,3,40}		5	1	1										
26	2609	{6,1,133,1,1}		黑脉桫椤·消音器	8				ordinary		{5,13,2,3,40}		5	1	1										
26	2610	{6,5,138,1,1}		繁荣几何·制导模块	10				ordinary		{5,13,2,3,40}		5	1	1										
26	2611	{6,4,142,1,1}		憧憬温度·弹匣	11				ordinary		{5,13,2,3,40}		5	1	1										
26	2612	{6,1,146,1,1}		洞悉者·消焰器	12				ordinary		{5,13,2,3,40}		5	1	1										
26	2613	{6,5,149,1,1}		顶尖补光·电筒	13				ordinary		{5,13,2,3,40}		5	1	1										
26	2614	{6,2,150,1,1}		亚特兰蒂斯·瞄准镜	14				ordinary		{5,13,2,3,40}		5	1	1										
26	2615	{6,2,151,1,1}		冷锋·瞄准镜	15				ordinary		{5,13,2,3,40}		5	1	1										
26	2616	{6,2,156,1,1}		折叠末日·瞄准镜	16				ordinary		{5,13,2,3,40}		5	1	1										
26	2617	{6,2,159,1,1}		火鳞·瞄准镜	17				ordinary		{5,13,2,3,40}		5	1	1										
26	2618	{6,9,162,1,1}		金喙·稳定器	18				ordinary		{5,13,2,3,40}		5	1	1										
26	2619	{6,4,163,1,1}		虹廊·弹匣	19				ordinary		{5,13,2,3,40}		5	1	1										
26	2620	{6,2,170,1,1}		菱能视角·瞄准镜	20				ordinary		{5,13,2,3,40}		5	1	1										
26	2621	{6,2,174,1,1}		暗流·瞄准镜	21				ordinary		{5,13,2,3,40}		5	1	1										
26	2622	{6,5,173,1,1}		律息·记录仪	22				ordinary		{5,13,2,3,40}		5	1	1										
26	2623	{6,1,178,1,1}		定音·消音器	23				ordinary		{5,13,2,3,40}		5	1	1										
26	2624	{6,2,181,1,1}		纺织机·瞄准镜	24				ordinary		{5,13,2,3,40}		5	1	1										
26	2625	{6,4,182,1,1}		双钥·弹鼓	25				ordinary		{5,13,2,3,40}		5	1	1										
26	2626	{6,1,187,1,1}		心冕·消焰器	26				ordinary		{5,13,2,3,40}		5	1	1										
26	2627	{6,2,194,1,1}		困境切割·瞄准镜	27				ordinary		{5,13,2,3,40}		5	1	1										
26	2628	{6,5,193,1,1}		游脊·辅助模块	28				ordinary		{5,13,2,3,40}		5	1	1										
26	2629	{6,2,196,1,1}		传导之系·瞄准镜	29				ordinary		{5,13,2,3,40}		5	1	1										
26	2630	{6,5,197,1,1}		粉樱铭印·辅助模块	30				ordinary		{5,13,2,3,40}		5	1	1										
																									
23	2301	{5,6,1,2,1}		重修申请	1				ordinary		{5,14,1,1,300}														
23	2302	{5,5,1,4,1}		碳原子板	2				ordinary		{5,14,1,1,150}		5	2											
23	2303	{3,1,23,1,1}		领航者-季特	3				ordinary		{5,14,1,1,100}														
23	2305	{3,2,23,1,1}		领航者-雅里洛	4				ordinary		{5,14,1,1,100}														
23	2307	{3,3,23,1,1}		领航者-玛拉	5				ordinary		{5,14,1,1,100}														
23	2309	{3,1,26,1,1}		水穗-武满	6				ordinary		{5,14,1,1,100}														
23	2310	{3,2,26,1,1}		水穗-耳长	7				ordinary		{5,14,1,1,100}														
23	2311	{3,3,26,1,1}		水穗-布都	8				ordinary		{5,14,1,1,100}														
23	2312	{3,1,17,1,1}		瓦卡斯帕	9				ordinary		{5,14,1,1,100}														
23	2313	{3,2,17,1,1}		苏卡拉	10				ordinary		{5,14,1,1,100}														
23	2314	{3,3,17,1,1}		摩萨	11				ordinary		{5,14,1,1,100}														
23	2315	{5,1,1,4,1}		战斗套件4	12				ordinary		{5,14,1,1,90}														
23	2316	{5,3,1,4,1}		职级认证4	13				ordinary		{5,14,1,1,90}														
																									
																									
24	2401	{5,9,1,3,1}		量子胞体	3				ordinary		{5,15,1,1,50}		3	1											
24	2402	{5,9,1,2,1}		光纤轴突	9				ordinary		{5,15,1,1,5}														
24	2403	{5,1,1,4,1}		战斗记录4	4				ordinary		{5,15,1,1,20}														
24	2405	{5,4,5,2,1}		雨燕碎片	1	10			ordinary		{5,15,1,1,50}		3	1											
24	2406	{5,4,2,2,1}		狂猎碎片	2	10			ordinary		{5,15,1,1,50}		3	1											
24	2407	{5,4,4,2,1}		芙提雅-缄默形态	1	10			ordinary		{5,15,1,1,50}		3	1											
24	2408	{5,4,10,2,1}		肴冬至碎片	2	10			ordinary		{5,15,1,1,50}		3	1											
																									
24	2410	{5,4,8,2,1}		咎冠碎片	1	10			ordinary		{5,15,1,1,50}		3	1											
																									
24	2412	{5,4,1,1,1}		安卡希雅碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2413	{5,4,2,1,1}		里芙碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2414	{5,4,3,1,1}		妮塔碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2415	{5,4,4,1,1}		芙提雅碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2416	{5,4,5,1,1}		茉莉安碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2417	{5,4,6,1,1}		晴碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2418	{5,4,7,1,1}		琴诺碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2419	{5,4,8,1,1}		芬妮碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2420	{5,4,10,1,1}		肴碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2421	{5,4,11,1,1}		恩雅碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2422	{5,4,12,1,1}		猫汐尔碎片		10			ordinary		{5,15,1,1,15}		3	10											
24	2423	{5,4,14,1,1}		辰星碎片		10			ordinary		{5,15,1,1,15}		3	10											
																									
																									
25	2501	{5,21,1,4,1}		天启者共鸣凭证	3				ordinary		{2,160}														
25	2502	{5,21,2,4,1}		武器申请书	4				ordinary		{2,160}														
25	2503	{5,21,1,5,1}		天启者共鸣誓约	1				ordinary		{2,160}														
25	2504	{5,21,2,5,1}		武器定制合约	2				ordinary		{2,160}														
																									
31	3101	{14,1,16,1}		超元链接表情包1	1				ordinary		{67,500}		5	1	1										
31	3102	{14,1,17,1}		超元链接表情包2	2				ordinary		{67,500}		5	1	1										
31	3103	{14,1,18,1}		超元链接表情包3	3				ordinary		{67,500}		5	1	1										
31	3104	{5,5,1,4,1}		碳原子板	4				ordinary		{67,100}		4	3											
31	3105	{5,6,2,1,1}		重修额度	5				ordinary		{67,100}		4	3											
31	3106	{5,9,1,3,1}		量子胞体	6				ordinary		{67,100}		4	3											
31	3107	{4,3,1,1,10000}		1W通用银	7				ordinary		{67,50}		4	10											
																									
50	5001	{7,10,1,3,1}		肴-战损(皮肤)	1	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5003	{7,8,1,3,1}		芬妮-不灭傲姿(皮肤)	2	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5005	{17,2,1,1,1}		拒绝加班	20	10			ordinary		{5,28,1,1,18}		5	1	1										
50	5008	{7,4,1,4,1}		芙提雅-战损皮	3	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5010	{5,13,2,3,1}		通用武器复合材料	99	10			ordinary		{5,28,1,1,1}														
50	5011	{7,1,1,3,1}		安卡希雅-不灭榜首(皮肤)	4	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5012	{7,14,1,2,1}		辰星-不灭守望(皮肤)	5	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5014	{7,2,1,4,1}		里芙-不灭银星(皮肤)	6	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5015	{7,13,1,3,1}		瑟瑞斯-不灭恒忆	7	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5018	{7,12,1,3,1}		猫汐尔-不灭灵影	8	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5026	{7,6,1,2,1}		晴-不灭锋铭	9	10			ordinary		{5,28,1,1,45}		5	1	1										
50	5027	{7,14,2,2,1}		辰星-云篆-丹翎野鹤	10	10			ordinary		{5,28,1,1,60}		5	1	1										
50	5028	{7,11,1,3,1}		恩雅-不灭柔情	11	10			ordinary		{5,28,1,1,45}		5	1	1										
																									
51	5022	{22,1,99,24,1}		分析员拍立得动作1	71	10			ordinary		{5,28,1,1,5}		5	1	1										
51	5023	{22,1,99,25,1}		分析员拍立得动作2	72	10			ordinary		{5,28,1,1,5}		5	1	1										
51	5101	{22,1,99,26,1}		分析员拍立得动作3	101	10			ordinary		{5,28,1,1,5}		5	1	1										
51	5102	{22,1,99,27,1}		分析员拍立得动作4	102	10			ordinary		{5,28,1,1,5}		5	1	1										
																									
52	5004	{16,1,1,1,1}		墨镜分析员	70	10			ordinary		{5,28,1,1,30}		5	1	1										
52	5013	{16,3,1,1,1}		分析员·正装	69	10			ordinary		{5,28,1,1,30}		5	1	1										
52	5017	{16,4,1,1,1}		分析员·白色正装	68	10			ordinary		{5,28,1,1,30}		5	1	1										
52	5020	{16,5,1,1,1}		分析员·花衬衫	67	10			ordinary		{5,28,1,1,30}		5	1	1										
																									
53	5002	{4,7,1,1,1}		芙提雅表情合集	40	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5006	{4,7,3,1,1}		芙提雅表情合集	41	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5007	{4,7,4,1,1}		苔丝表情包	42	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5009	{4,7,5,1,1}		里芙表情包	43	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5016	{4,7,6,1,1}		伊切尔表情包	44	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5019	{4,7,7,1,1}		猫汐儿表情包	45	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5021	{4,7,8,1,1}		龙舌兰表情包	46	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5024	{4,7,9,1,1}		辰星表情包	47	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5025	{4,7,10,1,1}		恩雅表情包	48	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5301	{4,7,11,1,1}		安卡表情包	101	10			ordinary		{5,28,1,1,20}		5	1	1										
53	5302	{4,7,12,1,1}		凯茜娅表情包	102	10			ordinary		{5,28,1,1,20}		5	1	1										
