ID（1R 2SR 3SSR+XXXX：编号+1立绘1 2卡牌1  3头像1  4裁剪卡牌1 5立绘2 6卡牌2 7头像2 8裁剪卡牌2）	备注	资源ID	SpineID	偏移{x,y}	缩放
1402008	wp02a_003c	1402008			
1402006	朗姆风暴	1402006			
1402007		1402007			
1402008	太空骑手	1402008			
1402009		1402009			
1402010	钢之白桦林	1402010			
1402011		1402011			
1402012	炙热年代	1402012			
1402013		1402013			
1402014	迷乱迪斯科	1402014			
1402015		1402015			
					
					
1403016	有人在吗	1403016			
1403017		1403017			
1403024	无礼之辈	1403024			
1403025		1403025			
1403026	瓦尔基里2056	1403026			
1403027		1403027			
1403030	小粮食	1403030			
1403031		1403031			
1403000	群鸟仇人	1403000			
1403001		1403001			
1403002	机械警官	1403002			
1403003		1403003			
1403004	霓虹灯管	1403004			
1403005		1403005			
1403006	红夜行	1403006			
1403007		1403007			
1403008	沉默的真相	1403008			
1403009		1403009			
1403010	斯达克	1403010			
1403011		1403011			
1403012	大宝贝儿	1403012			
1403013		1403013			
1403014	送葬者	1403014			
1403015		1403015			
1403028	龙涎香	1403028			
1403029		1403029			
1403028	wp03a_001a	1403028			
1403029	wp03a_001a	1403029			
1403018	青金石	1403018			
1403019		1403019			
1403020	绿色卫士	1403020			
1403021		1403021			
1403022	太阳酬金	1403022			
1403023		1403023			
1403022	wp03a_002a	1403022			
1403023	wp03a_002a	1403023			
1403022	wp03a_002b	1403022			
1403023	wp03a_002b	1403023			
1403022	wp03a_002b2	1403022			
1403023	wp03a_002b2	1403023			
1403022	wp03a_002c	1403022			
1403023	wp03a_002c	1403023			
					
					
1404004	提尔锋	1404004			
1404005		1404005			
1404000	烂橘子	1404000			
1404001		1404001			
1404002	星辰大海	1404002			
1404003		1404003			
1404010	wp04a_c001c	1404010			
1404011		1404011			
1404010		1404010			
1404011		1404011			
1404010	剧毒尾针	1404010			
1404011		1404011			
1404012	幸运时刻	1404012			
1404013		1404013			
1404014	玛萨拉酒	1404014			
1404015		1404015			
1404006	小小工具	1404006			
1404007		1404007			
1404008	皮斯科	1404008			
1404009		1404009			
1404008	wp04b_002b	1404008			
1404009	wp04b_002b	1404009			
1404008	wp04b_002b2	1404008			
1404009	wp04b_002b2	1404009			
1404008	wp04b_002c	1404008			
1404009	wp04b_002c	1404009			
					
					
					
					
					
					
					
					
					
					
1405004	教训	1405004			
1405005		1405005			
1405006	怒不可遏	1405006			
1405007		1405007			
1405010	审判前夜	1405010			
1405011		1405011			
1405020	灰狗	1405020			
1405021		1405021			
1405012	冰冷沙丘	1405012			
1405013		1405013			
1405014	草莓蛋糕	1405014			
1405015		1405015			
1405016	楼道怪猫	1405016			
1405017		1405017			
1405018	动脉音律	1405018			
1405019		1405019			
1405008	wp05a_001a	1405008			
1405009	wp05a_001a	1405009			
1405008	wp05a_001b	1405008			
1405009	wp05a_001b	1405009			
1405008	欢喜	1405008			
1405009		1405009			
1405022	wp05a_001c	1405022			
1405023	wp05a_001c	1405023			
1405022	wp05a_004a	1405022			
1405023	wp05a_004a	1405023			
1405022	wp05a_004b	1405022			
1405023	wp05a_004b	1405023			
1405022	wp05a_004b2	1405022			
1405023	wp05a_004b2	1405023			
1405022	wp05a_004c	1405022			
1405023	wp05a_004c	1405023			
1405022	wp05b_001a	1405022			
1405023	wp05b_001a	1405023			
1405022	热带洋流	1405022			
1405023		1405023			
1405000	9700	1405000			
1405001		1405001			
1405002	熔岩骨骼	1405002			
1405003		1405003			
