所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
	164	int13_302_1	{21377.0,32930.13,695.06}	{0.0,0.0,60.0}	1	302		13
	165	int13_302_2	{22816.24,36119.11,1237.23}	{0.0,0.0,60.0}	1	302		13
	167	int13_302_3	{14280.55,35487.47,1785.02}	{0.0,0.0,60.0}	1	302		13
	166	int13_302_4	{9843.41,25199.39,4111.1}	{0.0,0.0,60.0}	1	302		13
	168	int13_302_5	{4939.04,21260.05,3635.84}	{0.0,0.0,60.0}	1	302		13
	169	int13_302_6	{8021.28,14317.3,2644.29}	{22.76,-33.82,52.99}	1	302		13
	173	int13_306_1	{15676.78,22603.44,3319.37}	{0.0,0.0,94.99}	1	306		13
	128	int13_308_1	{11157.51,18576.67,2652.91}	{0.0,0.0,-10.0}	1	308		13
	179	int13_309_1	{16014.78,24200.44,3518.5}	{0.0,10.0,0.0}	1	309		13
	212	int13_310_1	{12942.93,35271.89,119.21}	{-36.55,-31.37,87.29}	1	310		13
	207	int13_311_2	{23308.55,26839.42,206.61}	{0.0,0.0,60.0}	1	311		13
	208	int13_311_3	{20011.47,29225.21,1520.69}	{0.0,0.0,150.0}	1	311		13
	206	int13_312_1	{16737.24,35245.47,2332.18}	{0.0,0.0,155.0}	1	312		13
	209	int13_312_2	{4739.16,28784.9,3050.94}	{0.0,0.0,-159.99}	1	312		13
	340	int13_316_17	{2883.01,14814.29,3350.14}	{0.0,0.0,-110.0}	1	316		13
	345	int13_316_21	{9977.62,18811.74,3243.44}	{0.0,0.0,-110.0}	1	316		13
	348	int13_316_24	{8458.81,23445.5,4823.28}	{0.0,0.0,-110.0}	1	316		13
	404	int13_316_33	{8305.55,33740.99,1261.08}	{0.0,0.0,-110.0}	1	316		13
	405	int13_316_34	{7160.14,33042.11,1756.13}	{0.0,0.0,-110.0}	1	316		13
	406	int13_316_35	{5747.89,33991.81,1518.41}	{0.0,0.0,-110.0}	1	316		13
	353	int13_316_5	{15983.1,29322.3,3332.27}	{0.0,0.0,-110.0}	1	316		13
	357	int13_316_9	{18832.21,30440.41,2520.76}	{0.0,0.0,-110.0}	1	316		13
	200	int13_320_1	{14469.94,17050.84,3305.04}	{0.0,0.0,-169.99}	1	320	{131}	13
	185	int13_320_2	{13665.32,27116.17,2209.26}	{0.0,0.0,10.0}	1	320	{132}	13



int14	186	int14_301_1	{4572.39,41457.02,436.21}	{0.0,0.0,0.0}	1	301		14
	187	int14_301_2	{1632.7,45658.45,200.75}	{0.0,0.0,0.0}	1	301		14
	188	int14_301_3	{-5117.59,43325.23,-40.39}	{0.0,0.0,-160.0}	1	301		14
	189	int14_302_1	{-4362.72,50677.73,965.75}	{0.0,0.0,0.0}	1	302		14
	190	int14_302_2	{-10188.32,44066.12,73.55}	{0.0,0.0,0.0}	1	302		14
	191	int14_302_3	{-2677.42,42864.48,1683.23}	{-20.0,10.0,0.0}	1	302		14
	192	int14_302_4	{1527.59,43522.08,2250.1}	{0.0,0.0,0.0}	1	302		14
	193	int14_302_5	{1257.35,41388.3,-35.88}	{0.0,0.0,0.0}	1	302		14
	401	int14_308_1	{680.38,45198.52,50.39}	{0.0,0.0,60.0}	1	308		14
	180	int14_310_1	{-1885.07,47249.27,-30.54}	{-45.73,9.05,-64.66}	1	310		14
	324	int14_316_1	{-2769.32,51720.74,529.57}	{0.0,0.0,-110.0}	1	316		14
	325	int14_316_2	{3480.74,45682.15,529.57}	{0.0,0.0,-110.0}	1	316		14
	328	int14_316_5	{-1918.63,43068.43,2678.49}	{0.0,0.0,-110.0}	1	316		14
	329	int14_316_6	{-526.69,43730.15,429.46}	{0.0,0.0,-110.0}	1	316		14
	331	int14_316_8	{-6771.36,45822.62,265.91}	{0.0,0.0,-110.0}	1	316		14



Logic	126	mapdefinea	{-48570.0,-58000.0,0.0}	{0.0,0.0,90.0}	2	0		0
	127	mapdefineb	{67430.0,58000.0,0.0}	{0.0,0.0,90.0}	3	0		0



