关卡唯一Id	难度	地图ID，对应Map.txt中的关卡ID	关卡目标{1,2}(level_target.txt)	星级条件 {{1,300},{1,180},{2,2}}	怪物信息{{id,等级},{id,等级}...}	任务资源	关卡概念图	难度图标	关卡场景图	推荐等级	关卡名	关联growintensity怪物强度模板	描述	预览奖励
7221	1	722	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001001,50},{5001009,50},{4003004,50},{5001019,50},{5001010,50},{500110901,50},{4001017,50},{5001111,50},{500110902,50},{5001101,50},{5001118,50},{4003106,50}}	DefenseLevel/Task_Defense_Level_Dlc9_02.Task_Defense_Level_Dlc9_02			1803062	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7222	2	722	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001001,50},{5001009,50},{4003004,50},{5001019,50},{5001010,50},{500110901,50},{4001017,50},{5001111,50},{500110902,50},{5001101,50},{5001118,50},{4003106,50}}	DefenseLevel/Task_Defense_Level_Dlc9_02.Task_Defense_Level_Dlc9_02			1803062	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7223	3	722	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001001,50},{5001009,50},{4003004,50},{5001019,50},{5001010,50},{500110901,50},{4001017,50},{5001111,50},{500110902,50},{5001101,50},{5001118,50},{4003106,50}}	DefenseLevel/Task_Defense_Level_Dlc9_02.Task_Defense_Level_Dlc9_02			1803062	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7224	4	722	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001001,50},{5001009,50},{4003004,50},{5001019,50},{5001010,50},{500110901,50},{4001017,50},{5001111,50},{500110902,50},{5001101,50},{5001118,50},{4003106,50}}	DefenseLevel/Task_Defense_Level_Dlc9_02.Task_Defense_Level_Dlc9_02			1803062	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7311	1	731	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_01.Task_Defense_Level_Dlc10_01			1803082	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7312	2	731	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_01.Task_Defense_Level_Dlc10_01			1803082	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7313	3	731	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_01.Task_Defense_Level_Dlc10_01			1803082	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7314	4	731	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_01.Task_Defense_Level_Dlc10_01			1803082	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7321	1	732	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_02.Task_Defense_Level_Dlc10_02			1803082	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7322	2	732	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_02.Task_Defense_Level_Dlc10_02			1803082	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7323	3	732	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_02.Task_Defense_Level_Dlc10_02			1803082	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7324	4	732	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc10_02.Task_Defense_Level_Dlc10_02			1803082	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7411	1	741	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_01.Task_Defense_Level_Dlc11_01			1803086	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7412	2	741	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_01.Task_Defense_Level_Dlc11_01			1803086	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7413	3	741	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_01.Task_Defense_Level_Dlc11_01			1803086	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7414	4	741	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001404,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_01.Task_Defense_Level_Dlc11_01			1803086	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7421	1	742	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_02.Task_Defense_Level_Dlc11_02			1803086	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7422	2	742	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_02.Task_Defense_Level_Dlc11_02			1803086	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7423	3	742	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_02.Task_Defense_Level_Dlc11_02			1803086	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7424	4	742	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc11_02.Task_Defense_Level_Dlc11_02			1803086	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7511	1	751	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{400130402,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_01.Task_Defense_Level_Dlc23_01			1803089	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7512	2	751	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{400130402,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_01.Task_Defense_Level_Dlc23_01			1803089	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7513	3	751	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{400130402,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_01.Task_Defense_Level_Dlc23_01			1803089	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7514	4	751	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5002010,50},{400350601,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{400130402,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_01.Task_Defense_Level_Dlc23_01			1803089	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7521	1	752	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5001010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_02.Task_Defense_Level_Dlc23_02			1803089	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7522	2	752	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5001010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_02.Task_Defense_Level_Dlc23_02			1803089	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7523	3	752	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5001010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_02.Task_Defense_Level_Dlc23_02			1803089	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7524	4	752	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5003110,50},{5001111,50},{4001017,50},{5001010,50},{4001303,50},{4001008,50},{4003007,50},{4003004,50},{4001211,50},{4001112,50},{4001301,50},{4003006,50}}	DefenseLevel/Task_Defense_Level_Dlc23_02.Task_Defense_Level_Dlc23_02			1803089	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7611	1	761	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001403,50},{500110901,50},{5002010,50},{5003110,50},{5001018,50},{4001603,50},{4001602,50},{4001211,50},{4001301,50},{4001116,50},{400100801,50}}	DefenseLevel/Task_Defense_Level_Dlc24_01.Task_Defense_Level_Dlc24_01			1803095	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7612	2	761	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001403,50},{500110901,50},{5002010,50},{5003110,50},{5001018,50},{4001603,50},{4001602,50},{4001211,50},{4001301,50},{4001116,50},{400100801,50}}	DefenseLevel/Task_Defense_Level_Dlc24_01.Task_Defense_Level_Dlc24_01			1803095	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7613	3	761	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001403,50},{500110901,50},{5002010,50},{5003110,50},{5001018,50},{4001603,50},{4001602,50},{4001211,50},{4001301,50},{4001116,50},{400100801,50}}	DefenseLevel/Task_Defense_Level_Dlc24_01.Task_Defense_Level_Dlc24_01			1803095	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7614	4	761	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5002010,50},{5001403,50},{500110901,50},{5002010,50},{5003110,50},{5001018,50},{4001603,50},{4001602,50},{4001211,50},{4001301,50},{4001116,50},{400100801,50}}	DefenseLevel/Task_Defense_Level_Dlc24_01.Task_Defense_Level_Dlc24_01			1803095	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7621	1	762	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{500110901,50},{5001009,50},{5001111,50},{5001110,50},{5003110,50},{5002010,50},{4001108,50},{4003004,50},{4001306,50},{4001005,50},{4001116,50},{400901302,50}}	DefenseLevel/Task_Defense_Level_Dlc24_02.Task_Defense_Level_Dlc24_02			1803095	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7622	2	762	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{500110901,50},{5001009,50},{5001111,50},{5001110,50},{5003110,50},{5002010,50},{4001108,50},{4003004,50},{4001306,50},{4001005,50},{4001116,50},{400901302,50}}	DefenseLevel/Task_Defense_Level_Dlc24_02.Task_Defense_Level_Dlc24_02			1803095	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7623	3	762	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{500110901,50},{5001009,50},{5001111,50},{5001110,50},{5003110,50},{5002010,50},{4001108,50},{4003004,50},{4001306,50},{4001005,50},{4001116,50},{400901302,50}}	DefenseLevel/Task_Defense_Level_Dlc24_02.Task_Defense_Level_Dlc24_02			1803095	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7624	4	762	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{500110901,50},{5001009,50},{5001111,50},{5001110,50},{5003110,50},{5002010,50},{4001108,50},{4003004,50},{4001306,50},{4001005,50},{4001116,50},{400901302,50}}	DefenseLevel/Task_Defense_Level_Dlc24_02.Task_Defense_Level_Dlc24_02			1803095	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7711	1	771	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_01.Task_Defense_Level_Dlc25_01			1803099	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7712	2	771	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_01.Task_Defense_Level_Dlc25_01			1803099	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7713	3	771	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_01.Task_Defense_Level_Dlc25_01			1803099	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7714	4	771	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_01.Task_Defense_Level_Dlc25_01			1803099	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7721	1	772	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_02.Task_Defense_Level_Dlc25_02			1803099	30		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7722	2	772	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_02.Task_Defense_Level_Dlc25_02			1803099	50		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7723	3	772	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_02.Task_Defense_Level_Dlc25_02			1803099	70		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7724	4	772	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{5001509,50},{5001001,50},{4001211,50},{5001312,50},{400300201,50},{4001103,50},{5001111,50},{5003110,50},{5002110,50},{4001108,50},{4002603,50},{4001005,50}}	DefenseLevel/Task_Defense_Level_Dlc25_02.Task_Defense_Level_Dlc25_02			1803099	80		4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7811	1	781	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4003004,50},{4003003,50},{4001215,50},{4003007,50},{5001010,50},{5002010,50},{4003013,50},{400901303,50},{4001108,50},{4001112,50},{5001111,50},{4001114,50},{5001110,50},{4003106,50},{4001216,50},{5001214,50},{4003006,50},{4002002,50},{4001017,50},{4003103,50},{500110901,50},{500110902,50},{5001113,50},{5001101,50},{4003102,50},{5001118,50}}	DefenseLevel/Task_Defense_Level_Dlc26_01.Task_Defense_Level_Dlc26_01			1803056	30	defenselevel.Def_Level81	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7812	2	781	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4003004,50},{4003003,50},{4001215,50},{4003007,50},{5001010,50},{5002010,50},{4003013,50},{400901303,50},{4001108,50},{4001112,50},{5001111,50},{4001114,50},{5001110,50},{4003106,50},{4001216,50},{5001214,50},{4003006,50},{4002002,50},{4001017,50},{4003103,50},{500110901,50},{500110902,50},{5001113,50},{5001101,50},{4003102,50},{5001118,50}}	DefenseLevel/Task_Defense_Level_Dlc26_01.Task_Defense_Level_Dlc26_01			1803056	50	defenselevel.Def_Level82	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7813	3	781	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4003004,50},{4003003,50},{4001215,50},{4003007,50},{5001010,50},{5002010,50},{4003013,50},{400901303,50},{4001108,50},{4001112,50},{5001111,50},{4001114,50},{5001110,50},{4003106,50},{4001216,50},{5001214,50},{4003006,50},{4002002,50},{4001017,50},{4003103,50},{500110901,50},{500110902,50},{5001113,50},{5001101,50},{4003102,50},{5001118,50}}	DefenseLevel/Task_Defense_Level_Dlc26_01.Task_Defense_Level_Dlc26_01			1803056	70	defenselevel.Def_Level83	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7814	4	781	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4003004,50},{4003003,50},{4001215,50},{4003007,50},{5001010,50},{5002010,50},{4003013,50},{400901303,50},{4001108,50},{4001112,50},{5001111,50},{4001114,50},{5001110,50},{4003106,50},{4001216,50},{5001214,50},{4003006,50},{4002002,50},{4001017,50},{4003103,50},{500110901,50},{500110902,50},{5001113,50},{5001101,50},{4003102,50},{5001118,50}}	DefenseLevel/Task_Defense_Level_Dlc26_01.Task_Defense_Level_Dlc26_01			1803056	80	defenselevel.Def_Level84	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7821	1	782	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4003004,50},{4002003,50},{4003103,50},{4001112,50},{4001114,50},{4001108,50},{4003102,50},{4003106,50},{4001301,50},{4001304,50},{5001111,50},{4001104,50},{5001009,50},{4001007,50},{5002010,50},{4001016,50},{4001004,50},{4001015,50},{400160202,50},{4001017,50},{4003006,50},{4003003,50},{4001002,50},{4002006,50},{4001116,50},{4001102,50},{4002104,50},{5001113,50},{5001101,50}}	DefenseLevel/Task_Defense_Level_Dlc26_02.Task_Defense_Level_Dlc26_02			1803056	30	defenselevel.Def_Level81	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7822	2	782	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4003004,50},{4002003,50},{4003103,50},{4001112,50},{4001114,50},{4001108,50},{4003102,50},{4003106,50},{4001301,50},{4001304,50},{5001111,50},{4001104,50},{5001009,50},{4001007,50},{5002010,50},{4001016,50},{4001004,50},{4001015,50},{400160202,50},{4001017,50},{4003006,50},{4003003,50},{4001002,50},{4002006,50},{4001116,50},{4001102,50},{4002104,50},{5001113,50},{5001101,50}}	DefenseLevel/Task_Defense_Level_Dlc26_02.Task_Defense_Level_Dlc26_02			1803056	50	defenselevel.Def_Level82	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7823	3	782	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4003004,50},{4002003,50},{4003103,50},{4001112,50},{4001114,50},{4001108,50},{4003102,50},{4003106,50},{4001301,50},{4001304,50},{5001111,50},{4001104,50},{5001009,50},{4001007,50},{5002010,50},{4001016,50},{4001004,50},{4001015,50},{400160202,50},{4001017,50},{4003006,50},{4003003,50},{4001002,50},{4002006,50},{4001116,50},{4001102,50},{4002104,50},{5001113,50},{5001101,50}}	DefenseLevel/Task_Defense_Level_Dlc26_02.Task_Defense_Level_Dlc26_02			1803056	70	defenselevel.Def_Level83	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
7824	4	782	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001003,50},{4003004,50},{4002003,50},{4003103,50},{4001112,50},{4001114,50},{4001108,50},{4003102,50},{4003106,50},{4001301,50},{4001304,50},{5001111,50},{4001104,50},{5001009,50},{4001007,50},{5002010,50},{4001016,50},{4001004,50},{4001015,50},{400160202,50},{4001017,50},{4003006,50},{4003003,50},{4001002,50},{4002006,50},{4001116,50},{4001102,50},{4002104,50},{5001113,50},{5001101,50}}	DefenseLevel/Task_Defense_Level_Dlc26_02.Task_Defense_Level_Dlc26_02			1803056	80	defenselevel.Def_Level84	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
														
7911	1	791	{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}		{{4001108,50},{4001114,50},{4001112,50},{4001301,50},{4001303,50},{4001304,50},{4001211,50},{4001212,50},{4001213,50},{4001603,50},{4001604,50},{400300201,50},{4002603,50},{5003010,50},{4001103,50},{4001116,50},{4003106,50},{4003006,50},{4003004,50},{5001001,50},{4001005,50},{400100801,50},{4003007,50},{4001508,50},{4001506,50},{5001509,50},{400150601,50},{400250601,50},{400130402,50},{400350601,50},{5001111,50},{4001104,50},{5003110,50},{500110901,50},{4001102,50},{5002110,50}}	DefenseLevel/Task_Defense_Level_Dlc27.Task_Defense_Level_Dlc27			1803062	30	defenselevel.Def_Level81	4	defenselevel.Level4_Des	{{5,29,3,1,120},{4,3,1,1,50500}}
