任务类型	程序内使用类型	注释（程序内不使用 注意使用场景）	检查值含义	参数含义	参数信息备注	追踪规则	弹窗类型(0默认非战斗1只战斗)		作用域（公测+DLC1)		作用域（DLC3新增)	作用域（DLC4新增)
283	1	(纷愿绮梦）在对局中累计提升x次探梦等级	需求次数			需求次数					纷愿绮梦	
284	4	(纷愿绮梦）使用x流派累计获取y能量	需求数量	{流派id}	流派可不配	追踪数量					纷愿绮梦	
285	4	(纷愿绮梦）通关指定类型的任意关卡x次	需求次数	{关卡类型}	1流程关 2挑战 3无尽 可不配	追踪次数					纷愿绮梦	
286	14	(纷愿绮梦）指定类型的任意关卡积分达到x	需求数量	{关卡类型}	1流程关 2挑战 3无尽	追踪数量					纷愿绮梦	
287	2	累计获得X种圣物	需求数量			追踪数量					背包肉鸽	
288	1	累计重铸X次	需求次数			追踪次数					背包肉鸽	
289	1	累计锻造X次	需求次数			追踪次数					背包肉鸽	
290	1	累计X次路线抉择	需求次数			追踪次数					背包肉鸽	
291	2	终局积分达到X	需求数量			追踪数量					背包肉鸽	
292	36	(纷愿绮梦）累计提升x次探梦等级至y级	需求次数	{等级}		追踪次数					纷愿绮梦	
293	1	(纷愿绮梦）在任意1局关卡内累计进行X次【棋子3选1】（必须要选择、跳过不算）	需求数量			追踪数量					纷愿绮梦	
294	4	(纷愿绮梦）在对局中累计进行X次【Y星棋子的3选1】（必须要选择、跳过不算）	需求数量	{星级}	星级可不配	追踪数量					纷愿绮梦	
295	4	(纷愿绮梦）在对局中累计进行X次【Y星礼物的3选1】（必须要选择、跳过不算）	需求数量	{星级}	星级可不配	追踪数量					纷愿绮梦	
296	4	(异星守护）通关指定类型的任意关卡x次	需求次数	{关卡类型}	1流程关 2挑战 3无尽 可不配	追踪次数					异星守护	
297	37	(联机塔防)使用X职业通关Y难度通关Z次联机关卡	需求次数	{难度,职业}	难度要配，职业不限制不配	追踪次数					绝地防线	
298	1	在躲猫猫模式中，累计使用任意技能x次	需求次数			追踪次数						
299	1	在【妮塔之邀】中累计扔X次骰子	需求数量									
300	1	在【妮塔之邀】中累计触发X次事件格	需求数量									
301	2	在【妮塔之邀】中树屋经验累计达到X	需求数量									
302	14	在【普通/困难/任意】关卡单次消除祖玛X只以上	需求数量	{难度}	可不配	追踪数量					联机脉冲	
303	14	单局在【普通/困难/任意】关卡积分达到X分以上	需求数量	{难度}	可不配	追踪数量					联机脉冲	
304	14	单局在【普通/困难/任意】关卡消除祖玛X只以上	需求数量	{难度}	可不配	追踪数量					联机脉冲	
305	15	单局在【普通/困难/任意】关卡击杀怪物数量X只以上	需求数量	{联机类型,难度}	联机类型必须配置,难道可不配	追踪数量					联机通用	
306	1	累计消除X只祖玛	需求数量			追踪数量					联机脉冲	
307	4	累计击杀X只敌人	需求数量	{联机类型}		追踪数量					联机通用	
308	1	累计使用过X种肉鸽能力	需求数量			追踪数量					联机脉冲	
309	2	岛屿达到x级	需求等级	{地图id}		追踪等级					新星开拓	
310	13	累计获得x品质y等级的经营新星开拓z只	需求数量	{品质,等级}	可不配	追踪数量					新星开拓	
311	4	完成x建筑的建造	需求数量	{建筑id}	可不配	追踪数量					新星开拓	
312	38	x岛屿y区域达到过z等级的建筑n栋	需求数量	{地图id,区域id,等级}	可不配	追踪数量					新星开拓	
313	4	累计完成x类型的任务y条	需求数量	{某种类型}	可不配	追踪数量					新星开拓	
314	4	在x岛屿钓鱼y次	需求数量	{地图id}	可不配	追踪数量					新星开拓	
315	4	【3.0酒馆小游戏】喝第x杯酒时触发出局y次	需求数量	{第X杯出局}	可不配	追踪次数					宿舍	
316	1	【3.0酒馆小游戏】单次对局中的发言次数	需求次数	{发言次数}		追踪次数					宿舍	
317	1	【3.0酒馆小游戏】没有得到过万能牌且获得第1名	需求数量			追踪数量					宿舍	
318	1	【3.0酒馆小游戏】轮次开始时x名玩家剩余y条命	需求数量	{玩家数量,剩余命数}		追踪数量					宿舍	
319	1	【3.0酒馆小游戏】同时打出x张相同类型的牌	需求数量	{牌张数}		追踪次数					宿舍	
320	1	【3.0酒馆小游戏】打出x张假牌时没有被质疑	需求数量	{假牌张数}		追踪次数					宿舍	
321	1	【3.0酒馆小游戏】一次性淘汰x名玩家	需求数量	{玩家数量}		追踪次数					宿舍	
322	1	【3.0酒馆小游戏】复制到万能牌或当前指定牌	需求数量			追踪次数					宿舍	
323	1	【3.0酒馆小游戏】上家打出真牌时被强制质疑成功	需求数量			追踪次数					宿舍	
324	4	【3.0酒馆小游戏】完成x模式的y次对局	需求次数	{模式ID}	1普通2盲盒	追踪次数					宿舍	
325	1	【3.0酒馆小游戏】盲盒效果触发x次	需求次数			追踪次数					宿舍	
326	4	【3.0酒馆小游戏】获得第x名y次	需求次数	{名次}	0最后一名	追踪次数					宿舍	
327	7	【3.0酒馆小游戏】单次对局中获得x分高光积分	需求数量			追踪数量					宿舍	
328	2	【3.0酒馆小游戏】盲盒效果图鉴解锁数量	需求数量			追踪数量					宿舍	
329	1	【爆爆菜园】活动中种植xx个蔬菜	需求数量			追踪数量					爆爆菜园	
330	1	【爆爆菜园】活动中升级xx个蔬菜	需求数量			追踪数量					爆爆菜园	
331	7	【爆爆菜园】活动中激活xx个蔬菜培育中的技能	需求数量			追踪数量					爆爆菜园	
332	1	【爆爆菜园】活动中累积购买xx个增益	需求数量			追踪数量					爆爆菜园	
333	1	【爆爆菜园】活动中击杀xx个怪物	需求数量			追踪数量					爆爆菜园	
334	1	【3.2宿舍总览】完成x次信源研析	需求次数			追踪次数					宿舍	
335	1	【3.2宿舍总览】完成x次按摩游戏	需求次数			追踪次数					宿舍	
336	1	【3.2宿舍总览】完成x次心动水弹游戏	需求次数			追踪次数					宿舍	
337	1	【3.2宿舍总览】完成x次合影	需求次数			追踪次数					宿舍	
338	1	【3.2宿舍总览】完成x次猜心对局游戏	需求次数			追踪次数					宿舍	
339	1	【3.2宿舍总览】完成x次冰趣蜜弹游戏	需求次数			追踪次数					宿舍	
340	3	(异星守护)解锁伙伴X 技能Y个	需求数量	{伙伴id}		追踪数量					异星守护	
341	3	(异星守护)X个少女达到 Y等级	需求数量	{等级}		追踪数量					异星守护	
342	3	【激浪联航】携带指定id的模组通关X次	需求次数	{模组id列表}		追踪次数					联机海战	
343	7	【激浪联航】完成关卡时，单局获得BP经验到达X点	需求次数			追踪次数					联机海战	
344	1	【激浪联航】完成关卡时，累积获得获得BP经验到达X点	需求次数			追踪次数					联机海战	
345	26	【联机通用】通关某个类型X的(>=)Y难度Z次	需求次数	{联机类型,难度}		追踪次数					联机	
346	9	【激浪联航】单局通关(>=)Y难度时，己方船只等级达到X等级	需求等级	{难度}		追踪等级					联机海战	
347	41	【激浪联航】携带指定id职业模组,通关(>=)Y难度时，单局buff层数到达过指定层数	需求等级	{难度,{职业模组id}}		追踪等级					联机海战	
348	41	【激浪联航】携带指定id职业模组,通关(>=)Y难度时，单局驾驶火炮击沉敌方船只到达指定次数	需求等级	{难度,{职业模组id}}		追踪等级					联机海战	
349	42	【激浪联航】携带指定id职业模组,通关(>=)Y难度时，单局完成特定类型小游戏到达指定次数	需求等级	{难度,{职业模组id},{游戏类型}}		追踪等级					联机海战	
350	43	完成关卡(不含联机)	需求次数	{类型,{1,2,3}}	关卡id，对应chapter/level.txt,不填不限制	追踪次数					单机(目前仅主线)	
351	13	【3.2冰趣蜜弹】角色星级别任务，星级任务分别记录	需求次数	{角色id，星级id}		追踪次数					冰趣蜜弹	
352	4	【3.2冰趣蜜弹】{角色id}关卡达到3星	需求次数	{角色id}		追踪次数					冰趣蜜弹	
353	2	【3.2冰趣蜜弹】蜜弹连击模式中最高积分达到x	需求次数	{积分}		追踪次数					冰趣蜜弹	
354	1	【3.2冰趣蜜弹】在1局蜜弹连击模式中每次发射均失败	需求数量			追踪次数					冰趣蜜弹	
355	1	【3.2冰趣蜜弹】在1局蜜弹连击模式中每次发射均成功	需求数量			追踪次数					冰趣蜜弹	
356	1	【3.2冰趣蜜弹】在1局蜜弹连击模式中每次制作的甜品都是少女点单的甜品	需求数量			追踪次数					冰趣蜜弹	
357	1	【3.2冰趣蜜弹】在1局蜜弹连击模式中每次制作的甜品都不是少女点单的甜品	需求数量			追踪次数					冰趣蜜弹	
358	4	【3.2绘梦沙盘】关卡通关次数	{关卡ID}		追踪次数					绘梦沙盘		
359	4	【3.2绘梦沙盘】挑战关获得的总星数		追踪次数					绘梦沙盘			
360	1	【3.2绘梦沙盘】累计以“破产”的方式，获得胜利的次数			追踪次数					绘梦沙盘		
361	1	【3.2绘梦沙盘】累计以“分数达成”的方式，获得胜利的次数			追踪次数					绘梦沙盘		
362	1	【3.2绘梦沙盘】累计以“三色垄断”的方式，获得胜利的次数			追踪次数					绘梦沙盘		
363	1	【3.2绘梦沙盘】累计以“单边垄断”的方式，获得胜利的次数			追踪次数					绘梦沙盘		
364	1	【3.2绘梦沙盘】累计获得胜利的次数			追踪次数					绘梦沙盘		
365	1	【3.2绘梦沙盘】累计建设建筑的次数			追踪次数					绘梦沙盘		
366	1	【3.2绘梦沙盘】累计累计旅行的次数			追踪次数					绘梦沙盘		
367	1	【3.2绘梦沙盘】累计逃离无人岛的次数			追踪次数					绘梦沙盘		
368	1	【3.2绘梦沙盘】累计购买卡牌的次数			追踪次数					绘梦沙盘		
369	1	海姆向前冲生化模式累计击杀/感染数量	需求数量			追踪数量					联机	
370	44	海姆向前冲指定关卡类型获得X次Y名次以上	需求次数	{关卡类型,关卡名次}	关卡类型,名次	追踪次数					联机	
371	45	【3.2冰趣蜜弹】在1局蜜弹连击模式中分析员技能使用次数少于X次 	需求数量	{次数}		追踪次数					冰趣蜜弹	
372	1	【3.2冰趣蜜弹】成功解锁X个甜品	需求数量	{次数}		追踪次数					冰趣蜜弹	
373	1	【3.2冰趣蜜弹】参与任意少女的常规模式沙滩游戏X次，只要不中途退出都累计次数，不管失败or成功	需求数量	{次数}		追踪次数					冰趣蜜弹	
374	1	【3.2冰趣蜜弹】参与蜜弹连击模式沙滩游戏X次，只要不中途退出都累计次数	需求数量	{次数}		追踪次数					冰趣蜜弹	
375	2	3.3爬塔挑战关卡累计星级	需求数量									
376	4	少女入队X拼图数量达到Y	需求数量	{活动期数}		追踪数量						
377	13	少女入队X拼图阶段Y完成	需求数量	{活动期数，拼图阶段}		追踪数量						
378	4	少女入队X完成调率	需求数量	{活动期数}		追踪数量						
379	11	积分高于x完成y次	需求次数	{积分}		追踪次数					联机联合清剿	
380	14	世界boss达成周期X的Y%进度	需求数量	{活动期数}	{期数id}	追踪数量						
381	4	世界boss周期X伤害量达到档位Y	需求数量	{活动期数}	{期数id}	追踪数量						
382	4	世界boss周期X参与次数Y次	需求次数	{活动期数}	{期数id}	追踪次数						
383	11	【爆爆菜园】进入x次无尽关并至少击败X波敌人	需求数量			追踪数量					爆爆菜园	
384	7	【爆爆菜园】同时激活X个极限培育技能	需求数量			追踪数量					爆爆菜园	
385	46	【爆爆菜园】使用道具2或者3通关任意关卡	需求数量			追踪数量					爆爆菜园	
386	47	【爆爆菜园】选择x个不同的无尽流派并至少击败X波敌人	需求数量			追踪数量					爆爆菜园	
387	1	【星祈心愿】完成一次分享任务	需求数量			追踪数量					星祈心愿	
388	51	【3.5推币游戏】完成{角色id}单人模式x回合	需求次数	{角色id,回合数}		追踪次数					宿舍推币大赢家	
389	2	【3.5推币游戏】无尽模式最高得分达到x	需求数量			追踪数量					宿舍推币大赢家	
390	7	【3.5推币游戏】任意模式单局最高连击数达到x	需求数量			追踪数量					宿舍推币大赢家	
391	12	【3.5推币游戏】解锁x类图鉴y个	需求数量	{图鉴分类id}	1守护道具；2流派信物；3硬币（基础币彩蛋币特殊币）；4扭蛋秘宝；5幸运礼物；6镀层；7捣蛋坏币；8神奇奖励	追踪数量					宿舍推币大赢家	
392	7	【3.5推币游戏】堆起x座规则币塔	需求次数			追踪次数					宿舍推币大赢家	
393	7	【3.5推币游戏】堆起x座炸弹币塔	需求次数			追踪次数					宿舍推币大赢家	
394	1	【3.5推币游戏】累计推落x枚任意硬币	需求数量			追踪数量					宿舍推币大赢家	
395	2	【3.5推币游戏】在一场对局内放置过所有人偶道具	需求次数			追踪次数					宿舍推币大赢家	
396	50	【3.5推币游戏】在任意模式的前x回合内就使用了垂死摇晃	需求次数	{回合数}		追踪次数					宿舍推币大赢家	
397	1	(异星守护)局内使用X个羁绊伙伴通关	需求数量		只记录首次使用通关	追踪数量					异星守护	
398	3	(异星守护)提升x个羁绊伙伴等级达到y级	需求数量	{等级}		追踪数量					异星守护	
399	13	完成肉鸽多诺卡探索x阶段y层z次	需求次数	{阶段,层数}		追踪次数					多诺	
400	48	获得x星级y品质的z多诺卡n只	需求次数	{多诺卡ID,星级,品质}		追踪次数					多诺	
401	13	使用XX多诺卡在擂台XX关中击杀N数量的敌人	需求数量	{多诺卡ID,关卡ID}		追踪数量					多诺	
402	1	海姆向前冲决战海姆模式累计获得x次补给武器	需求数量			追踪数量					联机	
403	1	海姆向前冲决战海姆模式累计击败x次哈姆首领	需求数量			追踪数量					联机	
404	1	(进击行动)限时模式开放期间，累计获得X点贡献度	需求数量			追踪数量					联机进击行动	
405	26	(进击行动)成功通关指定难度进击行动的同时，单局完成限时挑战次数>=X次	需求次数	{难度,挑战次数}		追踪次数					联机进击行动	
406	4	(进击行动)只携带特定类型的智械芯片成功通关x次	需求次数	{芯片类型}		追踪次数					联机进击行动	
407	10	(进击行动)同时持有的芯片中品质>=X的芯片达到Y个	需求数量	{芯片品质}		追踪数量					联机进击行动	
408	14	(进击行动)将指定id的BP提升至y级	需求等级	{bpId}		追踪等级					联机进击行动	
409	7	(进击行动)总智械库等级达到X级	需求等级			追踪等级					联机进击行动	
410	14	(进击行动)编队所有4~10号槽上装备的品质>x芯片达到y个	需求次数	{芯片品质}		追踪次数					联机进击行动	
411	7	(进击行动)单局结算时,单局分数达到X	需求数量			追踪数量					联机进击行动	
412	1	(进击行动)任意模式的进击行动中，累计消灭敌人X个	需求数量			追踪数量					联机进击行动	
413	7	(进击行动)单局使用智械达到次	需求数量			追踪数量					联机进击行动	
414	14	(进击行动)成功通关指定难度，单局完成限时挑战次数达到X次	需求数量	{难度}		追踪数量					联机进击行动	
415	1	装甲战骑在局内总计购买X种武器	需求数量			追踪数量					装甲战骑活动	
416	1	装甲战骑在局内总计购买X种防线	需求数量			追踪数量					装甲战骑活动	
417	1	装甲战骑在局内总计购买X个武器	需求数量			追踪数量					装甲战骑活动	
418	1	装甲战骑在局内总计购买X个防线	需求数量			追踪数量					装甲战骑活动	
419	3	装甲战骑击杀X只类型Y的怪物	需求数量	{怪物类型Y}	Y:1精英怪 2地面怪 3 飞行怪,不配不限制怪物类型	追踪数量					装甲战骑活动	
420	11	装甲战骑在局内将X把武器升级至Y级	需求数量	{等级}		追踪数量					装甲战骑活动	
421	1	装甲战骑在局内购买X次普通类型的道具	需求次数			追踪次数					装甲战骑活动	
422	3	装甲战骑解锁天赋X次指定天赋	需求次数	{天赋id1,天赋id2,...}	天赋表里流水id,不配则不限制天赋id	追踪次数					装甲战骑活动	
423	3	装甲战骑升级X次Y(Y:武器或防线)	需求次数	{Y}	Y:1武器 2防线 不配表示升级任意	追踪次数					装甲战骑活动	
424	1	装甲战骑升级X次同步系统	需求次数			追踪次数					装甲战骑活动	
425	3	装甲战骑完成X次Y模式的对局	需求次数	{模式1,模式2,...}	1普通关 2困难关 3终局关	追踪次数					装甲战骑活动	
426	3	装甲战骑完成X次指定关卡id的对局	需求次数	{id1,id2,...}	关卡id	追踪次数					装甲战骑活动	
427	1	装甲战骑在局内购买X次护盾道具	需求次数			追踪次数					装甲战骑活动	
428	11	装甲战骑X局主武器等级大于等于Y级	需求次数	{等级}		追踪次数					装甲战骑活动	
429	1	(进击行动)总智械库等级提升x级	需求等级			追踪等级					联机进击行动	
