成就唯一ID	注释（程序内不使用）	任务名	任务介绍	任务或成就图标	分组（1-日常,2-周常,3-成就,4-主线,5-支线任务额外奖励）	所属章节（支线任务才配）	章节抬头图（支线任务额外奖励才配）	需要【本阶段内】完成的任务	排序	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	可执行次数,0或不填为不限制	奖励列表,格式{{g,d,p,l,n},...}	系统解锁条件（对应function.txt表）	跳转界面	条件跳转	跳转参数	开始时间,格式：年月日时分秒,如201601010200或20160101（时分秒可省略）	结束时间,格式桶开始时间	重置周期【仅天,周常用】；配置模式：固定刷新：开启时间也需要配+这列配{1,天数}/地下清理：开启时间不需要配+这列配{2}（climb_tower_time)/	活动ID	任务点数	弹窗({类型:1,主线2,目标})	标签分类(仅目标成就3-成就)	刷新标签{"颜色ID","表.key"})
11005	拥有任意5把60级武器	achievement.Name12	achievement.Describe12_60		4	10						1	31	5	{60}		{{6,2,4,1,1},{5,2,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
11006	拥有9个养成+12的后勤	achievement.Name14	achievement.Describe14_75		4	10						1	46	9	{12}		{{5,1,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
11007	拥有5个神格同调·3阶角色	achievement.Name49	achievement.Describe49_2		4	10						1	72	5	{2}		{{5,3,1,4,10},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11008	【累计】天启20次	achievement.Name23	achievement.Describe23		4	10						1	47	20			{{6,4,4,1,1},{5,1,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11009	装配武器配件25个	achievement.Name52	achievement.Describe52		4	10						1	75	25			{{5,2,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
11010	分析员等级到达65级	achievement.Name2001	achievement.Describe2001		4	10						1	1	65			{{6,5,4,1,1},{5,1,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
11101	第十一章额外奖励	achievement.Story09			5	11	1800109										{{4,3,2,1,100},{5,5,1,4,1},{5,9,1,3,1},{5,4,2,1,12}}												
11102	通关3.1-1	achievement.Name10	ui.TxtPrologueLevelTips		4	11						1	350	1	{1,{11541}}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc31Story		{24,11541}						{1}		
11103	通关3.1-3	achievement.Name10	ui.TxtPrologueLevelTips		4	11						1	350	1	{1,{11543}}		{{6,1,16,1,1},{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc31Story		{24,11543}						{1}		
11104	拥有任意3个70级角色	achievement.Name13	achievement.Describe13_70		4	11						1	30	3	{70}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11105	拥有任意3把70级武器	achievement.Name12	achievement.Describe12_70		4	11						1	31	3	{70}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
11106	拥有6个神格同调·3阶角色	achievement.Name49	achievement.Describe49_2		4	11						1	72	6	{2}		{{6,2,16,1,1},{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11107	拥有6个养成+15的后勤	achievement.Name14	achievement.Describe14_80		4	11						1	46	6	{15}		{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
11108	宿舍2名队员信赖度15级	achievement.Name68	achievement.Describe68_9		4	11						1	121	2	{15}		{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	48		HouseLogic.LoadHouse							{1}		
11109	完成精神拟境3难度 1次	achievement.Name26	achievement.Describe26_3		4	11						1	48	1	{3}		{{6,4,16,1,1},{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	17		BossPvpLogic.GetOpenID()							{1}		
11110	地下清理通关10段	achievement.Name25	achievement.Describe25_10		4	11						1	130	1	{10}		{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	16		ClimbTowerLogic.CheckCycleLevel							{1}		
11111	分析员等级到达70级	achievement.Name2001	achievement.Describe2001		4	11						1	1	70			{{6,5,16,1,1},{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
11201	第十二章额外奖励	achievement.Story10			5	12	1800110										{{4,3,2,1,100},{5,5,1,4,1},{5,9,1,3,1},{5,4,2,1,12}}												
11202	通关3.1-4	achievement.Name10	ui.TxtPrologueLevelTips		4	12						1	350	1	{1,{11544}}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc31Story		{24,11544}						{1}		
11203	通关3.1-6	achievement.Name10	ui.TxtPrologueLevelTips		4	12						1	350	1	{1,{11546}}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc31Story		{24,11546}						{1}		
11204	拥有任意5个70级角色	achievement.Name13	achievement.Describe13_70		4	12						1	30	5	{70}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11205	拥有任意5把70级武器	achievement.Name12	achievement.Describe12_70		4	12						1	31	5	{70}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
11206	累积天启次数30次	achievement.Name23	achievement.Describe23	1701102	4	12						1	47	30			{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11207	宿舍2名队员信赖度20级	achievement.Name68	achievement.Describe68_6		4	12						1	121	2	{20}		{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	48		HouseLogic.LoadHouse							{1}		
11208	拥有9个养成+15的后勤	achievement.Name14	achievement.Describe14_80		4	12						1	46	9	{15}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
11209	通关战术考核章节9	achievement.Name51	achievement.Describe51_9		4	12						1	74	1	{9,6090}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	28		TowerEvent.CheckOpenAct()							{1}		
11210	分析员等级到达75级	achievement.Name2001	achievement.Describe2001		4	12						1	1	75			{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
11301	第十三章额外奖励	achievement.Story11			5	13	1800111										{{4,3,2,1,100},{5,5,1,4,1},{5,9,1,3,1},{5,4,2,1,12}}												
11302	通关3.1-7	achievement.Name10	ui.TxtPrologueLevelTips		4	13						1	350	1	{1,{11547}}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc31Story		{24,11547}						{1}		
11303	通关3.1-8	achievement.Name10	ui.TxtPrologueLevelTips		4	13						1	350	1	{1,{11548}}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc31Story		{24,11548}						{1}		
11304	拥有任意6个80级角色	achievement.Name13	achievement.Describe13_80		4	13						1	30	6	{80}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11305	拥有任意6把80级武器	achievement.Name12	achievement.Describe12_80		4	13						1	31	6	{80}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
11306	拥有1个神格同调·4阶角色（神经全激活角色）	achievement.Name57	achievement.Describe57		4	13						1	94	1	{3}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
11307	拥有12个养成+15的后勤	achievement.Name14	achievement.Describe14_80		4	13						1	46	12	{15}		{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
11308	完成精神拟境4难度 1次	achievement.Name26	achievement.Describe26_4		4	13						1	48	1	{4}		{{5,1,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	17		BossPvpLogic.GetOpenID()							{1}		
11309	通关战术考核章节10	achievement.Name51	achievement.Describe51_10		4	13						1	74	1	{9,6090}		{{5,2,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	28		TowerEvent.CheckOpenAct()							{1}		
11310	分析员等级到达80级	achievement.Name2001	achievement.Describe2001		4	13						1	1	80			{{5,3,1,4,12},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
20101	角色5级	achievement.Name2001	achievement.Describe2001	1701102	3							1	1	5			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20102	角色10级	achievement.Name2001	achievement.Describe2001	1701102	3						20101	1	1	10			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20103	角色15级	achievement.Name2001	achievement.Describe2001	1701102	3						20102	1	1	15			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20104	角色20级	achievement.Name2001	achievement.Describe2001	1701102	3						20103	1	1	20			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20105	角色25级	achievement.Name2001	achievement.Describe2001	1701102	3						20104	1	1	25			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20106	角色30级	achievement.Name2001	achievement.Describe2001	1701102	3						20105	1	1	30			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20107	角色35级	achievement.Name2001	achievement.Describe2001	1701102	3						20106	1	1	35			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20108	角色40级	achievement.Name2001	achievement.Describe2001	1701102	3						20107	1	1	40			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20109	角色45级	achievement.Name2001	achievement.Describe2001	1701102	3						20108	1	1	45			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20110	角色50级	achievement.Name2001	achievement.Describe2001	1701102	3						20109	1	1	50			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20111	角色55级	achievement.Name2001	achievement.Describe2001	1701102	3						20110	1	1	55			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20112	角色60级	achievement.Name2001	achievement.Describe2001	1701102	3						20111	1	1	60			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20113	角色65级	achievement.Name2001	achievement.Describe2001	1701102	3						20112	1	1	65			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20114	角色70级	achievement.Name2001	achievement.Describe2001	1701102	3						20113	1	1	70			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20115	角色75级	achievement.Name2001	achievement.Describe2001	1701102	3						20114	1	1	75			{{4,3,2,1,10}}	Account	Dungeons								{2}		
20116	角色80级	achievement.Name2001	achievement.Describe2001	1701102	3						20115	1	1	80			{{4,3,2,1,10}}	Account	Dungeons								{2}		
																													
20201	累积完成任务10个	achievement.Name19	achievement.Describe19	1701103	3							1	42	10			{{4,3,2,1,10}}										{2}		
20202	累积完成任务30个	achievement.Name19	achievement.Describe19	1701103	3						20201	1	42	30			{{4,3,2,1,10}}										{2}		
20203	累积完成任务50个	achievement.Name19	achievement.Describe19	1701103	3						20202	1	42	50			{{4,3,2,1,10}}										{2}		
20204	累积完成任务100个	achievement.Name19	achievement.Describe19	1701103	3						20203	1	42	100			{{4,3,2,1,10}}										{2}		
20205	累积完成任务250个	achievement.Name19	achievement.Describe19	1701103	3						20204	1	42	250			{{4,3,2,1,10}}										{2}		
20206	累积完成任务500个	achievement.Name19	achievement.Describe19	1701103	3						20205	1	42	500			{{4,3,2,1,10}}										{2}		
20207	累积完成任务750个	achievement.Name19	achievement.Describe19	1701103	3						20206	1	42	750			{{4,3,2,1,10}}										{2}		
20208	累积完成任务1000个	achievement.Name19	achievement.Describe19	1701103	3						20207	1	42	1000			{{4,3,2,1,10}}										{2}		
20209	累积完成任务1250个	achievement.Name19	achievement.Describe19	1701103	3						20208	1	42	1250			{{4,3,2,1,10}}										{2}		
20210	累积完成任务1500个	achievement.Name19	achievement.Describe19	1701103	3						20209	1	42	1500			{{4,3,2,1,10}}										{2}		
20211	累积完成任务1750个	achievement.Name19	achievement.Describe19	1701103	3						20210	1	42	1750			{{4,3,2,1,10}}										{2}		
20212	累积完成任务2000个	achievement.Name19	achievement.Describe19	1701103	3						20211	1	42	2000			{{4,3,2,1,10}}										{2}		
20213	累积完成任务2250个	achievement.Name19	achievement.Describe19	1701103	3						20212	1	42	2250			{{4,3,2,1,10}}												
20214	累积完成任务2500个	achievement.Name19	achievement.Describe19	1701103	3						20213	1	42	2500			{{4,3,2,1,10}}												
																													
20301	消耗100体力	achievement.Name2	achievement.Describe2	1701103	3							1	4	100	{4}		{{4,3,2,1,10}}	1									{2}		
20302	消耗500体力	achievement.Name2	achievement.Describe2	1701103	3						20301	1	4	500	{4}		{{4,3,2,1,10}}	1									{2}		
20303	消耗1000体力	achievement.Name2	achievement.Describe2	1701103	3						20302	1	4	1000	{4}		{{4,3,2,1,10}}	1									{2}		
20304	消耗2500体力	achievement.Name2	achievement.Describe2	1701103	3						20303	1	4	2500	{4}		{{4,3,2,1,10}}	1									{2}		
20305	消耗5000体力	achievement.Name2	achievement.Describe2	1701103	3						20304	1	4	5000	{4}		{{4,3,2,1,10}}	1									{2}		
20306	消耗10000体力	achievement.Name2	achievement.Describe2	1701103	3						20305	1	4	10000	{4}		{{4,3,2,1,10}}	1									{2}		
																													
20401	拥有3个角色	achievement.Name13	achievement.Describe13	1701100	3							1	26	3			{{4,3,2,1,10}}	3	Gacha								{2}		
20402	拥有6个角色	achievement.Name13	achievement.Describe13	1701100	3						20401	1	26	6			{{4,3,2,1,10}}	3	Gacha								{2}		
20403	拥有8个角色	achievement.Name13	achievement.Describe13	1701100	3						20402	1	26	8			{{4,3,2,1,10}}	3	Gacha								{2}		
20404	拥有12个角色	achievement.Name13	achievement.Describe13	1701100	3						20403	1	26	12			{{4,3,2,1,10}}	3	Gacha								{2}		
20405	拥有14个角色	achievement.Name13	achievement.Describe13	1701100	3						20404	1	26	14			{{4,3,2,1,10}}	3	Gacha								{2}		
20406	拥有16个角色	achievement.Name13	achievement.Describe13	1701100	3						20405	1	26	16			{{4,3,2,1,10}}	3	Gacha								{2}		
20407	拥有18个角色	achievement.Name13	achievement.Describe13	1701100	3						20406	1	26	18			{{4,3,2,1,10}}	3	Gacha								{2}		
20408	拥有20个角色	achievement.Name13	achievement.Describe13	1701100	3						20407	1	26	20			{{4,3,2,1,10}}	3	Gacha								{2}		
20409	拥有22个角色	achievement.Name13	achievement.Describe13	1701100	3						20408	1	26	22			{{4,3,2,1,10}}	3	Gacha								{2}		
20410	拥有24个角色	achievement.Name13	achievement.Describe13	1701100	3						20409	1	26	24			{{4,3,2,1,10}}	3	Gacha								{2}		
20411	拥有26个角色	achievement.Name13	achievement.Describe13	1701100	3						20410	1	26	26			{{4,3,2,1,10}}	3	Gacha								{2}		
20412	拥有28个角色	achievement.Name13	achievement.Describe13	1701100	3						20411	1	26	28			{{4,3,2,1,10}}	3	Gacha								{2}		
20413	拥有30个角色	achievement.Name13	achievement.Describe13	1701100	3						20412	1	26	30			{{4,3,2,1,10}}	3	Gacha								{2}		
																													
20501	拥有1个橙色角色	achievement.Name20	achievement.Describe20	1701100	3							1	49	1	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20502	拥有2个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20501	1	49	2	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20503	拥有3个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20502	1	49	3	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20504	拥有4个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20503	1	49	4	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20505	拥有5个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20504	1	49	5	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20506	拥有6个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20505	1	49	6	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20507	拥有7个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20506	1	49	7	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20508	拥有8个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20507	1	49	8	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20509	拥有9个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20508	1	49	9	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
20510	拥有10个橙色角色	achievement.Name20	achievement.Describe20	1701100	3						20509	1	49	10	{1,5}		{{4,3,2,1,10}}	3	Gacha								{2}		
																													
20601	拥有10件武器	achievement.Name12	achievement.Describe12	1701100	3							1	3	10	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20602	拥有20件武器	achievement.Name12	achievement.Describe12	1701100	3						20601	1	3	20	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20603	拥有40件武器	achievement.Name12	achievement.Describe12	1701100	3						20602	1	3	40	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20604	拥有70件武器	achievement.Name12	achievement.Describe12	1701100	3						20603	1	3	70	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20605	拥有100件武器	achievement.Name12	achievement.Describe12	1701100	3						20604	1	3	100	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20606	拥有200件武器	achievement.Name12	achievement.Describe12	1701100	3						20605	1	3	200	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20607	拥有400件武器	achievement.Name12	achievement.Describe12	1701100	3						20606	1	3	400	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20608	拥有600件武器	achievement.Name12	achievement.Describe12	1701100	3						20607	1	3	600	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20609	拥有800件武器	achievement.Name12	achievement.Describe12	1701100	3						20608	1	3	800	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
20610	拥有1000件武器	achievement.Name12	achievement.Describe12	1701100	3						20609	1	3	1000	{2,-1,-1,-1}		{{4,3,2,1,10}}	3	Gacha								{2}		
																													
20701	拥有1件橙色武器	achievement.Name21	achievement.Describe21	1701100	3							1	49	1	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20702	拥有2件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20701	1	49	2	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20703	拥有3件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20702	1	49	3	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20704	拥有4件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20703	1	49	4	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20705	拥有5件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20704	1	49	5	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20706	拥有6件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20705	1	49	6	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20707	拥有7件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20706	1	49	7	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20708	拥有8件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20707	1	49	8	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20709	拥有9件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20708	1	49	9	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20710	拥有10件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20709	1	49	10	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20711	拥有15件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20710	1	49	15	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20712	拥有20件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20711	1	49	20	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
20713	拥有30件橙色武器	achievement.Name21	achievement.Describe21	1701100	3						20712	1	49	30	{2,5}		{{4,3,2,1,10}}	3	Gacha		{2}						{2}		
																													
20801	累积激活神经10次	achievement.Name22	achievement.Describe22_100	1701102	3							1	103	10			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20802	累积激活神经20次	achievement.Name22	achievement.Describe22_100	1701102	3						20801	1	103	20			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20803	累积激活神经40次	achievement.Name22	achievement.Describe22_100	1701102	3						20802	1	103	40			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20804	累积激活神经60次	achievement.Name22	achievement.Describe22_100	1701102	3						20803	1	103	60			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20805	累积激活神经90次	achievement.Name22	achievement.Describe22_100	1701102	3						20804	1	103	90			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20806	累积激活神经120次	achievement.Name22	achievement.Describe22_100	1701102	3						20805	1	103	120			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20807	累积激活神经150次	achievement.Name22	achievement.Describe22_100	1701102	3						20806	1	103	150			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20808	累积激活神经180次	achievement.Name22	achievement.Describe22_100	1701102	3						20807	1	103	180			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20809	累积激活神经210次	achievement.Name22	achievement.Describe22_100	1701102	3						20808	1	103	210			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20810	累积激活神经240次	achievement.Name22	achievement.Describe22_100	1701102	3						20809	1	103	240			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20811	累积激活神经270次	achievement.Name22	achievement.Describe22_100	1701102	3						20810	1	103	270			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20812	累积激活神经300次	achievement.Name22	achievement.Describe22_100	1701102	3						20811	1	103	300			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20813	累积激活神经330次	achievement.Name22	achievement.Describe22_100	1701102	3						20812	1	103	330			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20814	累积激活神经360次	achievement.Name22	achievement.Describe22_100	1701102	3						20813	1	103	360			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20815	累积激活神经390次	achievement.Name22	achievement.Describe22_100	1701102	3						20814	1	103	390			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20816	累积激活神经420次	achievement.Name22	achievement.Describe22_100	1701102	3						20815	1	103	420			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20817	累积激活神经450次	achievement.Name22	achievement.Describe22_100	1701102	3						20816	1	103	450			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20818	累积激活神经480次	achievement.Name22	achievement.Describe22_100	1701102	3						20817	1	103	480			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20819	累积激活神经510次	achievement.Name22	achievement.Describe22_100	1701102	3						20818	1	103	510			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20820	累积激活神经540次	achievement.Name22	achievement.Describe22_100	1701102	3						20819	1	103	540			{{4,3,2,1,10}}	2	Role		{1}						{2}		
																													
20901	累积天启次数3次	achievement.Name23	achievement.Describe23	1701102	3							1	47	3			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20902	累积天启次数9次	achievement.Name23	achievement.Describe23	1701102	3						20901	1	47	9			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20903	累积天启次数27次	achievement.Name23	achievement.Describe23	1701102	3						20902	1	47	27			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20904	累积天启次数60次	achievement.Name23	achievement.Describe23	1701102	3						20903	1	47	60			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20905	累积天启次数100次	achievement.Name23	achievement.Describe23	1701102	3						20904	1	47	100			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20906	累积天启次数140次	achievement.Name23	achievement.Describe23	1701102	3						20905	1	47	140			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20907	累积天启次数180次	achievement.Name23	achievement.Describe23	1701102	3						20906	1	47	180			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20908	累积天启次数220次	achievement.Name23	achievement.Describe23	1701102	3						20907	1	47	220			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20909	累积天启次数260次	achievement.Name23	achievement.Describe23	1701102	3						20908	1	47	260			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20910	累积天启次数300次	achievement.Name23	achievement.Describe23	1701102	3						20909	1	47	300			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20911	累积天启次数340次	achievement.Name23	achievement.Describe23	1701102	3						20910	1	47	340			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20912	累积天启次数380次	achievement.Name23	achievement.Describe23	1701102	3						20911	1	47	380			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20913	累积天启次数420次	achievement.Name23	achievement.Describe23	1701102	3						20912	1	47	420			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20914	累积天启次数460次	achievement.Name23	achievement.Describe23	1701102	3						20913	1	47	460			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20915	累积天启次数500次	achievement.Name23	achievement.Describe23	1701102	3						20914	1	47	500			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20916	累积天启次数540次	achievement.Name23	achievement.Describe23	1701102	3						20915	1	47	540			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20917	累积天启次数580次	achievement.Name23	achievement.Describe23	1701102	3						20916	1	47	580			{{4,3,2,1,10}}	2	Role		{1}						{2}		
20918	累积天启次数620次	achievement.Name23	achievement.Describe23	1701102	3						20917	1	47	620			{{4,3,2,1,10}}	2	Role		{1}						{2}		
																													
21001	拥有5件后勤	achievement.Name24	achievement.Describe24	1701102	3							1	3	5	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21002	拥有10件后勤	achievement.Name24	achievement.Describe24	1701102	3						21001	1	3	10	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21003	拥有20件后勤	achievement.Name24	achievement.Describe24	1701102	3						21002	1	3	20	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21004	拥有40件后勤	achievement.Name24	achievement.Describe24	1701102	3						21003	1	3	40	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21005	拥有60件后勤	achievement.Name24	achievement.Describe24	1701102	3						21004	1	3	60	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21006	拥有100件后勤	achievement.Name24	achievement.Describe24	1701102	3						21005	1	3	100	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21007	拥有140件后勤	achievement.Name24	achievement.Describe24	1701102	3						21006	1	3	140	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21008	拥有180件后勤	achievement.Name24	achievement.Describe24	1701102	3						21007	1	3	180	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21009	拥有220件后勤	achievement.Name24	achievement.Describe24	1701102	3						21008	1	3	220	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
21010	拥有260件后勤	achievement.Name24	achievement.Describe24	1701102	3						21009	1	3	260	{3,-1,-1,-1}		{{4,3,2,1,10}}	6	Bag		{2}						{2}		
