卡牌ID	卡牌名称	是否默认解锁(1为默认解锁,0为非默认	卡牌图标	状态改变的图标	名称Key	描述Key	卡牌类型(0为棋子,1为宝物	星级	所属流派	标签ID	默认能量	效果类型	效果参数	效果描述参数	是否可使用(0为不可使用,1为可使用	是否出现在随机池(0为不出现,1为出现	专用词	自身动效	退出动效	影响其他棋子动效
178	暗影庄园	1	4102153		dreamcard.card_name178	dreamcard.card_desc178	0	3	12		60	{150}	{{2,1,{174}}}	{2,1}	0	1		{4}	{}	{}
179	披风	1	4102154		dreamcard.card_name179	dreamcard.card_desc179	0	4	12		75	{26,150}	{{},{2,1,{172,171,176}}}	{2,1}	0	1		{4}	{}	{}
180	高跟鞋	0	4102155		dreamcard.card_name180	dreamcard.card_desc180	0	4	12		75	{26,154}	{{},{1,1.5}}	{50}	0	1	{2}	{5}	{}	{}
181	珍宝	1	4102156		dreamcard.card_name181	dreamcard.card_desc181	0	1	13		30	{155}	{{1,182}}	{1}	0	1		{}	{3}	{}
182	契约书	1	4102157		dreamcard.card_name182	dreamcard.card_desc182	0	1	13		0	{156,48}	{{},{-10}}	{10}	0	0		{}	{3}	{}
183	魂匣	1	4102158		dreamcard.card_name183	dreamcard.card_desc183	0	1	13		30	{31,49}	{{5,1,182},{5,1200}}	{5,1200,1}	0	1		{}	{}	{}
184	唤灵石	1	4102159		dreamcard.card_name184	dreamcard.card_desc184	0	1	13		150	{157}	{{1,182}}	{1}	0	1		{}	{}	{}
185	水晶球	1	4102160		dreamcard.card_name185	dreamcard.card_desc185	0	1	13		30	{158}	{{1,900,1}}	{1,900}	0	1		{}	{3}	{}
186	坩埚	1	4102161		dreamcard.card_name186	dreamcard.card_desc186	0	2	13		45	{31}	{{5,1,181}}	{5,1}	0	1		{5}	{}	{}
187	王族仆从	1	4102162		dreamcard.card_name187	dreamcard.card_desc187	0	2	13		45	{158}	{{12,1440,0}}	{12,1440}	0	1		{5}	{}	{}
188	灵魂纹章	1	4102163		dreamcard.card_name188	dreamcard.card_desc188	0	2	13		45	{126}	{{{184,187,191},0.5}}	{50}	0	1		{}	{}	{}
189	守护者雕像	1	4102164		dreamcard.card_name189	dreamcard.card_desc189	0	2	13		45	{159}	{{1,{187,185},0.08,0}}	{8}	0	1		{}	{}	{}
190	古代石板	1	4102165		dreamcard.card_name190	dreamcard.card_desc190	0	3	13		60	{108,159}	{{{184,188,191},10},{1,{191},6,0}}	{10,6}	0	1		{}	{}	{}
191	仆从纹章	1	4102166		dreamcard.card_name191	dreamcard.card_desc191	0	3	13		60	{160}	{{1,1000}}	{1,1000}	0	1		{5}	{}	{}
192	烙印	0	4102167		dreamcard.card_name192	dreamcard.card_desc192	0	3	13		60	{161,162}	{{1},{1200}}	{1,1200}	0	1		{}	{}	{}
193	守护仪式	1	4102168		dreamcard.card_name193	dreamcard.card_desc193	0	4	13		75	{159}	{{20,{187,191},100,100}}		0	1		{5}	{3}	{}
194	镰刀	1	4102169		dreamcard.card_name194	dreamcard.card_desc194	0	4	13		75	{163}	{{{1,2},5}}	{1,2,500}	0	1		{2}	{3}	{}
195	海带	1	4102170		dreamcard.card_name195	dreamcard.card_desc195	0	1	14		30	{35}	{{20}}	{50}	0	1		{}	{3}	{}
196	小虾	1	4102171		dreamcard.card_name196	dreamcard.card_desc196	0	1	14		30	{164}	{{1,195,2,2}}	{1,2,2}	0	1		{4}	{3}	{}
197	龙睛鱼	1	4102172		dreamcard.card_name197	dreamcard.card_desc197	0	2	14		45	{165,166}	{{1},{1,0.9}}	{10}	0	1		{5,17}	{}	{}
198	琉金鱼	1	4102173		dreamcard.card_name198	dreamcard.card_desc198	0	1	14		30	{167,166}	{{1},{1,0.9}}	{10}	0	1		{5,18}	{}	{}
199	小丑鱼	0	4102174		dreamcard.card_name199	dreamcard.card_desc199	0	1	14		30	{168}	{{14,300,100}}	{300}	0	1		{}	{}	{}
200	水母	1	4102175		dreamcard.card_name200	dreamcard.card_desc200	0	2	14		45	{169}	{{120}}	{120}	0	1		{}	{}	{}
201	海葵	1	4102176		dreamcard.card_name201	dreamcard.card_desc201	0	2	14		45	{32}	{{90}}	{90}	0	1		{}	{}	{}
202	鱼饵	1	4102177		dreamcard.card_name202	dreamcard.card_desc202	0	3	14		60	{127,1}	{{{197,198,207},1},{2}}	{100,2}	0	1		{5}	{3}	{}
203	螃蟹	1	4102178		dreamcard.card_name203	dreamcard.card_desc203	0	2	14		45	{170}	{{2,600,100}}	{2,600}	0	1		{}	{3}	{}
204	海绵	1	4102179		dreamcard.card_name204	dreamcard.card_desc204	0	2	14		45	{171}	{{60}}	{60}	0	1		{5}	{}	{}
205	翻车鱼	1	4102180		dreamcard.card_name205	dreamcard.card_desc205	0	3	14	9	60	{172}	{{3,2,{1,2,3},{14},{149,182,117}}}	{2,1,3,3}	0	1		{4}	{3}	{}
206	鲸鱼	1	4102181		dreamcard.card_name206	dreamcard.card_desc206	0	4	14	9	75	{172}	{{3,3,{3,4},{14},{149,182,117}}}	{3,3,4,3}	0	1		{4}	{3}	{}
207	鲨鱼	0	4102182		dreamcard.card_name207	dreamcard.card_desc207	0	4	14		75	{166,167,165}	{{1,0.95},{1},{1}}	{5}	0	1		{5,19}	{}	{}
208	能量导线	1	4103032		dreamcard.card_name208	dreamcard.card_desc208	1	2	10		45	{173}	{{141,153}}		0	1	{1}	{}	{}	{}
209	迭代核心	0	4103033		dreamcard.card_name209	dreamcard.card_desc209	1	3	10		60	{174}	{{{139,143},146}}		0	1		{}	{}	{}
210	魔术眼镜	0	4103034		dreamcard.card_name210	dreamcard.card_desc210	1	2	11		45	{175,176}	{{{166,167,168},0.25},{{163},1}}	{25,1}	0	1		{}	{}	{}
211	魔术卡牌	1	4103035		dreamcard.card_name211	dreamcard.card_desc211	1	1	11		30	{177}	{{{154,160,161},1}}	{1}	0	1		{}	{}	{}
212	饵料	0	4103036		dreamcard.card_name212	dreamcard.card_desc212	1	1	12		60	{185}	{{{174},8}}	{8}	0	1		{}	{}	{}
213	阳伞	1	4103037		dreamcard.card_name213	dreamcard.card_desc213	1	2	12		90	{178}	{{30}}	{30}	0	1	{2}	{}	{}	{}
214	利齿	0	4103038		dreamcard.card_name214	dreamcard.card_desc214	1	2	12		90	{179}	{{0.1}}	{10}	0	1	{2}	{}	{}	{}
215	木炭	1	4103039		dreamcard.card_name215	dreamcard.card_desc215	1	1	13		30	{175}	{{{184},1}}	{100}	0	1		{}	{}	{}
216	审判者	0	4103040		dreamcard.card_name216	dreamcard.card_desc216	1	3	13		60	{180}	{{{187,191},6}}	{6}	0	1		{}	{}	{}
217	护身符	0	4103041		dreamcard.card_name217	dreamcard.card_desc217	1	2	13		45	{181}	{{1200,1}}	{1,1200}	0	1		{}	{}	{}
218	海鳝	1	4103042		dreamcard.card_name218	dreamcard.card_desc218	1	1	14		30	{182}	{{3,120}}	{3,120}	0	1		{}	{}	{}
219	海星	0	4103043		dreamcard.card_name219	dreamcard.card_desc219	1	2	14		45	{183}	{{3,1,{1},{14},{149,182,117}}}	{3}	0	1		{}	{}	{}
