id	随机类型(0、不填:独立随机；1:组合随机n选1;2:n选一后定组后再n选1 )	//注释	掉落物品组合{{{GDPL},权重,数量,掉落效果ID}}
6020		3.4勇者游戏基础掉落	{{{4,3,2,1},10000,20,203},{{5,3,1,3},10000,1,203},{{4,3,1,1},10000,3000,203}}
6021		3.5勇者游戏基础掉落	{{{4,3,2,1},10000,20,203},{{5,3,1,3},10000,1,203},{{4,3,1,1},10000,3000,203}}
6022		3.6勇者游戏基础掉落	{{{4,3,2,1},10000,20,203},{{5,3,1,3},10000,1,203},{{4,3,1,1},10000,3000,203}}
			
7000		明灯新仪关卡首通	{{{4,3,2,1},10000,50,101},{{5,23,1,2},10000,1,203}}
7001		明灯新仪剧情首通	{{{4,3,2,1},10000,20,101},{{5,23,1,2},10000,1,203}}
			
7002	1	DLC1复刷起于子半·简单	{{{5,23,1,1},10000,6,203}}
7003	1	DLC1复刷起于子半·普通	{{{5,23,1,1},10000,7,203}}
7004	1	DLC1复刷起于子半·困难	{{{5,23,1,1},10000,8,203}}
7005	1	DLC1复刷起于子半·恐惧	{{{5,23,1,1},10000,9,203}}
7006	1	DLC1复刷起于子半·噩梦	{{{5,23,1,1},10000,11,203}}
7007	1	DLC1复刷起于子半·深渊	{{{5,23,1,1},10000,15,203}}
			
7008		吉语币5	{{{5,23,1,1},10000,5,203}}
7009		吉语币10	{{{5,23,1,1},10000,10,203}}
7010		吉语币15通用银2000	{{{5,23,1,1},10000,15,203},{{4,3,1,1},10000,2000,101}}
7011		吉语币20通用银2000	{{{5,23,1,1},10000,20,203},{{4,3,1,1},10000,2000,101}}
7012		数据金10	{{{4,3,2,1},10000,10,101}}
7013		数据金5	{{{4,3,2,1},10000,5,101}}
			
8001	 	DLC1肉鸽首通1	{{{4,3,2,1},10000,20,101},{{5,23,1,2},10000,15,203}}
8002	 	DLC1肉鸽首通2	{{{5,23,1,1},10000,10,203},{{4,3,1,1},10000,3000,101}}
8003	 	DLC1肉鸽首通3	{{{5,23,1,1},10000,20,203},{{4,3,1,1},10000,5000,101}}
			
7021	1	DLC2复刷关难度1	{{{4,1,6,3},10000,6,203}}
7022	1	DLC2复刷关难度2	{{{4,1,6,3},10000,7,203}}
7023	1	DLC2复刷关难度3	{{{4,1,6,3},10000,8,203}}
7024	1	DLC2复刷关难度4	{{{4,1,6,3},10000,9,203}}
7025	1	DLC2复刷关难度5	{{{4,1,6,3},10000,11,203}}
7026	1	DLC2复刷关难度6	{{{4,1,6,3},10000,15,203}}
			
7031	1	DLC3材料本难度1	{{{4,1,10,1},10000,5,203}}
7032	1	DLC3材料本难度2	{{{4,1,10,1},10000,7,203}}
7033	1	DLC3材料本难度3	{{{4,1,10,1},10000,9,203}}
7034	1	DLC3材料本难度4	{{{4,1,10,1},10000,12,203}}
7035	1	DLC3材料本难度5	{{{4,1,10,1},10000,16,203}}
			
7041		DLC4材料本难度1	{{{5,29,1,1},10000,6,203}}
7042		DLC4材料本难度2	{{{5,29,1,1},10000,7,203}}
7043		DLC4材料本难度3	{{{5,29,1,1},10000,8,203}}
7044		DLC4材料本难度4	{{{5,29,1,1},10000,9,203}}
7045		DLC4材料本难度5	{{{5,29,1,1},10000,11,203}}
7046		DLC4材料本难度6	{{{5,29,1,1},10000,16,203}}
			
7051		DLC5材料本难度1	{{{5,29,2,1},10000,6,203}}
7052		DLC5材料本难度2	{{{5,29,2,1},10000,7,203}}
7053		DLC5材料本难度3	{{{5,29,2,1},10000,8,203}}
7054		DLC5材料本难度4	{{{5,29,2,1},10000,9,203}}
7055		DLC5材料本难度5	{{{5,29,2,1},10000,11,203}}
7056		DLC5材料本难度6	{{{5,29,2,1},10000,16,203}}
			
7061		DLC6材料本难度1	{{{5,30,2,2},10000,6,203}}
7062		DLC6材料本难度2	{{{5,30,2,2},10000,7,203}}
7063		DLC6材料本难度3	{{{5,30,2,2},10000,8,203}}
7064		DLC6材料本难度4	{{{5,30,2,2},10000,9,203}}
7065		DLC6材料本难度5	{{{5,30,2,2},10000,11,203}}
7066		DLC6材料本难度6	{{{5,30,2,2},10000,15,203}}
			
7071		DLC7材料本难度1	{{{5,29,3,1},10000,6,203}}
7072		DLC7材料本难度2	{{{5,29,3,1},10000,7,203}}
7073		DLC7材料本难度3	{{{5,29,3,1},10000,8,203}}
7074		DLC7材料本难度4	{{{5,29,3,1},10000,9,203}}
7075		DLC7材料本难度5	{{{5,29,3,1},10000,11,203}}
7076		DLC7材料本难度6	{{{5,29,3,1},10000,15,203}}
7077		DLC7主线首通-战斗关	{{{4,3,2,1},10000,50,101},{{5,29,3,2},10000,5,203}}
7078		DLC7主线首通-剧情关	{{{4,3,2,1},10000,20,101},{{5,29,3,2},10000,5,203}}
			
7080		新星开拓-爬塔首通1	{{{5,3,1,3},10000,1,203},{{4,3,1,1},10000,1000,203}}
7081		新星开拓-爬塔首通2	{{{5,1,1,3},10000,1,203},{{4,3,1,1},10000,1000,203}}
7082		新星开拓-爬塔首通3	{{{5,3,1,4},10000,1,203},{{4,3,1,1},10000,1000,203}}
7083		新星开拓-爬塔首通4	{{{5,3,1,3},10000,2,203},{{4,3,1,1},10000,1000,203}}
7084		新星开拓-爬塔首通5	{{{5,1,1,3},10000,2,203},{{4,3,1,1},10000,1000,203}}
7085		新星开拓-爬塔首通6	{{{5,3,1,3},10000,3,203},{{4,3,1,1},10000,1000,203}}
7086		新星开拓-爬塔首通7	{{{5,1,1,3},10000,3,203},{{4,3,1,1},10000,1000,203}}
7087		新星开拓-爬塔首通8	{{{5,3,1,4},10000,2,203},{{4,3,1,1},10000,1000,203}}
7088		新星开拓-爬塔困难首通1	{{{5,6,1,2},10000,1,203}}
7089		新星开拓-爬塔困难首通2	{{{4,3,1,1},10000,10000,203}}
7090		新星开拓-爬塔困难首通3	{{{5,9,1,3},10000,1,203}}
7097		新星开拓-爬塔困难首通4	{{{5,5,1,4},10000,1,203}}
7098		新星开拓-爬塔困难首通5	{{{4,3,2,1},10000,50,203}}
			
7091		DLC8材料本难度1	{{{5,29,4,1},10000,6,203}}
7092		DLC8材料本难度2	{{{5,29,4,1},10000,7,203}}
7093		DLC8材料本难度3	{{{5,29,4,1},10000,8,203}}
7094		DLC8材料本难度4	{{{5,29,4,1},10000,9,203}}
7095		DLC8材料本难度5	{{{5,29,4,1},10000,11,203}}
7096		DLC8材料本难度6	{{{5,29,4,1},10000,15,203}}
			
			
7101		DLC9材料本难度1	{{{5,29,5,1},10000,6,203}}
7102		DLC9材料本难度2	{{{5,29,5,1},10000,7,203}}
7103		DLC9材料本难度3	{{{5,29,5,1},10000,8,203}}
7104		DLC9材料本难度4	{{{5,29,5,1},10000,9,203}}
7105		DLC9材料本难度5	{{{5,29,5,1},10000,11,203}}
7106		DLC9材料本难度6	{{{5,29,5,1},10000,15,203}}
			
7111	1	DLC9新星开拓2期-普通鱼点额外奖励	{{{5,25,2,6},3000,1,203},{{5,25,2,2},6000,10,203},{{5,25,2,3},1000,5,203}}
7112	1	DLC9新星开拓2期-高级鱼点额外奖励	{{{5,25,2,6},3500,1,203},{{5,25,2,3},5500,5,203},{{5,25,2,4},1000,3,203}}
7113	1	DLC9新星开拓2期-稀有鱼点额外奖励	{{{5,25,2,6},4000,1,203},{{5,25,2,4},5000,3,203},{{5,25,2,6},1000,2,203}}
7114	1	DLC9新星开拓2期-普通劝降掉落奖励	{{{4,1,6,9},1000,1,203}}
7115	1	DLC9新星开拓2期-高级劝降掉落奖励	{{{4,1,6,9},1500,1,203}}
7116	1	DLC9新星开拓2期-稀有劝降掉落奖励	{{{4,1,6,9},2000,1,203}}
			
7120	1	DLC2.5新星开拓3期-月溶草	{{{5,25,1,4},6000,1,203},{{5,25,1,4},3000,2,203},{{5,25,1,4},1000,2,203}}
7121	1	DLC2.5新星开拓3期-紫绒球	{{{5,25,1,5},9000,1,203},{{5,25,1,5},1000,2,203}}
7122	1	DLC2.5新星开拓3期-夜莲花	{{{5,25,1,6},9000,1,203},{{5,25,1,6},1000,2,203}}
7123	1	DLC2.5新星开拓3期-铃铛花	{{{5,25,1,7},9000,1,203},{{5,25,1,7},1000,2,203}}
7124	1	DLC2.5新星开拓3期-灯芯果	{{{5,25,1,8},9000,1,203},{{5,25,1,8},1000,2,203}}
			
7130		DLC2.5新星开拓3期-解密点奖励	{{{4,1,6,8},10000,1000,203},{{4,3,1,1},10000,2000,203},{{4,1,6,9},10000,5,203}}
7151		DLC10材料本难度1	{{{5,29,6,1},10000,6,203}}
7152		DLC10材料本难度2	{{{5,29,6,1},10000,7,203}}
7153		DLC10材料本难度3	{{{5,29,6,1},10000,8,203}}
7154		DLC10材料本难度4	{{{5,29,6,1},10000,9,203}}
7155		DLC10材料本难度5	{{{5,29,6,1},10000,11,203}}
7156		DLC10材料本难度6	{{{5,29,6,1},10000,15,203}}
			
7161		DLC11材料本难度1	{{{5,29,7,1},10000,6,203}}
7162		DLC11材料本难度2	{{{5,29,7,1},10000,7,203}}
7163		DLC11材料本难度3	{{{5,29,7,1},10000,8,203}}
7164		DLC11材料本难度4	{{{5,29,7,1},10000,9,203}}
7165		DLC11材料本难度5	{{{5,29,7,1},10000,11,203}}
7166		DLC11材料本难度6	{{{5,29,7,1},10000,15,203}}
7167		DLC11主线首通-战斗关	{{{4,3,2,1},10000,50,101},{{5,29,7,2},10000,5,203}}
7168		DLC11主线首通-剧情关	{{{4,3,2,1},10000,20,101},{{5,29,7,2},10000,5,203}}
			
7171		DLC23材料本难度1	{{{5,29,8,1},10000,6,203}}
7172		DLC23材料本难度2	{{{5,29,8,1},10000,7,203}}
7173		DLC23材料本难度3	{{{5,29,8,1},10000,8,203}}
7174		DLC23材料本难度4	{{{5,29,8,1},10000,9,203}}
7175		DLC23材料本难度5	{{{5,29,8,1},10000,11,203}}
7176		DLC23材料本难度6	{{{5,29,8,1},10000,15,203}}
			
7181		DLC24材料本难度1	{{{5,29,9,1},10000,6,203}}
7182		DLC24材料本难度2	{{{5,29,9,1},10000,7,203}}
7183		DLC24材料本难度3	{{{5,29,9,1},10000,8,203}}
7184		DLC24材料本难度4	{{{5,29,9,1},10000,9,203}}
7185		DLC24材料本难度5	{{{5,29,9,1},10000,11,203}}
7186		DLC24材料本难度6	{{{5,29,9,1},10000,15,203}}
			
7191		DLC25材料本难度1	{{{5,29,10,1},10000,6,203}}
7192		DLC25材料本难度2	{{{5,29,10,1},10000,7,203}}
7193		DLC25材料本难度3	{{{5,29,10,1},10000,8,203}}
7194		DLC25材料本难度4	{{{5,29,10,1},10000,9,203}}
7195		DLC25材料本难度5	{{{5,29,10,1},10000,11,203}}
7196		DLC25材料本难度6	{{{5,29,10,1},10000,15,203}}
			
7201		DLC26材料本难度1	{{{5,29,11,1},10000,6,203}}
7202		DLC26材料本难度2	{{{5,29,11,1},10000,7,203}}
7203		DLC26材料本难度3	{{{5,29,11,1},10000,8,203}}
7204		DLC26材料本难度4	{{{5,29,11,1},10000,9,203}}
7205		DLC26材料本难度5	{{{5,29,11,1},10000,11,203}}
7206		DLC26材料本难度6	{{{5,29,11,1},10000,15,203}}
			
7207		DLC26主线首通-战斗关	{{{4,3,2,1},10000,50,101},{{5,29,11,2},10000,5,203}}
7208		DLC26主线首通-剧情关	{{{4,3,2,1},10000,20,101},{{5,29,11,2},10000,5,203}}
			
7211		DLC26材料本难度1	{{{5,29,12,1},10000,6,203}}
7212		DLC26材料本难度2	{{{5,29,12,1},10000,7,203}}
7213		DLC26材料本难度3	{{{5,29,12,1},10000,8,203}}
7214		DLC26材料本难度4	{{{5,29,12,1},10000,9,203}}
7215		DLC26材料本难度5	{{{5,29,12,1},10000,11,203}}
7216		DLC26材料本难度6	{{{5,29,12,1},10000,15,203}}
			
7217		DLC28材料本难度1	{{{5,29,13,1},10000,6,203}}
7218		DLC28材料本难度2	{{{5,29,13,1},10000,7,203}}
7219		DLC28材料本难度3	{{{5,29,13,1},10000,8,203}}
7220		DLC28材料本难度4	{{{5,29,13,1},10000,9,203}}
7221		DLC28材料本难度5	{{{5,29,13,1},10000,11,203}}
7222		DLC28材料本难度6	{{{5,29,13,1},10000,15,203}}
			
7223		DLC28复刻DLC7主线首通-战斗关	{{{5,29,3,4},10000,10,203}}
7224		DLC28复刻DLC7主线首通-剧情关	{{{5,29,3,4},10000,10,203}}
			
7225		DLC28复刻DLC7材料本难度1	{{{5,29,3,3},10000,6,203}}
7226		DLC28复刻DLC7材料本难度2	{{{5,29,3,3},10000,7,203}}
7227		DLC28复刻DLC7材料本难度3	{{{5,29,3,3},10000,8,203}}
7228		DLC28复刻DLC7材料本难度4	{{{5,29,3,3},10000,9,203}}
7229		DLC28复刻DLC7材料本难度5	{{{5,29,3,3},10000,11,203}}
7230		DLC28复刻DLC7材料本难度6	{{{5,29,3,3},10000,15,203}}
			
7231		DLC30材料本难度1	{{{5,29,14,1},10000,6,203}}
7232		DLC30材料本难度2	{{{5,29,14,1},10000,7,203}}
7233		DLC30材料本难度3	{{{5,29,14,1},10000,8,203}}
7234		DLC30材料本难度4	{{{5,29,14,1},10000,9,203}}
7235		DLC30材料本难度5	{{{5,29,14,1},10000,11,203}}
7236		DLC30材料本难度6	{{{5,29,14,1},10000,15,203}}
			
7237		DLC31材料本难度1	{{{5,29,15,1},10000,6,203}}
7238		DLC31材料本难度2	{{{5,29,15,1},10000,7,203}}
7239		DLC31材料本难度3	{{{5,29,15,1},10000,8,203}}
7240		DLC31材料本难度4	{{{5,29,15,1},10000,9,203}}
7241		DLC31材料本难度5	{{{5,29,15,1},10000,11,203}}
7242		DLC31材料本难度6	{{{5,29,15,1},10000,15,203}}
			
7243		DLC31复刻DLC3主线首通-战斗关	{{{5,29,15,4},10000,10,203}}
7244		DLC31复刻DLC3主线首通-剧情关	{{{5,29,15,4},10000,10,203}}
			
7245		DLC31复刻DLC3材料本难度1	{{{5,29,15,3},10000,6,203}}
7246		DLC31复刻DLC3材料本难度2	{{{5,29,15,3},10000,7,203}}
7247		DLC31复刻DLC3材料本难度3	{{{5,29,15,3},10000,8,203}}
7248		DLC31复刻DLC3材料本难度4	{{{5,29,15,3},10000,9,203}}
7249		DLC31复刻DLC3材料本难度5	{{{5,29,15,3},10000,11,203}}
7250		DLC31复刻DLC3材料本难度6	{{{5,29,15,3},10000,15,203}}
			
7251		DLC32材料本难度1	{{{5,29,16,1},10000,6,203}}
7252		DLC32材料本难度2	{{{5,29,16,1},10000,7,203}}
7253		DLC32材料本难度3	{{{5,29,16,1},10000,8,203}}
7254		DLC32材料本难度4	{{{5,29,16,1},10000,9,203}}
7255		DLC32材料本难度5	{{{5,29,16,1},10000,11,203}}
7256		DLC32材料本难度6	{{{5,29,16,1},10000,15,203}}
7257		DLC32主线首通-战斗关	{{{4,3,2,1},10000,50,101},{{5,29,16,2},10000,5,203}}
7258		DLC32主线首通-剧情关	{{{4,3,2,1},10000,20,101},{{5,29,16,2},10000,5,203}}
			
7259		DLC33材料本难度1	{{{5,29,17,1},10000,6,203}}
7260		DLC33材料本难度2	{{{5,29,17,1},10000,7,203}}
7261		DLC33材料本难度3	{{{5,29,17,1},10000,8,203}}
7262		DLC33材料本难度4	{{{5,29,17,1},10000,9,203}}
7263		DLC33材料本难度5	{{{5,29,17,1},10000,11,203}}
7264		DLC33材料本难度6	{{{5,29,17,1},10000,15,203}}
			
7265		DLC33复刻DLC11材料本难度1	{{{5,29,17,3},10000,6,203}}
7266		DLC33复刻DLC11材料本难度2	{{{5,29,17,3},10000,7,203}}
7267		DLC33复刻DLC11材料本难度3	{{{5,29,17,3},10000,8,203}}
7268		DLC33复刻DLC11材料本难度4	{{{5,29,17,3},10000,9,203}}
7269		DLC33复刻DLC11材料本难度5	{{{5,29,17,3},10000,11,203}}
7270		DLC33复刻DLC11材料本难度6	{{{5,29,17,3},10000,15,203}}
7271		DLC33复刻DLC11主线首通-战斗关	{{{5,29,17,4},10000,10,203}}
7272		DLC33复刻DLC11主线首通-剧情关	{{{5,29,17,4},10000,10,203}}
			
7273		DLC34材料本难度1	{{{5,29,18,1},10000,6,203}}
7274		DLC34材料本难度2	{{{5,29,18,1},10000,7,203}}
7275		DLC34材料本难度3	{{{5,29,18,1},10000,8,203}}
7276		DLC34材料本难度4	{{{5,29,18,1},10000,9,203}}
7277		DLC34材料本难度5	{{{5,29,18,1},10000,11,203}}
7278		DLC34材料本难度6	{{{5,29,18,1},10000,15,203}}
			
7279		DLC35材料本难度1	{{{5,29,19,1},10000,6,203}}
7280		DLC35材料本难度2	{{{5,29,19,1},10000,7,203}}
7281		DLC35材料本难度3	{{{5,29,19,1},10000,8,203}}
7282		DLC35材料本难度4	{{{5,29,19,1},10000,9,203}}
7283		DLC35材料本难度5	{{{5,29,19,1},10000,11,203}}
7284		DLC35材料本难度6	{{{5,29,19,1},10000,15,203}}
			
7285		DLC33材料本难度1	{{{5,29,20,1},10000,6,203}}
7286		DLC33材料本难度2	{{{5,29,20,1},10000,7,203}}
7287		DLC33材料本难度3	{{{5,29,20,1},10000,8,203}}
7288		DLC33材料本难度4	{{{5,29,20,1},10000,9,203}}
7289		DLC33材料本难度5	{{{5,29,20,1},10000,11,203}}
7290		DLC33材料本难度6	{{{5,29,20,1},10000,15,203}}
			
7291		DLC33复刻DLC11材料本难度1	{{{5,29,20,3},10000,6,203}}
7292		DLC33复刻DLC11材料本难度2	{{{5,29,20,3},10000,7,203}}
7293		DLC33复刻DLC11材料本难度3	{{{5,29,20,3},10000,8,203}}
7294		DLC33复刻DLC11材料本难度4	{{{5,29,20,3},10000,9,203}}
7295		DLC33复刻DLC11材料本难度5	{{{5,29,20,3},10000,11,203}}
7296		DLC33复刻DLC11材料本难度6	{{{5,29,20,3},10000,15,203}}
7297		DLC33复刻DLC11主线首通-战斗关	{{{5,29,20,4},10000,10,203}}
7298		DLC33复刻DLC11主线首通-剧情关	{{{5,29,20,4},10000,10,203}}
			
7301		DLC3主线首通-战斗关	{{{4,3,2,1},10000,50,101},{{4,1,10,2},10000,5,203}}
7302		DLC3主线首通-剧情关	{{{4,3,2,1},10000,20,101},{{4,1,10,2},10000,5,203}}
7311		DLC3乱战宝礁首通	{{{4,1,11,1},10000,1,101},{{4,3,1,1},10000,2000,203}}
7312		DLC3乱战宝礁首通	{{{4,3,2,1},10000,20,101},{{4,1,11,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7313		DLC3乱战宝礁首通	{{{4,1,11,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7314		DLC3乱战宝礁首通	{{{4,1,11,1},10000,3,101},{{4,3,1,1},10000,2000,203}}
7315		DLC3乱战宝礁首通	{{{4,1,11,1},10000,5,101},{{4,3,1,1},10000,2000,203}}
7316		DLC3乱战宝礁首通	{{{4,1,12,1},10000,1,101},{{4,3,1,1},10000,2000,203}}
7317		DLC3乱战宝礁首通	{{{4,3,2,1},10000,20,101},{{4,1,12,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7318		DLC3乱战宝礁首通	{{{4,1,12,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7319		DLC3乱战宝礁首通	{{{4,1,12,1},10000,3,101},{{4,3,1,1},10000,2000,203}}
7320		DLC3乱战宝礁首通	{{{4,1,12,1},10000,5,101},{{4,3,1,1},10000,2000,203}}
7321		DLC3乱战宝礁首通	{{{4,1,13,1},10000,1,101},{{4,3,1,1},10000,2000,203}}
7322		DLC3乱战宝礁首通	{{{4,3,2,1},10000,20,101},{{4,1,13,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7323		DLC3乱战宝礁首通	{{{4,1,13,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7324		DLC3乱战宝礁首通	{{{4,1,13,1},10000,3,101},{{4,3,1,1},10000,2000,203}}
7325		DLC3乱战宝礁首通	{{{4,1,13,1},10000,5,101},{{4,3,1,1},10000,2000,203}}
7326		DLC3乱战宝礁首通	{{{4,1,14,1},10000,1,101},{{4,3,1,1},10000,2000,203}}
7327		DLC3乱战宝礁首通	{{{4,3,2,1},10000,20,101},{{4,1,14,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7328		DLC3乱战宝礁首通	{{{4,1,14,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7329		DLC3乱战宝礁首通	{{{4,1,14,1},10000,3,101},{{4,3,1,1},10000,2000,203}}
7330		DLC3乱战宝礁首通	{{{4,1,14,1},10000,5,101},{{4,3,1,1},10000,2000,203}}
7331		DLC3乱战宝礁首通	{{{4,1,15,1},10000,1,101},{{4,3,1,1},10000,2000,203}}
7332		DLC3乱战宝礁首通	{{{4,3,2,1},10000,20,101},{{4,1,15,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7333		DLC3乱战宝礁首通	{{{4,1,15,1},10000,2,101},{{4,3,1,1},10000,2000,203}}
7334		DLC3乱战宝礁首通	{{{4,1,15,1},10000,3,101},{{4,3,1,1},10000,2000,203}}
7335		DLC3乱战宝礁首通	{{{4,1,15,1},10000,5,101},{{4,3,1,1},10000,2000,203}}
			
7401		脉冲连袭教学奖励	{{{4,3,2,1},10000,20,101},{{4,3,1,1},10000,2000,203}}
			
7411		DLC33乐土之扉-常规1	{{{5,5,1,1},10000,1,203},{{4,3,1,1},10000,2000,203}}
7412		DLC33乐土之扉-常规2	{{{5,5,1,1},10000,1,203},{{4,3,1,1},10000,2000,203}}
7413		DLC33乐土之扉-常规3	{{{5,5,1,1},10000,2,203},{{4,3,1,1},10000,2000,203}}
7414		DLC33乐土之扉-挑战1	{{{5,5,1,3},10000,2,203},{{4,3,1,1},10000,6000,203}}
7415		DLC33乐土之扉-常规4	{{{5,5,1,1},10000,1,203},{{4,3,1,1},10000,2000,203}}
7416		DLC33乐土之扉-常规5	{{{5,5,1,1},10000,1,203},{{4,3,1,1},10000,2000,203}}
7417		DLC33乐土之扉-常规6	{{{5,5,1,1},10000,2,203},{{4,3,1,1},10000,2000,203}}
7418		DLC33乐土之扉-挑战2	{{{5,5,1,3},10000,2,203},{{4,3,1,1},10000,6000,203}}
7419		DLC33乐土之扉-常规7	{{{5,5,1,1},10000,1,203},{{4,3,1,1},10000,3000,203}}
7420		DLC33乐土之扉-常规8	{{{5,5,1,2},10000,1,203},{{4,3,1,1},10000,3000,203}}
7421		DLC33乐土之扉-常规9	{{{5,5,1,2},10000,2,203},{{4,3,1,1},10000,3000,203}}
7422		DLC33乐土之扉-挑战3	{{{5,5,1,3},10000,3,203},{{4,3,1,1},10000,8000,203}}
7423		DLC33乐土之扉-常规10	{{{5,5,1,1},10000,1,203},{{4,3,1,1},10000,3000,203}}
7424		DLC33乐土之扉-常规11	{{{5,5,1,2},10000,1,203},{{4,3,1,1},10000,3000,203}}
7425		DLC33乐土之扉-常规12	{{{5,5,1,2},10000,2,203},{{4,3,1,1},10000,3000,203}}
7426		DLC33乐土之扉-挑战4	{{{5,5,1,3},10000,3,203},{{4,3,1,1},10000,8000,203}}
7427		DLC33乐土之扉-常规13	{{{5,5,1,1},10000,2,203},{{4,3,1,1},10000,3000,203}}
7428		DLC33乐土之扉-常规14	{{{5,5,1,2},10000,2,203},{{4,3,1,1},10000,3000,203}}
7429		DLC33乐土之扉-常规15	{{{5,5,1,2},10000,3,203},{{4,3,1,1},10000,3000,203}}
7430		DLC33乐土之扉-挑战5	{{{5,5,1,3},10000,3,203},{{4,3,1,1},10000,8000,203}}
7431		DLC33乐土之扉-常规16	{{{5,5,1,1},10000,2,203},{{4,3,1,1},10000,3000,203}}
7432		DLC33乐土之扉-常规17	{{{5,5,1,2},10000,2,203},{{4,3,1,1},10000,3000,203}}
7433		DLC33乐土之扉-常规18	{{{5,5,1,2},10000,3,203},{{4,3,1,1},10000,3000,203}}
7434		DLC33乐土之扉-挑战6	{{{5,5,1,3},10000,3,203},{{4,3,1,1},10000,8000,203}}
