id	//注释	掉落组合{{组合ID,第几次执行,随机次数}}
7327	DLC3乱战宝礁首通	{{7327,1,1}}
7328	DLC3乱战宝礁首通	{{7328,1,1}}
7329	DLC3乱战宝礁首通	{{7329,1,1}}
7330	DLC3乱战宝礁首通	{{7330,1,1}}
7331	DLC3乱战宝礁首通	{{7331,1,1}}
7332	DLC3乱战宝礁首通	{{7332,1,1}}
7333	DLC3乱战宝礁首通	{{7333,1,1}}
7334	DLC3乱战宝礁首通	{{7334,1,1}}
7335	DLC3乱战宝礁首通	{{7335,1,1}}
		
7401	脉冲连袭教学奖励	{{7401,1,1}}
		
7411	DLC33乐土之扉-常规1	{{7411,1,1}}
7412	DLC33乐土之扉-常规2	{{7412,1,1}}
7413	DLC33乐土之扉-常规3	{{7413,1,1}}
7414	DLC33乐土之扉-挑战1	{{7414,1,1}}
7415	DLC33乐土之扉-常规4	{{7415,1,1}}
7416	DLC33乐土之扉-常规5	{{7416,1,1}}
7417	DLC33乐土之扉-常规6	{{7417,1,1}}
7418	DLC33乐土之扉-挑战2	{{7418,1,1}}
7419	DLC33乐土之扉-常规7	{{7419,1,1}}
7420	DLC33乐土之扉-常规8	{{7420,1,1}}
7421	DLC33乐土之扉-常规9	{{7421,1,1}}
7422	DLC33乐土之扉-挑战3	{{7422,1,1}}
7423	DLC33乐土之扉-常规10	{{7423,1,1}}
7424	DLC33乐土之扉-常规11	{{7424,1,1}}
7425	DLC33乐土之扉-常规12	{{7425,1,1}}
7426	DLC33乐土之扉-挑战4	{{7426,1,1}}
7427	DLC33乐土之扉-常规13	{{7427,1,1}}
7428	DLC33乐土之扉-常规14	{{7428,1,1}}
7429	DLC33乐土之扉-常规15	{{7429,1,1}}
7430	DLC33乐土之扉-挑战5	{{7430,1,1}}
7431	DLC33乐土之扉-常规16	{{7431,1,1}}
7432	DLC33乐土之扉-常规17	{{7432,1,1}}
7433	DLC33乐土之扉-常规18	{{7433,1,1}}
7434	DLC33乐土之扉-挑战6	{{7434,1,1}}
