区域名	位置	盒体范围	旋转	顶点A	顶点B	顶点C	顶点D	半径	类型(见region_type_define.txt)	对应的配置Id	形状(1-矩形;2-圆)	区域Id
darkzonetaskregionexit143_1	{1443.46,-69720.77,-1377.83}	{2675.0,3675.0,625.0}	{0.0,0.0,0.0}	{4118.46,-66045.77,-752.83}	{-1231.53,-66045.77,-1377.83}	{-1231.53,-73395.77,-2002.83}	{4118.46,-73395.77,-1377.83}	0.000000	2	143	1	143
darkzonetaskregionexit143_2	{-1396.85,-71460.86,-1377.83}	{900.0,1150.0,625.0}	{0.0,0.0,0.0}	{-496.85,-70310.86,-752.83}	{-2296.85,-70310.86,-1377.83}	{-2296.85,-72610.86,-2002.83}	{-496.85,-72610.86,-1377.83}	0.000000	2	143	1	143
darkzonetaskregionexit144_1	{-4120.55,-69065.7,-1345.0}	{1862.5,2150.0,750.0}	{0.0,0.0,0.0}	{-2258.05,-66915.7,-595.0}	{-5983.05,-66915.7,-1345.0}	{-5983.05,-71215.7,-2095.0}	{-2258.05,-71215.7,-1345.0}	0.000000	2	144	1	144
darkzonetaskregionexit145_1	{-1946.47,-79461.07,-1313.8}	{2362.5,4012.5,750.0}	{0.0,0.0,0.0}	{416.02,-75448.57,-563.8}	{-4308.97,-75448.57,-1313.8}	{-4308.97,-83473.57,-2063.8}	{416.02,-83473.57,-1313.8}	0.000000	2	145	1	145
darkzonetaskregionexit146_1	{-3127.77,-74680.8,-1706.12}	{7900.0,9650.0,675.0}	{0.0,0.0,0.0}	{4772.23,-65030.8,-1031.12}	{-11027.77,-65030.8,-1706.12}	{-11027.77,-84330.8,-2381.12}	{4772.23,-84330.8,-1706.12}	0.000000	2	146	1	146
darkzonetaskregionexit147_1	{-5408.16,-67725.63,1009.41}	{6650.0,8775.0,1250.0}	{0.0,0.0,0.0}	{1241.83,-58950.63,2259.41}	{-12058.16,-58950.63,1009.41}	{-12058.16,-76500.63,-240.58}	{1241.83,-76500.63,1009.41}	0.000000	2	147	1	147
darkzonetaskregionexit14_1	{-42386.62,37062.42,-1314.82}	{2125.0,2750.0,1225.0}	{0.0,0.0,0.0}	{-40261.62,39812.42,-89.82}	{-44511.62,39812.42,-1314.82}	{-44511.62,34312.42,-2539.82}	{-40261.62,34312.42,-1314.82}	0.000000	2	14	1	14
darkzonetaskregionexit15_1	{-44257.67,36821.15,1695.4}	{5100.0,8025.0,1912.5}	{0.0,0.0,0.0}	{-39157.67,44846.15,3607.9}	{-49357.67,44846.15,1695.4}	{-49357.67,28796.15,-217.09}	{-39157.67,28796.15,1695.4}	0.000000	2	15	1	15
darkzonetaskregionexit15_2	{-45621.62,24802.25,1695.4}	{5100.0,8025.0,1912.5}	{0.0,0.0,0.0}	{-40521.62,32827.25,3607.9}	{-50721.62,32827.25,1695.4}	{-50721.62,16777.25,-217.09}	{-40521.62,16777.25,1695.4}	0.000000	2	15	1	15
darkzonetaskregionexit15_3	{-40679.2,27958.08,1695.4}	{2512.5,3000.0,1912.5}	{0.0,0.0,0.0}	{-38166.7,30958.08,3607.9}	{-43191.7,30958.08,1695.4}	{-43191.7,24958.08,-217.09}	{-38166.7,24958.08,1695.4}	0.000000	2	15	1	15
darkzonetaskregionexit21_1	{-24661.82,19057.7,1522.02}	{3175.0,2375.0,2500.0}	{0.0,0.0,0.0}	{-21486.82,21432.71,4022.02}	{-27836.82,21432.71,1522.02}	{-27836.82,16682.7,-977.97}	{-21486.82,16682.7,1522.02}	0.000000	2	21	1	21
darkzonetaskregionexit22_1	{-31145.86,27102.14,983.99}	{3892.95,1092.95,1000.0}	{0.0,0.0,0.0}	{-27252.91,28195.1,1983.99}	{-35038.81,28195.1,983.99}	{-35038.81,26009.19,-16.0}	{-27252.91,26009.19,983.99}	0.000000	2	22	1	22
darkzonetaskregionexit23_1	{-30634.19,20177.8,984.02}	{3725.0,3187.5,1000.0}	{0.0,0.0,0.0}	{-26909.19,23365.3,1984.02}	{-34359.19,23365.3,984.02}	{-34359.19,16990.3,-15.97}	{-26909.19,16990.3,984.02}	0.000000	2	23	1	23
darkzonetaskregionexit23_2	{-36848.95,19120.73,984.02}	{2675.0,2137.5,1000.0}	{0.0,0.0,0.0}	{-34173.95,21258.23,1984.02}	{-39523.95,21258.23,984.02}	{-39523.95,16983.23,-15.97}	{-34173.95,16983.23,984.02}	0.000000	2	23	1	23
darkzonetaskregionexit24_1	{-34219.78,22058.98,1498.07}	{2900.0,1987.5,650.0}	{0.0,0.0,0.0}	{-31319.78,24046.48,2148.07}	{-37119.78,24046.48,1498.07}	{-37119.78,20071.48,848.07}	{-31319.78,20071.48,1498.07}	0.000000	2	24	1	24
darkzonetaskregionexit25_1	{-31592.89,25048.0,1548.02}	{11150.0,8087.5,2500.0}	{0.0,0.0,0.0}	{-20442.89,33135.5,4048.02}	{-42742.89,33135.5,1548.02}	{-42742.89,16960.5,-951.97}	{-20442.89,16960.5,1548.02}	0.000000	2	25	1	25
darkzonetaskregionexit25_2	{-39086.17,15269.36,1548.01}	{1812.5,2287.5,2500.0}	{0.0,0.0,0.0}	{-37273.67,17556.86,4048.01}	{-40898.67,17556.86,1548.01}	{-40898.67,12981.86,-951.98}	{-37273.67,12981.86,1548.01}	0.000000	2	25	1	25
darkzonetaskregionexit26_1	{-30903.13,22753.57,1548.01}	{9787.5,7237.5,2500.0}	{0.0,0.0,0.0}	{-21115.63,29991.07,4048.01}	{-40690.63,29991.07,1548.01}	{-40690.63,15516.07,-951.98}	{-21115.63,15516.07,1548.01}	0.000000	2	26	1	26
darkzonetaskregionexit4	{-30162.38,7334.87,1420.95}	{7687.5,6562.5,1587.5}	{0.0,0.0,0.0}	{-22474.88,13897.37,3008.45}	{-37849.88,13897.37,1420.95}	{-37849.88,772.37,-166.54}	{-22474.88,772.37,1420.95}	0.000000	2	43	1	43
darkzonetaskregionexit414	{-23985.21,4901.18,358.32}	{1037.5,1575.0,1462.5}	{0.0,0.0,0.0}	{-22947.71,6476.18,1820.82}	{-25022.71,6476.18,358.32}	{-25022.71,3326.18,-1104.17}	{-22947.71,3326.18,358.32}	0.000000	2	41	1	41
darkzonetaskregionexit415	{-26327.69,7446.22,774.58}	{2512.5,3050.0,1462.5}	{0.0,0.0,0.0}	{-23815.19,10496.22,2237.08}	{-28840.19,10496.22,774.58}	{-28840.19,4396.22,-687.91}	{-23815.19,4396.22,774.58}	0.000000	2	46	1	46
darkzonetaskregionexit44_1	{-30276.37,7518.57,808.65}	{7287.5,6175.0,912.5}	{0.0,0.0,0.0}	{-22988.87,13693.57,1721.15}	{-37563.87,13693.57,808.65}	{-37563.87,1343.57,-103.84}	{-22988.87,1343.57,808.65}	0.000000	2	44	1	44
darkzonetaskregionexit44_2	{-21461.45,5006.78,808.65}	{3787.5,3987.5,912.5}	{0.0,0.0,0.0}	{-17673.95,8994.28,1721.15}	{-25248.95,8994.28,808.65}	{-25248.95,1019.28,-103.84}	{-17673.95,1019.28,808.65}	0.000000	2	44	1	44
darkzonetaskregionexit45	{-32064.08,11491.62,796.1}	{2037.5,1525.0,850.0}	{0.0,0.0,0.0}	{-30026.58,13016.62,1646.1}	{-34101.58,13016.62,796.1}	{-34101.58,9966.62,-53.89}	{-30026.58,9966.62,796.1}	0.000000	2	45	1	45
darkzonetaskregionexit5	{-38452.94,9954.09,1420.95}	{2012.5,3275.0,1587.5}	{0.0,0.0,0.0}	{-36440.44,13229.09,3008.45}	{-40465.44,13229.09,1420.95}	{-40465.44,6679.09,-166.54}	{-36440.44,6679.09,1420.95}	0.000000	2	43	1	43
darkzonetaskregionexit52	{-33461.71,5888.74,867.55}	{3337.5,2612.5,1237.5}	{0.0,0.0,0.0}	{-30124.21,8501.24,2105.05}	{-36799.21,8501.24,867.55}	{-36799.21,3276.24,-369.94}	{-30124.21,3276.24,867.55}	0.000000	2	42	1	42
darkzonetaskregionexit61	{-12404.55,7932.45,152.37}	{7750.0,7750.0,2500.0}	{0.0,0.0,0.0}	{-4654.55,15682.45,2652.37}	{-20154.55,15682.45,152.37}	{-20154.55,182.45,-2347.62}	{-4654.55,182.45,152.37}	0.000000	2	61	1	61
darkzonetaskregionexit621	{-9267.92,6626.85,-996.58}	{4000.0,4000.0,2000.0}	{0.0,0.0,0.0}	{-5267.92,10626.86,1003.41}	{-13267.92,10626.86,-996.58}	{-13267.92,2626.85,-2996.58}	{-5267.92,2626.85,-996.58}	0.000000	2	62	1	62
darkzonetaskregionexit641	{-6790.05,13127.08,0.0}	{3500.0,3500.0,2000.0}	{0.0,0.0,0.0}	{-3290.05,16627.08,1999.99}	{-10290.05,16627.08,0.0}	{-10290.05,9627.08,-2000.0}	{-3290.05,9627.08,0.0}	0.000000	2	64	1	64
darkzonetaskregionexit651	{-2584.88,3075.4,0.0}	{3500.0,3500.0,2000.0}	{0.0,0.0,0.0}	{915.11,6575.4,1999.99}	{-6084.88,6575.4,0.0}	{-6084.88,-424.59,-2000.0}	{915.11,-424.59,0.0}	0.000000	2	65	1	65
darkzonetaskregionexit652	{-12927.66,9395.1,-1182.73}	{3500.0,3500.0,2000.0}	{0.0,0.0,0.0}	{-9427.66,12895.1,817.26}	{-16427.66,12895.1,-1182.73}	{-16427.66,5895.1,-3182.73}	{-9427.66,5895.1,-1182.73}	0.000000	2	63	1	63
darkzonetaskregionexit661	{-17369.71,11188.45,-1333.33}	{3500.0,3500.0,2000.0}	{0.0,0.0,0.0}	{-13869.71,14688.45,666.66}	{-20869.71,14688.45,-1333.33}	{-20869.71,7688.45,-3333.33}	{-13869.71,7688.45,-1333.33}	0.000000	2	66	1	66
darkzonetaskregionexit91_1	{-15547.0,-8340.0,-151.0}	{3500.0,3000.0,2500.0}	{0.0,0.0,0.0}	{-12047.0,-5340.0,2349.0}	{-19047.0,-5340.0,-151.0}	{-19047.0,-11340.0,-2651.0}	{-12047.0,-11340.0,-151.0}	0.000000	2	91	1	91
darkzonetaskregionexit92_1	{-15401.99,-3315.99,868.24}	{3500.0,3500.0,1500.0}	{0.0,0.0,0.0}	{-11901.99,184.0,2368.24}	{-18901.99,184.0,868.24}	{-18901.99,-6815.99,-631.75}	{-11901.99,-6815.99,868.24}	0.000000	2	92	1	92
darkzonetaskregionexit93_1	{-9655.0,-3335.0,-552.0}	{3000.0,2500.0,2500.0}	{0.0,0.0,0.0}	{-6655.0,-835.0,1948.0}	{-12655.0,-835.0,-552.0}	{-12655.0,-5835.0,-3052.0}	{-6655.0,-5835.0,-552.0}	0.000000	2	93	1	93
darkzonetaskregionexit94_1	{-3565.0,-5215.0,1031.0}	{2500.0,5000.0,1500.0}	{0.0,0.0,0.0}	{-1065.0,-215.0,2531.0}	{-6065.0,-215.0,1031.0}	{-6065.0,-10215.0,-469.0}	{-1065.0,-10215.0,1031.0}	0.000000	2	94	1	94
darkzonetaskregionexit95_1	{-10070.0,-10283.0,991.49}	{8500.0,10000.0,1500.0}	{0.0,0.0,0.0}	{-1570.0,-283.0,2491.49}	{-18570.0,-283.0,991.49}	{-18570.0,-20283.0,-508.5}	{-1570.0,-20283.0,991.49}	0.000000	2	95	1	95
darkzonetaskregionexit96_1	{-10244.0,-7429.0,-68.5}	{9000.0,7500.0,2500.0}	{0.0,0.0,0.0}	{-1244.0,71.0,2431.49}	{-19244.0,71.0,-68.5}	{-19244.0,-14929.0,-2568.5}	{-1244.0,-14929.0,-68.5}	0.000000	2	96	1	96
fogtrigger_1_1	{-35189.11,33303.71,-2554.96}	{4000.0,4000.0,2500.0}	{0.0,0.0,0.0}	{-31189.11,37303.71,-54.96}	{-39189.11,37303.71,-2554.96}	{-39189.11,29303.71,-5054.96}	{-31189.11,29303.71,-2554.96}	0.000000	12	81626	1	0
fogtrigger_1_2	{-40759.11,33122.02,-1686.96}	{2500.0,1400.0,1500.0}	{0.0,0.0,0.0}	{-38259.11,34522.02,-186.96}	{-43259.11,34522.02,-1686.96}	{-43259.11,31722.02,-3186.96}	{-38259.11,31722.02,-1686.96}	0.000000	12	81628	1	0
fogtrigger_2_1	{-36915.65,29484.33,1017.06}	{15000.0,12500.0,2500.0}	{0.0,0.0,0.0}	{-21915.65,41984.33,3517.06}	{-51915.65,41984.33,1017.06}	{-51915.65,16984.33,-1482.93}	{-21915.65,16984.33,1017.06}	0.000000	12	81630	1	0
fogtrigger_2_2	{-39049.65,16656.83,461.07}	{900.0,1000.0,500.0}	{0.0,0.0,0.0}	{-38149.65,17656.83,961.07}	{-39949.65,17656.83,461.07}	{-39949.65,15656.83,-38.92}	{-38149.65,15656.83,461.07}	0.000000	12	81632	1	0
fogtrigger_2_3	{-38189.65,16066.83,141.07}	{500.0,250.0,250.0}	{0.0,0.0,0.0}	{-37689.65,16316.83,391.07}	{-38689.65,16316.83,141.07}	{-38689.65,15816.83,-108.92}	{-37689.65,15816.83,141.07}	0.000000	12	81634	1	0
fogtrigger_3_1	{-16711.65,-8084.66,-998.92}	{40000.0,25000.0,3500.0}	{0.0,0.0,0.0}	{23288.34,16915.33,2501.07}	{-56711.65,16915.33,-998.92}	{-56711.65,-33084.66,-4498.92}	{23288.34,-33084.66,-998.92}	0.000000	12	81636	1	0
fogtrigger_3_2	{-16711.65,-55697.67,-998.92}	{40000.0,25000.0,3500.0}	{0.0,0.0,0.0}	{23288.34,-30697.66,2501.07}	{-56711.65,-30697.66,-998.92}	{-56711.65,-80697.67,-4498.92}	{23288.34,-80697.67,-998.92}	0.000000	12	81638	1	0
fogtrigger_5_1	{10629.87,-8424.98,-2082.19}	{10000.0,10000.0,1000.0}	{0.0,0.0,0.0}	{20629.87,1575.01,-1082.19}	{629.87,1575.01,-2082.19}	{629.87,-18424.98,-3082.19}	{20629.87,-18424.98,-2082.19}	0.000000	12	81640	1	0
fogtrigger_8_1	{-409.27,-75192.63,-1140.4}	{13000.0,7500.0,5000.0}	{0.0,0.0,0.0}	{12590.72,-67692.63,3859.59}	{-13409.27,-67692.63,-1140.4}	{-13409.27,-82692.63,-6140.4}	{12590.72,-82692.63,-1140.4}	0.000000	12	81642	1	0
fogtrigger_8_2	{-324.27,-67765.63,-1140.4}	{11000.0,2500.0,5000.0}	{0.0,0.0,0.0}	{10675.72,-65265.63,3859.59}	{-11324.27,-65265.63,-1140.4}	{-11324.27,-70265.63,-6140.4}	{10675.72,-70265.63,-1140.4}	0.000000	12	81644	1	0
fogtrigger_8_3	{-311.27,-64008.63,-1140.4}	{6000.0,2500.0,5000.0}	{0.0,0.0,0.0}	{5688.72,-61508.63,3859.59}	{-6311.27,-61508.63,-1140.4}	{-6311.27,-66508.63,-6140.4}	{5688.72,-66508.63,-1140.4}	0.000000	12	81646	1	0
fogtrigger_9_1	{542.72,-72573.63,-2843.4}	{12500.0,10000.0,2500.0}	{0.0,0.0,0.0}	{13042.72,-62573.63,-343.4}	{-11957.27,-62573.63,-2843.4}	{-11957.27,-82573.63,-5343.4}	{13042.72,-82573.63,-2843.4}	0.000000	12	81648	1	0
