所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
	256	int09_102_1	{-6051.99,-2582.65,493.44}	{0.0,-49.99,89.99}	1	102		9
	257	int09_102_10	{-12560.3,-304.99,80.33}	{-40.0,0.0,90.0}	1	102		9
	258	int09_102_11	{-14686.98,-4551.99,515.69}	{-179.99,49.99,90.0}	1	102		9
	259	int09_102_12	{-6112.66,-5286.39,38.85}	{-10.31,17.22,58.43}	1	102		9
	260	int09_102_13	{-10786.98,-13417.0,1032.99}	{49.99,0.0,50.0}	1	102		9
	261	int09_102_14	{-17995.28,-10575.76,1647.61}	{-179.99,-59.99,-139.99}	1	102		9
	262	int09_102_15	{-19096.98,-16574.0,677.35}	{0.0,0.0,90.0}	1	102		9
	263	int09_102_16	{-17136.98,-15102.0,1161.35}	{0.0,-39.99,90.0}	1	102		9
	264	int09_102_17	{-13051.89,-14949.82,368.25}	{26.56,14.47,63.43}	1	102		9
	265	int09_102_18	{-15205.98,-13382.99,1111.08}	{0.0,-39.99,90.0}	1	102		9
	266	int09_102_19	{-15121.07,-16432.85,621.8}	{0.0,-19.99,50.0}	1	102		9
	267	int09_102_2	{-5116.44,-4489.01,21.95}	{-27.49,-9.84,61.51}	1	102		9
	268	int09_102_20	{-12862.91,-16536.26,1054.47}	{0.0,69.99,119.99}	1	102		9
	269	int09_102_21	{-12901.98,-14908.99,1082.08}	{179.99,-39.99,-129.99}	1	102		9
	270	int09_102_22	{-14750.98,-11663.99,1113.08}	{179.99,-90.0,-90.0}	1	102		9
	271	int09_102_23	{-10833.98,-16439.99,1262.08}	{0.0,-29.99,90.0}	1	102		9
	272	int09_102_24	{-7084.98,-16605.99,951.29}	{0.0,0.0,90.0}	1	102		9
	273	int09_102_25	{-8454.98,-13102.99,1269.88}	{-22.76,33.82,102.99}	1	102		9
	274	int09_102_26	{-13093.98,-16388.99,690.3}	{50.0,0.0,49.99}	1	102		9
	275	int09_102_27	{-7418.99,-6208.99,51.69}	{40.0,0.0,39.99}	1	102		9
	276	int09_102_28	{-7338.99,-4409.99,-938.3}	{11.17,-28.02,117.2}	1	102		9
	277	int09_102_29	{-12295.98,-4971.99,81.69}	{-30.0,0.0,130.0}	1	102		9
	278	int09_102_3	{-1342.56,-3046.13,692.67}	{-39.99,0.0,29.99}	1	102		9
	279	int09_102_30	{-13065.98,-7117.99,41.69}	{-30.0,0.0,160.0}	1	102		9
	280	int09_102_31	{-18223.98,-4047.99,81.69}	{0.0,20.0,130.0}	1	102		9
	281	int09_102_32	{-18083.98,-10899.99,61.69}	{20.0,0.0,90.0}	1	102		9
	282	int09_102_33	{-7228.99,-941.99,41.69}	{0.0,-19.99,110.0}	1	102		9
	283	int09_102_34	{-9483.99,-1098.99,-44.3}	{-90.0,90.0,0.0}	1	102		9
	284	int09_102_35	{-6041.98,-9385.99,703.73}	{-179.99,39.99,-139.99}	1	102		9
	285	int09_102_36	{-3187.98,-10209.99,4.87}	{21.31,-4.98,60.37}	1	102		9
	286	int09_102_37	{-7945.98,-10456.99,7.84}	{-179.99,39.99,119.99}	1	102		9
	287	int09_102_38	{-10247.98,-10358.99,262.83}	{-179.99,0.0,89.99}	1	102		9
	288	int09_102_39	{-12985.98,-10478.99,11.69}	{-7.09,-18.74,-38.82}	1	102		9
	289	int09_102_4	{-5242.98,-10202.99,276.17}	{30.0,0.0,90.0}	1	102		9
	290	int09_102_40	{-17945.98,-8403.99,-644.33}	{-179.99,0.0,89.99}	1	102		9
	291	int09_102_41	{-13430.98,-6497.99,6.69}	{-179.99,0.0,89.99}	1	102		9
	292	int09_102_42	{-11548.98,-11952.99,477.69}	{140.0,-39.99,60.0}	1	102		9
	293	int09_102_43	{-5499.98,-14224.99,559.87}	{68.19,-90.0,21.8}	1	102		9
	294	int09_102_44	{-7348.98,-8369.99,-808.32}	{9.14,-33.19,114.52}	1	102		9
	295	int09_102_45	{-4685.99,-173.99,671.69}	{0.0,0.0,90.0}	1	102		9
	296	int09_102_46	{-2273.99,-1600.99,1005.66}	{0.0,0.0,90.0}	1	102		9
	297	int09_102_47	{-4281.99,-3073.99,1691.66}	{0.0,0.0,90.0}	1	102		9
	298	int09_102_48	{-4241.98,-9379.99,318.08}	{-129.99,0.0,49.99}	1	102		9
	299	int09_102_49	{-1402.99,-6915.99,33.08}	{-18.68,-4.98,-159.62}	1	102		9
	300	int09_102_5	{-7428.98,-10793.99,15.24}	{-18.88,6.71,108.88}	1	102		9
	301	int09_102_50	{-3185.99,-4530.99,704.09}	{179.99,-40.0,-39.99}	1	102		9
	302	int09_102_51	{-9640.98,-14991.99,1145.08}	{-179.99,49.99,-89.99}	1	102		9
	303	int09_102_52	{-15260.98,-14899.0,130.99}	{39.99,0.0,79.99}	1	102		9
	304	int09_102_53	{-9440.98,-9043.99,1569.88}	{0.0,49.99,90.0}	1	102		9
	305	int09_102_54	{-15581.98,-7856.99,0.88}	{179.99,0.0,89.99}	1	102		9
	306	int09_102_55	{-9656.99,-3842.99,-565.3}	{20.36,-22.52,5.9}	1	102		9
	307	int09_102_56	{-10421.98,-9558.99,-248.3}	{-179.99,0.0,-89.99}	1	102		9
	308	int09_102_57	{-12100.98,-8113.99,-320.3}	{-139.99,0.0,59.99}	1	102		9
	309	int09_102_6	{-10143.98,-5395.99,-303.3}	{-170.36,-22.52,134.09}	1	102		9
	310	int09_102_7	{-13057.19,-11941.15,1106.41}	{0.0,30.0,50.0}	1	102		9
	311	int09_102_8	{-15581.98,-7894.99,1379.88}	{0.0,0.0,89.99}	1	102		9
	312	int09_102_9	{-8472.06,-16414.15,1379.61}	{41.76,-15.18,76.83}	1	102		9
	313	int09_103_1	{-18893.99,-16388.0,95.25}	{0.0,0.0,0.0}	1	103	{7506}	9
	314	int09_103_2	{-9644.03,-14720.02,15.24}	{0.0,0.0,0.0}	1	103	{7209}	9
	315	int09_103_3	{-2913.99,-15378.0,15.24}	{0.0,0.0,0.0}	1	103	{7211}	9
	316	int09_103_4	{-17806.03,-8102.02,-1332.65}	{0.0,0.0,0.0}	1	103	{7213}	9
	317	int09_103_5	{-10725.97,-11941.66,1560.0}	{0.0,0.0,0.0}	1	103	{7217}	9
	318	int09_104_1	{-15302.99,-447.0,525.04}	{0.0,0.0,90.0}	1	104		9
	319	int09_104_10	{-13015.99,-7858.99,320.6}	{0.0,0.0,179.99}	1	104		9
	320	int09_104_11	{-17132.99,-15847.0,341.75}	{0.0,0.0,90.0}	1	104		9
	321	int09_104_12	{-9637.32,-8923.6,-39.8}	{0.0,0.0,90.0}	1	104		9
	322	int09_104_13	{-9699.46,-2586.44,-411.66}	{0.0,0.0,0.0}	1	104		9
	323	int09_104_14	{-4702.46,-6469.44,355.19}	{0.0,0.0,0.0}	1	104		9
	324	int09_104_15	{-15639.99,-3821.0,-449.99}	{0.0,0.0,90.0}	1	104		9
	325	int09_104_2	{-8311.98,-13934.0,353.24}	{0.0,0.0,90.0}	1	104		9
	326	int09_104_3	{-4602.99,-16617.0,670.6}	{0.0,0.0,90.0}	1	104		9
	327	int09_104_4	{-1470.98,-15390.99,0.0}	{0.0,0.0,90.0}	1	104		9
	328	int09_104_5	{-13235.99,-4896.0,595.24}	{0.0,0.0,90.0}	1	104		9
	329	int09_104_6	{-7388.99,-6560.0,-949.99}	{0.0,0.0,90.0}	1	104		9
	330	int09_104_7	{-12341.99,88.0,355.94}	{0.0,0.0,179.99}	1	104		9
	331	int09_104_8	{-13060.99,-752.99,15.3}	{0.0,0.0,179.99}	1	104		9
	332	int09_104_9	{-17586.32,-10146.6,-521.8}	{0.0,0.0,90.0}	1	104		9
	111	int09_107_1	{-19432.25,339.93,18.38}	{0.0,0.0,0.0}	1	107		9
	333	int09_110_1	{-18465.97,-13581.66,15.24}	{0.0,0.0,0.0}	1	110	{7142}	9
	334	int09_110_2	{-1475.97,-381.66,15.24}	{0.0,0.0,0.0}	1	110	{7136}	9
	335	int09_110_3	{-8635.97,-17131.66,334.67}	{0.0,0.0,0.0}	1	110	{7138}	9
	336	int09_110_4	{2824.02,-18251.66,15.24}	{0.0,0.0,0.0}	1	110	{7139}	9



Int11	338	int11_101_1	{395.43,-31652.95,0.0}	{0.0,0.0,0.0}	1	101	{111}	11
	339	int11_101_2	{1039.0,-20661.16,18.53}	{0.0,0.0,0.0}	1	101	{113}	11
	340	int11_102_1	{-316.99,-20239.29,20.33}	{0.0,0.0,-29.99}	1	102		11
	341	int11_102_10	{1237.95,-27137.6,0.33}	{38.25,12.7,-15.57}	1	102		11
	342	int11_102_11	{-829.97,-29637.67,33.54}	{61.56,-9.99,162.22}	1	102		11
	343	int11_102_12	{279.62,-29054.95,0.01}	{0.0,49.99,-20.0}	1	102		11
	344	int11_102_13	{-857.45,-31561.69,40.0}	{0.0,-19.99,-10.0}	1	102		11
	345	int11_102_14	{857.1,-35848.29,30.0}	{20.0,0.0,0.0}	1	102		11
	346	int11_102_15	{401.24,-30829.84,0.01}	{0.0,20.0,-20.0}	1	102		11
	347	int11_102_16	{-1107.27,-33748.3,15.22}	{0.0,0.0,0.0}	1	102		11
	348	int11_102_17	{-774.81,-34728.65,7.75}	{14.03,3.4,-140.59}	1	102		11
	349	int11_102_2	{-124.29,-22228.1,21.08}	{0.0,-30.0,59.99}	1	102		11
	350	int11_102_3	{-957.3,-21545.9,30.01}	{40.0,0.0,19.99}	1	102		11
	351	int11_102_4	{622.63,-29191.7,20.44}	{20.0,-39.99,0.0}	1	102		11
	2	int11_102_5	{812.45,-21808.97,-99.98}	{-138.86,8.15,7.58}	1	102		11
	352	int11_102_6	{495.02,-24688.06,-8.45}	{180.0,0.0,-179.99}	1	102		11
	353	int11_102_7	{1125.23,-23318.42,20.33}	{0.0,0.0,0.0}	1	102		11
	354	int11_102_8	{-334.42,-26800.33,268.0}	{-16.82,35.93,-52.54}	1	102		11
	355	int11_102_9	{-727.61,-25332.09,-1034.83}	{50.62,0.0,0.0}	1	102		11
	356	int11_103_1	{3.0,-37037.86,0.0}	{0.0,0.0,0.0}	1	103	{7214}	11
	357	int11_104_1	{-1207.22,-31733.61,15.22}	{0.0,0.0,0.0}	1	104		11
	3	int11_104_2	{-743.07,-27147.09,0.01}	{0.0,0.0,0.0}	1	104		11
	358	int11_104_3	{58.64,-29618.63,229.03}	{0.0,0.0,0.0}	1	104		11
	359	int11_104_4	{135.78,-21529.8,355.19}	{0.0,0.0,0.0}	1	104		11
	361	int11_110_1	{835.98,-29587.14,198.75}	{0.0,0.0,50.0}	1	110	{7140}	11



Int12	362	int12_101_1	{-3688.26,-43770.51,15.2}	{0.0,0.0,90.0}	1	101	{121}	12
	363	int12_101_2	{-4701.23,-50873.1,15.2}	{0.0,0.0,-115.0}	1	101	{122}	12
	364	int12_101_3	{-12995.99,-48312.47,15.2}	{0.0,0.0,90.0}	1	101	{125}	12
	365	int12_101_4	{-15475.99,-54052.47,15.2}	{0.0,0.0,90.0}	1	101	{126}	12
	366	int12_102_1	{-1756.18,-43489.19,979.78}	{0.0,0.0,90.0}	1	102		12
	367	int12_102_10	{-14701.42,-43974.87,15.2}	{0.0,0.0,90.0}	1	102		12
	368	int12_102_11	{-15352.67,-46785.13,573.39}	{0.0,0.0,90.0}	1	102		12
	369	int12_102_12	{-16607.37,-47205.74,818.14}	{0.0,0.0,90.0}	1	102		12
	370	int12_102_13	{-16618.21,-48937.0,1205.44}	{0.0,0.0,90.0}	1	102		12
	371	int12_102_14	{-6834.89,-48942.37,15.2}	{0.0,0.0,90.0}	1	102		12
	372	int12_102_15	{-5464.57,-52504.46,15.2}	{0.0,0.0,90.0}	1	102		12
	373	int12_102_16	{-15045.67,-47444.35,15.2}	{0.0,0.0,90.0}	1	102		12
	374	int12_102_17	{-14839.36,-52333.23,15.2}	{0.0,0.0,90.0}	1	102		12
	375	int12_102_18	{-12353.26,-50368.49,15.2}	{0.0,0.0,90.0}	1	102		12
	376	int12_102_19	{-3930.02,-47929.79,15.2}	{0.0,0.0,90.0}	1	102		12
	377	int12_102_2	{-3277.25,-45318.81,15.2}	{0.0,0.0,90.0}	1	102		12
	614	int12_102_20	{-2806.18,-40799.18,15.2}	{0.0,0.0,90.0}	1	102		12
	615	int12_102_21	{-5996.18,-43539.19,381.01}	{0.0,0.0,90.0}	1	102		12
	616	int12_102_22	{-6816.18,-46639.19,981.01}	{90.0,0.0,90.0}	1	102		12
	617	int12_102_23	{-9196.18,-40019.19,981.0}	{89.99,0.0,-179.99}	1	102		12
	618	int12_102_24	{-10936.18,-44109.19,29.28}	{0.0,0.0,90.0}	1	102		12
	619	int12_102_25	{-11276.18,-45389.19,1358.97}	{0.0,0.0,90.0}	1	102		12
	620	int12_102_26	{-13676.18,-44889.19,818.14}	{0.0,0.0,90.0}	1	102		12
	621	int12_102_27	{-16256.18,-45919.19,818.14}	{0.0,0.0,90.0}	1	102		12
	622	int12_102_28	{-16586.18,-51719.19,15.2}	{0.0,0.0,90.0}	1	102		12
	623	int12_102_29	{-15406.18,-49039.19,15.2}	{0.0,0.0,90.0}	1	102		12
	378	int12_102_3	{-6564.14,-40682.23,248.72}	{0.0,0.0,90.0}	1	102		12
	624	int12_102_30	{-10826.18,-50279.19,15.2}	{0.0,0.0,90.0}	1	102		12
	625	int12_102_31	{-10706.18,-53259.19,15.2}	{0.0,0.0,90.0}	1	102		12
	626	int12_102_32	{-13276.18,-54949.19,547.72}	{0.0,0.0,90.0}	1	102		12
	627	int12_102_33	{-14326.18,-53339.19,547.72}	{0.0,0.0,90.0}	1	102		12
	628	int12_102_34	{-14696.18,-53279.19,15.2}	{0.0,0.0,90.0}	1	102		12
	629	int12_102_35	{-6066.18,-53459.19,1705.2}	{-179.99,0.0,-89.99}	1	102		12
	630	int12_102_36	{-4786.17,-54179.19,1705.2}	{-179.99,0.0,-89.99}	1	102		12
	631	int12_102_37	{-7266.17,-54179.19,1705.2}	{-179.99,0.0,-89.99}	1	102		12
	632	int12_102_38	{-5946.18,-49179.19,620.0}	{0.0,0.0,90.0}	1	102		12
	633	int12_102_39	{-1956.18,-49319.19,547.72}	{0.0,0.0,90.0}	1	102		12
	379	int12_102_4	{-8662.21,-43215.0,15.2}	{0.0,0.0,90.0}	1	102		12
	634	int12_102_40	{-2476.18,-49739.19,277.31}	{0.0,0.0,90.0}	1	102		12
	635	int12_102_41	{-4216.18,-51489.19,15.2}	{0.0,0.0,90.0}	1	102		12
	636	int12_102_42	{-8086.18,-51489.19,15.2}	{0.0,0.0,90.0}	1	102		12
	637	int12_102_43	{-8066.18,-54489.19,15.2}	{0.0,0.0,90.0}	1	102		12
	380	int12_102_5	{-10072.31,-40976.47,547.72}	{0.0,0.0,90.0}	1	102		12
	381	int12_102_6	{-8966.31,-41808.36,547.72}	{0.0,0.0,90.0}	1	102		12
	382	int12_102_7	{-8701.43,-44705.51,547.72}	{0.0,0.0,90.0}	1	102		12
	383	int12_102_8	{-9956.22,-44912.08,818.14}	{0.0,0.0,90.0}	1	102		12
	384	int12_102_9	{-11114.32,-41752.1,651.2}	{0.0,0.0,90.0}	1	102		12
	385	int12_104_1	{-6124.52,-48659.96,620.0}	{0.0,0.0,90.0}	1	104		12
	386	int12_104_10	{-11908.03,-46582.86,1358.97}	{0.0,0.0,90.0}	1	104		12
	387	int12_104_2	{-13644.97,-53269.84,15.2}	{0.0,0.0,90.0}	1	104		12
	388	int12_104_3	{-6520.71,-44959.9,15.23}	{0.0,0.0,90.0}	1	104		12
	389	int12_104_4	{-2204.56,-41499.45,15.23}	{0.0,0.0,90.0}	1	104		12
	390	int12_104_5	{-10431.72,-45872.29,15.2}	{0.0,0.0,90.0}	1	104		12
	391	int12_104_6	{-16194.96,-47844.52,15.2}	{0.0,0.0,90.0}	1	104		12
	392	int12_104_7	{-8052.47,-43901.26,547.72}	{0.0,0.0,90.0}	1	104		12
	393	int12_104_8	{-7021.58,-41326.64,655.0}	{0.0,0.0,90.0}	1	104		12
	394	int12_104_9	{-6728.11,-53053.47,15.2}	{0.0,0.0,90.0}	1	104		12
	395	int12_110_1	{-11943.6,-40260.32,15.2}	{0.0,0.0,0.0}	1	110	{7128}	12
	397	int12_111_2	{-4449.6,-48665.04,15.2}	{0.0,0.0,0.0}	1	111	{7612}	12
	398	int12_111_3	{-7722.88,-46424.62,547.72}	{0.0,0.0,0.0}	1	111	{7613}	12
	399	int12_111_4	{-9005.38,-44551.67,547.72}	{0.0,0.0,0.0}	1	111	{7614}	12



Int13	400	int13_101_1	{5226.96,-44121.02,1530.36}	{0.0,0.0,0.0}	1	101	{131}	13
	401	int13_101_2	{13323.96,-40555.02,170.2}	{0.0,0.0,0.0}	1	101	{132}	13
	402	int13_101_3	{11788.64,-51207.03,193.21}	{0.0,0.0,0.0}	1	101	{133}	13
	403	int13_101_5	{10598.64,-35787.03,15.2}	{0.0,0.0,0.0}	1	101	{135}	13
	404	int13_102_1	{3437.96,-40188.02,615.59}	{30.0,0.0,0.0}	1	102		13
	405	int13_102_10	{4757.96,-51835.02,1138.66}	{0.0,0.0,0.0}	1	102		13
	406	int13_102_11	{9617.96,-42866.02,15.2}	{-20.0,0.0,-50.0}	1	102		13
	407	int13_102_12	{8781.96,-46486.02,1011.0}	{-139.99,0.0,-119.99}	1	102		13
	408	int13_102_13	{5560.96,-40196.02,15.2}	{0.0,-29.99,20.0}	1	102		13
	409	int13_102_14	{9496.96,-45026.02,808.21}	{-20.0,0.0,-60.0}	1	102		13
	410	int13_102_15	{4618.96,-48659.02,15.2}	{0.0,19.99,-60.0}	1	102		13
	411	int13_102_16	{4091.96,-42527.02,1454.15}	{-128.49,29.49,115.72}	1	102		13
	412	int13_102_17	{9742.96,-41436.02,190.2}	{28.14,-23.36,-108.28}	1	102		13
	413	int13_102_18	{13306.96,-40308.26,1928.2}	{-128.88,6.71,-31.11}	1	102		13
	414	int13_102_19	{11757.96,-46213.02,31.0}	{-7.09,-18.74,-128.82}	1	102		13
	415	int13_102_2	{5611.96,-36996.02,33.14}	{0.0,-19.99,-20.0}	1	102		13
	416	int13_102_20	{5733.96,-46795.02,-490.99}	{0.0,59.99,-30.0}	1	102		13
	417	int13_102_21	{4642.96,-48070.59,-1060.99}	{-9.99,0.0,0.0}	1	102		13
	418	int13_102_22	{3990.96,-52194.02,-215.72}	{179.99,-39.99,0.0}	1	102		13
	419	int13_102_23	{15762.62,-53339.24,1093.0}	{-153.65,51.79,-152.08}	1	102		13
	420	int13_102_24	{13252.96,-45691.02,178.45}	{-30.0,0.0,0.0}	1	102		13
	421	int13_102_25	{1614.72,-37687.01,31.29}	{40.0,0.0,0.0}	1	102		13
	422	int13_102_26	{4944.48,-40324.87,23.93}	{0.0,-9.99,0.0}	1	102		13
	423	int13_102_27	{3979.28,-41579.46,900.06}	{139.99,0.0,0.0}	1	102		13
	424	int13_102_28	{6489.02,-41672.94,1547.09}	{119.99,0.0,59.99}	1	102		13
	425	int13_102_29	{6981.67,-52536.7,557.64}	{40.0,0.0,70.0}	1	102		13
	426	int13_102_3	{8076.96,-50764.02,1101.0}	{59.99,0.0,-20.0}	1	102		13
	427	int13_102_30	{6203.48,-49302.46,25.31}	{0.0,-19.99,0.0}	1	102		13
	428	int13_102_31	{2004.04,-48359.57,379.45}	{0.0,30.0,0.0}	1	102		13
	429	int13_102_32	{14547.66,-40315.8,411.84}	{-30.0,0.0,0.0}	1	102		13
	430	int13_102_33	{13055.73,-41736.84,1242.22}	{151.4,-62.65,-85.9}	1	102		13
	431	int13_102_34	{11799.99,-47144.6,811.98}	{0.0,0.0,0.0}	1	102		13
	432	int13_102_35	{13298.9,-53398.04,563.67}	{39.99,0.0,80.0}	1	102		13
	433	int13_102_36	{12633.38,-53402.62,1103.67}	{150.0,0.0,49.99}	1	102		13
	434	int13_102_37	{13007.41,-53515.57,331.62}	{-10.0,0.0,0.0}	1	102		13
	435	int13_102_38	{7858.94,-54725.06,-746.16}	{0.0,40.0,0.0}	1	102		13
	436	int13_102_39	{3417.0,-53062.9,-859.12}	{30.0,0.0,-30.0}	1	102		13
	437	int13_102_4	{5253.96,-43521.02,1865.33}	{0.0,0.0,0.0}	1	102		13
	438	int13_102_40	{2148.24,-50811.87,-1098.35}	{0.0,-19.99,30.0}	1	102		13
	439	int13_102_41	{404.24,-48468.87,-273.35}	{-0.01,-90.0,0.01}	1	102		13
	440	int13_102_42	{5734.24,-54058.87,-273.34}	{178.73,-90.0,1.26}	1	102		13
	441	int13_102_43	{10647.96,-53884.02,33.85}	{-20.0,0.0,10.0}	1	102		13
	442	int13_102_44	{11351.96,-52103.02,1692.85}	{-179.99,0.0,-179.99}	1	102		13
	443	int13_102_45	{14171.96,-50387.02,22.84}	{0.0,-19.99,0.0}	1	102		13
	444	int13_102_46	{15962.96,-49226.02,559.87}	{0.0,-19.99,0.0}	1	102		13
	445	int13_102_47	{2663.96,-46945.02,-0.12}	{0.0,0.0,0.0}	1	102		13
	446	int13_102_48	{12342.96,-46345.02,774.87}	{-179.99,0.0,-179.99}	1	102		13
	447	int13_102_49	{12456.96,-48933.02,23.87}	{19.99,0.0,0.0}	1	102		13
	448	int13_102_5	{8441.96,-38953.02,773.0}	{180.0,0.0,180.0}	1	102		13
	449	int13_102_50	{13612.95,-42275.02,697.87}	{149.99,0.0,-119.99}	1	102		13
	450	int13_102_6	{2695.96,-51635.02,276.23}	{0.0,-30.0,70.0}	1	102		13
	451	int13_102_7	{6974.96,-51811.02,25.2}	{0.0,30.0,-30.0}	1	102		13
	452	int13_102_8	{12842.96,-45673.02,1357.4}	{139.99,0.0,-179.99}	1	102		13
	453	int13_102_9	{4008.96,-43589.02,276.75}	{0.0,20.0,-40.0}	1	102		13
	454	int13_104_1	{5213.96,-41878.02,1024.1}	{0.0,0.0,0.0}	1	104		13
	455	int13_104_10	{4800.0,-48360.0,-790.0}	{0.0,0.0,0.0}	1	104		13
	456	int13_104_11	{6506.96,-43525.02,516.75}	{0.0,0.0,0.0}	1	104		13
	457	int13_104_12	{3946.96,-49534.02,306.23}	{0.0,0.0,0.0}	1	104		13
	458	int13_104_13	{7161.95,-55036.01,75.23}	{0.0,0.0,0.0}	1	104		13
	459	int13_104_14	{7991.95,-40806.01,505.23}	{0.0,0.0,0.0}	1	104		13
	460	int13_104_15	{8651.95,-41266.01,85.23}	{0.0,0.0,0.0}	1	104		13
	461	int13_104_2	{11155.96,-43577.02,821.44}	{0.0,0.0,0.0}	1	104		13
	462	int13_104_3	{9247.96,-50440.02,420.51}	{0.0,0.0,0.0}	1	104		13
	463	int13_104_4	{15345.96,-48125.02,354.35}	{0.0,0.0,0.0}	1	104		13
	464	int13_104_5	{12450.96,-44613.02,1359.0}	{0.0,0.0,0.0}	1	104		13
	465	int13_104_6	{2231.96,-47321.36,261.23}	{0.0,0.0,0.0}	1	104		13
	466	int13_104_7	{2271.96,-52421.02,85.19}	{0.0,0.0,0.0}	1	104		13
	467	int13_104_8	{12750.5,-48156.22,304.29}	{0.0,0.0,0.0}	1	104		13
	468	int13_104_9	{5447.96,-40264.02,1821.83}	{0.0,0.0,0.0}	1	104		13
	469	int13_107_1	{-9.32,-38486.61,15.2}	{0.0,0.0,90.0}	1	107		13
	470	int13_111_1	{10728.94,-36956.8,15.2}	{0.0,0.0,0.0}	1	111	{7615}	13
	471	int13_111_2	{9912.73,-44844.17,805.44}	{0.0,0.0,0.0}	1	111	{7616}	13
	472	int13_111_3	{6439.01,-41288.3,950.1}	{0.0,0.0,0.0}	1	111	{7617}	13
	473	int13_111_4	{14685.19,-55127.67,15.19}	{0.0,0.0,0.0}	1	111	{7619}	13
	474	point_task_1304	{3727.81,-50698.32,-962.22}	{0.0,0.0,0.0}	4	103		0
	475	point_task_1306	{13317.81,-42908.32,170.2}	{0.0,0.0,0.0}	4	103		0



Int14	476	int14_101_1	{-2.43,-69878.29,10.0}	{0.0,0.0,89.99}	1	101	{141}	14
	477	int14_101_2	{6597.91,-71096.9,1300.0}	{0.0,0.0,-159.14}	1	101	{142}	14
	478	int14_101_3	{1403.59,-69704.79,-1816.31}	{0.0,0.0,-88.2}	1	101	{143}	14
	479	int14_101_4	{-4224.59,-67681.92,-1399.99}	{0.0,0.0,-123.6}	1	101	{144}	14
	480	int14_101_5	{-2053.5,-81291.13,-1900.0}	{0.0,0.0,89.99}	1	101	{145}	14
	481	int14_102_1	{-6407.03,-69423.64,309.67}	{50.0,0.0,0.0}	1	102		14
	482	int14_102_10	{2146.05,-69078.88,964.58}	{-149.21,-41.56,-71.92}	1	102		14
	483	int14_102_11	{1383.5,-64443.35,37.38}	{-40.0,0.0,0.0}	1	102		14
	484	int14_102_12	{3885.56,-67283.52,1110.57}	{0.0,30.0,0.0}	1	102		14
	485	int14_102_13	{-1633.2,-69177.28,33.43}	{13.55,-52.54,37.23}	1	102		14
	486	int14_102_14	{-1191.85,-67196.13,1483.56}	{170.62,-75.63,91.6}	1	102		14
	487	int14_102_15	{2396.3,-71233.69,1135.97}	{-35.28,55.04,-38.67}	1	102		14
	488	int14_102_16	{5884.44,-66400.63,234.49}	{0.0,-30.0,0.0}	1	102		14
	489	int14_102_17	{7459.85,-69985.27,898.82}	{-30.0,50.0,0.0}	1	102		14
	490	int14_102_18	{6268.58,-73169.82,1427.42}	{63.5,-56.19,102.09}	1	102		14
	491	int14_102_19	{-2983.21,-72043.71,-1183.13}	{163.51,66.83,125.21}	1	102		14
	492	int14_102_2	{-5285.86,-66442.41,989.02}	{166.49,-56.19,127.89}	1	102		14
	493	int14_102_20	{3800.79,-69501.08,-1301.15}	{0.0,39.99,30.0}	1	102		14
	494	int14_102_21	{-3712.04,-68224.01,-1899.99}	{0.0,20.0,20.0}	1	102		14
	495	int14_102_22	{-4118.04,-70484.01,-1576.99}	{20.0,0.0,0.0}	1	102		14
	496	int14_102_23	{-1253.13,-81293.74,-1545.63}	{97.44,-10.0,0.0}	1	102		14
	497	int14_102_24	{-2610.0,-74266.52,-1820.53}	{40.0,-49.99,0.0}	1	102		14
	498	int14_102_25	{-6184.4,-71001.54,-1866.26}	{0.0,-49.99,-129.99}	1	102		14
	499	int14_102_26	{-6612.44,-66201.49,21.73}	{-20.67,-5.95,163.8}	1	102		14
	500	int14_102_27	{-3012.14,-66826.11,1071.51}	{-91.23,29.77,122.73}	1	102		14
	501	int14_102_28	{4815.41,-67400.04,752.33}	{97.86,13.41,102.26}	1	102		14
	502	int14_102_29	{-6575.34,-73430.81,31.47}	{0.0,50.0,-150.0}	1	102		14
	503	int14_102_3	{-5126.79,-70960.31,43.07}	{50.0,0.0,40.0}	1	102		14
	504	int14_102_30	{-2719.98,-72972.06,107.78}	{18.88,6.71,151.11}	1	102		14
	505	int14_102_31	{-610.32,-72394.05,1797.76}	{-77.68,5.53,-33.65}	1	102		14
	506	int14_102_32	{2505.9,-73833.52,1323.98}	{59.98,-10.13,53.4}	1	102		14
	507	int14_102_33	{5785.8,-74818.38,28.97}	{0.0,-29.99,-20.0}	1	102		14
	508	int14_102_34	{-1121.34,-68772.59,-662.51}	{-109.99,0.0,60.0}	1	102		14
	509	int14_102_35	{-4127.15,-73479.11,-1893.57}	{30.0,0.0,-30.0}	1	102		14
	510	int14_102_36	{-3028.59,-77331.83,-641.09}	{123.53,7.64,49.56}	1	102		14
	511	int14_102_37	{-3400.47,-78045.62,-1455.6}	{-50.0,0.0,0.0}	1	102		14
	512	int14_102_38	{3087.97,-68463.43,30.77}	{27.13,-40.19,-38.15}	1	102		14
	513	int14_102_39	{-612.01,-71638.8,1123.17}	{-10.4,51.84,-68.65}	1	102		14
	514	int14_102_4	{-8466.14,-69682.65,341.17}	{-13.05,-40.77,21.11}	1	102		14
	515	int14_102_40	{4981.23,-67502.87,1141.3}	{-55.81,78.5,55.95}	1	102		14
