道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠	是否可培养（1：可培养 0：不可培养）	同配件转换的道具，格式{{g,d,p,l,n}, ...}	附加参数1	附加参数2	附加参数3	成长	外观ID	武器许可	分类许可	GM投放	产出途径，0升级解锁，1主线任务	地区限制目前可填：0国内外,1国内,2海外
6	5	149	1	顶尖补光·电筒		weapon_parts	accessory.grip149	5	1414059								10219	420005112	{4}	{1,2}	1		
																							
6	2	150	1	亚特兰蒂斯·瞄准镜		weapon_parts	accessory.scope150	5	1413048								10220	310005081	{3}	{1,2}	1		
																							
																							
6	2	151	1	冷锋·瞄准镜		weapon_parts	accessory.scope151	5	1415051								10221	510005091	{5}	{1}	1		
																							
6	1	152	1	深渊幽灵·制退器		weapon_parts	accessory.muzzle152	4	1413049								10222	315045003	{3}	{1,2}	1	0	
6	5	153	1	晶棱·侧瞄具		weapon_parts	accessory.grip153	4	1413050								10223	314064002	{3}	{1,2}	1	0	
																							
6	1	154	1	晴海星埃·消焰器		weapon_parts	accessory.muzzle154	4	1415052								10224	515085003	{5}	{1}	1	0	
6	5	155	1	龙卷风·辅助模块		weapon_parts	accessory.grip155	4	1415053								10225	514074002	{5}	{1}	1	0	
																							
6	2	156	1	折叠末日·瞄准镜		weapon_parts	accessory.scope156	5	1412054								10226	210005081	{2}	{1}	1		
6	5	157	1	极速烈闪·辅助模块		weapon_parts	accessory.grip157	4	1412055								10227	225035002	{2}	{1}	1	0	
6	4	158	1	梦幻捷径·弹匣		weapon_parts	accessory.magazine158	4	1412056								10228	224024004	{2}	{1}	1	0	
																							
6	2	159	1	火鳞·瞄准镜		weapon_parts	accessory.scope159	5	1414060								10229	420005131	{4}	{1,2}	1		
6	4	160	1	晚梅·弹匣		weapon_parts	accessory.magazine160	4	1414061								10230	424114004	{4}	{2}	1	0	
6	5	161	1	流焰融金·辅助模块		weapon_parts	accessory.grip161	4	1414062								10231	425065002	{4}	{1,2}	1	0	
																							
6	9	162	1	金喙·稳定器		weapon_parts	accessory.balance162	5	1418001								10232	810005012	{8}	{1}	1		
																							
6	4	163	1	虹廊·弹匣		weapon_parts	accessory.magazine163	5	1411049								10233	110005094	{1}	{1}	1		
																							
																							
6	1	166	1	正法·消焰器		weapon_parts	accessory.muzzle166	4	1411050								10234	114034003	{1}	{1}	1	0	
																							
6	2	167	1	星熔靛夜·瞄准镜		weapon_parts	accessory.scope167	4	1411051								10235	115035001	{1}	{1}	1	0	
																							
6	8	168	1	暗巷英雄·瞄准器		weapon_parts	accessory.sight168	4	1418002								10236	814014001	{8}	{1}	1	0	
																							
6	7	169	1	茜羽破空·握把		weapon_parts	accessory.handle169	4	1418003								10237	815015003	{8}	{1}	1	0	
																							
6	2	170	1	菱能视角·瞄准镜		weapon_parts	accessory.scope170	5	1413051								10238	310005091	{3}	{1,2}	1		
																							
6	5	171	1	沼泽之主·辅助模块		weapon_parts	accessory.grip171	4	1413052								10239	314074002	{3}	{1,2}	1	0	
																							
6	1	172	1	紫棘·消焰器		weapon_parts	accessory.muzzle172	4	1413053								10240	315055003	{3}	{1,2}	1	0	
6	5	173	1	律息·记录仪		weapon_parts	accessory.grip173	5	1413054								10245	310005101	{3}	{1,2}	1		
6	2	174	1	暗流·瞄准镜		weapon_parts	accessory.scope174	5	1415054								10241	510005101	{5}	{1}	1		
																							
6	5	175	1	悠古节拍·辅助模块		weapon_parts	accessory.grip175	4	1413055								10244	315065002	{3}	{1,2}	1	0	
																							
6	4	176	1	蛛网·弹匣		weapon_parts	accessory.magazine176	4	1415055								10242	514084004	{5}	{1}	1	0	
																							
6	2	177	1	夕潮·瞄准镜		weapon_parts	accessory.scope177	4	1415056								10243	515095001	{5}	{1}	1	0	
																							
6	1	178	1	定音·消音器		weapon_parts	accessory.muzzle178	5	1412057								10246	210005093	{2}	{1}	1		
																							
6	1	179	1	嵌合·消焰器		weapon_parts	accessory.muzzle179	4	1412058								10247	224034003	{2}	{1}	1	0	
6	2	180	1	真实之空·瞄准镜		weapon_parts	accessory.scope180	4	1412059								10248	225045001	{2}	{1}	1	0	
																							
6	2	181	1	纺织机·瞄准镜		weapon_parts	accessory.scope181	5	1415057								10249	510005111	{5}	{1}	1		
																							
6	4	182	1	双钥·弹鼓		weapon_parts	accessory.magazine182	5	1419001								10250	910005014	{9}	{1}	1		
																							
6	7	183	1	无限之日·握把		weapon_parts	accessory.handle183	4	1419002								10251	914014003	{9}	{1}	1	0	
																							
6	5	184	1	速旋青雨·辅助模块		weapon_parts	accessory.grip184	4	1419003								10252	915015002	{9}	{1}	1	0	
																							
																							
6	1	185	1	稳固色彩·制退器		weapon_parts	accessory.muzzle185	4	1415058								10253	514094003	{5}	{1}	1	0	
																							
6	5	186	1	坚者之心·制导模块		weapon_parts	accessory.grip186	4	1415059								10254	515105002	{5}	{1}	1	0	
6	1	187	1	心冕·消焰器		weapon_parts	accessory.muzzle187	5	1411052								10255	110005103	{1}	{1}	1		
																							
6	4	188	1	枯萎蔓延·弹匣		weapon_parts	accessory.magazine188	4	1411053								10256	134024004	{1}	{1}	1	0	
																							
6	2	189	1	瑰翼·瞄准镜		weapon_parts	accessory.scope189	4	1411054								10257	135035001	{1}	{1}	1	0	
																							
6	1	190	1	完美结构·消焰器		weapon_parts	accessory.muzzle190	4	1411055								10258	144044003	{1}	{1}	1	0	
6	2	191	1	净空炙星·瞄准镜		weapon_parts	accessory.scope191	4	1411056								10259	145025001	{1}	{1}	1	0	
6	4	192	1	远古螺旋·弹匣		weapon_parts	accessory.magazine192	4	1414063								10260	414044004	{4}	{1}	1	0	
6	2	193	1	跃洋斑鳍·瞄准镜		weapon_parts	accessory.scope193	4	1414064								10261	415045001	{4}	{1,2}	1	0	
6	2	194	1	困境切割·瞄准镜		weapon_parts	accessory.scope194	5	1411057								10262	110005111	{1}	{1}	1		
6	5	193	1	游脊·辅助模块		weapon_parts	accessory.grip193	5	1414065								10263	420005142	{4}	{1,2}	1		
																							
6	2	196	1	传导之系·瞄准镜		weapon_parts	accessory.scope196	5	1415060								10264	510005121	{5}	{1}	1		
6	5	197	1	粉樱铭印·辅助模块		weapon_parts	accessory.grip197	5	1413056								10265	310005112	{3}	{1,2}	1		
																							
6	2	198	1	爆裂甜蜜·瞄准镜		weapon_parts	accessory.scope198	4	1413057								10266	314084001	{3}	{1,2}	1	0	
6	1	199	1	织心秘语·制退器		weapon_parts	accessory.muzzle199	4	1413058								10267	315075003	{3}	{1,2}	1	0	
																							
6	4	200	1	鸣雷戒律·弹匣		weapon_parts	accessory.magazine200	4	1415061								10268	515115004	{5}	{1}	1	0	
																							
6	1	201	1	松纸剪影·补偿器		weapon_parts	accessory.muzzle201	4	1417004								10269	714024003	{7}	{1}	1	0	
6	5	202	1	薪烛明痕·镭射模块		weapon_parts	accessory.grip202	4	1417005								10270	715025001	{7}	{1}	1	0	
6	6	203	1	灼芯流光·扳机		weapon_parts	accessory.trigger203	5	1417006								10271	710005024	{7}	{1}	1		
																							
6	1	204	1	净空启迪·制退器		weapon_parts	accessory.muzzle204	4	1412060								10272	215055003	{2}	{1}	1	0	
6	4	205	1	精械域·弹匣		weapon_parts	accessory.magazine205	5	1412061								10273	210005104	{2}	{1}	1		
																							
																							
6	7	206	1	铁戒之刃·剑首		weapon_parts	accessory.handle206	4	14110001								10274	1014014002	{10}	{1}	1	0	
6	4	207	1	星渊月刃·剑颚		weapon_parts	accessory.magazine207	4	14110002								10275	1015015001	{10}	{1}	1	0	
6	7	208	1	缀光·剑首		weapon_parts	accessory.handle208	5	14110003								10276	1010005012	{10}	{1}	1		
																							
6	5	209	1	绶礼荣辉·电筒		weapon_parts	accessory.grip209	4	1411058								10277	124054002	{1}	{1}	1	0	
6	4	210	1	棱光核心·弹匣		weapon_parts	accessory.magazine210	4	1411059								10278	125035004	{1}	{1}	1	0	
6	4	211	1	多维界限·弹匣		weapon_parts	accessory.magazine211	5	1411060								10279	110005124	{1}	{1}	1		
																							
6	1	212	1	磁流效应·消音器		weapon_parts	accessory.muzzle212	4	1414066								10280	425075003	{4}	{1,2}	1	0	
6	4	213	1	交感储能·弹匣		weapon_parts	accessory.magazine213	5	1414067								10281	420005154	{4}	{2}	1		
																							
6	6	214	1	素影衔砂·扳机		weapon_parts	accessory.trigger214	4	1417007								10282	714034002	{7}	{1}	1	0	
6	5	215	1	朱映金霓·镭射模块		weapon_parts	accessory.muzzle215	4	1417008								10283	715035001	{7}	{1}	1	0	
6	6	216	1	点绛唇·扳机		weapon_parts	accessory.trigger216	5	1417009								10284	710005034	{7}	{1}	1		
																							
6	5	217	1	SR模块连狙临时DLC3.7		weapon_parts	accessory.grip217	4	1412062								10203	225055002	{2}	{1}	1	0	
6	2	218	1	SSR瞄准连狙临时DLC3.7		weapon_parts	accessory.scope218	5	1412063								10203	210005111	{2}	{1}	1		
																							
6	1	219	1	SR枪口矛临时DLC3.7		weapon_parts	accessory.muzzle219	4	14120002								10203	1114014001	{11}	{1}	1	0	
6	9	220	1	SR配重矛临时DLC3.7		weapon_parts	accessory.balance220	4	14120001								10203	1115015002	{11}	{1}	1	0	
6	1	221	1	SSR枪口矛临时DLC3.7		weapon_parts	accessory.muzzle221	5	14120003								10203	1110005011	{11}	{1}	1		
