道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	类型图标（1=原皮，3=三星皮，4=4星皮，5=5星皮）	图标(17+d(xx)+p(xx)+l	使用方式，0不可使用，1自动，2手动  不填为0	获取类型（1默认，2供应站，3活动，4成就，5通行证	获取途径	附加参数1	附加参数2	附加参数3	修正时间	外观ID	部件GDPL（有部件的皮肤才配置）	同皮肤转换的道具，格式{{g,d,p,l,n}, ...}	未获得皮肤时是否屏蔽显示(0或不填为显示，1为屏蔽）	皮肤赠送道具	GM投放	表现系统开放·对应support_manifestation，不填不显示表现系统入口	皮肤配套枪皮GDPL	排序
7	20	2	2	卜卜-灵鉴-绮恋星灵		card_skin	cardskin.skin20202	5	5	1720022		2	643					712002	{{{20,1,7,1},{20,1,7,2}},{{20,2,5,1},{20,2,5,2}}}		1	{{9,4,102,1,1},{12,1,83,1,1}}	1		{17,7,2,1}	
7	20	2	3	卜卜-灵鉴-锦缀珍馐		card_skin	cardskin.skin20203	5	5	1720023		2						712003			1	{{9,4,120,1,1},{12,1,100,4,1}}	1		{17,7,4,1}	
7	21	1	1	奈莉德-冥河代理人（默认）		card_skin	cardskin.skin21101	5	1	1721011		1						702101					1			
7	21	1	2	奈莉德-冥河代理人-晨曦统令		card_skin	cardskin.skin21102	5	5	1721012		2	1027					702102	{{{20,1,4,1},{20,1,4,2}},{{20,3,1,1},{20,3,1,2}}}		1	{{9,4,69,1,1},{12,1,51,1,1}}	1		{17,5,5,1}	
7	21	1	3	奈莉德-冥河代理人-热沙激浪		card_skin	cardskin.skin21103	5	5	1721013		2	658					702103			1	{{9,4,94,1,1},{12,1,78,1,1}}	1		{17,5,7,1}	
7	21	1	4	奈莉德-冥河代理人-游闲心舒		card_skin	cardskin.skin21104	5	3	1721014		5						702104			1	{{9,4,111,1,1}}	1			
7	21	2	1	奈莉德-新换装（默认）		card_skin	cardskin.skin21101	5	1	1721011		1						712101					1			
7	21	2	2	奈莉德-新换装皮肤		card_skin	cardskin.skin21102	5	5	1721012		2						712102			1	{{9,4,69,1,1},{12,1,51,1,1}}	1		{17,5,5,1}	
7	22	1	1	克罗瑞纳-绯月（默认）		card_skin	cardskin.skin22101	5	1	1722011		1						702201					1			
7	22	1	2	克罗瑞纳-绯月-皎月幽祈		card_skin	cardskin.skin22102	5	5	1722012		2	652					702202			1	{{9,4,87,1,1},{12,1,68,1,1}}	1		{17,1,4,1}	
7	23	1	1	米娅-星彩（默认）		card_skin	cardskin.skin23101	5	1	1723011		1						702301					1			
7	23	1	2	米娅-星彩-暗空魅影		card_skin	cardskin.skin23102	5	5	1723012		2	661					702302			1	{{9,4,98,1,1},{12,1,80,1,1}}	1		{17,3,10,1}	
7	23	1	3	米娅-星彩-祥云徜戏		card_skin	cardskin.skin23103	5	5	1723013		2	670					702303			1	{{9,4,110,1,1},{12,1,94,1,1}}	1		{17,3,11,1}	
7	24	1	1	胧嫣-瑞狐（默认）		card_skin	cardskin.skin24101	5	1	1724011		1						702401					1			
7	24	1	2	胧嫣-瑞狐-珠光曳影		card_skin	cardskin.skin24102	5	5	1724012		2	671					702402			1	{{9,4,113,1,1},{12,1,95,1,1}}	1		{17,7,3,1}	
7	25	1	1	莉琪（默认）		card_skin	cardskin.skin24101	5	1	1724011		1						702501					1			
7	25	1	2	莉琪-皮肤		card_skin	cardskin.skin24102	5	5	1724012		2	671					702502			1		1			
