道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1	附加参数2（自选礼包该参数配置1则开启2次确认提示）	附加参数3	成长属性ID	外观ID	最早可使用时间	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00(年-月-日T时:分:秒)	分解回收配置，对应recycle.txt中得ID列	GM投放
4	5	6	209	悦汐·成长物资包		itembox	supplies.giftbox234	5	1510330	1			846								0
4	5	6	210	悦汐·神经突破包		itembox	supplies.giftbox235	5	1510331	1			847								0
4	5	6	211	悦汐·等级提升包		itembox	supplies.giftbox236	5	1510332	1			848								0
4	5	6	212	悦汐·神经通导包		itembox	supplies.giftbox237	5	1510333	1			849								0
4	5	6	213	悦汐·后勤提升包		itembox	supplies.giftbox238	5	1510334	1			850								0
4	5	6	214	翩澜·天启者聘任包		itembox	supplies.giftbox239	5	1510335	1			851								0
4	5	6	215	翩澜·武器定制包		itembox	supplies.giftbox240	5	1510336	1			852								0
4	5	6	216	翩澜·成长物资包		itembox	supplies.giftbox241	5	1510337	1			853								0
4	5	6	217	翩澜·神经突破包		itembox	supplies.giftbox242	5	1510338	1			854								0
4	5	6	218	翩澜·等级提升包		itembox	supplies.giftbox243	5	1510339	1			855								0
4	5	6	219	翩澜·神经通导包		itembox	supplies.giftbox244	5	1510340	1			856								0
4	5	6	220	翩澜·后勤提升包		itembox	supplies.giftbox245	5	1510341	1			857								0
																					
4	5	6	221	常驻自选角色礼包（商城）		itembox	supplies.giftbox248	5	1510343	1			895								0
4	5	6	222	常驻自选武器礼包（商城）		itembox	supplies.giftbox249	5	1510344	1			896								0
4	5	6	223	星谒·每周天启者聘任包		itembox	supplies.giftbox250	5	1510345	1			878								0
4	5	6	224	星谒·天启者聘任包		itembox	supplies.giftbox251	5	1510346	1			879								0
4	5	6	225	星谒·武器定制包		itembox	supplies.giftbox252	5	1510347	1			880								0
4	5	6	226	星谒·豪华物资包		itembox	supplies.giftbox253	5	1510348	1			881								0
4	5	6	227	星谒·成长资金包		itembox	supplies.giftbox254	5	1510349	1			882								0
4	5	6	228	星谒·神经突破包		itembox	supplies.giftbox255	5	1510350	1			883								0
4	5	6	229	星谒·等级提升包		itembox	supplies.giftbox256	5	1510351	1			884								0
4	5	6	230	星谒·神经通导包		itembox	supplies.giftbox257	5	1510352	1			885								0
4	5	6	231	星谒·后勤提升包		itembox	supplies.giftbox258	5	1510353	1			886								0
4	5	6	232	常驻自选定制后勤礼包（商城）		itembox	supplies.giftbox259	5	1510354	1			897								0
4	5	6	233	炽念·每周天启者聘任包		itembox	supplies.giftbox260	5	1510355	1			878								0
4	5	6	234	炽念·天启者聘任包		itembox	supplies.giftbox261	5	1510356	1			879								0
4	5	6	235	炽念·武器定制包		itembox	supplies.giftbox262	5	1510357	1			880								0
4	5	6	236	炽念·豪华物资包		itembox	supplies.giftbox263	5	1510358	1			881								0
4	5	6	237	炽念·成长资金包		itembox	supplies.giftbox264	5	1510359	1			882								0
4	5	6	238	炽念·神经突破包		itembox	supplies.giftbox265	5	1510360	1			883								0
4	5	6	239	炽念·等级提升包		itembox	supplies.giftbox266	5	1510361	1			884								0
4	5	6	240	炽念·神经通导包		itembox	supplies.giftbox267	5	1510362	1			885								0
4	5	6	241	炽念·后勤提升包		itembox	supplies.giftbox268	5	1510363	1			886								0
																					
4	5	6	242	新誓·每周天启者聘任包		itembox	supplies.giftbox274	5	1510364	1			842								0
4	5	6	243	新誓·顶级物资包		itembox	supplies.giftbox275	5	1510365	1			843								0
4	5	6	244	新誓·天启者聘任包		itembox	supplies.giftbox276	5	1510366	1			844								0
4	5	6	245	新誓·武器定制包		itembox	supplies.giftbox277	5	1510367	1			845								0
4	5	6	246	新誓·成长物资包		itembox	supplies.giftbox278	5	1510368	1			846								0
4	5	6	247	新誓·神经突破包		itembox	supplies.giftbox279	5	1510369	1			847								0
4	5	6	248	新誓·等级提升包		itembox	supplies.giftbox280	5	1510370	1			848								0
4	5	6	249	新誓·神经通导包		itembox	supplies.giftbox281	5	1510371	1			849								0
4	5	6	250	新誓·后勤提升包		itembox	supplies.giftbox282	5	1510372	1			850								0
4	5	6	251	梦舟·天启者聘任包		itembox	supplies.giftbox283	5	1510373	1			851								0
4	5	6	252	梦舟·武器定制包		itembox	supplies.giftbox284	5	1510374	1			852								0
4	5	6	253	梦舟·成长物资包		itembox	supplies.giftbox285	5	1510375	1			853								0
4	5	6	254	梦舟·神经突破包		itembox	supplies.giftbox286	5	1510376	1			854								0
4	5	6	255	梦舟·等级提升包		itembox	supplies.giftbox287	5	1510377	1			855								0
4	5	6	256	梦舟·神经通导包		itembox	supplies.giftbox288	5	1510378	1			856								0
4	5	6	257	梦舟·后勤提升包		itembox	supplies.giftbox289	5	1510379	1			857								0
																					
4	5	6	258	春意·每周天启者聘任包		itembox	supplies.giftbox290	5	1510380	1			878								0
4	5	6	259	春意·天启者聘任包		itembox	supplies.giftbox291	5	1510381	1			879								0
4	5	6	260	春意·武器定制包		itembox	supplies.giftbox292	5	1510382	1			880								0
4	5	6	261	春意·豪华物资包		itembox	supplies.giftbox293	5	1510383	1			881								0
4	5	6	262	春意·成长资金包		itembox	supplies.giftbox294	5	1510384	1			882								0
4	5	6	263	春意·神经突破包		itembox	supplies.giftbox295	5	1510385	1			883								0
4	5	6	264	春意·等级提升包		itembox	supplies.giftbox296	5	1510386	1			884								0
4	5	6	265	春意·神经通导包		itembox	supplies.giftbox297	5	1510387	1			885								0
4	5	6	266	春意·后勤提升包		itembox	supplies.giftbox298	5	1510388	1			886								0
																					
																					
4	15	1	1	【互动情景·婪夜】预售礼盒		itembox	supplies.presellbox_01	5	1510228	2			822		{4,15,1,1,1}			2024-11-07T11:00:00			0
4	15	1	2	【互动情景·暖夜恒约】预售礼盒		itembox	supplies.presellbox_02	5	1510266	2			858		{4,15,1,2,1}			2025-03-06T10:00:00			0
4	15	1	3	【互动情景·澈心】预售礼盒		itembox	supplies.presellbox_03	5	1510342	2			890		{4,15,1,3,1}			2025-11-06T04:00:00			0
																					
4	16	1	1	天鹅座泳装AR拓展包		itembox	supplies.arbox001	5	1510228	1			1601		{4,16,1,1,1}						0
4	16	1	2	奈莉德泳装AR拓展包		itembox	supplies.arbox002	5	1510266	1			1602		{4,16,1,2,1}						0
																					
4	8	1	1	最全捆绑包（甜蜜统治+全糖蜜令）		itembox	supplies.bundlebox1	5		1			2001		{4,8,1,1,1}						0
4	8	1	2	捆绑包（只有甜蜜统治）		itembox	supplies.bundlebox1	5		1			2002		{4,8,1,2,1}						0
4	8	1	3	捆绑包（只有全糖蜜令）		itembox	supplies.bundlebox1	5		1			2003		{4,8,1,3,1}						0
																					
4	8	2	1	最全捆绑包（轻语疗法+恩雅皮肤互动道具）		itembox	supplies.bundlebox2	5		1			2004		{4,8,2,1,1}						0
4	8	2	2	捆绑包（只有恩雅皮肤互动道具）		itembox	supplies.bundlebox2	5		1			2005		{4,8,2,2,1}						0
																					
4	8	3	1	捆绑包（里芙恒约皮+恒约互动+恒约武器皮）		itembox	supplies.bundlebox3	5		1			2006		{4,8,2,3,1}						0
4	8	4	1	捆绑包（芬妮恒约皮+恒约互动+恒约武器皮）		itembox	supplies.bundlebox4	5		1			2007		{4,8,2,4,1}						0
																					
4	8	5	1	捆绑包（凯茜娅-朝翼-沐浪倦姿+互动情景·绚洋+碳酸假日）		itembox	supplies.bundlebox1003	5		1			2008		{4,8,5,1,1}						0
4	8	6	1	捆绑包（茉莉安-幽潮-灿阳一刻+【互动情景·婪夜】预售礼盒+未来心跳）		itembox	supplies.bundlebox1004	5		1			2009		{4,8,6,1,1}						0
4	8	6	2	捆绑包（茉莉安-幽潮-灿阳一刻+互动情景·婪夜+未来心跳）		itembox	supplies.bundlebox1004	5		1			2010		{4,8,6,2,1}						0
																					
4	8	7	1	捆绑包（2.3芙提雅-毛绒派对+熊熊突击）		itembox	supplies.bundlebox1005	5		1			2011		{4,8,7,1,1}						0
4	8	8	1	捆绑包（瑟瑞斯-瞬刻-斑斓水色+澈海之约）		itembox	supplies.bundlebox1006	5		1			2012		{4,8,8,1,1}						0
																					
4	8	9	1	捆绑包（琴诺-清荷雅弈+武器皮）		itembox	supplies.bundlebox1008	5		1			2013								0
4	8	10	1	捆绑包（伊切尔-捕猎演习对+武器皮）		itembox	supplies.bundlebox1007	5		1			2014								0
																					
4	8	11	1	捆绑包（辰星-琼弦-欣描红妆+互动情景·红妆恒约+终古比翼）		itembox	supplies.bundlebox1009	5		1			2015								0
4	8	12	1	捆绑包（肴-夜天光-暖夜情醺+春携良缘）		itembox	supplies.bundlebox1010	5		1			2016								0
4	8	12	2	捆绑包（肴-夜天光-暖夜情醺+互动情景·暖夜恒约+春携良缘）		itembox	supplies.bundlebox1012	5		1			2018								0
4	8	13	1	捆绑包（芬妮-辉耀-金狮舞瑞+耀舞迎春）		itembox	supplies.bundlebox1011	5		1			2017								0
																					
4	8	14	1	捆绑包（恩雅-澜风-望云清咏+聆听本真）		itembox	supplies.bundlebox1013	5		1			2019								0
4	8	15	1	捆绑包（龙舌兰-舞夜与焰+星夜流沙）		itembox	supplies.bundlebox1014	5		1			2020								0
4	8	16	1	捆绑包（茉莉安-幽潮-绒尾迷梦+危甜信号）		itembox	supplies.bundlebox1015	5		1			2021								0
																					
4	8	17	1	捆绑包（妮塔悸响-林间潋滟+互动+武器皮）		itembox	supplies.bundlebox1016	5		1			2022								0
4	8	18	1	捆绑包（卜卜-元气愈养+武器皮）		itembox	supplies.bundlebox1017	5		1			2023								0
4	8	19	1	捆绑包（凯茜娅-朝翼-绮锦流韵+武器皮）		itembox	supplies.bundlebox1018	5		1			2024								0
																					
4	8	20	1	捆绑包（薇蒂雅-天鹅座-云端之邀+武器皮）		itembox	supplies.bundlebox1020	5		1			2025								0
4	8	21	1	捆绑包（芙提雅-驰掣--泳池护卫+武器皮）		itembox	supplies.bundlebox1021	5		1			2026								0
4	8	22	1	捆绑包（辰星-琼弦-慵倚花阴+武器皮）		itembox	supplies.bundlebox1022	5		1			2027								0
																					
4	8	23	1	捆绑包（凯茜娅-狂诗-星抚恋音+互动+武器皮）		itembox	supplies.bundlebox1023	5		1			2028								0
4	8	24	1	捆绑包（苔丝-绮幻-恋如花舞+互动+武器皮）		itembox	supplies.bundlebox1024	5		1			2029								0
4	8	25	1	捆绑包（恩雅-澜风-秘密侍奉+武器皮）		itembox	supplies.bundlebox1025	5		1			2030								0
4	8	26	1	捆绑包（卜卜-小天师-畅饮狂欢+武器皮）		itembox	supplies.bundlebox1026	5		1			2031								0
																					
4	8	27	1	捆绑包（克罗瑞娜【绯月】-皎月幽祈+武器皮）		itembox	supplies.bundlebox1027	5		1			2032								0
4	8	28	1	捆绑包（妮塔【悸响】-轻罗曼舞+武器皮）		itembox	supplies.bundlebox1028	5		1			2033								0
4	8	29	1	捆绑包（肴【夜天光】-共待曙明+武器皮）		itembox	supplies.bundlebox1029	5		1			2034								0
4	8	30	1	捆绑包（奈莉德【冥河代理人】-晨曦统令+部件+武器皮）		itembox	supplies.bundlebox1030	5		1			2035								0
																					
4	8	31	1	捆绑包（芬妮【澄意】-夕晖蜜约+互动+武器皮）		itembox	supplies.bundlebox1031	5		1			2036								0
4	8	32	1	捆绑包（瑟瑞斯【悠游】-碧波浮游+互动(预售)+武器皮）		itembox	supplies.bundlebox1032	5		1			2037								0
4	8	32	2	捆绑包（瑟瑞斯【悠游】-碧波浮游+互动+武器皮）		itembox	supplies.bundlebox1035	5		1			2040								0
4	8	33	1	捆绑包（奈莉德【冥河代理人】-热沙激浪+武器皮）		itembox	supplies.bundlebox1033	5		1			2038								0
4	8	34	1	捆绑包（薇蒂雅【天鹅座】-海境鲛梦+武器皮）		itembox	supplies.bundlebox1034	5		1			2039								0
																					
4	8	35	1	捆绑包（米娅【星彩】-暗空魅影+武器皮）		itembox	supplies.bundlebox1036	5		1			2041								0
4	8	36	1	捆绑包（晴【霆光】-清光虔愿+部件+武器皮）		itembox	supplies.bundlebox1037	5		1			2042								0
4	8	37	1	捆绑包（凯茜娅【狂诗】-花间蝶踪武器皮）		itembox	supplies.bundlebox1038	5		1			2043								0
																					
4	8	38	1	捆绑包（卜卜-灵鉴【绮恋星灵】带部件+武器皮+电话陪伴）		itembox	supplies.bundlebox1039	5		1			2044								0
4	8	39	1	捆绑包（猫汐尔-莲驱【喵语祈念】+武器皮）		itembox	supplies.bundlebox1040	5		1			2045								0
4	8	40	1	捆绑包（芬妮-澄意【颂夜欢歌】+武器皮）		itembox	supplies.bundlebox1041	5		1			2046								0
																					
4	8	41	1	捆绑包（安卡希雅-时之重奏【缘音回响】+互动+武器皮）		itembox	supplies.bundlebox1042	5		1			2047								0
4	8	42	1	捆绑包（茉莉安-霄鹰【纯白恋羽】+互动+武器皮）		itembox	supplies.bundlebox1043	5		1			2048								0
4	8	43	1	捆绑包（瑟瑞斯-悠游【霄倾君怀】+武器皮）		itembox	supplies.bundlebox1044	5		1			2049								0
4	8	44	1	捆绑包（米娅-星彩【祥云徜戏】+武器皮）		itembox	supplies.bundlebox1045	5		1			2050								0
																					
4	8	45	1	捆绑包（胧嫣-瑞狐【珠光曳影】+武器皮）		itembox	supplies.bundlebox1046	5		1			2051								0
4	8	46	1	捆绑包（芙提雅-炬芯【国主驾到】+武器皮）		itembox	supplies.bundlebox1047	5		1			2052								0
4	8	47	1	捆绑包（晴-霆光【剑意逍遥】+武器皮）		itembox	supplies.bundlebox1048	5		1			2053								0
																					
4	5	7	3	常规武器适配舱2号		itembox	supplies.weaponA2_Select	4	1510068	2	1		3051		{4,5,7,3,1}						0
4	5	7	4	高级武器适配舱		itembox	supplies.weaponS_Select	5	1510069	2	1		306		{4,5,7,4,1}						0
4	5	7	5	常规武器适配舱1号		itembox	supplies.weaponA1_Select	4	1510068	2	1		305		{4,5,7,5,1}						0
4	5	7	6	高级武器适配舱		itembox	supplies.weaponS1_Select	5	1510069	2	1		318	1	{4,5,7,6,1}						0
4	5	7	7	DLC23高级武器适配舱		itembox	supplies.weaponS1_Select	5	1510069	2	1		319	1	{4,5,7,7,1}						0
4	5	7	8	2周年高级武器适配舱		itembox	supplies.weaponS2_Select	5	1510069	2	1		321	1							0
4	5	7	9	常驻自选武器礼包（背包）		itembox	supplies.giftbox249	5	1510344	2	1		894	1							0
4	5	7	10	朝夕同行·高级武器适配舱		itembox	supplies.weaponS3_Select	5	1510069	2	1		322	1							0
4	5	8	3	常规后勤聘用名录		itembox	supplies.supportA_Select	4	1510070	2	1		301		{4,5,8,3,1}						0
4	5	8	4	高级后勤聘用名录		itembox	supplies.supportS_Select	5	1510071	2	1		302		{4,5,8,4,1}						0
4	5	9	3	常规天启者邀请函		itembox	supplies.cardA_Select	4	1510072	2	1		3031		{4,5,9,3,1}						0
4	5	9	4	高级天启者邀请函		itembox	supplies.cardS_Select	5	1510073	2	1		3041		{4,5,9,4,1}						0
4	5	9	5	DLC10高级天启者邀请函		itembox	supplies.cardS_Select	5	1510073	2	1		3042	1	{4,5,9,5,1}						0
4	5	9	6	DLC23高级天启者邀请函		itembox	supplies.cardS_Select	5	1510073	2	1		3043	1	{4,5,9,6,1}						0
4	5	9	7	DLC25高级天启者邀请函		itembox	supplies.cardS_Select	5	1510073	2	1		3044	1	{4,5,9,7,1}						0
4	5	9	8	2周年高级天启者邀请函		itembox	supplies.cardS2_Select	5	1510073	2	1		3045	1							0
4	5	9	9	常驻自选角色礼包（背包）		itembox	supplies.giftbox248	5	1510343	2	1		893	1							0
4	5	9	10	定制后勤自选箱（背包）		itembox	supplies.giftbox269	5	1510354	2	1		898	1							0
4	5	9	11	【里芙-无限之视】定制后勤（箱）		itembox	supplies.giftbox270	5	1520121	1	1		899								0
4	5	9	12	【瑟瑞斯-瞬刻】定制后勤（箱）		itembox	supplies.giftbox271	5	1520122	1	1		900								0
4	5	9	13	【琴诺-悖谬】定制后勤（箱）		itembox	supplies.giftbox272	5	1520123	1	1		901								0
4	5	9	14	【凯茜娅-蓝闪】定制后勤（箱）		itembox	supplies.giftbox273	5	1520124	1	1		902								0
4	5	9	15	3.5高级天启者邀请函		itembox	supplies.cardS3_Select	5	1510073	2	1		3046	1							0
4	5	9	16	朝夕同行·高级天启者邀请函		itembox	supplies.cardS4_Select	5	1510073	2	1		3047	1							0
4	5	10	4	提取物适配包		itembox	supplies.fragment_Select	5	1510078	2	1		307		{4,5,10,4,1}						0
4	5	10	5	魂芯·提取物适配包		itembox	supplies.fragmentS_Select	5	1510078	2	1		313		{4,5,10,5,1}						0
4	5	11	4	超元补给包		itembox	supplies.online_box	5	1510063	2	1		309		{4,5,11,4,1}						0
4	5	12	3	先遣武器适配舱		itembox	supplies.bp_box	4	1510079	2	1		311		{4,5,12,3,1}						0
4	5	14	3	昼朗武器适配舱		itembox	supplies.bp_box2	4	1510079	2	1		311		{4,5,12,3,1}						0
4	5	15	3	盛海武器适配舱		itembox	supplies.bpweaponbox3	4	1510079	2	1		311		{4,5,12,3,1}						0
4	5	16	3	绘霜武器适配舱		itembox	supplies.bpweaponbox4	4	1510079	2	1		311		{4,5,12,3,1}						0
4	5	17	3	澄音武器适配舱		itembox	supplies.bpweaponbox5	4	1510079	2	1		314		{4,5,17,3,1}						0
4	5	19	3	焰光武器适配舱		itembox	supplies.bpweaponbox6	4	1510079	2	1		315		{4,5,19,3,1}						0
4	5	20	3	夜阑武器适配舱		itembox	supplies.bpweaponbox7	4	1510079	2	1		316		{4,5,20,3,1}						0
4	5	21	3	空岛武器适配舱		itembox	supplies.bpweaponbox8	4	1510079	2	1		317		{4,5,21,3,1}						0
4	5	22	3	息风武器适配舱		itembox	supplies.bpweaponbox9	4	1510079	2	1		317		{4,5,22,3,1}						0
4	5	12	4	星辉武器适配舱		itembox	supplies.bpweaponbox10	4	1510079	2	1		317		{4,5,12,4,1}						0
4	5	12	5	星海武器适配舱		itembox	supplies.bpweaponbox11	4	1510079	2	1		317		{4,5,12,4,1}						0
4	5	12	6	鸣沙武器适配舱		itembox	supplies.bpweaponbox12	4	1510079	2	1		317		{4,5,12,6,1}						0
4	5	12	7	晶岩武器适配舱		itembox	supplies.bpweaponbox13	4	1510079	2	1		317		{4,5,12,7,1}						0
4	5	12	8	栖心武器适配舱		itembox	supplies.bpweaponbox14	4	1510079	2	1		317		{4,5,12,8,1}						0
4	5	12	9	绚花武器适配舱		itembox	supplies.bpweaponbox15	4	1510079	2	1		317		{4,5,12,9,1}						0
4	5	12	10	渊源武器适配舱		itembox	supplies.bpweaponbox16	4	1510079	2	1		317		{4,5,12,10,1}						0
4	5	12	11	变格武器适配舱		itembox	supplies.bpweaponbox17	4	1510079	2	1		317								0
4	5	12	12	真理武器适配舱		itembox	supplies.bpweaponbox18	4	1510079	2	1		317								0
4	5	12	13	蔷薇武器适配舱		itembox	supplies.bpweaponbox19	4	1510079	2	1		317								0
4	5	12	14	漾彩武器适配舱		itembox	supplies.bpweaponbox20	4	1510079	2	1		317								0
4	5	12	15	天扉武器适配舱		itembox	supplies.bpweaponbox21	4	1510079	2	1		317								0
4	5	12	16	勇气武器适配舱		itembox	supplies.bpweaponbox22	4	1510079	2	1		317								0
4	5	12	17	汐梦武器适配舱		itembox	supplies.bpweaponbox23	4	1510079	2	1		317								0
4	5	12	18	煦风武器适配舱		itembox	supplies.bpweaponbox24	4	1510079	2	1		317								0
																					
4	5	13	1	新程启礼七日签到第一天		itembox	supplies.giftbox246	4	130140005	1			891								0
4	5	13	2	新程启礼七日签到第二天		itembox	supplies.giftbox247	5	1510073	1			892								0
																					
4	5	22	5	随机天启者提取物箱		itembox	supplies.randomrolebox01	5	1520062	2	1		759		{4,5,22,5,1}						0
4	5	23	5	随机武器箱		itembox	supplies.randomweaponbox01	5	1520063	2	1		760		{4,5,23,5,1}						0
																					
4	5	13	3	特殊武器空投舱		itembox	supplies.overseaWeaponBox	4	1510087	2	1		603		{4,5,13,3,1}						0
4	5	18	3	怦然庆喜扭蛋机		itembox	supplies.2024box1	5	1520051	2	1		667		{4,5,18,3,1}						0
																					
4	5	24	1	DLC23角色或武器自选箱		itembox	supplies.card_weapon_box	5	1520037	2	1		320	1	{4,5,24,1,1}						0
																					
4	5	25	1	回馈时装礼盒		itembox	supplies.rebatebox_1	5	1510282	1	0		1200								0
																					
4	1	1	1	雪之形		sevenDay_Box1	supplies.NumansToken	4	1510075	1			1								999
4	1	2	1	开放世界临时货币		cashbox	supplies.opencoin	5	1510076	1			6	1							999
4	1	3	1	勤之轨		execution_Box1	supplies.NumansToken2	4	1510077	1			1								999
4	1	4	1	BP日常任务经验		bppoint_box	supplies.bppoint	4	1510086	1			1	1							0
4	1	4	2	BP周常任务经验		bppoint_box	supplies.bppoint	4	1510086	1			1	2							0
4	1	4	3	BP限定任务经验		bppoint_box	supplies.bppoint	4	1510086	1			1	3							0
4	1	4	4	基础通行证		battlepass_box	supplies.bpJunior	4	1510080	1			1		{4,1,4,4,1}						0
4	1	4	5	高级通行证		battlepass_box	supplies.bpSenior	5	1510081	1			2		{4,1,4,5,1}						0
4	1	5	1	特级-高级差价通行证内容		itembox	supplies.bpSenior	5		1	0		308		{4,1,5,1,1}						0
4	1	5	2	高级通行证内容		itembox	supplies.bpJunior	4		1	0		310		{4,1,5,2,1}						0
4	1	5	3	特级通行证内容		itembox	supplies.bpSenior	5		1	0		312		{4,1,5,3,1}						0
4	1	6	1	青蓝之羽		cashbox	supplies.dlc103	4	1510102	1	1		9	1	{4,1,6,1,1}						0
4	1	8	1	记忆方体		cashbox	supplies.OnlineTicket1	5	1510110	1	1		15		{4,1,8,1,1}						5
																					
4	1	7	1	测试掉落道具		itembox	supplies.dlc104	4	1510073	1	1		666		{4,1,7,1,1}						0
																					
4	1	6	4	通行密钥		cashbox	supplies.dlc2.token3	4	1510108	1	1		12		{4,1,6,4,1}						0
																					
4	1	6	5	奥普奖券		cashbox	supplies.OppTicket	5	1520023	1	1		13		{4,1,6,5,1}						9999
4	1	6	6	卢槟奖券		cashbox	supplies.RubyTicket	5	1520023	1	1		14		{4,1,6,6,1}						9999
																					
4	1	6	7	刷新道具（新星开拓）		cashbox	supplies.vircapture.token1	5	1520057	1	1		27		{4,1,6,7,1}						0
4	1	6	8	劝降经验（新星开拓）		vircapture_exp_box	supplies.vircapture_exp	4	1520058	1			1								0
4	1	6	9	万能鱼饵（新星开拓）		cashbox	supplies.vircapture.bait1	4	1520088	1	1		38	1	{4,1,6,9,1}						0
4	1	6	10	高级鱼饵（新星开拓）		cashbox	supplies.vircapture.bait2	5	1520088	1	1		39	1	{4,1,6,10,1}						0
4	1	6	11	普通劝降掉落（新星开拓）		itembox	supplies.vircapture_exp	3	1520058	1	1		777								0
4	1	6	12	高级劝降掉落（新星开拓）		itembox	supplies.vircapture_exp	3	1520058	1	1		778								0
4	1	6	13	稀有劝降掉落（新星开拓）		itembox	supplies.vircapture_exp	3	1520058	1	1		779								0
4	1	6	40	普通鱼饵		cashbox	supplies.vircapture.normalbait1	3	1520201	1	1		43								
4	1	6	41	豪华鱼饵		cashbox	supplies.vircapture.normalbait2	4	1520202	1	1		44								
4	1	6	42	至尊鱼饵		cashbox	supplies.vircapture.normalbait3	5	1520203	1	1		45								
4	1	6	43	重量级鱼类虫饵		cashbox	supplies.vircapture.matchbait1	5	1520204	1	1		46								
4	1	6	44	巨型鱼类虫饵		cashbox	supplies.vircapture.matchbait2	5	1520205	1	1		47								
4	1	6	45	重量级鱼类夜钓虫饵		cashbox	supplies.vircapture.matchbait3	5	1520206	1	1		48								
4	1	6	46	巨型鱼类夜钓虫饵		cashbox	supplies.vircapture.matchbait4	5	1520207	1	1		49								
4	1	6	14	蓝图币		cashbox	supplies.vircapture.newstarcoin1	4	1520311	1	1		55								0
																					
4	1	6	16	建筑解锁道具			supplies.vircapture.newstarunlockbuild	5	1520313	1	1		1								0
4	1	6	17	增益效果			supplies.vircapture.newstarunlockbuff	5	1520314	1	1		1								0
4	1	6	18	毛球币（多诺巅峰对决）		cashbox	supplies.donoduel_cash1	5	1520315	1	1		63								0
																					
4	11	1	1	追加物资包		itembox	supplies.BPSupplyPack	3	1520030	1	1		701								0
4	11	2	1	时装资金自选箱·昼朗		itembox	supplies.bp_box3	5	1520037	2	0		702	1							0
4	11	3	1	时装资金自选箱·盛海		itembox	supplies.bpskinbox3	5	1520037	2	0		703	1							0
4	11	4	1	时装资金自选箱·绘霜		itembox	supplies.bpskinbox4	5	1520037	2	0		704	1							0
4	11	5	1	时装资金自选箱·澄音		itembox	supplies.bpskinbox5	5	1520037	2	0		705	1							0
4	11	6	1	时装资金自选箱·焰光		itembox	supplies.bpskinbox6	5	1520037	2	0		706	1							0
4	11	7	1	时装资金自选箱·夜阑		itembox	supplies.bpskinbox7	5	1520037	2	0		707	1							0
4	11	8	1	时装资金自选箱·空岛		itembox	supplies.bpskinbox8	5	1520037	2	0		708	1							0
4	11	9	1	时装资金自选箱·息风		itembox	supplies.bpskinbox9	5	1520037	2	0		709	1							0
4	11	10	1	时装资金自选箱·星辉		itembox	supplies.bpskinbox10	5	1520037	2	0		710	1							0
4	11	10	2	时装资金自选箱·星辉2		itembox	supplies.bpskinbox10_2	5	1520037	2	0		711	1							0
4	11	11	1	时装资金自选箱·星海		itembox	supplies.bpskinbox11	5	1520037	2	0		712	1							0
4	11	12	1	时装资金自选箱·鸣沙		itembox	supplies.bpskinbox12	5	1520037	2	0		713	1							0
4	11	13	1	时装资金自选箱·晶岩		itembox	supplies.bpskinbox13	5	1520037	2	0		714	1							0
4	11	14	1	时装资金自选箱·栖心		itembox	supplies.bpskinbox14	5	1520037	2	0		715	1							0
4	11	15	1	时装资金自选箱·绚花		itembox	supplies.bpskinbox15	5	1520037	2	0		716	1							0
4	11	16	1	时装资金自选箱·渊源		itembox	supplies.bpskinbox16	5	1520037	2	0		717	1							0
4	11	17	1	时装资金自选箱·变格		itembox	supplies.bpskinbox17	5	1520037	2	0		718	1							0
4	11	18	1	时装资金自选箱·真理		itembox	supplies.bpskinbox18	5	1520037	2	0		719	1							0
4	11	19	1	时装资金自选箱·蔷薇		itembox	supplies.bpskinbox19	5	1520037	2	0		720	1							0
4	11	20	1	时装资金自选箱·漾彩		itembox	supplies.bpskinbox20	5	1520037	2	0		721	1							0
4	11	21	1	时装资金自选箱·天扉		itembox	supplies.bpskinbox21	5	1520037	2	0		722	1							0
4	11	22	1	时装资金自选箱·勇气		itembox	supplies.bpskinbox22	5	1520037	2	0		723	1							0
4	11	23	1	时装资金自选箱·汐梦		itembox	supplies.bpskinbox23	5	1520037	2	0		724	1							0
4	11	24	1	时装资金自选箱·煦风		itembox	supplies.bpskinbox24	5	1520037	2	0		725	1							0
																					
4	13	1	1	武器外观资金箱·星辉		itembox	supplies.bpweaponskin_box1	5	1510212	1	0		401								
																					
4	1	9	1	DLC3探索经验-任务产出		explore_exp_box	supplies.explore_exp	4	110400030	1			1	1							0
4	1	9	2	DLC3探索经验-怪物产出		explore_exp_box	supplies.explore_exp	4	110400030	1			1	2							0
4	1	9	3	DLC3钓鱼经验-钓鱼/任务产出		fishexp_box	supplies.fish_exp	4	110400020	1			1								0
4	1	10	1	翠星宝螺（dlc3货币）		cashbox	supplies.dlc3coin1	4	1510111	1	1		16	1	{4,1,10,1}						999
4	1	10	2	碧月星壳（dlc3高级货币）		cashbox	supplies.dlc3coin7	5	1510119	1	1		22	1	{4,1,10,2}						999
4	1	11	1	炎阳珍珠（乱战宝礁货币1）		cashbox	supplies.dlc3coin2	4	1510112	1	1		17	1	{4,1,11,1}						999
