道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	初始星数（初始突破次数=星数-1）	图标	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	等级限制配置ID,与level_limit.txt中配置ID对应	附加参数1	附加参数2	附加参数3	成长属性ID	外观ID	后勤卡默认技能ID(数组）	套装技能对应ID	词缀池{A,B}	单次洗炼消耗	一二词条洗炼消耗	保底洗炼消耗	提供经验值	消耗金币	分解回收配置，对应recycle.txt中得ID列	档案解锁条件	GM投放	掉落途径	可查看时间限制
3	3	36	1	金甲-艾巴赫		support_card	support.name108	5	1	11300105	11500105			1	1009				10118			10036	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	36	2	金甲-菈普克		support_card	support.name106	5	1	11300103	11500103			1	1009				10116			10036	{12,12,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	36	2	金甲-莫尔德莉		support_card	support.name107	5	1	11300104	11500104			1	1009				10117			10036	{12,12,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	36	2	金甲-艾巴赫		support_card	support.name108	5	1	11300105	11500105			1	1009				10118			10036	{12,12,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	37	1	星朗-朵薇尔		support_card	support.name109	5	1	11300106	11500106			1	1009				10119			10037	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	37	1	星朗-爱莉薇娅		support_card	support.name110	5	1	11300107	11500107			1	1009				10120			10037	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	37	1	星朗-妲柯丝		support_card	support.name111	5	1	11300108	11500108			1	1009				10121			10037	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	37	2	星朗-朵薇尔		support_card	support.name109	5	1	11300106	11500106			1	1009				10119			10037	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	37	2	星朗-爱莉薇娅		support_card	support.name110	5	1	11300107	11500107			1	1009				10120			10037	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	37	2	星朗-妲柯丝		support_card	support.name111	5	1	11300108	11500108			1	1009				10121			10037	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	38	1	清乐-桫椤		support_card	support.name112	5	1	11300109	11500109			1	1009				10122			10038	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	38	1	清乐-白桦		support_card	support.name113	5	1	11300110	11500110			1	1009				10123			10038	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	38	1	清乐-棕榈		support_card	support.name114	5	1	11300111	11500111			1	1009				10124			10038	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	38	2	清乐-桫椤-定制		support_card	support.name112	5	1	11300109	11500109			1	1009				10122			10038	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	38	2	清乐-白桦-定制		support_card	support.name113	5	1	11300110	11500110			1	1009				10123			10038	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	38	2	清乐-棕榈-定制		support_card	support.name114	5	1	11300111	11500111			1	1009				10124			10038	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	39	1	掠影-弗栗多		support_card	support.name115	5	1	11300112	11500112			1	1009				10125			10039	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	39	1	掠影-伐楼妮		support_card	support.name116	5	1	11300113	11500113			1	1009				10126			10039	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	39	1	掠影-因陀罗		support_card	support.name117	5	1	11300114	11500114			1	1009				10127			10039	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	40	1	钢羽-布莱莉卡		support_card	support.name118	5	1	11300115	11500115			1	1009				10128			10040	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	40	1	钢羽-蕾拉		support_card	support.name119	5	1	11300116	11500116			1	1009				10129			10040	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	40	1	钢羽-普尔法		support_card	support.name120	5	1	11300117	11500117			1	1009				10130			10040	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	40	2	钢羽-布莱莉卡-定制		support_card	support.name118	5	1	11300115	11500115			1	1009				10128			10040	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	40	2	钢羽-蕾拉-定制		support_card	support.name119	5	1	11300116	11500116			1	1009				10129			10040	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	40	2	钢羽-普尔法-定制		support_card	support.name120	5	1	11300117	11500117			1	1009				10130			10040	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	41	1	射影-玛莉妮		support_card	support.name121	5	1	11300118	11500118			1	1009				10131			10041	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	41	1	射影-贝莎		support_card	support.name122	5	1	11300119	11500119			1	1009				10132			10041	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	41	1	射影-埃拉托		support_card	support.name123	5	1	11300120	11500120			1	1009				10133			10041	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	42	1	超视-狄瓦丝		support_card	support.name124	5	1	11300121	11500121			1	1009				10134			10042	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	42	1	超视-奥莎娜		support_card	support.name125	5	1	11300122	11500122			1	1009				10135			10042	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	42	1	超视-天厨一		support_card	support.name126	5	1	11300123	11500123			1	1009				10136			10042	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	43	1	泽虹-西格丽达		support_card	support.name127	5	1	11300124	11500124			1	1009				10137			10043	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	43	1	泽虹-莉尼		support_card	support.name128	5	1	11300125	11500125			1	1009				10138			10043	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	43	1	泽虹-缔罗尔		support_card	support.name129	5	1	11300126	11500126			1	1009				10139			10043	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	44	1	新桃-温然		support_card	support.name130	5	1	11300127	11500127			1	1009				10140			10044	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	44	1	新桃-铃焰		support_card	support.name131	5	1	11300128	11500128			1	1009				10141			10044	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	44	1	新桃-玉茗		support_card	support.name132	5	1	11300129	11500129			1	1009				10142			10044	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	45	1	闻风-乌贝尔		support_card	support.name133	5	1	11300130	11500130			1	1009				10143			10045	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	45	1	闻风-伊瑟瑞斯		support_card	support.name134	5	1	11300131	11500131			1	1009				10144			10045	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	45	1	闻风-谢菲尔		support_card	support.name135	5	1	11300132	11500132			1	1009				10145			10045	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	45	2	闻风-乌贝尔-定制		support_card	support.name133	5	1	11300130	11500130			1	1009				10143			10045	{10,10,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	45	2	闻风-伊瑟瑞斯-定制		support_card	support.name134	5	1	11300131	11500131			1	1009				10144			10045	{10,10,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	45	2	闻风-谢菲尔-定制		support_card	support.name135	5	1	11300132	11500132			1	1009				10145			10045	{10,10,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	46	1	微光-猫柳		support_card	support.name136	5	1	11300133	11500133			1	1009				10146			10046	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	46	1	微光-秋晴		support_card	support.name137	5	1	11300134	11500134			1	1009				10147			10046	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	46	1	微光-长天		support_card	support.name138	5	1	11300135	11500135			1	1009				10148			10046	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	47	1	希德-瑞特兰		support_card	support.name139	5	1	11300136	11500136			1	1009				10149			10047	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	47	1	希德-乌布		support_card	support.name140	5	1	11300137	11500137			1	1009				10150			10047	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	47	1	希德-伊斯莫		support_card	support.name141	5	1	11300138	11500138			1	1009				10151			10047	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	48	1	花楸-白三叶		support_card	support.name142	5	1	11300139	11500139			1	1009				10152			10048	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	48	1	花楸-卡尔哈雅		support_card	support.name143	5	1	11300140	11500140			1	1009				10153			10048	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	48	1	花楸-柯尔希		support_card	support.name144	5	1	11300141	11500141			1	1009				10154			10048	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	48	2	花楸-白三叶-定制		support_card	support.name142	5	1	11300139	11500139			1	1009				10152			10048	{11,11,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	48	2	花楸-卡尔哈雅-定制		support_card	support.name143	5	1	11300140	11500140			1	1009				10153			10048	{11,11,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	48	2	花楸-柯尔希-定制		support_card	support.name144	5	1	11300141	11500141			1	1009				10154			10048	{11,11,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	49	1	星夜-南希		support_card	support.name145	5	1	11300142	11500142			1	1009				10155			10049	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	49	1	星夜-梅尔塞蒂		support_card	support.name146	5	1	11300143	11500143			1	1009				10156			10049	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	49	1	星夜-彗音		support_card	support.name147	5	1	11300144	11500144			1	1009				10157			10049	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	50	1	映现-梅莉桑德		support_card	support.name148	5	1	11300145	11500145			1	1009				10158			10050	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	50	1	映现-尤拉莉雅		support_card	support.name149	5	1	11300146	11500146			1	1009				10159			10050	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	50	1	映现-奥德涅		support_card	support.name150	5	1	11300147	11500147			1	1009				10160			10050	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	51	1	秘源-席拉		support_card	support.name151	5	1	11300148	11500148			1	1009				10161			10051	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	51	1	秘源-艾欧妮		support_card	support.name152	5	1	11300149	11500149			1	1009				10162			10051	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	51	1	秘源-卡诺莎		support_card	support.name153	5	1	11300150	11500150			1	1009				10163			10051	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	51	2	秘源-席拉-定制		support_card	support.name151	5	1	11300148	11500148			1	1009				10161			10051	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	51	2	秘源-艾欧妮-定制		support_card	support.name152	5	1	11300149	11500149			1	1009				10162			10051	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	51	2	秘源-卡诺莎-定制		support_card	support.name153	5	1	11300150	11500150			1	1009				10163			10051	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	52	1	祈歌-奥萝拉		support_card	support.name154	5	1	11300151	11500151			1	1009				10164			10052	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	52	1	祈歌-雪青		support_card	support.name155	5	1	11300152	11500152			1	1009				10165			10052	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	52	1	祈歌-莱妮娅		support_card	support.name156	5	1	11300153	11500153			1	1009				10166			10052	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	53	1	新芽-普莉姆		support_card	support.name157	5	1	11300154	11500154			1	1009				10167			10053	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	53	1	新芽-艾维琳		support_card	support.name158	5	1	11300155	11500155			1	1009				10168			10053	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	53	1	新芽-柯菈		support_card	support.name159	5	1	11300156	11500156			1	1009				10169			10053	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	54	1	天秤-炽		support_card	support.name160	5	1	11300157	11500157			1	1009				10170			10054	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	54	1	天秤-魂音		support_card	support.name161	5	1	11300158	11500158			1	1009				10171			10054	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	54	1	天秤-索拉妮		support_card	support.name162	5	1	11300159	11500159			1	1009				10172			10054	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	54	2	天秤-炽-定制		support_card	support.name160	5	1	11300157	11500157			1	1009				10170			10054	{11,11,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	54	2	天秤-魂音-定制		support_card	support.name161	5	1	11300158	11500158			1	1009				10171			10054	{11,11,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	54	2	天秤-索拉妮-定制		support_card	support.name162	5	1	11300159	11500159			1	1009				10172			10054	{11,11,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	55	1	飞云-拉玛娜		support_card	support.name163	5	1	11300160	11500160			1	1009				10173			10055	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	55	1	飞云-希妮		support_card	support.name164	5	1	11300161	11500161			1	1009				10174			10055	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	55	1	飞云-库里姆		support_card	support.name165	5	1	11300162	11500162			1	1009				10175			10055	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	56	1	碧空-薇奈		support_card	support.name166	5	1	11300163	11500163			1	1009				10176			10056	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	56	1	碧空-西泽		support_card	support.name167	5	1	11300164	11500164			1	1009				10177			10056	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	56	1	碧空-美榴		support_card	support.name168	5	1	11300165	11500165			1	1009				10178			10056	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	56	2	碧空-薇奈-定制		support_card	support.name166	5	1	11300163	11500163			1	1009				10176			10056	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	56	2	碧空-西泽-定制		support_card	support.name167	5	1	11300164	11500164			1	1009				10177			10056	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	56	2	碧空-美榴-定制		support_card	support.name168	5	1	11300165	11500165			1	1009				10178			10056	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	57	1	重叶-梅贝尔		support_card	support.name169	5	1	11300166	11500166			1	1009				10179			10057	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	57	1	重叶-伊莉斯		support_card	support.name170	5	1	11300167	11500167			1	1009				10180			10057	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	57	1	重叶-歌莉娅		support_card	support.name171	5	1	11300168	11500168			1	1009				10181			10057	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	58	1	图征-斯瓦莉		support_card	support.name172	5	1	11300170	11500170			1	1009				10182			10058	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202601011000]
3	2	58	1	图征-库兰娅丝		support_card	support.name173	5	1	11300169	11500169			1	1009				10183			10058	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202601011000]
3	3	58	1	图征-索莉妮		support_card	support.name174	5	1	11300171	11500171			1	1009				10184			10058	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202601011000]
3	1	58	2	图征-斯瓦莉-定制		support_card	support.name172	5	1	11300170	11500170			1	1009				10182			10058	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202601011000]
3	2	58	2	图征-库兰娅丝-定制		support_card	support.name173	5	1	11300169	11500169			1	1009				10183			10058	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202601011000]
3	3	58	2	图征-索莉妮-定制		support_card	support.name174	5	1	11300171	11500171			1	1009				10184			10058	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202601011000]
																																	
3	1	59	1	圣树-露米		support_card	support.name175	5	1	11300172	11500172			1	1009				10185			10059	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	59	1	圣树-玛格丽特		support_card	support.name176	5	1	11300173	11500173			1	1009				10186			10059	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	59	1	圣树-阿尔维娜		support_card	support.name177	5	1	11300174	11500174			1	1009				10187			10059	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	60	1	松露-蕈影		support_card	support.name178	5	1	11300175	11500175			1	1009				10188			10060	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202602121000]
3	2	60	1	松露-榆		support_card	support.name179	5	1	11300176	11500176			1	1009				10189			10060	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202602121000]
3	3	60	1	松露-虹彩		support_card	support.name180	5	1	11300177	11500177			1	1009				10190			10060	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202602121000]
3	1	60	2	松露-蕈影-定制		support_card	support.name178	5	1	11300175	11500175			1	1009				10188			10060	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202602121000]
3	2	60	2	松露-榆-定制		support_card	support.name179	5	1	11300176	11500176			1	1009				10189			10060	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202602121000]
3	3	60	2	松露-虹彩-定制		support_card	support.name180	5	1	11300177	11500177			1	1009				10190			10060	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202602121000]
																																	
3	1	61	1	向月-凝釉		support_card	support.name181	5	1	11300178	11500178			1	1009				10191			10061	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	61	1	向月-烛照		support_card	support.name182	5	1	11300179	11500179			1	1009				10192			10061	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	61	1	向月-清荷		support_card	support.name183	5	1	11300180	11500180			1	1009				10193			10061	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	62	1	奇点-欧律拉克		support_card	support.name184	5	1	11300181	11500181			1	1009				10194			10062	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202605221000]
3	2	62	1	奇点-贝勒姬		support_card	support.name185	5	1	11300182	11500182			1	1009				10195			10062	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202605221000]
3	3	62	1	奇点-纳尔贝拉		support_card	support.name186	5	1	11300183	11500183			1	1009				10196			10062	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		[202605221000]
3	1	62	2	奇点-欧律拉克-定制		support_card	support.name184	5	1	11300181	11500181			1	1009				10194			10062	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202605221000]
3	2	62	2	奇点-贝勒姬-定制		support_card	support.name185	5	1	11300182	11500182			1	1009				10195			10062	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202605221000]
3	3	62	2	奇点-纳尔贝拉-定制		support_card	support.name186	5	1	11300183	11500183			1	1009				10196			10062	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		[202605221000]
																																	
3	1	63	1	时序-希卡莉		support_card	support.name187	5	1	11300184	11500184			1	1009				10191			10061	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
