商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	Pc后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包和武器皮肤会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包和武器皮肤会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本	DMM点数
3	401							野氛·后勤提升包	4	{4,5,6,93,1}		4	1		{1,32}		supplies.giftbox118								[202407251000]	[202408220400]					11					
3	402							轻诉·每周天启者聘任包	4	{4,5,6,94,1}		2	1		{1,16}		supplies.giftbox119								[202408221000]	[202409260400]					1					
3	403							归诏·天启者聘任包	4	{4,5,6,95,1}		4	1		{1,128}		supplies.giftbox120								[202408221000]	[202409260400]					2				1	
3	404							戎谱·武器定制包	4	{4,5,6,96,1}		4	1		{1,128}		supplies.giftbox121								[202408221000]	[202409260400]					3				1	
3	405							智谋·豪华物资包	4	{4,5,6,97,1}		4	1		{1,228}		supplies.giftbox122								[202408221000]	[202409260400]					4				1	
3	406							默访·资金包	4	{4,5,6,98,1}		4	1		{1,68}		supplies.giftbox123								[202408221000]	[202409260400]					5				1	
3	407							鉴证·成长物资包	4	{4,5,6,99,1}		4	1		{1,68}		supplies.giftbox124								[202408221000]	[202409260400]					6				1	
3	408							战记·成长物资包1	4	{4,5,6,100,1}		4	1		{1,38}		supplies.giftbox125								[202408221000]	[202409260400]					7				1	
3	409							捷讯·成长物资包2	4	{4,5,6,101,1}		4	1		{1,38}		supplies.giftbox126								[202408221000]	[202409260400]					8				1	
3	410							围议·后勤提升包	4	{4,5,6,102,1}		4	1		{1,32}		supplies.giftbox127								[202408221000]	[202409260400]					9				1	
																																				
4	616							DLC7恩雅-轻语疗法（皮肤）	5	{7,11,2,2,1}		4	1		{1,128}							92.5	[202408271000]	[202408301000]	[202408271000]	[202408301000]					1					
4	615							DLC7琴诺-见习侍奉（皮肤）	5	{7,7,2,2,1}		4	1		{1,128}							77	[202408271000]	[202408301000]	[202408271000]	[202408301000]					2					
																																				
9	1004							最全捆绑包（轻语疗法+恩雅皮肤互动道具）	5	{4,8,2,1,1}		4	1		{1,198}			1601100	1601102	1601101		85	[202408271000]	[202408301000]	[202408271000]	[202408301000]					3		{616,802}	162		
																																				
10	805							治愈准则（武器皮肤）	5	{17,4,1,1,1}		4	1		{1,28}			142400004		142400003		72	[202408221000]	[202409250300]	[202408221000]	[202409250300]					1			168	1	
10	801							全糖蜜令（武器皮肤）	5	{17,3,1,1,1}		4	1		{1,28}			142300004		142300003		72	[202408271000]	[202408301000]	[202408271000]	[202408301000]					3				6	
																																				
4	612							DLC6辉夜-东流映荷(皮肤)	5	{7,1,2,3,1}		4	1		{1,128}							69	[202408271000]	[202408301000]	[202408271000]	[202408301000]					9				6	
4	614							DLC6伊切尔-迟到花蕾(皮肤）	5	{7,16,1,2,1}		4	1		{1,68}										[202408271000]	[202408301000]					5				6	
4	604							DLC2芙提雅-行疾脱兔	5	{7,4,2,2,1}		4	1		{1,68}										[202408271000]	[202408301000]					13				2	
4	608							DLC4咎冠-初晴金雪(皮肤）	5	{7,8,2,3,1}		4	1		{1,68}										[202408271000]	[202408301000]					11				4	
4	609							DLC4狂猎-霜舞盛典(皮肤）	5	{7,2,2,3,1}		4	1		{1,68}										[202408271000]	[202408301000]					10				4	
4	613							DLC6咎冠-甜蜜统治(皮肤）	5	{7,8,2,5,1}		4	1		{1,128}							77	[202408271000]	[202408301000]	[202408271000]	[202408301000]					6				6	
4	610							DLC5凯西娅-远曲独舞(皮肤）	5	{7,15,1,2,1}		4	1		{1,128}							77	[202408271000]	[202408301000]	[202408271000]	[202408301000]					7				5	
4	607							DLC4苔丝-流放欢愉(皮肤）	5	{7,17,1,2,1}		4	1		{1,128}										[202408271000]	[202408301000]					3				4	
4	611							DLC5芙提雅-狂曲雅跃(皮肤）	5	{7,4,2,3,1}		4	1		{1,68}										[202408271000]	[202408301000]					8				5	
4	622	1						辉夜-次元追忆	5	{7,1,2,2,1}		4	1		{1,48}										[202408271000]	[202408301000]										
4	623	1						狂猎-街头规则	5	{7,2,2,4,1}		4	1		{1,48}										[202408271000]	[202408301000]										
4	624	1						雨燕-一掷千金	5	{7,5,2,2,1}		4	1		{1,48}										[202408271000]	[202408301000]										
4	625	1						藏锋-循风谍舞	5	{7,6,2,3,1}		4	1		{1,48}										[202408271000]	[202408301000]										
4	626	1						咎冠-蜂刺蔷薇	5	{7,8,2,2,1}		4	1		{1,48}										[202408271000]	[202408301000]										
4	627	1						冬至-雪岭焰行	5	{7,10,2,2,1}		4	1		{1,48}										[202408271000]	[202408301000]										
4	628	1						苔丝-秘密约会	5	{7,17,1,4,1}		4	1		{1,48}										[202408271000]	[202408301000]										
																																				
11	802							恩雅皮肤互动道具	5	{19,11,2,2,1}		4	1		{1,70}			1601103	1601105	1601104		72			[202408271000]	[202408301000]										
																																				
9	1001							捆绑包（甜蜜统治+全糖蜜令）	5	{4,8,1,1,1}		4	1		{1,156}			142300006		142300005		76	[202408271000]	[202408301000]	[202408271000]	[202408301000]					3		{613,801}		6	
																																				
3	411							凉抚·每周天启者聘任包	4	{4,5,6,103,1}		2	1		{1,16}		supplies.giftbox128								[202409260400]	[202411070400]					1				1	
3	412							凝珠·顶级物资包	4	{4,5,6,104,1}		4	1		{1,328}		supplies.giftbox129								[202409260400]	[202411070400]					6				1	
3	413							冰酪·天启者聘任包	4	{4,5,6,105,1}		4	1		{1,128}		supplies.giftbox130								[202409260400]	[202410240400]					4				1	
3	414							冻冻·武器定制包	4	{4,5,6,106,1}		4	1		{1,128}		supplies.giftbox131								[202409260400]	[202410240400]					5				1	
3	415							凛翠·资金包	4	{4,5,6,107,1}		4	1		{1,68}		supplies.giftbox132								[202409260400]	[202410240400]					12				1	
3	416							甜冽·成长物资包	4	{4,5,6,108,1}		4	1		{1,68}		supplies.giftbox133								[202409260400]	[202410240400]					13				1	
3	417							净泉·成长物资包	4	{4,5,6,109,1}		4	1		{1,38}		supplies.giftbox134								[202409260400]	[202410240400]					14				1	
3	418							冷蜜·成长物资包	4	{4,5,6,110,1}		4	1		{1,38}		supplies.giftbox135								[202409260400]	[202410240400]					15				1	
3	419							糖凇·后勤提升包	4	{4,5,6,111,1}		4	1		{1,32}		supplies.giftbox136								[202409260400]	[202410240400]					16				1	
3	420							涛湍·天启者聘任包	4	{4,5,6,112,1}		4	1		{1,128}		supplies.giftbox137								[202410101000]	[202411070400]					2				1	
3	421							浪涌·武器定制包	4	{4,5,6,113,1}		4	1		{1,128}		supplies.giftbox138								[202410101000]	[202411070400]					3				1	
3	422							流念·资金包	4	{4,5,6,114,1}		4	1		{1,68}		supplies.giftbox139								[202410101000]	[202411070400]					7				1	
3	423							泓隐·成长物资包	4	{4,5,6,115,1}		4	1		{1,68}		supplies.giftbox140								[202410101000]	[202411070400]					8				1	
3	424							沫散·成长物资包	4	{4,5,6,116,1}		4	1		{1,38}		supplies.giftbox141								[202410101000]	[202411070400]					9				1	
3	425							汀奏·成长物资包	4	{4,5,6,117,1}		4	1		{1,38}		supplies.giftbox142								[202410101000]	[202411070400]					10				1	
3	426							溪旅·后勤提升包	4	{4,5,6,118,1}		4	1		{1,32}		supplies.giftbox143								[202410101000]	[202411070400]					11				1	
																																				
9	1011							捆绑包（茉莉安-幽潮-灿阳一刻+【互动情景·婪夜】预售礼盒+未来心跳）	5	{4,8,6,1,1}		4	1		{1,226}			1601135		1601136		74.5	[202410101000]	[202411070400]	[202410101000]	[202411070400]				{{4,15,1,1},{19,5,3,2}}	2		{630,853,807}	181	1	
																																				
11	853							【互动情景·婪夜】预售礼盒	5	{4,15,1,1,1}		4	1		{1,70}			1601138	1601137	1601139		58	[202410101000]	[202411070400]	[202410101000]	[202411070400]				{{4,15,1,1}}	2				1	
																																				
3	427							辟垦·每周天启者聘任包	4	{4,5,6,119,1}		2	1		{1,16}		supplies.giftbox144								[202411071000]	[202412190400]					1					
3	428							晖坠·天启者聘任包	4	{4,5,6,120,1}		4	1		{1,128}		supplies.giftbox145								[202411071000]	[202412190400]					2					
3	429							琢圭·武器定制包	4	{4,5,6,121,1}		4	1		{1,128}		supplies.giftbox146								[202411071000]	[202412190400]					3					
3	430							峰壑·豪华物资包	4	{4,5,6,122,1}		4	1		{1,228}		supplies.giftbox147								[202411071000]	[202412190400]					4					
3	431							崖堑·资金包	4	{4,5,6,123,1}		4	1		{1,68}		supplies.giftbox148								[202411071000]	[202412190400]					5					
3	432							观壁·成长物资包	4	{4,5,6,124,1}		4	1		{1,68}		supplies.giftbox149								[202411071000]	[202412190400]					6					
3	433							砂垒·成长物资包	4	{4,5,6,125,1}		4	1		{1,38}		supplies.giftbox150								[202411071000]	[202412190400]					7					
3	434							荒垄·成长物资包	4	{4,5,6,126,1}		4	1		{1,38}		supplies.giftbox151								[202411071000]	[202412190400]					8					
3	435							摧坚·后勤提升包	4	{4,5,6,127,1}		4	1		{1,32}		supplies.giftbox152								[202411071000]	[202412190400]					9					
																																				
3	436							炙阳·每周天启者聘任包	4	{4,5,6,128,1}		2	1		{1,16}		supplies.giftbox153								[202412191000]	[202501230400]					1					
3	437							灵现·天启者聘任包	4	{4,5,6,129,1}		4	1		{1,128}		supplies.giftbox154								[202412191000]	[202501230400]					2					
3	438							焚铄·武器定制包	4	{4,5,6,130,1}		4	1		{1,128}		supplies.giftbox155								[202412191000]	[202501230400]					3					
3	439							焱勇·豪华物资包	4	{4,5,6,131,1}		4	1		{1,228}		supplies.giftbox156								[202412191000]	[202501230400]					4					
3	440							燎金·资金包	4	{4,5,6,132,1}		4	1		{1,68}		supplies.giftbox157								[202412191000]	[202501230400]					5					
3	441							燃犀·成长物资包	4	{4,5,6,133,1}		4	1		{1,68}		supplies.giftbox158								[202412191000]	[202501230400]					6					
3	442							炽盛·成长物资包	4	{4,5,6,134,1}		4	1		{1,38}		supplies.giftbox159								[202412191000]	[202501230400]					7					
3	443							烬腾·成长物资包	4	{4,5,6,135,1}		4	1		{1,38}		supplies.giftbox160								[202412191000]	[202501230400]					8					
3	444							炼骨·后勤提升包	4	{4,5,6,136,1}		4	1		{1,32}		supplies.giftbox161								[202412191000]	[202501230400]					9					
3	445							琳秀·每周天启者聘任包	4	{4,5,6,137,1}		2	1		{1,16}		supplies.giftbox162								[202501230400]	[202503060400]					1					
3	446							华琅·顶级物资包	4	{4,5,6,138,1}		4	1		{1,328}		supplies.giftbox163								[202501230400]	[202503060400]					6					
3	447							璇姿·天启者聘任包	4	{4,5,6,139,1}		4	1		{1,128}		supplies.giftbox164								[202501230400]	[202503060400]					4					
3	448							琼枝·武器定制包	4	{4,5,6,140,1}		4	1		{1,128}		supplies.giftbox165								[202501230400]	[202503060400]					5					
3	449							锦瑰·资金包	4	{4,5,6,141,1}		4	1		{1,68}		supplies.giftbox166								[202501230400]	[202503060400]					12					
3	450							稀珍·成长物资包	4	{4,5,6,142,1}		4	1		{1,68}		supplies.giftbox167								[202501230400]	[202503060400]					13					
3	451							绯玑·成长物资包	4	{4,5,6,143,1}		4	1		{1,38}		supplies.giftbox168								[202501230400]	[202503060400]					14					
3	452							彤珠·成长物资包	4	{4,5,6,144,1}		4	1		{1,38}		supplies.giftbox169								[202501230400]	[202503060400]					15					
3	453							香璎·后勤提升包	4	{4,5,6,145,1}		4	1		{1,32}		supplies.giftbox170								[202501230400]	[202503060400]					16					
3	454							琉彩·天启者聘任包	4	{4,5,6,146,1}		4	1		{1,128}		supplies.giftbox171								[202502061000]	[202503060400]					2					
3	455							琢器·武器定制包	4	{4,5,6,147,1}		4	1		{1,128}		supplies.giftbox172								[202502061000]	[202503060400]					3					
3	456							玫印·资金包	4	{4,5,6,148,1}		4	1		{1,68}		supplies.giftbox173								[202502061000]	[202503060400]					7					
3	457							素珞·成长物资包	4	{4,5,6,149,1}		4	1		{1,68}		supplies.giftbox174								[202502061000]	[202503060400]					8					
3	458							赤瑶·成长物资包	4	{4,5,6,150,1}		4	1		{1,38}		supplies.giftbox175								[202502061000]	[202503060400]					9					
3	459							丹瑾·成长物资包	4	{4,5,6,151,1}		4	1		{1,38}		supplies.giftbox176								[202502061000]	[202503060400]					10					
3	460							花珀·后勤提升包	4	{4,5,6,152,1}		4	1		{1,32}		supplies.giftbox177								[202502061000]	[202503060400]					11					
																																				
																																				
4	603							晴-凛冽冬花（皮肤）	5	{7,6,2,2,1}		4	1		{1,68}										[202501230400]	[202503060400]					7				2	
																																				
4	618							DLC8凯西娅-贴身特助（皮肤）	5	{7,15,1,5,1}		4	1		{1,128}							77	[202501230400]	[202503060400]	[202501230400]	[202503060400]				{{7,15,1,4}}	5					
4	621							DLC9茉莉安-雨燕-绯染夜幕（皮肤）	5	{7,5,2,3,1}		4	1		{1,128}							77	[202501230400]	[202503060400]	[202501230400]	[202503060400]					10				1	
																																				
9	1018							捆绑包（肴-夜天光-暖夜情醺+武器皮）	5	{4,8,12,1,1}		4	1		{1,156}			1601171		1601168		82.5	[202502061000]	[202503060400]	[202502061000]	[202503060400]					3		{637,813}	217		
																																				
9	1008							翠翎倩姿皮肤+部件自选捆绑包	5	{7,18,1,2,1}	1	4	1		{1,128}		supplies.bundlebox1001	1601127		1601126		77	[202501230400]	[202503060400]	[202501230400]	[202503060400]					6	1008		227	1	
9	1009							点墨化龙皮肤+部件自选捆绑包	5	{7,14,2,4,1}	2	4	1		{1,128}		supplies.bundlebox1002	1601123		1601122		77	[202501230400]	[202503060400]	[202501230400]	[202503060400]					7	1009		228	1	
																																				
11	856							【互动情景·暖夜恒约】预售礼盒	5	{4,15,1,2,1}		4	1		{1,70}			1601167	1601166	1601165		72	[202502061000]	[202503060400]	[202502061000]	[202503060400]				{{4,15,1,2}}	2					
																																				
12	901							凯西娅-贴身特助-网袜部件	5	{20,1,1,2,1}		4	1		{1,10}			1601110		1601111		1					[202501230400]	[202503060400]			1					
12	902							翠翎倩姿部件自选	5		1				{1,10}		ui.TxtFashionMall14	1601129		1601128							[202501230400]	[202503060400]			2				1	
																																				
3	461							风绻·每周天启者聘任包	4	{4,5,6,153,1}		2	1		{1,16}		supplies.giftbox178								[202503061000]	[202504170400]					1					
3	462							飘寻·天启者聘任包	4	{4,5,6,154,1}		4	1		{1,128}		supplies.giftbox179								[202503061000]	[202504170400]					2					
3	463							飒影·武器定制包	4	{4,5,6,155,1}		4	1		{1,128}		supplies.giftbox180								[202503061000]	[202504170400]					3					
3	464							幻翼·豪华物资包	4	{4,5,6,156,1}		4	1		{1,228}		supplies.giftbox181								[202503061000]	[202504170400]					4					
3	465							星翌·资金包	4	{4,5,6,157,1}		4	1		{1,68}		supplies.giftbox182								[202503061000]	[202504170400]					5					
3	466							渺岚·成长物资包	4	{4,5,6,158,1}		4	1		{1,68}		supplies.giftbox183								[202503061000]	[202504170400]					6					
3	467							翎光·成长物资包	4	{4,5,6,159,1}		4	1		{1,38}		supplies.giftbox184								[202503061000]	[202504170400]					7					
3	468							翩舞·成长物资包	4	{4,5,6,160,1}		4	1		{1,38}		supplies.giftbox185								[202503061000]	[202504170400]					8					
3	469							羽盈·后勤提升包	4	{4,5,6,161,1}		4	1		{1,32}		supplies.giftbox186								[202503061000]	[202504170400]					9					
																																				
4	640							薇蒂雅-龙舌兰-舞夜与焰	5	{7,18,1,3,1}		4	1		{1,128}							77	[202503061000]	[202504170400]	[202503061000]	[202504170400]					3					
																																				
9	1022							捆绑包（龙舌兰-舞夜与焰+星夜流沙）	5	{4,8,15,1,1}		4	1		{1,156}			142400015		142400016		76	[202503061000]	[202504170400]	[202503061000]	[202504170400]					3		{640,816}	258		
																																				
10	816							星夜流沙（武器皮肤）	5	{17,4,2,1,1}		4	1		{1,28}			142400014		142400013		72	[202503061000]	[202504170400]	[202503061000]	[202504170400]					3			258		
																																				
3	470							湄迹·每周天启者聘任包	4	{4,5,6,162,1}		2	1		{1,16}		supplies.giftbox187								[202504170400]	[202505290400]					1					
3	471							洄觅·天启者聘任包	4	{4,5,6,163,1}		4	1		{1,128}		supplies.giftbox188								[202504170400]	[202505290400]					2					
3	472							澄械·武器定制包	4	{4,5,6,164,1}		4	1		{1,128}		supplies.giftbox189								[202504170400]	[202505290400]					3					
3	473							漩能·豪华物资包	4	{4,5,6,165,1}		4	1		{1,228}		supplies.giftbox190								[202504170400]	[202505290400]					4					
3	474							溟镞·资金包	4	{4,5,6,166,1}		4	1		{1,68}		supplies.giftbox191								[202504170400]	[202505290400]					5					
3	475							沫迁·成长物资包	4	{4,5,6,167,1}		4	1		{1,68}		supplies.giftbox192								[202504170400]	[202505290400]					6					
3	476							涟狩·成长物资包	4	{4,5,6,168,1}		4	1		{1,38}		supplies.giftbox193								[202504170400]	[202505290400]					7					
3	477							漪震·成长物资包	4	{4,5,6,169,1}		4	1		{1,38}		supplies.giftbox194								[202504170400]	[202505290400]					8					
3	478							湫闻·后勤提升包	4	{4,5,6,170,1}		4	1		{1,32}		supplies.giftbox195								[202504170400]	[202505290400]					9					
																																				
4	642							妮塔悸响-林间潋滟	5	{7,3,2,2,1}		4	1		{1,128}							85	[202504170400]	[202505290400]	[202504170400]	[202505290400]					1					
																																				
																																				
9	1024							捆绑包（妮塔悸响-林间潋滟+互动+武器皮）	5	{4,8,17,1,1}		4	1		{1,226}			1601175		1601176		79	[202504170400]	[202505290400]	[202504170400]	[202505290400]					2		{642,858,818}	275		
9	1027							晨曦统令皮肤+部件自选捆绑包	5	{7,21,1,2,1}	3	4	1		{1,128}		supplies.bundlebox1019	142500045		142500046		77	[202504170400]	[202505290400]	[202504170400]	[202505290400]					1	1027		274		
																																				
																																				
11	858							互动情景·秘林	5	{19,3,2,2,1}		4	1		{1,70}			1601178	1601177	1601179		72			[202504170400]	[202505290400]					1					
10	818							深林微光	5	{17,3,7,1,1}		4	1		{1,28}			142300064		142300063		72	[202504170400]	[202505290400]	[202504170400]	[202505290400]					2			275		
																																				
																																				
3	479							幻钥·每周天启者聘任包	4	{4,5,6,171,1}		2	1		{1,16}		supplies.giftbox196								[202505291000]	[202507100400]					1					
3	480							虚键·天启者聘任包	4	{4,5,6,172,1}		4	1		{1,128}		supplies.giftbox197								[202505291000]	[202507100400]					2					
3	481							谶迹·武器定制包	4	{4,5,6,173,1}		4	1		{1,128}		supplies.giftbox198								[202505291000]	[202507100400]					3					
3	482							邃理·豪华物资包	4	{4,5,6,174,1}		4	1		{1,228}		supplies.giftbox199								[202505291000]	[202507100400]					4					
3	483							悖码·资金包	4	{4,5,6,175,1}		4	1		{1,68}		supplies.giftbox200								[202505291000]	[202507100400]					5					
3	484							谜蜕·成长物资包	4	{4,5,6,176,1}		4	1		{1,68}		supplies.giftbox201								[202505291000]	[202507100400]					6					
3	485							伪序·成长物资包	4	{4,5,6,177,1}		4	1		{1,38}		supplies.giftbox202								[202505291000]	[202507100400]					7					
3	486							逆因·成长物资包	4	{4,5,6,178,1}		4	1		{1,38}		supplies.giftbox203								[202505291000]	[202507100400]					8					
3	487							诡契·后勤提升包	4	{4,5,6,179,1}		4	1		{1,32}		supplies.giftbox204								[202505291000]	[202507100400]					9					
																																				
4	617							瑟瑞斯-瞬刻-须臾蹁跹（皮肤）	5	{7,13,2,2,1}		4	1		{1,128}							77	[202505291000]	[202507100400]	[202505291000]	[202507100400]					4					
4	633							瑟瑞斯-瞬刻-斑斓水色（皮肤）	5	{7,13,2,4,1}		4	1		{1,128}							77	[202505291000]	[202507100400]	[202505291000]	[202507100400]					5					
																																				
9	1014							捆绑包（瑟瑞斯-瞬刻-斑斓水色+澈海之约）	5	{4,8,8,1,1}		4	1		{1,156}			142300025		142300026		76	[202505291000]	[202507100400]	[202505291000]	[202507100400]					4		{633,809}	300		
																																				
10	809							澈海之约（武器皮肤）	5	{17,3,3,1,1}		4	1		{1,28}			142300024		142300023		72	[202505291000]	[202507100400]	[202505291000]	[202507100400]					4			300		
																																				
3	488							题献·每周天启者聘任包	4	{4,5,6,180,1}		2	1		{1,16}		supplies.giftbox205								[202507100400]	[202508210400]					1					
3	489							智辩·顶级物资包	4	{4,5,6,181,1}		4	1		{1,328}		supplies.giftbox206								[202507100400]	[202508210400]					6					
3	490							誓曲·天启者聘任包	4	{4,5,6,182,1}		4	1		{1,128}		supplies.giftbox207								[202507100400]	[202508210400]					4					
3	491							证冕·武器定制包	4	{4,5,6,183,1}		4	1		{1,128}		supplies.giftbox208								[202507100400]	[202508210400]					5					
3	492							谶序·资金包	4	{4,5,6,184,1}		4	1		{1,68}		supplies.giftbox209								[202507100400]	[202508210400]					12					
3	493							赋格·成长物资包	4	{4,5,6,185,1}		4	1		{1,68}		supplies.giftbox210								[202507100400]	[202508210400]					13					
3	494							哲颂·成长物资包	4	{4,5,6,186,1}		4	1		{1,38}		supplies.giftbox211								[202507100400]	[202508210400]					14					
3	495							夜理·成长物资包	4	{4,5,6,187,1}		4	1		{1,38}		supplies.giftbox212								[202507100400]	[202508210400]					15					
3	496							阈契·后勤提升包	4	{4,5,6,188,1}		4	1		{1,32}		supplies.giftbox213								[202507100400]	[202508210400]					16					
3	497							星绎·天启者聘任包	4	{4,5,6,189,1}		4	1		{1,128}		supplies.giftbox214								[202507241000]	[202508210400]					2					
3	498							思曜·武器定制包	4	{4,5,6,190,1}		4	1		{1,128}		supplies.giftbox215								[202507241000]	[202508210400]					3					
3	499							秘谕·资金包	4	{4,5,6,191,1}		4	1		{1,68}		supplies.giftbox216								[202507241000]	[202508210400]					7					
3	500							梦谒·成长物资包	4	{4,5,6,192,1}		4	1		{1,68}		supplies.giftbox217								[202507241000]	[202508210400]					8					
3	501							典钥·成长物资包	4	{4,5,6,193,1}		4	1		{1,38}		supplies.giftbox218								[202507241000]	[202508210400]					9					
3	502							律锚·成长物资包	4	{4,5,6,194,1}		4	1		{1,38}		supplies.giftbox219								[202507241000]	[202508210400]					10					
3	503							箴言·后勤提升包	4	{4,5,6,195,1}		4	1		{1,32}		supplies.giftbox220								[202507241000]	[202508210400]					11					
																																				
																																				
																																				
																																				
4	651							卜卜-小天师-畅饮狂欢（皮肤）	5	{7,20,1,3,1}		4	1		{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					4					
																																				
																																				
																																				
																																				
4	646							芙提雅-驰掣-泳池护卫（皮肤）	5	{7,4,3,4,1}		4	1		{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					9					
4	643							卜卜-元气愈养（皮肤）	5	{7,20,1,2,1}		4	1		{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					12					
																																				
																																				
4	632							芙提雅-弛掣-毛绒派对（皮肤）	5	{7,4,3,2,1}		4	1		{1,128}							77	[202507100400]	[202508210400]	[202507100400]	[202508210400]					16					
																																				
																																				
																																				
																																				
9	1034							捆绑包（卜卜-小天师-畅饮狂欢+武器皮）	5	{4,8,26,1,1}		4	1		{1,156}			142400035		142400036		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					4		{651,828}	313		
																																				
																																				
																																				
																																				
9	1029							捆绑包（芙提雅-驰掣-泳池护卫+武器皮）	5	{4,8,21,1,1}		4	1		{1,156}			142200023		142200024		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					9		{646,823}	324		
9	1025							捆绑包（卜卜-元气愈养+武器皮）	5	{4,8,18,1,1}		4	1		{1,156}			142400025		142400026		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					12		{643,819}	325		
																																				
																																				
9	1013							捆绑包（芙提雅-弛掣-毛绒派对+熊熊突击）	5	{4,8,7,1,1}		4	1		{1,156}			142200016		142200015		76	[202507100400]	[202508210400]	[202507100400]	[202508210400]					16		{632,808}	323		
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
10	828							软绒紧缚（武器皮肤）	5	{17,4,4,1,1}		4	1		{1,28}			142400034		142400033		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					4			313		
																																				
																																				
																																				
																																				
10	823							清凉公式（武器皮肤）	5	{17,2,4,1,1}		4	1		{1,28}			142200028		142200027		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					9			324		
10	819							浅粉印象（武器皮肤）	5	{17,4,3,1,1}		4	1		{1,28}			142400024		142400023		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					12			325		
																																				
																																				
10	808							熊熊突击（武器皮肤）	5	{17,2,2,1,1}		4	1		{1,28}			142200014		142200013		72	[202507100400]	[202508210400]	[202507100400]	[202508210400]					16			323		
																																				
3	504							夜礼·每周天启者聘任包	4	{4,5,6,196,1}		2	1		{1,16}		supplies.giftbox221								[202508211000]	[202509250400]					1					
3	505							夜礼·天启者聘任包	4	{4,5,6,197,1}		4	1		{1,128}		supplies.giftbox222								[202508211000]	[202509250400]					2					
3	506							夜礼·武器定制包	4	{4,5,6,198,1}		4	1		{1,128}		supplies.giftbox223								[202508211000]	[202509250400]					3					
3	507							夜礼·豪华物资包	4	{4,5,6,199,1}		4	1		{1,228}		supplies.giftbox224								[202508211000]	[202509250400]					4					
3	508							夜礼·成长资金包	4	{4,5,6,200,1}		4	1		{1,68}		supplies.giftbox225								[202508211000]	[202509250400]					5					
3	509							夜礼·神经突破包	4	{4,5,6,201,1}		4	1		{1,68}		supplies.giftbox226								[202508211000]	[202509250400]					6					
3	510							夜礼·等级提升包	4	{4,5,6,202,1}		4	1		{1,38}		supplies.giftbox227								[202508211000]	[202509250400]					7					
3	511							夜礼·神经通导包	4	{4,5,6,203,1}		4	1		{1,38}		supplies.giftbox228								[202508211000]	[202509250400]					8					
3	512							夜礼·后勤提升包	4	{4,5,6,204,1}		4	1		{1,32}		supplies.giftbox229								[202508211000]	[202509250400]					9					
																																				
																																				
4	653							妮塔-悸响-轻罗曼舞（皮肤）	5	{7,3,2,3,1}		4	1		{1,128}							77	[202508211000]	[202509250400]	[202508211000]	[202509250400]					2					
																																				
																																				
4	635							伊切尔-豹豹-捕猎演习	5	{7,16,1,4,1}		4	1		{1,128}							77	[202508211000]	[202509250400]	[202508211000]	[202509250400]					5					
																																				
																																				
9	1036							捆绑包（妮塔-悸响-轻罗曼舞+武器皮）	5	{4,8,28,1,1}		4	1		{1,156}			142300082		142300083		76	[202508211000]	[202509250400]	[202508211000]	[202509250400]					2		{653,830}	344		
																																				
																																				
9	1016							捆绑包（伊切尔-豹豹-捕猎演习+豹豹饱饱）	5	{4,8,10,1,1}		4	1		{1,156}			142300034		142300033		76	[202508211000]	[202509250400]	[202508211000]	[202509250400]					5		{635,811}	349		
																																				
																																				
10	830							寂夜覆纱（武器皮肤）	5	{17,3,9,1,1}		4	1		{1,28}			142300081		142300080		72	[202508211000]	[202509250400]	[202508211000]	[202509250400]					2			344		
																																				
10	811							豹豹饱饱（武器皮肤）	5	{17,3,4,1,1}		4	1		{1,28}			142300038		142300037		72	[202508211000]	[202509250400]	[202508211000]	[202509250400]					5			349		
																																				
																																				
3	513							悦汐·每周天启者聘任包	4	{4,5,6,205,1}		2	1		{1,16}		supplies.giftbox230								[202509250400]	[202511060400]					1					
