商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	PC后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格（只能填人民币价格）	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本
9	1002				com.kingsoft.bundle12	com.kingsoft.bundle12	com.kingsoft.bundle12	捆绑包（只有甜蜜统治）	5	{4,8,1,2,1}		4	1	{100,156}				142300006		142300005		58	[202403071000]	[202404180400]	[202403071000]	[202404180400]						1001	{1001,613}	91	6
9	1003				com.kingsoft.bundle22	com.kingsoft.bundle22	com.kingsoft.bundle22	捆绑包（只有全糖蜜令）	5	{4,8,1,3,1}		4	1	{100,156}				142300006		142300005		13	[202403071000]	[202404180400]	[202403071000]	[202404180400]						1001	{1001,801}	91	6
																																			
3	361				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	涅荫·每周天启者聘任包	4	{4,5,6,52,1}		2	1	{100,16}			supplies.giftbox77								[202404181000]	[202405300400]					1				
3	362				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	灏夜·天启者聘任包	4	{4,5,6,53,1}		4	1	{100,128}			supplies.giftbox78								[202404181000]	[202405160400]					4				
3	363				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	浣锋·武器定制包	4	{4,5,6,54,1}		4	1	{100,128}			supplies.giftbox79								[202404181000]	[202405160400]					5				
3	364				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	澄镜·顶级物资包	4	{4,5,6,55,1}		4	1	{100,328}			supplies.giftbox80								[202404181000]	[202405300400]					6				
3	365				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	渥圃·资金包	4	{4,5,6,56,1}		4	1	{100,68}			supplies.giftbox81								[202404181000]	[202405160400]					12				
3	366				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	渺念·成长物资包	4	{4,5,6,57,1}		4	1	{100,68}			supplies.giftbox82								[202404181000]	[202405160400]					13				
3	367				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	深忆·成长物资包	4	{4,5,6,58,1}		4	1	{100,38}			supplies.giftbox83								[202404181000]	[202405160400]					14				
3	368				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	浚虑·成长物资包	4	{4,5,6,59,1}		4	1	{100,38}			supplies.giftbox84								[202404181000]	[202405160400]					15				
3	369				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	澹学·后勤提升包	4	{4,5,6,60,1}		4	1	{100,32}			supplies.giftbox85								[202404181000]	[202405160400]					16				
3	370				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	蔓桥·天启者聘任包	4	{4,5,6,61,1}		4	1	{100,128}			supplies.giftbox86								[202405021000]	[202405300400]					2				
3	371				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	荆丛·武器定制包	4	{4,5,6,62,1}		4	1	{100,128}			supplies.giftbox87								[202405021000]	[202405300400]					3				
3	372				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	蓑羽·资金包	4	{4,5,6,63,1}		4	1	{100,68}			supplies.giftbox88								[202405021000]	[202405300400]					7				
3	373				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	荧魂·成长物资包	4	{4,5,6,64,1}		4	1	{100,68}			supplies.giftbox89								[202405021000]	[202405300400]					8				
3	374				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	萱思·成长物资包	4	{4,5,6,65,1}		4	1	{100,38}			supplies.giftbox90								[202405021000]	[202405300400]					9				
3	375				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	苇绪·成长物资包	4	{4,5,6,66,1}		4	1	{100,38}			supplies.giftbox91								[202405021000]	[202405300400]					10				
3	376				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	萃肄·后勤提升包	4	{4,5,6,67,1}		4	1	{100,32}			supplies.giftbox92								[202405021000]	[202405300400]					11				
3	377				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	藏墟·每周天启者聘任包	4	{4,5,6,69,1}		2	1	{100,16}			supplies.giftbox94								[202405021000]	[202405300400]					1				
3	378				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	厚壤·天启者聘任包	4	{4,5,6,70,1}		4	1	{100,128}			supplies.giftbox95								[202405021000]	[202405300400]					2				
3	379				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	宝域·武器定制包	4	{4,5,6,71,1}		4	1	{100,128}			supplies.giftbox96								[202405021000]	[202405300400]					3				
3	380				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	耀城·豪华物资包	4	{4,5,6,72,1}		4	1	{100,228}			supplies.giftbox97								[202405021000]	[202405300400]					4				
3	381				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	饶境·资金包	4	{4,5,6,73,1}		4	1	{100,68}			supplies.giftbox98								[202405021000]	[202405300400]					5				
3	382				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	巧坞·成长物资包	4	{4,5,6,74,1}		4	1	{100,68}			supplies.giftbox99								[202405021000]	[202405300400]					6				
3	383				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	妙垣·成长物资包	4	{4,5,6,75,1}		4	1	{100,38}			supplies.giftbox100								[202405021000]	[202405300400]					7				
3	384				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	悬坻·成长物资包	4	{4,5,6,76,1}		4	1	{100,38}			supplies.giftbox101								[202405021000]	[202405300400]					8				
3	385				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	晶坯·后勤提升包	4	{4,5,6,77,1}		4	1	{100,32}			supplies.giftbox102								[202405021000]	[202405300400]					9				
																																			
9	1005				com.kingsoft.bundle34	com.kingsoft.bundle34	com.kingsoft.bundle34	捆绑包（只有恩雅皮肤互动道具）	5	{4,8,2,2,1}		4	1	{100,198}				1601100	1601102	1601101		25.5	[202405301000]	[202406060400]	[202405301000]	[202406060400]						1004	{1004,802}		
																																			
3	386				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	风羽·每周天启者聘任包	4	{4,5,6,78,1}		2	1	{100,16}			supplies.giftbox103								[202407110400]	[202408220400]					1				
3	387				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	飓啸·顶级物资包	4	{4,5,6,79,1}		4	1	{100,328}			supplies.giftbox104								[202407110400]	[202408220400]					6				
3	388				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	飙尘·天启者聘任包	4	{4,5,6,80,1}		4	1	{100,128}			supplies.giftbox105								[202407110400]	[202408080400]					4				
3	389				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	飕鸣·武器定制包	4	{4,5,6,81,1}		4	1	{100,128}			supplies.giftbox106								[202407110400]	[202408080400]					5				
3	390				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	飘盈·资金包	4	{4,5,6,82,1}		4	1	{100,68}			supplies.giftbox107								[202407110400]	[202408080400]					12				
3	391				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	飒行·成长物资包	4	{4,5,6,83,1}		4	1	{100,68}			supplies.giftbox108								[202407110400]	[202408080400]					13				
3	392				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	簌翎·成长物资包	4	{4,5,6,84,1}		4	1	{100,38}			supplies.giftbox109								[202407110400]	[202408080400]					14				
3	393				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	逸翔·成长物资包	4	{4,5,6,85,1}		4	1	{100,38}			supplies.giftbox110								[202407110400]	[202408080400]					15				
3	394				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	岚霏·后勤提升包	4	{4,5,6,86,1}		4	1	{100,32}			supplies.giftbox111								[202407110400]	[202408080400]					16				
3	395				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	跃霄·天启者聘任包	4	{4,5,6,87,1}		4	1	{100,128}			supplies.giftbox112								[202407251000]	[202408220400]					2				
3	396				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	蔚霞·武器定制包	4	{4,5,6,88,1}		4	1	{100,128}			supplies.giftbox113								[202407251000]	[202408220400]					3				
3	397				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	氤雾·资金包	4	{4,5,6,89,1}		4	1	{100,68}			supplies.giftbox114								[202407251000]	[202408220400]					7				
3	398				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	氲霁·成长物资包	4	{4,5,6,90,1}		4	1	{100,68}			supplies.giftbox115								[202407251000]	[202408220400]					8				
3	399				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	晴霭·成长物资包	4	{4,5,6,91,1}		4	1	{100,38}			supplies.giftbox116								[202407251000]	[202408220400]					9				
3	400				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	层霓·成长物资包	4	{4,5,6,92,1}		4	1	{100,38}			supplies.giftbox117								[202407251000]	[202408220400]					10				
3	401				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	野氛·后勤提升包	4	{4,5,6,93,1}		4	1	{100,32}			supplies.giftbox118								[202407251000]	[202408220400]					11				
3	402				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	轻诉·每周天启者聘任包	4	{4,5,6,94,1}		2	1	{100,16}			supplies.giftbox119								[202408221000]	[202409260400]					1				
3	403				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	归诏·天启者聘任包	4	{4,5,6,95,1}		4	1	{100,128}			supplies.giftbox120								[202408221000]	[202409260400]					2				1
3	404				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	戎谱·武器定制包	4	{4,5,6,96,1}		4	1	{100,128}			supplies.giftbox121								[202408221000]	[202409260400]					3				1
3	405				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	智谋·豪华物资包	4	{4,5,6,97,1}		4	1	{100,228}			supplies.giftbox122								[202408221000]	[202409260400]					4				1
3	406				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	默访·资金包	4	{4,5,6,98,1}		4	1	{100,68}			supplies.giftbox123								[202408221000]	[202409260400]					5				1
3	407				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	鉴证·成长物资包	4	{4,5,6,99,1}		4	1	{100,68}			supplies.giftbox124								[202408221000]	[202409260400]					6				1
3	408				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	战记·成长物资包1	4	{4,5,6,100,1}		4	1	{100,38}			supplies.giftbox125								[202408221000]	[202409260400]					7				1
3	409				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	捷讯·成长物资包2	4	{4,5,6,101,1}		4	1	{100,38}			supplies.giftbox126								[202408221000]	[202409260400]					8				1
3	410				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	围议·后勤提升包	4	{4,5,6,102,1}		4	1	{100,32}			supplies.giftbox127								[202408221000]	[202409260400]					9				1
																																			
4	616				com.kingsoft.bundle31	com.kingsoft.bundle31	com.kingsoft.bundle31	DLC7恩雅-轻语疗法（皮肤）	5	{7,11,2,2,1}		4	1	{100,128}								92.5	[202408271000]	[202408301000]	[202408271000]	[202408301000]					1				
4	615				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	DLC7琴诺-见习侍奉（皮肤）	5	{7,7,2,2,1}		4	1	{100,128}								77	[202408271000]	[202408301000]	[202408271000]	[202408301000]					2				
																																			
9	1004				com.kingsoft.bundle33	com.kingsoft.bundle33	com.kingsoft.bundle33	最全捆绑包（轻语疗法+恩雅皮肤互动道具）	5	{4,8,2,1,1}		4	1	{100,198}				1601100	1601102	1601101		85	[202408271000]	[202408301000]	[202408271000]	[202408301000]					3		{616,802}		
																																			
10	805				com.kingsoft.bundle30	com.kingsoft.bundle30	com.kingsoft.bundle30	治愈准则（武器皮肤）	5	{17,4,1,1,1}		4	1	{100,28}				142400004		142400003		72	[202408221000]	[202409250300]	[202408221000]	[202409250300]					1			168	1
10	801				com.kingsoft.bundle20	com.kingsoft.bundle20	com.kingsoft.bundle20	全糖蜜令（武器皮肤）	5	{17,3,1,1,1}		4	1	{100,28}				142300004		142300003		72	[202408271000]	[202408301000]	[202408271000]	[202408301000]					3				6
																																			
4	612				com.kingsoft.bundle41	com.kingsoft.bundle41	com.kingsoft.bundle41	DLC6辉夜-东流映荷(皮肤)	5	{7,1,2,3,1}		4	1	{100,128}								69	[202408271000]	[202408301000]	[202408271000]	[202408301000]					9				6
4	614				com.kingsoft.bundle42	com.kingsoft.bundle42	com.kingsoft.bundle42	DLC6伊切尔-迟到花蕾(皮肤）	5	{7,16,1,2,1}		4	1	{100,68}											[202408271000]	[202408301000]					5				6
4	604				com.kingsoft.bundle43	com.kingsoft.bundle43	com.kingsoft.bundle43	DLC2芙提雅-行疾脱兔	5	{7,4,2,2,1}		4	1	{100,68}											[202408271000]	[202408301000]					13				2
4	608				com.kingsoft.bundle44	com.kingsoft.bundle44	com.kingsoft.bundle44	DLC4咎冠-初晴金雪(皮肤）	5	{7,8,2,3,1}		4	1	{100,68}											[202408271000]	[202408301000]					11				4
4	609				com.kingsoft.bundle45	com.kingsoft.bundle45	com.kingsoft.bundle45	DLC4狂猎-霜舞盛典(皮肤）	5	{7,2,2,3,1}		4	1	{100,68}											[202408271000]	[202408301000]					10				4
4	613				com.kingsoft.bundle49	com.kingsoft.bundle49	com.kingsoft.bundle49	DLC6咎冠-甜蜜统治(皮肤）	5	{7,8,2,5,1}		4	1	{100,128}								77	[202408271000]	[202408301000]	[202408271000]	[202408301000]					6				6
4	610				com.kingsoft.bundle50	com.kingsoft.bundle50	com.kingsoft.bundle50	DLC5凯西娅-远曲独舞(皮肤）	5	{7,15,1,2,1}		4	1	{100,128}								77	[202408271000]	[202408301000]	[202408271000]	[202408301000]					7				5
4	607				com.kingsoft.bundle51	com.kingsoft.bundle51	com.kingsoft.bundle51	DLC4苔丝-流放欢愉(皮肤）	5	{7,17,1,2,1}		4	1	{100,128}											[202408271000]	[202408301000]					3				4
4	611				com.kingsoft.bundle40	com.kingsoft.bundle40	com.kingsoft.bundle40	DLC5芙提雅-狂曲雅跃(皮肤）	5	{7,4,2,3,1}		4	1	{100,68}											[202408271000]	[202408301000]					8				5
4	622	1			com.kingsoft.bundle52	com.kingsoft.bundle52	com.kingsoft.bundle52	辉夜-次元追忆	5	{7,1,2,2,1}		4	1	{100,48}											[202408271000]	[202408301000]									
4	623	1			com.kingsoft.bundle53	com.kingsoft.bundle53	com.kingsoft.bundle53	狂猎-街头规则	5	{7,2,2,4,1}		4	1	{100,48}											[202408271000]	[202408301000]									
4	624	1			com.kingsoft.bundle54	com.kingsoft.bundle54	com.kingsoft.bundle54	雨燕-一掷千金	5	{7,5,2,2,1}		4	1	{100,48}											[202408271000]	[202408301000]									
4	625	1			com.kingsoft.bundle55	com.kingsoft.bundle55	com.kingsoft.bundle55	藏锋-循风谍舞	5	{7,6,2,3,1}		4	1	{100,48}											[202408271000]	[202408301000]									
4	626	1			com.kingsoft.bundle56	com.kingsoft.bundle56	com.kingsoft.bundle56	咎冠-蜂刺蔷薇	5	{7,8,2,2,1}		4	1	{100,48}											[202408271000]	[202408301000]									
4	627	1			com.kingsoft.bundle57	com.kingsoft.bundle57	com.kingsoft.bundle57	冬至-雪岭焰行	5	{7,10,2,2,1}		4	1	{100,48}											[202408271000]	[202408301000]									
4	628	1			com.kingsoft.bundle58	com.kingsoft.bundle58	com.kingsoft.bundle58	苔丝-秘密约会	5	{7,17,1,4,1}		4	1	{100,48}											[202408271000]	[202408301000]									
																																			
11	802				com.kingsoft.bundle32	com.kingsoft.bundle32	com.kingsoft.bundle32	恩雅皮肤互动道具	5	{19,11,2,2,1}		4	1	{100,70}				1601103	1601105	1601104		72			[202408271000]	[202408301000]									
																																			
9	1001				com.kingsoft.bundle48	com.kingsoft.bundle48	com.kingsoft.bundle48	捆绑包（甜蜜统治+全糖蜜令）	5	{4,8,1,1,1}		4	1	{100,156}				142300006		142300005		76	[202408271000]	[202408301000]	[202408271000]	[202408301000]					3		{613,801}		6
																																			
3	411				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	凉抚·每周天启者聘任包	4	{4,5,6,103,1}		2	1	{100,16}			supplies.giftbox128								[202409260400]	[202411070400]					1				1
3	412				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	凝珠·顶级物资包	4	{4,5,6,104,1}		4	1	{100,328}			supplies.giftbox129								[202409260400]	[202411070400]					6				1
3	413				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	冰酪·天启者聘任包	4	{4,5,6,105,1}		4	1	{100,128}			supplies.giftbox130								[202409260400]	[202410240400]					4				1
3	414				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	冻冻·武器定制包	4	{4,5,6,106,1}		4	1	{100,128}			supplies.giftbox131								[202409260400]	[202410240400]					5				1
3	415				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	凛翠·资金包	4	{4,5,6,107,1}		4	1	{100,68}			supplies.giftbox132								[202409260400]	[202410240400]					12				1
3	416				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	甜冽·成长物资包	4	{4,5,6,108,1}		4	1	{100,68}			supplies.giftbox133								[202409260400]	[202410240400]					13				1
3	417				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	净泉·成长物资包	4	{4,5,6,109,1}		4	1	{100,38}			supplies.giftbox134								[202409260400]	[202410240400]					14				1
3	418				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	冷蜜·成长物资包	4	{4,5,6,110,1}		4	1	{100,38}			supplies.giftbox135								[202409260400]	[202410240400]					15				1
3	419				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	糖凇·后勤提升包	4	{4,5,6,111,1}		4	1	{100,32}			supplies.giftbox136								[202409260400]	[202410240400]					16				1
3	420				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	涛湍·天启者聘任包	4	{4,5,6,112,1}		4	1	{100,128}			supplies.giftbox137								[202410101000]	[202411070400]					2				1
3	421				com.kingsoft.bundle24	com.kingsoft.bundle24	com.kingsoft.bundle24	浪涌·武器定制包	4	{4,5,6,113,1}		4	1	{100,128}			supplies.giftbox138								[202410101000]	[202411070400]					3				1
3	422				com.kingsoft.bundle25	com.kingsoft.bundle25	com.kingsoft.bundle25	流念·资金包	4	{4,5,6,114,1}		4	1	{100,68}			supplies.giftbox139								[202410101000]	[202411070400]					7				1
3	423				com.kingsoft.bundle26	com.kingsoft.bundle26	com.kingsoft.bundle26	泓隐·成长物资包	4	{4,5,6,115,1}		4	1	{100,68}			supplies.giftbox140								[202410101000]	[202411070400]					8				1
3	424				com.kingsoft.bundle27	com.kingsoft.bundle27	com.kingsoft.bundle27	沫散·成长物资包	4	{4,5,6,116,1}		4	1	{100,38}			supplies.giftbox141								[202410101000]	[202411070400]					9				1
3	425				com.kingsoft.bundle28	com.kingsoft.bundle28	com.kingsoft.bundle28	汀奏·成长物资包	4	{4,5,6,117,1}		4	1	{100,38}			supplies.giftbox142								[202410101000]	[202411070400]					10				1
3	426				com.kingsoft.bundle29	com.kingsoft.bundle29	com.kingsoft.bundle29	溪旅·后勤提升包	4	{4,5,6,118,1}		4	1	{100,32}			supplies.giftbox143								[202410101000]	[202411070400]					11				1
																																			
9	1011				com.kingsoft.bundle56	com.kingsoft.bundle56	com.kingsoft.bundle56	捆绑包（茉莉安-幽潮-灿阳一刻+【互动情景·婪夜】预售礼盒+未来心跳）	5	{4,8,6,1,1}		4	1	{100,226}	{1,226}			1601135		1601136		74.5	[202410101000]	[202411070400]	[202410101000]	[202411070400]				{{4,15,1,1},{19,5,3,2}}	2		{630,853,807}	181	1
																																			
11	853				com.kingsoft.bundle58	com.kingsoft.bundle58	com.kingsoft.bundle58	【互动情景·婪夜】预售礼盒	5	{4,15,1,1,1}		4	1	{100,70}	{1,70}			1601138	1601137	1601139		58	[202410101000]	[202411070400]	[202410101000]	[202411070400]				{{4,15,1,1}}	2				1
																																			
3	427				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	辟垦·每周天启者聘任包	4	{4,5,6,119,1}		2	1	{100,16}			supplies.giftbox144								[202411071000]	[202412190400]					1				
3	428				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	晖坠·天启者聘任包	4	{4,5,6,120,1}		4	1	{100,128}			supplies.giftbox145								[202411071000]	[202412190400]					2				
3	429				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	琢圭·武器定制包	4	{4,5,6,121,1}		4	1	{100,128}			supplies.giftbox146								[202411071000]	[202412190400]					3				
3	430				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	峰壑·豪华物资包	4	{4,5,6,122,1}		4	1	{100,228}			supplies.giftbox147								[202411071000]	[202412190400]					4				
3	431				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	崖堑·资金包	4	{4,5,6,123,1}		4	1	{100,68}			supplies.giftbox148								[202411071000]	[202412190400]					5				
3	432				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	观壁·成长物资包	4	{4,5,6,124,1}		4	1	{100,68}			supplies.giftbox149								[202411071000]	[202412190400]					6				
3	433				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	砂垒·成长物资包	4	{4,5,6,125,1}		4	1	{100,38}			supplies.giftbox150								[202411071000]	[202412190400]					7				
3	434				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	荒垄·成长物资包	4	{4,5,6,126,1}		4	1	{100,38}			supplies.giftbox151								[202411071000]	[202412190400]					8				
3	435				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	摧坚·后勤提升包	4	{4,5,6,127,1}		4	1	{100,32}			supplies.giftbox152								[202411071000]	[202412190400]					9				
3	436				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	炙阳·每周天启者聘任包	4	{4,5,6,128,1}		2	1	{100,16}			supplies.giftbox153								[202412191000]	[202501230400]					1				
3	437				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	灵现·天启者聘任包	4	{4,5,6,129,1}		4	1	{100,128}			supplies.giftbox154								[202412191000]	[202501230400]					2				
3	438				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	焚铄·武器定制包	4	{4,5,6,130,1}		4	1	{100,128}			supplies.giftbox155								[202412191000]	[202501230400]					3				
3	439				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	焱勇·豪华物资包	4	{4,5,6,131,1}		4	1	{100,228}			supplies.giftbox156								[202412191000]	[202501230400]					4				
3	440				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	燎金·资金包	4	{4,5,6,132,1}		4	1	{100,68}			supplies.giftbox157								[202412191000]	[202501230400]					5				
3	441				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	燃犀·成长物资包	4	{4,5,6,133,1}		4	1	{100,68}			supplies.giftbox158								[202412191000]	[202501230400]					6				
3	442				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	炽盛·成长物资包	4	{4,5,6,134,1}		4	1	{100,38}			supplies.giftbox159								[202412191000]	[202501230400]					7				
3	443				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	烬腾·成长物资包	4	{4,5,6,135,1}		4	1	{100,38}			supplies.giftbox160								[202412191000]	[202501230400]					8				
3	444				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	炼骨·后勤提升包	4	{4,5,6,136,1}		4	1	{100,32}			supplies.giftbox161								[202412191000]	[202501230400]					9				
3	445				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	琳秀·每周天启者聘任包	4	{4,5,6,137,1}		2	1	{100,16}	{1,16}		supplies.giftbox162								[202501230400]	[202503060400]					1				
3	446				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	华琅·顶级物资包	4	{4,5,6,138,1}		4	1	{100,328}	{1,328}		supplies.giftbox163								[202501230400]	[202503060400]					6				
3	447				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	璇姿·天启者聘任包	4	{4,5,6,139,1}		4	1	{100,128}	{1,128}		supplies.giftbox164								[202501230400]	[202503060400]					4				
3	448				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	琼枝·武器定制包	4	{4,5,6,140,1}		4	1	{100,128}	{1,128}		supplies.giftbox165								[202501230400]	[202503060400]					5				
3	449				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	锦瑰·资金包	4	{4,5,6,141,1}		4	1	{100,68}	{1,68}		supplies.giftbox166								[202501230400]	[202503060400]					12				
3	450				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	稀珍·成长物资包	4	{4,5,6,142,1}		4	1	{100,68}	{1,68}		supplies.giftbox167								[202501230400]	[202503060400]					13				
3	451				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	绯玑·成长物资包	4	{4,5,6,143,1}		4	1	{100,38}	{1,38}		supplies.giftbox168								[202501230400]	[202503060400]					14				
3	452				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	彤珠·成长物资包	4	{4,5,6,144,1}		4	1	{100,38}	{1,38}		supplies.giftbox169								[202501230400]	[202503060400]					15				
3	453				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	香璎·后勤提升包	4	{4,5,6,145,1}		4	1	{100,32}	{1,32}		supplies.giftbox170								[202501230400]	[202503060400]					16				
3	454				com.kingsoft.bundle23	com.kingsoft.bundle23	com.kingsoft.bundle23	琉彩·天启者聘任包	4	{4,5,6,146,1}		4	1	{100,128}	{1,128}		supplies.giftbox171								[202502061000]	[202503060400]					2				
