ID（1至6500之间）	备注	关卡ID（对应Level.txt中的ID）	索引到具体BOSS	索引到具体BOSS2	难度对应等级{难度,等级,倍率,基础分,时间分（1秒）}	词条库ID	对应scene_data.txt中的ID	对应scene_data.txt中的ID
152	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,13,28,30,124}	12	
153	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,11,16,27,28,135}	9	
154	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,7,15,27,29,141}	29	
155	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,18,28,30,103}	2	
156	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,2,9,16,28,29,141}	29	
157	食夜影兽	530	6001602		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,5,8,16,26,29,138}	26	
158	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,11,18,27,30,141}	29	
159	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,15,26,28,129}	20	
160	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,3,12,17,28,30,141}	29	
161	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,9,16,26,31,125}	17	
162	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,7,19,27,28,141}	29	
163	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,10,20,25,26,135}	9	
164	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,4,8,15,30,31,141}	29	
165	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,8,16,27,31,126}	18	
166	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,7,15,27,28,142}	30	
167	玉节天龙	529	6001601		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,12,15,25,27,137}	25	
168	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,8,20,28,31,142}	30	
169	舍塔	531	6001603	6002603	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,8,15,26,29,139}	27	27
170	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,14,29,31,142}	30	
171	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,20,28,31,129}	20	
172	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,11,20,27,31,142}	30	
173	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,11,18,27,30,141}	29	
174	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,12,13,27,30,142}	30	
175	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,9,16,26,28,125}	17	
176	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,7,10,29,31,142}	30	
177	玉节天龙	529	6001601		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,3,12,15,27,31,137}	25	
178	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,14,28,29,144}	31	
179	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,11,20,26,28,129}	20	
180	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,12,15,27,31,144}	31	
181	墨菲斯·徒花	533	6002506		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,16,27,28,140}	28	
182	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,7,15,28,31,144}	31	
183	食夜影兽	530	6001602		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,7,14,29,31,138}	26	
184	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,14,27,29,144}	31	
185	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,15,27,28,121}	15	
186	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,7,14,29,31,144}	31	
187	尼亚尔磐石	536	6004206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,20,25,26,143}	17	
188	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,15,28,29,144}	31	
189	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,20,28,31,129}	20	
190	米拉	539	6001405		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,17,25,28,146}	32	
191	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,3,12,17,26,28,141}	29	
192	米拉	539	6001405		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,13,26,30,146}	32	
193	玉节天龙	529	6001601		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,11,15,25,27,137}	25	
194	米拉	539	6001405		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,7,17,28,31,146}	32	
195	祟超越	538	600120506		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,20,26,28,145}	11	
196	米拉	539	6001405		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,13,26,30,146}	32	
197	尼亚尔磐石	536	6004206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,8,16,26,31,143}	17	
198	米拉	539	6001405		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,16,30,31,146}	32	
199	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,15,25,26,135}	9	
200	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,9,13,30,31,147}	33	34
201	尘白恶魔号	528	6001303		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,20,28,31,136}	24	
202	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,11,18,27,28,147}	33	34
203	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,3,12,18,26,31,141}	29	
204	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,4,7,15,27,30,147}	33	34
205	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,8,19,25,26,142}	30	
206	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,5,9,20,28,31,147}	33	34
207	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,7,16,27,31,126}	18	
208	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,10,16,26,30,147}	33	34
209	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,20,26,28,129}	20	
210	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,9,20,27,31,147}	33	34
211	食夜影兽	530	6001602		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,7,14,25,26,138}	26	
212	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,10,15,28,29,148}	35	36
213	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,11,20,27,31,142}	30	
214	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,12,14,25,28,148}	35	36
215	文明守护者	537	6001404		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,7,15,28,31,144}	31	
216	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,5,9,18,28,29,148}	35	36
217	玉节天龙	529	6001601		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,3,8,14,25,31,137}	25	
218	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,10,20,28,31,148}	35	36
219	埃吉尔	542	600120902		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,15,26,28,149}	37	
220	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,11,15,27,29,148}	35	36
221	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,6,12,16,25,31,125}	17	
222	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,8,20,26,27,148}	35	36
223	噬孽机·卡律布狄斯	535	6001403		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,11,20,27,31,142}	30	
224	西西弗斯	543	6001507		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,8,14,28,29,150}	38	
225	尘白恶魔号	528	6001303		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,20,27,28,136}	24	
226	西西弗斯	543	6001507		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,10,15,25,26,150}	38	
227	米拉	539	6001405		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,16,30,31,146}	32	
228	西西弗斯	543	6001507		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,12,20,28,31,150}	38	
229	祟超越	538	600120506		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,10,15,26,28,145}	11	
230	西西弗斯	543	6001507		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,11,16,25,27,150}	38	
231	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,11,16,25,26,135}	9	
232	西西弗斯	543	6001507		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,10,20,28,29,150}	38	
233	埃吉尔	542	600120902		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,13,27,28,149}	37	
234	西西弗斯	543	6001507		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,8,14,29,31,150}	38	
235	尼亚尔磐石	536	6004206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,6,9,16,26,31,143}	17	
236	阿帕忒	544	600150803		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,4,11,13,30,31,151}	39	
237	尘白恶魔号	528	6001303		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,20,28,31,136}	24	
238	阿帕忒	544	600150803		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,5,10,18,27,28,151}	39	
239	海底观测者	534	6001402		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,2,7,16,25,30,141}	29	
240	阿帕忒	544	600150803		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,9,20,28,30,151}	39	
241	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,20,26,28,129}	20	
242	阿帕忒	544	600150803		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,8,16,26,27,151}	39	
243	SpH-L12	540	6001304	6002304	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,10,17,26,30,147}	33	34
244	阿帕忒	544	600150803		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,4,12,20,28,31,151}	39	
245	食夜影兽	530	6001602		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,7,14,25,26,138}	26	
246	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,5,11,15,27,29,152}	40	
247	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,6,12,16,25,31,125}	17	
248	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,4,10,15,28,29,152}	40	
249	舍塔	531	6001603	6002603	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,2,8,15,26,29,139}	27	27
250	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,12,14,25,28,152}	40	
251	尘白恶魔	528	6001303		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,20,27,28,136}	24	
252	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,3,9,18,28,29,152}	40	
253	埃吉尔	542	600120902		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,7,14,27,28,149}	37	
254	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,5,10,20,28,31,152}	40	
255	起源物种	541	600121001	600121002	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,2,11,15,27,29,148}	35	36
256	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,6,11,15,27,29,152}	40	
257	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,20,26,28,129}	20	
258	神座·狐相	545	6001406		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,4,8,20,26,27,152}	40	
259	苏菲	546	6001104		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{39,4,8,20,26,27,153}	40	
