装备ID	装备名称	装备描述	装备类型（1.武器 2.防线）	装备解锁	装备实际关联武器ID	装备升级花销	装备升级获取内容（1.属性(属性ID，具体数值) 2.buff（buffID） 3.武器插槽（插槽给与数量））	升级获取描述	升级描述标红（0.黑 1.红）	装备图片	枪械备注						
2021	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,3800}	{1,3110}	armoredrider.ArmoredRiderTowerUpgrade51	0	5272005							
2022	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,5700}	{1,3111}	armoredrider.ArmoredRiderTowerUpgrade52	0	5272005							
2023	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,8500}	{1,3112}	armoredrider.ArmoredRiderTowerUpgrade53	0	5272005							
2024	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,12000}	{1,3113}	armoredrider.ArmoredRiderTowerUpgrade54	0	5272005							
2025	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,19000}	{1,3115}	armoredrider.ArmoredRiderTowerUpgrade55	0	5272005							
2026	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,28800}	{1,3110}	armoredrider.ArmoredRiderTowerUpgrade56	0	5272005							
2027	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,43200}	{1,3111}	armoredrider.ArmoredRiderTowerUpgrade57	0	5272005							
2028	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,65000}	{1,3112}	armoredrider.ArmoredRiderTowerUpgrade58	0	5272005							
2029	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,97000}	{1,3113}	armoredrider.ArmoredRiderTowerUpgrade59	0	5272005							
2030	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,146000}	{1,3115}	armoredrider.ArmoredRiderTowerUpgrade60	0	5272005							
2031	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2	1004	2003		{1,3116}	armoredrider.ArmoredRiderTowerUpgrade31	0	5272006	机枪电塔						
2032	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,750}	{1,3117}	armoredrider.ArmoredRiderTowerUpgrade32	0	5272006							
2033	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,1100}	{1,3118}	armoredrider.ArmoredRiderTowerUpgrade33	0	5272006							
2034	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,1700}	{1,3119}	armoredrider.ArmoredRiderTowerUpgrade34	0	5272006							
2035	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,2500}	{1,3120}	armoredrider.ArmoredRiderTowerUpgrade35	0	5272006							
2036	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,3800}	{1,3116}	armoredrider.ArmoredRiderTowerUpgrade36	0	5272006							
2037	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,5700}	{1,3117}	armoredrider.ArmoredRiderTowerUpgrade37	0	5272006							
2038	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,8500}	{1,3118}	armoredrider.ArmoredRiderTowerUpgrade38	0	5272006							
2039	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,12000}	{1,3119}	armoredrider.ArmoredRiderTowerUpgrade39	0	5272006							
2040	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,19000}	{1,3121}	armoredrider.ArmoredRiderTowerUpgrade40	0	5272006							
2041	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,28800}	{1,3116}	armoredrider.ArmoredRiderTowerUpgrade41	0	5272006							
2042	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,43200}	{1,3117}	armoredrider.ArmoredRiderTowerUpgrade42	0	5272006							
2043	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,65000}	{1,3118}	armoredrider.ArmoredRiderTowerUpgrade43	0	5272006							
2044	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,97000}	{1,3119}	armoredrider.ArmoredRiderTowerUpgrade44	0	5272006							
2045	armoredrider.ArmoredRiderDefenceName03	armoredrider.ArmoredRiderDefenceDes03	2		2003	{64,146000}	{1,3120}	armoredrider.ArmoredRiderTowerUpgrade45	0	5272006							
2046	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2	1006	2004		{1,3104}	armoredrider.ArmoredRiderTowerUpgrade16	0	5272007	火箭弹电塔						
2047	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,750}	{1,3105}	armoredrider.ArmoredRiderTowerUpgrade17	0	5272007							
2048	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,1100}	{1,3106}	armoredrider.ArmoredRiderTowerUpgrade18	0	5272007							
2049	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,1700}	{1,3107}	armoredrider.ArmoredRiderTowerUpgrade19	0	5272007							
2050	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,2500}	{1,3108}	armoredrider.ArmoredRiderTowerUpgrade20	0	5272007							
2051	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,3800}	{1,3104}	armoredrider.ArmoredRiderTowerUpgrade21	0	5272007							
2052	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,5700}	{1,3105}	armoredrider.ArmoredRiderTowerUpgrade22	0	5272007							
2053	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,8500}	{1,3106}	armoredrider.ArmoredRiderTowerUpgrade23	0	5272007							
2054	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,12000}	{1,3107}	armoredrider.ArmoredRiderTowerUpgrade24	0	5272007							
2055	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,19000}	{1,3108}	armoredrider.ArmoredRiderTowerUpgrade25	0	5272007							
2056	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,28800}	{1,3104}	armoredrider.ArmoredRiderTowerUpgrade26	0	5272007							
2057	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,43200}	{1,3105}	armoredrider.ArmoredRiderTowerUpgrade27	0	5272007							
2058	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,65000}	{1,3106}	armoredrider.ArmoredRiderTowerUpgrade28	0	5272007							
2059	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,97000}	{1,3107}	armoredrider.ArmoredRiderTowerUpgrade29	0	5272007							
2060	armoredrider.ArmoredRiderDefenceName04	armoredrider.ArmoredRiderDefenceDes04	2		2004	{64,146000}	{1,3109}	armoredrider.ArmoredRiderTowerUpgrade30	0	5272007							
