ID	备注	类型	地图资产路劲	玩法	LuaClass	Loading图	背景音乐	背景环境音	加载额外参数
7101	死斗_DLC30（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc30	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight01,Stage|Stage01		
7102	死斗_DLC31（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc31	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC31,DLC|Fight03,Stage|Stage01		
7103	死斗_DLC32（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc32	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC32,DLC|Fight03,Stage|Stage01		
7104	死斗_DLC33（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc33	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC33,DLC|Fight02,Stage|Stage01		
7105	死斗_DLC34（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc34	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight01,Stage|Stage01		
7106	死斗_DLC35（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc35	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC35,DLC|Fight02,Stage|Stage01		
7107	死斗_DLC36（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc36	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC36,DLC|Fight01,Stage|Stage01		
7108	死斗_DLC37（荣誉冲突）	0	DefenseLevel/Defense_Level_Dlc37	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC36,DLC|Fight01,Stage|Stage01		
									
8712	FarmWar_Easy_01	0	FarmWar/FarmWar_Easy_01	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8713	FarmWar_Easy_02	0	FarmWar/FarmWar_Easy_02	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8714	FarmWar_Easy_03	0	FarmWar/FarmWar_Easy_03	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8715	FarmWar_Easy_04	0	FarmWar/FarmWar_Easy_04	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8716	FarmWar_Easy_05	0	FarmWar/FarmWar_Easy_05	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8717	FarmWar_Hard_01	0	FarmWar/FarmWar_Hard_01	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight06,Stage|Stage02		
8718	FarmWar_Hard_02	0	FarmWar/FarmWar_Hard_02	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight06,Stage|Stage02		
8719	FarmWar_Hard_03	0	FarmWar/FarmWar_Hard_03	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight06,Stage|Stage02		
8720	FarmWar_Hard_04	0	FarmWar/FarmWar_Hard_04	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight06,Stage|Stage02		
8721	FarmWar_Hard_05	0	FarmWar/FarmWar_Hard_05	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight06,Stage|Stage02		
8722	FarmWar_Challenge_01	0	FarmWar/FarmWar_Challenge_01	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8723	FarmWar_Challenge_02	0	FarmWar/FarmWar_Challenge_02	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8724	FarmWar_Challenge_03	0	FarmWar/FarmWar_Challenge_03	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8725	FarmWar_Challenge_04	0	FarmWar/FarmWar_Challenge_04	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
8726	FarmWar_Challenge_05	0	FarmWar/FarmWar_Challenge_05	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC30,DLC|Fight05,Stage|Stage01		
									
8892	FarmWar2_Easy_01	1	FarmWar/FarmWar2_Easy_01	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8893	FarmWar2_Easy_02	1	FarmWar/FarmWar2_Easy_02	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8894	FarmWar2_Easy_03	1	FarmWar/FarmWar2_Easy_03	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8895	FarmWar2_Easy_04	1	FarmWar/FarmWar2_Easy_04	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8896	FarmWar2_Easy_05	1	FarmWar/FarmWar2_Easy_05	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8897	FarmWar2_Easy_06	1	FarmWar/FarmWar2_Easy_06	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8898	FarmWar2_Easy_07	1	FarmWar/FarmWar2_Easy_07	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8899	FarmWar2_Easy_08	1	FarmWar/FarmWar2_Easy_08	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8900	FarmWar2_Hard_01	1	FarmWar/FarmWar2_Hard_01	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8901	FarmWar2_Hard_02	1	FarmWar/FarmWar2_Hard_02	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8902	FarmWar2_Hard_03	1	FarmWar/FarmWar2_Hard_03	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8903	FarmWar2_Hard_04	1	FarmWar/FarmWar2_Hard_04	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8904	FarmWar2_Hard_05	1	FarmWar/FarmWar2_Hard_05	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight04,Stage|Stage01		
8905	FarmWar2_Challenge_01	1	FarmWar/FarmWar2_Challenge_01	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight03,Stage|Stage01		
8906	FarmWar2_Challenge_02	1	FarmWar/FarmWar2_Challenge_02	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight03,Stage|Stage01		
8907	FarmWar2_Challenge_03	1	FarmWar/FarmWar2_Challenge_03	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight03,Stage|Stage01		
8908	FarmWar2_Challenge_04	1	FarmWar/FarmWar2_Challenge_04	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight03,Stage|Stage01		
8909	FarmWar2_Challenge_05	1	FarmWar/FarmWar2_Challenge_05	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC34,DLC|Fight03,Stage|Stage01		
									
									
									
									
801	棋盘DLC1-地图1	0	/Game/Maps/chess/dlc01/chess_dlc01_01	BP_ChessGameMode	DLC1Map		BGM|UI|DLC01_Relaxed01_8bit		
802	棋盘DLC1-地图2	0	/Game/Maps/chess/dlc01/chess_dlc01_02	BP_ChessGameMode	DLC1Map		BGM|UI|DLC01_Relaxed01_8bit		
803	棋盘DLC1-地图3	0	/Game/Maps/chess/dlc01/chess_dlc01_03	BP_ChessGameMode	DLC1Map		BGM|UI|DLC01_Relaxed01_8bit		
804	棋盘DLC1-地图4	0	/Game/Maps/chess/dlc01/chess_dlc01_04	BP_ChessGameMode	DLC1Map		BGM|UI|DLC01_Tense06_8bit		
805	棋盘DLC1-地图5	0	/Game/Maps/chess/dlc01/chess_dlc01_05	BP_ChessGameMode	DLC1Map		BGM|UI|DLC01_Tense06_8bit		
806	棋盘DLC1-地图6	0	/Game/Maps/chess/dlc01/chess_dlc01_06	BP_ChessGameMode	DLC1Map		BGM|UI|DLC01_Relaxed01_8bit		
899	800-899棋盘使用								
									
901	教学跳弹概念	0	TraningLevel/TraningLevel01_01	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
902	教学临界聚变	0	TraningLevel/TraningLevel02	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
903	教学阻断特化技能	0	TraningLevel/TraningLevel03	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
904	教学支援技	0	TraningLevel/TraningLevel04	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
905	教学弱点部位	0	TraningLevel/TraningLevel05	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
906	教学部位破坏	0	TraningLevel/TraningLevel06	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
907	教学基座能力与特殊血条	0	TraningLevel/TraningLevel07	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
908	教学跳跃	0	TraningLevel/TraningLevel08	BP_GameBaseMode	FightMap		BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01,Battle|Off		
910	新星开拓爬塔困难01	0	PalLevel/Tower/pal_tower_h01	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC01,DLC|Fight01,Battle|Off		
911	新星开拓爬塔困难02	0	PalLevel/Tower/pal_tower_h02	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
912	新星开拓爬塔困难03	0	PalLevel/Tower/pal_tower_h03	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC01,DLC|Fight02,Battle|Off		
913	新星开拓爬塔困难04	0	PalLevel/Tower/pal_tower_h04	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off		
914	新星开拓爬塔困难05	0	PalLevel/Tower/pal_tower_h05	BP_PalTowerGameMode	FightMap		BGM|Fight|Chapter|Chapter03,Level|Level12,Stage|Stage01		
915	新星开拓爬塔困难06	0	PalLevel/Tower/pal_tower_h06	BP_PalTowerGameMode	FightMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
916	新星开拓爬塔困难07	0	PalLevel/Tower/pal_tower_h07	BP_PalTowerGameMode	FightMap		BGM|Fight|Chapter|Chapter03,Level|Level02,Stage|Stage01,Battle|Off		
917	新星开拓爬塔困难08	0	PalLevel/Tower/pal_tower_h08	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off		
918	新星开拓爬塔困难09	0	PalLevel/Tower/pal_tower_h09	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
919	新星开拓爬塔困难10	0	PalLevel/Tower/pal_tower_h10	BP_PalTowerGameMode	FightMap		BGM|Fight|Activity|DLC05,DLC|BOSS01,Stage|Stage01		
									
1001	大富翁DLC3-地图1	0	/Game/Maps/chess/dlc03/chess_dlc03_01	/Game/Blueprints/GameMode/RichMan/BP_RichManGameMode.BP_RichManGameMode_C	RichmanMap		BGM|UI|Rich		
1002	大富翁DLC3-地图2	0	/Game/Maps/chess/dlc03/chess_dlc03_02	/Game/Blueprints/GameMode/RichMan/BP_RichManGameMode.BP_RichManGameMode_C	RichmanMap		BGM|UI|Rich		
1003	大富翁DLC3-地图3	0	/Game/Maps/chess/dlc03/chess_dlc03_03	/Game/Blueprints/GameMode/RichMan/BP_RichManGameMode.BP_RichManGameMode_C	RichmanMap		BGM|UI|Rich		
1004	大富翁DLC3-地图4	0	/Game/Maps/chess/dlc03/chess_dlc03_04	/Game/Blueprints/GameMode/RichMan/BP_RichManGameMode.BP_RichManGameMode_C	RichmanMap		BGM|UI|Rich		
1005	大富翁DLC9-地图1	0	/Game/Maps/chess/dlc09/chess_dlc09_01	GameModeBase	RichmanMap		BGM|UI|DLC09_Rich_Stage02		
									
1200	水上乐园		/Game/Blueprints/WaterPark/Maps/WaterPark001_2	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C			BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
									
9600	2.2海姆向前冲竞速1	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9600	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9601	2.2海姆向前冲竞速2	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9601	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9602	2.2海姆向前冲竞速3	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9602	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9603	2.2海姆向前冲竞速4	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9603	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9604	2.2海姆向前冲竞速5	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9604	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9605	2.2海姆向前冲竞速6	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9605	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9606	2.2海姆向前冲竞速7	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9606	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight01,Stage|Stage01,Battle|Off		
9607	2.2海姆向前冲生存8	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9607	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight03,Stage|Stage01,Battle|Off		
9608	2.2海姆向前冲生存9	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9608	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight03,Stage|Stage01,Battle|Off		
9609	2.2海姆向前冲生存10	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9609	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight03,Stage|Stage01,Battle|Off		
9610	2.2海姆向前冲积分11	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9610	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight02,Stage|Stage01,Battle|Off		
9611	2.2海姆向前冲积分12	0	/Game/Blueprints/LevelTask/Level/MultiLevel/Party_01/Level/PartyGo_9611	/Game/Blueprints/WaterPark/BP_WaterParkGameMode.BP_WaterParkGameMode_C	PartyMap		BGM|Fight|Activity|DLC11,DLC|Fight02,Stage|Stage01,Battle|Off		
									
9701	DLC2.2禁区协议普通01关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9701	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter04,Level|Level01,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
9702	DLC2.2禁区协议普通02关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9702	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight02,Battle|Off		
9703	DLC2.2禁区协议普通03关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9703	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
9704	DLC2.2禁区协议普通04关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9704	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level02,Stage|Stage01,Battle|Off		
9705	DLC2.2禁区协议普通05关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9705	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
9706	DLC2.2禁区协议困难01关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9706	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter04,Level|Level03,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
9707	DLC2.2禁区协议困难02关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9707	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight02,Battle|Off		
9708	DLC2.2禁区协议困难03关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9708	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level03,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
9709	DLC2.2禁区协议困难04关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9709	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level04,Stage|Stage01,Battle|Off		
9710	DLC2.2禁区协议困难05关	0	MultiLevel/ForbidZone_01/Multi_ForbidZone_9710	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level02,Stage|Stage01,Battle|Off		
									
9711	DLC2.4禁区协议二期普通01关	0	MultiLevel/ForbidZone_02/Multi_ForbidZone_9711	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off	Amb_2D|Wind|Small	
9712	DLC2.4禁区协议二期普通02关	0	MultiLevel/ForbidZone_02/Multi_ForbidZone_9712	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight02,Stage|Stage01	Amb_2D|Wind|Small	
9713	DLC2.4禁区协议二期普通03关	0	MultiLevel/ForbidZone_02/Multi_ForbidZone_9713	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter04,Level|Level01,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
9716	DLC2.4禁区协议二期困难01关	0	MultiLevel/ForbidZone_02/Multi_ForbidZone_9716	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off	Amb_2D|Wind|Small	
9717	DLC2.4禁区协议二期困难02关	0	MultiLevel/ForbidZone_02/Multi_ForbidZone_9717	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight02,Stage|Stage01	Amb_2D|Wind|Small	
9718	DLC2.4禁区协议二期困难03关	0	MultiLevel/ForbidZone_02/Multi_ForbidZone_9718	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter04,Level|Level01,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
									
9720	DLC2.6禁区协议三期困难01关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9720	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off	Amb_2D|Wind|Small	
9721	DLC2.6禁区协议三期困难02关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9721	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9722	DLC2.6禁区协议三期困难03关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9722	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC14,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9723	DLC2.6禁区协议三期困难04关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9723	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter01,Level|Level01,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
9724	DLC2.6禁区协议三期困难05关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9724	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off	Amb_2D|Wind|Small	
9725	DLC2.6禁区协议三期困难06关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9725	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9726	DLC2.6禁区协议三期困难01关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9726	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off	Amb_2D|Wind|Small	
9727	DLC2.6禁区协议三期困难02关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9727	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9728	DLC2.6禁区协议三期困难03关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9728	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC14,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9729	DLC2.6禁区协议三期困难04关	0	MultiLevel/ForbidZone_03/Multi_ForbidZone_9729	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter01,Level|Level01,Stage|Stage01,Battle|Off	Amb_2D|Wind|Small	
									
9741	DLC3.0禁区协议四期常规01关_防守	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9741	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC28,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9742	DLC3.0禁区协议四期常规02关_BOSS	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9742	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC15,DLC|Fight02,Stage|Stage01	Amb_2D|Wind|Small	
9743	DLC3.0禁区协议四期常规03关_人质	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9743	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC30,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9751	DLC2.6禁区协议三期特调01关_防守	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9751	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC30,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9752	DLC2.6禁区协议三期特调02关_防守	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9752	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC28,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9753	DLC2.6禁区协议三期特调03关_BOSS	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9753	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC13,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
9754	DLC2.6禁区协议三期特调04关_BOSS	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9754	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC13,DLC|Fight02,Stage|Stage01	Amb_2D|Wind|Small	
9755	DLC2.6禁区协议三期特调05关_人质	0	MultiLevel/ForbidZone_04/Multi_ForbidZone_9755	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC30,DLC|Fight01,Stage|Stage01	Amb_2D|Wind|Small	
									
1400	大世界联机测试	0	/Game/Blueprints/LevelTask/Level/MultiLevel/ForbidZone_01/Multi_ForbidZone_9991	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
1401	DLC37OW性能测试关卡	0	/Game/Blueprints/LevelTask/Level/DLC37OwTestLevel/DLC37OwTestLevel	BP_PalGameMode	FightMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off	Amb_2D|DLC3	
									
									
3011	第1期tower09层a面*1期命名有历史遗留问题	0	TowerLevel/R1_Tower01/Dungeon_R1_TLevel01a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower09		
3012	第1期tower09层b面	0	TowerLevel/R1_Tower01/Dungeon_R1_TLevel01b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower10		
3013	第1期tower10层a面	0	TowerLevel/R1_Tower02/Dungeon_R1_TLevel02a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower11		
3014	第1期tower10层b面	0	TowerLevel/R1_Tower02/Dungeon_R1_TLevel02b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower12		
3015	第1期tower11层a面	0	TowerLevel/R1_Tower03/Dungeon_R1_TLevel03a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower09		
3016	第1期tower11层b面	0	TowerLevel/R1_Tower03/Dungeon_R1_TLevel03b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower10		
3017	第1期tower12层a面	0	TowerLevel/R1_Tower04/Dungeon_R1_TLevel04a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower11		
3018	第1期tower12层b面	0	TowerLevel/R1_Tower04/Dungeon_R1_TLevel04b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower12		
3021	第2期tower01层a面	0	TowerLevel/R2_Tower01/Dungeon_R2_TLevel01a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower09		
3022	第2期tower01层b面	0	TowerLevel/R2_Tower01/Dungeon_R2_TLevel01b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower10		
3023	第2期tower02层a面	0	TowerLevel/R2_Tower02/Dungeon_R2_TLevel02a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower11		
3024	第2期tower02层b面	0	TowerLevel/R2_Tower02/Dungeon_R2_TLevel02b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower12		
3025	第2期tower03层a面	0	TowerLevel/R2_Tower03/Dungeon_R2_TLevel03a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower09		
3026	第2期tower03层b面	0	TowerLevel/R2_Tower03/Dungeon_R2_TLevel03b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower10		
3027	第2期tower04层a面	0	TowerLevel/R2_Tower04/Dungeon_R2_TLevel04a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower11		
