问卷ID	优先级(越大越优先)	互斥ID(同ID不可多次回答,100001为回归问卷)	问卷链接	调查表编号	密钥	回调地址	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 4日常本是否通关 5联机通关次数 8登陆天数大于 17登陆天数小于）	开始时间	结束时间	奖励道具列表	邮件标题	邮件内容	邮件发送人	邮件保存时间	大区限制	渠道限制	语言限制目前可填：{zh_CN,....}，不填则无限制
2042	7	2035	http://www.surveypie.com/survey/a515949c-109b-4dea-b5bf-b9da055f47a9	a515949c-109b-4dea-b5bf-b9da055f47a9	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"de_DE"}
2043	7	2035	http://www.surveypie.com/survey/eb7ea7e8-8d0e-4ae3-a178-1baa069b4b43	eb7ea7e8-8d0e-4ae3-a178-1baa069b4b43	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"fr_FR"}
2044	7	2035	http://www.surveypie.com/survey/00f1dfa8-df29-4a48-82e1-87ae5a6a5b8e	00f1dfa8-df29-4a48-82e1-87ae5a6a5b8e	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"es_ES"}
																	
																	
2045	6	2045	http://www.surveypie.com/survey/187832f8-afd8-406b-aabc-4fd8eb02febf	187832f8-afd8-406b-aabc-4fd8eb02febf	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"en_US"}
2046	6	2045	http://www.surveypie.com/survey/e2fcd03f-a052-44e7-a499-593c34839d35	e2fcd03f-a052-44e7-a499-593c34839d35	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ja_JP"}
2047	6	2045	http://www.surveypie.com/survey/232def1a-042d-4673-861f-846285d76c1c	232def1a-042d-4673-861f-846285d76c1c	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ko_KR"}
2048	6	2045	http://www.surveypie.com/survey/1b62a3e2-ed36-4c2f-bb8f-80687c379088	1b62a3e2-ed36-4c2f-bb8f-80687c379088	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_TW"}
2049	6	2045	http://www.surveypie.com/survey/9c329f94-cbe2-49ef-bc03-47da75daa171	9c329f94-cbe2-49ef-bc03-47da75daa171	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_CN"}
2050	6	2045	http://www.surveypie.com/survey/ee636115-6784-482e-9835-05a26f7288ee	ee636115-6784-482e-9835-05a26f7288ee	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"th_TH"}
2051	6	2045	http://www.surveypie.com/survey/eb762eed-0b78-419d-ad75-9f9defeb4d17	eb762eed-0b78-419d-ad75-9f9defeb4d17	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"id_ID"}
2052	6	2045	http://www.surveypie.com/survey/ad2c8684-4f3c-4fb8-839a-435e1787ce34	ad2c8684-4f3c-4fb8-839a-435e1787ce34	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"de_DE"}
2053	6	2045	http://www.surveypie.com/survey/0a9ce1a7-d55d-42a4-9208-085ea35665cc	0a9ce1a7-d55d-42a4-9208-085ea35665cc	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"fr_FR"}
2054	6	2045	http://www.surveypie.com/survey/73a81e8f-1255-45b0-bf54-c7c4e179a159	73a81e8f-1255-45b0-bf54-c7c4e179a159	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{8,7}}	[202306130000]	[202306142359]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"es_ES"}
																	
																	
2055	9	2055	http://www.surveypie.com/survey/f1c48d47-4737-44d4-9b1d-94c7878bea6c	f1c48d47-4737-44d4-9b1d-94c7878bea6c	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"en_US"}
2056	9	2055	http://www.surveypie.com/survey/2e87acd8-bf86-4a6a-9e24-edc0ef26b3ff	2e87acd8-bf86-4a6a-9e24-edc0ef26b3ff	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ja_JP"}
2057	9	2055	http://www.surveypie.com/survey/ffb68e14-ac35-4b97-b7f0-d47acf45172b	ffb68e14-ac35-4b97-b7f0-d47acf45172b	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ko_KR"}
2058	9	2055	http://www.surveypie.com/survey/53e113cc-769c-46d1-a61c-f68e2b6e43e2	53e113cc-769c-46d1-a61c-f68e2b6e43e2	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_TW"}
2059	9	2055	http://www.surveypie.com/survey/fb83f720-88ef-4322-be58-3ac064bf3fed	fb83f720-88ef-4322-be58-3ac064bf3fed	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_CN"}
2060	9	2055	http://www.surveypie.com/survey/bad9f433-50c1-4116-b7d0-9909d4b17dbc	bad9f433-50c1-4116-b7d0-9909d4b17dbc	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"th_TH"}
2061	9	2055	http://www.surveypie.com/survey/9a4791c0-b6aa-4a36-aad2-bfd068bd7ccd	9a4791c0-b6aa-4a36-aad2-bfd068bd7ccd	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"id_ID"}
2062	9	2055	http://www.surveypie.com/survey/2267e869-7185-4336-a894-6c762a752ace	2267e869-7185-4336-a894-6c762a752ace	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"de_DE"}
2063	9	2055	http://www.surveypie.com/survey/3a239833-f4e5-4968-b504-7455df347444	3a239833-f4e5-4968-b504-7455df347444	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"fr_FR"}
2064	9	2055	http://www.surveypie.com/survey/9a6dc20e-6dae-439d-944b-b05cdc3a943a	9a6dc20e-6dae-439d-944b-b05cdc3a943a	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202307200000]	[202308070400]	{{4,3,2,1,50}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
																	
2065	8	2065	http://www.surveypie.com/survey/ce760c05-06bc-4e5e-a1db-812978ac93b2	ce760c05-06bc-4e5e-a1db-812978ac93b2	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"en_US"}
2066	8	2065	http://www.surveypie.com/survey/541d52a0-e7c6-4012-ab2c-efb19a94ca52	541d52a0-e7c6-4012-ab2c-efb19a94ca52	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ja_JP"}
2067	8	2065	http://www.surveypie.com/survey/4ebeceb3-61f5-43cd-86e7-81c5baf3dde4	4ebeceb3-61f5-43cd-86e7-81c5baf3dde4	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ko_KR"}
2068	8	2065	http://www.surveypie.com/survey/601e9501-2ad9-4b9e-816a-802d7bc73c41	601e9501-2ad9-4b9e-816a-802d7bc73c41	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_TW"}
2069	8	2065	http://www.surveypie.com/survey/50082611-cfc2-4d2a-be6f-28cf5eb2b8a9	50082611-cfc2-4d2a-be6f-28cf5eb2b8a9	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_CN"}
2070	8	2065	http://www.surveypie.com/survey/b6810125-c242-49e4-82c0-91cd9d11259a	b6810125-c242-49e4-82c0-91cd9d11259a	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"th_TH"}
2071	8	2065	http://www.surveypie.com/survey/b1b3dc2a-0e98-4ba8-aec0-bb7857f07d96	b1b3dc2a-0e98-4ba8-aec0-bb7857f07d96	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"id_ID"}
2072	8	2065	http://www.surveypie.com/survey/dc15d8b4-3cf2-4330-9d5e-75c93e800453	dc15d8b4-3cf2-4330-9d5e-75c93e800453	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"de_DE"}
2073	8	2065	http://www.surveypie.com/survey/de20ac50-8ccb-4b61-8d5e-d64a4ad12fa0	de20ac50-8ccb-4b61-8d5e-d64a4ad12fa0	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"fr_FR"}
2074	8	2065	http://www.surveypie.com/survey/26517edd-cb7f-40c8-ab6d-3383b6d701a2	26517edd-cb7f-40c8-ab6d-3383b6d701a2	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,1,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
																	
2075	7	2075	http://www.surveypie.com/survey/b812fa68-68d3-47cb-ac18-312cc3028cad	b812fa68-68d3-47cb-ac18-312cc3028cad	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"en_US"}
2076	7	2075	http://www.surveypie.com/survey/d594995d-2859-45e7-b65b-da698b86c962	d594995d-2859-45e7-b65b-da698b86c962	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ja_JP"}
2077	7	2075	http://www.surveypie.com/survey/d3bd0cbc-81cd-4f67-9dc5-aae301eb1d1b	d3bd0cbc-81cd-4f67-9dc5-aae301eb1d1b	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ko_KR"}
2078	7	2075	http://www.surveypie.com/survey/e25ce329-78fb-4099-ac40-0f0009ce3b9e	e25ce329-78fb-4099-ac40-0f0009ce3b9e	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_TW"}
2079	7	2075	http://www.surveypie.com/survey/2c968ccd-4c33-4967-acca-701d81ba7572	2c968ccd-4c33-4967-acca-701d81ba7572	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_CN"}
2080	7	2075	http://www.surveypie.com/survey/73058e7d-f610-42a4-8494-5b740e7421cc	73058e7d-f610-42a4-8494-5b740e7421cc	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"th_TH"}
2081	7	2075	http://www.surveypie.com/survey/d5dc24a2-4d5c-49a8-8afc-130c801ef7f6	d5dc24a2-4d5c-49a8-8afc-130c801ef7f6	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"id_ID"}
2082	7	2075	http://www.surveypie.com/survey/642437c7-c73a-413f-b41b-8c7368c46bf3	642437c7-c73a-413f-b41b-8c7368c46bf3	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"de_DE"}
2083	7	2075	http://www.surveypie.com/survey/526ab3c2-3e6c-43d4-a38d-0a72898e8426	526ab3c2-3e6c-43d4-a38d-0a72898e8426	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"fr_FR"}
2084	7	2075	http://www.surveypie.com/survey/6a2b5c40-ff14-4348-b949-47ac0c1942a7	6a2b5c40-ff14-4348-b949-47ac0c1942a7	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,4}}	[202307200000]	[202308070400]	{{4,3,1,1,5000},{5,2,1,3,3}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"es_ES"}
																	
																	
1005	5	1005	https://www.diaochapai.com/survey/8d5a15fd-dbd4-415a-a76a-9e523c846214	8d5a15fd-dbd4-415a-a76a-9e523c846214	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202307011000]	[202308062359]	{{4,3,2,1,50}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"jinshan","ios_jinshanApple","bili"}	
1006	5	1005	https://www.diaochapai.com/survey/d52ea09d-d2e5-4820-b650-95a5b9269852	d52ea09d-d2e5-4820-b650-95a5b9269852	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202307011000]	[202308062359]	{{4,3,2,1,50}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"pc_jinshan","pc_bili"}	
																	
1007	4	1007	https://www.diaochapai.com/survey/83c60402-ab23-4180-9947-d2e1d9f6d221	83c60402-ab23-4180-9947-d2e1d9f6d221	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202307291000]	[202308062359]	{{4,2,1,3,1},{4,3,1,1,15000}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"jinshan","ios_jinshanApple","bili"}	
1008	4	1007	https://www.diaochapai.com/survey/84313f45-fa3f-4b4f-bf29-461196e78dfa	84313f45-fa3f-4b4f-bf29-461196e78dfa	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202307291000]	[202308062359]	{{4,2,1,3,1},{4,3,1,1,15000}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"pc_jinshan","pc_bili"}	
																	
1009	5	1009	https://www.diaochapai.com/survey/64b008bd-a6af-4c7b-bf19-ffcd4660cf84	64b008bd-a6af-4c7b-bf19-ffcd4660cf84	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202308161000]	[202309202359]	{{4,3,2,1,50}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"jinshan","ios_jinshanApple","bili"}	
1010	5	1009	https://www.diaochapai.com/survey/10ae487a-eda7-46d8-82cb-d37c9cd6fae2	10ae487a-eda7-46d8-82cb-d37c9cd6fae2	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202308161000]	[202309202359]	{{4,3,2,1,50}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,150,151}	{"pc_jinshan","pc_bili"}	
																	
																	
2085	6	2085	http://www.surveypie.com/survey/86508782-ac2f-41c8-8f96-f020a52d2dfe	86508782-ac2f-41c8-8f96-f020a52d2dfe	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"en_US"}
2086	6	2085	http://www.surveypie.com/survey/8d4a1685-1dbd-4bc8-af97-2214570293a1	8d4a1685-1dbd-4bc8-af97-2214570293a1	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ja_JP"}
2087	6	2085	http://www.surveypie.com/survey/800d8176-7efb-4e30-b13c-ab871f3210f8	800d8176-7efb-4e30-b13c-ab871f3210f8	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"ko_KR"}
2088	6	2085	http://www.surveypie.com/survey/38867643-bf43-4217-a76f-360f9c4ba696	38867643-bf43-4217-a76f-360f9c4ba696	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202309211300]	[202311020400]	{{4,2,1,3,1},{4,3,1,1,15000}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,214,215,224,225,234,235,244,245}		{"zh_TW"}
