升级卡牌ID	备注	升级卡技能ID	通用和机枪modifier	修改技能释放举例	机枪子弹数量修改	升级卡类型（1普通升级2强力升级3特殊被动4通用被动）	特殊升级（1机枪升级树 2防线通用 3伙伴通用 4机枪通用 5机枪特殊）	战斗内前置升级卡id	是否是减CD升级	升级品质（1绿2蓝3紫4橙）	自动选择优先级（从高到低）	卡牌图标	卡牌名称	卡牌描述	卡牌描述参数	卡牌差值描述
99005	通用被动5-本技能冷却时间-10%		3809806			4				1	1	1001335	aliendefence.Upgrade_997_03_01_name	aliendefence.Upgrade_997_03_des	{10}	aliendefence.Upgrade_Difference_03_des
99006	通用被动6-本技能冷却时间-10%		3809807			4				1	1	1001347	aliendefence.Upgrade_997_03_02_name	aliendefence.Upgrade_997_03_des	{20}	
1	轰炸造成的灼烧+3秒	380010302				1		1106		3	3	1001342	aliendefence.Upgrade_01_03_02_name	aliendefence.Upgrade_01_04_des	{3}	
2	轰炸在地面留下持续4秒的火焰陷阱	380010401				1				4	4	1001342	aliendefence.Upgrade_01_04_name	aliendefence.Upgrade_01_05_des	{4}	
3	轰炸击退敌人2米，对灼烧敌人伤害+15%	380010601				2				3	3	1001339	aliendefence.Upgrade_01_06_01_name	aliendefence.Upgrade_01_07_des	{2,15}	
4	轰炸击退距离2米，对灼烧敌人伤害+15%	380010602				2		3		4	4	1001339	aliendefence.Upgrade_01_06_02_name	aliendefence.Upgrade_01_08_des	{2,15}	
5	火焰陷阱对敌人造成5秒灼烧	380020301				1				1	1	1001342	aliendefence.Upgrade_02_03_01_name	aliendefence.Upgrade_02_03_des	{5}	
6	火焰陷阱造成的灼烧+5秒	380020302				1		5		2	2	1001342	aliendefence.Upgrade_02_03_02_name	aliendefence.Upgrade_02_04_des	{5}	
7	灼烧伤害+100%	380020501				1		5		1	1	1001337	aliendefence.Upgrade_02_05_01_name	aliendefence.Upgrade_02_06_des	{100}	
8	灼烧伤害+100%	380020502				1		7		2	2	1001337	aliendefence.Upgrade_02_05_02_name	aliendefence.Upgrade_02_06_des	{100}	
9	触碰到火焰陷阱的敌人移速-50%，持续5秒	380020601				1				3	3	1001338	aliendefence.Upgrade_02_06_name	aliendefence.Upgrade_02_07_des	{50}	
10	火焰陷阱结束时产生3米的爆炸	380020701				2				4	4	1001346	aliendefence.Upgrade_02_07_01_name	aliendefence.Upgrade_02_08_des	{3}	
11	火焰陷阱结束时爆炸的范围+3米	380020702				2		10		1	1	1001346	aliendefence.Upgrade_02_07_02_name	aliendefence.Upgrade_02_09_des	{3}	
12	电磁地面伤害+100%	380030502				1		3109		4	4	1001337	aliendefence.Upgrade_03_05_02_name	aliendefence.Upgrade_03_06_des	{100}	
13	处于电磁地面的敌人受到的伤害+30%	380030601				2		3104		1	1	1001338	aliendefence.Upgrade_03_06_01_name	aliendefence.Upgrade_03_07_des	{30}	
14	处于电磁地面的敌人受到的伤害+30%	380030602				2		13		2	2	1001338	aliendefence.Upgrade_03_06_02_name	aliendefence.Upgrade_03_07_des	{30}	
15	发射寒冰弹数量+1	380050101				1				1	1	1001334	aliendefence.Upgrade_05_01_01_name	aliendefence.Upgrade_05_01_des	{1}	
16	发射寒冰弹数量+1	380050102				1		15		2	2	1001334	aliendefence.Upgrade_05_01_02_name	aliendefence.Upgrade_05_01_des	{1}	
17	寒冰弹造成的减速+3秒	380050402				1		5107		4	4	1001343	aliendefence.Upgrade_05_04_02_name	aliendefence.Upgrade_05_06_des	{3}	
18	寒冰弹穿透敌人次数+1	380050601				2				3	3	1001341	aliendefence.Upgrade_05_06_01_name	aliendefence.Upgrade_05_08_des	{1}	
19	寒冰弹穿透敌人次数+1	380050602				2		18		4	4	1001341	aliendefence.Upgrade_05_06_02_name	aliendefence.Upgrade_05_08_des	{1}	
20	寒冰弹对异常状态敌人伤害+30%	380050701				3				1	1	1001338	aliendefence.Upgrade_05_07_name	aliendefence.Upgrade_05_09_des	{30}	
21	寒冰射线技能冷却时间-50%	380060801				1			1	4	4	1001345	aliendefence.Upgrade_06_07_name	aliendefence.Upgrade_06_10_des	{50}	
22	寒冰射线对敌人造成5秒冻伤	380060301				1				1	1	1001343	aliendefence.Upgrade_06_02_01_name	aliendefence.Upgrade_06_02_des	{5}	
23	寒冰射线造成的冻伤+5秒	380060302				1		22		2	2	1001343	aliendefence.Upgrade_06_02_02_name	aliendefence.Upgrade_06_03_des	{5}	
24	寒冰射线造成5秒易伤，敌人受到伤害+30%	380060701				2				4	4	1001338	aliendefence.Upgrade_06_06_01_name	aliendefence.Upgrade_06_08_des	{5,30}	
25	寒冰射线造成的易伤+5秒，敌人受到伤害+30%	380060702				2		24		1	1	1001338	aliendefence.Upgrade_06_06_02_name	aliendefence.Upgrade_06_09_des	{5,30}	
26	寒冰射线持续时长+100%	380060501				1				4	4	1001336	aliendefence.Upgrade_06_04_01_name	aliendefence.Upgrade_06_06_des	{100}	
27	寒冰射线持续时长+100%	380060502				1		26		1	1	1001336	aliendefence.Upgrade_06_04_02_name	aliendefence.Upgrade_06_06_des	{100}	
28	轨道激光持续时间+80%	380070301				1				1	1	1001336	aliendefence.Upgrade_07_03_01_name	aliendefence.Upgrade_07_03_des	{80}	
29	轨道激光持续时间+80%	380070302				1		28		2	2	1001336	aliendefence.Upgrade_07_03_02_name	aliendefence.Upgrade_07_03_des	{80}	
30	轨道激光对处于异常状态的敌人伤害+100%	380070601				2				1	1	1001338	aliendefence.Upgrade_07_06_01_name	aliendefence.Upgrade_07_06_des	{100}	
31	轨道激光对处于异常状态的敌人伤害+100%	380070602				2		30		2	2	1001338	aliendefence.Upgrade_07_06_02_name	aliendefence.Upgrade_07_06_des	{100}	
32	轨道激光时间结束时，在原地停留+4秒后才消失	380070801				3				3	3	1001338	aliendefence.Upgrade_07_08_name	aliendefence.Upgrade_07_08_des	{4}	
33	引力球牵引范围+50%	380080201				1				1	1	1001347	aliendefence.Upgrade_08_02_01_name	aliendefence.Upgrade_08_02_des	{50}	
34	引力球牵引范围+50%	380080202				1		33		2	2	1001347	aliendefence.Upgrade_08_02_02_name	aliendefence.Upgrade_08_02_des	{50}	
35	引力球伤害和结束爆炸伤害+150%	380080402				1		8105		1	1	1001337	aliendefence.Upgrade_08_03_03_name	aliendefence.Upgrade_08_03_01_des	{150}	
36	引力球持续时间+20%，冷却时间-40%	380080501				1			1	2	2	1001336	aliendefence.Upgrade_08_04_01_name	aliendefence.Upgrade_08_04_01_des	{20,40}	
37	引力球持续时间+20%，冷却时间-40%	380080502				1		36	1	3	3	1001336	aliendefence.Upgrade_08_04_02_name	aliendefence.Upgrade_08_04_01_des	{20,40}	
38	怪物被牵引距离+100%	380080801				3				4	4	1001347	aliendefence.Upgrade_08_07_name	aliendefence.Upgrade_08_08_des	{100}	
