唯一Id	优先级（值越小优先级越高；1,2,3,4）	字符串索引	说话人	Wwise事件名	声音时间(手动导出)	临时时间	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
DLC3MACT6.1		DLC3MACT6.1.1	仿制空壳	Play_Vo_dlc3act6_npc046_1	3.75771		已检测到目标接近——		
		DLC3MACT6.1.2	猫汐尔	Play_Vo_dlc3act6_girl012_1	5.134036		嗯？那些大块头……是壁画里的空壳吗？		
		DLC3MACT6.1.3	猫汐尔	Play_Vo_dlc3act6_girl012_2	2.63805		总觉得和想象中的有些出入。		
									
DLC3MACT8.1		DLC3MACT8.1.1	透墨索斯	Play_Vo_dlc3act8_teumessian_1	4.854558		已抵达目的地~发现目标猫汐尔嘭~~！		
		DLC3MACT8.1.2	猫汐尔	Play_Vo_dlc3act8_girl012_1	1.091973		逐光者？		
		DLC3MACT8.1.3	透墨索斯	Play_Vo_dlc3act8_teumessian_2	2.94678		回答正确嘭~		
		DLC3MACT8.1.4	猫汐尔	Play_Vo_dlc3act8_girl012_2	5.064716		为什么会在这里出现……算了，顺手解决掉吧。		
									
dlc3world1		dlc3world1.1	猫汐尔	Play_Vo_dlc3world1_girl012_01	3.612177		唔喵，上面好像有字？		
		dlc3world1.2	猫汐尔	Play_Vo_dlc3world1_girl012_02	4.71288		不过一块碎片上的信息还是太少了喵。		
		dlc3world1.3	猫汐尔	Play_Vo_dlc3world1_girl012_03	2.42424		等找齐之后再看看吧。		
									
dlc3world2		dlc3world2.1	猫汐尔	Play_Vo_dlc3world2_girl012_01	2.421225		已经收集完了喵。		
		dlc3world2.2	猫汐尔	Play_Vo_dlc3world2_girl012_02	2.990521		不过还要花一点时间解读……		
		dlc3world2.3	猫汐尔	Play_Vo_dlc3world2_girl012_03	4.315964		那就听分析员的，先回码头集合好了。		
									
dlc3world3		dlc3world3.1	恩雅	Play_Vo_dlc3world3_girl011_01	3.89932		还是和之前一样，到处收集碎片呢。		
		dlc3world3.2	芬妮	Play_Vo_dlc3world3_girl008_01	2.821157		所以说，还是要分头行动吗？		
		dlc3world3.3	恩雅	Play_Vo_dlc3world3_girl011_02	4.520635		姐姐这次想要和分析员还有小猫猫一组哦。		
		dlc3world3.4	猫汐尔	Play_Vo_dlc3world3_girl012_01	4.0239		修正，我的年龄要比你大一些喵。		
									
dlc3world4		dlc3world4.1	恩雅	Play_Vo_dlc3world4_girl011_01	2.528753		这个区域的碎片已经收集完了吧~		
		dlc3world4.2	安提2	Play_Vo_dlc3world4_npc047_01	4.455805		太好了，看样子很顺利呢。		
		dlc3world4.3	恩雅	Play_Vo_dlc3world4_girl011_02	4.43737		嘿嘿嘿，那还要多亏了分析员和猫汐尔哦。		
		dlc3world4.4	安提2	Play_Vo_dlc3world4_npc047_02	6.038526		嗯，多亏了两位……感觉很快就能离开这里了。		
		dlc3world4.5	猫汐尔	Play_Vo_dlc3world5_girl012_01	2.666032		那么，我要开始解读了喵。		
									
dlc3world6		dlc3world6.1	猫汐尔	Play_Vo_dlc3world6_girl012_01	2.421746		这是最后的区域了喵。		
		dlc3world6.2	恩雅	Play_Vo_dlc3world6_girl011_01	4.991292		不过还是想不通，那个黑客究竟想要做什么？		
									
dlc3world7		dlc3world7.1	恩雅	Play_Vo_dlc3world7_girl011_01	1.957596		这就是最后的碎片了。		
		dlc3world7.2	猫汐尔	Play_Vo_dlc3world7_girl012_01	4.539841		太过顺利了，有种不好的预感喵。		
		dlc3world7.3	恩雅	Play_Vo_dlc3world7_girl011_02	3.282222		还是先一起回集合点吧。		
									
dlc3world8		dlc3world8.1	恩雅	Play_Vo_dlc3world8_girl011_01	2.099048		小安提也失联了……		
		dlc3world8.2	芬妮	Play_Vo_dlc3world8_girl008_01	2.913401		所以不好的事情还是发生了吗？！		
		dlc3world8.3	猫汐尔	Play_Vo_dlc3world8_girl012_01	1.777574		尚无定论。		
		dlc3world8.4	恩雅	Play_Vo_dlc3world8_girl011_02	2.969456		有分析员在这，一定会没事的……		
									
dlc3world9		dlc3world9.1	芬妮	Play_Vo_dlc3world9_girl008_01	3.478753		哎？我们没来错地方吧？		
		dlc3world9.2	恩雅	Play_Vo_dlc3world9_girl011_01	5.834354		坐标和小安提提供的地址吻合，应该没错。		
		dlc3world9.3	芬妮	Play_Vo_dlc3world9_girl008_02	3.186667		但这里看上去并不像机房啊？		
		dlc3world9.4	猫汐尔	Play_Vo_dlc3world9_girl012_01	5.959002		分析员，通道尽头貌似有什么有趣的东西喵。		
									
dlc3world10		dlc3world10.1	恩雅	Play_Vo_dlc3world10_girl011_01	5.390862		这个石门，需要认证身份才能通过吗？		
		dlc3world10.2	芬妮	Play_Vo_dlc3world10_girl008_01	4.33195		开什么玩笑，这可是古代人造的玩意啊！		
		dlc3world10.3	恩雅	Play_Vo_dlc3world10_girl011_02	4.097301		但是这里有个很像是触摸板一样的……		
		dlc3world10.4	猫汐尔	Play_Vo_dlc3world10_girl012_01	3.411814		试一试就知道了喵。		
									
dlc3world11		dlc3world11.1	空壳	Play_Vo_dlc3world11_npc046_01	8.235442		发现入侵者……啊……还有……同（胞）……		
		dlc3world11.2	芬妮	Play_Vo_dlc3world11_girl008_01	6.241837		哎？搞什么啊，怎么这里也有这玩意，难道又是逐（光者）……		
		dlc3world11.3	猫汐尔	Play_Vo_dlc3world11_girl012_01	4.113855		不一样，这里的是正品。		
		dlc3world11.4	恩雅	Play_Vo_dlc3world11_girl011_01	4.113492		哎？猫汐尔为什么这么肯定？		
		dlc3world11.5	猫汐尔	Play_Vo_dlc3world11_girl012_02	4.043719		下意识的感觉。		
		dlc3world11.6	恩雅	Play_Vo_dlc3world11_girl011_02	5.417891		哼，没想到你也有感性的时候。		
									
dlc3world5		dlc3world5.1	空壳	Play_Vo_dlc3world12_npc046_01	11.32041		好痛……为什么……只……留下我……		
									
									
dlc3world12		dlc3world12.1	空壳	Play_Vo_dlc3world12_npc046_02	6.577687		大家……一直都没有（回应）……		
		dlc3world12.2	芬妮	Play_Vo_dlc3world12_girl008_01	5.410861		这个家伙在念叨什么？听起来怪渗人的。		
		dlc3world12.3	恩雅	Play_Vo_dlc3world12_girl011_01	5.532449		不知道，但是好像……还有点可怜……		
		dlc3world12.4	芬妮	Play_Vo_dlc3world12_girl008_02	3.371633		猫汐尔，你能听懂吗？		
		dlc3world12.5	猫汐尔	Play_Vo_dlc3world12_girl012_01	5.17839		嗯，他在说“好痛”。		
		dlc3world12.6	芬妮	Play_Vo_dlc3world12_girl008_03	1.999093		哎？！		
									
dlc3world13		dlc3world13.1	空壳	Play_Vo_dlc3world13_npc046_01	7.036508		终于……我也……可以前往…………		
		dlc3world13.2	芬妮	Play_Vo_dlc3world13_girl008_01	5.069683		呼~总算是把这个大家伙给解决了。		
		dlc3world13.3	恩雅	Play_Vo_dlc3world13_girl011_01	4.56483		说起来，这个也算是机器人吗？		
		dlc3world13.4	芬妮	Play_Vo_dlc3world13_girl008_02	3.111565		啊，小安提发来通讯了！		
		dlc3world13.5	安提	Play_Vo_dlc3world13_npc047_01	2.735125		呼呵呵呵呵。		
		dlc3world13.6	安提	Play_Vo_dlc3world13_npc047_02	6.732857		恭喜各位，克服了重重考验，找到了最后的宝物。		
		dlc3world13.7	芬妮	Play_Vo_dlc3world13_girl008_03	6.43805		怎么小安提的语气变得那么像……那个黑客？		
		dlc3world13.8	猫汐尔	Play_Vo_dlc3world13_girl012_01	3.075329		我们被骗了喵。		
		dlc3world13.9	恩雅	Play_Vo_dlc3world13_girl011_02	2.539546		她们是同一人吗？		
		dlc3world13.10	安提	Play_Vo_dlc3world13_npc047_03	7.357665		谁知道呢~不过有劳各位，可以再回酒店一趟吗？		
		dlc3world13.11	安提	Play_Vo_dlc3world13_npc047_04	9.055692		我在那里等着你哦，分—析—员—~		
									
ch12.01.01		ch12.01.01.1	苔丝	Play_Vo_ch12act1_girl017_02	4.700476		辰星姐，这和零区不太一样……这是耶洛沙边境。		
		ch12.01.01.2	苔丝	Play_Vo_ch12act1_girl017_03	3.74		敢在这开枪的人，可没有什么是他们不敢干的。		
									
ch12.01.02		ch12.01.02.1	辰星	Play_Vo_ch12act1_girl014_06	5.096009		离了群的饿狼为了谋食，做了他人的狗么。		
		ch12.01.02.2	苔丝	Play_Vo_ch12act1_girl017_05	3.708662		晚一点再想吧辰星姐——先收拾干净了再说。		
									
ch12.01.03		ch12.01.03.1	苔丝	Play_Vo_ch12act1_girl017_06	5.635329		都还活着，但看这样子应该是没法继续作战了。		
		ch12.01.03.2	辰星	Play_Vo_ch12act1_girl014_07	5.194671		激活他们身上的应急信标，剩下的交给后勤。		
		ch12.01.03.3	苔丝	Play_Vo_ch12act1_girl017_07	6.733333		辰星姐，咱们这条路线上……没有后勤。		
		ch12.01.03.4	辰星	Play_Vo_ch12act1_girl014_08	7.506667		好。找到车之后，给我一个解释。		
									
ch12.01.04		ch12.01.04.1	辰星	Play_Vo_ch12act1_girl014_09	9.066667		货船？搁浅在这种位置？边境的奇趣光景倒着实是不少。		
		ch12.01.04.2	苔丝	Play_Vo_ch12act1_girl017_08	3.832426		更有趣的是这实际上是用来睡人的。		
		ch12.01.04.3	苔丝	Play_Vo_ch12act1_girl017_09	5.146871		雇佣兵，逃犯，走私商人，情报掮客……		
		ch12.01.04.4	苔丝	Play_Vo_ch12act1_girl017_10	3.106871		你猜一猜，那些袭击了我们的人……		
		ch12.01.04.5	苔丝	Play_Vo_ch12act1_girl017_11	2.856009		这会儿是不是也躲在里面！		
									
ch12.02.01		ch12.02.01.1	辰星	Play_Vo_ch12act2_girl014_01	5.248004		苔丝，打开车门。容我查验一下护送目标的状态。		
		ch12.02.01.2	苔丝	Play_Vo_ch12act2_girl017_01	5.60093		你要检查肯定是没问题！只不过……哎呀！		
		ch12.02.01.3	苔丝	Play_Vo_ch12act2_girl017_02	4.95805		那东西平时状态稳定，但不能暴露在低温环境里。		
		ch12.02.01.4	辰星	Play_Vo_ch12act2_girl014_02	5.141338		说谎。你目光闪躲，气息不匀，休想瞒我。		
		ch12.02.01.5	苔丝	Play_Vo_ch12act2_girl017_03	3.069161		辰星姐你行行好，别拷问我。		
		ch12.02.01.6	苔丝	Play_Vo_ch12act2_girl017_04	3.476825		等远程通讯恢复了，让分析员亲口告诉你。		
									
ch12.03.01		ch12.03.01.1	晴	Play_Vo_ch12act3_girl006_01	3.455896		……费尽周折地一路把我引到这种地方来。		
		ch12.03.01.2	晴	Play_Vo_ch12act3_girl006_02	2.433923		还做了通讯信号分段屏蔽……		
		ch12.03.01.3	晴	Play_Vo_ch12act3_girl006_03	4.452086		哼，看来这人比预想中的要更聪明点。		
		ch12.03.01.4	晴	Play_Vo_ch12act3_girl006_04	3.688073		不过越是聪明，越不能让这种人活着。		
		ch12.03.01.5	晴	Play_Vo_ch12act3_girl006_05	4.126077		这一次……分析员绝不可以再受到任何伤害！		
									
ch12.03.02		ch12.03.02.1	戍卫士兵	Play_Vo_ch12act3_soldier01_01	5.571995		那些炮灰最好别把事情搞砸了。不然的话……		
		ch12.03.02.2	戍卫士兵	Play_Vo_ch12act3_soldier01_02	3.548322		咱们这位中校可不是个好脾气的人。		
									
ch12.03.03		ch12.03.03.1	身份不明的士兵	Play_Vo_ch12act3_soldier01_04	5.792426		……战斗英雄？有个屁用！现在还不是像狗一样。		
		ch12.03.03.2	身份不明的士兵	Play_Vo_ch12act3_soldier01_05	4.036962		那么一把年纪了，还得被手下的废物们拖累。		
		ch12.03.03.3	身份不明的士兵	Play_Vo_ch12act3_soldier01_06	5.282086		还想凭着一张老脸带着那群人回耶洛沙……		
		ch12.03.03.4	身份不明的士兵	Play_Vo_ch12act3_soldier01_07	2.678911		也不看看现在是什么年月了！		
		ch12.03.03.5	戍卫士兵	Play_Vo_ch12act3_soldier02_04	5.789819		所以啊，为了能让手下人活命，只能给咱们卖命了。		
									
ch12.03.04		ch12.03.04.1	晴	Play_Vo_ch12act3_girl006_06	2.927937		……分析员，查清了。是约瑟夫。		
		ch12.03.04.2	晴	Play_Vo_ch12act3_girl006_07	4.283401		他带着少部分郊狼从零区跑出来，目前在为军方做事。		
		ch12.03.04.3	晴	Play_Vo_ch12act3_girl006_08	3.373175		我现在就处理掉那个巡查官，然后去支援她们。		
		ch12.03.04.4	晴	Play_Vo_ch12act3_girl006_09	1.992903		您在列车上万事小心。		
									
ch12.03.05		ch12.03.02.3	戍卫士兵	Play_Vo_ch12act3_soldier02_01	6.405056		让那些零区里出来的家伙负责追人，为的就是让他们当炮灰的。		
		ch12.03.02.4	身份不明的士兵	Play_Vo_ch12act3_soldier01_03	1.186757		什么意思？		
		ch12.03.02.5	戍卫士兵	Play_Vo_ch12act3_soldier02_02	3.466939		哎呀跟你说了也没用！你不懂……		
									
ch12.04.01		ch12.04.01.1	苔丝	Play_Vo_ch12act4_girl017_01	5.44347		辰星姐，说好了哦，要是前面路上真出了事……		
		ch12.04.01.2	辰星	Play_Vo_ch12act4_girl014_01	3.538662		那些只是杞人忧天，不是必然。		
		ch12.04.01.3	苔丝	Play_Vo_ch12act4_girl017_02	4.27102		出发前我给分析员做简报的时候，也当这些都是预案……		
		ch12.04.01.4	苔丝	Play_Vo_ch12act4_girl017_03	4.904921		可预案里的事情，正在一个个地变成现实。		
		ch12.04.01.5	辰星	Play_Vo_ch12act4_girl014_02	5.585329		常胜者，置身事中也当冷眼观局，舍胆而不自矜。		
		ch12.04.01.6	辰星	Play_Vo_ch12act4_girl014_03	5.562676		用你听得懂的方式来说，就是我不会抛下你不管。		
		ch12.04.01.7	辰星	Play_Vo_ch12act4_girl014_04	1.717324		继续前进吧。		
									
ch12.04.02		ch12.04.02.1	苔丝	Play_Vo_ch12act4_girl017_04	1.696803		……哇！！		
		ch12.04.02.2	苔丝	Play_Vo_ch12act4_girl017_05	5.16839		哈……哈……刚才，刚才真是好险！		
		ch12.04.02.3	苔丝	Play_Vo_ch12act4_girl017_06	2.759751		辰星姐！你没事吧？！		
		ch12.04.02.4	辰星	Play_Vo_ch12act4_girl014_05	2.885329		啧！无碍。车还能动吗？		
		ch12.04.02.5	苔丝	Play_Vo_ch12act4_girl017_07	10.16966		好像……好像还行！不过这下我们得绕路了！		
		ch12.04.02.6	辰星	Play_Vo_ch12act4_girl014_06	5.873333		别毛躁。此间诡事接二连三，绝无巧合的可能。		
		ch12.04.02.7	辰星	Play_Vo_ch12act4_girl014_07	4.434671		方才那么大声势，得先确保那群附骨疽没跟过来！		
									
ch12.04.03		ch12.04.03.1	苔丝	Play_Vo_ch12act4_girl017_08	4.299864		等等，这是……内务监察的特殊装具？！		
		ch12.04.03.2	苔丝	Play_Vo_ch12act4_girl017_09	3.83195		公司的人为什么会来这里？！还杀了人？！		
		ch12.04.03.3	辰星	Play_Vo_ch12act4_girl014_08	3.989342		这些东西……不是你先前单独行事所用？		
		ch12.04.03.4	苔丝	Play_Vo_ch12act4_girl017_10	3.695306		绝对不是。这条路我之前从没来过。		
		ch12.04.03.5	苔丝	Play_Vo_ch12act4_girl017_11	3.894649		负责支援的后勤部门也不会走这里……		
		ch12.04.03.6	苔丝	Play_Vo_ch12act4_girl017_12	5.304717		辰星姐，事情不太对劲！出发前明明说好……这条路上只有我们的。		
		ch12.04.03.7	辰星	Play_Vo_ch12act4_girl014_09	3.921338		说好？你跟谁，说好了什么？		
		ch12.04.03.8	苔丝	Play_Vo_ch12act4_girl017_13	3.960317		啊……没，没什么！没说什么。		
									
ch12.05.01		ch12.05.01.0	？？？	Play_Story_Disturb1	0		（通讯接入）		
		ch12.05.01.1	苔丝	Play_Vo_ch12act5_girl017_01	3.29805		嗯？信号屏蔽被解除了吗？		
		ch12.05.01.2	辰星	Play_Vo_ch12act5_girl014_01	3.913333		不，更像是没被污染的特殊频段。		
		ch12.05.01.3	辰星	Play_Vo_ch12act5_girl014_02	2.818662		是内务监察的专用通话频段。		
		ch12.05.01.4	苔丝	Play_Vo_ch12act5_girl017_02	1.498594		……		
		ch12.05.01.5	辰星	Play_Vo_ch12act5_girl014_03	1.328004		我是姬辰星。		
		ch12.05.01.6	？？？	Play_Vo_ch12act5_inspector_01	3.364966		走冰冻河道，从桥上去钢铁厂。		
		ch12.05.01.7	辰星	Play_Vo_ch12act5_girl014_04	2.618662		你们是谁？为什么联系我们？		
		ch12.05.01.8	辰星	Play_Vo_ch12act5_girl014_05	3.488004		啧，装神弄鬼。		
									
ch12.05.02		ch12.05.02.1	郊狼队长	Play_Vo_ch12act5_coyote01_01	5.684263		嘿，精神点！首领就快到了，那两个小丫头跑不了的。		
		ch12.05.02.2	郊狼士兵	Play_Vo_ch12act5_coyote02_01	7.486848		首领他……唉，他不该过来的，明明我们搞定就行了。		
		ch12.05.02.3	郊狼士兵	Play_Vo_ch12act5_coyote02_02	5.339388		驾驶那个新家伙……对首领的身体负担太大了！		
		ch12.05.02.4	郊狼队长	Play_Vo_ch12act5_coyote01_02	4.987846		别婆婆妈妈的！不是说好了么，离开零区之后……		
		ch12.05.02.5	郊狼士兵	Play_Vo_ch12act5_coyote02_03	3.305057		我们就是真正的恶狼。		
									
ch12.05.03		ch12.05.03.1	郊狼士兵	Play_Vo_ch12act5_coyote01_03	8.236734		看样子你还不知道……哈，这次咱们没人能活着回去。		
		ch12.05.03.2	郊狼士兵	Play_Vo_ch12act5_coyote01_04	5.70576		对，都要死，就死在这地方。		
		ch12.05.03.3	郊狼士兵	Play_Vo_ch12act5_coyote01_05	3.996281		我不是说任务会失败，我的意思是……		
		ch12.05.03.4	郊狼士兵	Play_Vo_ch12act5_coyote01_06	4.821746		首领，咱们，那几个天启者小姑娘……		
		ch12.05.03.6	郊狼士兵	Play_Vo_ch12act5_coyote01_08	3.987732		死在这个不归任何势力控制的边境地界。		
		ch12.05.03.7	郊狼士兵	Play_Vo_ch12act5_coyote01_09	4.445079		至于那辆装甲车，会有别人负责接手处理。		
		ch12.05.03.8	郊狼士兵	Play_Vo_ch12act5_coyote01_10	7.544671		所以啊兄弟，早跟你说了是单程票，不用等我了！		
									
ch12.06.01		ch12.06.01.1	晴	Play_Vo_ch12act6_girl006_01	2.391383		分析员刚刚在通讯里很反常……		
		ch12.06.01.2	晴	Play_Vo_ch12act6_girl006_02	2.233288		列车上或许有什么不对劲的事情。		
		ch12.06.01.3	晴	Play_Vo_ch12act6_girl006_03	3.668798		得尽快找到苔丝和辰星，带她们一起回列车上去！		
									
ch12.06.02		ch12.06.02.1	军方士兵	Play_Vo_ch12act6_soldier01_01	4.62576		那些丧家犬最好真的老老实实按计划行事。		
		ch12.06.02.2	军方士兵	Play_Vo_ch12act6_soldier02_01	8.669569		放心，绝对不会的。哼哼……视死如归？扯淡。		
		ch12.06.02.3	军方士兵	Play_Vo_ch12act6_soldier02_02	7.279592		他们全靠手里那两把破枪到处抢饭吃，怎么可能会老老实实放下武器。		
		ch12.06.02.4	军方士兵	Play_Vo_ch12act6_soldier02_03	5.986032		契约，誓言，对这些离群野狗来说就是个屁。		
		ch12.06.02.5	军方士兵	Play_Vo_ch12act6_soldier01_02	5.172744		那就更好了！我们动手，集体处决……		
		ch12.06.02.6	军方士兵	Play_Vo_ch12act6_soldier01_03	4.336803		只要下手够快，就算凯茜娅想阻止我们也来不及。		
									
ch12.07.00		ch12.07.01.2	辰星	Play_Vo_ch12act7_girl014_02	4.223991		那支所谓的后勤部队呢？陶董配给你的私兵呢？！		
									
ch12.07.01		ch12.07.01.1	辰星	Play_Vo_ch12act7_girl014_01	5.160204		苔丝？你瞒了我这许久，现在总该给我个交代了吧？		
		ch12.07.01.3	苔丝	Play_Vo_ch12act7_girl017_01	5.920544		是哦，他们人呢……不会是迷路了吧，嘿嘿……		
		ch12.07.01.4	辰星	Play_Vo_ch12act7_girl014_03	4.714671		你还要装傻？！莫非你真是打定主意不要自己的性命了！		
		ch12.07.01.5	苔丝	Play_Vo_ch12act7_girl017_02	4.378299		我说过啦辰星姐……你要活着见到分析员。		
		ch12.07.01.6	苔丝	Play_Vo_ch12act7_girl017_03	5.806689		计划，猜疑，真相……所有这些东西。		
		ch12.07.01.7	苔丝	Play_Vo_ch12act7_girl017_04	2.667166		就让分析员亲口告诉你吧。		
									
ch12.07.02		ch12.07.02.1	辰星	Play_Vo_ch12act7_girl014_04	5.871995		那是！那是什么？！苔丝！当心！		
		ch12.07.02.2	苔丝	Play_Vo_ch12act7_girl017_05	4.731429		哈……每次演出都搞成这样……时间总是不够。		
		ch12.07.02.3	苔丝	Play_Vo_ch12act7_girl017_06	2.302041		明明就还没准备好要谢幕……		
		ch12.07.02.4	辰星	Play_Vo_ch12act7_girl014_05	3.008004		苔丝！喂！苔丝？！		
									
ch12.07.03		ch12.07.03.1	苔丝	Play_Vo_ch12act7_girl017_08	3.679343		……果然是这样！这样一切都说得通了！		
		ch12.07.03.2	苔丝	Play_Vo_ch12act7_girl017_09	4.247166		辰星姐！你听好！他们的目标只是这辆车！		
		ch12.07.03.3	苔丝	Play_Vo_ch12act7_girl017_10	3.523401		我会去引开他们！你去做我们说好的那件事！		
		ch12.07.03.4	辰星	Play_Vo_ch12act7_girl014_06	1.868005		苔丝！住手！		
		ch12.07.03.5	苔丝	Play_Vo_ch12act7_girl017_11	5.848004		活着去见他！让他告诉你真相！你答应过我！		
		ch12.07.03.6	辰星	Play_Vo_ch12act7_girl014_07	2.150658		苔丝……！		
		ch12.07.03.7	苔丝	Play_Vo_ch12act7_girl017_12	2.526032		……我答应过他……		
									
ch12.08.01		ch12.08.01.1	辰星	Play_Vo_ch12act8_girl014_01	4.299297		不行，冷静！冷静姬辰星！		
		ch12.08.01.2	辰星	Play_Vo_ch12act8_girl014_02	5.631996		她一直在催我去找分析员，刚刚的反应里也是失望多过惊慌。		
		ch12.08.01.3	辰星	Play_Vo_ch12act8_girl014_03	6.209342		如若郊狼的目标真的只有那辆车而已的话，那这局就还不算完。		
		ch12.08.01.4	辰星	Play_Vo_ch12act8_girl014_04	7.058662		想破局需得先洞悉全貌，只要快点跟分析员取得联络就好了。		
									
ch12.09.01		ch12.09.01.1	辰星	Play_Vo_ch12act9_girl014_01	3.498662		可恶！竟会处处受阻！		
		ch12.09.01.2	辰星	Play_Vo_ch12act9_girl014_02	4.050658		眼前这港口，却也全然不似遭逢弃置之地。		
		ch12.09.01.3	辰星	Play_Vo_ch12act9_girl014_03	6.683333		先去仔细探寻一番，也许会有旧式的固定通话装置。		
									
ch12.09.02		ch12.09.02.1	晴	Play_Vo_ch12act9_girl006_01	4.305351		……辰星！苔丝……！		
		ch12.09.02.2	辰星	Play_Vo_ch12act9_girl014_04	4.918662		这是……晴？！晴！你在哪？！晴？！		
		ch12.09.02.3	晴	Play_Vo_ch12act9_girl006_02	8.487778		……坐标……析员……约瑟夫……		
		ch12.09.02.4	辰星	Play_Vo_ch12act9_girl014_05	4.485329		她现在应该没在列车上！得立刻想办法修好这老古董。		
		ch12.09.02.5	辰星	Play_Vo_ch12act9_girl014_06	3.623991		不能让更多队员卷进这片是非地了！		
									
ch12.10.01		ch12.10.01.1	晴	Play_Vo_ch12act10_girl006_01	2.840658		这地方已经不在规划的任务区域里了……		
		ch12.10.01.2	晴	Play_Vo_ch12act10_girl006_02	3.92771		但如果她们能脱身的话，只会往这边走才对。		
		ch12.10.01.3	晴	Play_Vo_ch12act10_girl006_03	4.626825		郊狼，约瑟夫，现在连凯茜娅的名字都冒出来了。		
		ch12.10.01.4	晴	Play_Vo_ch12act10_girl006_04	4.195238		辰星，苔丝，你们两个……一定撑住了！		
									
ch12.10.02		ch12.10.02.0	辰星	Play_Story_Disturb1	0		（通讯干扰）		
		ch12.10.02.1	晴	Play_Vo_ch12act10_girl006_05	3.631428		果然，这里已经出了双方的通讯封锁区域了！		
		ch12.10.02.2	晴	Play_Vo_ch12act10_girl006_06	3.005125		辰星！苔丝！收到回复！		
		ch12.10.02.3	晴	Play_Vo_ch12act10_girl006_07	3.541406		不管你们在哪，收到通讯第一时间给出当前坐标！		
		ch12.10.02.4	晴	Play_Vo_ch12act10_girl006_08	3.705193		听着……这次任务有问题，分析员现在也有危险！		
		ch12.10.02.5	晴	Play_Vo_ch12act10_girl006_09	4.267596		缠住你们的是郊狼的导师约瑟夫！不要跟他交战！		
		ch12.10.02.6	晴	Play_Vo_ch12act10_girl006_10	2.431066		重复！给出坐标，不要交战！		
									
ch12.11.01		ch12.11.01.1	晴	Play_Vo_ch12act11_girl006_01	2.356757		这是不是我们两个第一次合作行动？		
		ch12.11.01.2	辰星	Play_Vo_ch12act11_girl014_01	1.146667		对。		
		ch12.11.01.3	晴	Play_Vo_ch12act11_girl006_02	5.986939		这次行动里没有后勤，没有情报官，甚至没有分析员。		
		ch12.11.01.5	辰星	Play_Vo_ch12act11_girl014_02	1.692676		我还没那么脆弱。		
									
									
ch12.21.01		ch12.21.01.1	晴	Play_Vo_dlc5act1_girl006_01	4.156508		这些人是怎么混进来的？还都穿着巴伦支仪器的制服？！		
		ch12.21.01.2	苔丝	Play_Vo_dlc5act1_girl017_01	3.757823		好奇怪哦……明明安保措施那么严格来着！		
		ch12.21.01.3	苔丝	Play_Vo_dlc5act1_girl017_02	4.252698		到底是混进来……还是有人把他们放进来的呢？		
		ch12.21.01.4	晴	Play_Vo_dlc5act1_girl006_02	3.535147		嘘！先别想了！我们一个一个摸过去……		
									
ch12.21.02		ch12.21.02.1	晴	Play_Vo_dlc5act1_girl006_03	4.325986		小心点！看准了再下手，别给他们求援的机会！		
		ch12.21.02.2	苔丝	Play_Vo_dlc5act1_girl017_03	3.245964		呜呜哇……！他他他……他怎么会突然……！		
		ch12.21.02.3	苔丝	Play_Vo_dlc5act1_girl017_04	4.286032		哎哟……对不起，我……我又搞砸了！		
									
ch12.21.03		ch12.21.03.1	苔丝	Play_Vo_dlc5act1_girl017_05	5.198843		没问题！对付这些笨蛋，大魔术师有的是办法！		
		ch12.21.03.2	苔丝	Play_Vo_dlc5act1_girl017_06	2.814036		诶嘿……搞——定！		
									
ch12.21.04		ch12.21.04.1	晴	Play_Vo_dlc5act1_girl006_04	3.014762		没关系，放松，我们再来一次！		
		ch12.21.04.2	晴	Play_Vo_dlc5act1_girl006_05	3.931474		耐心一点，错过机会就继续等，千万不能暴露。		
									
ch12.21.05		ch12.21.05.1	苔丝	Play_Vo_dlc5act1_girl017_07	6.71136		哇——！晴姐，前面好像怎么都……得硬闯了吧？		
		ch12.21.05.2	晴	Play_Vo_dlc5act1_girl006_06	1.625147		全收拾干净！动作快！		
									
ch12.21.06		ch12.21.06.1	苔丝	Play_Vo_dlc5act1_girl017_08	4.616712		晴姐！我认出来了，他们是赫瓦雷纳集团的士兵！		
		ch12.21.06.2	晴	Play_Vo_dlc5act1_girl006_07	4.389161		军方的激进派吗……恐怕又想借机挑起什么事端。		
		ch12.21.06.3	晴	Play_Vo_dlc5act1_girl006_08	4.192789		这里已经不安全了。苔丝，等一下找机会带分析员先走。		
									
ch12.22.01		ch12.22.01.1	晴	Play_Vo_dlc5act2_girl006_01	4.132653		嘴上说着是重要的客人，却要让我们来解救……		
		ch12.22.01.2	苔丝	Play_Vo_dlc5act2_girl017_01	3.056077		那多半就是见不得光的那种客人喽。		
		ch12.22.01.3	苔丝	Play_Vo_dlc5act2_girl017_02	2.6861		走，我们去把那些家伙揪出来瞧瞧！		
		ch12.22.01.4	苔丝	Play_Vo_dlc5act2_girl017_03	4.264717		到底是什么人会让巴伦支的女公爵急着避嫌？		
									
ch12.22.02		ch12.22.02.1	苔丝	Play_Vo_dlc5act2_girl017_04	2.946508		前面应该就是女公爵说的那个重要客人了……		
		ch12.22.02.2	晴	Play_Vo_dlc5act2_girl006_02	3.402494		等一下……这人穿着降临团的衣服？！		
