ID	备注	关卡类型(0、通常关,1、Boss关,2、剧情)	挑战次数限制	积分消耗	地图ID	BUFFID（可以多个）	解锁条件	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表		是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	是否直接进入剧情（1直接进入）
41631	猫汐尔-溯影-剧情4	2			50000		{{2,41630}}	{0,0}			1			0	0	41632	0	0		{}	{5045}					{{5,4,12,2,1}}		1801000	ActorTask/ATask_Girl11221_PF04.ATask_Girl11221_PF04	1
41632	猫汐尔-溯影-行动02	0	2	3	41632		{{2,41631}}	{0,0}		{4001004,4001006,4001003}	1			0	0		0	0		{}	{5046}	{5045}		{{5,4,12,2,1}}		{{5,4,12,2,2}}		1801000	ActorTask/ATask_Girl11221_02.ATask_Girl11221_02	
41633	苔丝-剧情1	2			50000			{0,0}			1			0	0	41634	0	0		{}	{5047}					{{5,4,17,1,1}}		1801000	ActorTask/ATask_Girl11711_PF01.ATask_Girl11711_PF01	1
41634	苔丝-剧情2	2			50000		{{2,41633}}	{0,0}			1			0	0	41635	0	0		{}	{5047}					{{5,4,17,1,1}}		1801000	ActorTask/ATask_Girl11711_PF02.ATask_Girl11711_PF02	1
41635	苔丝-行动01	0			41633		{{2,41634}}	{0,0}		{4001006,4001004,4001002}	1			0	0	41636	0	0	1623	{}	{5048}					{{5,4,17,1,2}}		1801000	ActorTask/ATask_Girl11711_01.ATask_Girl11711_01	
41636	苔丝-剧情3	2			50000		{{2,41635}}	{0,0}			1			0	0	41637	0	0		{}	{5047}					{{5,4,17,1,1}}		1801000	ActorTask/ATask_Girl11711_PF03.ATask_Girl11711_PF03	1
41637	苔丝-剧情4	2			50000		{{2,41636}}	{0,0}			1			0	0	41638	0	0		{}	{5047}					{{5,4,17,1,1}}		1801000	ActorTask/ATask_Girl11711_PF04.ATask_Girl11711_PF04	1
41638	苔丝-行动02	0	2	3	41634		{{2,41637}}	{0,0}		{4001003,4001004,4001005,4003007}	1			0	0		0	0		{}	{5048}	{5047}		{{5,4,17,1,1}}		{{5,4,17,1,2}}		1801000	ActorTask/ATask_Girl11711_02.ATask_Girl11711_02	
41639	凯茜娅-剧情1	2			50000			{0,0}			1			0	0	41640	0	0		{}	{5049}					{{5,4,15,1,1}}		1801000	ActorTask/ATask_Girl11511_PF01.ATask_Girl11511_PF01	1
41640	凯茜娅-剧情2	2			50000		{{2,41639}}	{0,0}			1			0	0	41641	0	0		{}	{5049}					{{5,4,15,1,1}}		1801000	ActorTask/ATask_Girl11511_PF02.ATask_Girl11511_PF02	1
41641	凯茜娅-行动_01	0			41635		{{2,41640}}	{0,0}		{400150602,400130103,400130403}	1			0	0	41642	0	0	1624	{}	{5050}					{{5,4,15,1,2}}		1801000	ActorTask/ATask_Girl11511_01.ATask_Girl11511_01	
41642	凯茜娅-剧情3	2			50000		{{2,41641}}	{0,0}			1			0	0	41643	0	0		{}	{5049}					{{5,4,15,1,1}}		1801000	ActorTask/ATask_Girl11511_PF03.ATask_Girl11511_PF03	1
41643	凯茜娅-行动_02	0	2	3	41636		{{2,41642}}	{0,0}		{400150602,400130103}	1			0	0		0	0		{}	{5050}	{5049}		{{5,4,15,1,1}}		{{5,4,15,1,2}}		1801000	ActorTask/ATask_Girl11511_02.ATask_Girl11511_02	
41644	伊切尔-剧情1	2			50000			{0,0}			1			0	0	41645	0	0		{}	{5051}					{{5,4,16,1,1}}		1801000	ActorTask/ATask_Girl11611_PF01.ATask_Girl11611_PF01	1
41645	伊切尔-剧情2	2			50000		{{2,41644}}	{0,0}			1			0	0	41646	0	0		{}	{5051}					{{5,4,16,1,1}}		1801000	ActorTask/ATask_Girl11611_PF02.ATask_Girl11611_PF02	1
41646	伊切尔-行动_01	0			41637		{{2,41645}}	{0,0}			1			0	0	41647	0	0	1625	{}	{5052}					{{5,4,16,1,2}}		1801000	ActorTask/ATask_Girl11611_01.ATask_Girl11611_01	
41647	伊切尔-剧情3	2			50000		{{2,41646}}	{0,0}			1			0	0	41648	0	0		{}	{5051}					{{5,4,16,1,1}}		1801000	ActorTask/ATask_Girl11611_PF03.ATask_Girl11611_PF03	1
41648	伊切尔-行动_02	0	2	3	41638		{{2,41647}}	{0,0}			1			0	0		0	0		{}	{5052}	{5051}		{{5,4,16,1,1}}		{{5,4,16,1,2}}		1801000	ActorTask/ATask_Girl11611_02.ATask_Girl11611_02	
41649	恩雅羽蜕-剧情1	2			50000			{0,0}			1			0	0	41650	0	0		{}	{5053}					{{5,4,11,2,1}}		1801000	ActorTask/ATask_Girl11121_PF01.ATask_Girl11121_PF01	1
41650	恩雅羽蜕-剧情2	2			50000		{{2,41649}}	{0,0}			1			0	0	41651	0	0		{}	{5053}					{{5,4,11,2,1}}		1801000	ActorTask/ATask_Girl11121_PF02.ATask_Girl11121_PF02	1
41651	恩雅羽蜕-行动_01	0			41651		{{2,41650}}	{0,0}		{4001213,4001212,4001216,5001206,4001215}	1			0	0	41652	0	0	1626	{}	{5054}					{{5,4,11,2,2}}		1801000	ActorTask/ATask_Girl11121_01.ATask_Girl11121_01	
41652	恩雅羽蜕-剧情3	2			50000		{{2,41651}}	{0,0}			1			0	0	41653	0	0		{}	{5053}					{{5,4,11,2,1}}		1801000	ActorTask/ATask_Girl11121_PF03.ATask_Girl11121_PF03	1
41653	恩雅羽蜕-行动_02	0	2	3	41653		{{2,41652}}	{0,0}		{4001213,4001212,4001215,4001216}	1			0	0		0	0		{}	{5054}	{5053}		{{5,4,11,2,1}}		{{5,4,11,2,2}}		1801000	ActorTask/ATask_Girl11121_02.ATask_Girl11121_02	
41654	琴诺-悖谬-剧情1	2			50000			{0,0}			1			0	0	41655	0	0		{}	{5055}					{{5,4,7,2,1}}		1801000	ActorTask/ATask_Girl1721_PF01.ATask_Girl1721_PF01	1
41655	琴诺-悖谬-行动01	0			41655		{{2,41654}}	{0,0}		{4001211,4001212,5001203}	1			0	0	41656	0	0	1627	{}	{5056}					{{5,4,7,2,2}}		1801000	ActorTask/ATask_Girl1721_01.ATask_Girl1721_01	
41656	琴诺-悖谬-剧情2	2			50000		{{2,41655}}	{0,0}			1			0	0	41657	0	0		{}	{5055}					{{5,4,7,2,1}}		1801000	ActorTask/ATask_Girl1721_PF02.ATask_Girl1721_PF02	1
41657	琴诺-悖谬-剧情3	2			50000		{{2,41656}}	{0,0}			1			0	0	41658	0	0		{}	{5055}					{{5,4,7,2,1}}		1801000	ActorTask/ATask_Girl1721_PF03.ATask_Girl1721_PF03	1
41658	琴诺-悖谬-剧情4	2			50000		{{2,41657}}	{0,0}			1			0	0	41659	0	0		{}	{5055}					{{5,4,7,2,1}}		1801000	ActorTask/ATask_Girl1721_PF04.ATask_Girl1721_PF04	1
41659	琴诺-悖谬-行动02	0	2	3	41659		{{2,41658}}	{0,0}		{4001215,4001211,4001213}	1			0	0		0	0		{}	{5056}	{5055}		{{5,4,7,2,1}}		{{5,4,7,2,2}}		1801000	ActorTask/ATask_Girl1721_02.ATask_Girl1721_02	
41660	瑟瑞斯-瞬刻-剧情1	2			50000			{0,0}			1			0	0	41661	0	0		{}	{5057}					{{5,4,13,2,1}}		1801000	ActorTask/ATask_Girl11321_PF01.ATask_Girl11321_PF01	1
41661	瑟瑞斯-瞬刻-剧情2	2			50000		{{2,41660}}	{0,0}			1			0	0	41662	0	0		{}	{5057}					{{5,4,13,2,1}}		1801000	ActorTask/ATask_Girl11321_PF02.ATask_Girl11321_PF02	1
41662	瑟瑞斯-瞬刻-行动_01	0			41662		{{2,41661}}	{0,0}		{4001211,4001212,4001213}	1			0	0	41663	0	0	1628	{}	{5058}					{{5,4,13,2,2}}		1801000	ActorTask/ATask_Girl11321_01.ATask_Girl11321_01	
41663	瑟瑞斯-瞬刻-剧情3	2			50000		{{2,41662}}	{0,0}			1			0	0	41664	0	0		{}	{5057}					{{5,4,13,2,1}}		1801000	ActorTask/ATask_Girl11321_PF03.ATask_Girl11321_PF03	1
41664	瑟瑞斯-瞬刻-行动_02	0	2	3	41664		{{2,41663}}	{0,0}		{4001211,4001212,4001213}	1			0	0		0	0		{}	{5058}	{5057}		{{5,4,13,2,1}}		{{5,4,13,2,2}}		1801000	ActorTask/ATask_Girl11321_02.ATask_Girl11321_02	
41665	芬妮-辉耀	2			50000			{0,0}			1			0	0	41666	0	0		{}	{5059}					{{5,4,8,3,1}}		1801000	ActorTask/ATask_Girl1831_PF01.ATask_Girl1831_PF01	1
41666	芬妮-辉耀	2			50000		{{2,41665}}	{0,0}			1			0	0	41667	0	0		{}	{5059}					{{5,4,8,3,1}}		1801000	ActorTask/ATask_Girl1831_PF02.ATask_Girl1831_PF02	1
41667	芬妮-辉耀	0			41665		{{2,41666}}	{0,0}		{4001211,4001212,4001213}	1			0	0	41668	0	0	1630	{}	{5060}					{{5,4,8,3,2}}		1801000	ActorTask/ATask_Girl1831_01.ATask_Girl1831_01	
41668	芬妮-辉耀	2			50000		{{2,41667}}	{0,0}			1			0	0	41669	0	0		{}	{5059}					{{5,4,8,3,1}}		1801000	ActorTask/ATask_Girl1831_PF03.ATask_Girl1831_PF03	1
41669	芬妮-辉耀	0	2	3	41666		{{2,41668}}	{0,0}		{4001211,4001212,4001213}	1			0	0		0	0		{}	{5060}	{5059}		{{5,4,8,3,1}}		{{5,4,8,3,2}}		1801000	ActorTask/ATask_Girl1831_02.ATask_Girl1831_02	
41670	里芙-无限	2			50000		{{35,1,2,3,1}}	{0,0}			1			0	0	41671	0	0		{}	{5061}					{{5,4,2,3,1}}		1801000	ActorTask/ATask_Girl1231_PF01.ATask_Girl1231_PF01	1
41671	里芙-无限	2			50000		{{2,41670},{35,1,2,3,1}}	{0,0}			1			0	0	41672	0	0		{}	{5061}					{{5,4,2,3,1}}		1801000	ActorTask/ATask_Girl1231_PF02.ATask_Girl1231_PF02	1
41672	里芙-无限	0			41667		{{2,41671},{35,1,2,3,1}}	{0,0}		{4001212,4001211,400121302,5001207}	1			0	0	41673	0	0	1629	{}	{5062}					{{5,4,2,3,2}}		1801000	ActorTask/ATask_Girl1231_01.ATask_Girl1231_01	
41673	里芙-无限	2			50000		{{2,41672},{35,1,2,3,1}}	{0,0}			1			0	0	41674	0	0		{}	{5061}					{{5,4,2,3,1}}		1801000	ActorTask/ATask_Girl1231_PF03.ATask_Girl1231_PF03	1
41674	里芙-无限	0	2	3	41668		{{2,41673},{35,1,2,3,1}}	{0,0}		{4001212,4001211}	1			0	0		0	0		{}	{5062}	{5061}		{{5,4,2,3,1}}		{{5,4,2,3,2}}		1801000	ActorTask/ATask_Girl1231_02.ATask_Girl1231_02	
41675	龙舌兰-剧情1	2			50000			{0,0}			1			0	0	41676	0	0		{}	{5063}					{{5,4,18,1,1}}		1801000	ActorTask/ATask_Girl11811_PF01.ATask_Girl11811_PF01	1
41676	龙舌兰-剧情2	2			50000		{{2,41675}}	{0,0}			1			0	0	41677	0	0		{}	{5063}					{{5,4,18,1,1}}		1801000	ActorTask/ATask_Girl11811_PF02.ATask_Girl11811_PF02	1
41677	龙舌兰-剧情3	2			50000		{{2,41676}}	{0,0}			1			0	0	41678	0	0		{}	{5063}					{{5,4,18,1,1}}		1801000	ActorTask/ATask_Girl11811_PF03.ATask_Girl11811_PF03	1
41678	龙舌兰-行动_01	0			41669		{{2,41677}}	{0,0}		{400150601,400250601,400350601,5001507}	1			0	0	41679	0	0	1631	{}	{5064}					{{5,4,18,1,2}}		1801000	ActorTask/ATask_Girl11811_01.ATask_Girl11811_01	
41679	龙舌兰-剧情4	2			50000		{{2,41678}}	{0,0}			1			0	0	41680	0	0		{}	{5063}					{{5,4,18,1,1}}		1801000	ActorTask/ATask_Girl11811_PF04.ATask_Girl11811_PF04	1
41680	龙舌兰-行动_02	0	2	3	41670		{{2,41679}}	{0,0}		{400150602,400250602,400350602}	1			0	0		0	0		{}	{5064}	{5063}		{{5,4,18,1,1}}		{{5,4,18,1,2}}		1801000	ActorTask/ATask_Girl11811_02.ATask_Girl11811_02	
41681	茉莉安·幽潮-剧情1	2			50000			{0,0}			1			0	0	41682	0	0		{}	{5065}					{{5,4,5,3,1}}		1801000	ActorTask/ATask_Girl1531_PF01.ATask_Girl1531_PF01	1
41682	茉莉安·幽潮-剧情2	2			50000		{{2,41681}}	{0,0}			1			0	0	41683	0	0		{}	{5065}					{{5,4,5,3,1}}		1801000	ActorTask/ATask_Girl1531_PF02.ATask_Girl1531_PF02	1
41683	茉莉安·幽潮-行动_01	0			41671		{{2,41682}}	{0,0}		{400150603,400250603,400350603,5001507}	1			0	0	41684	0	0	1633	{}	{5066}					{{5,4,5,3,2}}		1801000	ActorTask/ATask_Girl1531_01.ATask_Girl1531_01	
41684	茉莉安·幽潮-剧情3	2			50000		{{2,41683}}	{0,0}			1			0	0	41685	0	0		{}	{5065}					{{5,4,5,3,1}}		1801000	ActorTask/ATask_Girl1531_PF03.ATask_Girl1531_PF03	1
41685	茉莉安·幽潮-行动_02	0	2	3	41672		{{2,41684}}	{0,0}		{400150603,400250603,400350603}	1			0	0		0	0		{}	{5066}	{5065}		{{5,4,5,3,1}}		{{5,4,5,3,2}}		1801000	ActorTask/ATask_Girl1531_02.ATask_Girl1531_02	
41686	凯茜娅·朝翼-剧情1	2			50000			{0,0}			1			0	0	41687	0	0		{}	{5067}					{{5,4,15,2,1}}		1801000	ActorTask/ATask_Girl11521_PF01.ATask_Girl11521_PF01	1
41687	凯茜娅·朝翼-剧情2	2			50000		{{2,41686}}	{0,0}			1			0	0	41688	0	0		{}	{5067}					{{5,4,15,2,1}}		1801000	ActorTask/ATask_Girl11521_PF02.ATask_Girl11521_PF02	1
41688	凯茜娅·朝翼-行动01	0			41673		{{2,41687}}	{0,0}		{4001116,4002103,5003110}	1			0	0	41689	0	0	1632	{}	{5068}					{{5,4,15,2,2}}		1801000	ActorTask/ATask_Girl11521_01.ATask_Girl11521_01	
41689	凯茜娅·朝翼-剧情3	2			50000		{{2,41688}}	{0,0}			1			0	0	41690	0	0		{}	{5067}					{{5,4,15,2,1}}		1801000	ActorTask/ATask_Girl11521_PF03.ATask_Girl11521_PF03	1
41690	凯茜娅·朝翼-剧情4	2			50000		{{2,41689}}	{0,0}			1			0	0	41691	0	0		{}	{5067}					{{5,4,15,2,1}}		1801000	ActorTask/ATask_Girl11521_PF04.ATask_Girl11521_PF04	1
41691	凯茜娅·朝翼-行动02	0	2	3	41674		{{2,41690}}	{0,0}		{4003102,4003103,4001108}	1			0	0		0	0		{}	{5068}	{5067}		{{5,4,15,2,1}}		{{5,4,15,2,2}}		1801000	ActorTask/ATask_Girl11521_02.ATask_Girl11521_02	
41692	芙提雅-剧情1	2			50000			{0,0}			1			0	0	41693	0	0		{}	{5069}					{{5,4,4,3,1}}		1801000	ActorTask/ATask_Girl1431_PF01.ATask_Girl1431_PF01	1
41693	芙提雅-剧情2	2			50000		{{2,41692}}	{0,0}			1			0	0	41694	0	0		{}	{5069}					{{5,4,4,3,1}}		1801000	ActorTask/ATask_Girl1431_PF02.ATask_Girl1431_PF02	1
41694	芙提雅-剧情3	2			50000		{{2,41693}}	{0,0}			1			0	0	41695	0	0		{}	{5069}					{{5,4,4,3,1}}		1801000	ActorTask/ATask_Girl1431_PF03.ATask_Girl1431_PF03	1
41695	芙提雅-行动_01	0			41675		{{2,41694}}	{0,0}		{4001005,4003003,4003004,4001002,4003007,4001008,4001017,4003006}	1			0	0	41696	0	0	1634	{}	{5070}					{{5,4,4,3,2}}		1801000	ActorTask/ATask_Girl1431_01.ATask_Girl1431_01	
41696	芙提雅-行动_02	0	2	3	41676		{{2,41695}}	{0,0}		{4003004,4003003,4001005}	1			0	0		0	0		{}	{5070}	{5069}		{{5,4,4,3,1}}		{{5,4,4,3,2}}		1801000	ActorTask/ATask_Girl1431_02.ATask_Girl1431_02	
41697	卜卜-剧情1	2			50000			{0,0}			1			0	0	41698	0	0		{}	{5071}					{{5,4,20,1,1}}		1801000	ActorTask/ATask_Girl12011_PF01.ATask_Girl12011_PF01	1
41698	卜卜-剧情2	2			50000		{{2,41697}}	{0,0}			1			0	0	41699	0	0		{}	{5071}					{{5,4,20,1,1}}		1801000	ActorTask/ATask_Girl12011_PF02.ATask_Girl12011_PF02	1
41699	卜卜-剧情3	2			50000		{{2,41698}}	{0,0}			1			0	0	41700	0	0		{}	{5071}					{{5,4,20,1,1}}		1801000	ActorTask/ATask_Girl12011_PF03.ATask_Girl12011_PF03	1
41700	卜卜-行动_01	0			41677		{{2,41699}}	{0,0}		{4001212,4001211,5001207,4001213}	1			0	0	41701	0	0	1635	{}	{5072}					{{5,4,20,1,2}}		1801000	ActorTask/ATask_Girl12011_01.ATask_Girl12011_01	
41701	卜卜-行动_02	0	2	3	41678		{{2,41700}}	{0,0}		{4001213,4001215,4001211}	1			0	0		0	0		{}	{5072}	{5071}		{{5,4,20,1,1}}		{{5,4,20,1,2}}		1801000	ActorTask/ATask_Girl12011_02.ATask_Girl12011_02	
41702	肴-夜天光-剧情1	2			50000			{0,0}			1			0	0	41703	0	0		{}	{5075}					{{5,4,10,3,1}}		1801000	ActorTask/ATask_Girl11031_PF01.ATask_Girl11031_PF01	1
41703	肴-夜天光-行动_01	0			41679		{{2,41702}}	{0,0}		{4001212,4001211,5001207}	1			0	0	41704	0	0	1637	{}	{5076}					{{5,4,10,3,2}}		1801000	ActorTask/ATask_Girl11031_01.ATask_Girl11031_01	
41704	肴-夜天光-剧情2	2			50000		{{2,41703}}	{0,0}			1			0	0	41705	0	0		{}	{5075}					{{5,4,10,3,1}}		1801000	ActorTask/ATask_Girl11031_PF02.ATask_Girl11031_PF02	1
41705	肴-夜天光-剧情3	2			50000		{{2,41704}}	{0,0}			1			0	0	41706	0	0		{}	{5075}					{{5,4,10,3,1}}		1801000	ActorTask/ATask_Girl11031_PF03.ATask_Girl11031_PF03	1
41706	肴-夜天光-行动_02	0	2	3	41679		{{2,41705}}	{0,0}		{4001212,4001211}	1			0	0		0	0		{}	{5076}	{5075}		{{5,4,10,3,1}}		{{5,4,10,3,2}}		1801000	ActorTask/ATask_Girl11031_02.ATask_Girl11031_02	
41707	辰星-琼弦-剧情1	2			50000			{0,0}			1			0	0	41708	0	0		{}	{5073}					{{5,4,14,3,1}}		1801000	ActorTask/ATask_Girl11431_PF01.ATask_Girl11431_PF01	1
41708	辰星-琼弦-行动_01	0			41680		{{2,41707}}	{0,0}		{4001108,4001103,4002102,4001112}	1			0	0	41709	0	0	1636	{}	{5074}					{{5,4,14,3,2}}		1801000	ActorTask/ATask_Girl11431_01.ATask_Girl11431_01	
41709	辰星-琼弦-剧情2	2			50000		{{2,41708}}	{0,0}			1			0	0	41710	0	0		{}	{5073}					{{5,4,14,3,1}}		1801000	ActorTask/ATask_Girl11431_PF02.ATask_Girl11431_PF02	1
41710	辰星-琼弦-剧情3	2			50000		{{2,41709}}	{0,0}			1			0	0	41711	0	0		{}	{5073}					{{5,4,14,3,1}}		1801000	ActorTask/ATask_Girl11431_PF03.ATask_Girl11431_PF03	1
41711	辰星-琼弦-行动_02	0	2	3	41681		{{2,41710}}	{0,0}		{4001108,4003102}	1			0	0		0	0		{}	{5074}	{5073}		{{5,4,14,3,1}}		{{5,4,14,3,2}}		1801000	ActorTask/ATask_Girl11431_02.ATask_Girl11431_02	
41712	恩雅澜风-行动_01	0			41682			{0,0}		{4003006,4001005,4001002,4001017}	1			0	0	41713	0	0	1638	{}	{5078}					{{5,4,11,3,2}}		1801000	ActorTask/ATask_Girl11131_01.ATask_Girl11131_01	
41713	恩雅澜风-剧情1	2			50000		{{2,41712}}	{0,0}			1			0	0	41714	0	0		{}	{5077}					{{5,4,11,3,1}}		1801000	ActorTask/ATask_Girl11131_PF01.ATask_Girl11131_PF01	1
41714	恩雅澜风-剧情2	2			50000		{{2,41713}}	{0,0}			1			0	0	41715	0	0		{}	{5077}					{{5,4,11,3,1}}		1801000	ActorTask/ATask_Girl11131_PF02.ATask_Girl11131_PF02	1
41715	恩雅澜风-剧情3	2			50000		{{2,41714}}	{0,0}			1			0	0	41716	0	0		{}	{5077}					{{5,4,11,3,1}}		1801000	ActorTask/ATask_Girl11131_PF03.ATask_Girl11131_PF03	1
41716	恩雅澜风-行动_02	0	2	3	41683		{{2,41715}}	{0,0}		{4003006}	1			0	0		0	0		{}	{5078}	{5077}		{{5,4,11,3,1}}		{{5,4,11,3,2}}		1801000	ActorTask/ATask_Girl11131_02.ATask_Girl11131_02	
41717	nita-剧情1	2			50000			{0,0}			1			0	0	41718	0	0		{}								1801000	ActorTask/ATask_Girl1321_PF01.ATask_Girl1321_PF01	1
41718	nita-剧情2	2			50000		{{2,41717}}	{0,0}			1			0	0	41719	0	0		{}								1801000	ActorTask/ATask_Girl1321_PF02.ATask_Girl1321_PF02	1
41719	nita-剧情3	2			50000		{{2,41718}}	{0,0}			1			0	0		0	0		{}								1801000	ActorTask/ATask_Girl1321_PF03.ATask_Girl1321_PF03	1
41720	奈莉德-剧情1	2			50000			{0,0}			1			0	0	41721	0	0		{}	{5079}					{{5,4,21,1,1}}		1801000	ActorTask/ATask_Girl12111_PF01.ATask_Girl12111_PF01	1
41721	奈莉德-剧情2	2			50000		{{2,41720}}	{0,0}			1			0	0	41722	0	0		{}	{5079}					{{5,4,21,1,1}}		1801000	ActorTask/ATask_Girl12111_PF02.ATask_Girl12111_PF02	1
41722	奈莉德-行动01	0			41684		{{2,41721}}	{0,0}		{6001201}	1			0	0	41723	0	0	1639	{}	{5080}					{{5,4,21,1,2}}		1801000	ActorTask/ATask_Girl12111_01.ATask_Girl12111_01	
41723	奈莉德-剧情3	2			50000		{{2,41722}}	{0,0}			1			0	0	41724	0	0		{}	{5079}					{{5,4,21,1,1}}		1801000	ActorTask/ATask_Girl12111_PF03.ATask_Girl12111_PF03	1
41724	奈莉德-剧情4	2			50000		{{2,41723}}	{0,0}			1			0	0	41725	0	0		{}	{5079}					{{5,4,21,1,1}}		1801000	ActorTask/ATask_Girl12111_PF04.ATask_Girl12111_PF04	1
41725	奈莉德-行动02	0	2	3	41684		{{2,41724}}	{0,0}		{4001213,4001211}	1			0	0		0	0		{}	{5080}	{5079}		{{5,4,21,1,1}}		{{5,4,21,1,2}}		1801000	ActorTask/ATask_Girl12111_02.ATask_Girl12111_02	
41726	薇蒂雅天鹅座-行动01	0			41685			{0,0}		{4001409,4001410,400130105,5001406}	1			0	0	41727	0	0	1640	{}	{5082}					{{5,4,18,2,2}}		1801000	ActorTask/ATask_Girl11821_01.ATask_Girl11821_01	
41727	薇蒂雅天鹅座-剧情1	2			50000		{{2,41726}}	{0,0}			1			0	0	41728	0	0		{}	{5081}					{{5,4,18,2,1}}		1801000	ActorTask/ATask_Girl11821_PF01.ATask_Girl11821_PF01	1
41728	薇蒂雅天鹅座-剧情2	2			50000		{{2,41727}}	{0,0}			1			0	0	41729	0	0		{}	{5081}					{{5,4,18,2,1}}		1801000	ActorTask/ATask_Girl11821_PF02.ATask_Girl11821_PF02	1
41729	薇蒂雅天鹅座-剧情3	2			50000		{{2,41728}}	{0,0}			1			0	0	41730	0	0		{}	{5081}					{{5,4,18,2,1}}		1801000	ActorTask/ATask_Girl11821_PF03.ATask_Girl11821_PF03	1
41730	薇蒂雅天鹅座-行动02	0	2	3	41686		{{2,41729}}	{0,0}		{400130405,400130105}	1			0	0		0	0		{}	{5082}	{5081}		{{5,4,18,2,1}}		{{5,4,18,2,2}}		1801000	ActorTask/ATask_Girl11821_02.ATask_Girl11821_02	
41731	苔丝绮幻-行动01	0			41687			{0,0}		{4001212,4001211,5001207,4001213}	1			0	0	41732	0	0	1642	{}	{5086}					{{5,4,17,2,2}}		1801000	ActorTask/ATask_Girl11721_01.ATask_Girl11721_01	
41732	苔丝绮幻-剧情1	2			50000		{{2,41731}}	{0,0}			1			0	0	41733	0	0		{}	{5085}					{{5,4,17,2,1}}		1801000	ActorTask/ATask_Girl11721_PF01.ATask_Girl11721_PF01	1
41733	苔丝绮幻-剧情2	2			50000		{{2,41732}}	{0,0}			1			0	0	41734	0	0		{}	{5085}					{{5,4,17,2,1}}		1801000	ActorTask/ATask_Girl11721_PF02.ATask_Girl11721_PF02	1
41734	苔丝绮幻-剧情3	2			50000		{{2,41733}}	{0,0}			1			0	0	41735	0	0		{}	{5085}					{{5,4,17,2,1}}		1801000	ActorTask/ATask_Girl11721_PF03.ATask_Girl11721_PF03	1
41735	苔丝绮幻-行动02	0	2	3	41688		{{2,41734}}	{0,0}		{4001212}	1			0	0		0	0		{}	{5086}	{5085}		{{5,4,17,2,1}}		{{5,4,17,2,2}}		1801000	ActorTask/ATask_Girl11721_02.ATask_Girl11721_02	
41736	凯茜娅狂诗-剧情1	2			50000			{0,0}			1			0	0	41737	0	0		{}	{5083}					{{5,4,15,3,1}}		1801000	ActorTask/ATask_Girl11531_PF01.ATask_Girl11531_PF01	1
41737	凯茜娅狂诗-剧情2	2			50000		{{2,41736}}	{0,0}			1			0	0	41738	0	0		{}	{5083}					{{5,4,15,3,1}}		1801000	ActorTask/ATask_Girl11531_PF02.ATask_Girl11531_PF02	1
41738	凯茜娅狂诗-行动_01	0			41689		{{2,41737}}	{0,0}		{4001108,4003102,4003106,4001114,4001112}	1			0	0	41739	0	0	1641	{}	{5084}					{{5,4,15,3,2}}		1801000	ActorTask/ATask_Girl11531_01.ATask_Girl11531_01	
41739	凯茜娅狂诗-剧情3	2			50000		{{2,41738}}	{0,0}			1			0	0	41740	0	0		{}	{5083}					{{5,4,15,3,1}}		1801000	ActorTask/ATask_Girl11531_PF03.ATask_Girl11531_PF03	1
41740	凯茜娅狂诗-行动_02	0	2	3	41690		{{2,41739}}	{0,0}		{4001108,4003102,4003106}	1			0	0		0	0		{}	{5084}	{5083}		{{5,4,15,3,1}}		{{5,4,15,3,2}}		1801000	ActorTask/ATask_Girl11531_02.ATask_Girl11531_02	
41741	克罗瑞娜-剧情1	2			50000			{0,0}			1			0	0	41742	0	0		{}	{5087}					{{5,4,22,1,1}}		1801000	ActorTask/ATask_Girl12211_PF01.ATask_Girl12211_PF01	1
41742	克罗瑞娜-行动_01	0			41691		{{2,41741}}	{0,0}		{4001409,4001410,400130105,5001406}	1			0	0	41743	0	0	1643	{}	{5088}					{{5,4,22,1,2}}		1801000	ActorTask/ATask_Girl12211_01.ATask_Girl12211_01	
41743	克罗瑞娜-剧情2	2			50000		{{2,41742}}	{0,0}			1			0	0	41744	0	0		{}	{5087}					{{5,4,22,1,1}}		1801000	ActorTask/ATask_Girl12211_PF02.ATask_Girl12211_PF02	1
41744	克罗瑞娜-剧情3	2			50000		{{2,41743}}	{0,0}			1			0	0	41745	0	0		{}	{5087}					{{5,4,22,1,1}}		1801000	ActorTask/ATask_Girl12211_PF03.ATask_Girl12211_PF03	1
41745	克罗瑞娜-行动_02	0	2	3	41692		{{2,41744}}	{0,0}		{400130405,400130105}	1			0	0		0	0		{}	{5088}	{5087}		{{5,4,22,1,1}}		{{5,4,22,1,2}}		1801000	ActorTask/ATask_Girl12211_02.ATask_Girl12211_02	
41746	芬妮-澄意-剧情1	2			50000			{0,0}			1			0	0	41747	0	0		{}	{5089}					{{5,4,8,4,1}}		1801000	ActorTask/ATask_Girl1841_PF01.ATask_Girl1841_PF01	1
