ID	//备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 18=家具 19=头像）	Logo	道具130*130	大图200*200	300*300	货币50*50	礼包400*400	封面大图	名片大图	聊天气泡图
1955032	名片-穹庭禁谒	19		2900300	2900301					2900302	
1955033	名片-万蔬具备	19		2900310	2900311					2900312	
1955034	版本名片1	19		2900320	2900321					2900322	
1955035	版本名片2	19		2900330	2900331					2900332	
1955034	异星守护名片	19		2900340	2900341					2900342	
1955035	航海主题活动名片	19		2900350	2900351					2900352	
1955036	悖论迷宫名片	19		2900360	2900361					2900362	
1955037	纷愿绮梦名片	19		2900370	2900371					2900372	
1955038	版本名片1（脉冲）	19		2900390	2900391					2900392	
1955039	版本名片2（新联机）	19		2900400	2900401					2900402	
1955040	版本名片3（爬塔）	19		2900410	2900411					2900412	
1955041	【爆爆菜园】名片	19		2900440	2900441					2900442	
1955042	异星守护名片	19		2900450	2900451					2900452	
1955043	纷愿绮梦名片	19		2900460	2900461					2900462	
1955044	【多诺-巅峰对决】	19		2900470	2900471					2900472	
1955045	【进击行动】名片	19		2900490	2900491					2900492	
1955046	名片-尘白线下年会纪念名片	19		2900510	2900511					2900512	
1955047	激浪联航活动名片	19		2900500	2900501					2900502	
1955048	版本名片1（脉冲）	19		2900520	2900521					2900522	
1955049	【装甲战骑】名片	19		2900530	2900531					2900532	
1955050	【进击行动】名片	19		2900540	2900541					2900542	
1955051	名片-欢迎回家	19		2900550	2900551					2900552	
											
1966001	占位	19		3200001	3200000						
1966002	占位	19		3200011	3200010						
1966003	占位	19		3200021	3200020						
1966004	占位	19		3200031	3200030						
1966005	占位	19		3200041	3200040						
1966006	占位	19		3200051	3200050						
1966007	占位	19		3200061	3200060						
1966008	占位	19		3200071	3200070						
1966009	占位	19		3200081	3200080						
1966010	占位	19		3200091	3200090						
1966011	占位	19		3200101	3200100						
1966012	占位	19		3200111	3200110						
1966013	占位	19		3200121	3200120						
1966014	占位	19		3200131	3200130						
1966015	占位	19		3200141	3200140						
1966016	占位	19		3200151	3200150						
1966017	占位	19		3200161	3200160						
1966018	占位	19		3200171	3200170						
1966019	占位	19		3200181	3200180						
1966020	占位	19		3200191	3200190						
1966021	占位	19		3200201	3200200						
1966022	占位	19		3200211	3200210						
1966023	占位	19		3200221	3200220						
1966024	占位	19		3200231	3200230						
1966025	占位	19		3200241	3200240						
1966026	占位	19		3200251	3200250						
1966027	苔丝-看我的	19		3200261	3200260						
1966028	芙提雅-沉默	19		3200271	3200270						
1966029	芙提雅-呜呜呜	19		3200281	3200280						
1966030	芙提雅-哇哦	19		3200291	3200290						
1966031	芙提雅-什么	19		3200301	3200300						
1966032	占位	19		3200311	3200310						
1966033	占位	19		3200321	3200320						
1966034	分析员·呐喊	19		3200441	3200440						
1966035	芬妮·呐喊	19		3200451	3200450						
1966036	里芙·呐喊	19		3200461	3200460						
1966037	肴·呐喊不动	19		3200471	3200470						
1966038	芬妮-诶嘿嘿	19		3200481	3200480						
1966039	芬妮-怒了	19		3200331	3200330						
1966040	芬妮-好东西	19		3200341	3200340						
1966041	芬妮-石化	19		3200351	3200350						
1966042	苔丝-啊这	19		3200401	3200400						
1966043	苔丝-掉小珍珠	19		3200411	3200410						
1966044	苔丝-讨厌啦	19		3200421	3200420						
1966045	苔丝-比心	19		3200431	3200430						
1966046	芬妮-舞狮	19		3200491	3200490						
1966047	里芙-空白	19		3200361	3200360						
1966048	里芙-泪滴	19		3200371	3200370						
1966049	里芙-流汗	19		3200381	3200380						
1966050	里芙-害羞	19		3200391	3200390						
1966051	占位	19		3400020	3400021						
1966057	凯茜娅-沐浪之舞	19		3200551	3200552						
1966058	茉莉安-灿阳之舞	19		3200561	3200562						
1966059	琴诺-潮韵之舞	19		3200571	3200572						
1966060	辰星-倩影之舞	19		3200581	3200582						
1966061	恩雅-浅憩之舞	19		3200591	3200592						
1966062	猫汐尔-灼期之舞	19		3200601	3200602						
1966063	凯茜娅-传承之舞	19		3200611	3200612						
1966064	肴-残辉之舞	19		3200621	3200622						
1966054	里芙-凝晶之舞	19		3200511	3200512						
1966055	里芙-归航之舞	19		3200541	3200542						
1966053	茉莉安-绯夜之舞	19		3200531	3200532						
1966056	芬妮-恋时之舞	19		3200521	3200522						
1966065	分析员的认可	19		3200500	3200501						
1966066	占位	19		2700000	2700000						
1966067	占位	19		3200000	3200000						
1966068	占位	19		2700001	2700001						
1966069	占位	19		3200120	3200120						
1966070	占位	19		2700002	2700002						
1966071	占位	19		3200040	3200040						
1966072	占位	19		2700003	2700003						
1966073	占位	19		3200020	3200020						
1966074	分析员的24K真理	19		3200790	3200791						
1966075	分析员的推理	19		3200800	3200801						
1966076	伊切尔-认可	19		3200810	3200811						
1966077	伊切尔-呜呜	19		3200820	3200821						
1966078	伊切尔-生气	19		3200830	3200831						
1966079	伊切尔-尬住	19		3200840	3200841						
1966080	占位	19		3400040	3400041						
1966081	猫汐尔表情包	19		3200850	3200851						
1966082	猫汐尔表情包	19		3200860	3200861						
1966083	猫汐尔表情包	19		3200870	3200871						
1966084	猫汐尔表情包	19		3200880	3200881						
1966085	猫汐尔表情包	19		3400050	3400051						
1966086	薇蒂雅表情包	19		3200890	3200891						
1966087	薇蒂雅表情包	19		3200900	3200901						
1966088	薇蒂雅表情包	19		3200910	3200911						
1966089	薇蒂雅表情包	19		3200920	3200921						
1966090	薇蒂雅表情包	19		3400060	3400061						
1966091	辰星表情包	19		3200930	3200931						
1966092	辰星表情包	19		3200940	3200941						
1966093	辰星表情包	19		3200950	3200951						
1966094	辰星表情包	19		3200960	3200961						
1966095	辰星表情包封面	19		2400070	2400071						
1966096	闪魂联动	19		3200970	3200971						
1966097	恩雅表情包	19		3200980	3200981						
1966098	恩雅表情包	19		3200990	3200991						
1966099	恩雅表情包	19		3201000	3201001						
1966100	恩雅表情包	19		3201010	3201011						
1966101	恩雅表情包	19		2400080	2400081						
1966102	雪人	19		3201020	3201021						
1966103	安卡	19		3201030	3201031						
1966104	安卡	19		3201040	3201041						
1966105	安卡	19		3201050	3201051						
1966106	安卡	19		3201060	3201061						
1966107	分析员举杯	19		3201070	3201071						
1966111	安卡封面	19		2400090	2400091						
1966112	凯西娅	19		3201080	3201081						
1966113	凯西娅	19		3201090	3201091						
1966114	凯西娅	19		3201100	3201101						
1966115	凯西娅	19		3201110	3201111						
1966116	凯西娅封面	19		2400100	2400101						
1966117	恩雅	19		3201120	3201121						
1966118	恩雅	19		3201130	3201131						
1966119	恩雅	19		3201140	3201141						
1966120	恩雅	19		3201150	3201151						
1966121	超元链接表情	19		3201160	3201161						
1966122	超元链接表情	19		3201170	3201171						
1966123	超元链接表情	19		3201180	3201181						
1966124	卡罗琳表情包	19		3201190	3201191						
1966125	分析员划船Q版	19		3201200	3201201						
1966126	恩雅封面	19		2400110	2400111						
1966127	芙提雅-妙啊	19		3201210	3201211						
1966128	胧嫣-华丽登场	19		3201220	3201221						
1966129	茉莉安-爱的形状	19		3201230	3201231						
1966130	分析员-状态全开	19		3201240	3201241						
											
1977000	占位	19		3100000	3100002						3100001
1977001	新春祝语	19		3100010	3100012						3100011
1977002	多元对答	19		3100020	3100022						3100021
1977003	在线打卡	19		3100080	3100082						3100081
1977004	酥麻触碰	19		3100090	3100092						3100091
1977007	雪人	19		3100100	3100102						3100101
1977008	尘白线下年会纪念气泡	19		3100110	3100112						3100111
											
1988001	分析员·墨镜	19		110007801	110007802						
1988002	神经调理体力提升（占位道具无需翻译）	19		1701269	1701269						
1988003	分析员·正装	19		110010281	110010282						
1988004	分析员·白西装	19		110010941	110010942						
1988005	分析员·花衬衫	19		110011321	110011322						
