ID	备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	分组标识	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	怪物BUFF	挑战类型（1：时间评级，2：杀敌数评级，3：总伤害评级）	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	关联growintensity怪物强度模板	是否关闭等级压制	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	Buff	关卡倒计时
8598	小怪测试	0	11	8590	1				{0,0}		{4001003,4002004,4001008,4002007,4001002,5001001}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_01_6.Wrap28_01_6		600
8599	小怪测试	0	11	8591	1				{0,0}		{4001108,4002106,4001112,5001110}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_01_7.Wrap28_01_7		600
8600	小怪测试	0	11	8592	1				{0,0}		{4001108,4002103,4001112,500110902}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_01_8.Wrap28_01_8		600
8601	小怪测试	0	12	8593	1				{0,0}		{4001112,4001114,4001108,5001101}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_01_9.Wrap28_01_9		600
8602	小怪测试	0	12	8594	1				{0,0}		{4001004,5001018,5001019,400160202}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_1.Wrap28_02_1		600
8603	小怪测试	0	12	8585	1				{0,0}		{400121203,400121102,5001206,5001207}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_2.Wrap28_02_2		600
8604	小怪测试	0	13	8586	1				{0,0}		{4002004,500101002,4001016,500201003}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_3.Wrap28_02_3		600
8605	小怪测试	0	13	8587	1				{0,0}		{4001108,4002106,4001104}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_4.Wrap28_02_4		600
8606	小怪测试	0	13	8588	1				{0,0}		{400100802,4003007,4001005,4002004,5002010,5001018}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_5.Wrap28_02_5		600
8607	小怪测试	0	13	8589	1				{0,0}		{4002004,4001005,4003003,5001009,5001010}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_6.Wrap28_02_6		600
8608	小怪测试	0	13	8590	1				{0,0}		{4002004,500101002,400160202,500201003}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_7.Wrap28_02_7		600
8609	小怪测试	0	14	8591	1				{0,0}		{400150602,400250602,500100902,400130103,5001402}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_8.Wrap28_02_8		600
8610	小怪测试	0	14	8592	1				{0,0}		{400150603,400350603,500140201,500100903,400250603}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_02_9.Wrap28_02_9		600
8611	小怪测试	0	14	8593	1				{0,0}		{4002004,4003007,4001008,5001001,5001019,5001018,4001005}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_1.Wrap28_03_1		600
8612	小怪测试	0	14	8594	1				{0,0}		{4002004,4001017,400101601,500101002,500201003,4003003}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_2.Wrap28_03_2		600
8613	小怪测试	0	14	8585	1				{0,0}		{4001108,4001112,4003106,4001104,5001101,5003110}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_3.Wrap28_03_3		600
8614	小怪测试	0	15	8586	1				{0,0}		{4001301,4001304,4001306,5001302,5001307}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_4.Wrap28_03_4		600
8615	小怪测试	0	15	8587	1				{0,0}		{400150603,500100903,400250603,500140201}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_5.Wrap28_03_5		600
8616	小怪测试	0	15	8588	1				{0,0}		{4001108,4001112,4003106,5003110,500110901}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_6.Wrap28_03_6		600
8617	小怪测试	0	15	8589	1				{0,0}		{4002004,4003007,4001008,5001009,5002010,5001010,4001005}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_7.Wrap28_03_7		600
8618	小怪测试	0	15	8590	1				{0,0}		{4001304,5001305,4001301,5001309,5001307}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_8.Wrap28_03_8		600
8619	小怪测试	0	15	8591	1				{0,0}		{4001211,4001213,4001212,5001206,5001205,5001209}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_03_9.Wrap28_03_9		600
8620	爱思特	1	23	8597	1				{0,0}		{6001004}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_boss004.Wrap28_boss004		600
8621	尘白恶魔	1	23	8598	1				{0,0}		{6001303}	22	1	0			0	0		0	0			{}								1801000	DLC28Task/WrapRoguelike28/Wrap28_boss303.Wrap28_boss303		600
