线路id	节点id	备注	位置	所属列	前置节点	事件类型（1.战斗 2.奇遇 3.商店 4.随机 5.最终boss 6.终局节点）	图标	关卡库	怪物强度等级	战斗后奖励的代币	战斗后选项数量和物件等级	战斗后生成圣物数	奇遇事件描述	奇遇事件描述备注	分支剧情标记	奇遇事件数量	奇遇事件组（多个对应）	商店Id	随机事件参数（类型、图标、概率）	节点通过奖励	速战消耗
211	211015	上锁宝箱1	15	5	{211011}	2	1001292						bagrogue.AdventureDes4			2	{401,901}			{{4,1,25,2,50}}	
211	211016	商店2	16	6	{211013}	3	1001297											2		{{4,1,25,2,50}}	
211	211018	奇遇2	18	6	{211015}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,50}}	
211	211020	剧情奇遇1	20	7	{211016,211018}	2	1001291						bagrogue.AdventureDes105		{1,2,3}	3	{701,702,703}			{{4,1,25,2,50}}	
211	211023	背包扩充1	23	8	{211020}	2	1001295						bagrogue.AdventureDes2			1	{124}			{{4,1,25,2,50}}	
211	211025	长关卡（第一层）	25	9	{211020}	1	1001455	16	114	{{{4,1,25,1,120}},{{4,1,25,1,240}},{{4,1,25,1,360}}}	{3,{2,3},{1,2,3}}									{{4,1,25,2,150}}	
211	211026	奇遇3	26	9	{211023}	2	1001296						bagrogue.AdventureDes1			3	{321,321,321}			{{4,1,25,2,50}}	
211	211027	随机3	27	9	{211023}	2	1001298	11	114	{{{4,1,25,1,180}}}	{3,{1,3},{1}}		bagrogue.AdventureDes1			3	{321,321,321}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,50}}	
211	211029	战斗小怪（第一层后段-庭院）	29	10	{211026}	1	1001288	11	116	{{{4,1,25,1,180}}}	{3,{1,3},{1}}									{{4,1,25,2,50}}	1
211	211030	战斗小怪（第一层后段-庭院）	30	10	{211026,211027}	1	1001289	5	116	{{{4,1,25,1,200}}}	{3,{1,3},{1}}									{{4,1,25,2,50}}	1
211	211032	商店2	32	11	{211025,211029,211030}	3	1001297											2		{{4,1,25,2,50}}	
211	211035	楼层BOSS1	35	12	{211032}	1	1001456	23	123	{{{4,1,25,1,230}}}		3								{{4,1,25,2,50}}	
211	211038	下一层1	38	13	{211035}	2	1001290						bagrogue.AdventureDes8			2	{601,602}			{{4,1,25,2,50}}	
212	212002	战斗小怪（第一层前段-庭院）	2	1		1	1001288	10	100	{{{4,1,25,1,150}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
212	212004	代价奖励1	4	2	{212002}	2	1001293						bagrogue.AdventureDes6			3	{131,131,131}			{{4,1,25,2,50}}	
212	212006	奇遇1	6	2	{212002}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
212	212007	奇遇1	7	3	{212004}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
212	212009	战斗BOSS（第一层前段）	9	3	{212006}	1	1001289	5	102	{{{4,1,25,1,200}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
212	212010	战斗小怪（第一层前段-庭院）	10	4	{212007}	1	1001288	10	104	{{{4,1,25,1,150}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
212	212012	随机1	12	4	{212009}	2	1001298	10	104	{{{4,1,25,1,150}}}	{3,{1,2},{1}}		bagrogue.AdventureDes1			3	{301,301,301}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,50}}	
212	212014	圣物战斗	14	5	{212010,212012}	1	1001456	23	106	{{{4,1,25,1,180}}}		3								{{4,1,25,2,50}}	
212	212016	上锁宝箱1	16	6	{212014}	2	1001292						bagrogue.AdventureDes4			2	{401,901}			{{4,1,25,2,50}}	
212	212018	商店2	18	6	{212014}	3	1001297											2		{{4,1,25,2,50}}	
212	212020	剧情奇遇1	20	7	{212016,212018}	2	1001291						bagrogue.AdventureDes105		{1,2,3}	3	{701,702,703}			{{4,1,25,2,50}}	
212	212024	代价奖励1	24	8	{212020}	2	1001293						bagrogue.AdventureDes6			3	{131,131,131}			{{4,1,25,2,50}}	
212	212025	长关卡（第一层）	25	9	{212020}	1	1001455	16	114	{{{4,1,25,1,120}},{{4,1,25,1,240}},{{4,1,25,1,360}}}	{3,{2,3},{1,2,3}}									{{4,1,25,2,150}}	
212	212027	奇遇2	27	9	{212024}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,50}}	
212	212030	战斗小怪（第一层后段-庭院）	30	10	{212027}	1	1001288	11	116	{{{4,1,25,1,180}}}	{3,{1,3},{1}}									{{4,1,25,2,50}}	1
212	212032	商店2	32	11	{212025,212030}	3	1001297											2		{{4,1,25,2,50}}	
212	212035	楼层BOSS1	35	12	{212032}	1	1001456	23	123	{{{4,1,25,1,230}}}		3								{{4,1,25,2,50}}	
212	212038	下一层1	38	13	{212035}	2	1001290						bagrogue.AdventureDes8			2	{601,602}			{{4,1,25,2,50}}	
213	213002	战斗小怪（第一层前段-庭院）	2	1		1	1001288	10	100	{{{4,1,25,1,150}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
213	213004	战斗小怪（第一层前段-庭院）	4	2	{213002}	1	1001288	10	100	{{{4,1,25,1,150}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
213	213006	随机1	6	2	{213002}	2	1001298	10	101	{{{4,1,25,1,150}}}	{3,{1,2},{1}}		bagrogue.AdventureDes1			3	{301,301,301}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,50}}	
213	213007	奇遇1	7	3	{213004}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
213	213008	代价奖励1	8	3	{213004}	2	1001293						bagrogue.AdventureDes6			3	{131,131,131}			{{4,1,25,2,50}}	
213	213009	战斗BOSS（第一层前段）	9	3	{213006}	1	1001289	5	102	{{{4,1,25,1,200}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
213	213011	圣物战斗	11	4	{213007,213008,213009}	1	1001456	23	104	{{{4,1,25,1,180}}}		3								{{4,1,25,2,50}}	
213	213013	奇遇1	13	5	{213011}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
213	213015	上锁宝箱1	15	5	{213011}	2	1001292						bagrogue.AdventureDes4			2	{401,901}			{{4,1,25,2,50}}	
213	213016	商店2	16	6	{213013}	3	1001297											2		{{4,1,25,2,50}}	
213	213018	奇遇1	18	6	{213015}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
213	213020	剧情奇遇1	20	7	{213016,213018}	2	1001291						bagrogue.AdventureDes105		{1,2,3}	3	{701,702,703}			{{4,1,25,2,50}}	
213	213023	背包扩充1	23	8	{213020}	2	1001295						bagrogue.AdventureDes2			1	{124}			{{4,1,25,2,50}}	
213	213024	奇遇2	24	8	{213020}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,50}}	
213	213025	长关卡（第一层）	25	9	{213020}	1	1001455	16	114	{{{4,1,25,1,120}},{{4,1,25,1,240}},{{4,1,25,1,360}}}	{3,{2,3},{1,2,3}}									{{4,1,25,2,150}}	
213	213026	奇遇2	26	9	{213023}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,50}}	
213	213027	战斗小怪（第一层后段-庭院）	27	9	{213024}	1	1001288	11	114	{{{4,1,25,1,180}}}	{3,{1,3},{1}}									{{4,1,25,2,50}}	1
213	213029	战斗小怪（第一层后段-庭院）	29	10	{213026}	1	1001288	11	116	{{{4,1,25,1,180}}}	{3,{1,3},{1}}									{{4,1,25,2,50}}	1
213	213030	代价奖励2	30	10	{213027}	2	1001293						bagrogue.AdventureDes6			3	{141,141,141}			{{4,1,25,2,50}}	
213	213032	商店2	32	11	{213025,213029,213030}	3	1001297											2		{{4,1,25,2,50}}	
213	213035	楼层BOSS1	35	12	{213032}	1	1001456	23	123	{{{4,1,25,1,230}}}		3								{{4,1,25,2,50}}	
213	213038	下一层1	38	13	{213035}	2	1001290						bagrogue.AdventureDes8			2	{601,602}			{{4,1,25,2,50}}	
221	221002	战斗小怪（第二层前段-沙漠）	2	1		1	1001288	12	127	{{{4,1,25,1,220}}}	{3,{2,2},{1}}									{{4,1,25,2,65}}	1
221	221004	背包扩充2	4	2	{221002}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,65}}	
221	221005	上锁宝箱1	5	2	{221002}	2	1001292						bagrogue.AdventureDes4			2	{401,901}			{{4,1,25,2,65}}	
221	221006	奇遇4	6	2	{221002}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,65}}	
221	221007	战斗小怪（第二层前段-沙漠）	7	3	{221004}	1	1001288	12	131	{{{4,1,25,1,220}}}	{3,{2,2},{1}}									{{4,1,25,2,65}}	1
221	221008	奇遇4	8	3	{221005}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,65}}	
221	221009	战斗BOSS（第二层前段）	9	3	{221006}	1	1001289	5	131	{{{4,1,25,1,270}}}	{3,{2,2},{1}}									{{4,1,25,2,65}}	1
221	221011	剧情奇遇2	11	4	{221007,221008,221009}	2	1001291						bagrogue.AdventureDes106		{1,2,3}	3	{711,712,713}			{{4,1,25,2,65}}	
221	221014	上锁大宝箱1	14	5	{221011}	2	1001294						bagrogue.AdventureDes5			2	{521,902}			{{4,1,25,2,65}}	
221	221015	奇遇4	15	5	{221011}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,65}}	
221	221016	长关卡（第二层）	16	6	{221011}	1	1001455	16	137	{{{4,1,25,1,240}},{{4,1,25,1,480}},{{4,1,25,1,720}}}	{3,{2,3},{1,2,3}}									{{4,1,25,2,195}}	
221	221017	战斗BOSS（第二层后段）	17	6	{221014}	1	1001289	5	137	{{{4,1,25,1,310}}}	{3,{2,3},{1}}									{{4,1,25,2,65}}	1
221	221018	战斗小怪（第二层后段-沙漠）	18	6	{221015}	1	1001288	13	137	{{{4,1,25,1,260}}}	{3,{2,3},{1}}									{{4,1,25,2,65}}	1
221	221020	背包扩充2	20	7	{221017}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,65}}	
221	221021	随机4	21	7	{221017,221018}	2	1001298	12	139	{{{4,1,25,1,220}}}	{3,{2,1},{1}}		bagrogue.AdventureDes1			3	{331,331,331}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,65}}	
221	221023	商店3	23	8	{221016,221020,221021}	3	1001297											3		{{4,1,25,2,65}}	
221	221026	楼层BOSS2-1	26	9	{221023}	1	1001456	23	146	{{{4,1,25,1,310}}}		3								{{4,1,25,2,65}}	
221	221029	下一层2	29	10	{221026}	2	1001290						bagrogue.AdventureDes8			2	{603,604}			{{4,1,25,2,65}}	
222	222002	战斗小怪（第二层前段-草地）	2	1		1	1001288	14	127	{{{4,1,25,1,220}}}	{3,{2,2},{1}}									{{4,1,25,2,65}}	1
222	222006	背包扩充2	6	2	{222002}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,65}}	
222	222007	长关卡（第二层）	7	3	{222002}	1	1001455	16	131	{{{4,1,25,1,240}},{{4,1,25,1,480}},{{4,1,25,1,720}}}	{3,{2,3},{1,2,3}}									{{4,1,25,2,195}}	
222	222009	战斗小怪（第二层前段-草地）	9	3	{222006}	1	1001288	14	131	{{{4,1,25,1,220}}}	{3,{2,2},{1}}									{{4,1,25,2,65}}	1
222	222012	上锁宝箱1	12	4	{222009}	2	1001292						bagrogue.AdventureDes4			2	{401,901}			{{4,1,25,2,65}}	
222	222014	剧情奇遇2	14	5	{222007,222012}	2	1001291						bagrogue.AdventureDes106		{1,2,3}	3	{711,712,713}			{{4,1,25,2,65}}	
222	222016	背包扩充2	16	6	{222014}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,65}}	
222	222017	战斗BOSS（第二层后段）	17	6	{222014}	1	1001289	5	137	{{{4,1,25,1,310}}}	{3,{2,3},{1}}									{{4,1,25,2,65}}	1
222	222018	上锁大宝箱1	18	6	{222014}	2	1001294						bagrogue.AdventureDes5			2	{521,902}			{{4,1,25,2,65}}	
222	222019	奇遇4	19	7	{222016,222017}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,65}}	
222	222021	战斗小怪（第二层后段-草地）	21	7	{222017,222018}	1	1001288	15	139	{{{4,1,25,1,260}}}	{3,{2,3},{1}}									{{4,1,25,2,65}}	1
222	222023	商店3	23	8	{222019,222021}	3	1001297											3		{{4,1,25,2,65}}	
222	222026	楼层BOSS2-2	26	9	{222023}	1	1001456	23	146	{{{4,1,25,1,310}}}		3								{{4,1,25,2,65}}	
222	222029	下一层2	29	10	{222026}	2	1001290						bagrogue.AdventureDes8			2	{603,604}			{{4,1,25,2,65}}	
231	231002	战斗小怪（第三层-草地）	2	1		1	1001288	15	150	{{{4,1,25,1,300}}}	{3,{2,3},{1}}									{{4,1,25,2,70}}	1
231	231004	战斗BOSS（第三层）	4	2	{231002}	1	1001289	5	152	{{{4,1,25,1,350}}}	{3,{2,3},{1}}									{{4,1,25,2,70}}	1
231	231005	奇遇4	5	2	{231002}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,70}}	
231	231006	背包扩充3	6	2	{231002}	2	1001295						bagrogue.AdventureDes2			1	{122}			{{4,1,25,2,70}}	
231	231007	奇遇4	7	3	{231004}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,75}}	
231	231008	上锁大宝箱1	8	3	{231005}	2	1001294						bagrogue.AdventureDes5			2	{521,902}			{{4,1,25,2,75}}	
231	231009	战斗BOSS（第三层）	9	3	{231006}	1	1001289	5	154	{{{4,1,25,1,350}}}	{3,{2,3},{1}}									{{4,1,25,2,75}}	1
231	231010	随机4	10	4	{231007}	2	1001298	12	156	{{{4,1,25,1,220}}}	{3,{2,1},{1}}		bagrogue.AdventureDes1			3	{331,331,331}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,75}}	
231	231011	战斗小怪（第三层-草地）	11	4	{231008}	1	1001288	15	156	{{{4,1,25,1,300}}}	{3,{2,3},{1}}									{{4,1,25,2,75}}	1
231	231012	奇遇4	12	4	{231009}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,75}}	
231	231014	商店4	14	5	{231010,231011,231012}	3	1001297											4		{{4,1,25,2,75}}	
231	231017	终局BOSS	17	6	{231014}	5	1001289		160	{{{4,1,25,1,350}}}										{{4,1,25,2,150}}	
231	231020	终局节点	20	7	{231017}	6	1001290	22	170				bagrogue.AdventureDes7			2	{1001,1002}				
232	232002	战斗小怪（第三层-草地）	2	1		1	1001288	15	150	{{{4,1,25,1,300}}}	{3,{2,3},{1}}									{{4,1,25,2,70}}	1
232	232006	背包扩充3	6	2	{232002}	2	1001295						bagrogue.AdventureDes2			1	{122}			{{4,1,25,2,70}}	
232	232007	长关卡（第三层）	7	3	{232002}	1	1001455	16	154	{{{4,1,25,1,300}},{{4,1,25,1,600}},{{4,1,25,1,900}}}	{3,{2,3},{1,2,3}}									{{4,1,25,2,220}}	
232	232009	战斗BOSS（第三层）	9	3	{232006}	1	1001289	5	154	{{{4,1,25,1,350}}}	{3,{2,3},{1}}									{{4,1,25,2,75}}	1
232	232012	上锁大宝箱1	12	4	{232009}	2	1001294						bagrogue.AdventureDes5			2	{521,902}			{{4,1,25,2,75}}	
232	232014	商店4	14	5	{232007,232012}	3	1001297											4		{{4,1,25,2,75}}	
232	232017	终局BOSS	17	6	{232014}	5	1001289		160	{{{4,1,25,1,350}}}										{{4,1,25,2,150}}	
232	232020	终局节点	20	7	{232017}	6	1001290	22	170				bagrogue.AdventureDes7			2	{1001,1002}				
