库id	库备注	AffixID	效果备注	等级	随机权重
301	技能型-高级物件	3	生命值+3%	3	146
301	技能型-高级物件	4	生命值+4%	4	146
301	技能型-高级物件	5	生命值+5%	5	146
301	技能型-高级物件	6	攻击力+1%	1	183
301	技能型-高级物件	7	攻击力+2%	2	183
301	技能型-高级物件	8	攻击力+3%	3	183
301	技能型-高级物件	9	攻击力+4%	4	183
301	技能型-高级物件	10	攻击力+5%	5	183
301	技能型-高级物件	11	防御力+1%	1	110
301	技能型-高级物件	12	防御力+2%	2	110
301	技能型-高级物件	13	防御力+3%	3	110
301	技能型-高级物件	14	防御力+4%	4	110
301	技能型-高级物件	15	防御力+5%	5	110
301	技能型-高级物件	16	暴击率+1%	1	146
301	技能型-高级物件	17	暴击率+2%	2	146
301	技能型-高级物件	18	暴击率+3%	3	146
301	技能型-高级物件	19	暴击率+4%	4	146
301	技能型-高级物件	20	暴击率+5%	5	146
301	技能型-高级物件	21	暴击伤害增幅+2%	1	183
301	技能型-高级物件	22	暴击伤害增幅+4%	2	183
301	技能型-高级物件	23	暴击伤害增幅+6%	3	183
301	技能型-高级物件	24	暴击伤害增幅+8%	4	183
301	技能型-高级物件	25	暴击伤害增幅+10%	5	183
301	技能型-高级物件	26	技能急速+1	1	146
301	技能型-高级物件	27	技能急速+2	2	146
301	技能型-高级物件	28	技能急速+3	3	146
301	技能型-高级物件	29	技能急速+4	4	146
301	技能型-高级物件	30	技能急速+5	5	146
301	技能型-高级物件	31	技能伤害+1%	1	146
301	技能型-高级物件	32	技能伤害+2%	2	146
301	技能型-高级物件	33	技能伤害+3%	3	146
301	技能型-高级物件	34	技能伤害+4%	4	146
301	技能型-高级物件	35	技能伤害+5%	5	146
301	技能型-高级物件	36	常规技伤害+1.5%	1	110
301	技能型-高级物件	37	常规技伤害+3%	2	110
301	技能型-高级物件	38	常规技伤害+4.5%	3	110
301	技能型-高级物件	39	常规技伤害+6%	4	110
301	技能型-高级物件	40	常规技伤害+7.5%	5	110
301	技能型-高级物件	41	支援技伤害+1%	1	73
301	技能型-高级物件	42	支援技伤害+2%	2	73
301	技能型-高级物件	43	支援技伤害+3%	3	73
301	技能型-高级物件	44	支援技伤害+4%	4	73
301	技能型-高级物件	45	支援技伤害+5%	5	73
301	技能型-高级物件	46	爆发技伤害+1%	1	110
301	技能型-高级物件	47	爆发技伤害+2%	2	110
301	技能型-高级物件	48	爆发技伤害+3%	3	110
301	技能型-高级物件	49	爆发技伤害+4%	4	110
301	技能型-高级物件	50	爆发技伤害+5%	5	110
301	技能型-高级物件	51	爆发能量获取率+1%	1	110
301	技能型-高级物件	52	爆发能量获取率+2%	2	110
301	技能型-高级物件	53	爆发能量获取率+3%	3	110
301	技能型-高级物件	54	爆发能量获取率+4%	4	110
301	技能型-高级物件	55	爆发能量获取率+5%	5	110
301	技能型-高级物件	81	常规能量恢复速度+2%	1	146
301	技能型-高级物件	82	常规能量恢复速度+4%	2	146
301	技能型-高级物件	83	常规能量恢复速度+6%	3	146
301	技能型-高级物件	84	常规能量恢复速度+8%	4	146
301	技能型-高级物件	85	常规能量恢复速度+10%	5	146
301	技能型-高级物件	86	附属单位强度+3	1	73
301	技能型-高级物件	87	附属单位强度+6	2	73
301	技能型-高级物件	88	附属单位强度+9	3	73
301	技能型-高级物件	89	附属单位强度+12	4	73
301	技能型-高级物件	90	附属单位强度+15	5	73
301	技能型-高级物件	501	自身提供的基础属性提升+1.1倍	1	80
301	技能型-高级物件	502	自身提供的基础属性提升+1.2倍	2	80
301	技能型-高级物件	503	自身提供的基础属性提升+1.3倍	3	80
301	技能型-高级物件	504	自身提供的基础属性提升+1.5倍	4	80
301	技能型-高级物件	511	自身提供的天赋点提升+1.1倍	1	100
301	技能型-高级物件	512	自身提供的天赋点提升+1.2倍	2	100
301	技能型-高级物件	513	自身提供的天赋点提升+1.3倍	3	100
301	技能型-高级物件	514	自身提供的天赋点提升+1.5倍	4	100
301	技能型-高级物件	521	自身提供的基础属性和天赋点提升+1.1倍	1	70
301	技能型-高级物件	522	自身提供的基础属性和天赋点提升+1.2倍	2	70
301	技能型-高级物件	523	自身提供的基础属性和天赋点提升+1.3倍	3	70
301	技能型-高级物件	524	自身提供的基础属性和天赋点提升+1.5倍	4	70
301	技能型-高级物件	531	使周围物件提供的基础属性提升+1.1倍	1	50
301	技能型-高级物件	532	使周围物件提供的基础属性提升+1.2倍	2	50
301	技能型-高级物件	533	使周围物件提供的基础属性提升+1.3倍	3	50
301	技能型-高级物件	534	使周围物件提供的基础属性提升+1.5倍	4	50
301	技能型-高级物件	541	使周围物件提供的天赋点提升+1.1倍	1	60
301	技能型-高级物件	542	使周围物件提供的天赋点提升+1.2倍	2	60
301	技能型-高级物件	543	使周围物件提供的天赋点提升+1.3倍	3	60
301	技能型-高级物件	544	使周围物件提供的天赋点提升+1.5倍	4	60
301	技能型-高级物件	551	使周围物件提供的基础属性和天赋点提升+1.1倍	1	40
301	技能型-高级物件	552	使周围物件提供的基础属性和天赋点提升+1.2倍	2	40
301	技能型-高级物件	553	使周围物件提供的基础属性和天赋点提升+1.3倍	3	40
301	技能型-高级物件	554	使周围物件提供的基础属性和天赋点提升+1.5倍	4	40
