地图ID	节点ID	备注	行动力消耗	节点类型（0=空节点，1=战斗节点，2=事件节点，3=商店节点，4=休息点）	战斗节点类型(1普通 2精英 3boss)	关卡ID	怪物buff	怪物等级	随机事件ID	商店ID	休息点标题	休息点事件（1=恢复生命，2=获得代币，3=随机获得n个buff）	下一关	图标（对应resource.txt）	节点名
10003	30051	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30061,30072}	2200016	ui.TxtDlcRogueRest
10003	30052	奇遇	0	2					3203				{30062}	2200015	ui.TxtDlcRogueRandom
10003	30053	精英战斗	0	1	2	4332	6603	62					{30063}	2200012	ui.TxtDlcRogueFight2
10003	30061	奇遇	0	2					3205				{30071}	2200015	ui.TxtDlcRogueRandom
10003	30062	精英战斗	0	1	2	4333	6503	63					{30072}	2200012	ui.TxtDlcRogueFight2
10003	30063	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30073}	2200016	ui.TxtDlcRogueRest
10003	30071	精英战斗	0	1	2	4335	6603	63					{30081,30082}	2200012	ui.TxtDlcRogueFight2
10003	30072	普通战斗	0	1	1	4312	6008	60					{30081,30082}	2200011	ui.TxtDlcRogueFight1
10003	30073	奇遇	0	2					3102				{30083}	2200015	ui.TxtDlcRogueRandom
10003	30081	奇遇	0	2					2211				{30092}	2200015	ui.TxtDlcRogueRandom
10003	30082	普通战斗	0	1	1	4398	6009	61					{30092}	2200011	ui.TxtDlcRogueFight1
10003	30083	普通战斗	0	1	1	4311	6009	61					{30092}	2200011	ui.TxtDlcRogueFight1
10003	30092	商店	0	3						6			{30101}	2200014	ui.TxtDlcRogueShop
10003	30101	boss	0	1	3	4341	6105	65						2200013	ui.TxtDlcRogueFight3
