类型（1角色卡 2武器 3后勤 4怪物 5时装 6剧情 7探索 8配件 9BGM 10CG 11教程界面)	Id(计算task，不能重复)	//注释	国服解锁时间	海外解锁时间	解锁条件（道具GDPL/怪物模板ID）	图素（resource）	图标	和谐图paintingID 目前支持的有角色和时装	扩展参数1	扩展参数2	扩展参数3	扩展参数4	扩展参数5	扩展参数6	扩展参数7	扩展参数8	和谐标签
3	3083	水穗-耳长			{3,2,26,1}				{1.4,1.4}	{-320, 120}	{1.43,1.43}	{-320, 250}					
3	3084	水穗-布都			{3,3,26,1}				{1.38,1.38}	{-340, 150}	{1.4,1.4}	{-340, 200}					
3	3085	新叶-伊玛			{3,1,27,1}				{1.4,1.4}	{-300, 150}	{1.5,1.5}	{-300, 150}					
3	3086	新叶-伊甸			{3,2,27,1}				{1.3,1.3}	{-380, 120}	{1.4,1.4}	{-400, 80}					
3	3087	新叶-葛芬			{3,3,27,1}				{1.3,1.3}	{-340, 120}	{1.3,1.3}	{-350, 150}					
3	3088	明夷-赭毫			{3,1,28,1}				{1.18,1.18}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3089	明夷-朱鹤			{3,2,28,1}				{1.38,1.38}	{-360, 80}	{1.4,1.4}	{-300, 100}					
3	3090	明夷-金琅			{3,3,28,1}				{1.35,1.35}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3091	秋津-伏雷			{3,1,29,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3092	秋津-夷越			{3,2,29,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3093	秋津-末末			{3,3,29,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3094	阿玛纳-阿赫莫特			{3,1,30,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3095	阿玛纳-卜内菲尔			{3,2,30,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3096	阿玛纳-梅克塔腾			{3,3,30,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3097	心园-伊蓓			{3,1,31,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3098	心园-苏诺			{3,2,31,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3099	心园-吉菲尔			{3,3,31,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3100	伊莱-安提			{{3,1,32,1},{3,1,32,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3101	伊莱-斯特拉			{{3,2,32,1},{3,2,32,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3102	伊莱-伊达米娅			{{3,3,32,1},{3,3,32,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3103	极光-维塔利娜			{3,1,33,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3104	极光-格洛莉娅			{3,2,33,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3105	极光-伊芙尼卡			{3,3,33,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3106	祖灵-穆希娜			{{3,1,34,1},{3,1,34,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3107	祖灵-斯卡特			{{3,2,34,1},{3,2,34,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3108	祖灵-艾丽娅			{{3,3,34,1},{3,3,34,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3109	沙叶-阿什叶	{202405021000}	{202405021000}	{{3,1,35,1},{3,1,35,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3110	沙叶-娜姆	{202405021000}	{202405021000}	{{3,2,35,1},{3,2,35,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3111	沙叶-帕斯特	{202405021000}	{202405021000}	{{3,3,35,1},{3,3,35,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3112	金甲-菈普克			{{3,1,36,1},{3,1,36,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3113	金甲-莫尔德莉			{{3,2,36,1},{3,2,36,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3114	金甲-艾巴赫			{{3,3,36,1},{3,3,36,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3115	星朗-朵薇尔			{{3,1,37,1},{3,1,37,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3116	星朗-爱莉薇娅			{{3,2,37,1},{3,2,37,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3117	星朗-妲柯丝			{{3,3,37,1},{3,3,37,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3118	清乐-桫椤	{202407251000}	{202407251000}	{{3,1,38,1},{3,1,38,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3119	清乐-白桦	{202407251000}	{202407251000}	{{3,2,38,1},{3,2,38,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3120	清乐-棕榈	{202407251000}	{202407251000}	{{3,3,38,1},{3,3,38,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3121	掠影-弗栗多			{3,1,39,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3122	掠影-伐楼妮			{3,2,39,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3123	掠影-因陀罗			{3,3,39,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3124	钢羽-布莱莉卡	[202410101000]	[202410101000]	{{3,1,40,1},{3,1,40,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3125	钢羽-蕾拉	[202410101000]	[202410101000]	{{3,2,40,1},{3,1,40,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3126	钢羽-普尔法	[202410101000]	[202410101000]	{{3,3,40,1},{3,1,40,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3127	射影-玛莉妮			{3,1,41,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3128	射影-贝莎			{3,2,41,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3129	射影-埃拉托			{3,3,41,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3130	超视-狄瓦丝			{3,1,42,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3131	超视-奥莎娜			{3,2,42,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3132	超视-天厨一			{3,3,42,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3133	泽虹-西格丽达			{3,1,43,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3134	泽虹-莉尼			{3,2,43,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3135	泽虹-缔罗尔			{3,3,43,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3136	新桃-温然			{3,1,44,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3137	新桃-铃焰			{3,2,44,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3138	新桃-玉茗			{3,3,44,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3139	闻风-乌贝尔	[202502061000]	[202502061000]	{{3,1,45,1},{3,1,45,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3140	闻风-伊瑟瑞斯	[202502061000]	[202502061000]	{{3,2,45,1},{3,1,45,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3141	闻风-谢菲尔	[202502061000]	[202502061000]	{{3,3,45,1},{3,1,45,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3142	微光-猫柳			{3,1,46,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3143	微光-秋晴			{3,2,46,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3144	微光-长天			{3,3,46,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3145	希德-瑞特兰			{3,1,47,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3146	希德-乌布			{3,2,47,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3147	希德-伊斯莫			{3,3,47,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3148	花楸-白三叶	[202505011000]	[202505011000]	{{3,1,48,1},{3,1,48,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3149	花楸-卡尔哈雅	[202505011000]	[202505011000]	{{3,2,48,1},{3,1,48,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3150	花楸-柯尔希	[202505011000]	[202505011000]	{{3,3,48,1},{3,1,48,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3151	2.8后勤			{3,1,49,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3152	2.8后勤			{3,2,49,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3153	2.8后勤			{3,3,49,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3154	3.0后勤			{3,1,50,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3155	3.0后勤			{3,2,50,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3156	3.0后勤			{3,3,50,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3157	3.0后勤	{202507241000}	{202507241000}	{{3,1,51,1},{3,1,51,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3158	3.0后勤	{202507241000}	{202507241000}	{{3,2,51,1},{3,1,51,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3159	3.0后勤	{202507241000}	{202507241000}	{{3,3,51,1},{3,1,51,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3160	3.1后勤			{3,1,52,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3161	3.1后勤			{3,2,52,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3162	3.1后勤			{3,3,52,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3163	3.2后勤			{3,1,53,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3164	3.2后勤			{3,2,53,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3165	3.2后勤			{3,3,53,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3166	3.2后勤天秤1	{202510161000}	{202510161000}	{{3,1,54,1},{3,1,54,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3167	3.2后勤天秤2	{202510161000}	{202510161000}	{{3,2,54,1},{3,2,54,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3168	3.2后勤天秤3	{202510161000}	{202510161000}	{{3,3,54,1},{3,3,54,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3169	3.3后勤飞云1			{3,1,55,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3170	3.3后勤飞云2			{3,2,55,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3171	3.3后勤飞云3			{3,3,55,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3172	3.3后勤碧空1	{202511271000}	{202511271000}	{{3,1,56,1},{3,1,56,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3173	3.3后勤碧空2	{202511271000}	{202511271000}	{{3,2,56,1},{3,2,56,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3174	3.3后勤碧空3	{202511271000}	{202511271000}	{{3,3,56,1},{3,3,56,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3175	3.4卜卜专属1			{3,1,57,1}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3176	3.4卜卜专属2			{3,2,57,1}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3177	3.4卜卜专属3			{3,3,57,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3178	3.4猫汐尔专属1	{202601011000}	{202601011000}	{{3,1,58,1},{3,1,58,2}}				{1.2,1.2}	{-250, 50}	{1.25,1.25}	{-360, 80}					
3	3179	3.4猫汐尔专属2	{202601011000}	{202601011000}	{{3,2,58,1},{3,2,58,2}}				{1.25,1.25}	{-360, 80}	{1.25,1.25}	{-300, 100}					
3	3180	3.4猫汐尔专属3	{202601011000}	{202601011000}	{{3,3,58,1},{3,3,58,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3181	3.5安卡			{3,1,59,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3182	3.5安卡			{3,2,59,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3183	3.5安卡			{3,3,59,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3184	3.5茉莉安	[202602121000]	[202602121000]	{{3,1,60,1},{3,1,60,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3185	3.5茉莉安	[202602121000]	[202602121000]	{{3,2,60,1},{3,2,60,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3186	3.5茉莉安	[202602121000]	[202602121000]	{{3,3,60,1},{3,3,60,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3187	3.6胧嫣			{3,1,61,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3188	3.6胧嫣			{3,2,61,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3189	3.6胧嫣			{3,3,61,1}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3190	3.6芙提亚	[202605221000]	[202605221000]	{{3,1,62,1},{3,1,62,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3191	3.6芙提亚	[202605221000]	[202605221000]	{{3,2,62,1},{3,2,62,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
3	3192	3.6芙提亚	[202605221000]	[202605221000]	{{3,3,62,1},{3,3,62,2}}				{1.3,1.3}	{-380, 120}	{1.3,1.3}	{-320, 80}					
4	4001	约瑟夫			{6001003,6002003}				{{-100,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-125,-45,0},{0,140,0},{0.45,0.45,0.45}}	riki.monster_name_1	riki.monster_skill_1					
4	4002	爱思特			{6001004,600100401}				{{-100,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-125,-45,10},{0,150,0},{0.38,0.38,0.38}}	riki.monster_name_3	riki.monster_skill_3					
4	4003	二型验证机甲			{6001002,6002002}				{{-125,-45,0},{0,140,0},{0.08,0.08,0.08}}	{{-100,-45,0},{0,160,0},{0.15,0.15,0.15}}	riki.monster_name_2	riki.monster_skill_2					
4	4004	二型验证机甲·荒猎			{6001005,6002005}				{{-125,-45,0},{0,140,0},{0.08,0.08,0.08}}	{{-100,-45,0},{0,160,0},{0.15,0.15,0.15}}	riki.monster_name_4	riki.monster_skill_4					
4	4005	加文			{6001102,6002102}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,160,0},{0.48,0.48,0.48}}	riki.monster_name_5	riki.monster_skill_5					
4	4006	波伏娃13			{6002101,6003101,6001101}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,160,0},{0.45,0.45,0.45}}	riki.monster_name_6	riki.monster_skill_6					
4	4007	让·苏瑞安·萨特			{6001103,6002103}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,160,0},{0.45,0.45,0.45}}	riki.monster_name_7	riki.monster_skill_7					
4	4008	尤弥尔			{6001202}				{{0,-1000,0},{0,140,0},{0.5,0.5,0.5}}	{{-340,-30,-60},{0,160,0},{0.03,0.03,0.03}}	riki.monster_name_8	riki.monster_skill_8					
4	4009	海拉			{6001201,6003201}				{{-125,-45,0},{0,0,0},{0.06,0.06,0.06}}	{{-100,-45,0},{0,155,0},{0.085,0.085,0.085}}	riki.monster_name_9	riki.monster_skill_9					
4	4010	海拉·怒棘			{6001204}				{{-125,-45,0},{0,0,0},{0.06,0.06,0.06}}	{{-100,-45,0},{0,155,0},{0.085,0.085,0.085}}	riki.monster_name_10	riki.monster_skill_10					
4	4011	刻耳柏洛斯			{6001301}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,0},{0,145,0},{0.16,0.16,0.16}}	riki.monster_name_12	riki.monster_skill_12					
4	4012	祟·焚风			{600120502,600120501}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-110,-45,0},{0,150,0},{0.22,0.22,0.22}}	riki.monster_name_11	riki.monster_skill_11					
4	4013	威尔·安德森			{6001501,600150101}				{{-100,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-110,-45,0},{0,150,0},{0.54,0.54,0.54}}	riki.monster_name_14	riki.monster_skill_13					
4	4014	祟·寒潮			{600120503}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-110,-45,0},{0,150,0},{0.22,0.22,0.22}}	riki.monster_name_13	riki.monster_skill_11					
4	4015	凯茜娅			{6001505}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,173,0},{0.58,0.58,0.58}}	riki.monster_name_15	riki.monster_skill_14					
4	4016	透墨索斯			{6001302}				{{-100,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-125,-45,0.5},{0,172,0},{0.38,0.38,0.38}}	riki.monster_name_16	riki.monster_skill_15					
4	4017	约瑟夫·顽骨			{6001006}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,0},{0,145,0},{0.16,0.16,0.16}}	riki.monster_name_17	riki.monster_skill_17					
4	4018	尼亚尔			{6001206}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,19},{0,145,0},{0.2,0.2,0.2}}	riki.monster_name_18	riki.monster_skill_18					
4	4019	火工头陀			{6001207}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-458,-21,-19},{0,145,0},{0.02,0.02,0.02}}	riki.monster_name_19	riki.monster_skill_19					
4	4020	DLC7BOSS			{6001208}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-154,-43,4},{0,165,0},{0.155,0.155,0.155}}	riki.monster_name_20	riki.monster_skill_20					
4	4021	DLC8BOSS			{6001401,6002401}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-43,-2},{0,179,0},{0.185,0.185,0.185}}	riki.monster_name_21	riki.monster_skill_21					
4	4022	DLC8凯茜娅2			{6002505}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,173,0},{0.58,0.58,0.58}}	riki.monster_name_22	riki.monster_skill_22					
4	4023	初诞的沃坦·原形态			{6001502,6002502}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,173,0},{0.215,0.215,0.215}}	riki.monster_name_23	riki.monster_skill_23					
4	4024	初诞的沃坦·真神形态			{6002502}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,173,0},{0.088,0.088,0.088}}	riki.monster_name_24	riki.monster_skill_24					
4	4025	威尔亚种			{600150102}				{{-100,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-110,-45,0},{0,150,0},{0.54,0.54,0.54}}	riki.monster_name_27	riki.monster_skill_27					
4	4026	尼亚尔			{6002206}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,19},{0,145,0},{0.2,0.2,0.2}}	riki.monster_name_26	riki.monster_skill_26					
4	4027	酒神			{6001503}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,173,0},{0.235,0.235,0.235}}	riki.monster_name_25	riki.monster_skill_25					
4	4028	尘白恶魔号			{6001303}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,0},{0,145,0},{0.16,0.16,0.16}}	riki.monster_name_28	riki.monster_skill_28					
4	4029	刻耳柏洛斯·灼痕			{6002301}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,0},{0,145,0},{0.16,0.16,0.16}}	riki.monster_name_29	riki.monster_skill_29					
4	4030	蒙古沙虫			{6001601}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,0},{0,145,0},{0.045,0.045,0.045}}	riki.monster_name_30	riki.monster_skill_30					
4	4031	虎伥			{6001602}				{{-125,-45,0},{0,140,0},{0.11,0.11,0.11}}	{{-100,-45,0},{0,145,0},{0.16,0.16,0.16}}	riki.monster_name_31	riki.monster_skill_31					
4	4032	舍塔-慈面			{6001603,6002603}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,-15},{0,173,0},{0.235,0.235,0.235}}	riki.monster_name_32	riki.monster_skill_32					
4	4033	舍塔-怒面			{6002603}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,-15},{0,173,0},{0.235,0.235,0.235}}	riki.monster_name_33	riki.monster_skill_33					
4	4034	墨菲斯·徒花			{6001506,6002506}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,-15},{0,173,0},{0.185,0.185,0.185}}	riki.monster_name_34	riki.monster_skill_34					
4	4035	海底观测者			{6001402}				{{-125,-45,0},{0,140,0},{0.1,0.1,0.1}}	{{-100,-45,-15},{0,173,0},{0.05,0.05,0.05}}	riki.monster_name_35	riki.monster_skill_35					
4	4036	祟·超限			{600120504,600120505,600120506,600120507,600120508}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-110,-45,0},{0,150,0},{0.22,0.22,0.22}}	riki.monster_name_36	riki.monster_skill_36					
4	4037	透墨索斯·白热化			{600130204}				{{-100,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-125,-45,0.5},{0,172,0},{0.38,0.38,0.38}}	riki.monster_name_37	riki.monster_skill_37					
4	4038	Boss403			{6001403}				{{-100,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-125,-45,55},{0,172,0},{0.06,0.06,0.06}}	riki.monster_name_38	riki.monster_skill_38					
4	4039	尼亚尔			{6004206,600120604}				{{-125,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-100,-45,19},{0,145,0},{0.2,0.2,0.2}}	riki.monster_name_39	riki.monster_skill_39					
4	4040	Boss404临时			{6001404}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.13,0.13,0.13}}	riki.monster_name_40	riki.monster_skill_40					
4	4041	Boss404临时			{6001405}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.17,0.17,0.17}}	riki.monster_name_41	riki.monster_skill_41					
4	4042				{6001304,6002304}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.17,0.17,0.17}}	riki.monster_name_42	riki.monster_skill_42					
4	4043				{6002304}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.14,0.14,0.14}}	riki.monster_name_43	riki.monster_skill_43					
4	4044	埃吉尔			{6001209,600120901,600120902}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.11,0.11,0.11}}	riki.monster_name_44	riki.monster_skill_44					
4	4045	起源物种			{600121001,600121002,600121003}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.11,0.11,0.11}}	riki.monster_name_45	riki.monster_skill_45					
4	4046	起源物种-进化之终			{600121002,600121003}				{{-125,-45,0},{0,0,0},{0.11,0.11,0.11}}	{{-145,-45,0},{0,172,0},{0.09,0.09,0.09}}	riki.monster_name_46	riki.monster_skill_45					
4	4047	星祈雪人号			{600130501,600130502}				{{-100,-45,0},{0,0,0},{0.09,0.09,0.09}}	{{-125,-45,0},{0,172,0},{0.18,0.18,0.18}}	riki.monster_name_47	riki.monster_skill_46					
4	4048	西西弗斯			{6001507}				{{-125,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-125,-45,0},{0,172,0},{0.175,0.175,0.175}}	riki.monster_name_48	riki.monster_skill_47					
4	4049	瑟茜一阶段			{6001508,600150804}				{{-125,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-125,-45,0},{0,172,0},{0.175,0.175,0.175}}	riki.monster_name_49	riki.monster_skill_48					
4	4050	瑟茜二阶段			{600150804,6001508}				{{-125,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-125,-45,0},{0,172,0},{0.175,0.175,0.175}}	riki.monster_name_49	riki.monster_skill_48					
4	4051	3.6boss			{6001406}				{{-125,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-125,-45,0},{0,172,0},{0.02,0.02,0.02}}	riki.monster_name_50	riki.monster_skill_50					
4	4052	3.7boss			{6001104}				{{-125,-45,0},{0,0,0},{0.1,0.1,0.1}}	{{-125,-45,0},{0,172,0},{0.1,0.1,0.1}}	riki.monster_name_51	riki.monster_skill_51					
5	5001	安卡希雅-辉夜-次元追忆			{7,1,2,2}				3	{{1694.25,1599.75},{0,0}}		{0.3,{0,0},{0,0},{1,1}}	20				
5	5002	里芙-星宇巡游			{7,2,1,2}				1	{{1694.25,1599.75},{0,0}}		{0.3,{0,0},{0,0},{1,1}}	20				
5	5003	里芙-狂猎-宵宴绯盏			{7,2,2,2}				2	{{1694.25,1599.75},{0,0}}	/Game/Spine/Hero/Girl002a_02/tryGirl_002a_02.tryGirl_002a_02	{0.3,{0,0},{0,0},{1,1}}	20				
5	5004	芙提雅-炽热御护			{7,4,1,2}				1	{{1694.25,1599.75},{0,0}}			20				
5	5005	芙提雅-缄默-行疾脱兔			{7,4,2,2}				2	{{1694.25,1599.75},{0,0}}	/Game/Spine/Hero/Girl004a_02/tryGirl_004a_02.tryGirl_004a_02	{0.3,{0,0},{0,0},{1,1}}	20				
