ID(不超过600）	对应悖论迷宫buffid	//名称备注	//描述备注	buff品质	类型（1.仅货币解锁  2.通常增益）	默认解锁	解锁需要货币（cashid）	占用容量	重复解锁的货币补偿
232	2033		辉夜-支援技减抗效果改为永久降低抗性，可以叠加100层，但每层只提供1%/1.1%/1.2%/1.3%/1.4%/1.5%抗性降低	5	2	0	{50,500}	22	{4,1,23,9,100}
233	2034		辉夜-爆发技不再消耗爆发能量，且每命中一次目标回复1点大招能量	5	2	0	{50,500}	22	{4,1,23,9,100}
234	2035		缄默-改良核聚变反应装置，【不休之苦焰】变粗变大，造成的最终伤害提升50%，且命中点会发生坍缩，吸引附近目标	5	2	0	{50,500}	22	{4,1,23,9,100}
235	2036		缄默-【不休之苦焰】伤害加深层数上限提升至9999层，且每次命中叠加两层	5	2	0	{50,500}	22	{4,1,23,9,100}
236	2037		姬辰星-雷兵的最大存在数量提升至6，雷兵造成的最终伤害提升300%	5	2	0	{50,400}	20	{4,1,23,9,100}
237	2038		姬辰星-支援技能的装置会每30秒间隔自动释放	5	2	0	{50,400}	20	{4,1,23,9,100}
238	2039		瑟瑞斯-支援技的盾牌可以生成一圈	5	2	0	{50,400}	20	{4,1,23,9,100}
239	2040		瑟瑞斯-大招护盾持续时间翻倍，且护盾存在期间内所有角色攻击力提升100%	5	2	0	{50,400}	20	{4,1,23,9,100}
240	2041		云篆-常规技的可锁定目标提高至10,且每次传递造成两次伤害	5	2	0	{50,500}	22	{4,1,23,9,100}
241	2042		云篆-常规技的触发伤害提升至射击伤害的100%，且每传递一次由降低30%改为提升10%，但射击造成的最终伤害降低50%	5	2	0	{50,500}	22	{4,1,23,9,100}
242	2043		藏锋-藏锋每次命中目标时，都有5%的概率触发神格技能的斩杀，造成等同于斩杀线5倍的真实伤害	5	2	0	{50,500}	22	{4,1,23,9,100}
243	2044		藏锋-大招内使用常规技不再消耗【胜机值】（使用爆发技后续的斩需要消耗）	5	2	0	{50,500}	22	{4,1,23,9,100}
244	2045		溯影-支援技被命中时会为当前角色回复猫希尔最大生命值1%的生命值，触发间隔3s，每次触发均会增加1%最大生命值，最多5%（换新的木乃伊后重置）	5	2	0	{50,500}	22	{4,1,23,9,100}
245	2046		溯影-支援技不会被无敌打断，且传递伤害比例提升至150%	5	2	0	{50,500}	22	{4,1,23,9,100}
246	2047		苔丝-支援技增伤降低改为增加	5	2	0	{50,500}	22	{4,1,23,9,100}
247	2048		苔丝-大招结束时能量不再清空	5	2	0	{50,500}	22	{4,1,23,9,100}
248	2049		凯茜娅射击命中时叠加持续3秒的5%攻击力，提升上限为500%	5	2	0	{50,500}	22	{4,1,23,9,100}
249	2050		凯西娅保持【第三指引】下附魔的伤害提升200%	5	2	0	{50,500}	22	{4,1,23,9,100}
250	2051		伊切尔【捕食之风】吸附范围提升100%，获得【穿林之风】时次数2变为5，且造成的伤害提升200%	5	2	0	{50,500}	22	{4,1,23,9,100}
251	2052		伊切尔有血袋子时，常规技、支援技造成的治疗效果也能够填充血袋子（0.5格/1格），每个血袋提供的攻击力提升数值增加200%	5	2	0	{50,500}	22	{4,1,23,9,100}
252	2053		悖谬【自厌旋涡】在释放时产生一次大范围牵引，且【自厌旋涡】存在时持续吸附目标，并每2秒赋予范围内目标5层dot	5	2	0	{50,500}	22	{4,1,23,9,100}
253	2054		悖谬【自厌旋涡】每3秒对附近范围内目标造成10%的引爆伤害并造成150破坏值伤害，不会清空当前的【恶绪】层数	5	2	0	{50,500}	22	{4,1,23,9,100}
254	2055		羽蜕常规技的常规能量消耗降低100%且最终伤害提升100%，常规技每命中一名敌人减少1秒CD	5	2	0	{50,500}	22	{4,1,23,9,100}
255	2056		羽蜕常规技命中目标的伤害衰减变为提升，且麻痹时间提升至2秒	5	2	0	{50,500}	22	{4,1,23,9,100}
256	2057		瑟瑞斯·瞬刻释放常规技起步时立刻释放一次两级反转，将大范围内的敌方单位聚集到自身正前方，每吸附一个目标，回复10常规能量	5	2	0	{50,500}	22	{4,1,23,9,100}
257	2058		瑟瑞斯·瞬刻常规技盾的大小和碎盾的爆炸范围、最终伤害提升100%，且不再有目标数量限制	5	2	0	{50,500}	22	{4,1,23,9,100}
258	2059		里芙·无限之视闪射每次命中有5%的概率直接返还闪射值，可以连续触发，每次闪射攻击力提升5%，直到离开战斗，最多可以叠加100次	5	2	0	{50,500}	22	{4,1,23,9,100}
259	2060		里芙·无限之视爆发技释放期间移动速度翻倍，且造成伤害时若目标带有【瞬析】，则对该目标释放瞬析射线	5	2	0	{50,500}	22	{4,1,23,9,100}
260	2061		芬妮·辉耀所有队员在使用特殊子弹进行射击时都有20%的概率回收子弹，每触发一次子弹回收都会使芬妮的攻击力提高5%,至多提高300%	5	2	0	{50,500}	22	{4,1,23,9,100}
261	2062		芬妮·辉耀获得特殊弹匣的队员会进入激励状态，射击速度提高100%	5	2	0	{50,500}	22	{4,1,23,9,100}
262	2063		薇蒂雅【奥数充能】层数上限提升至999，爆发技最终伤害提升50%，且释放爆发技不再会移除【奥数充能】	5	2	0	{50,500}	22	{4,1,23,9,100}
263	2064		薇蒂雅每次使用4阶常规技时会使常规技造成的伤害提高，每次伤害提升50%，无上限，常规能量为零时或常规技等级降低会移除该效果	5	2	0	{50,500}	22	{4,1,23,9,100}
264	2065		凯茜娅·朝翼常规技生成【灵羽晶】造成的范围伤害提升50%，且若常规技生成时命中敌人则立刻刷新常规技冷却时间	5	2	0	{50,500}	22	{4,1,23,9,100}
265	2066		凯茜娅·朝翼触发【贯云流】时将不再回收对应【灵羽晶】，且在场可同时激活的【灵羽晶】数量提升至12	5	2	0	{50,500}	22	{4,1,23,9,100}
266	2067		茉莉安·幽潮获得【歌潮值】不再有触发间隔	5	2	0	{50,500}	22	{4,1,23,9,100}
267	2068		茉莉安·幽潮在【歌潮值】储备至上限时使用支援技登场时，在5秒内的射击不消耗子弹	5	2	0	{50,500}	22	{4,1,23,9,100}
268	2069		芙提雅·驰掣每次异源值为满时使用常规技获得特殊效果，特殊射击不消耗异源值，常规技结束时移除该效果	5	2	0	{50,500}	22	{4,1,23,9,100}
269	2070		芙提雅·驰掣爆发技伤害提升100%；且特殊能量不足1格时，可以消耗5点爆发能量释放一次1格能量的爆发技	5	2	0	{50,500}	22	{4,1,23,9,100}
270	2071		卜卜处于【辟邪】状态下，高热类型射击伤害加成翻倍，且子弹弹射造成的伤害不再衰减，但消耗常规能量增加50%	5	2	0	{50,500}	22	{4,1,23,9,100}
271	2072		卜卜发射【秘丹】的能量获取率、造成的伤害与物品破坏力不再衰减	5	2	0	{50,500}	22	{4,1,23,9,100}
272	2073		琼弦常规技每次命中都10%概率插箭矢，上限改为100	5	2	0	{50,500}	22	{4,1,23,9,100}
273	2074		琼弦【爆发技】回收的每一根箭有50%的概率不会从目标身上消失	5	2	0	{50,500}	22	{4,1,23,9,100}
274	2075		夜天光取消爆发技前置能量条件和每秒消耗能量	5	2	0	{50,500}	22	{4,1,23,9,100}
275	2076		夜天光连线【基础与强化】伤害与其添加的debuff效果，会随时间逐渐增强。最多5倍	5	2	0	{50,500}	22	{4,1,23,9,100}
276	2077		澜风大龙卷期间每1秒获得10%最大生命值护盾，该护盾一直存在，上限为100%最大生命值，有任意护盾时每秒回复启风值	5	2	0	{50,500}	22	{4,1,23,9,100}
277	2078		澜风中旋风不再消耗能量，且每持续1秒，会朝随机方向生成一个移动的中旋风，碰到墙体后消失，本体的中旋风消失时，所有中旋风一起消失	5	2	0	{50,500}	22	{4,1,23,9,100}
278	2079		奈莉德常规技对同一目标造成的伤害不再衰减，且每次命中获得的【悔语值】提升100%，发射【忏悔束带】额外消耗的【悔语值】降低50%	5	2	0	{50,500}	22	{4,1,23,9,100}
279	2080		奈莉德【测谎者】持续时间提升至10秒，且持续时间内其他队员造成特异伤害添加的【幻堕值】提升至50%	5	2	0	{50,500}	22	{4,1,23,9,100}
280	2081		完美使用常规技会额外造成一次当前100%护盾量的伤害。	5	2	0	{50,500}	22	{4,1,23,9,100}
281	2082		悸响获得10层【完美】效果,完美触发常规技额外获得1层。每层【完美】提升悸响2%技能最终伤害和200最大生命值上限,该效果可以持续存在,若触发内焚则移除一半【完美】	5	2	0	{50,500}	22	{4,1,23,9,100}
282	2083		薇蒂雅天鹅座QTE陷阱染色后，范围内每个目标被击败，会为全队提升10%全类型伤害，至多叠加10层	5	2	0	{50,500}	22	{4,1,23,9,100}
283	2084		薇蒂雅天鹅座常规技最终伤害提升120%，成长时间降低至0.5秒	5	2	0	{50,500}	22	{4,1,23,9,100}
284	2085		凯茜娅·狂诗大招移动速度增加50%，大招期间追击炮的频率翻4倍	5	2	0	{50,500}	22	{4,1,23,9,100}
285	2086		凯茜娅·狂诗力场持续期间不再消耗常规能量，且力场的追击炮的数量变为4，追击炮命中给敌人添加2%射击易伤，持续1s，至多叠加40层	5	2	0	{50,500}	22	{4,1,23,9,100}
286	2087		苔丝·绮幻的赋能伤害翻倍，效果持续时间为永久，且额外为目标提供20%的射击速度加成	5	2	0	{50,500}	22	{4,1,23,9,100}
287	2088		苔丝·绮幻的金苹果不再消耗常规能量，且爆炸的范围和伤害翻倍，每次释放金苹果，下一次金苹果造成的最终伤害提升20%，持续5秒，可以叠加10次	5	2	0	{50,500}	22	{4,1,23,9,100}
288	2089		克罗瑞娜·绯月神经效果【暖液化生】提供的额外生命上限增加至6000，【暗红射击】命中时的固化治疗量提升100%，且【暗红射击】后也能产生【血族视界】	5	2	0	{50,500}	22	{4,1,23,9,100}
289	2090		克罗瑞娜·绯月每次成功触发【血族视界】时，可消耗20%当前生命，额外制造5只赤绒蝠，赤绒蝠命中目标时获得1层【夜鸣】效果：常规技伤害提升10%，持续5秒，最多叠加至10层	5	2	0	{50,500}	22	{4,1,23,9,100}
290	2091		芬妮·澄意的爆发能量上限提高到140，每次射击回复5点爆发能量	5	2	0	{50,500}	22	{4,1,23,9,100}
291	2092		芬妮·澄意大幅提升在空中的移动能力，可以回复耐力，【炽能超载】不再清空弹匣，且射击和右键AOE伤害提升100%	5	2	0	{50,500}	22	{4,1,23,9,100}
292	2093		瑟瑞斯·悠游【巡洋】标记的损耗间隔提升至10秒，满层【巡洋】标记时，场上角色技能最终伤害提升40%	5	2	0	{50,500}	22	{4,1,23,9,100}
293	2094		瑟瑞斯·悠游进入滑板状态和击败敌人获得10%最大生命的护盾，至多叠加至50%护盾，同时滑板状态下造成技能伤害会根据角色当前拥有护盾量100%产生额外伤害	5	2	0	{50,500}	22	{4,1,23,9,100}
294	2095		米娅·星彩在该次【风引星爆】状态下，获得【彩绒标记】所需的【甜星弹】发射数量降低到4，且降低为【星爆弹匣】装填1发【甜星弹】所消耗的【风味星点】至3点	5	2	0	{50,500}	22	{4,1,23,9,100}
295	2096		米娅·星彩在【风引星爆】状态下【逐星微光】可跳过蓄力阶段，瞬间将范围提升至最大并直接释放	5	2	0	{50,500}	22	{4,1,23,9,100}
296	2097		晴·霆光【断穹斩】每命中一个目标恢复10点爆发能量，最多恢复50点	5	2	0	{50,500}	22	{4,1,23,9,100}
297	2098		晴·霆光【断穹斩】最终伤害提升1000%，释放后不再留下【千雷游光屏】	5	2	0	{50,500}	22	{4,1,23,9,100}
298	2099		卜卜·灵鉴 大招状态下，空间斩命中时回复1点【溢光】且敌方裂痕效果上限提升至99	5	2	0	{50,500}	22	{4,1,23,9,100}
299	2100		卜卜·灵鉴 自身的【镜彩射击】【镜裂射击】会消耗5点常规能量使其最终伤害提升88%，使用爆发技（表里都会）会获得50常规能量	5	2	0	{50,500}	22	{4,1,23,9,100}
300	2101		猫汐尔·莲驱 大莲花召唤时，直接招满小莲花；爆发技cd降低为{1}秒，持续时间提升至无限，爆发技持续期间附属单位伤害额外提高{2}%	5	2	0	{50,500}	22	{4,1,23,9,100}
301	2102		猫汐尔·莲驱 【臆莲基座】的生命值*{1}，且每秒对圆圈范围内的敌人造成大莲花最大生命值{2}%的伤害	5	2	0	{50,500}	22	{4,1,23,9,100}
302	2103		安卡希雅-时之重奏在两种形态下可获得的最多【月刻值】提升100%，常规技最终伤害提升100%；常规形态下飞剑命中目标获得的【月刻值】增加至2，成长形态下【月镰剑势】命中目标时获得的【月刻值】增加至5	5	2	0	{50,500}	22	{4,1,23,9,100}
303	2104		安卡希雅-时之重奏在常规形态下冲刺的速度提升100%，【灵轨月轮】为扩散状态时安卡希雅-时之重奏不再获得【月刻值】，但冲刺状态下会自然获得【月刻值】，反之则【月刻值】逐渐减少，冲刺的同时会周期性朝周围目标释放落剑，落剑数量等于当前【月刻值】	5	2	0	{50,500}	22	{4,1,23,9,100}
304	2105		茉莉安-霄鹰处于【空猎】状态时，为场上队员提供的额外攻击力比例提升100%，每0.1秒获得的【鸟瞰值】提升100%，且每次发射【凌空炮】会使茉莉安-霄鹰的支援技最终伤害提升30%，持续15秒，最多可叠加至4层	5	2	0	{50,500}	22	{4,1,23,9,100}
305	2106		【獠牙信标】攻击时，茉莉安-霄鹰为其充能的【械武值】额外增加1，最多可额外增加3【械武值】	5	2	0	{50,500}	22	{4,1,23,9,100}
401	5101		角色射击时造成的最终伤害提升50%；当角色的射击伤害暴击时，立即减少自身所有主动技能1秒的使用间隔，每0.5s至多触发一次	5	1	0	{50,1800}	25	{4,1,23,9,100}
403	5104		角色造成射击伤害时有33.3%的概率附带一次自身攻击力33.3%的任意一种属性的赋能伤害，可以同时附带多种属性的赋能伤害，每种属性的赋能伤害概率独立计算	5	1	0	{50,1800}	25	{4,1,23,9,100}
404	5106		释放常规技和大招时，有概率不消耗能量也不进入cd	5	1	0	{50,1800}	25	{4,1,23,9,100}
405	5105		破坏值提升	5	1	0	{50,1800}	25	{4,1,23,9,100}
406	5102		角色使用主动技能造成伤害时附带一次范围8米爆炸，对范围内所有敌人造成自身攻击力50%的真实伤害，动能爆炸每造成10次伤害角色进入10秒过载状态，期间释放的所有技能冷却时间降低75%，且不消耗常规能量	5	1	0	{50,1800}	25	{4,1,23,9,100}
