	注释	血量	攻击	防御	耐力上限		暴击率（突破）	暴击加成（突破）	技能强度增幅	能量获取效率（突破）	指挥值(%)（突破）	血量百分比（突破）	技巧百分比	防御百分比（突破）			破盾加成（突破）
10061	达摩-浮木	{{1,100},{2,186},{3,274},{4,362},{5,451},{6,542},{7,633},{8,725},{9,818},{10,912},{11,1007},{12,1102},{13,1199},{14,1297},{15,1395},{16,1495}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,66},{12,72},{13,79},{14,85},{15,92},{16,98}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10062	底比斯-曜影		{{1,7},{2,13},{3,19},{4,26},{5,32},{6,38},{7,45},{8,51},{9,58},{10,65},{11,71},{12,78},{13,85},{14,92},{15,99},{16,106}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10063	底比斯-孔苏	{{1,101},{2,189},{3,278},{4,368},{5,459},{6,551},{7,644},{8,737},{9,832},{10,927},{11,1024},{12,1121},{13,1220},{14,1319},{15,1419},{16,1521}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10064	底比斯-穆特	{{1,101},{2,189},{3,278},{4,368},{5,459},{6,551},{7,644},{8,737},{9,832},{10,927},{11,1024},{12,1121},{13,1220},{14,1319},{15,1419},{16,1521}}	{{1,7},{2,13},{3,19},{4,26},{5,32},{6,38},{7,45},{8,51},{9,58},{10,65},{11,71},{12,78},{13,85},{14,92},{15,99},{16,106}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10065	芬尼亚-菲欧娜		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,62},{11,69},{12,75},{13,82},{14,89},{15,95},{16,102}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10066	芬尼亚-格兰特	{{1,101},{2,188},{3,276},{4,366},{5,456},{6,547},{7,639},{8,732},{9,826},{10,921},{11,1017},{12,1114},{13,1211},{14,1310},{15,1410},{16,1510}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10067	芬尼亚-辉钻	{{1,101},{2,188},{3,276},{4,366},{5,456},{6,547},{7,639},{8,732},{9,826},{10,921},{11,1017},{12,1114},{13,1211},{14,1310},{15,1410},{16,1510}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,62},{11,69},{12,75},{13,82},{14,89},{15,95},{16,102}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10068	摩伊拉-拉克西丝		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,39},{14,42},{15,45},{16,49}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10069	摩伊拉-贝拉	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,39},{14,42},{15,45},{16,49}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10070	摩伊拉-克萝伊	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10071	梵星-瓦卡斯帕		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,35},{7,41},{8,47},{9,53},{10,60},{11,66},{12,72},{13,78},{14,85},{15,91},{16,98}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10072	梵星-苏卡拉	{{1,99},{2,185},{3,272},{4,360},{5,449},{6,539},{7,629},{8,721},{9,814},{10,907},{11,1002},{12,1097},{13,1193},{14,1290},{15,1388},{16,1487}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10073	梵星-摩萨	{{1,99},{2,185},{3,272},{4,360},{5,449},{6,539},{7,629},{8,721},{9,814},{10,907},{11,1002},{12,1097},{13,1193},{14,1290},{15,1388},{16,1487}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,35},{7,41},{8,47},{9,53},{10,60},{11,66},{12,72},{13,78},{14,85},{15,91},{16,98}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
																	
10074	凯夫曼-哈尔芙		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,49},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,94},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10075	凯夫曼-雅尔哈康	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,730},{9,824},{10,919},{11,1014},{12,1111},{13,1209},{14,1307},{15,1406},{16,1507}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10076	凯夫曼-斯卡德肯	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,730},{9,824},{10,919},{11,1014},{12,1111},{13,1209},{14,1307},{15,1406},{16,1507}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,49},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,94},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
																	
																	
10077	领航者-季特		{{1,6},{2,12},{3,17},{4,23},{5,29},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,89},{16,95}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10078	领航者-雅里洛	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10079	领航者-玛拉	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}	{{1,6},{2,12},{3,17},{4,23},{5,29},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,89},{16,95}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10080	天岩户-岳间泽		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10081	天岩户-鹤一	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10082	天岩户-赤	{{1,100},{2,187},{3,275},{4,363},{5,453},{6,543},{7,635},{8,727},{9,821},{10,915},{11,1010},{12,1106},{13,1203},{14,1301},{15,1400},{16,1500}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
																	
10083	曙光-库米		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,61},{11,67},{12,73},{13,80},{14,86},{15,93},{16,99}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10084	曙光-奥列格	{{1,99},{2,185},{3,272},{4,359},{5,448},{6,538},{7,628},{8,720},{9,812},{10,905},{11,1000},{12,1095},{13,1191},{14,1288},{15,1386},{16,1485}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10085	曙光-斯维特拉娜	{{1,99},{2,185},{3,272},{4,359},{5,448},{6,538},{7,628},{8,720},{9,812},{10,905},{11,1000},{12,1095},{13,1191},{14,1288},{15,1386},{16,1485}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,61},{11,67},{12,73},{13,80},{14,86},{15,93},{16,99}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10086	水穗-武满		{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,63},{11,69},{12,76},{13,82},{14,89},{15,96},{16,103}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,28},{10,31},{11,34},{12,37},{13,41},{14,44},{15,47},{16,51}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10087	水穗-耳长	{{1,101},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,920},{11,1016},{12,1112},{13,1210},{14,1309},{15,1408},{16,1509}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,28},{10,31},{11,34},{12,37},{13,41},{14,44},{15,47},{16,51}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10088	水穗-布都	{{1,101},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,920},{11,1016},{12,1112},{13,1210},{14,1309},{15,1408},{16,1509}}	{{1,7},{2,13},{3,19},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,63},{11,69},{12,76},{13,82},{14,89},{15,96},{16,103}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10089	新叶-伊玛		{{1,7},{2,13},{3,18},{4,24},{5,30},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,74},{13,81},{14,88},{15,94},{16,101}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10090	新叶-伊甸	{{1,101},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,919},{11,1015},{12,1112},{13,1209},{14,1308},{15,1407},{16,1508}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10091	新叶-葛芬	{{1,101},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,919},{11,1015},{12,1112},{13,1209},{14,1308},{15,1407},{16,1508}}	{{1,7},{2,13},{3,18},{4,24},{5,30},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,74},{13,81},{14,88},{15,94},{16,101}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10092	明夷-赭毫		{{1,6},{2,12},{3,18},{4,23},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,65},{12,71},{13,77},{14,84},{15,90},{16,97}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,40},{14,43},{15,46},{16,49}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10093	明夷-玄铠	{{1,99},{2,185},{3,272},{4,360},{5,449},{6,539},{7,630},{8,722},{9,814},{10,908},{11,1002},{12,1098},{13,1194},{14,1291},{15,1390},{16,1489}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,36},{13,40},{14,43},{15,46},{16,49}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10094	明夷-金琅	{{1,99},{2,185},{3,272},{4,360},{5,449},{6,539},{7,630},{8,722},{9,814},{10,908},{11,1002},{12,1098},{13,1194},{14,1291},{15,1390},{16,1489}}	{{1,6},{2,12},{3,18},{4,23},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,65},{12,71},{13,77},{14,84},{15,90},{16,97}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10095	秋津-伏雷		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,67},{12,73},{13,79},{14,86},{15,92},{16,99}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10096	秋津-夷回	{{1,100},{2,186},{3,274},{4,363},{5,452},{6,542},{7,634},{8,726},{9,819},{10,913},{11,1008},{12,1104},{13,1201},{14,1299},{15,1397},{16,1497}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10097	秋津-末末	{{1,100},{2,186},{3,274},{4,363},{5,452},{6,542},{7,634},{8,726},{9,819},{10,913},{11,1008},{12,1104},{13,1201},{14,1299},{15,1397},{16,1497}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,67},{12,73},{13,79},{14,86},{15,92},{16,99}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10098	阿玛纳-阿赫莫特		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,4},{2,7},{3,10},{4,13},{5,16},{6,19},{7,23},{8,26},{9,29},{10,32},{11,36},{12,39},{13,43},{14,46},{15,50},{16,53}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10099	阿玛纳-卜内菲尔	{{1,105},{2,197},{3,289},{4,383},{5,477},{6,573},{7,669},{8,767},{9,865},{10,965},{11,1065},{12,1166},{13,1269},{14,1372},{15,1476},{16,1582}}		{{1,4},{2,7},{3,10},{4,13},{5,16},{6,19},{7,23},{8,26},{9,29},{10,32},{11,36},{12,39},{13,43},{14,46},{15,50},{16,53}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10100	阿玛纳-梅克塔腾	{{1,105},{2,197},{3,289},{4,383},{5,477},{6,573},{7,669},{8,767},{9,865},{10,965},{11,1065},{12,1166},{13,1269},{14,1372},{15,1476},{16,1582}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10101	心园-伊蓓		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}	{{1,3},{2,6},{3,9},{4,11},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,47}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10102	心园-苏诺	{{1,99},{2,184},{3,271},{4,358},{5,447},{6,536},{7,626},{8,717},{9,809},{10,902},{11,996},{12,1091},{13,1187},{14,1284},{15,1381},{16,1480}}		{{1,3},{2,6},{3,9},{4,11},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,47}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10103	心园-吉菲尔	{{1,99},{2,184},{3,271},{4,358},{5,447},{6,536},{7,626},{8,717},{9,809},{10,902},{11,996},{12,1091},{13,1187},{14,1284},{15,1381},{16,1480}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,55},{10,61},{11,67},{12,74},{13,80},{14,87},{15,93},{16,100}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10104	伊莱-安提		{{1,7},{2,13},{3,19},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10105	伊莱-斯特拉	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,919},{11,1015},{12,1112},{13,1209},{14,1308},{15,1407},{16,1507}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10106	伊莱-伊达米娅	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,919},{11,1015},{12,1112},{13,1209},{14,1308},{15,1407},{16,1507}}	{{1,7},{2,13},{3,19},{4,24},{5,31},{6,37},{7,43},{8,49},{9,55},{10,62},{11,68},{12,75},{13,81},{14,88},{15,94},{16,101}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10107	极光-维塔利娜		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,67},{12,73},{13,79},{14,86},{15,92},{16,99}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10108	极光-伊芙尼卡	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1094},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
10109	极光-格洛莉娅	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1094},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,67},{12,73},{13,79},{14,86},{15,92},{16,99}}											{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}			
10110	祖灵-穆希娜		{{1,7},{2,14},{3,20},{4,27},{5,33},{6,40},{7,47},{8,54},{9,61},{10,68},{11,75},{12,82},{13,89},{14,96},{15,104},{16,111}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10111	祖灵-斯卡特	{{1,101},{2,188},{3,277},{4,366},{5,457},{6,548},{7,640},{8,733},{9,827},{10,922},{11,1018},{12,1115},{13,1213},{14,1312},{15,1412},{16,1512}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
