ID	注释	试用角色ID	试用角色等级	试用角色突破次数	试用角色职级	试用角色脊椎等级	试用武器	试用后勤	皮肤ID	武器皮肤ID
103025	巴别塔-60级小金鱼	{1,13,1,1}	60	9	1	{0,0,9,9,0,9}	200074	{300175,300176,300177}	{7,13,1,1}	
103026	巴别塔-75级小金鱼	{1,13,1,1}	75	9	2	{0,0,9,9,9,9}	200075	{300178,300179,300180}	{7,13,1,1}	
103027	溯影试玩-溯影	{1,12,2,1}	80	45	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,1}	
103028	溯影试玩-冬至	{1,10,2,1}	80	45	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,1}	
103029	溯影试玩-肴	{1,10,1,1}	80	45	3	{9,9,9,9,9,9}	200011	{300046,300047,300048}	{7,10,1,1}	
103030	雨燕试玩-雨燕	{1,5,2,1}	80	45	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
103031	雨燕试玩-晴	{1,6,1,1}	80	45	3	{9,9,9,9,9,9}	200012	{300121,300122,300123}	{7,6,1,1}	
103032	雨燕试玩-肴	{1,10,1,1}	80	45	3	{9,9,9,9,9,9}	200011	{300046,300047,300048}	{7,10,1,1}	
103033	雨燕皮肤试玩	{1,5,2,1}	80	45	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,2}	
103034	冬至皮肤试玩	{1,10,2,1}	80	45	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,3}	
103035	恩雅皮肤试玩	{1,11,1,1}	80	45	3	{9,9,9,9,9,9}	200029	{300043,300044,300045}	{7,11,1,2}	
103036	溯影皮肤试玩	{1,12,2,1}	80	45	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,2}	
103037	云篆皮肤试玩	{1,14,2,1}	80	45	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,3}	
103038	肴皮肤试玩	{1,10,1,1}	80	45	3	{9,9,9,9,9,9}	200011	{300046,300047,300048}	{7,10,1,3}	
103039	皮肤试玩专用队友-星期三	{1,2,1,1}	80	45	3	{9,9,9,9,9,9}	200022	{300049,300050,300051}	{7,2,1,1}	
103040	皮肤试玩专用队友-芬妮	{1,8,1,1}	80	45	3	{9,9,9,9,9,9}	200004	{300064,300065,300066}	{7,8,1,1}	
103041	75级SR后勤缄默	{1,4,2,1}	75	0	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
103042	75级SR后勤狂猎	{1,2,2,1}	75	0	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,1}	
103043	75级SR后勤咎冠	{1,8,2,1}	75	0	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,1}	
103044	75级SR后勤辉夜	{1,1,2,1}	75	0	3	{9,9,9,9,9,9}	200033	{300124,300125,300126}	{7,1,2,1}	
103045	75级SR后勤雨燕	{1,5,2,1}	75	0	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
103046	DLC3-恩雅皮肤	{1,11,1,1}	80	27	3	{9,9,9,9,9,9}	200029	{300043,300044,300045}	{7,11,1,2}	
103047	DLC3-溯影皮肤	{1,12,2,1}	80	27	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,2}	
103048	DLC3-云篆皮肤	{1,14,2,1}	80	27	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,3}	
103049	DLC3-溯影	{1,12,2,1}	80	27	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,1}	
103050	狂猎皮	{1,2,2,1}	80	45	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,3}	
103051	咎冠皮	{1,8,2,1}	80	45	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,3}	
103052	苔丝皮	{1,17,1,1}	80	45	3	{9,9,9,9,9,9}	200077	{300184,300185,300186}	{7,17,1,2}	
103053	冬至皮	{1,10,2,1}	80	45	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,2}	
103054	苔丝	{1,17,1,1}	80	45	3	{9,9,9,9,9,9}	200077	{300184,300185,300186}	{7,17,1,1}	
103055	DLC4-苔丝	{1,17,1,1}	80	27	3	{9,9,9,9,9,9}	200077	{300184,300185,300186}	{7,17,1,1}	
103056	DLC4-云篆	{1,14,2,1}	80	27	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,1}	
103057	DLC4-藏锋	{1,6,2,1}	80	27	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,1}	
103058	DLC4-冬至	{1,10,2,1}	80	27	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,1}	
103059	DLC4-雨燕	{1,5,2,1}	80	27	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
103060	DLC4-恩雅	{1,11,1,1}	80	27	3	{9,9,9,9,9,9}	200029	{300043,300044,300045}	{7,11,1,1}	
103061	DLC4-妮塔	{1,3,1,1}	80	27	3	{9,9,9,9,9,9}	200004	{300064,300065,300066}	{7,3,1,1}	
103062	巴别塔-45级苔丝	{1,17,1,1}	45	9	1	{0,0,0,0,9,9}	200078	{300187,300188,300189}	{7,17,1,1}	
103063	巴别塔-60级苔丝	{1,17,1,1}	60	9	1	{0,0,9,0,9,9}	200079	{300190,300191,300192}	{7,17,1,1}	
103064	巴别塔-75级苔丝	{1,17,1,1}	75	9	2	{0,0,9,9,9,9}	200080	{300193,300194,300195}	{7,17,1,1}	
103065	巴别塔-45级云篆	{1,14,2,1}	45	9	1	{9,9,0,0,0,0}	200081	{300196,300197,300198}	{7,14,2,1}	
103066	巴别塔-60级云篆	{1,14,2,1}	60	9	1	{9,9,0,0,0,9}	200082	{300199,300200,300201}	{7,14,2,1}	
103067	巴别塔-75级云篆	{1,14,2,1}	75	9	2	{9,9,0,0,9,9}	200083	{300202,300203,300204}	{7,14,2,1}	
103068	巴别塔-45级狂猎	{1,2,2,1}	45	9	1	{9,9,0,0,0,0}	200084	{300205,300206,300207}	{7,2,2,1}	
103069	巴别塔-60级狂猎	{1,2,2,1}	60	9	1	{9,9,0,0,9,0}	200085	{300208,300209,300210}	{7,2,2,1}	
103070	巴别塔-75级狂猎	{1,2,2,1}	75	9	2	{9,9,0,0,9,9}	200086	{300211,300212,300213}	{7,2,2,1}	
103071	皮肤试玩-凯西娅皮肤	{1,15,1,1}	80	45	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,2}	
103072	皮肤试玩-缄默芭蕾	{1,4,2,1}	80	45	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,3}	
103073	皮肤试玩-藏锋BP	{1,6,2,1}	80	45	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,3}	
103074	皮肤试玩-芬妮战损	{1,8,1,1}	80	45	3	{9,9,9,9,9,9}	200004	{300064,300065,300066}	{7,8,1,3}	
103075	试玩-凯西娅	{1,15,1,1}	80	45	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,1}	
103076	试玩-辉夜	{1,1,2,1}	80	45	3	{9,9,9,9,9,9}	200033	{300124,300125,300126}	{7,1,2,1}	
103077	试玩-肴	{1,10,1,1}	80	45	3	{9,9,9,9,9,9}	200011	{300046,300047,300048}	{7,10,1,1}	
103078	主线-凯西娅	{1,15,1,1}	80	27	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,1}	
103079	狂猎	{1,2,2,1}	80	45	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,2}	
103080	试玩-辉夜国风皮	{1,1,2,1}	80	45	3	{9,9,9,9,9,9}	200033	{300040,300041,300042}	{7,1,2,3}	
103081	试玩-伊切尔（暂时）	{1,16,1,1}	80	45	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,1}	
103082	皮肤试玩-咎冠	{1,8,2,1}	80	45	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,5}	{17,3,1,1}
103083	皮肤试玩-伊切尔（暂时）	{1,16,1,1}	80	45	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,2}	
103084	皮肤试玩-狂猎	{1,2,2,1}	80	45	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,4}	
103085	巴别塔DLC6-45级伊切尔	{1,16,1,1}	45	9	1	{0,0,0,0,9,9}	200133	{300307,300308,300309}	{7,16,1,1}	
103086	巴别塔DLC6-60级伊切尔	{1,16,1,1}	60	9	1	{0,0,9,0,9,9}	200134	{300310,300311,300312}	{7,16,1,1}	
103087	巴别塔DLC6-75级伊切尔	{1,16,1,1}	75	9	2	{0,0,9,9,9,9}	200135	{300313,300314,300315}	{7,16,1,1}	
103088	巴别塔DLC6-45级溯影	{1,12,2,1}	45	9	1	{0,0,9,9,0,0}	200136	{300316,300317,300318}	{7,12,2,1}	
103089	巴别塔DLC6-60级溯影	{1,12,2,1}	60	9	1	{0,0,9,9,9,0}	200137	{300319,300320,300321}	{7,12,2,1}	
103090	巴别塔DLC6-75级溯影	{1,12,2,1}	75	9	2	{0,0,9,9,9,9}	200138	{300322,300323,300324}	{7,12,2,1}	
103091	巴别塔DLC6-45级藏锋	{1,6,2,1}	45	9	1	{9,9,0,0,0,0}	200067	{300154,300155,300156}	{7,6,2,1}	
103092	巴别塔DLC6-60级藏锋	{1,6,2,1}	60	9	1	{9,9,0,0,0,9}	200068	{300157,300158,300159}	{7,6,2,1}	
103093	巴别塔DLC6-75级藏锋	{1,6,2,1}	75	9	2	{9,9,0,0,9,9}	200069	{300160,300161,300162}	{7,6,2,1}	
103094	满级试玩悖谬	{1,7,2,1}	80	45	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,1}	
103095	满级试玩羽蜕	{1,11,2,1}	80	45	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,1}	
103096	满级试玩狂猎	{1,2,2,1}	80	45	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,1}	
103097	悖谬皮肤试玩	{1,7,2,1}	80	45	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,2}	
103098	羽蜕皮肤试玩	{1,11,2,1}	80	45	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,2}	
103099	苔丝BP皮肤	{1,17,1,1}	80	45	3	{9,9,9,9,9,9}	200077	{300184,300185,300186}	{7,17,1,4}	
103100	试用瞬刻	{1,13,2,1}	80	45	3	{9,9,9,9,9,9}	200142	{300334,300335,300336}	{7,13,2,1}	
103101	瞬刻皮肤试用	{1,13,2,1}	80	45	3	{9,9,9,9,9,9}	200142	{300334,300335,300336}	{7,13,2,2}	
103102	凯西娅皮肤试用	{1,15,1,1}	80	45	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,5}	
103103	溯影皮肤试用	{1,12,2,1}	80	45	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,3}	
103104	芙提雅	{1,4,1,1}	80	45	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,1,4}	
103105	巴别塔DLC8-45级瞬刻	{1,13,2,1}	45	9	1	{0,0,0,0,9,9}	200143	{300337,300338,300339}	{7,13,2,1}	
103106	巴别塔DLC8-60级瞬刻	{1,13,2,1}	60	9	1	{0,0,9,0,9,9}	200144	{300340,300341,300342}	{7,13,2,1}	
103107	巴别塔DLC8-75级瞬刻	{1,13,2,1}	75	9	2	{0,0,9,9,9,9}	200145	{300343,300344,300345}	{7,13,2,1}	
103108	巴别塔DLC8-45级凯西娅	{1,15,1,1}	45	9	1	{9,9,0,0,0,0}	200146	{300346,300347,300348}	{7,15,1,1}	
103109	巴别塔DLC8-60级凯西娅	{1,15,1,1}	60	9	1	{9,9,0,0,0,9}	200147	{300349,300350,300351}	{7,15,1,1}	
103110	巴别塔DLC8-75级凯西娅	{1,15,1,1}	75	9	2	{9,9,0,0,9,9}	200148	{300352,300353,300354}	{7,15,1,1}	
103111	巴别塔DLC8-45级伊切尔	{1,16,1,1}	45	9	1	{0,0,0,0,9,9}	200133	{300307,300308,300309}	{7,16,1,1}	
103112	巴别塔DLC8-60级伊切尔	{1,16,1,1}	60	9	1	{0,0,9,0,9,9}	200134	{300310,300311,300312}	{7,16,1,1}	
103113	巴别塔DLC8-75级伊切尔	{1,16,1,1}	75	9	2	{0,0,9,9,9,9}	200135	{300313,300314,300315}	{7,16,1,1}	
103114	无限之视试用	{1,2,3,1}	80	45	3	{9,9,9,9,9,9}	200149	{300355,300356,300357}	{7,2,3,1}	
103115	辉耀试玩	{1,8,3,1}	80	45	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,1}	
103116	试玩队友咎冠	{1,8,2,1}	80	45	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,1}	
103117	无限之视恒约	{1,2,3,1}	80	45	3	{9,9,9,9,9,9}	200149	{300355,300356,300357}	{7,2,3,2}	{17,7,1,1}
103118	辉耀恒约	{1,8,3,1}	80	45	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,2}	{17,5,1,1}
103119	雨燕	{1,5,2,1}	80	45	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,3}	
103120	星期三宇航皮PLUS	{1,2,1,1}	80	45	3	{9,9,9,9,9,9}	200022	{300049,300050,300051}	{7,2,1,3}	
103121	172BP	{1,16,1,1}	80	45	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,3}	
103122	迷宫-雨燕	{1,5,2,1}	80	27	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
103123	迷宫-狂猎	{1,2,2,1}	80	27	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,1}	
103124	迷宫-缄默	{1,4,2,1}	80	27	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
103125	迷宫-冬至	{1,10,2,1}	80	27	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,1}	
103126	迷宫-咎冠	{1,8,2,1}	80	27	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,1}	
103127	火线突击-芙提雅-缄默	{1,4,2,1}	80	27	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
103128	火线突击-里芙-狂猎	{1,2,2,1}	80	27	3	{9,9,9,9,9,9}	200003	{300040,300041,300042}	{7,2,2,1}	
103129	火线突击-云篆	{1,14,2,1}	80	27	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,1}	
103130	火线突击-伊切尔	{1,16,1,1}	80	27	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,1}	
103131	火线突击-咎冠	{1,8,2,1}	80	27	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,1}	
103132	试玩薇蒂雅	{1,18,1,1}	80	45	3	{9,9,9,9,9,9}	200151	{300361,300362,300363}	{7,18,1,1}	
103133	试玩薇蒂雅-皮肤	{1,18,1,1}	80	45	3	{9,9,9,9,9,9}	200151	{300361,300362,300363}	{7,18,1,2}	
103134	云篆	{1,14,2,1}	80	45	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,4}	
103135	安卡希雅	{1,1,1,1}	80	45	3	{9,9,9,9,9,9}	200012	{300127,300128,300129}	{7,1,1,3}	
103136	羽蜕武器皮肤试玩	{1,11,2,1}	80	45	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,2}	{17,4,1,1}
103137	朝翼	{1,15,2,1}	80	45	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,1}	
103138	幽潮	{1,5,3,1}	80	45	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,1}	
103139	朝翼泳装	{1,15,2,1}	80	45	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,2}	{17,5,2,1}
103140	幽潮泳装	{1,5,3,1}	80	45	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,2}	{17,3,2,1}
103141	悖谬泳装	{1,7,2,1}	80	45	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,4}	
103142	羽蜕泳装	{1,11,2,1}	80	45	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,3}	
103143	迷宫-云篆	{1,14,2,1}	80	27	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,1}	
103144	迷宫-藏锋	{1,6,2,1}	80	27	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,1}	
103145	迷宫-伊切尔	{1,16,1,1}	80	27	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,1}	
103146	迷宫-蓝闪	{1,15,1,1}	80	27	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,1}	
103147	迷宫-悖谬	{1,7,2,1}	80	27	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,1}	
103148	驰掣试玩	{1,4,3,1}	80	45	3	{9,9,9,9,9,9}	200154	{300370,300371,300372}	{7,4,3,1}	
103149	驰掣皮肤试玩	{1,4,3,1}	80	45	3	{9,9,9,9,9,9}	200154	{300370,300371,300372}	{7,4,3,2}	{17,2,2,1}
103150	瞬刻皮肤试玩	{1,13,2,1}	80	45	3	{9,9,9,9,9,9}	200142	{300334,300335,300336}	{7,13,2,4}	{17,3,3,1}
103151	辰星皮肤试玩	{1,14,1,1}	80	45	3	{9,9,9,9,9,9}	200013	{300049,300050,300051}	{7,14,1,2}	
103152	羽蜕皮肤试玩	{1,11,2,1}	80	45	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,4}	
103153	口袋-蓝闪	{1,15,1,1}	80	9	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,1}	
103154	口袋-云篆	{1,14,2,1}	80	9	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,1}	
103155	口袋-伊切尔	{1,16,1,1}	80	9	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,1}	
103156	口袋-辉耀	{1,8,3,1}	80	9	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,1}	
103157	口袋-羽蜕	{1,11,2,1}	80	9	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,1}	
103158	卜卜	{1,20,1,1}	80	45	3	{9,9,9,9,9,9}	200155	{300373,300374,300375}	{7,20,1,1}	
103159	172-蓝白	{1,16,1,1}	80	45	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,4}	{17,3,4,1}
103160	悖谬-旗袍	{1,7,2,1}	80	45	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,5}	{17,1,1,1}
103161	朝翼-新皮肤	{1,15,2,1}	80	45	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,3}	
103162	琼弦试玩	{1,14,3,1}	80	45	3	{9,9,9,9,9,9}	200156	{300376,300377,300378}	{7,14,3,1}	
103163	夜天光试玩	{1,10,3,1}	80	45	3	{9,9,9,9,9,9}	200157	{300379,300380,300381}	{7,10,3,1}	
103164	琼弦恒约	{1,14,3,1}	80	45	3	{9,9,9,9,9,9}	200156	{300376,300377,300378}	{7,14,3,2}	{17,8,1,1}
103165	夜天光恒约	{1,10,3,1}	80	45	3	{9,9,9,9,9,9}	200157	{300379,300380,300381}	{7,10,3,2}	{17,1,2,1}
103166	辉耀舞龙	{1,8,3,1}	80	45	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,3}	{17,5,3,1}
103167	瞬刻BP	{1,13,2,1}	80	45	3	{9,9,9,9,9,9}	200142	{300334,300335,300336}	{7,13,2,5}	
103168	验证战场-羽蜕	{1,11,2,1}	70	0	3	{9,9,9,9,9,9}	200158	{300328,300329,300330}	{7,11,2,1}	
103169	验证战场-琼弦	{1,14,3,1}	70	0	3	{9,9,9,9,9,9}	200159	{300376,300377,300378}	{7,14,3,1}	
103170	验证战场-瞬刻	{1,13,2,1}	70	0	3	{9,9,9,9,9,9}	200160	{300334,300335,300336}	{7,13,2,1}	
103171	验证战场-伊切尔	{1,16,1,1}	70	0	3	{9,9,9,9,9,9}	200161	{300304,300305,300306}	{7,16,1,1}	
103172	验证战场-夜天光	{1,10,3,1}	70	0	3	{9,9,9,9,9,9}	200162	{300379,300380,300381}	{7,10,3,1}	
103173	验证战场-幽潮	{1,5,3,1}	70	0	3	{9,9,9,9,9,9}	200163	{300364,300365,300366}	{7,5,3,1}	
103174	澜风试玩	{1,11,3,1}	80	45	3	{9,9,9,9,9,9}	200164	{300382,300383,300384}	{7,11,3,1}	
103175	澜风皮肤试玩	{1,11,3,1}	80	45	3	{9,9,9,9,9,9}	200164	{300382,300383,300384}	{7,11,3,2}	{17,3,5,1}
103176	幽潮皮肤试玩	{1,5,3,1}	80	45	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,3}	{17,3,6,1}
103177	薇蒂雅皮肤试玩	{1,18,1,1}	80	45	3	{9,9,9,9,9,9}	200151	{300361,300362,300363}	{7,18,1,3}	{17,4,2,1}
103178	驰掣皮肤试玩	{1,4,3,1}	80	45	3	{9,9,9,9,9,9}	200154	{300370,300371,300372}	{7,4,3,3}	
103179	星期三	{1,2,1,1}	80	45	3	{9,9,9,9,9,9}	200022	{300049,300050,300051}	{7,2,1,4}	
103180	禁区协议-蓝闪	{1,15,1,1}	80	0	3	{9,9,9,9,9,9}	200165	{300214,300215,300216}	{7,15,1,1}	
103181	禁区协议-伊切尔	{1,16,1,1}	80	0	3	{9,9,9,9,9,9}	200166	{300304,300305,300306}	{7,16,1,1}	
103182	禁区协议-云篆	{1,14,2,1}	80	0	3	{9,9,9,9,9,9}	200167	{300097,300098,300099}	{7,14,2,1}	
103183	禁区协议-悖谬	{1,7,2,1}	80	0	3	{9,9,9,9,9,9}	200168	{300325,300326,300327}	{7,7,2,1}	
103184	禁区协议-咎冠	{1,8,2,1}	80	0	3	{9,9,9,9,9,9}	200169	{300139,300140,300141}	{7,8,2,1}	
103185	口袋-辉夜	{1,1,2,1}	80	9	3	{9,9,9,9,9,9}	200033	{300124,300125,300126}	{7,1,2,1}	
103186	口袋-龙舌兰	{1,18,1,1}	80	9	3	{9,9,9,9,9,9}	200151	{300361,300362,300363}	{7,18,1,1}	
103187	口袋-藏锋	{1,6,2,1}	80	9	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,1}	
103188	奈莉德试玩	{1,21,1,1}	80	45	3	{9,9,9,9,9,9}	200170	{300385,300386,300387}	{7,21,1,1}	
103189	奈莉德皮肤试玩	{1,21,1,1}	80	45	3	{9,9,9,9,9,9}	200170	{300385,300386,300387}	{7,21,1,2}	{17,5,5,1}
103190	？皮肤试玩	{1,3,2,1}	80	4	3	{9,9,9,9,9,9}	200171	{300388,300389,300390}	{7,3,2,2}	{17,3,7,1}
103191	朝翼-新皮肤	{1,15,2,1}	80	45	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,4}	{17,5,4,1}
103192	卜卜-皮肤	{1,20,1,1}	80	45	3	{9,9,9,9,9,9}	200155	{300373,300374,300375}	{7,20,1,2}	{17,4,3,1}
103193	冬至-皮肤	{1,10,2,1}	80	45	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,4}	
103194	辉耀-皮肤	{1,8,3,1}	80	45	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,4}	
103195	验证战场-卜卜	{1,20,1,1}	70	0	3	{9,9,9,9,9,9}	200172	{300373,300374,300375}	{7,20,1,1}	
103196	天鹅座试玩	{1,18,2,1}	80	45	3	{9,9,9,9,9,9}	200173	{300391,300392,300393}	{7,18,2,1}	
103197	天鹅座-皮肤试玩	{1,18,2,1}	80	45	3	{9,9,9,9,9,9}	200173	{300391,300392,300393}	{7,18,2,2}	{17,2,3,1}
103198	琼弦皮肤试玩	{1,14,3,1}	80	45	3	{9,9,9,9,9,9}	200156	{300376,300377,300378}	{7,14,3,3}	{17,8,2,1}
103199	驰掣皮肤试玩	{1,4,3,1}	80	45	3	{9,9,9,9,9,9}	200154	{300370,300371,300372}	{7,4,3,4}	{17,2,4,1}
103200	无限之视BP	{1,2,3,1}	80	45	3	{9,9,9,9,9,9}	200149	{300355,300356,300357}	{7,2,3,3}	
103201	瑟瑞斯皮肤	{1,13,1,1}	80	45	3	{9,9,9,9,9,9}	200004	{300121,300122,300123}	{7,13,1,3}	
103202	朝翼	{1,15,2,1}	80	0	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,1}	
103203	禁区协议-龙舌兰	{1,18,1,1}	80	0	3	{9,9,9,9,9,9}	200174	{300361,300362,300363}	{7,18,1,1}	
103204	禁区协议-藏锋	{1,6,2,1}	80	0	3	{9,9,9,9,9,9}	200175	{300151,300152,300153}	{7,6,2,1}	
103205	禁区协议-辉耀	{1,8,3,1}	80	0	3	{9,9,9,9,9,9}	200176	{300358,300359,300360}	{7,8,3,1}	
103206	禁区协议-朝翼	{1,15,2,1}	80	0	3	{9,9,9,9,9,9}	200177	{300367,300368,300369}	{7,15,2,1}	
103207	禁区协议-驰掣	{1,4,3,1}	80	0	3	{9,9,9,9,9,9}	200178	{300370,300371,300372}	{7,4,3,1}	
103208	菜园-卜卜	{1,20,1,1}	80	0	3	{9,9,9,9,9,9}	200179	{300373,300374,300375}	{7,20,1,1}	
103209	菜园-奈莉德	{1,21,1,1}	80	0	3	{9,9,9,9,9,9}	200180	{300385,300386,300387}	{7,21,1,1}	
103210	狂诗试玩	{1,15,3,1}	80	45	3	{9,9,9,9,9,9}	200181	{300394,300395,300396}	{7,15,3,1}	
103211	绮幻试玩	{1,17,2,1}	80	45	3	{9,9,9,9,9,9}	200182	{300397,300398,300399}	{7,17,2,1}	
103212	狂诗恒约	{1,15,3,1}	80	45	3	{9,9,9,9,9,9}	200181	{300394,300395,300396}	{7,15,3,2}	{17,9,1,1}
103213	绮幻恒约	{1,17,2,1}	80	45	3	{9,9,9,9,9,9}	200182	{300397,300398,300399}	{7,17,2,2}	{17,5,6,1}
103214	卜卜畅饮狂欢	{1,20,1,1}	80	45	3	{9,9,9,9,9,9}	200155	{300373,300374,300375}	{7,20,1,3}	{17,4,4,1}
103215	澜风秘密侍奉	{1,11,3,1}	80	45	3	{9,9,9,9,9,9}	200164	{300382,300383,300384}	{7,11,3,3}	{17,3,8,1}
103216	幽潮甜蜜困扰	{1,5,3,1}	80	45	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,4}	
103217	克罗瑞娜	{1,22,1,1}	80	45	3	{9,9,9,9,9,9}	200183	{300400,300401,300402}	{7,22,1,1}	
103218	克罗瑞娜皎月幽祈	{1,22,1,1}	80	45	3	{9,9,9,9,9,9}	200183	{300400,300401,300402}	{7,22,1,2}	{17,1,4,1}
103219	悸响轻罗曼舞	{1,3,2,1}	80	4	3	{9,9,9,9,9,9}	200171	{300388,300389,300390}	{7,3,2,3}	{17,3,9,1}
103220	夜天光共待曙明	{1,10,3,1}	80	45	3	{9,9,9,9,9,9}	200157	{300379,300380,300381}	{7,10,3,3}	{17,1,3,1}
103221	卜卜雨沁轻衫	{1,20,1,1}	80	45	3	{9,9,9,9,9,9}	200155	{300373,300374,300375}	{7,20,1,4}	
