id	注释	试用角色位置1	试用角色位置2	试用角色位置3	阵容位置开关	自身角色池开关（如果要让玩家使用试用角色的所对应自己购买的皮肤，在试用角色ID后增加对应角色的GDPL）	自动上阵	试用上限	可用武器类型	不可用武器类型	禁用角色		
30030	伊切尔	{103039}	{103081}	{103040}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30031	商城琴诺悖谬4星  girl007a_02		{103097}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30032	商城恩雅羽蜕5星   girl011a_02		{103098}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30033	BP苔丝3星   girl017_04		{103099}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30034	恩雅-羽蜕	{103096}	{103095}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30035	琴诺-悖谬	{103076}	{103094}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30036	瑟瑞斯换装试玩	{103076}	{103100}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30037	瑟瑞斯换装4星皮		{103101}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30038	凯茜娅5星皮		{103102}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30039	BP猫汐尔3星皮		{103103}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30040	战损芙提雅3星皮		{103104}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30041	里芙新换装试玩	{103076}	{103114}	{103077}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30042	芬妮新换装试玩	{103116}	{103115}	{103077}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30043	里芙新换装恒约5星		{103117}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30044	芬妮新换装恒约5星		{103118}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30045	雨燕礼服4星		{103119}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30046	战损里芙宇航服3星皮		{103120}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30047	BP伊切尔3星皮		{103121}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30048	龙舌兰试玩	{103076}	{103132}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30049	龙舌兰5星翠翎倩姿		{103133}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30050	辰星云篆4星皮		{103134}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30051	安卡希雅3星皮		{103135}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30052	羽蜕武器皮肤试玩		{103136}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30053	凯茜娅朝翼试玩	{103076}	{103137}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30054	茉莉安换装试玩	{103011}	{103138}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30055	凯茜娅换装泳装5星皮		{103139}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30056	茉莉安换装泳装5星皮		{103140}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30057	恩雅羽蜕泳装5星皮		{103142}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30058	琴诺泳装3星皮		{103141}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30059	芙提雅	{103076}	{103148}	{103077}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30060	商城芙提雅毛绒派对4星  girl004b_02		{103149}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30061	商城瑟瑞斯斑斓水色4星   girl013a_04		{103150}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30062	sp辰星不灭守望3星 girl014_02		{103151}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30063	恩雅羽蜕专属教练3星 girl011a_04		{103152}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30064	卜卜试玩	{103076}	{103158}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30065	商城伊切尔-蓝白裙5星		{103159}	{103039}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30066	商城琴诺悖谬-旗袍4星		{103160}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30067	凯茜娅朝翼-钢管舞3星		{103161}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30068	商城辰星-琼弦恒约5星		{103164}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30069	商城肴-夜天光恒约5星		{103165}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30070	商城辉耀大舞龙4星		{103166}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30071	瑟瑞斯瞬刻BP3星		{103167}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30072	辰星-琼弦试玩	{103076}	{103162}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30073	肴-夜天光试玩	{103162}	{103163}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30074	恩雅-澜风试玩	{103076}	{103174}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30075	商城恩雅幻魇修女5星		{103175}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30076	商城茉莉安幽潮兔娘5星		{103176}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30077	商城薇蒂雅舞娘皮肤		{103177}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30078	芙提雅驰掣bp皮肤3星		{103178}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30079	里芙SR战损皮肤3星		{103179}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30080	奈莉德-冥河代理人试玩	{103076}	{103188}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30081	商城奈莉德晨曦统令5星		{103189}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30082	商城妮塔林间潋滟5星		{103190}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30083	商城朝翼绮锦流韵皮肤		{103191}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30084	商城卜卜元气愈养皮肤5星		{103192}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30085	冬至累充皮暧馨侍奉		{103193}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30086	辉耀BP皮疾速耀星		{103194}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30087	薇蒂雅-天鹅座试玩	{103162}	{103196}	{103163}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30088	薇蒂雅天鹅座云端之邀5星		{103197}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30089	辰星琼弦慵倚花阴5星		{103198}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30090	芙提雅驰掣泳池护卫5星		{103199}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30091	BP里芙无限之视引风飒意		{103200}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30092	小金鱼不灭恒忆		{103201}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30093	凯茜娅-狂诗试玩	{103081}	{103210}	{103196}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30094	苔丝-绮幻试玩	{103081}	{103211}	{103210}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30095	凯茜娅花嫁皮肤5星		{103212}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30096	苔丝花嫁皮肤5星		{103213}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30097	卜卜逆兔女郎皮肤5星		{103214}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30098	恩雅澜风女仆装		{103215}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30099	茉莉安幽潮bp		{103216}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30100	克罗瑞娜-绯月试玩	{103081}	{103217}	{103196}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30101	克罗瑞娜皮肤-皎月幽祈		{103218}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30102	悸响轻罗曼舞皮肤		{103219}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30103	夜天光共待曙明皮肤		{103220}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30104	小天师雨沁轻衫BP		{103221}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30105	猫汐尔·不灭灵影战损		{103222}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30106	芬妮-澄意试玩	{103196}	{103223}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30107	瑟瑞斯-悠游试玩	{103196}	{103224}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30108	芬妮澄意泳装-夕晖蜜约		{103225}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30109	瑟瑞斯悠游泳装-碧波浮游		{103226}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30110	薇蒂雅泳装-海境鲛梦		{103227}	{103054}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30111	奈莉德-泳装-热沙激浪		{103228}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30112	辰星琼弦BP皮肤-柔倚身畔		{103229}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30113	米娅试玩	{103196}	{103235}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30114	米娅-胶衣皮肤		{103236}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30115	晴换装2-巫女皮肤		{103237}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30116	凯茜娅精灵皮肤		{103238}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30117	肴-bp		{103239}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30118	卜卜换装	{103196}	{103240}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30119	卜卜魔法少女		{103241}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30120	猫汐尔修女皮肤		{103242}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30121	芬妮澄意驯鹿皮肤		{103243}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30122	恩雅澜风bp		{103244}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30123	晴战损皮肤		{103245}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30124	安卡希雅花嫁girl001b_02		{103248}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30125	茉莉安花嫁girl005c_02		{103249}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30126	瑟瑞斯汉服girl013b_03		{103250}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30127	米娅旗袍皮肤girl023_03		{103251}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30128	奈莉德bp皮肤girl021_04		{103252}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30129	茉莉安-霄鹰	{103246}	{103247}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30130	角色试玩_新安卡		{103246}		{0,1,0}	{0,0,0}	{1,1,1}	1					
30131	胧嫣-瑞狐		{103253}	{103211}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30132	胧嫣-瑞狐-珠光曳影		{103254}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30133	芙提雅-炬芯-国主驾到		{103255}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30134	晴-霆光-剑意逍遥		{103256}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30135	芬妮-澄意-轻纱暖寐		{103257}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30136	恩雅-不灭柔情		{103258}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30137	3.7里芙	{103196}	{103261}	{103081}	{1,1,1}	{0,0,0}	{1,1,1}	1											
30138	3.7里芙醉吻薰风		{103262}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1											
30139	3.7肴共寝月漪		{103263}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1											
30140	霄鹰缚锁密令		{103264}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1											
30141	灵鉴锦缀珍馐		{103265}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1											
30142	绮幻BP清夏畅行		{103266}	{103081}	{0,1,1}	{0,0,0}	{1,1,1}	1

40001	dlc3主线Act1	{103047}	{103046}	{103048}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40002	dlc3主线Act2	{103047}	{103046}	{103048}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40003	dlc3主线Act3		{103046}		{0,1,0}	{0,0,0}	{1,1,1}	1					
40004	dlc3主线Act4	{103047}	{103046}	{103048}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40005	dlc3主线Act5	{103047}	{103046}	{103048}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40006	dlc3主线Act6	{103046}	{103049}	{103048}	{1,1,1}	{1,0,1}	{1,1,1}	3					
40007	dlc3主线Act7	{103046}	{103049}	{103048}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40008	dlc3主线Act8	{103046}	{103049}	{103048}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40071	dlc7主线Act1	{101065}	{101066}	{103078}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40072	dlc7主线Act2	{103078}	{101066}	{101017}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40073	dlc7主线Act3	{103078}	{101065}	{101017}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40074	dlc7主线Act4	{103078}	{101066}	{101017}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40075	dlc7主线Act5	{103078}	{101066}	{101017}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40076	dlc7主线Act6	{103078}	{101066}	{101017}	{1,1,1}	{1,1,1}	{1,1,1}	3					
40077	dlc7主线Act7		{101065}		{0,1,0}	{0,0,0}	{0,1,0}	1					
40078	dlc7主线Act8		{101067}		{1,1,1}	{1,0,1}	{0,1,0}	1					
8201	DLC11主线-Act1	{101075,{1,7,2,1}}	{101081,{1,5,3,1}}	{101077,{1,12,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8202	DLC11主线-Act2	{101078,{1,11,2,1}}	{101079,{1,14,2,1}}	{101080,{1,15,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8203	DLC11主线-Act3	{101081,{1,5,3,1}}	{101075,{1,7,2,1}}	{101077,{1,12,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8204	DLC11主线-Act4	{101080,{1,15,2,1}}	{101078,{1,11,2,1}}	{101079,{1,14,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8205	DLC11主线-Act5	{101081,{1,5,3,1}}	{101077,{1,12,2,1}}	{101075,{1,7,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8206	DLC11主线-Act6	{101079,{1,14,2,1}}	{101080,{1,15,2,1}}	{101078,{1,11,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8207	DLC11主线-Act7	{101075,{1,7,2,1}}	{101081,{1,5,3,1}}	{101078,{1,11,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8208	DLC11主线-Act8	{101075,{1,7,2,1}}	{101080,{1,15,2,1}}	{101078,{1,11,2,1}}	{1,1,1}	{1,1,1}	{1,1,1}	3					
8209	DLC11主线-Act9	{101081,{1,5,3,1}}	{101080,{1,15,2,1}}	{101078,{1,11,2,1}}	{1,1,1}	{1,0,1}	{1,1,1}	3					
													
8406	七日派对1期-茉莉安·幽潮		{100034,{1,5,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
8407	七日派对1期-茉莉安·幽潮		{100034,{1,5,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
8408	七日派对1期-瞬刻		{100029,{1,13,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
8409	七日派对1期-瞬刻		{100029,{1,13,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
8410	七日派对1期-芙提雅		{100035,{1,4,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
8411	七日派对1期-芙提雅		{100035,{1,4,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
8412	七日派对1期-芙提雅		{100035,{1,4,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
													
7003	七日派对3期-恩雅澜风		{100039,{1,11,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7004	七日派对3期-恩雅羽蜕		{100028,{1,11,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7005	脉冲连袭一期-教学关朝翼		{103202}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7006	七日派对4期-不予显示		{100001,{1,1,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7007	七日派对4期-辉夜		{101062,{1,1,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7008	七日派对4期-藏锋		{100022,{1,6,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7009	七日派对4期-大金鱼		{100029,{1,13,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7010	七日派对4期-琼弦		{100037,{1,14,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7011	七日派对4期-天鹅座		{100041,{1,18,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7014	七日派对5期-幽潮		{100034,{1,5,3,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7015	七日派对5期-藏锋		{100022,{1,6,2,1}}	{1,6,2,1}	{0,1,0}	{0,0,0}	{1,1,1}	1					
7016	七日派对5期-大金鱼		{100029,{1,13,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7017	七日派对5期-大金鱼		{100029,{1,13,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7018	七日派对5期-安卡希雅		{100001,{1,1,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7019	七日派对5期-安卡希雅		{100001,{1,1,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7020	七日派对5期-安卡希雅		{100001,{1,1,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7021	七日派对6期-不予显示		{100001,{1,1,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7022	七日派对6期-藏锋		{100022,{1,6,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7023	七日派对6期-恩雅羽蜕		{100028,{1,11,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
7024	七日派对6期-辉夜		{101062,{1,1,2,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
													
8500	DLC26主线-Act1	{101085}	{101086}		{1,1,1}	{1,0,1}	{1,1,0}	2					
8501	DLC26主线-Act2	{101085}	{101086}		{1,1,1}	{1,0,1}	{1,1,0}	2					
8502	DLC26主线-Act3		{101086}		{1,1,1}	{1,0,1}	{0,1,0}	1					
8503	DLC26主线-Act4		{101086}		{1,1,1}	{1,0,1}	{0,1,0}	1					
8504	DLC26主线-Act5		{101086}		{1,1,1}	{1,0,1}	{0,1,0}	1					
8505	DLC26主线-Act6		{101086}		{1,1,1}	{1,0,1}	{0,1,0}	1					
8506	DLC26主线-Act7		{101086}		{1,1,1}	{1,0,1}	{0,1,0}	1					
8507	DLC26主线-Act8	{101085}	{101086}		{1,1,1}	{1,0,1}	{1,1,0}	2					
													
10121	DLC32新序章-Act1		{100030}		{0,1,0}	{1,0,1}	{0,1,0}	3					
10122	DLC32新序章-Act2	{101070}	{101071}		{1,1,0}	{0,0,1}	{1,1,0}	3					
10123	DLC32新序章-Act3	{101071}	{101070}		{1,1,0}	{0,0,1}	{1,1,0}	3					
10124	DLC32新序章-Act4	{101071}	{101070}		{1,1,0}	{0,0,1}	{1,1,0}	3					
													
11601	DLC32主线-Act1		{101117}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11602	DLC32主线-Act2		{101098}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11603	DLC32主线-Act3		{101098}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11604	DLC32主线-Act4		{101099}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11605	DLC32主线-Act5		{101100}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11606	DLC32主线-Act6		{101098}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11607	DLC32主线-Act7		{101098}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11608	DLC32主线-Act8		{101100}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11609	DLC32主线-Act9		{101098}		{0,1,0}	{0,0,0}	{0,1,0}	1					
													
21421	新历程dlc25主线14-1上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21422	新历程dlc25主线14-2上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21423	新历程dlc25主线14-3上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21424	新历程dlc25主线14-4上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21425	新历程dlc25主线14-5上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21426	新历程dlc25主线14-6上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21427	新历程dlc25主线14-7上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21428	新历程dlc25主线14-8上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
21429	新历程dlc25主线14-9上	{101101}	{101101}	{101101}	{1,1,1}	{1,1,1}	{1,0,0}	1					
													
21501	新历程dlc27主线15-1	{101102,101103}	{101103,101102}	{101103,101102}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21502	新历程dlc27主线15-2	{101103}	{101103}	{101103}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21503	新历程dlc27主线15-3	{101103}	{101103}	{101103}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21504	新历程dlc27主线15-4	{101102,101103}	{101103,101102}	{101103,101102}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21505	新历程dlc27主线15-5	{101103}	{101103}	{101103}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21506	新历程dlc27主线15-6	{101103}	{101103}	{101103}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21507	新历程dlc27主线15-7	{101103}	{101103}	{101103}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21577	新历程dlc27主线15-7下半期	{101104,101103}	{101103,101104}	{101103,101104}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21508	新历程dlc27主线15-8	{101104}	{101103}		{1,1,0}	{0,0,0}	{1,1,0}	2					
21588	新历程dlc27主线15-8下半期	{101104}	{101103}		{1,1,0}	{0,0,0}	{1,1,0}	2					
													
21511	新历程dlc28主线15-1	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21512	新历程dlc28主线15-2	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21513	新历程dlc28主线15-3	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21514	新历程dlc28主线15-4	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21515	新历程dlc28主线15-5	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21516	新历程dlc28主线15-6	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21517	新历程dlc28主线15-7	{101106,101115}	{101115,101106}	{101115,101106}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21518	新历程dlc28主线15-8	{101106}	{101115}		{1,1,0}	{0,0,0}	{1,1,0}	2					
													
21531	新历程DLC30主线01	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21532	新历程DLC30主线02	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21533	新历程DLC30主线03	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21534	新历程DLC30主线04	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21535	新历程DLC30主线05	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21536	新历程DLC30主线06	{101111}	{101111}	{101111}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21537	新历程DLC30主线07	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21538	新历程DLC30主线08	{101110,101111}	{101111,101110}	{101111,101110}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21539	新历程DLC30主线09	{101110}	{101111}		{1,1,0}	{0,0,0}	{1,1,0}	2					
													
21541	新历程DLC31主线01	{101113}	{101113}	{101113}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21542	新历程DLC31主线02	{101113}	{101113}	{101113}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21543	新历程DLC31主线03	{101113}	{101113}	{101113}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21544	新历程DLC31主线04	{101113}	{101113}	{101113}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21545	新历程DLC31主线05	{101114}	{101114}	{101114}	{1,1,1}	{1,1,1}	{0,1,0}	1					
21546	新历程DLC31主线06	{101112,101116}	{101116,101112}	{101116,101112}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21547	新历程DLC31主线07	{101112,101116}	{101116,101112}	{101116,101112}	{1,1,1}	{1,1,1}	{1,1,0}	2					
21548	新历程DLC31主线08		{101113}		{0,1,0}	{0,0,0}	{0,1,0}	1					
													
11701	DLC33主线-Act1	{101118}	{101119,{1,23,1,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11702	DLC33主线-Act2	{101118}	{101119,{1,23,1,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11703	DLC33主线-Act3	{101118}	{101119,{1,23,1,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11704	DLC33主线-Act4	{101119}	{101118,{1,6,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11705	DLC33主线-Act5	{101119}	{101118,{1,6,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11706	DLC33主线-Act6		{101119,{1,23,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11707	DLC33主线-Act7		{101119,{1,23,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11708	DLC33主线-Act8		{101119,{1,23,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11709	DLC33主线-Act9	{101119}	{101118,{1,6,3,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
													
11711	DLC34主线-Act1	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11712	DLC34主线-Act2	{101120}	{101121,{1,20,2,1}}		{1,1,1}	{1,0,1}	{1,1,0}	2					
