ID	注释	试用角色ID	试用角色等级	后勤1试用词缀
300306	极光-伊芙尼卡	{3,3,33,1}	16	{{1,19,3},{2,21,3},{3,44,3}}
300307	极光-维塔利娜	{3,1,33,1}	4	{{1,21,3},{2,23,3}}
300308	极光-格洛莉娅	{3,2,33,1}	4	{{1,21,3},{2,23,3}}
300309	极光-伊芙尼卡	{3,3,33,1}	4	{{1,21,3},{2,23,3}}
300310	极光-维塔利娜	{3,1,33,1}	10	{{1,21,3},{2,23,3}}
300311	极光-格洛莉娅	{3,2,33,1}	10	{{1,21,3},{2,23,3}}
300312	极光-伊芙尼卡	{3,3,33,1}	10	{{1,21,3},{2,23,3}}
300313	极光-维塔利娜	{3,1,33,1}	13	{{1,21,3},{2,23,3}}
300314	极光-格洛莉娅	{3,2,33,1}	13	{{1,21,3},{2,23,3}}
300315	极光-伊芙尼卡	{3,3,33,1}	13	{{1,21,3},{2,23,3}}
300316	阿玛纳小队	{3,1,30,1}	4	{{1,21,3},{2,22,3}}
300317	阿玛纳小队	{3,2,30,1}	4	{{1,21,3},{2,22,3}}
300318	阿玛纳小队	{3,3,30,1}	4	{{1,21,3},{2,22,3}}
300319	阿玛纳小队	{3,1,30,1}	10	{{1,21,3},{2,22,3}}
300320	阿玛纳小队	{3,2,30,1}	10	{{1,21,3},{2,22,3}}
300321	阿玛纳小队	{3,3,30,1}	10	{{1,21,3},{2,22,3}}
300322	阿玛纳小队	{3,1,30,1}	13	{{1,21,3},{2,22,3}}
300323	阿玛纳小队	{3,2,30,1}	13	{{1,21,3},{2,22,3}}
300324	阿玛纳小队	{3,3,30,1}	13	{{1,21,3},{2,22,3}}
300325	祖灵小队（特异	{3,1,34,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300326	祖灵小队（特异	{3,2,34,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300327	祖灵小队（特异	{3,3,34,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300328	沙叶小队（电击	{3,1,35,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300329	沙叶小队（电击	{3,2,35,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300330	沙叶小队（电击	{3,3,35,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300331	新叶小队（高热	{3,1,27,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300332	新叶小队（高热	{3,2,27,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300333	新叶小队（高热	{3,3,27,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300334	金甲小队（高热	{3,1,36,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300335	金甲小队（高热	{3,2,36,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300336	金甲小队（高热	{3,3,36,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300337	金甲小队（+3	{3,1,36,1}	4	{{1,21,3},{2,22,3}}
300338	金甲小队（+3	{3,2,36,1}	4	{{1,21,3},{2,22,3}}
300339	金甲小队（+3	{3,3,36,1}	4	{{1,21,3},{2,22,3}}
300340	金甲小队（+9	{3,1,36,1}	10	{{1,21,3},{2,22,3}}
300341	金甲小队（+9	{3,2,36,1}	10	{{1,21,3},{2,22,3}}
300342	金甲小队（+9	{3,3,36,1}	10	{{1,21,3},{2,22,3}}
300343	金甲小队（+12	{3,1,36,1}	13	{{1,21,3},{2,22,3}}
300344	金甲小队（+12	{3,2,36,1}	13	{{1,21,3},{2,22,3}}
300345	金甲小队（+12	{3,3,36,1}	13	{{1,21,3},{2,22,3}}
300346	伊莱小队-安提（+3	{3,1,32,1}	4	{{1,21,3},{2,22,3}}
300347	伊莱小队-斯特拉（+3	{3,2,32,1}	4	{{1,21,3},{2,22,3}}
300348	伊莱小队-伊达米娅（+3	{3,3,32,1}	4	{{1,21,3},{2,22,3}}
300349	伊莱小队-安提（+9	{3,1,32,1}	10	{{1,21,3},{2,22,3}}
300350	伊莱小队-斯特拉（+9	{3,2,32,1}	10	{{1,21,3},{2,22,3}}
300351	伊莱小队-伊达米娅（+9	{3,3,32,1}	10	{{1,21,3},{2,22,3}}
300352	伊莱小队-安提（+12	{3,1,32,1}	13	{{1,21,3},{2,22,3}}
300353	伊莱小队-斯特拉（+12	{3,2,32,1}	13	{{1,21,3},{2,22,3}}
300354	伊莱小队-伊达米娅（+12	{3,3,32,1}	13	{{1,21,3},{2,22,3}}
300355	星朗-朵薇尔(动能	{3,1,37,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300356	星朗-爱莉薇娅(动能	{3,2,37,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300357	星朗-妲柯丝(动能	{3,3,37,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300358	清乐-桫椤(动能	{3,1,38,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300359	清乐-白桦(动能	{3,2,38,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300360	清乐-棕榈(动能	{3,3,38,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300361	掠影-弗栗多	{3,1,39,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300362	掠影-伐楼妮	{3,2,39,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300363	掠影-因陀罗	{3,3,39,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300364	钢羽-布莱莉卡	{3,1,40,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300365	钢羽-蕾拉	{3,2,40,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300366	钢羽-普尔法	{3,3,40,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300367	射影-玛莉妮	{3,1,41,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300368	射影-贝莎	{3,2,41,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300369	射影-埃拉托	{3,3,41,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300370	超视-狄瓦丝	{3,1,42,1}	16	{{1,20,3},{2,23,3},{3,50,3}}
300371	超视-奥莎娜	{3,2,42,1}	16	{{1,20,3},{2,23,3},{3,50,3}}
300372	超视-天厨一	{3,3,42,1}	16	{{1,20,3},{2,23,3},{3,50,3}}
300373	泽虹-西格丽达	{3,1,43,1}	16	{{1,20,3},{2,23,3},{3,47,3}}
300374	泽虹-莉尼	{3,2,43,1}	16	{{1,20,3},{2,23,3},{3,47,3}}
300375	泽虹-缔罗尔	{3,3,43,1}	16	{{1,20,3},{2,23,3},{3,47,3}}
300376	新桃-温然	{3,1,44,1}	16	{{1,20,3},{2,23,3},{3,48,3}}
300377	新桃-铃焰	{3,2,44,1}	16	{{1,20,3},{2,23,3},{3,48,3}}
300378	新桃-玉茗	{3,3,44,1}	16	{{1,20,3},{2,23,3},{3,48,3}}
300379	闻风-乌贝尔	{3,1,45,1}	16	{{1,21,3},{2,24,3},{3,48,3}}
300380	闻风-伊瑟瑞斯	{3,2,45,1}	16	{{1,21,3},{2,24,3},{3,48,3}}
300381	闻风-谢菲尔	{3,3,45,1}	16	{{1,21,3},{2,24,3},{3,48,3}}
300382	微光-猫柳	{3,1,46,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300383	微光-秋晴	{3,2,46,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300384	微光-长天	{3,3,46,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300385	希德-瑞特兰	{3,1,47,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300386	希德-乌布	{3,2,47,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300387	希德-伊斯莫	{3,3,47,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300388	花楸-白三叶	{3,1,48,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300389	花楸-卡尔哈雅	{3,2,48,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300390	花楸-柯尔希	{3,3,48,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300391	星夜-南希	{3,1,49,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300392	星夜-梅尔塞蒂	{3,2,49,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300393	星夜-彗音	{3,3,49,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300394	映现-梅莉桑德	{3,1,50,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300395	映现-尤拉莉雅	{3,2,50,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300396	映现-奥德涅	{3,3,50,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300397	秘源-席拉	{3,1,51,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300398	秘源-艾欧妮	{3,2,51,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300399	秘源-卡诺莎	{3,3,51,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300400	祈歌-奥萝拉	{3,1,52,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300401	祈歌-雪青	{3,2,52,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300402	祈歌-莱妮娅	{3,3,52,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300403	新芽-普莉姆	{3,1,53,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300404	新芽-艾维琳	{3,2,53,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300405	新芽-柯菈	{3,3,53,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300406	天秤-炽	{3,1,54,1}	16	{{1,21,3},{2,22,3},{3,47,3}}
300407	天秤-魂音	{3,2,54,1}	16	{{1,21,3},{2,22,3},{3,47,3}}
300408	天秤-索拉妮	{3,3,54,1}	16	{{1,21,3},{2,22,3},{3,47,3}}
300409	凯夫曼小队	{3,1,22,1}	3	{{1,21,3},{2,23,3}}
300410	凯夫曼小队	{3,2,22,1}	3	{{1,21,3},{2,23,3}}
300411	凯夫曼小队	{3,3,22,1}	3	{{1,21,3},{2,23,3}}
300412	希德-瑞特兰	{3,1,47,1}	3	{{1,21,3},{2,23,3}}
300413	希德-乌布	{3,2,47,1}	3	{{1,21,3},{2,23,3}}
300414	希德-伊斯莫	{3,3,47,1}	3	{{1,21,3},{2,23,3}}
300415	花楸-白三叶	{3,1,48,1}	3	{{1,21,3},{2,22,3}}
300416	花楸-卡尔哈雅	{3,2,48,1}	3	{{1,21,3},{2,22,3}}
300417	花楸-柯尔希	{3,3,48,1}	3	{{1,21,3},{2,22,3}}
300418	射影-玛莉妮	{3,1,41,1}	3	{{1,21,3},{2,23,3}}
300419	射影-贝莎	{3,2,41,1}	3	{{1,21,3},{2,23,3}}
300420	射影-埃拉托	{3,3,41,1}	3	{{1,21,3},{2,23,3}}
300421	星夜-南希	{3,1,49,1}	4	{{1,21,3},{2,23,3}}
300422	星夜-梅尔塞蒂	{3,2,49,1}	4	{{1,21,3},{2,23,3}}
300423	星夜-彗音	{3,3,49,1}	4	{{1,21,3},{2,23,3}}
300424	超视-狄瓦丝	{3,1,42,1}	4	{{1,21,3},{2,23,3}}
300425	超视-奥莎娜	{3,2,42,1}	4	{{1,21,3},{2,23,3}}
300426	超视-天厨一	{3,3,42,1}	4	{{1,21,3},{2,23,3}}
300427	极光-维塔利娜	{3,1,33,1}	4	{{1,21,3},{2,23,3}}
300428	极光-格洛莉娅	{3,2,33,1}	4	{{1,21,3},{2,23,3}}
300429	极光-伊芙尼卡	{3,3,33,1}	4	{{1,21,3},{2,23,3}}
300430	星夜-南希	{3,1,49,1}	5	{{1,21,3},{2,23,3}}
300431	星夜-梅尔塞蒂	{3,2,49,1}	5	{{1,21,3},{2,23,3}}
300432	星夜-彗音	{3,3,49,1}	5	{{1,21,3},{2,23,3}}
300433	秘源-席拉	{3,1,51,1}	5	{{1,21,3},{2,23,3}}
300434	秘源-艾欧妮	{3,2,51,1}	5	{{1,21,3},{2,23,3}}
300435	秘源-卡诺莎	{3,3,51,1}	5	{{1,21,3},{2,23,3}}
300436	映现-梅莉桑德	{3,1,50,1}	5	{{1,21,3},{2,23,3}}
300437	映现-尤拉莉雅	{3,2,50,1}	5	{{1,21,3},{2,23,3}}
300438	映现-奥德涅	{3,3,50,1}	5	{{1,21,3},{2,23,3}}
300439	花楸-白三叶	{3,1,48,1}	7	{{1,21,3},{2,22,3}}
300440	花楸-卡尔哈雅	{3,2,48,1}	7	{{1,21,3},{2,22,3}}
300441	花楸-柯尔希	{3,3,48,1}	7	{{1,21,3},{2,22,3}}
300442	祈歌-奥萝拉	{3,1,52,1}	7	{{1,21,3},{2,23,3}}
300443	祈歌-雪青	{3,2,52,1}	7	{{1,21,3},{2,23,3}}
300444	祈歌-莱妮娅	{3,3,52,1}	7	{{1,21,3},{2,23,3}}
300445	天岩户-岳间泽（高热	{3,1,24,1}	7	{{1,21,3},{2,23,3}}
300446	天岩户-鹤一（高热	{3,2,24,1}	7	{{1,21,3},{2,23,3}}
300447	天岩户-赤（高热	{3,3,24,1}	7	{{1,21,3},{2,23,3}}
300448	希德-瑞特兰	{3,1,47,1}	4	{{1,21,3},{2,23,3}}
300449	希德-乌布	{3,2,47,1}	4	{{1,21,3},{2,23,3}}
300450	希德-伊斯莫	{3,3,47,1}	4	{{1,21,3},{2,23,3}}
300451	星朗-朵薇尔(动能	{3,1,37,1}	7	{{1,21,3},{2,23,3}}
300452	星朗-爱莉薇娅(动能	{3,2,37,1}	7	{{1,21,3},{2,23,3}}
300453	星朗-妲柯丝(动能	{3,3,37,1}	7	{{1,21,3},{2,23,3}}
300454	飞云-拉玛娜	{3,1,55,1}	10	{{1,21,3},{2,23,3}}
300455	飞云-希妮	{3,2,55,1}	10	{{1,21,3},{2,23,3}}
300456	飞云-库里姆	{3,3,55,1}	10	{{1,21,3},{2,23,3}}
300457	闻风-乌贝尔	{3,1,45,1}	10	{{1,21,3},{2,24,3}}
300458	闻风-伊瑟瑞斯	{3,2,45,1}	10	{{1,21,3},{2,24,3}}
300459	闻风-谢菲尔	{3,3,45,1}	10	{{1,21,3},{2,24,3}}
300460	极光-维塔利娜	{3,1,33,1}	10	{{1,21,3},{2,23,3}}
300461	极光-格洛莉娅	{3,2,33,1}	10	{{1,21,3},{2,23,3}}
300462	极光-伊芙尼卡	{3,3,33,1}	10	{{1,21,3},{2,23,3}}
300463	飞云-拉玛娜	{3,1,55,1}	12	{{1,21,3},{2,23,3}}
300464	飞云-希妮	{3,2,55,1}	12	{{1,21,3},{2,23,3}}
300465	飞云-库里姆	{3,3,55,1}	12	{{1,21,3},{2,23,3}}
300466	闻风-乌贝尔	{3,1,45,1}	12	{{1,21,3},{2,24,3}}
300467	闻风-伊瑟瑞斯	{3,2,45,1}	12	{{1,21,3},{2,24,3}}
300468	闻风-谢菲尔	{3,3,45,1}	12	{{1,21,3},{2,24,3}}
300469	极光-维塔利娜	{3,1,33,1}	12	{{1,21,3},{2,23,3}}
300470	极光-格洛莉娅	{3,2,33,1}	12	{{1,21,3},{2,23,3}}
300471	极光-伊芙尼卡	{3,3,33,1}	12	{{1,21,3},{2,23,3}}
300472	飞云-拉玛娜	{3,1,55,1}	14	{{1,21,3},{2,23,3}}
300473	飞云-希妮	{3,2,55,1}	14	{{1,21,3},{2,23,3}}
300474	飞云-库里姆	{3,3,55,1}	14	{{1,21,3},{2,23,3}}
300475	闻风-乌贝尔	{3,1,45,1}	14	{{1,21,3},{2,24,3}}
300476	闻风-伊瑟瑞斯	{3,2,45,1}	14	{{1,21,3},{2,24,3}}
300477	闻风-谢菲尔	{3,3,45,1}	14	{{1,21,3},{2,24,3}}
300478	极光-维塔利娜	{3,1,33,1}	14	{{1,21,3},{2,23,3}}
300479	极光-格洛莉娅	{3,2,33,1}	14	{{1,21,3},{2,23,3}}
300480	极光-伊芙尼卡	{3,3,33,1}	14	{{1,21,3},{2,23,3}}
300481	飞云-拉玛娜	{3,1,55,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300482	飞云-希妮	{3,2,55,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300483	飞云-库里姆	{3,3,55,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300484	闻风-乌贝尔	{3,1,45,1}	16	{{1,21,3},{2,24,3},{3,48,3}}
300485	闻风-伊瑟瑞斯	{3,2,45,1}	16	{{1,21,3},{2,24,3},{3,48,3}}
300486	闻风-谢菲尔	{3,3,45,1}	16	{{1,21,3},{2,24,3},{3,48,3}}
300487	极光-维塔利娜	{3,1,33,1}	16	{{1,21,3},{2,23,3},{3,44,3}}
300488	极光-格洛莉娅	{3,2,33,1}	16	{{1,21,3},{2,23,3},{3,44,3}}
300489	极光-伊芙尼卡	{3,3,33,1}	16	{{1,21,3},{2,23,3},{3,44,3}}
300490	碧空-薇奈	{3,1,56,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300491	碧空-西泽	{3,2,56,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300492	碧空-美榴	{3,3,56,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300493	重叶-梅贝尔	{3,1,57,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300494	重叶-伊莉斯	{3,2,57,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300495	重叶-歌莉娅	{3,3,57,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300496	图征-斯瓦莉	{3,1,58,1}	16	{{1,21,3},{2,22,3},{3,46,3}}
300497	图征-库兰娅丝	{3,2,58,1}	16	{{1,21,3},{2,22,3},{3,46,3}}
300498	图征-索莉妮	{3,3,58,1}	16	{{1,21,3},{2,22,3},{3,46,3}}
300499	圣树-露米	{3,1,59,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300500	圣树-玛格丽特	{3,2,59,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300501	圣树-阿尔维娜	{3,3,59,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300502	松露-蕈影	{3,1,60,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300503	松露-榆	{3,2,60,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300504	松露-虹彩	{3,3,60,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300505	向月-凝釉	{3,1,61,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300506	向月-烛照	{3,2,61,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300507	向月-清荷	{3,3,61,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300508	奇点-欧律拉克	{3,1,62,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300509	奇点-贝勒姬	{3,2,62,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300510	奇点-纳尔贝拉	{3,3,62,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300511	时序-希卡莉	{3,1,63,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300512	时序-卡珊德拉	{3,2,63,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300513	时序-洁菈特	{3,3,63,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300514	白幕-奥若拉	{3,1,64,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300515	白幕-图洛斯	{3,2,64,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300516	白幕-茜尔	{3,3,64,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
