ID	备注	关卡类型(0:通常关,1:Boss关)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	获得buff	获得积分(int|{}  小关卡固定积分|{类型, 参数下限,参数上限,积分下限，积分上限} 1：剩余时间百分比 2：击杀怪物数量 3：剩余血量 4：总伤害量 5：敌人突破数量)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐等级	试玩角色	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源
5616	DLC8-难度2-补给点A1	0	5616	1		4201	{300}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression407.Area_Repression407
5617	DLC8-难度2-补给点A2	0	5617	1		4202	{300}	{0,0}		{4001212,4001211,4001215}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression409.Area_Repression409
5618	DLC8-难度2-补给点A3	0	5618	1		4203	{300}	{0,0}		{500110901}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression417.Area_Repression417
5619	DLC8-难度2-补给点B1	0	5619	1		4204	{300}	{0,0}		{4001212,4001213,4001215,4001211}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression404.Area_Repression404
5620	DLC8-难度2-补给点B2	0	5620	1		4205	{300}	{0,0}		{4001116,4002103,4001108}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression405.Area_Repression405
5621	DLC8-难度2-补给点B3	0	5621	1		4206	{300}	{0,0}		{5001001}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression418.Area_Repression418
5622	DLC8-难度2-补给点C1	0	5622	1		4207	{300}	{0,0}		{4001008,4003006,4003004}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression406.Area_Repression406
5623	DLC8-难度2-补给点C2	0	5618	1		4208	{300}	{0,0}		{4001116,4002106,4001108}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression408.Area_Repression408
5624	DLC8-难度2-补给点C3	0	5619	1		4209	{300}	{0,0}		{5001209}	1	1	50			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression420.Area_Repression420
5625	DLC8-难度3-补给点A1	0	5620	1		4301	{500}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression412.Area_Repression412
5626	DLC8-难度3-补给点A2	0	5621	1		4302	{500}	{0,0}		{4001005,4003004,4003006,4003007}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression413.Area_Repression413
5627	DLC8-难度3-补给点A3	0	5622	1		4303	{500}	{0,0}		{4001102,4001108,4002103,4001116}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression414.Area_Repression414
5628	DLC8-难度3-补给点A4	0	5623	1		4304	{500}	{0,0}		{4001104}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression421.Area_Repression421
5629	DLC8-难度3-补给点B1	0	5624	1		4305	{500}	{0,0}		{4001212,4001213,4001215,4001211}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression410.Area_Repression410
5630	DLC8-难度3-补给点B2	0	5625	1		4306	{500}	{0,0}		{4001116,4002103,4001108}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression411.Area_Repression411
5631	DLC8-难度3-补给点B3	0	5623	1		4307	{500}	{0,0}		{4001102,4001108,4002103,4001116}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression427.Area_Repression427
5632	DLC8-难度3-补给点B4	0	5624	1		4308	{500}	{0,0}		{5001203}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression422.Area_Repression422
5633	DLC8-难度3-补给点C1	0	5622	1		4309	{500}	{0,0}		{4001212,4001213,4001215,4001211}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression424.Area_Repression424
5634	DLC8-难度3-补给点C2	0	5618	1		4310	{500}	{0,0}		{4001116,4002106,4001108}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression425.Area_Repression425
5635	DLC8-难度3-补给点C3	0	5619	1		4311	{500}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression426.Area_Repression426
5636	DLC8-难度3-补给点C4	0	5620	1		4312	{500}	{0,0}		{500110902}	1	1	65			0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression423.Area_Repression423
5637	DLC8-难度1-闪击	1	5626	1		4111	{{1,{0.1,50},{0.5,500},{0.8,700},{0.85,800},{0.875,900},{0.91,1000}},{3,{0.1,50},{0.5,500},{0.7,700},{0.8,800},{0.9,900},{1,1000}}}	{0,0}		{4001103,4001102,4001112,4001114,5001111,4002106,5003110}	12	1	50	{103105,103108,103111}		0	0					{}								1803057	DLC8Task/Area_Repression4/Area_Repression428_1.Area_Repression428_1
5638	DLC8-难度1-驻防	1	5627	1		4112	{{5,{-20,100},{-15,1000},{-10,1400},{-6,1600},{-4,1800},{0,2000}}}	{0,0}		{34003007,34003006,400100802}	12	1	50	{103105,103108,103111}		0	0					{}								1803056	DLC8Task/Area_Repression4/Area_Repression429_1.Area_Repression429_1
5639	DLC8-难度1-重装	1	5628	1		4113	{{4,{500000,75},{1500000,750},{4000000,1050},{6000000,1200},{10000000,1350},{16000000,1500}},{3,{0.1,25},{0.3,250},{0.5,350},{0.7,400},{0.8,450},{1,500}}}	{0,0}		{5001009,4001002,4001004}	12	1	50	{103105,103108,103111}		0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression430_1.Area_Repression430_1
5640	DLC8-难度2-闪击	1	5626	1		4221	{{1,{0.1,75},{0.5,750},{0.75,1050},{0.8,1200},{0.875,1350},{0.9,1500}},{3,{0.1,75},{0.5,750},{0.7,1050},{0.8,1200},{0.9,1350},{1,1500}}}	{0,0}		{4001103,4001102,4001112,4001114,5003110,4002104}	12	1	65	{103106,103109,103112}		0	0					{}								1803057	DLC8Task/Area_Repression4/Area_Repression428_2.Area_Repression428_2
5641	DLC8-难度2-驻防	1	5627	1		4222	{{5,{-20,150},{-15,1500},{-10,2100},{-8,2400},{-4,2700},{0,3000}}}	{0,0}		{34003007,34003006,34001015,4001016,400100802,4001017}	12	1	65	{103106,103109,103112}		0	0					{}								1803056	DLC8Task/Area_Repression4/Area_Repression429_2.Area_Repression429_2
5642	DLC8-难度2-重装	1	5628	1		4223	{{4,{500000,100},{1500000,1000},{4000000,1400},{6000000,1600},{10000000,1800},{16000000,2000}},{3,{0.1,50},{0.3,500},{0.5,700},{0.7,800},{0.8,900},{1,1000}}}	{0,0}		{5002010,500101002,4001016,4001007}	12	1	65	{103106,103109,103112}		0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression430_2.Area_Repression430_2
5643	DLC8-难度3-闪击	1	5626	1		4331	{{1,{0.1,125},{0.5,1250},{0.75,1750},{0.8,2000},{0.875,2250},{0.9,2500}},{3,{0.1,125},{0.5,1250},{0.7,1750},{0.8,2000},{0.9,2250},{1,2500}}}	{0,0}		{4001102,4001112,4001114,4002104,4002106,5001111,5003110}	12	1	80	{103107,103110,103113}		0	0					{}								1803057	DLC8Task/Area_Repression4/Area_Repression428_3.Area_Repression428_3
5644	DLC8-难度3-驻防	1	5627	1		4332	{{5,{-20,250},{-15,2500},{-10,3500},{-8,4000},{-6,4500},{0,5000}}}	{0,0}		{34003007,34003006,4001015,400160202,400100802,4001017,4001016}	12	1	80	{103107,103110,103113}		0	0					{}								1803056	DLC8Task/Area_Repression4/Area_Repression429_3.Area_Repression429_3
5645	DLC8-难度3-重装	1	5628	1		4333	{{4,{500000,150},{1500000,1650},{4000000,2350},{6000000,2650},{10000000,3000},{16000000,3350}},{3,{0.1,100},{0.3,850},{0.5,1150},{0.7,1350},{0.8,1500},{1,1650}}}	{0,0}		{5001009,5001019,500201003,4003007}	12	1	80	{103107,103110,103113}		0	0					{}								1803058	DLC8Task/Area_Repression4/Area_Repression430_3.Area_Repression430_3
