template表中Param1字段	道具获取方式（Fix 固定;Random n随1、n随m;Prob 分别看概率获取 ;Select n选1、n选m）	道具GDPLN	随机时的权重，注定不随机的箱子可以为空	分组(随机时同index、同group一起随）	推荐兑换角标（1=推荐，0或不配不显示，只有道具获取方式为Select的BOX需要配置）	//备注
615	Fix	{5,5,1,4,2}				碳原子板2
						
616	Fix	{4,2,1,4,1}				体力药(大)
616	Fix	{4,3,1,1,25000}				通用银x25000
						
617	Fix	{5,21,1,5,4}				天启者共鸣誓约x4
617	Fix	{5,9,1,2,6}				光纤轴突x6
617	Fix	{4,3,1,1,10000}				通用银x10000
						
618	Fix	{5,21,1,5,2}				天启者共鸣誓约x2
618	Fix	{4,2,1,4,1}				体力药(大)
						
619	Fix	{4,3,2,1,660}				数据金*660
619	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
619	Fix	{4,2,1,3,1}				体力药(中)
619	Fix	{4,3,1,1,50000}				通用银*50000
						
620	Fix	{4,3,2,1,660}				数据金*660
620	Fix	{5,21,2,5,10}				武器定制合约*10
620	Fix	{4,2,1,3,1}				体力药(中)
620	Fix	{4,3,1,1,50000}				通用银*50000
						
621	Fix	{4,3,2,1,1000}				数据金1000
621	Fix	{5,3,1,4,2}				特级职级认证*2
621	Fix	{4,3,1,1,200000}				通用银*200000
						
622	Fix	{5,21,1,5,10}				共鸣誓约x10
622	Fix	{5,21,2,5,10}				定制合约x10
622	Fix	{4,2,1,4,1}				体力药(大)
622	Fix	{4,3,1,1,100000}				通用银*100000
						
623	Fix	{4,2,1,4,1}				体力药(大)
623	Fix	{4,3,1,1,25000}				通用银x25000
						
624	Fix	{5,21,1,5,4}				天启者共鸣誓约x4
624	Fix	{5,9,1,2,6}				光纤轴突x6
624	Fix	{4,3,1,1,10000}				通用银x10000
						
625	Fix	{5,21,1,5,2}				天启者共鸣誓约x2
625	Fix	{4,2,1,4,1}				体力药(大)
						
						
626	Fix	{4,3,2,1,120}				数据金*120
626	Fix	{5,21,1,5,1}				天启者共鸣誓约*1
626	Fix	{4,2,1,3,2}				巴德尔试剂(中)*2
						
627	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
627	Fix	{4,3,1,1,20000}				通用银*20000
						
628	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
628	Fix	{5,21,2,5,10}				武器定制合约*10
628	Fix	{5,9,1,3,2}				量子胞体*2
						
629	Fix	{4,5,9,4,1}				SSR自选箱*1
629	Fix	{4,5,7,4,1}				橙色武器自选箱*1
629	Fix	{4,3,1,1,100000}				通用银*100000
						
630	Fix	{4,3,2,1,680}				数据金*680
630	Fix	{5,21,2,5,3}				武器定制合约*3
630	Fix	{4,2,1,4,2}				体力药(大)*2
						
631	Fix	{4,3,2,1,1280}				数据金*1280
631	Fix	{5,21,2,5,5}				武器定制合约*5
631	Fix	{4,2,1,4,3}				体力药(大)*3
						
632	Fix	{4,3,2,1,1000}				数据金*1000
632	Fix	{5,21,2,5,2}				武器定制合约*2
632	Fix	{5,9,1,3,2}				量子胞体*2
						
633	Fix	{5,21,1,5,20}				天启者共鸣誓约*20
633	Fix	{4,5,10,5,20}				SSR角色碎片自选箱*25
633	Fix	{4,3,1,1,20000}				通用银*20000
						
634	Fix	{5,21,1,5,20}				天启者共鸣誓约*20
634	Fix	{5,21,2,5,20}				武器定制合约*20
634	Fix	{4,5,7,4,1}				橙色武器自选箱*1
						
635	Fix	{4,3,2,1,1000}				数据金*1000
635	Fix	{5,5,1,4,4}				碳原子板*4
635	Fix	{5,6,1,2,20}				重修申请*20
						
636	Fix	{4,3,2,1,660}				数据金*660
636	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
636	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
636	Fix	{4,3,1,1,50000}				通用银*50000
						
637	Fix	{4,3,2,1,660}				数据金*660
637	Fix	{5,21,2,5,10}				武器定制合约*10
637	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
637	Fix	{4,3,1,1,50000}				通用银*50000
						
638	Fix	{4,3,2,1,1300}				数据金*1300
638	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
638	Fix	{5,21,2,5,10}				武器定制合约*10
638	Fix	{5,1,1,4,5}				精英战斗记录*5
638	Fix	{5,2,1,4,5}				珍稀强化套件*5
638	Fix	{5,9,1,3,2}				量子胞体*2
638	Fix	{5,5,1,4,2}				碳原子板*2
						
639	Fix	{4,3,2,1,1000}				数据金*1000
639	Fix	{5,9,1,2,10}				光纤轴突*10
639	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
639	Fix	{4,3,1,1,100000}				通用银*100000
						
640	Fix	{4,3,1,1,25000}				通用银*25000
640	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
641	Fix	{5,21,1,5,4}				天启者共鸣誓约*4
641	Fix	{4,3,1,1,10000}				通用银*10000
641	Fix	{5,9,1,2,6}				光纤轴突*6
						
642	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
642	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
643	Fix	{4,3,2,1,380}				数据金*380
643	Fix	{5,1,1,4,8}				精英战斗记录*8
643	Fix	{4,3,1,1,100000}				通用银*100000
						
644	Fix	{4,3,2,1,380}				数据金*380
644	Fix	{5,9,1,2,117}				光纤轴突*117
644	Fix	{4,3,1,1,200000}				通用银*200000
						
645	Fix	{4,3,2,1,680}				数据金*680
645	Fix	{5,9,1,3,2}				量子胞体*2
645	Fix	{4,3,1,1,300000}				通用银*300000
						
646	Fix	{4,3,2,1,320}				数据金*320
646	Fix	{5,6,1,2,2}				重修申请*2
						
647	Fix	{5,21,1,5,20}				天启者共鸣誓约*20
647	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
647	Fix	{5,1,1,4,10}				精英战斗记录*10
647	Fix	{4,3,1,1,100000}				通用银*100000
						
648	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
648	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
649	Fix	{4,3,2,1,660}				数据金*660
649	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
649	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
649	Fix	{4,3,1,1,50000}				通用银*50000
						
650	Fix	{4,3,2,1,660}				数据金*660
650	Fix	{5,21,2,5,10}				武器定制合约*10
650	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
650	Fix	{4,3,1,1,50000}				通用银*50000
						
651	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
651	Fix	{5,21,2,5,10}				武器定制合约*10
651	Fix	{4,3,1,1,100000}				通用银*100000
651	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
652	Fix	{4,3,2,1,1000}				数据金*1000
652	Fix	{4,3,1,1,200000}				通用银*200000
652	Fix	{5,3,1,4,2}				特级职级认证*2
						
653	Fix	{4,3,2,1,680}				数据金*680
653	Fix	{5,9,1,3,2}				量子胞体*2
653	Fix	{4,3,1,1,300000}				通用银*300000
						
654	Fix	{4,3,2,1,380}				数据金*380
654	Fix	{5,1,1,4,8}				精英战斗记录*8
654	Fix	{4,3,1,1,100000}				通用银*100000
						
655	Fix	{4,3,2,1,380}				数据金*380
655	Fix	{5,9,1,2,117}				光纤轴突*117
655	Fix	{4,3,1,1,200000}				通用银*200000
						
656	Fix	{4,3,2,1,320}				数据金*320
656	Fix	{5,6,1,2,2}				重修申请*2
						
						
666	Fix	{4,3,2,1,1}		1		数据金x1
						
667	Fix	{4,3,2,1,80}				数据金x80
667	Fix	{4,1,6,5,30}				家具币x30
667	Fix	{4,3,1,1,8888}				通用银*8888
						
668	Fix	{4,1,6,5,20}				
668	Fix	{5,9,1,2,5}				
669	Fix	{4,1,6,5,20}				
669	Fix	{5,6,1,2,2}				
670	Fix	{4,1,6,5,20}				
670	Fix	{5,2,1,3,5}				
671	Fix	{4,1,6,5,20}				
671	Fix	{4,2,1,3,1}				
672	Fix	{4,1,6,5,20}				
672	Fix	{4,2,1,3,1}				
673	Fix	{4,1,6,5,20}				
673	Fix	{4,3,1,1,6000}				
674	Fix	{4,1,6,5,20}				
674	Fix	{5,3,1,3,5}				
675	Fix	{4,1,6,5,20}				
675	Fix	{5,2,1,3,5}				
676	Fix	{4,1,6,5,20}				
676	Fix	{5,6,1,2,2}				
677	Fix	{4,1,6,5,20}				
677	Fix	{5,6,1,2,2}				
678	Fix	{4,1,6,5,20}				
678	Fix	{5,6,1,2,2}				
679	Fix	{4,1,6,5,20}				
679	Fix	{4,3,1,1,6000}				
680	Fix	{4,1,6,5,20}				
680	Fix	{5,9,1,2,5}				
681	Fix	{4,1,6,5,40}				
682	Fix	{4,1,6,5,20}				
682	Fix	{5,2,1,3,5}				
						
683	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
683	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
684	Fix	{4,3,2,1,660}				数据金*660
684	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
684	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
684	Fix	{4,3,1,1,50000}				通用银*50000
						
685	Fix	{4,3,2,1,660}				数据金*660
685	Fix	{5,21,2,5,10}				武器定制合约*10
685	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
685	Fix	{4,3,1,1,50000}				通用银*50000
						
686	Fix	{4,3,2,1,1300}				数据金*1300
686	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
686	Fix	{5,21,2,5,10}				武器定制合约*10
686	Fix	{5,1,1,4,5}				精英战斗记录*5
686	Fix	{5,2,1,4,5}				珍稀强化套件*5
686	Fix	{5,9,1,3,2}				量子胞体*2
686	Fix	{5,5,1,4,2}				碳原子板*2
						
687	Fix	{4,3,2,1,1000}				数据金*1000
687	Fix	{5,9,1,2,10}				光纤轴突*10
687	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
687	Fix	{4,3,1,1,100000}				通用银*100000
						
688	Fix	{4,3,2,1,680}				数据金*680
688	Fix	{5,9,1,3,2}				量子胞体*2
688	Fix	{4,3,1,1,300000}				通用银*300000
						
689	Fix	{4,3,2,1,380}				数据金*380
689	Fix	{5,1,1,4,8}				精英战斗记录*8
689	Fix	{4,3,1,1,100000}				通用银*100000
						
690	Fix	{4,3,2,1,380}				数据金*380
690	Fix	{5,9,1,2,117}				光纤轴突*117
690	Fix	{4,3,1,1,200000}				通用银*200000
						
691	Fix	{4,3,2,1,320}				数据金*320
691	Fix	{5,6,1,2,2}				重修申请*2
						
692	Fix	{4,3,2,1,660}				数据金*660
692	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
692	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
692	Fix	{4,3,1,1,50000}				通用银*50000
						
693	Fix	{4,3,2,1,660}				数据金*660
693	Fix	{5,21,2,5,10}				武器定制合约*10
693	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
693	Fix	{4,3,1,1,50000}				通用银*50000
						
694	Fix	{4,3,2,1,1000}				数据金*1000
694	Fix	{5,9,1,2,10}				光纤轴突*10
694	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
694	Fix	{4,3,1,1,100000}				通用银*100000
						
695	Fix	{4,3,2,1,680}				数据金*680
695	Fix	{5,9,1,3,2}				量子胞体*2
695	Fix	{4,3,1,1,300000}				通用银*300000
						
696	Fix	{4,3,2,1,380}				数据金*380
696	Fix	{5,1,1,4,8}				精英战斗记录*8
696	Fix	{4,3,1,1,100000}				通用银*100000
						
697	Fix	{4,3,2,1,380}				数据金*380
697	Fix	{5,9,1,2,117}				光纤轴突*117
697	Fix	{4,3,1,1,200000}				通用银*200000
						
698	Fix	{4,3,2,1,320}				数据金*320
698	Fix	{5,6,1,2,2}				重修申请*2
						
699	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
						
						
						
701	Random	{4,3,1,1,2000}	40	1		通用银x2000
701	Random	{5,1,1,2,3}	15	1		战斗记录2x3
701	Random	{5,2,1,2,3}	15	1		强化套件2x3
701	Random	{5,3,1,2,3}	15	1		职级认证乙x3
701	Random	{5,9,1,2,2}	15	1		光纤轴突x2
						
						
702	Select	{7,8,2,2,1}		1		芬妮-蜂刺蔷薇
702	Select	{4,3,2,1,480}		1		数据金*480
						
703	Select	{7,5,2,2,1}		1		茉莉安-一掷千金
703	Select	{4,3,2,1,480}		1		数据金*480
						
704	Select	{7,10,2,2,1}		1		肴-雪岭焰行
704	Select	{4,3,2,1,480}		1		数据金*480
						
705	Select	{7,6,2,3,1}		1		晴-循风谍舞
705	Select	{4,3,2,1,480}		1		数据金*480
						
706	Select	{7,2,2,4,1}		1		狂猎BP-DLC6皮肤
706	Select	{4,3,2,1,480}		1		数据金*480
						
707	Select	{7,17,1,4,1}		1		苔丝BP-DLC7皮肤
707	Select	{4,3,2,1,480}		1		数据金*480
						
708	Select	{7,12,2,3,1}		1		猫汐尔BP-DLC8皮肤
708	Select	{4,3,2,1,480}		1		数据金*480
						
709	Select	{7,16,1,3,1}		1		伊切尔BP-DLC8皮肤
709	Select	{4,3,2,1,480}		1		数据金*480
						
710	Select	{4,13,1,1,1}		1		手枪武器时装+数据金箱子
710	Select	{7,1,2,2,1}		1		安卡希雅-次元追忆
710	Select	{7,8,2,2,1}		1		芬妮-蜂刺蔷薇
710	Select	{7,5,2,2,1}		1		茉莉安-一掷千金
710	Select	{7,10,2,2,1}		1		肴-雪岭焰行
710	Select	{7,6,2,3,1}		1		晴-循风谍舞
710	Select	{4,3,2,1,480}		1		数据金*480
						
711	Select	{4,13,1,1,1}		1		手枪武器时装+数据金箱子
711	Select	{4,3,2,1,480}		1		数据金*480
						
712	Select	{7,7,2,4,1}				琴诺-悖谬-静聆潮韵
712	Select	{4,3,2,1,480}		1		数据金*480
						
713	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
713	Select	{4,3,2,1,480}		1		数据金*480
						
714	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
714	Select	{4,3,2,1,480}		1		数据金*480
						
715	Select	{7,13,2,5,1}		1		瑟瑞斯-瞬刻-纯白午后
715	Select	{4,3,2,1,480}		1		数据金*480
						
716	Select	{7,4,3,3,1}		1		芙提雅-驰掣-草莓甜心
716	Select	{4,3,2,1,480}		1		数据金*480
						
717	Select	{7,8,3,4,1}		1		芬妮-辉耀-疾速耀星
717	Select	{4,3,2,1,480}		1		数据金*480
						
718	Select	{7,2,3,3,1}		1		里芙-无限之视-引风飒意
718	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
718	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
718	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
718	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
718	Select	{4,3,2,1,480}		1		数据金*480
						
719	Select	{7,5,3,4,1}		1		茉莉安-幽潮-甜蜜困扰
719	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
719	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
719	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
719	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
719	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
719	Select	{4,3,2,1,480}		1		数据金*480
						
720	Select	{7,20,1,4,1}		1		卜卜-小天师-雨沁轻衫
720	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
720	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
720	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
720	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
720	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
720	Select	{7,13,2,5,1}		1		瑟瑞斯-瞬刻-纯白午后
720	Select	{4,3,2,1,480}		1		数据金*480
						
721	Select	{7,14,3,4,1}		1		辰星-琼弦柔倚身畔
721	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
721	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
721	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
721	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
721	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
721	Select	{7,13,2,5,1}		1		瑟瑞斯-瞬刻-纯白午后
721	Select	{7,4,3,3,1}		1		芙提雅-驰掣-草莓甜心
721	Select	{4,3,2,1,480}		1		数据金*480
						
722	Select	{7,10,3,4,1}		1		肴-夜天光-暖雾凝眸
722	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
722	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
722	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
722	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
722	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
722	Select	{7,13,2,5,1}		1		瑟瑞斯-瞬刻-纯白午后
722	Select	{7,4,3,3,1}		1		芙提雅-驰掣-草莓甜心
722	Select	{7,8,3,4,1}		1		芬妮-辉耀-疾速耀星
722	Select	{4,3,2,1,480}		1		数据金*480
						
723	Select	{7,11,3,4,1}		1		恩雅-澜风-恋恋秋行
723	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
723	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
723	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
723	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
723	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
723	Select	{7,13,2,5,1}		1		瑟瑞斯-瞬刻-纯白午后
723	Select	{7,4,3,3,1}		1		芙提雅-驰掣-草莓甜心
723	Select	{7,8,3,4,1}		1		芬妮-辉耀-疾速耀星
723	Select	{7,2,3,3,1}		1		里芙-无限之视-引风飒意
723	Select	{4,3,2,1,480}		1		数据金*480
						
724	Select	{7,21,1,4,1}		1		奈莉德-冥河代理人-游闲心舒
724	Select	{7,5,3,4,1}		1		茉莉安-幽潮-甜蜜困扰
724	Select	{7,2,3,3,1}		1		里芙-无限之视-引风飒意
724	Select	{7,8,3,4,1}		1		芬妮-辉耀-疾速耀星
724	Select	{7,4,3,3,1}		1		芙提雅-驰掣-草莓甜心
724	Select	{7,13,2,5,1}		1		瑟瑞斯-瞬刻-纯白午后
724	Select	{7,15,2,3,1}		1		凯茜娅-朝翼-秘密彩蛋
724	Select	{7,11,2,4,1}		1		恩雅-羽蜕-专属教练
724	Select	{7,7,2,4,1}		1		琴诺-悖谬-静聆潮韵
724	Select	{7,16,1,3,1}		1		伊切尔-豹豹-绒绒漫步
724	Select	{7,12,2,3,1}		1		猫汐尔-溯影-喵步巧跃
724	Select	{4,3,2,1,480}		1		数据金*480
						
725	Select	{7,8,4,4,1}		1		芬妮-澄意-轻纱暖寐
725	Select	{4,3,2,1,480}		1		数据金*480
						
						
						
						
750	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
750	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
751	Fix	{4,3,2,1,660}				数据金*660
751	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
751	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
751	Fix	{4,3,1,1,50000}				通用银*50000
						
752	Fix	{4,3,2,1,660}				数据金*660
752	Fix	{5,21,2,5,10}				武器定制合约*10
752	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
752	Fix	{4,3,1,1,50000}				通用银*50000
						
753	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
753	Fix	{5,21,2,5,10}				武器定制合约*10
753	Fix	{4,3,1,1,100000}				通用银*100000
753	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
754	Fix	{4,3,2,1,1000}				数据金*1000
754	Fix	{4,3,1,1,200000}				通用银*200000
754	Fix	{5,3,1,4,2}				特级职级认证*2
						
755	Fix	{4,3,2,1,680}				数据金*680
755	Fix	{5,9,1,3,2}				量子胞体*2
755	Fix	{4,3,1,1,300000}				通用银*300000
						
756	Fix	{4,3,2,1,380}				数据金*380
756	Fix	{5,1,1,4,8}				精英战斗记录*8
756	Fix	{4,3,1,1,100000}				通用银*100000
						
757	Fix	{4,3,2,1,380}				数据金*380
757	Fix	{5,9,1,2,117}				光纤轴突*117
757	Fix	{4,3,1,1,200000}				通用银*200000
						
758	Fix	{4,3,2,1,320}				数据金*320
758	Fix	{5,6,1,2,2}				重修申请*2
						
759	Random	{5,4,2,2,60}	1	1		里芙-狂猎碎片*60
759	Random	{5,4,4,2,60}	1	1		芙提雅-缄默碎片*60
759	Random	{5,4,5,2,60}	1	1		茉莉安-雨燕碎片*60
759	Random	{5,4,8,2,60}	1	1		芬妮-咎冠碎片*60
759	Random	{5,4,10,2,60}	1	1		肴-冬至碎片*60
						
760	Random	{2,1,17,1,1}	1	1		星尘回忆
760	Random	{2,1,18,1,1}	1	1		百战老兵
760	Random	{2,2,4,1,1}	1	1		奥林匹斯
760	Random	{2,2,17,1,1}	1	1		虎鲸号角
760	Random	{2,2,19,1,1}	1	1		太空骑手
760	Random	{2,3,17,1,1}	1	1		太阳酬金
760	Random	{2,3,4,1,1}	1	1		小粮食
760	Random	{2,4,3,1,1}	1	1		星辰大海
760	Random	{2,5,3,1,1}	1	1		审判前夜
760	Random	{2,5,19,1,1}	1	1		熔岩骨骼
						
761	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
761	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
762	Fix	{4,3,2,1,1300}				数据金*1300
762	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
762	Fix	{5,21,2,5,10}				武器定制合约*10
762	Fix	{5,1,1,4,5}				精英战斗记录*5
762	Fix	{5,2,1,4,5}				珍稀强化套件*5
762	Fix	{5,9,1,3,2}				量子胞体*2
762	Fix	{5,5,1,4,2}				碳原子板*2
						
763	Fix	{4,3,2,1,660}				数据金*660
763	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
763	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
763	Fix	{4,3,1,1,50000}				通用银*50000
						
764	Fix	{4,3,2,1,660}				数据金*660
764	Fix	{5,21,2,5,10}				武器定制合约*10
764	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
764	Fix	{4,3,1,1,50000}				通用银*50000
						
765	Fix	{4,3,2,1,1000}				数据金*1000
765	Fix	{5,9,1,2,10}				光纤轴突*10
765	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
765	Fix	{4,3,1,1,100000}				通用银*100000
						
766	Fix	{4,3,2,1,680}				数据金*680
766	Fix	{5,9,1,3,2}				量子胞体*2
766	Fix	{4,3,1,1,300000}				通用银*300000
						
767	Fix	{4,3,2,1,380}				数据金*380
767	Fix	{5,1,1,4,8}				精英战斗记录*8
767	Fix	{4,3,1,1,100000}				通用银*100000
						
768	Fix	{4,3,2,1,380}				数据金*380
768	Fix	{5,9,1,2,117}				光纤轴突*117
768	Fix	{4,3,1,1,200000}				通用银*200000
						
769	Fix	{4,3,2,1,320}				数据金*320
769	Fix	{5,6,1,2,2}				重修申请*2
						
770	Fix	{4,3,2,1,660}				数据金*660
770	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
770	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
770	Fix	{4,3,1,1,50000}				通用银*50000
						
771	Fix	{4,3,2,1,660}				数据金*660
771	Fix	{5,21,2,5,10}				武器定制合约*10
771	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
771	Fix	{4,3,1,1,50000}				通用银*50000
						
772	Fix	{4,3,2,1,1000}				数据金*1000
772	Fix	{5,9,1,2,10}				光纤轴突*10
772	Fix	{4,2,1,3,2}				巴德尔试剂（中）*2
772	Fix	{4,3,1,1,100000}				通用银*100000
						
773	Fix	{4,3,2,1,680}				数据金*680
773	Fix	{5,9,1,3,2}				量子胞体*2
773	Fix	{4,3,1,1,300000}				通用银*300000
						
774	Fix	{4,3,2,1,380}				数据金*380
774	Fix	{5,1,1,4,8}				精英战斗记录*8
774	Fix	{4,3,1,1,100000}				通用银*100000
						
775	Fix	{4,3,2,1,380}				数据金*380
775	Fix	{5,9,1,2,117}				光纤轴突*117
775	Fix	{4,3,1,1,200000}				通用银*200000
						
776	Fix	{4,3,2,1,320}				数据金*320
776	Fix	{5,6,1,2,2}				重修申请*2
						
777	Prob	{4,1,6,9,1}	1000			普通劝降掉落（新星开拓）
778	Prob	{4,1,6,9,1}	1500			高级劝降掉落（新星开拓）
779	Prob	{4,1,6,9,1}	2000			稀有劝降掉落（新星开拓）
						
780	Fix	{4,1,6,5,20}				奥普奖券
780	Fix	{5,2,1,3,5}				精致强化套件
						
781	Fix	{4,1,6,5,20}				奥普奖券
781	Fix	{5,1,1,3,5}				优秀战斗记录
						
782	Fix	{4,1,6,5,20}				奥普奖券
782	Fix	{5,6,1,2,2}				重修申请
						
783	Fix	{4,1,6,5,20}				奥普奖券
783	Fix	{4,2,1,3,1}				30体力药
						
784	Fix	{4,1,6,5,20}				奥普奖券
784	Fix	{5,5,1,2,5}				芳烃塑料
						
785	Fix	{4,1,6,5,20}				奥普奖券
785	Fix	{4,3,1,1,7777}				通用银
						
786	Fix	{4,1,6,5,20}				奥普奖券
786	Fix	{5,1,1,3,5}				优秀战斗记录
						
787	Fix	{4,1,6,5,20}				奥普奖券
787	Fix	{5,6,1,2,2}				重修申请
						
788	Fix	{4,1,6,5,20}				奥普奖券
788	Fix	{5,9,1,2,5}				光纤轴突
						
789	Fix	{4,1,6,5,20}				奥普奖券
789	Fix	{4,2,1,3,1}				30体力药
						
790	Fix	{4,1,6,5,20}				奥普奖券
790	Fix	{5,6,1,2,2}				重修申请
						
791	Fix	{4,1,6,5,20}				奥普奖券
791	Fix	{5,3,1,3,5}				高级职级认证
						
792	Fix	{4,1,6,5,20}				奥普奖券
792	Fix	{5,9,1,2,5}				光纤轴突
						
793	Fix	{4,1,6,5,20}				奥普奖券
793	Fix	{4,3,1,1,7777}				通用银
						
794	Fix	{4,1,6,5,20}				奥普奖券
794	Fix	{5,6,1,2,2}				重修申请
						
795	Fix	{4,1,6,5,20}				奥普奖券
795	Fix	{5,5,1,2,5}				芳烃塑料
						
796	Fix	{4,1,6,5,20}				奥普奖券
796	Fix	{4,3,2,1,20}				数据金
						
797	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
797	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
798	Fix	{4,3,2,1,660}				数据金*660
798	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
798	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
798	Fix	{4,3,1,1,50000}				通用银*50000
						
799	Fix	{4,3,2,1,660}				数据金*660
799	Fix	{5,21,2,5,10}				武器定制合约*10
799	Fix	{4,2,1,3,1}				巴德尔试剂（中）*1
799	Fix	{4,3,1,1,50000}				通用银*50000
						
800	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
800	Fix	{5,21,2,5,10}				武器定制合约*10
800	Fix	{4,3,1,1,100000}				通用银*100000
800	Fix	{4,2,1,4,1}				巴德尔试剂（大）*1
						
801	Fix	{4,3,2,1,1000}				数据金*1000
801	Fix	{4,3,1,1,200000}				通用银*200000
801	Fix	{5,3,1,4,2}				特级职级认证*2
						
802	Fix	{4,3,2,1,680}				数据金*680
802	Fix	{5,9,1,3,2}				量子胞体*2
802	Fix	{4,3,1,1,300000}				通用银*300000
						
803	Fix	{4,3,2,1,380}				数据金*380
803	Fix	{5,1,1,4,8}				精英战斗记录*8
803	Fix	{4,3,1,1,100000}				通用银*100000
						
804	Fix	{4,3,2,1,380}				数据金*380
