活动Id	备注文本	玩法名称（难度名称）	玩法类型(1普通2永续3勇者4联机boss5绝地6火线7海姆8禁区9脉冲10航海11绘梦沙盘)	分组(填外壳id)	分组名字(外层玩法名称)	难度(1普通2困难)	开放时间(周几开放 {...})	起始时间	结束时间	领奖结束时间	时间段(单位小时)	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具）	最大人数	匹配最长等待时间（秒），不填或填0则会一直等待匹配，直到人满	轮换关卡	每期增益角色轮换	增益角色按时间配置（优先用此规则，未配置时，按老的GainRole规则）	每个角色增益的百分比(100)	试用角色	场景词缀（0玩家，1怪物）	体力消耗(进入)	未正常通关返还百分比(0-1)	代币门槛(类型3{代币Id,消耗数量,每日累积最大体力,多少体力给1代币})	玩法卡面背景	玩法卡面ICON	玩法说明	玩法介绍(helpimages.txt里面id)	地图预览图	自定义数据(防守玩法时:{活动id(关联任务，没有配0),可获得积分,推荐等级}3类型:{活动id}4类型:{最大伤害,怪物等级}5类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级}8类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级,武器数据版本号默认1}9类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级,插槽数量,收藏期数（每期不同）}10类型:{BP期数(联机BP，没有配0),推荐等级,模组期数（每期不同）,代币id} 12类型{{期数},{需要清理的货币id}}13进击行动{关联赛季id, 推荐等级})	常规隐藏(1隐藏)	单机训练关卡(5类型使用)	地区限制目前可填：{zh_CN,....},不填则无限制）	禁区协议关卡轮换时间（小时）
82	<DLC3.0>勇者游戏-轮换3	ui.TxtBraveGame	3					[202508070400]	[202508210400]	[202508210400]		{{1,20}}	3		{{58,59,60}}	{{{15,3},{17,2},{20,1},{14,3},{4,3},{10,3},{15,2},{18,2},{21,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
83	<DLC3.1>绝地防线-简单（同时也是外壳）	ui.online_defend_difficult1	5	83	ui.TxtDLC6.BtnEvent	1		[202508250400]	[202509080400]	[202509080400]		{{1,30}}	3		{{9115}}	{{{22,1},{10,3},{14,3},{15,3},{17,2},{18,2},{4,3},{8,2},{2,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	174	{1,2,3}	{18,215,40}				
84	<DLC3.1>绝地防线-困难	ui.online_defend_difficult2	5	83	ui.TxtDLC6.BtnEvent	2		[202508290400]	[202509080400]	[202509080400]		{{1,30}}	3		{{9116}}	{{{22,1},{10,3},{14,3},{15,3},{17,2},{18,2},{4,3},{8,2},{2,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	174	{1,2,3}	{18,320,80}				
85	<DLC3.1>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	85	ui.TxtOnlineEvent14	1		[202509080400]	[202509220400]	[202509220400]		{{1,30}}	3		{{9909}}	{{{22,1},{21,1},{12,2},{15,3},{17,2},{11,3},{2,3},{13,2},{1,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{338,200,40}				
86	<DLC3.1>永续联战-困难	ui.online_defend_difficult2	2	85	ui.TxtOnlineEvent14	2		[202509120400]	[202509220400]	[202509220400]		{{1,30}}	3		{{9910}}	{{{22,1},{21,1},{12,2},{15,3},{17,2},{11,3},{2,3},{13,2},{1,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{338,300,80}				
87	<DLC3.1>勇者游戏-轮换4	ui.TxtBraveGame	3					[202509110400]	[202509250400]	[202509250400]		{{1,20}}	3		{{61,62,63}}	{{{22,1},{21,1},{16,1},{15,3},{17,2},{20,1},{3,2},{18,1},{6,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
88	<DLC3.2>激浪联航-简单（同时也是外壳）	ui.TxtOnlineSeaDiff1	10	88	ui.TxtOnlineSeaName	1		[202510200400]	[202511060400]	[202511060400]		{{1,30}}	3		{{9201,9202,9203,9204}}	{{{8,4},{13,3},{22,1},{15,3},{4,3},{11,3},{20,1},{10,2},{2,3}}}		10	{103230,103231,103232,103233,103234}		0	1		1804055		ui.TxtOnlineSeaDiffName1	216	{1,2,3}	{19,30,1,57}				
89	<DLC3.2>激浪联航-困难	ui.TxtOnlineSeaDiff2	10	88	ui.TxtOnlineSeaName	2		[202510240400]	[202511060400]	[202511060400]		{{1,30}}	3		{{9211,9212,9213,9214}}	{{{8,4},{13,3},{22,1},{15,3},{4,3},{11,3},{20,1},{10,2},{2,3}}}		10	{103230,103231,103232,103233,103234}		0	1		1804055		ui.TxtOnlineSeaDiffName2	216	{1,2,3}	{19,40,1,57}				
90	<DLC3.2>激浪联航-挑战	ui.TxtOnlineSeaDiff3	10	88	ui.TxtOnlineSeaName	3		[202510270400]	[202511060400]	[202511060400]		{{1,30},{32,10,10}}	3		{{9221,9222,9223,9224}}	{{{8,4},{13,3},{22,1},{15,3},{4,3},{11,3},{20,1},{10,2},{2,3}}}		10	{103230,103231,103232,103233,103234}		0	1		1804055		ui.TxtOnlineSeaDiffName3	216	{1,2,3}	{19,80,1,57}				
91	<DLC3.2>海姆向前冲-冲关啦	ui.TxtParty.Mode2	7	92	ui.TxtDLC32.BtnRush			[202509280400]	[202511060400]	[202511060400]		{{1,20}}	15	60	{{9602,9605,9606,9609,9610,9613,9616,9617,9618,9619,9620,9622,9627,9628,9629,9630}}									1804055			176		{20}	1			
92	<DLC3.2>海姆向前冲-优化作战	ui.TxtPartyBtnZbug	7	92	ui.TxtDLC32.BtnRush			[202509280400]	[202511060400]	[202511060400]		{{1,20}}	15	60	{{9626}}									1804055			176		{20,1,9632}	1			
93	<DLC3.2>勇者游戏	ui.TxtBraveGame	3					[202510230400]	[202511060400]	[202511060400]		{{1,20}}	3		{{64,65,66}}	{{{8,4},{13,3},{18,2},{22,1},{2,3},{21,1},{5,3},{15,3},{17,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
94	<DLC3.2>绘梦沙盘	ui.TxtDLC32.BtnRmol	11					[202509250400]	[202511060400]	[202511060400]		{{1,20}}	2		{{9875}}						0	1								1			
95	<DLC3.3>脉冲-简单（同时也是外壳）	ui.TxtTowerRushRecord5	9	95	ui.TxtTowerRush	1		[202512010400]	[202512150400]	[202512150400]		{{1,30}}	3		{{9510}}	{{{23,1},{11,3},{8,4},{13,3},{22,1},{18,1},{21,1},{11,2},{2,2}}}		10	{104019,104020,104021,104022,104023}		0	1		1803115			185		{21,265,40,3,95}		{9502}		
96	<DLC3.3>脉冲--困难	ui.TxtTowerRushRecord11	9	95	ui.TxtTowerRush	2		[202512050400]	[202512150400]	[202512150400]		{{1,30}}	3		{{9511}}	{{{23,1},{11,3},{8,4},{13,3},{22,1},{18,1},{21,1},{11,2},{2,2}}}		10	{104019,104020,104021,104022,104023}		0	1		1803115			185		{21,265,40,3,95}		{9502}		
97	<DLC3.3>勇者游戏	ui.TxtBraveGame	3					[202512040400]	[202512180400]	[202512180400]		{{1,20}}	3		{{61,62,63}}	{{{15,3},{17,2},{8,4},{13,3},{22,1},{18,1},{21,1},{11,2},{2,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
98	<DLC3.3>联合清剿竞速关	ui.TxtOnlinePurgeGame1	12	98	ui.TxtOnlinePurge	1		[202511101000]	[202512010400]	[202512010400]		{{1,30}}	3		{{9911}}				{103195,104002,104003,104004,104005,104006}		0	1		1803141			252		{2,{59,60}}				
99	<DLC3.3>联合清剿积分关	ui.TxtOnlinePurgeGame2	12	98	ui.TxtOnlinePurge	2		[202511141000]	[202512010400]	[202512010400]		{{1,30}}	3		{{9912}}				{103195,104002,104003,104004,104005,104006}		0	1		1803141			252		{2,{59,60}}				
100	<DLC3.4>绝地防线-简单（同时也是外壳）	ui.online_defend_difficult1	5	100	ui.TxtDLC6.BtnEvent	1		[202512290400]	[202601120400]	[202601120400]		{{1,30}}	3		{{9117}}	{{{20,2},{12,3},{21,1},{22,1},{8,4},{11,3},{23,1},{6,3},{15,3}}}		10			0	1		1804055		ui.TxtOnlineEvent15	174	{1,2}	{22,215,40}				
101	<DLC3.4>绝地防线-困难	ui.online_defend_difficult2	5	100	ui.TxtDLC6.BtnEvent	2		[202601020400]	[202601120400]	[202601120400]		{{1,30}}	3		{{9118}}	{{{20,2},{12,3},{21,1},{22,1},{8,4},{11,3},{23,1},{6,3},{15,3}}}		10			0	1		1804055		ui.TxtOnlineEvent15	174	{1,2}	{22,320,80}				
102	<DLC3.4>勇者游戏	ui.TxtBraveGame	3					[202601150400]	[202601290400]	[202601290400]		{{1,20}}	3		{{64,65,66}}	{{{20,2},{12,3},{21,1},{22,1},{8,4},{11,3},{23,1},{6,3},{15,3}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
103	<DLC3.4>海姆向前冲-冲关啦	ui.TxtParty.Mode2	7	103	ui.TxtDLC32.BtnRush			[202512180400]	[202601290400]	[202601290400]		{{1,20}}	15	60	{{9602,9605,9606,9609,9610,9613,9616,9617,9618,9619,9620,9622,9627,9628,9629,9630}}									1804055			176		{23}	1			
104	<DLC3.4>海姆向前冲-优化作战	ui.TxtPartyBtnZbug	7	103	ui.TxtDLC32.BtnRush			[202512180400]	[202601290400]	[202601290400]		{{1,20}}	15	60	{{9626}}									1804055			176		{23,1,9632}	1			
105	<DLC3.5>海姆向前冲-PVP	ui.TxtPartyBtnZbug	7	105	ui.TxtDLC32.BtnRush			[202601290400]	[202603120400]	[202603120400]		{{1,20}}	15	60	{{9634,9626}}									1804055					{24,1,9632}	1			
106	<DLC3.5>进击行动赛季1-常规（同时也是外壳）	ui.TxtAssaultopsDiff1	13	106	ui.TxtAssaultopsName	1	{1,2,3,4,5,6,7}	[202602020400]	[202604230400]	[202604230400]			3		{{60200,60201},{60204,60205}}	{{{22,1},{10,3},{14,3},{15,3},{17,2},{18,2},{4,3},{8,2},{2,2}}}	{18,19,20,21,22}	10			0	1		1803014		ui.TxtOnlineEvent15	271		{1,30}				
107	<DLC3.5>进击行动赛季1-限时	ui.TxtAssaultopsDiff2	13	106	ui.TxtAssaultopsName	2	{1,2,3,4,5,6,7}	[202602120400]	[202603050400]	[202603050400]			3		{{60206,60207}}	{{{22,1},{10,3},{14,3},{15,3},{17,2},{18,2},{4,3},{8,2},{2,2}}}	{18,19,20,21,22}	10			0	1		1803014		ui.TxtOnlineEvent15	271		{1,80}				
108	<DLC3.6>激浪联航二期-简单（同时也是外壳）	ui.TxtOnlineSeaDiff1	10	108	ui.TxtOnlineSeaName	1		[202605110400]	[202606010400]	[202606010400]		{{1,30}}	3		{{9231,9232,9233}}	{{{24,1},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1},{11,1}}}		10	{103259,103260,103234,103232,103231}		0	1		1804055		ui.TxtOnlineSeaDiffName1	216	{1,2,3}	{25,30,1,57}		{9200}		
109	<DLC3.6>激浪联航二期-困难	ui.TxtOnlineSeaDiff2	10	108	ui.TxtOnlineSeaName	2		[202605150400]	[202606010400]	[202606010400]		{{1,30}}	3		{{9241,9242,9243}}	{{{24,1},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1},{11,1}}}		10	{103259,103260,103234,103232,103231}		0	1		1804055		ui.TxtOnlineSeaDiffName2	216	{1,2,3}	{25,40,1,57}		{9200}		
110	<DLC3.6>激浪联航二期-远航	ui.TxtOnlineSeaDiff3	10	108	ui.TxtOnlineSeaName	3		[202605180400]	[202606010400]	[202606010400]		{{1,30},{32,10,10}}	3		{{9251}}	{{{24,1},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1},{11,1}}}		10	{103259,103260,103234,103232,103231}		0	1		1804055		ui.TxtOnlineSeaDiffName3	216	{1,2,3}	{25,80,1,57}		{9200}		
111	<DLC3.5>勇者游戏	ui.TxtBraveGame	3					[202605080400]	[202605150400]	[202605150400]		{{1,20}}	3		{{70,71,72}}	{{{24,1},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1},{11,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
112	<DLC3.5>海姆向前冲-PVE	ui.TxtPartyPVE.Name	7	105	ui.TxtDLC32.BtnRush			[202601300400]	[202603120400]	[202603120400]		{{1,20}}	3		{{9633}}									1804055					{24}	1			
113	<DLC3.6>联合清剿竞速关	ui.TxtOnlinePurgeGame1	12	113	ui.TxtOnlinePurge	1		[202605250400]	[202606190400]	[202606190400]		{{1,30}}	3		{{9913}}	{{{24,1},{4,4},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1}}}		10	{103195,104002,104003,104004,104005,104006}		0	1		1803141			252		{3,{59,60}}				
114	<DLC3.6>联合清剿积分关	ui.TxtOnlinePurgeGame2	12	113	ui.TxtOnlinePurge	2		[202605290400]	[202606190400]	[202606190400]		{{1,30}}	3		{{9914}}	{{{24,1},{4,4},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1}}}		10	{103195,104002,104003,104004,104005,104006}		0	1		1803141			252		{3,{59,60}}				
115	<DLC3.5>海姆向前冲-冲关啦-复刻3.2	ui.TxtParty.Mode2	7	105	ui.TxtDLC32.BtnRush			[202601290400]	[202603120400]	[202603120400]		{{1,20}}	15	60	{{9602,9605,9606,9609,9610,9613,9616,9617,9618,9619,9620,9622,9627,9628,9629,9630}}									1804055					{24}	1			
116	<DLC3.6>激浪联航-教学	ui.TxtOnlineSeaMainName3	10	108	ui.TxtOnlineSeaName	0		[202605110400]	[202606010400]	[202606010400]		{{1,30}}	1		{{9200}}	{{{24,1},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1},{11,1}}}		10	{103259,103260,103234,103232,103231}		0	1		1804055		ui.TxtOnlineSeaDiffName4		{1,2,3}	{25,30,1,57}				
117	<DLC3.6>海姆向前冲-捉迷藏	ui.TxtParty.Mode1	7	117	ui.TxtDLC36.BtnRush			[202605080400]	[202606190400]	[202606190400]		{{1,20}}	15	60	{{9623,9625,9638,9639}}									1804055					{26}	1			
118	<DLC3.6>勇者游戏	ui.TxtBraveGame	3					[202606050400]	[202606190400]	[202606190400]		{{1,20}}	3		{{73,74,75}}	{{{24,1},{4,4},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
119	<DLC3.7>脉冲-简单（同时也是外壳）	ui.TxtTowerRushRecord5	9	119	ui.TxtTowerRush	1		[202601220400]	[202612150400]	[202612150400]		{{1,30}}	3		{{9520}}	{{{23,1},{11,3},{8,4},{13,3},{22,1},{18,1},{21,1},{11,2},{2,2}}}		10	{104019,104020,104021,104022,104023}		0	1		1803115			185		{21,265,40,3,95}		{9502}		
120	<DLC3.7>脉冲--困难	ui.TxtTowerRushRecord11	9	119	ui.TxtTowerRush	2		[202601220400]	[202612150400]	[202612150400]		{{1,30}}	3		{{9521}}	{{{23,1},{11,3},{8,4},{13,3},{22,1},{18,1},{21,1},{11,2},{2,2}}}		10	{104019,104020,104021,104022,104023}		0	1		1803115			185		{21,265,40,3,95}		{9502}		
122	<DLC3.7>海姆向前冲-PVE	ui.TxtPartyPVE.Name	7	122	ui.TxtDLC32.BtnRush			[202601300400]	[202603120400]	[202603120400]		{{1,20}}	3		{{9633,9640}}									1804055					{24}	1			
123	<DLC3.7>海姆向前冲-PVP	ui.TxtPartyBtnZbug	7	122	ui.TxtDLC32.BtnRush			[202601290400]	[202603120400]	[202603120400]		{{1,20}}	15	60	{{9634,9626,9641}}									1804055					{24,1,9632}	1			
124	<DLC3.6>海姆向前冲-冲关啦	ui.TxtParty.Mode2	7	117	ui.TxtDLC32.BtnRush			[202605080400]	[202606190400]	[202606190400]		{{1,20}}	15	60	{{9601,9604,9605,9606,9609,9611,9613,9618,9619,9622,9628,9630}}									1804055					{26}	1			
125	<DLC3.7>进击行动赛季2-常规（同时也是外壳）	ui.TxtAssaultopsDiff1	13	125	ui.TxtAssaultopsName	1	{1,2,3,4,5,6,7}	[202604230400]	[209912310400]	[209912310400]			3		{{60210,60211},{60200,60201},{60204,60205}}	{{{22,1},{10,3},{14,3},{15,3},{17,2},{18,2},{4,3},{8,2},{2,2}}}	{18,19,20,21,22}	10			0	1		1803014		ui.TxtOnlineEvent15	271		{2,30}				
126	<DLC3.7>进击行动赛季2-限时	ui.TxtAssaultopsDiff2	13	125	ui.TxtAssaultopsName	2	{1,2,3,4,5,6,7}	[202604240400]	[202606040400]	[202606040400]			3		{{60212,60213}}	{{{22,1},{10,3},{14,3},{15,3},{17,2},{18,2},{4,3},{8,2},{2,2}}}	{18,19,20,21,22}	10			0	1		1803014		ui.TxtOnlineEvent15	271		{2,80}				
127	<DLC3.7>勇者游戏	ui.TxtBraveGame	3					[202604300400]	[202605140400]	[202605140400]		{{1,20}}	3		{{73,74,75}}	{{{24,1},{4,4},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
