Id	联机id	备注	类型（1防守波次  2战斗行为）	战斗行为子类型（1.伤害占比达到 2.救助队友 3.阵亡次数小于 4.释放大招次数达到 5.收集资源 6.释放智械道具次数	战斗行为参数	文本描述	积分描述	积分值	荣誉分
281	46	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	240	
282	46	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	320	
283	46	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
284	46	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
285	46	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
286	46	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
287	46	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
									
288	47	成功通关游戏	2			ui.online_defend_pointlist_name34	ui.TxtOnlineHardMissionDetai2	0	300
291	47	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.TxtOnlineHardMissionDetai2	0	5
292	47	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.TxtOnlineHardMissionDetai2	0	10
293	47	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.TxtOnlineHardMissionDetai2	0	15
294	47	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.TxtOnlineHardMissionDetai2	0	5
295	47	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.TxtOnlineHardMissionDetai2	0	5
296	47	释放大招次数达到2	2	4	2	ui.online_defend_pointlist_name32	ui.TxtOnlineHardMissionDetai2	0	5
									
297	50	营地占领进度100				ui.online_defend_pointlist_name26	ui.online_defend_pointlist_des1	70	
298	50	抵御敌人进攻1波				ui.online_defend_pointlist_name27	ui.online_defend_pointlist_des1	140	
299	50	抵御敌人进攻2波				ui.online_defend_pointlist_name28	ui.online_defend_pointlist_des1	215	
300	50	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
301	50	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
302	50	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
303	50	兵器使用次数达到5	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
304	50	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
305	51	营地占领进度100				ui.online_defend_pointlist_name26	ui.online_defend_pointlist_des1	100	
306	51	抵御敌人进攻1波				ui.online_defend_pointlist_name27	ui.online_defend_pointlist_des1	200	
307	51	抵御敌人进攻2波				ui.online_defend_pointlist_name28	ui.online_defend_pointlist_des1	320	
308	51	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
309	51	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
310	51	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
311	51	兵器使用次数达到3	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
312	51	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
									
313	52	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
314	52	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	30	
315	52	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
316	52	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	70	
317	52	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	95	
318	52	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	125	
319	52	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	160	
320	52	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	200	
321	52	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
322	52	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
323	52	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
324	52	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
325	52	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
326	52	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
327	52	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
328	53	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
329	53	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	45	
330	53	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	75	
331	53	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	105	
332	53	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	145	
333	53	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	190	
334	53	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	240	
335	53	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	300	
336	53	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
337	53	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
338	53	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
339	53	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
340	53	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
341	53	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
342	53	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
343	56	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	30	
344	56	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	70	
345	56	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	115	
346	56	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	165	
347	56	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	215	
348	56	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
349	56	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
350	56	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
351	56	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
352	56	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
353	57	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	50	
354	57	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	105	
355	57	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	170	
356	57	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	240	
357	57	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	320	
358	57	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
359	57	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
360	57	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
361	57	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
362	57	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
									
363	67	完成关卡阶段1				ui.online_defend_pointlist_name35	ui.online_defend_pointlist_des1	70	
364	67	完成关卡阶段2				ui.online_defend_pointlist_name36	ui.online_defend_pointlist_des1	140	
365	67	完成关卡阶段3				ui.online_defend_pointlist_name37	ui.online_defend_pointlist_des1	215	
366	67	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
367	67	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
368	67	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
369	67	兵器使用次数达到5	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
370	67	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
371	68	完成关卡阶段1				ui.online_defend_pointlist_name35	ui.online_defend_pointlist_des1	100	
372	68	完成关卡阶段2				ui.online_defend_pointlist_name36	ui.online_defend_pointlist_des1	200	
373	68	完成关卡阶段3				ui.online_defend_pointlist_name37	ui.online_defend_pointlist_des1	320	
374	68	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
375	68	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
376	68	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
377	68	兵器使用次数达到3	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
378	68	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
									
379	60	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
380	60	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	30	
381	60	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
382	60	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	70	
383	60	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	95	
384	60	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	125	
385	60	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	160	
386	60	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	200	
387	60	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
388	60	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
389	60	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
390	60	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
391	60	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
392	60	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
393	60	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
394	61	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
395	61	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	45	
396	61	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	75	
397	61	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	105	
398	61	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	145	
399	61	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	190	
400	61	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	240	
401	61	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	300	
402	61	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
403	61	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
404	61	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
405	61	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
406	61	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
407	61	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
408	61	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
409	69	坚守成功	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	215	
410	69	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
411	69	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
412	69	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
413	69	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
414	69	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
415	70	坚守成功	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	320	
416	70	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
417	70	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
418	70	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
419	70	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
420	70	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
									
421	78	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	35	
422	78	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	75	
423	78	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	115	
424	78	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	165	
425	78	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	215	
426	78	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
427	78	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
428	78	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
429	79	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	50	
430	79	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	115	
431	79	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	180	
432	79	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	250	
433	79	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	320	
434	79	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
435	79	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
436	79	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
									
437	73	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
438	73	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	30	
439	73	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
440	73	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	70	
441	73	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	95	
442	73	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	125	
443	73	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	160	
444	73	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	200	
445	73	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
446	73	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
447	73	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
448	73	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
449	73	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
450	73	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
451	73	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
452	74	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
453	74	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	45	
454	74	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	75	
455	74	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	105	
456	74	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	145	
457	74	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	190	
458	74	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	240	
459	74	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	300	
460	74	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
461	74	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
462	74	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
463	74	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
464	74	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
465	74	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
466	74	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
467	80	完成关卡阶段1				ui.online_defend_pointlist_name35	ui.online_defend_pointlist_des1	70	
468	80	完成关卡阶段2				ui.online_defend_pointlist_name36	ui.online_defend_pointlist_des1	140	
469	80	完成关卡阶段3				ui.online_defend_pointlist_name37	ui.online_defend_pointlist_des1	215	
470	80	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
471	80	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
472	80	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
473	80	兵器使用次数达到5	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
474	80	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
475	81	完成关卡阶段1				ui.online_defend_pointlist_name35	ui.online_defend_pointlist_des1	100	
476	81	完成关卡阶段2				ui.online_defend_pointlist_name36	ui.online_defend_pointlist_des1	200	
477	81	完成关卡阶段3				ui.online_defend_pointlist_name37	ui.online_defend_pointlist_des1	320	
478	81	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
479	81	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
480	81	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
481	81	兵器使用次数达到3	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
482	81	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
									
483	83	坚守成功	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	215	
484	83	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
485	83	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
486	83	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
487	83	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
488	83	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
489	84	坚守成功	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	320	
490	84	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
491	84	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
492	84	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
493	84	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
494	84	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
									
495	85	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
496	85	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	30	
497	85	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
498	85	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	70	
499	85	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	95	
500	85	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	125	
501	85	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	160	
502	85	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	200	
503	85	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
504	85	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
505	85	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
506	85	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
507	85	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
508	85	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
509	85	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
510	86	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
511	86	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	45	
512	86	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	75	
513	86	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	105	
514	86	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	145	
515	86	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	190	
516	86	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	240	
517	86	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	300	
518	86	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
519	86	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
520	86	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
521	86	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
522	86	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
523	86	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
524	86	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
525	95	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
526	95	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	40	
527	95	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
528	95	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	65	
529	95	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	90	
530	95	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
531	95	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
532	95	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
533	96	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
534	96	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	40	
535	96	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
536	96	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	65	
537	96	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	90	
538	96	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
539	96	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
540	96	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
									
541	100	坚守成功	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	215	
542	100	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
543	100	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
544	100	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
545	100	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
546	100	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
