音效配置ID	描述	音效事件
41529	还想再来一轮吗	Play_Vo_AM_girl015_09
41530	下次，还是让我亲手教教你吧~	Play_Vo_AM_girl015_10
		
41601	嗷~早上好！	Play_Vo_girl016_F_01
41602	开饭了吗？	Play_Vo_girl016_F_02
41603	叫我吗？	Play_Vo_girl016_F_03
41604	多陪陪我嘛！	Play_Vo_girl016_F_04
41605	软软的，好暖和……	Play_Vo_girl016_F_05
		
41801	早上好呀。	Play_Vo_girl018_F_01
41802	想看电影吗？	Play_Vo_girl018_F_02
41803	请再靠近一些！	Play_Vo_girl018_F_03
41804	我在想……	Play_Vo_girl018_F_04
41805	有办法控制梦境吗？	Play_Vo_girl018_F_05
		
42001		Play_Vo_girl020_F_01
42002		Play_Vo_girl020_F_02
42003		Play_Vo_girl020_F_03
42004		Play_Vo_girl020_F_04
42005		Play_Vo_girl020_F_05
		
42101		Play_Vo_girl021_F_01
42102		Play_Vo_girl021_F_02
42103		Play_Vo_girl021_F_03
42104		Play_Vo_girl021_F_04
42105		Play_Vo_girl021_F_05
		
		
42201		Play_Vo_girl022_F_01
42202		Play_Vo_girl022_F_02
42203		Play_Vo_girl022_F_03
42204		Play_Vo_girl022_F_04
42205		Play_Vo_girl022_F_05
		
42301		Play_Vo_girl023_F_01
42302		Play_Vo_girl023_F_02
42303		Play_Vo_girl023_F_03
42304		Play_Vo_girl023_F_04
42305		Play_Vo_girl023_F_05
		
42401		Play_Vo_girl024_F_01
42402		Play_Vo_girl024_F_02
42403		Play_Vo_girl024_F_03
42404		Play_Vo_girl024_F_04
42405		Play_Vo_girl024_F_05
		
410101	分析员今天也很准时。	Play_Vo_npc002_F_01
410102	忙不过来的时候记得和我说。	Play_Vo_npc002_F_02
410103	今天没什么特别的事吧？一起去逛逛如何。	Play_Vo_npc002_F_03
410104	嗯……过几天，再收一些有用的旧式电器吧。	Play_Vo_npc002_F_04
410105	脚步很轻快嘛，看来分析员今天心情不错。	Play_Vo_npc002_F_05
		
40199	洗澡哼歌	Play_Vo_bath_girl001
40299	洗澡哼歌	Play_Vo_bath_girl002
40399	洗澡哼歌	Play_Vo_bath_girl003
40499	洗澡哼歌	Play_Vo_bath_girl004
40599	洗澡哼歌	Play_Vo_bath_girl005
40699	洗澡哼歌	Play_Vo_bath_girl006
40799	洗澡哼歌	Play_Vo_bath_girl007
40899	洗澡哼歌	Play_Vo_bath_girl008
41099	洗澡哼歌	Play_Vo_bath_girl010
41199	洗澡哼歌	Play_Vo_bath_girl011
41299	洗澡哼歌	Play_Vo_bath_girl012
41399	洗澡哼歌	Play_Vo_bath_girl013
41499	洗澡哼歌	Play_Vo_bath_girl014
41599	洗澡哼歌	Play_Vo_bath_girl015
41699	洗澡哼歌	Play_Vo_bath_girl016
41799	洗澡哼歌	Play_Vo_bath_girl017
41899	洗澡哼歌	Play_Vo_bath_girl018
42099	洗澡哼歌	Play_Vo_bath_girl020
42199	洗澡哼歌	Play_Vo_bath_girl021
42299	洗澡哼歌	Play_Vo_bath_girl022
42399	洗澡哼歌	Play_Vo_bath_girl023
		
40198	洗澡出浴	Play_Vo_outbath_girl001
40298	洗澡出浴	Play_Vo_outbath_girl002
40398	洗澡出浴	Play_Vo_outbath_girl003
40498	洗澡出浴	Play_Vo_outbath_girl004
40598	洗澡出浴	Play_Vo_outbath_girl005
40698	洗澡出浴	Play_Vo_outbath_girl006
40798	洗澡出浴	Play_Vo_outbath_girl007
40898	洗澡出浴	Play_Vo_outbath_girl008
41098	洗澡出浴	Play_Vo_outbath_girl010
41198	洗澡出浴	Play_Vo_outbath_girl011
41298	洗澡出浴	Play_Vo_outbath_girl012
41398	洗澡出浴	Play_Vo_outbath_girl013
41498	洗澡出浴	Play_Vo_outbath_girl014
41598	洗澡出浴	Play_Vo_outbath_girl015
41698	洗澡出浴	Play_Vo_outbath_girl016
41798	洗澡出浴	Play_Vo_outbath_girl017
41898	洗澡出浴	Play_Vo_outbath_girl018
42098	洗澡出浴	Play_Vo_outbath_girl020
42198	洗澡出浴	Play_Vo_outbath_girl021
42298	洗澡出浴	Play_Vo_outbath_girl022
42398	洗澡出浴	Play_Vo_outbath_girl023
		
		
6001	DLC3 大富翁  BGM	Play_BGM_DLC3_Rich
6002	DLC3 大富翁  UI点击音效	Play_Rich_DLC3_Tap2
6003	DLC3 大富翁  走路音效	Play_Rich_DLC3_Walk
6004	DLC3 大富翁  房子升级音效	Play_Rich_DLC3_Upgrade
6005	DLC3 大富翁  交互音效，加钱	Play_Rich_DLC3_RisePrice
6006	DLC3 大富翁  交互音效2	Play_Rich_DLC3_Effect
6007	DLC3 大富翁  应援界面音效	Play_Rich_DLC3_Enter2
6008	DLC3 大富翁  睡眠仓阻拦角色走路音效	Play_Rich_DLC3_Stop
6009	DLC3 大富翁  爆炸音效1	Play_Rich_DLC3_Bomb1
6010	DLC3 大富翁  爆炸音效2	Play_Rich_DLC3_Bomb2
6011	DLC3 大富翁  转盘音效	Play_Rich_DLC3_Roll
6012	DLC3 大富翁  使用功能卡片音效	Play_Rich_DLC3_Function
6013	DLC3 大富翁  应援投票反馈音效·票数少	Play_Rich_DLC3_Vote1
6014	DLC3 大富翁  应援投票反馈音效·票数多	Play_Rich_DLC3_Vote2
6015	DLC3 大富翁  地面点击音效	Play_Rich_DLC3_Tap1
6016	DLC3 大富翁  结算界面音效	Play_Rich_DLC3_End
6017	DLC3 大富翁  场景海鸥音效	Play_Rich_DLC3_Amb
6019	DLC3 大富翁  电话响铃音效	Play_Rich_DLC3_Ring
6020	DLC3 大富翁  主界面音效	Play_Rich_DLC3_Enter1
6021	DLC3 大富翁  事件弹出界面音效	Play_Rich_DLC3_Pop
		
6101	前进骰子音效	Play_Rich_DLC9_Walk
6102	事件弹出音效	Play_Rich_DLC9_Pop
6103	烟花音效	Play_Rich_DLC9_YanHua
6104	彩带音效	Play_Rich_DLC9_CaiDai
6105	按钮通用音效	Play_Rich_DLC9_Tap
6106	论坛点赞音效	Play_Rich_DLC9_Vote
6107	特殊周开启音效	Play_Rich_DLC9_Upgrade
6108	角色相遇音效	Play_Rich_DLC9_XiangYu
		
6111	小游戏射击-自己射击对面-空弹（彩带）	Play_DLC25_HouseGame_03
6112	小游戏射击-自己射击对面-实弹（水弹）	Play_DLC25_HouseGame_04
6113	扭扭车出发	Play_Vo_girl004_houseche001_01
6114	扭扭车随机1	Play_Vo_girl004_houseche001_02
6115	扭扭车随机2	Play_Vo_girl004_houseche001_03
		
6201	DLC34_星祈心愿_抽奖时的音效	Play_DLC34_UI01
6202	DLC34_星祈心愿_装饰时的刷新的音效	Play_DLC34_UI02
6203	DLC34_星祈心愿_界面常驻音效	Play_DLC34_UI03
6204	DLC34_星祈心愿_界面打开音效	Play_DLC34_UI04
6205	DLC34_星祈心愿_通知弹出音效1	Play_DLC34_UI05
6206	DLC34_星祈心愿_通知弹出音效2	Play_DLC34_UI06
