 	角色ID	Wwise事件	描述	气泡文本key	多个Wwise事件时随机概率	是否播放状态:0-自己播,队友不播;1-自己播,队友也播
getHPpack	1017	Play_Vo_girl017_item001_014	啊得救啦！(松一口气的感觉）		1	0
getCDpack	1017	Play_Vo_girl017_item002_015	魔术正要开始呢！		1	0
getCoin	1017	Play_Vo_girl017_item003_016	有经费做新道具啦！		1	0
openbox	1017	Play_Vo_girl017_item004_017	感觉这也能用来当魔术道具~		1	0
hurt001	1017	Play_Vo_girl017_hurt001_018	没事没事，不痛不痛！		1	0
hurt002	1017	Play_Vo_girl017_hurt002_019	呜……有点疼……		1	0
hurt003	1017	Play_Vo_girl017_hurt003_020	明明没有人……能在这段背景音里击败我。		1	0
hurt004	1017	Play_Vo_girl017_hurt004_021	啊！吓我一跳！		1	0
reload	1017	Play_Vo_girl017_action001_022	这只是个小把戏哦~	speak.1017_reload	1	0
touch	1017	Play_Vo_girl017_action003_024	会不会跳出个小兔子呢	speak.1017_touch	1	0
taskfinish	1017	Play_Vo_girl017_action004_025	呼——（出口大气）中场休息！	speak.1017_taskfinish	1	0
taskfinish	1017	Play_Vo_girl017_action005_025	报告！小目标完成！	speak.1017_taskfinish	1	0
win	1017	Play_Vo_girl017_win001_026	表演顺利完成，感谢捧场！	speak.1017_win	1	0
win	1017	Play_Vo_girl017_win002_027	该回家想想新的魔术了~	speak.1017_win	1	0
lose	1017	Play_Vo_girl017_lose001_028	呜额……我又搞砸了……	speak.1017_lose	1	0
giveup	1017	Play_Vo_girl017_giveup001_029	对不起对不起，下次我会做好准备的！		1	0
main001	1017	Play_Vo_girl017_main001_032	欢迎回来~我一直在等你呢！想让分析员第一个看到我昨晚想到的新魔术！	speak.1017_main001	1	0
main002	1017	Play_Vo_girl017_main002_033	（掏苹果咬一口后）饿不饿呀？来吃苹果~这个我咬过了。（魔术变个新苹果）锵锵~	speak.1017_main002	1	0
main003	1017	Play_Vo_girl017_main003_034	想知道魔术怎么表演？（确认没人后，拉近距离）那我只告诉分析员，这是我们之间的秘密哦！（小声）	speak.1017_main003	1	0
main101	1017	Play_Vo_girl017_main101a	最好还是不要对我的作战能力过分期待……诶嘿嘿	speak.1017_main101	1	0
main201	1017	Play_Vo_girl017_main201a	总感觉我做魔术道具受的伤比战场上还多。	speak.1017_main201	1	0
EntryShop	1017	Play_Vo_girl017_purchase002_039	好多没见过的东西啊！		1	0
PaySuccess	1017	Play_Vo_girl017_purchase004_041	分析员大气！超帅的！		1	0
gacha	1017	Play_Vo_girl017_gacha001_042	掌声欢迎！未来的世界第一魔术师，苔丝·科特金！哈哈~	speak.1017_gacha	1	0
repel	1017	Play_Mo_girl017_ouch01_056			1	0
						
薇蒂雅_龙舌兰						
enterlevel	1018	Play_Vo_girl018_enterlevel001_001	请务必按照计划行事！	speak.1018_enterlevel	1	0
enterlevel	1018	Play_Vo_girl018_enterlevel002_002	别出意外，别，出，意，外！	speak.1018_enterlevel	1	0
exchange	1018	Play_Vo_girl018_exchange001_003	让我来吧，很快就好。	speak.1018_exchange	1	0
exchange	1018	Play_Vo_girl018_exchange002_004	不错的登场时机。	speak.1018_exchange	1	0
wavelittle	1018	Play_Vo_girl018_engage001_005	我会快速解决的。	speak.1018_wavelittle	1	0
wavemany	1018	Play_Vo_girl018_engage002_006	送他们离场吧。	speak.1018_wavemany	1	0
killmonster001	1018	Play_Vo_girl018_eliminate001_007	转瞬即逝的，可不只是子弹。	speak.1018_killmonster001	1	0
killmonster002	1018	Play_Vo_girl018_eliminate002_008	耶——咳咳，没什么。	speak.1018_killmonster002	1	0
killmonster003	1018	Play_Vo_girl018_eliminate003_009	抱歉，你杀青了。	speak.1018_killmonster003	1	0
skill01a_7	1018	Play_Vo_girl018_skill1001a_7	嘿——		1	0
skill01a_8	1018	Play_Vo_girl018_skill1001a_8	哈！		1	0
skill01a_9	1018	Play_Vo_girl018_skill1001a_9	接下来……	speak.1018_skill01a_9	1	0
skill01a_10	1018	Play_Vo_girl018_skill1001a_10	是认真的！		1	0
skill04	1018	Play_Vo_girl018_skill4001_012	请勿靠近！	speak.1018_skill04	1	0
skill03	1018	Play_Vo_girl018_skill3001_013	你将看到，前所未见之物！	speak.1018_skill03	1	0
getHPpack	1018	Play_Vo_girl018_item001_014	呼……帮大忙了。		1	0
getCDpack	1018	Play_Vo_girl018_item002_015	来得正好！		1	0
getCoin	1018	Play_Vo_girl018_item003_016	我会帮你存起来的~		1	0
openbox	1018	Play_Vo_girl018_item004_017	打开看看？		1	0
hurt001	1018	Play_Vo_girl018_hurt001_018	一点小伤，没关系的。		1	0
hurt002	1018	Play_Vo_girl018_hurt002_019	我还能……坚持！		1	0
hurt003	1018	Play_Vo_girl018_hurt003_020	这次，不是幻想……		1	0
hurt004	1018	Play_Vo_girl018_hurt004_021	多余的保护措施。		1	0
reload	1018	Play_Vo_girl018_action001_022	中、中场休息！	speak.1018_reload	1	0
touch	1018	Play_Vo_girl018_action003_024	这样……就可以了。	speak.1018_touch	1	0
taskfinish	1018	Play_Vo_girl018_action004_025	准备下一幕吧。	speak.1018_taskfinish	1	0
taskfinish	1018	Play_Vo_girl018_action005_025	好戏还在后头呢！	speak.1018_taskfinish	1	0
win	1018	Play_Vo_girl018_win001_026	现在，没有事情能打扰我们了（痴笑）	speak.1018_win	1	0
win	1018	Play_Vo_girl018_win002_027	接下来，就是独属于我们的时间……	speak.1018_win	1	0
lose	1018	Play_Vo_girl018_lose001_028	如此真实的，痛觉……	speak.1018_lose	1	0
giveup	1018	Play_Vo_girl018_giveup001_029	没关系，重来一次吧。		1	0
main001	1018	Play_Vo_girl018_main001_032	果然没白等，今天我是第一个见到分析员的人！	speak.1018_main001	1	0
main002	1018	Play_Vo_girl018_main002_033	昨天成功摸到分析员的腹肌了，那今天我可以……哎嘿嘿~（痴女妄想脸啊，是是……是分析员！（惊慌社死）	speak.1018_main002	1	0
main003	1018	Play_Vo_girl018_main003_034	分析员，我可以再走近些看看你吗？（乖巧请求）那……我能摸摸你吗？（走到镜头前，一边仔细看一边进一步请求）我……我这都是为了下一部作品在取材，嗯！（边摸边装理直气壮点头）	speak.1018_main003	1	0
main101	1018	Play_Vo_girl018_main101	咳……（扭捏害羞）任务结束后，来我房间一起看电影吧！（大方邀请）	speak.1018_main101	1	0
main201	1018	Play_Vo_girl018_main201	怎么办……分析员（不知所措的感觉），你这么看着我太犯规了……	speak.1018_main201	1	0
EntryShop	1018	Play_Vo_girl018_purchase002_039	需要购物清单吗？		1	0
PaySuccess	1018	Play_Vo_girl018_purchase004_041	嗯！和我想的一样呢。		1	0
gacha	1018	Play_Vo_girl018_gacha001_042	啊啊啊……！薇蒂雅，现在可不是妄想的时候！	speak.1018_gacha	1	0
repel	1018	Play_Mo_girl018_ouch01_056			1	0
float	1018	Play_Mo_girl018_endure01_062			1	0
						
卜卜_灵鉴_DLC3.4						
enterlevel	1120	Play_Vo_girl020a_enterlevel001_001	卜卜绝不辜负分析员对我的信任。	speak.1120_enterlevel	1	0
enterlevel	1120	Play_Vo_girl020a_enterlevel002_002	没问题，新装备适应良好，接下来看我的~	speak.1120_enterlevel	1	0
exchange	1120	Play_Vo_girl020a_exchange001_003	化煞避凶，让专业的来！	speak.1120_exchange	1	0
exchange	1120	Play_Vo_girl020a_exchange002_004	谁都不准伤害分析员！	speak.1120_exchange	1	0
wavelittle	1120	Play_Vo_girl020a_engage001_005	有邪祟！	speak.1120_wavelittle	1	0
wavemany	1120	Play_Vo_girl020a_engage002_006	好重的煞气！	speak.1120_wavemany	1	0
killmonster001	1120	Play_Vo_girl020a_eliminate001_007	小菜一碟。	speak.1120_killmonster001	1	0
killmonster002	1120	Play_Vo_girl020a_eliminate002_008	分析员，卜卜表现得还不错吧~	speak.1120_killmonster002	1	0
killmonster003	1120	Play_Vo_girl020a_eliminate003_009	逢凶，化吉。	speak.1120_killmonster003	1	0
skill03c_34	1120	Play_Vo_girl020a_skill1001_010	万象入镜。		1	0
skill01d_34	1120	Play_Vo_girl020a_skill1002_010	你们跑不掉的！		1	0
skill01e_34	1120	Play_Vo_girl020a_skill1003_010	流光溢镜		1	0
skill01e_34	1120	Play_Vo_girl020a_skill1004_010	影随念动。		1	0
skill01f_34	1120	Play_Vo_girl020a_skill1005_010	吃我一击！		1	0
skill04	1120	Play_Vo_girl020a_skill4001_012	镜阵，起。	speak.1120_skill04	1	0
skill03c_34	1120	Play_Vo_girl020a_skill3001_013	镜爻，开。	speak.1120_skill03	1	0
skill03d_34	1120	Play_Vo_girl020a_skill3002_013	诸邪尽灭，破！	speak.1120_skill03	1	0
getHPpack	1120	Play_Vo_girl020a_item001_014	卜卜现在气血充盈，干劲满满！	speak.1120_getHPpack	1	0
getCDpack	1120	Play_Vo_girl020a_item002_015	天时已到，机不可失。	speak.1120_getCDpack	1	0
getCoin	1120	Play_Vo_girl020a_item003_016	招财进宝~	speak.1120_getCoin	1	0
openbox	1120	Play_Vo_girl020a_item004_017	多多益善！	speak.1120_openbox	1	0
hurt001	1120	Play_Vo_girl020a_hurt001_018	不要担心卜卜，专注眼前。	speak.1120_hurt001	1	0
hurt002	1120	Play_Vo_girl020a_hurt002_019	看来我修炼得还不到家。	speak.1120_hurt002	1	0
hurt003	1120	Play_Vo_girl020a_hurt003_020	卜卜……让你失望了么，分析员……	speak.1120_hurt003	1	0
hurt004	1120	Play_Vo_girl020a_hurt004_021	唔，接下来要小心了！	speak.1120_hurt004	1	0
reload	1120	Play_Vo_girl020a_action001_022	准备万全。	speak.1120_reload	1	0
touch	1120	Play_Vo_girl020a_action003_024	只需轻轻那么一点~	speak.1120_touch	1	0
taskfinish	1120	Play_Vo_girl020a_action004_025	能帮到分析员，真是太好了！	speak.1120_taskfinish	1	0
taskfinish	1120	Play_Vo_girl020a_action005_025	卜卜可是合格的海姆达尔队员。	speak.1120_taskfinish	1	0
win	1120	Play_Vo_girl020a_win001_026	分析员……找到你了！	speak.1120_win	1	0
win	1120	Play_Vo_girl020a_win002_027	让我看看……作战成功！	speak.1120_win	1	0
lose	1120	Play_Vo_girl020a_lose001_028	我，我还是搞砸了……	speak.1120_lose	1	0
giveup	1120	Play_Vo_girl020a_giveup001_029	哎，要放弃了吗……好，卜卜听你的。		1	0
main001	1120	Play_Vo_girl020a_main001_032	分析员，你来啦！外面是不是很冷呀？	speak.1120_main001	1	0
main002	1120	Play_Vo_girl020a_main002_033	不管镜中映出了多少不同的我，分析员看到的，永远是毫无保留的、最真实的卜卜哦！	speak.1120_main002	1	0
main003	1120	Play_Vo_girl020a_main003_034	（有气势、语速较快）临兵斗者，皆阵列前行——（果断，发号施令）出击！成功了成功了！这个，战斗时说不定也能用哦！	speak.1120_main003	1	0
main101	1120	Play_Vo_girl020a_main101	我来给分析员算算，万事皆顺的法子！嗯~只要在卜卜身边……寸步不离……（有点狡黠地）就可以啦~！	speak.1120_main101	1	0
main201	1120	Play_Vo_girl020a_main201	有分析员陪着，卜卜一定能成为，（声音加大，开心地喊出来）厉害的大天师！	speak.1120_main201	1	0
EntryShop	1120	Play_Vo_girl020a_purchase002_039	这个也不错，那个也不错，哎，要挑花眼了……		1	0
PaySuccess	1120	Play_Vo_girl020a_purchase004_041	看来，还是这个更合分析员的眼缘。		1	0
gacha	1120	Play_Vo_girl020a_gacha001_042	镜爻，开（双指点的一下）。乾转坤移，镜纳万象！（笑）卜卜是不是很厉害？	speak.1120_gacha	1	0
						
由此开始为第二换装————————————————————————————————————————————————————————————————						
						
里芙_无限之视新换装						
enterlevel	1202	Play_Vo_girl002b_enterlevel001_001	分析员，别让我离开你的视线。	speak.1202_enterlevel	1	0
enterlevel	1202	Play_Vo_girl002b_enterlevel002_002	下达指令吧，我们速战速决。	speak.1202_enterlevel	1	0
win	1202	Play_Vo_girl002b_win001_026	没什么能阻碍我们，分析员。	speak.1202_win	1	0
win	1202	Play_Vo_girl002b_win002_027	我来终结这场风暴，如你所愿。	speak.1202_win	1	0
skill01	1202	Play_Vo_girl002b_skill1001_010	弱点勘破。	speak.1202_skill01	1	0
skill01	1202	Play_Vo_girl002b_skill2001_011	尽在掌控。	speak.1202_skill01	1	0
skill04	1202	Play_Vo_girl002b_skill4001_012	太慢了！	speak.1202_skill04	1	0
skill03	1202	Play_Vo_girl002b_skill3001_013	做个了结吧！	speak.1202_skill03	1	0
main001	1202	Play_Vo_girl002b_main001_032	我，即是风暴。	speak.1202_main001	1	0
main002	1202	Play_Vo_girl002b_main002_033	（伸手打碎屏幕，语气坚定）我不再被过去的仇恨所束缚，（翻手邀请）是你让我看清眼前的路。（笑的气音）	speak.1202_main002	1	0
main003	1202	Play_Vo_girl002b_main003_034	维持这种力量的平衡就像一笔画一个圆（边说边挥手臂画圆），你则是圆心。（暧昧轻点一下，语气轻松一点）	speak.1202_main003	1	0
main101	1202	Play_Vo_girl002b_main101	你看，我现在状态很好，无需担心。（带着笑意）	speak.1202_main101	1	0
main201	1202	Play_Vo_girl002b_main201	（先摸眼睛）现在（顺头发，眼罩打开），这只眼所能看见的，与你无异。	speak.1202_main201	1	0
gacha	1202	Play_Vo_girl002b_gacha_042	以此枪为誓，污秽！尽涤。	speak.1202_gacha	1	0
lose	1202	Play_Vo_girl002_lose001_028		speak.1202_lose	1	0
giveup	1202	Play_Vo_girl002_giveup001_029			1	0
openbox	1202	Play_Vo_girl002_item004_017			1	0
killmonster001	1202	Play_Vo_girl002_eliminate001_007		speak.1202_killmonster001	1	0
killmonster002	1202	Play_Vo_girl002_eliminate002_008		speak.1202_killmonster002	1	0
killmonster003	1202	Play_Vo_girl002_eliminate003_009		speak.1202_killmonster003	1	0
hurt001	1202	Play_Vo_girl002_hurt001_018			1	0
hurt002	1202	Play_Vo_girl002_hurt002_019			1	0
hurt003	1202	Play_Vo_girl002_hurt003_020			1	0
hurt004	1202	Play_Vo_girl002_hurt004_021			1	0
exchange	1202	Play_Vo_girl002_exchange001_003		speak.1202_exchange	1	0
exchange	1202	Play_Vo_girl002_exchange002_004		speak.1202_exchange	1	0
reload	1202	Play_Vo_girl002_action001_022		speak.1202_reload	1	0
overload	1202	Play_Vo_girl002_action002_023			1	0
touch	1202	Play_Vo_girl002_action003_024		speak.1202_touch	1	0
taskfinish	1202	Play_Vo_girl002_action004_025		speak.1202_taskfinish	1	0
getHPpack	1202	Play_Vo_girl002_item001_014			1	0
getCDpack	1202	Play_Vo_girl002_item002_015			1	0
getCoin	1202	Play_Vo_girl002_item003_016			1	0
wavelittle	1202	Play_Vo_girl002_engage001_005		speak.1202_wavelittle	1	0
wavemany	1202	Play_Vo_girl002_engage002_006		speak.1202_wavemany	1	0
NoMoney	1202	Play_Vo_girl002_purchase001_038			1	0
EntryShop	1202	Play_Vo_girl002_purchase002_039			1	0
PaySuccess	1202	Play_Vo_girl002_purchase004_041			1	0
repel	1202	Play_Mo_girl002_ouch01_056			1	0
repel	1202	Play_Mo_girl002_endure01_062			1	0
float	1202	Play_Mo_girl002_endure01_062			1	0
						
芙提雅_驰摰						
enterlevel	1204	Play_Vo_girl004b_enterlevel001_001	别担心，芙提雅老师绝不会掉队！	speak.1204_enterlevel	1	0
enterlevel	1204	Play_Vo_girl004b_enterlevel002_002	跟紧哦，不然就看不到我迷人的背影啦！	speak.1204_enterlevel	1	0
win	1204	Play_Vo_girl004b_win001_026	分析员，你快看看我有没有进步啊？（接一个笑声）	speak.1204_win	1	0
win	1204	Play_Vo_girl004b_win002_027	怎么样，芙提雅老师是不是特别可靠？（接一个笑声）	speak.1204_win	1	0
skill01	1204	Play_Vo_girl004b_skill1001_010	现在是火力展示时间。	speak.1204_skill01	1	0
skill01	1204	Play_Vo_girl004b_skill2001_011	哎，都别跑啊！	speak.1204_skill01	1	0
skill04	1204	Play_Vo_girl004b_skill4001_012	交给芙提雅老师！	speak.1204_skill04	1	0
skill03	1204	Play_Vo_girl004b_skill3001_013	比驰摰还快的……是我的子弹！	speak.1204_skill03	1	0
skill03a_1	1204	Play_Vo_girl004b_skill3002_013	（配合动画的发力语气）		1	0
skill03a_1	1204	Play_Vo_girl004b_skill3003_013	（配合动画的发力语气）		1	0
main001	1204	Play_Vo_girl004b_main001_032	迟到了迟到了！嘿，准点打卡。分析员，你也来啦！	speak.1204_main001	1	0
main002	1204	Play_Vo_girl004b_main002_033	嘿！分析员的状态……嗯，很健康！	speak.1204_main002	1	0
main003	1204	Play_Vo_girl004b_main003_034	有了新装备的加速功能，以后一定能抢到分析员，哼哼~	speak.1204_main003	1	0
main101	1204	Play_Vo_girl004b_main101	芙提雅老师，果然很可爱吧？嘻嘻。	speak.1204_main101	1	0
main201	1204	Play_Vo_girl004b_main201	昨天摔得也太重了……你、你什么都没听见，对吧？	speak.1204_main201	1	0
gacha	1204	Play_Vo_girl004b_gacha_042	让我看看分析员在哪……啊！找到了！（配合画面气音）……哎嘿~	speak.1204_gacha	1	0
lose	1204	Play_Vo_girl004_lose001_028		speak.1204_lose	1	0
giveup	1204	Play_Vo_girl004_giveup001_029			1	0
openbox	1204	Play_Vo_girl004_item004_017			1	0
killmonster001	1204	Play_Vo_girl004_eliminate001_007		speak.1204_killmonster001	1	0
killmonster002	1204	Play_Vo_girl004_eliminate002_008		speak.1204_killmonster002	1	0
killmonster003	1204	Play_Vo_girl004_eliminate003_009		speak.1204_killmonster003	1	0
hurt001	1204	Play_Vo_girl004_hurt001_018			1	0
hurt002	1204	Play_Vo_girl004_hurt002_019			1	0
hurt003	1204	Play_Vo_girl004_hurt003_020			1	0
hurt004	1204	Play_Vo_girl004_hurt004_021			1	0
exchange	1204	Play_Vo_girl004_exchange001_003		speak.1204_exchange	1	0
exchange	1204	Play_Vo_girl004_exchange002_004		speak.1204_exchange	1	0
reload	1204	Play_Vo_girl004_action001_022		speak.1204_reload	1	0
overload	1204	Play_Vo_girl004_action002_023			1	0
touch	1204	Play_Vo_girl004_action003_024		speak.1204_touch	1	0
taskfinish	1204	Play_Vo_girl004_action004_025		speak.1204_taskfinish	1	0
taskfinish	1204	Play_Vo_girl004_action005_025		speak.1204_taskfinish	1	0
getHPpack	1204	Play_Vo_girl004_item001_014			1	0
getCDpack	1204	Play_Vo_girl004_item002_015			1	0
getCoin	1204	Play_Vo_girl004_item003_016			1	0
wavelittle	1204	Play_Vo_girl004_engage001_005		speak.1204_wavelittle	1	0
wavemany	1204	Play_Vo_girl004_engage002_006		speak.1204_wavemany	1	0
NoMoney	1204	Play_Vo_girl004_purchase001_038			1	0
EntryShop	1204	Play_Vo_girl004_purchase002_039			1	0
PaySuccess	1204	Play_Vo_girl004_purchase004_041			1	0
main099	1204	Play_Vo_girl004_main001_032		speak.1204_main099	1	0
repel	1204	Play_Mo_girl004_ouch01_056			1	0
repel	1204	Play_Mo_girl004_endure01_062			1	0
float	1204	Play_Mo_girl004_endure01_062			1	0
						
茉莉安_幽潮						
enterlevel	1205	Play_Vo_girl005b_enterlevel001_001	伤口，要有分析员见证才行……		1	0
enterlevel	1205	Play_Vo_girl005b_enterlevel002_002	不会让任何人靠近分析员的……呵呵……		1	0
win	1205	Play_Vo_girl005b_win001_026	请……继续注视我。（轻笑）		1	0
win	1205	Play_Vo_girl005b_win002_027	还不够呢……		1	0
skill01	1205	Play_Vo_girl005b_skill1001_010	我会注意控制力道的呵呵~		1	0
skill01	1205	Play_Vo_girl005b_skill2001_011	为伤痕赋予意义！		1	0
skill04	1205	Play_Vo_girl005b_skill4001_012	接下来，请交给我。	speak.1205_skill04	1	0
skill03	1205	Play_Vo_girl005b_skill3001_013	坠入无底的深海吧！	speak.1205_skill03	1	0
main001	1205	Play_Vo_girl005b_main001_032	分析员，您来了。	speak.1205_main001	1	0
main002	1205	Play_Vo_girl005b_main002_033	如果我是没有双足的鱼，分析员，您……就是我离不开的海。	speak.1205_main002	1	0
main003	1205	Play_Vo_girl005b_main003_034	这根绳子，就像是、就像是……呵呵……	speak.1205_main003	1	0
main101	1205	Play_Vo_girl005b_main101	分析员想看我梳什么发型呢？	speak.1205_main101	1	0
main201	1205	Play_Vo_girl005b_main201	分析员，这里是不是有些……咦？一切正常吗	speak.1205_main201	1	0
gacha	1205	Play_Vo_girl005b_gacha_042	潜身于幽沉的深海之中……为您，亮出獠牙。	speak.1205_gacha	1	0
lose	1205	Play_Vo_girl005_lose001_028		speak.1205_lose	1	0
giveup	1205	Play_Vo_girl005_giveup001_029			1	0
openbox	1205	Play_Vo_girl005_item004_017			1	0
killmonster001	1205	Play_Vo_girl005_eliminate001_007		speak.1205_killmonster001	1	0
killmonster002	1205	Play_Vo_girl005_eliminate002_008		speak.1205_killmonster002	1	0
killmonster003	1205	Play_Vo_girl005_eliminate003_009		speak.1205_killmonster003	1	0
hurt001	1205	Play_Vo_girl005_hurt001_018			1	0
hurt002	1205	Play_Vo_girl005_hurt002_019			1	0
hurt003	1205	Play_Vo_girl005_hurt003_020			1	0
hurt004	1205	Play_Vo_girl005_hurt004_021			1	0
exchange	1205	Play_Vo_girl005_exchange001_003		speak.1205_exchange	1	0
exchange	1205	Play_Vo_girl005_exchange002_004		speak.1205_exchange	1	0
reload	1205	Play_Vo_girl005_action001_022		speak.1205_reload	1	0
overload	1205	Play_Vo_girl005_action002_023			1	0
touch	1205	Play_Vo_girl005_action003_024		speak.1205_touch	1	0
taskfinish	1205	Play_Vo_girl005_action004_025		speak.1205_taskfinish	1	0
getHPpack	1205	Play_Vo_girl005_item001_014			1	0
getCDpack	1205	Play_Vo_girl005_item002_015			1	0
getCoin	1205	Play_Vo_girl005_item003_016			1	0
wavelittle	1205	Play_Vo_girl005_engage001_005		speak.1205_wavelittle	1	0
wavemany	1205	Play_Vo_girl005_engage002_006		speak.1205_wavemany	1	0
NoMoney	1205	Play_Vo_girl005_purchase001_038			1	0
EntryShop	1205	Play_Vo_girl005_purchase002_039			1	0
PaySuccess	1205	Play_Vo_girl005_purchase004_041			1	0
main099	1205	Play_Vo_girl005_main003_034		speak.1105_main099	1	0
repel	1205	Play_Mo_girl005_ouch01_056			1	0
repel	1205	Play_Mo_girl005_endure01_062			1	0
float	1205	Play_Mo_girl005_endure01_062			1	0
						
芬妮_辉耀						
enterlevel	1208	Play_Vo_girl008b_enterlevel001_001	我倒要看看谁敢打扰我和分析员独处！	speak.1208_enterlevel	1	0
enterlevel	1208	Play_Vo_girl008b_enterlevel002_002	今天的表演，是我和分析员的双人秀！	speak.1208_enterlevel	1	0
win	1208	Play_Vo_girl008b_win001_026	你的目光，永远由我来主宰！	speak.1208_win	1	0
win	1208	Play_Vo_girl008b_win002_027	我想听的，是你只为我喝彩！	speak.1208_win	1	0
skill01a_4	1208	Play_Vo_girl008b_skill1004_010	就凭你们？	speak.skill01a_4	1	0
skill01a_5	1208	Play_Vo_girl008b_skill1005_010	都别想逃！		1	0
skill01a_6	1208	Play_Vo_girl008b_skill1006_010	我赢定了！		1	0
skill04	1208	Play_Vo_girl008b_skill4001_012	别拖我后腿哦~	speak.1208_skill04	1	0
skill03	1208	Play_Vo_girl008b_skill3001_013	尽情为我欢呼！	speak.1208_skill03	1	0
main001	1208	Play_Vo_girl008b_main001_032	你猜猜我等你多久了？今天都去哪儿了？	speak.1208_main001	1	0
main002	1208	Play_Vo_girl008b_main002_033	我会为了你不断变强的，至少在你心里，我一定要成为第一！	speak.1208_main002	1	0
main003	1208	Play_Vo_girl008b_main003_034	本小姐才不管什么危险不危险的，哼~反正不管你去哪，我都跟定了！	speak.1208_main003	1	0
main101	1208	Play_Vo_girl008b_main101	那什么……以后不要再背着我受伤了，好吗？	speak.1208_main101	1	0
main201	1208	Play_Vo_girl008b_main201	你应该知道吧，我可是很怕寂寞的。	speak.1208_main201	1	0
gacha	1208	Play_Vo_girl008b_gacha_042	本小姐的天职，就是为你闪耀。嗯哼~（wink）	speak.1208_gacha	1	0
lose	1208	Play_Vo_girl008_lose001_028		speak.1208_lose	1	0
giveup	1208	Play_Vo_girl008_giveup001_029			1	0
openbox	1208	Play_Vo_girl008_item004_017			1	0
killmonster001	1208	Play_Vo_girl008_eliminate001_007		speak.1208_killmonster001	1	0
killmonster002	1208	Play_Vo_girl008_eliminate002_008		speak.1208_killmonster002	1	0
killmonster003	1208	Play_Vo_girl008_eliminate003_009		speak.1208_killmonster003	1	0
hurt001	1208	Play_Vo_girl008_hurt001_018			1	0
hurt002	1208	Play_Vo_girl008_hurt002_019			1	0
hurt003	1208	Play_Vo_girl008_hurt003_020			1	0
hurt004	1208	Play_Vo_girl008_hurt004_021			1	0
exchange	1208	Play_Vo_girl008_exchange001_003		speak.1208_exchange	1	0
exchange	1208	Play_Vo_girl008_exchange002_004		speak.1208_exchange	1	0
reload	1208	Play_Vo_girl008_action001_022		speak.1208_reload	1	0
overload	1208	Play_Vo_girl008_action002_023			1	0
touch	1208	Play_Vo_girl008_action003_024		speak.1208_touch	1	0
taskfinish	1208	Play_Vo_girl008_action004_025		speak.1208_taskfinish	1	0
getHPpack	1208	Play_Vo_girl008_item001_014			1	0
getCDpack	1208	Play_Vo_girl008_item002_015			1	0
getCoin	1208	Play_Vo_girl008_item003_016			1	0
wavelittle	1208	Play_Vo_girl008_engage001_005		speak.1208_wavelittle	1	0
wavemany	1208	Play_Vo_girl008_engage002_006		speak.1208_wavemany	1	0
NoMoney	1208	Play_Vo_girl008_purchase001_038			1	0
EntryShop	1208	Play_Vo_girl008_purchase002_039			1	0
PaySuccess	1208	Play_Vo_girl008_purchase004_041			1	0
repel	1208	Play_Mo_girl008_ouch01_056			1	0
repel	1208	Play_Mo_girl008_endure01_062			1	0
float	1208	Play_Mo_girl008_endure01_062			1	0
						
肴_夜天光						
enterlevel	1210	Play_Vo_girl010b_enterlevel001_001	这场战斗，以咱俩这默契火速就能解决。	speak.1210_enterlevel	1	0
enterlevel	1210	Play_Vo_girl010b_enterlevel002_002	今天一起加班，明天就一起调休吧！	speak.1210_enterlevel	1	0
win	1210	Play_Vo_girl010b_win001_026	好累……就给我稍微靠一下嘛。	speak.1210_win	1	0
win	1210	Play_Vo_girl010b_win002_027	快来……我需要充电才能继续。	speak.1210_win	1	0
skill01	1210	Play_Vo_girl010b_skill1001_010	让你们清醒清醒。	speak.1210_skill01	1	0
skill01	1210	Play_Vo_girl010b_skill2001_011	躲得过初一躲不过十五哦~	speak.1210_skill01	1	0
skill04	1210	Play_Vo_girl010b_skill4001_012	别怕，还有我呢。	speak.1210_skill03	1	0
skill03	1210	Play_Vo_girl010b_skill3001_013	（哈欠）哈啊——我也该认真一下啦！	speak.1210_skill04	1	0
main001	1210	Play_Vo_girl010b_main001_032	嗯~今日天朗气清，宜休沐，忌开工……哎，我开玩笑的……	speak.1210_main001	1	0
main002	1210	Play_Vo_girl010b_main002_033	不用担心，这套新装备，已经完全与我合上拍子了。	speak.1210_main002	1	0
main003	1210	Play_Vo_girl010b_main003_034	啊，你忙你的，我就是觉得……待在你身边果然很安心。	speak.1210_main003	1	0
main101	1210	Play_Vo_girl010b_main101	最近工作也太多了……不过有你一起，加班就加班把。	speak.1210_main101	1	0
main201	1210	Play_Vo_girl010b_main201	等会带你去个偷懒的好地方，记得帮我保密啊。	speak.1210_main201	1	0
gacha	1210	Play_Vo_girl010b_gacha_042	吃饱了也睡好了~接下来是……（摆好pose）活力模式！嘿嘿~	speak.1210_gacha	1	0
lose	1210	Play_Vo_girl010_lose001_028		speak.1210_lose	1	0
giveup	1210	Play_Vo_girl010_giveup001_029			1	0
openbox	1210	Play_Vo_girl010_item004_017			1	0
killmonster001	1210	Play_Vo_girl010_eliminate001_007		speak.1010_killmonster001	1	0
killmonster002	1210	Play_Vo_girl010_eliminate002_008		speak.1010_killmonster002	1	0
killmonster003	1210	Play_Vo_girl010_eliminate003_009		speak.1010_killmonster003	1	0
hurt001	1210	Play_Vo_girl010_hurt001_018			1	0
