索引（最大65535）	步骤ID	备注	指引类型	类别 0或不配:移动端和PC端都会触发 1：移动端 2：PC端	PC端按键	地图ID(关卡内通过NotifyUI触发的指引才配)	前置指引	是否可以跳过	是否在和谐状态下禁止触发（1禁止）	是否重复触发	跳过的话顺带完成的指引ID	组[x,y] 如果x步已经完成，则跳转到Y步	{step,func,{param1,param1,}}如果func返回true，则跳转到step步	是否需要清空用户输入	指引出现延迟时间	窗口名	目标按钮路径	控件路径	3DUI路径	目标Actor名	控制可点击范围大小，不填则按按钮大小控制	阴影显示形状 1或不配圆形 2矩形	阴影区域显示大小，不填则默认370*370	指引框偏移，格式：{10,10}	气泡浮窗提示（{txtkey,nDirection},nDirection 填1、2、3、4 表示上、下、左、右	新浮窗提示	文字提示	键盘按键文字显示	文字提示-手柄	键盘按键文字显示-手柄	文字控件位置	Role头像(对应PlotRoleImg中的名称索引)	文字控件标题	文字提示消失延迟（秒）	是否显示黑色遮罩	是否按任意位置结束指引步骤	倒计时自动结束步骤	是否返回键完成指引	步骤结束模式（Move,Rotate,Click,Up,Down,Touch,LongPress,Notify)	是否为点击不穿透模式	参数列表	关卡已通关则直接完成指引	达到特定条件直接完成指引	显示的控件列表(多个控件用逗号隔开)	隐藏的控件列表（多个控件用逗号隔开）	显示控件列表的缩放	目标界面打开时时调用	指引步骤开始时调用	指引步骤结束时调用	UI名字（只用于只有图片的指引）	图片路径（对应helpimages.txt中的ID,只用于只有图片的指引）	重复开始指引的通关条件，如果指定关卡未正常通关，则会重复开启	完成后是否触发新的指引	指引过程中有新的指引触发是否等待(默认直接顶替，等待结束配1)	步骤结束延迟进入下一步	备注	老玩家模式是否触发配置（1不触发，不配触发）
	1	选择进程													2	Dlc36Story	Level/ep1/Button					2													1				Click								{"DLcStoryScrollIntoView",{"dlc36story",51781}}	{"SetDLcLevelCanMove",{"dlc36story",0}}	{"NoScroll",{0}};{"SetDLcLevelCanMove",{"dlc36story",1}}								
																																																									
11075		36进程2引导	Force	0				1					{"CheckLevelIsPass",{51781}};{"CheckLevelIsPass",{11501}};{"CreateTimeStart",{202509250400}}																													51782											dlc36story				1
	1	选择进程2													2	dlc36story	Level/ep2/Button					2													1				Click								{"DLcStoryScrollIntoView",{"dlc36story",51782}}	{"SetDLcLevelCanMove",{"dlc36story",0}}	{"NoScroll",{0}};{"SetDLcLevelCanMove",{"dlc36story",1}}								
																																																									
11047		36第一关引导	Force	0				1			{11071}		{"CheckLevelIsPass",{51782}};{"CreateTimeStart",{202509250400}}																													11771											Formation				1
	1	选择36第1关													1	dlc36story	Level/nor1/Button					2					guideui.32licheng_26		guideui.32licheng_26		{700,670}	安卡希雅	card.girl011		1				Click								{"DLcStoryScrollIntoView",{"dlc36story",11771}}	{"SetDLcLevelCanMove",{"dlc36story",0}}	{"NoScroll",{0}};{"SetDLcLevelCanMove",{"dlc36story",1}}								
	2	点击出击														Dlc36LevelInfo	FightBtn					2					guideui.32licheng_27		guideui.32licheng_27		{1200,680}	安卡希雅	card.girl011		1				Click																		
																																																									
11071		能力适应引导	Force	0				1					{"FormationLevelAdapte"}																																								Formation				
	1	点击能力适应开关													0.7	Formation	ChangeLevelCheck		PanelRight0			2	{200,150}				guideui.32licheng_65		guideui.32licheng_65		{1200,680}	安卡希雅	card.girl011		1				CheckBox																		
																																																									
11072		3.6第一关出战引导	Force	0			11047	1					{"CheckLevelIsPass",{51782}};{"CreateTimeStart",{202509250400}};{"CreateTimeEnd",{202512180400}}																													11771															1
	1	点击添加队员											{4,"IsMemberByPos",{1}}			Formation	F1					2					guideui.32licheng_68		guideui.32licheng_68		{700,670}	卡罗琳	card.NPC001		1				Click									{"SetCanEditFormation",{1}}	{"SetCanEditFormation",{0}}								
	2	点击里芙														Role	Special_SelectCard/{1,2,1,1}					2					guideui.32licheng_69		guideui.32licheng_69		{700,670}	卡罗琳	card.NPC001		1				Click								{"ScrollCardIntoView",{1,2,1,1}}										
	3	点击上阵														Role	Formation/BtnFormation					2					guideui.32licheng_70		guideui.32licheng_70		{700,670}	卡罗琳	card.NPC001		1				Click																		
	4	点击出击														Formation	FightBtn					2					guideui.32licheng_28		guideui.32licheng_28		{1200,680}	卡罗琳	card.NPC001		1				Click																		
																																																									
11206		3.6第一关出战引导	Force	0			11047	1					{"CheckLevelIsPass",{51782}};{"CreateTimeStart",{202512180400}}																													11771															1
	1	点击添加队员											{4,"IsMemberByPos",{1}}			Formation	F1					2					guideui.32licheng_68		guideui.32licheng_68		{700,670}	卡罗琳	card.NPC001		1				Click									{"SetCanEditFormation",{1}}	{"SetCanEditFormation",{0}}								
	2	点击无限之视														Role	Special_SelectCard/{1,2,3,1}					2					guideui.32licheng_69		guideui.32licheng_69		{700,670}	卡罗琳	card.NPC001		1				Click								{"ScrollCardIntoView",{1,2,3,1}}										
	3	点击上阵														Role	Formation/BtnFormation					2					guideui.32licheng_70		guideui.32licheng_70		{700,670}	卡罗琳	card.NPC001		1				Click																		
	4	点击出击														Formation	FightBtn					2					guideui.32licheng_28		guideui.32licheng_28		{1200,680}	卡罗琳	card.NPC001		1				Click																		
																																																									
11048		2.7进程1引导	Force	0				1					{"CheckLevelIsPass",{51478}};{"CreateTimeStart",{202509250400}}																													51551															
	1	点击主界面出击按钮													0.7	Main	LevelBtn					2					guideui.32licheng_29		guideui.32licheng_29		{1200,680}	卡罗琳	card.NPC001		1				Click																		
	2	选择主线故事													0.7	Dungeons	BtnLevel					2					guideui.32licheng_30		guideui.32licheng_30		{1200,680}	卡罗琳	card.NPC001		1				Click																		
	3	点击菲洛索亚篇													0.7	Chapter	ListTask/2/BtnSelect					2					guideui.32licheng_31		guideui.32licheng_31		{1200,680}	卡罗琳	card.NPC001		1				Click																		
	4	选择渊沉曙色											{6,"IsVeteran"}			chapter	Switcher/1/NormalBtn1					2					guideui.32licheng_32		guideui.32licheng_32		{1200,680}	卡罗琳	card.NPC001		1				Click																		
	5	选择进程													1	dlc27story	Level/ep1/Button					2													1				Click								{"DLcStoryScrollIntoView",{"dlc27story",51551}}	{"SetDLcLevelCanMove",{"dlc27story",0}}	{"NoScroll",{0}};{"SetDLcLevelCanMove",{"dlc27story",1}}								
																																																									
																																																									
11049		2.7第一关引导	Force	0				1					{"CheckLevelIsPass",{51551}};{"CreateTimeStart",{202509250400}}																													11501											Formation				1
	1	选择2.7第一关													1	dlc27story	Level/nor1/Button					2													1				Click								{"DLcStoryScrollIntoView",{"dlc27story",11501}}	{"SetDLcLevelCanMove",{"dlc27story",0}}	{"NoScroll",{0}};{"SetDLcLevelCanMove",{"dlc27story",1}}								
	2	点击出击														dlc27story	Level/pLevelInfoWidget/FightBtn					2													1				Click																		
																																																									
11074		2.7第一关引导	Force	0				1					{"CheckLevelIsPass",{51551}};{"CreateTimeStart",{202509250400}}																													11501															1
	1	点击出击														Formation	FightBtn					2													1				Click																		
																																																									
10223		宿舍入住引导	Force	1				1					{"CheckLevelIsPass",{11422}};{"CheckItemCount",{5,26,1,4,1}};{"CreateTimeStart",{202509250400}}																																												
	1	点击主界面宿舍（基地）按钮													0.7	Main	BtnDorm		PanelRight0			2					guideui.enterdorm1		guideui.enterdorm1		{600,500}	卡罗琳	card.NPC001		1				Click																		
																																																									
10224		宿舍入住引导	Force	1									{"CheckDormTaskID",{1}};{"CheckDormCanGuide"};{"CreateTimeStart",{202509250400}}																																												
	1	与宿管小吉交互			OpenBox										0	Dorm	Interactlist/ListInteractItems/0/InteractBtn					2					guideui.enterdorm2		guideui.enterdorm2		{500,400}	卡罗琳	card.NPC001		1				Click									{"HouseLockOperation",{1}};{"SetGuideComplete",{10223}}									
	2	点击入住管理														DormDialogue	ListBTNS/1/ClickBtn					2	{200,100}	{-160,0}			guideui.enterdorm3		guideui.enterdorm3		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	3	点击里芙											{5,"IsGirlLiveIn",{2}}			DormRoom	Special_GetRoomGirlItem/2					2					guideui.enterdorm4		guideui.enterdorm4		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	4	点击门卡登记														DormRoom	Button					2					guideui.enterdorm5		guideui.enterdorm5		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	5	点击芬妮											{7,"IsGirlLiveIn",{8}}			DormRoom	Special_GetRoomGirlItem/8					2					guideui.enterdorm6		guideui.enterdorm6		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	6	点击门卡登记														DormRoom	Button					2					guideui.enterdorm7		guideui.enterdorm7		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}									
																																																									
																																																									
10225		宿舍房间传送引导	Force	1				1					{"CheckDormTaskID",{2}};{"CreateTimeStart",{202509250400}}																																												
	1	点击任务													0	Dorm	BtnGo					2					guideui.dormtask1		guideui.dormtask1handle	{"HouseTaskGo"}	{400,300}	卡罗琳	card.NPC001		1				Click									{"HouseLockOperation",{1}};{"ExhaleMouse",{1}}	{"ExhaleMouse",{0}};{"HouseLockOperation",{0}}								
																																																									
10225		宿舍房间传送引导	Force	2				1					{"CheckDormTaskID",{2}};{"CreateTimeStart",{202509250400}}																																												
	1	点击任务													0	Dorm	BtnGo					2					guideui.dormtask1pc	{"HouseTaskGo"}	guideui.dormtask1handle	{"HouseTaskGo"}	{400,300}	卡罗琳	card.NPC001		1				Click									{"HouseLockOperation",{1}};{"ExhaleMouse",{1}}	{"ExhaleMouse",{0}};{"HouseLockOperation",{0}}								
																																																									
																																																									
10223		后宿舍入住引导	Force	2				1					{"CheckLevelIsPass",{11422}};{"CheckItemCount",{5,26,1,4,1}};{"CreateTimeStart",{202509250400}}																																												
	1	点击主界面宿舍（基地）按钮													0.7	Main	BtnDorm		PanelRight0			2					guideui.enterdorm1		guideui.enterdorm1		{600,500}	卡罗琳	card.NPC001		1				Click																		
																																																									
10224		宿舍入住引导	Force	2									{"CheckDormTaskID",{1}};{"CheckDormCanGuide"};{"CreateTimeStart",{202509250400}}																																												
	1	与宿管小吉交互			OpenBox										0	Dorm	Interactlist/ListInteractItems/0/InteractBtn	Interactlist/ListInteractItems/0/Image_220				2					guideui.enterdorm2pc	{"TxtKeyUse"}	guideui.enterdorm2handle	{"TxtKeyUse"}	{500,400}	卡罗琳	card.NPC001		1				Click									{"HouseLockOperation",{1}};{"SetGuideComplete",{10223}}									
	2	点击入住管理														DormDialogue	ListBTNS/1/ClickBtn					2	{200,100}	{-160,0}			guideui.enterdorm3		guideui.enterdorm3		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	3	点击里芙											{5,"IsGirlLiveIn",{2}}			DormRoom	Special_GetRoomGirlItem/2					2					guideui.enterdorm4		guideui.enterdorm4		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	4	点击门卡登记														DormRoom	Button					2					guideui.enterdorm5		guideui.enterdorm5		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	5	点击芬妮											{7,"IsGirlLiveIn",{8}}			DormRoom	Special_GetRoomGirlItem/8					2					guideui.enterdorm6		guideui.enterdorm6		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	6	点击门卡登记														DormRoom	Button					2					guideui.enterdorm7		guideui.enterdorm7		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}									
																																																									
10231		查看故事引导	Force	0				1					{"CheckDormTaskID",{3}};{"CreateTimeStart",{202509250400}};{"CheckDormDialogueNpc",{02}}																																								DormLoveStory				
	1	点击查看故事														DormDialogue	ListBTNS/2/ClickBtn					2	{200,100}	{-160,0}											1				Click																		
																																																									
10226		查看故事引导	Force	0				1					{"CheckDormTaskID",{3}};{"CreateTimeStart",{202509250400}}																																												
	1	点击领取奖励														DormLoveStory	Story1/BtnGift					2					guideui.dormtask2		guideui.dormtask2		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}									
																																																									
10227		查看属性	Force	0				1					{"CheckDormTaskID",{4}};{"CreateTimeStart",{202509250400}}																																												
	1	点击属性查看														DormLoveStory	BtnAttribute					2					guideui.dormtask3		guideui.dormtask3		{600,400}	小吉	card.NPC002		1				Click																		
																																																									
10228		小吉优选	Force	0				1					{"CheckDormTaskID",{8}};{"CheckDormDialogueNpc",{99}};{"CreateTimeStart",{202509250400}}																																								DormDialogue				
	1	点击小吉优选														DormDialogue	ListBTNS/1/ClickBtn					2	{200,100}	{-160,0}			guideui.dormshop1		guideui.dormshop1		{600,400}	小吉	card.NPC002		1				Click																		
	2	优选介绍														FurnitureShop	Tab/1/BtnSl					2					guideui.dormshop2		guideui.dormshop2		{600,400}	小吉	card.NPC002		1				Click																		
	3	返回小吉对话														FurnitureShop	Tab/2/BtnSl					2					guideui.dormshop3		guideui.dormshop3		{600,400}	小吉	card.NPC002		1				Click																		
																																																									
10229		小吉精选	Force	0				1					{"CheckDormTaskID",{9}};{"CreateTimeStart",{202509250400}}																																												
	1	点击小吉精选														DormDialogue	ListBTNS/2/ClickBtn					2	{200,100}	{-160,0}			guideui.dormshop4		guideui.dormshop4		{600,400}	小吉	card.NPC002		1				Click																		
	2	精选介绍														DormCPFurShop						2					guideui.dormshop5		guideui.dormshop5		{600,400}	小吉	card.NPC002		1		13																				
																																																									
10230		宿舍总览引导	Force	1				1					{"CheckDormTaskID",{10}};{"CreateTimeStart",{202509250400}}																																												
	1	点击总览按钮			MapWay										0	Dorm	BtnNavigation					2					guideui.dormoverview1		guideui.dormoverview1handle	{"TxtKeyFire"}	{500,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	2	点击沙滩														DormModeMain	Level/item6/Btn					2					guideui.dormoverview2		guideui.dormoverview2		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}};{"SetDormModemainScrollBoxCanMove",{0}}	{"HouseLockOperation",{0}};{"SetDormModemainScrollBoxCanMove",{1}}								
	3	点击前往														DormModeMain	Level/pInfoWidget/BtnGo					2					guideui.dormoverview3		guideui.dormoverview3		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
																																																									
																																																									
																																																									
10230		宿舍总览引导	Force	2				1					{"CheckDormTaskID",{10}};{"CreateTimeStart",{202509250400}}																																												
	1	点击总览按钮			MapWay										0	Dorm	BtnNavigation					2					guideui.dormoverview1pc	{"TxtKeySteer"}	guideui.dormoverview1handle	{"TxtKeyFire"}	{500,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
	2	点击沙滩														DormModeMain	Level/item6/Btn					2					guideui.dormoverview2		guideui.dormoverview2		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}};{"SetDormModemainScrollBoxCanMove",{0}}	{"HouseLockOperation",{0}};{"SetDormModemainScrollBoxCanMove",{1}}								
	3	点击前往														DormModeMain	Level/pInfoWidget/BtnGo					2					guideui.dormoverview3		guideui.dormoverview3		{600,400}	小吉	card.NPC002		1				Click									{"HouseLockOperation",{1}}	{"HouseLockOperation",{0}}								
																																																									
10182		实战训练引导	Force	0				1					{"ReturnFalse"}																													10202															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10182_1		guideui.zx10182_1		{1000,580}	卡罗琳	card.NPC001		1				Click																		
	2	点击常规行动													0.7	Dungeons	BtnResourse					2					guideui.zx10182_2		guideui.zx10182_2		{1200,380}	卡罗琳	card.NPC001		1				Click																		
	3	点击教学														DungeonsResourse	CustListView_66/1/BtnClick					2					guideui.zx10182_3		guideui.zx10182_3		{450,430}	卡罗琳	card.NPC001		1				Click																		
																																																									
10206		个人故事引导	Force	0				1					{"CheckLevelIsPass",{11504}}																													10301															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10204_2		guideui.zx10204_2		{1000,580}	卡罗琳	card.NPC001		1				Click																		
	2	点击个人故事													0.7	Dungeons	BtnStory					2					guideui.zx10204_3		guideui.zx10204_3		{1000,400}	卡罗琳	card.NPC001		1				Click																		
	3	点击任意界面完成指引														DungeonsRole						2					guideui.zx10204_4		guideui.zx10204_4		{380,300}	卡罗琳	card.NPC001			1			Click																		
																																																									
10245		超元链接解锁	Force	0				1					{"CheckLevelIsPass",{11506}}																													10309															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10244_2		guideui.zx10244_2		{1000,580}	安卡希雅	card.girl011		1				Click																		
	2	选择超元链接													0.7	Dungeons	BtnTime					2					guideui.zx10244_3		guideui.zx10244_3		{450,480}	安卡希雅	card.girl011		1				Click																		
	3	说明联机														DungeonsOnline						2					guideui.zx10244_4		guideui.zx10244_4		{600,300}	安卡希雅	card.girl011	2			1		Click																		
																																																									
10252		后勤装配教学	Force	0				1					{"CheckLevelIsPass",{11508}};{"CheckItemCount",{3,1,1,1,1}};{"CreateTimeEnd",{202512180400}}																													10412	{"CheckupporterCard",{{1,2,1,1},{1,8,1,1}}}										Main				
	1	点击主界面角色按钮													0.7	Main	BtnRole		PanelRight0			2					guideui.zx10252_1		guideui.zx10252_1		{600,500}	卡罗琳	card.NPC001		1				Click																		
	2	点击星期三														Role	Special_SelectCard/{1,2,1,1}					2					guideui.zx10252_2		guideui.zx10252_2		{600,500}	卡罗琳	card.NPC001		1				Click								{"ScrollCardIntoView",{1,2,1,1}}										
	3	点击后勤界面														Role	RightList/3/BtnSeclet		CanvasPanel3D_1			2					guideui.zx10252_3		guideui.zx10252_3		{1000,500}	卡罗琳	card.NPC001		1				Click																		
	4	点击后勤上位														Role	Logistics/Logis1/BtnSelect					2													1				Click																		
	5	选择后勤-科尼													0.5	LogiShow	ItemList/TileViewList/1/BtnSelect		CanvasPanel3D_738			2					guideui.zx10252_4		guideui.zx10252_4		{600,300}	卡罗琳	card.NPC001		1				Click																		
	6	点击装备														LogiShow	AttrTip/BtnChange					2					guideui.zx10252_5		guideui.zx10252_5		{1000,500}	卡罗琳	card.NPC001		1				Click																		
	7	返回主界面														LogiShow	Title/ReturnMainBtn					2					guideui.zx10252_6		guideui.zx10252_6		{400,200}	芙提雅	card.girl041		1				Click																		
																																																									
11212		结算界面退出	Force	0				1					{"CheckLevelIsPass",{11508}};{"CreateTimeStart",{202512180400}}																													51561															
	1	点击退出													4	Settlement	ExitBtn					2													1				Click																		
																																																									
11213		返回主界面引导	Force	0				1					{"CheckLevelIsPass",{11508}};{"CreateTimeStart",{202512180400}}																																								Main				
	1	返回主界面													1.5	dlc27story	Title/ReturnMainBtn					2													1				Click																		
																																																									
																																																									
11208		萌新试用领取后勤	Force	0				1					{"CheckLevelIsPass",{11508}};{"CreateTimeStart",{202512180400}};{"notCheckItemCount",{3,1,37,2,1}};{"CheckActivityOpen",{556}}																																												
	1	点击主界面新路启航按钮													0.7	Main	BtnNewTask					2					guideui.wxzs_guide12		guideui.wxzs_guide12		{1000,400}	卡罗琳	card.NPC001		1				Click																		
	2	选择萌新试用														NewTask	Special_GetActivityListBtn/556					2													1				Click																		
	3	点击领取后勤														NewTask	Switcher/0/FightBtn					2					guideui.wxzs_guide13		guideui.wxzs_guide13		{1000,600}	卡罗琳	card.NPC001		1				Click										{"CheckLimitedItemUpdate",{1,2,3,1}}								
																																																									
11207		后勤装配教学	Force	0				1					{"CheckLevelIsPass",{11508}};{"CheckItemCount",{3,1,37,2,1}};{"CreateTimeStart",{202512180400}}																													10412	{"CheckupporterCard",{{1,2,3,1},{1,8,1,1}}}										Main				
	1	点击主界面角色按钮													0.7	Main	BtnRole		PanelRight0			2					guideui.zx10252_1		guideui.zx10252_1		{600,500}	卡罗琳	card.NPC001		1				Click									{"CheckLimitedItemUpdate",{1,2,3,1}}									
	2	点击无限之视														Role	Special_SelectCard/{1,2,3,1}					2					guideui.zx10252_2		guideui.zx10252_2		{600,500}	卡罗琳	card.NPC001		1				Click								{"ScrollCardIntoView",{1,2,3,1}}										
	3	点击后勤界面														Role	RightList/3/BtnSeclet		CanvasPanel3D_1			2					guideui.zx10252_3		guideui.zx10252_3		{1000,500}	卡罗琳	card.NPC001		1				Click																		
	4	点击后勤上位														Role	Logistics/Logis1/BtnSelect					2													1				Click																		
	5	选择后勤-朵薇尔											{8,"IsVeteran"}		0.5	LogiShow	ItemList/TileViewList/1/BtnSelect		CanvasPanel3D_738			2					guideui.zx10252_4		guideui.zx10252_4		{600,300}	卡罗琳	card.NPC001		1				Click																		
	6	点击装备														LogiShow	AttrTip/BtnChange					2					guideui.zx10252_5		guideui.zx10252_5		{1000,500}	卡罗琳	card.NPC001		1				Click																		
	7	返回主界面														LogiShow	Title/ReturnMainBtn					2					guideui.zx10252_6		guideui.zx10252_6		{400,200}	芙提雅	card.girl041		1				Click									{"SetGuideComplete",{11207}}									
																																																									
10253		后勤本	Force	0				1					{"ReturnFalse"}																													10412															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10252_7		guideui.zx10252_7		{1000,580}	芙提雅	card.girl041		1				Click									{"CheckLimitedItemUpdate",{1,2,3,1}}									
	2	点击常规行动													0.7	Dungeons	BtnResourse					2					guideui.zx10252_8		guideui.zx10252_8		{1000,500}	芙提雅	card.girl041		1				Click																		
	3	选择后勤本														DungeonsResourse	Special_SelectResourseLevel/6					2					guideui.zx10252_9		guideui.zx10252_9		{1000,630}	芙提雅	card.girl041		1				Click								{"ScrollResourseIntoView",{6}}										
																																																									
																																																									
10232		BOSS挑战解锁	Force	0				1					{"CheckLevelIsPass",{11512}}																													10406															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10231_2		guideui.zx10231_2		{1000,580}	芙提雅	card.girl041		1				Click																		
	2	选择特别派遣													0.7	Dungeons	BtnChallenge					2					guideui.zx10231_3		guideui.zx10231_3		{560,430}	芙提雅	card.girl041		1				Click																		
	3	选择BOSS挑战														Challenge	Block/1/Tower					2					guideui.zx10231_4		guideui.zx10231_4		{1000,430}	芙提雅	card.girl041		1				Click																		
																																																									
10233		BOSS词条界面	Force	0				1																																																	
	1	词条功能说明														BossBuff						2					guideui.zx10231_5		guideui.zx10231_5		{380,300}	芙提雅	card.girl041	3			1																				
																																																									
																																																									
																																																									
10213		地下清理解锁	Force	0				1					{"CheckLevelIsPass",{11514}}																													10503															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10212_2		guideui.zx10212_2		{1000,580}	里芙	card.girl021		1				Click																		
	2	选择特别派遣													0.7	Dungeons	BtnChallenge					2					guideui.zx10212_3		guideui.zx10212_3		{540,400}	里芙	card.girl021		1				Click																		
	3	选择地下清理														Challenge	Block/0/Tower					2					guideui.zx10212_4		guideui.zx10212_4		{600,200}	里芙	card.girl021		1				Click																		
																																																									
10255		悖论迷宫解锁	Force	0				1					{"CheckLevelIsPass",{11534}}																													10512															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10254_2		guideui.zx10254_2		{1000,580}	卡罗琳	card.NPC001		1				Click																		
	2	选择悖论迷宫													0.7	Dungeons	BtnRogue					2					guideui.zx10254_3		guideui.zx10254_3		{540,400}	卡罗琳	card.NPC001		1				Click																		
																																																									
10272		通关后战术考核教学	Force	0				1					{"CheckLevelIsPass",{11546}};{"CheckLevelIsPass",{11512}}																													10606											TowerEvent				
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10271_2		guideui.zx10271_2		{1000,580}	卡罗琳	card.NPC001		1				Click																		
	2	选择特别派遣													0.7	Dungeons	BtnChallenge					2					guideui.zx10271_3		guideui.zx10271_3		{560,430}	卡罗琳	card.NPC001		1				Click																		
	3	选择战术考核														Challenge	Block/2/Tower					2					guideui.zx10271_4		guideui.zx10271_4		{1200,120}	卡罗琳	card.NPC001		1				Click																		
																																																									
10203		武器配件教学	Force	0				1					{"CheckLevelIsPass",{11532}};{"CreateTimeEnd",{202512180400}}																													10506															
	1	点击主界面角色按钮													0.7	Main	BtnRole		PanelRight0			2					guideui.zx10203_1		guideui.zx10203_1		{600,500}	芙提雅	card.girl041		1				Click																		
	2	点击星期三														Role	Special_SelectCard/{1,2,1,1}					2					guideui.zx10203_2		guideui.zx10203_2		{600,500}	芙提雅	card.girl041		1				Click								{"ScrollCardIntoView",{1,2,1,1}}										
	3	点击武器界面														Role	RightList/2/BtnSeclet		CanvasPanel3D_1			2					guideui.zx10203_3		guideui.zx10203_3		{600,400}	芙提雅	card.girl041		1				Click																		
	4	点击培养														Role	Weapon/RoleBtn					2					guideui.zx10203_4		guideui.zx10203_4		{600,500}	芙提雅	card.girl041		1				Click																		
	5	点击配件													0.9	Arms	Content/Content/3/BtnSeclet		CanvasPanel3D_0			2					guideui.zx10203_5		guideui.zx10203_5		{600,500}	芙提雅	card.girl041		1				Click																		
	6	弹出配件教学图																				2																												HelpPop	48						
																																																									
11209		武器配件教学	Force	0				1					{"CheckLevelIsPass",{11532}};{"CreateTimeStart",{202512180400}}																													10506															
	1	点击主界面角色按钮													0.7	Main	BtnRole		PanelRight0			2					guideui.zx10203_1		guideui.zx10203_1		{600,500}	芙提雅	card.girl041		1				Click																		
	2	点击无限之视														Role	Special_SelectCard/{1,2,3,1}					2					guideui.zx10203_2		guideui.zx10203_2		{600,500}	芙提雅	card.girl041		1				Click								{"ScrollCardIntoView",{1,2,3,1}}										
	3	点击武器界面														Role	RightList/2/BtnSeclet		CanvasPanel3D_1			2					guideui.zx10203_3		guideui.zx10203_3		{600,400}	芙提雅	card.girl041		1				Click																		
	4	点击培养														Role	Weapon/RoleBtn					2					guideui.zx10203_4		guideui.zx10203_4		{600,500}	芙提雅	card.girl041		1				Click																		
	5	点击配件													0.9	Arms	Content/Content/3/BtnSeclet		CanvasPanel3D_0			2					guideui.zx10203_5		guideui.zx10203_5		{600,500}	芙提雅	card.girl041		1				Click																		
	6	弹出配件教学图																				2																												HelpPop	48						
																																																									
10291		选择DLC后勤本	Force	0				1					{"ReturnFalse"}																													10612															
	1	点击主界面出击按钮													0.7	Main	LevelBtn		PanelRight0			2					guideui.zx10291_1		guideui.zx10291_1		{1000,580}	卡罗琳	card.NPC001		1				Click																		
	2	点击常规行动													0.7	Dungeons	BtnResourse					2					guideui.zx10291_2		guideui.zx10291_2		{1000,500}	卡罗琳	card.NPC001		1				Click																		
	3	选择后勤本														DungeonsResourse	Special_SelectResourseLevel/7					2					guideui.zx10291_3		guideui.zx10291_3		{1000,630}	卡罗琳	card.NPC001		1				Click								{"ScrollResourseIntoView",{7}}										
																																																									
																																																									
11050		2.5进程1引导	Force	0				1					{"CheckLevelIsPass",{50174}};{"CreateTimeStart",{202509250400}}																													51471															1
	1	点击主界面出击按钮													0.7	Main	LevelBtn					2													1				Click																		
	2	选择主线故事													0.7	Dungeons	BtnLevel					2													1				Click																		
	3	点击朔州下													0.7	Chapter	ListTask/1/BtnSelect					2					guideui.zx10011_1		guideui.zx10011_1		{1000,580}	卡罗琳	card.NPC001		1				Click																		
	4	选择夙圆心行														chapter	Switcher/1/NormalBtn1					2													1				Click																		
	5	选择2.5进程1													1	dlc25story	Level/panel1/1/Button					2					guideui.zx10021_1		guideui.zx10021_1		{700,670}	卡罗琳	card.NPC001		1				Click								{"DLcStoryScrollIntoView",{"dlc25story",51471}}	{"SetDLcLevelCanMove",{"dlc25story",0}}	{"NoScroll",{0}};{"SetDLcLevelCanMove",{"dlc25story",1}}								
																																																									
