	中文简体	1=临时文案  0和不填都=正式文案	//备注
TxtTutorialOnlineBoss6_3	本期试炼中，天启者将迎战敌方首领——派·纯净的不同形态。在共赴终局关卡中，派·纯净在即将被击倒时将进入不屈状态，生命值不再下降（天启者造成的伤害仍会被记录）。利用特殊机制，与其他天启者一同畅快战斗挑战极限吧。\n\n从【独行砺战·普通】开始，派·纯净可获得以下强化：\n①派·纯净使用数据风暴震波时会额外生成跟踪数字水晶\n②派·纯净释放数据碎雨弹幕后会额外生成跟踪数字水晶\n③派·纯净使用心绪冲击光束转动速度加快\n④派·纯净释放的负面电击数据网的移动速度变快\n⑤派·纯净放置的数据修复球将得到强化，对其射击的跳弹率大幅提高	0	
TxtTutorialOnlineBossTitle7_1	【淬镜试炼-神祇与非】	0	
TxtTutorialOnlineBoss7_1	淬镜试炼是海姆达尔部队不定期举行的敌方首领挑战试炼。淬镜试炼共分为5关，在独行砺战关卡中，分析员需要带领天启者单独作战；在共赴终局关卡中，天启者们需要协同配合进行试炼，可以选择2~3人组队，也可以单人进行。需通关前置关卡才能解锁后续关卡。	0	
TxtTutorialOnlineBossTitle7_2	【总伤害计算】	0	
TxtTutorialOnlineBoss7_2	在独行砺战关卡中，每一关会计入对敌方首领的最大伤害，伤害上限为敌方首领的最大生命；\n在共赴终局关卡中，会计入限定时间内，天启者们对敌方首领造成的小队最佳伤害纪录。\n在本次神祇与非试炼中，会统计所有关卡造成的总伤害，并计入排行榜中。	0	
TxtTutorialOnlineBossTitle7_3	【初诞的沃坦】	0	
TxtTutorialOnlineBoss7_3	本期试炼中，天启者将迎战敌方首领——初诞的沃坦的不同形态。在共赴终局关卡中，初诞的沃坦在即将被击倒时将进入不屈状态，生命值不再下降（天启者造成的伤害仍会被记录）。利用特殊机制，与其他天启者一同畅快战斗挑战极限吧。\n\n从【独行砺战·普通】开始，初诞的沃坦可获得以下强化：\n①初诞的沃坦放置的往世虚瞳、现世虚瞳和来世虚瞳，在进入爆炸预警前会持续慢速接近队员\n②初诞的沃坦使用转身横扫近战攻击时，会朝当前面向落下3颗立即进入爆炸预警的来世虚瞳\n③初诞的沃坦为使用现世光束进行蓄力时，会在身边落下2颗立即进入爆炸预警的现世虚瞳\n④初诞的沃坦使用红色技能时，会在场上固定点位落下4颗立即进入爆炸预警的往世虚瞳\n⑤初诞的沃坦释放全场落雷时，场上只有在队员不被落雷命中的前提下才会生成安全区域	0	
TxtTutorialOnlineBossTitle8_1	【淬镜试炼-重雾消弭】	0	
TxtTutorialOnlineBoss8_1	淬镜试炼是海姆达尔部队不定期举行的敌方首领挑战试炼。淬镜试炼共分为5关，在各个关卡中分析员需要带领天启者单独作战，无论是否击败敌方首领都会记录对其造成的伤害。需通关前置关卡才能解锁后续关卡。	0	
TxtTutorialOnlineBossTitle8_2	【总伤害计算】	0	
TxtTutorialOnlineBoss8_2	在独行砺战关卡中，每一关会计入对敌方首领的最大伤害，伤害上限为敌方首领的最大生命；\n在独启终章关卡中，会计入限定时间内，天启者们对敌方首领造成的最佳伤害纪录。\n在本次重雾消弭试炼中，会统计所有关卡造成的总伤害，并计入排行榜中。	0	
TxtTutorialOnlineBossTitle8_3	【极夜幽影】	0	
TxtTutorialOnlineBoss8_3	本期试炼中，天启者将迎战敌方首领——极夜幽影的不同形态。在独启终章关卡中，极夜幽影在即将被击倒时将进入不屈状态，其生命不再减少（天启者造成的伤害仍会被记录）。利用特殊机制，畅快战斗挑战极限吧。\n\n从【独行砺战·普通】开始，极夜幽影可获得以下强化：\n①极夜幽影的远程攻击：陈酿剑气的数量增加2\n②极夜幽影初次转阶段会生成佳酿喷泉，再次转阶段时会在场地中心生成1个腐烂方田陷阱\n③极夜幽影的武器“酵香之杖”会使自身逐渐回复“千年腐能”，极夜幽影的蓝色外甲会为其提供霸体效果，并使其受到的伤害降低30%\n④极夜幽影布下的昏沉浆泉范围扩大\n⑤极夜幽影的攻击命中队员时都会施加与腐烂方田陷阱相同的“沉梦”状态：生命持续减少，回复常规能量	0	
TxtTutorialOnlineBossTitle9_1	【淬镜试炼-机动舞台】	0	
TxtTutorialOnlineBoss9_1	淬镜试炼是海姆达尔部队不定期举行的敌方首领挑战试炼。淬镜试炼共分为5关，在各个关卡中分析员需要带领天启者单独作战，无论是否击败敌方首领都会记录对其造成的伤害。需通关前置关卡才能解锁后续关卡。	0	
TxtTutorialOnlineBossTitle9_2	【总伤害计算】	0	
TxtTutorialOnlineBoss9_2	在独行砺战关卡中，每一关会计入对敌方首领的最大伤害，伤害上限为敌方首领的最大生命；\n在独启终章关卡中，会计入限定时间内，天启者们对敌方首领造成的最佳伤害纪录。\n在本次机动舞台试炼中，会统计所有关卡造成的总伤害，并计入排行榜中。	0	
TxtTutorialOnlineBossTitle9_3	【尘白恶魔号】	0	
TxtTutorialOnlineBoss9_3	本期试炼中，天启者将迎战敌方首领——尘白恶魔号的不同形态。在独启终章关卡中，尘白恶魔号在即将被击倒时将进入不屈状态，其生命不再减少（天启者造成的伤害仍会被记录）。利用特殊机制，畅快战斗挑战极限吧。\n\n从【独行砺战·普通】开始，尘白恶魔号可获得以下强化：\n①尘白恶魔号空中连续射击时，会以更快的射速射出5颗子弹\n②尘白恶魔号跳跃至场地中心时会造成范围伤害并击飞范围内目标\n③尘白恶魔号连续体术的最后一段攻击会向四周发射飞镖\n④尘白恶魔号为超级正义光能炮进行蓄力期间会生成浮游炮进行攻击\n⑤尘白恶魔号展开恶魔力场盾期间，会修复机体，缓慢恢复生命	0	
TxtTutorialOnlineBossTitle10_1	【淬镜试炼-荒谷诡影】	0	
TxtTutorialOnlineBoss10_1	淬镜试炼是海姆达尔部队不定期举行的敌方首领挑战试炼。淬镜试炼共分为5关，在各个关卡中分析员需要带领天启者单独作战，无论是否击败敌方首领都会记录对其造成的伤害。需通关前置关卡才能解锁后续关卡。	0	
TxtTutorialOnlineBossTitle10_2	【总伤害计算】	0	
TxtTutorialOnlineBoss10_2	在独行砺战关卡中，每一关会计入对敌方首领的最大伤害，伤害上限为敌方首领的最大生命；\n在独启终章关卡中，会计入限定时间内，天启者们对敌方首领造成的最佳伤害纪录。\n在本次荒谷诡影试炼中，会统计所有关卡造成的总伤害，并计入排行榜中。	0	
TxtTutorialOnlineBossTitle10_3	【玉节天龙】	0	
TxtTutorialOnlineBoss10_3	本期试炼中，天启者将迎战敌方首领——玉节天龙的不同形态。在独启终章关卡中，玉节天龙在即将被击倒时将进入不屈状态，其生命不再减少（天启者造成的伤害仍会被记录）。利用特殊机制，畅快战斗挑战极限吧。\n\n从【独行砺战·普通】开始，玉节天龙可获得以下强化：\n①玉节天龙使用凝沙尖刺时会伴随弹幕攻击\n②玉节天龙喷射的拟泰坦浓酸会残留在原地，形成可持续造成伤害的陷阱\n③玉节天龙在第2阶段潜入地下时，会派出大量布雷盒\n④玉节天龙在第2阶段吸取龙卷风时，除获得护盾外，还可回复部分生命并短暂提升防御力\n⑤玉节天龙在第2阶段进行砸地攻击时会伴随仿岩弹幕攻击	0	
			
			
			
			
TxtTutorialElementTitle1	【乱战宝礁】	0	
TxtTutorialElementDes1	欢迎来到乱战宝礁，在这个模式下分析员可以根据需求前往5片不同的区域进行挑战。	0	
TxtTutorialElementTitle2	【区域挑战】	0	
TxtTutorialElementDes2	每片区域都包含8个不同难度的关卡，挑战成功便可获得专属奖励。	0	
TxtTutorialElementTitle3	【关卡增益】	0	
TxtTutorialElementDes3	当然，不同区域中的关卡也存在着不同的增益效果，灵活运用这些增益效果便可大大降低挑战难度。	0	
TxtTutorialElementTitle4	【蛤蜊沙滩】	0	
TxtTutorialElementDes4	随着挑战的进行，每天都可通过【蛤蜊沙滩】获得大量随机珍珠。	0	
TxtTutorialElementTitle5	【珠贝商店】	0	
TxtTutorialElementDes5	在【珠贝商店】中可以使用珍珠可以兑换商品，需要注意的是有些商品需要多种珍珠搭配兑换。	0	
TxtTutorialElementTitle6	【翠星助力】	0	
TxtTutorialElementDes6	在【翠星助力】中每日都有一次助力机会，点击【助力】按钮便可随机获得1位队员助战或获得强力加成，而随着日程推进，最终也将解锁全部助战角色和加成效果。	0	
			
TxtTutorialRogue3Title1	【悖论迷宫】	0	
TxtTutorialRogue3Des1	【悖论迷宫】是由研发部主导开发的一款作战仿真推演系统。分析员可以利用该系统体验各种随机构建的模拟战局，从而推演出适合自身的最佳战术策略。	0	
TxtTutorialRogue3Title2	【路线选择】	0	
TxtTutorialRogue3Des2	该系统在集成过往战斗数据，深度挖掘不同战局特质后，会自动生成多个不同的前进路线，分析员可以自行选择。	0	
TxtTutorialRogue3Title3	【门】	0	
TxtTutorialRogue3Des3	选择路线后会开启对应的门，门后隐藏着不同的挑战、也会有各异的机遇。请结合队员当下状况，慎重做出判断。	0	
TxtTutorialRogue3Title4	【增益】	0	
TxtTutorialRogue3Des4	完成战斗事件后，系统会生成数个随机增益以供分析员选择，从而提升队员的战斗能力。同时，分析员还可以在突发事件与军备兑换中，获得稀有增益来提升队员的战斗能力。	0	
TxtTutorialRogue3Title5	【推演等级】	0	
TxtTutorialRogue3Des5	完成推演或重置推演后，系统会根据推演进度为分析员分配推演经验。累积推演经验升级推演等级后，分析员可以在评估嘉勉中，获取丰厚奖励。	0	
TxtTutorialRogue3Title6	【逻辑研习】	0	
TxtTutorialRogue3Des6	完成推演或重置推演后，系统会根据推演进度为分析员分配智略点。分析员可以使用智略点解锁、提升不同的逻辑研习科目，从而在后续的推演中更加游刃有余。	0	
TxtTutorialRogue3Title7	【多维解集与验证战场】	0	
TxtTutorialRogue3Des7	多维解集是悖论迷宫的赛季活动，该赛季活动期间，常规模式持续开启，同时将会新增验证战场模式。在验证战场中，上阵队员、敌人会受到特殊效果的影响，使战局充满变化与挑战。	0	
TxtTutorialRogue3Title8	【特别嘉勉】	0	
TxtTutorialRogue3Des8	悖论迷宫-多维解集开启期间，挑战悖论迷宫即可获取申领凭证。试用申领凭证可以在特别嘉勉中抽取多种奖励。	0	
TxtTutorialRogue3Title9	【迷宫类型】	0	
TxtTutorialRogue3Des9	常规模式：策略型战局，耗时较长的随机探索模式，考验综合策略性\n迭战模式：挑战型战局，通过快节奏的战斗来挑战更强的目标\n验证战场：验证型战局，可以通过高强度的战斗验证自身策略倾向，不定期开放	0	
TxtDormLivingRoom	环形大厅	0	
TxtDormOut	外出中	0	
TxtDormRoomNum	房间号：	0	
TxtDormRoomNotLived	暂未入住	0	
TxtDormRoomCheck	入住办理	0	
TxtDormRoom	门卡	0	
TxtDormPresentLove	好感度	0	
TxtDormPresentSuit	可赠与	0	
TxtDormMapTip1	分析员	0	
TxtDormMapTip2	小吉	0	
TxtDormMapTip3	传送点	0	
TxtDormRoomSend	赠送	0	
TxtDormRoom.Tip	可选择任意已解锁区域进行传送	0	
TxtDormPresentLoveUp	好感度提升	0	
TxtDormUnlock.Tip	解锁好感度故事：<span color="#d68238">%s</>	0	
TxtDormLoveLvUp	好感度等级提升		
TxtDormHeart.Tip	好感度加成		
TxtDormDamage	最终伤害提升:		
TxtDormLoveAttri1	最终伤害提升%s		
TxtDormLoveAttri2	好感度每提升10级，%s的所有换装形态最终伤害均提升1%%		
TxtGiftSend	赠送礼物		
TxtDormWallNone	暂无		
TxtDormWall	纪念展区		
TxtDormWallShow	展示		
TxtDormArrange	可通过拖动队员头像来调整房间入住安排		
TxtDormBtnContinue	继续	0	
			
TxtMultiple	掉落倍率	0	
TxtMainMission	完成主线：	0	
TxtSurvey	问卷	0	
TxtBagSell01	出售预览	0	
TxtBagSell02	已选	0	
TxtBagSell03	批量选择<Test1>蓝色及以下品质</>	0	
TxtBagSell04	批量选择<Test2>橙色品质</>	0	
TxtBagSell05	批量选择<Test3>紫色品质</>	0	
TxtSignal	通信中	0	
		0	
		0	
TxtDialoguetip	剧情尚未完成，是否跳过?	0	
TxtFightFail	任务失败	0	
TxtFightFail2	战斗失败	0	
TxtFightFail3	战斗胜利	0	
TxtShopRefresh2	次数用完	0	
TxtShopDay	天	0	
TxtBattleTips	结束	0	
TxtWeaponTips1	此装备已被%s装备，是否交换？	0	
TxtAwardsList	奖励列表	0	
DefeatText1	建议补充当前队伍的队员	0	
DefeatText2	建议配备更多后勤	0	
DefeatText3	建议提升当前队伍队员等级	0	
DefeatText4	建议提升当前队伍武器等级	0	
DefeatText5	建议提升当前队伍后勤等级	0	
DefeatText6	建议激活当前后勤套装效果	0	
DefeatText7	建议配备品质更高的后勤	0	
DefeatText8	建议通导当前队伍队员的神格神经	0	
DefeatText9	建议提升当前队伍队员神格同调	0	
DefeatText10	建议激发当前队伍队员的天启	0	
DefeatText11	建议调整当前队伍的队员配队	0	
		0	
		0	
		0	
		0	
TxtOnlineshop.title1	意识补丁包	0	
TxtOnlineshop.title2	意识升级包	0	
		0	
TxtBP	盛海凭证	0	
TxtBPDlc4	绘霜凭证	0	
TxtBPDlc5	澄音凭证	0	
TxtBPDlc6	焰光凭证	0	
TxtBPDlc7	夜阑凭证	0	
TxtBPDlc8	空岛凭证	0	
TxtBPDlc9	息风凭证	0	
TxtBPDlc10	星辉凭证	0	
TxtBPDlc11	星海凭证	0	
TxtBPDlc12	鸣沙凭证	0	
TxtBPDlc13	晶岩凭证	0	
TxtBPDlc25	栖心凭证	0	DLC2.5BP相关
TxtBPDlc26	绚花凭证	0	DLC2.6BP相关
TxtBPDlc27	渊源凭证	0	DLC2.7BP相关
TxtBPDlc28	变格凭证	0	DLC2.8BP相关
TxtBPDlc30	真理凭证	0	DLC3.0BP相关
TxtBPDlc31	蔷薇凭证	0	DLC3.1BP相关
TxtBPDlc32	漾彩凭证	0	DLC3.2BP相关
TxtBPDlc33	天扉凭证	0	DLC3.3BP相关
TxtBPDlc34	勇气凭证	0	DLC3.4BP相关
TxtBPDlc35	汐梦凭证	0	DLC3.5BP相关
TxtBPDlc36	煦风凭证	0	DLC3.6BP相关
TxtBPLimitExp	本周经验上限：	0	
TxtBPLimitTime	本期剩余时间	0	
TxtBPUnlockBtn	解锁高级奖励	0	
TxtBPRewardNormal	初级凭证	0	
TxtBPRewardElite	高级凭证	0	
TxtBPRewardExtra	时装专项扩充	0	DLC3.2BP额外购买
TxtBPLevelBuyTitle	购买凭证等级	0	
TxtBPLevelCurrent	当前等级	0	
TxtBPLevelNext	提升至等级	0	
TxtBPName1	奖励	0	
TxtBPName2	每日任务	0	
TxtBPName3	每周任务	0	
TxtBPName4	限定任务	0	
TxtBPBuy	已购买	0	
TxtBPNormal1	包含高级凭证的所有奖励	0	
TxtBPNormal2	立即提升10级凭证等级	0	
TxtBPNormal3	激活特级凭证即可获得：	0	
TxtBPNormal4	购买后达到对应等级即可获得的道具	0	
TxtBPNormal5	额外获得以下奖励	0	
TxtBPNormal6	购买后立即获得【盛海武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPNormal7	前往背包使用，可选择获得当期时装、数据金中的一项	0	DLC3.6修改
TxtBPNormal8	获得"时装专项扩充"购买资格，可额外购买1次本期时装资金自选箱。	0	DLC3.2BP额外购买
TxtBPNormal9	购买特级凭证后，可额外购买1次本期时装资金自选箱。	0	DLC3.2BP额外购买
TxtBPNormal10	购买特级凭证后，解锁"时装专项扩充"购买资格	0	DLC3.2BP额外购买
TxtBPInfoDlc4	购买后立即获得【绘霜武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc5	购买后立即获得【澄音武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc6	购买后立即获得【焰光武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc7	购买后立即获得【夜阑武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc8	购买后立即获得【空岛武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc9	购买后立即获得【息风武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc10	购买后立即获得【星辉武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc11	购买后立即获得【星海武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc12	购买后立即获得【鸣沙武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc13	购买后立即获得【晶岩武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	
TxtBPInfoDlc25	购买后立即获得【栖心武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC2.5BP相关
TxtBPInfoDlc26	购买后立即获得【绚花武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC2.6BP相关
TxtBPInfoDlc27	购买后立即获得【渊源武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC2.7BP相关
TxtBPInfoDlc28	购买后立即获得【变格武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC2.8BP相关
TxtBPInfoDlc30	购买后立即获得【真理武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.0BP相关
TxtBPInfoDlc31	购买后立即获得【蔷薇武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.1BP相关
TxtBPInfoDlc32	购买后立即获得【漾彩武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.2BP相关
TxtBPInfoDlc33	购买后立即获得【天扉武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.3BP相关
TxtBPInfoDlc34	购买后立即获得【勇气武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.4BP相关
TxtBPInfoDlc35	购买后立即获得【汐梦武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.5BP相关
TxtBPInfoDlc36	购买后立即获得【煦风武器适配舱】，凭证达到对应等级后即可获得对应奖励	0	DLC3.6BP相关
TxtBPBanner	激活特级凭证，获得限定时装及丰厚奖励	0	
TxtBPFashion	凭证	0	
TxtBPConfirm	是否确认当前选择，凭证时装暂无其他获取途径	0	
TxtBPBeforeSkin	凭证时装	0	
			
xgsdk.Succes	支付成功	0	
xgsdk.Canceled	支付已取消	0	
xgsdk.Pailed	支付失败	0	
xgsdk.Frequently	请求支付过于频繁，请稍等	0	
		0	
TxtTowereventBuff	关卡效果	0	
		0	
TxtDescWeek	%d周	0	
TxtActivityMission.flag1	常驻目标	0	
TxtActivityMission.flag2	每日目标	0	
TxtActivityMission.flag3	每周目标	0	
TxtActivity14daysTab1	前七天	0	
TxtActivity14daysTab2	后七天	0	
TxtActivity14daysInfo1	可获得	0	
TxtRoledetail.tab1	基础信息	0	
TxtRoledetail.tab2	推荐装备	0	
TxtRoledetail.equip1	基础装备	0	
TxtRoledetail.equip2	进阶装备	0	
		0	
TxtNewSign14Tips	%d天后可领取狙击角色-<span color="#f7be37">茉莉安·雨燕</>	0	
TxtNewSign14Tips2	%d天后可领取突击步枪-<span color="#f7be37">审判前夜</>	0	
		0	
TenThousand	万	0	
		0	
TxtFacePopTip	7日内不再弹出	0	
TxtNoticeTips	无新公告时不再弹出	0	
		0	
TxtConfirmRelease	释放	0	
TxtActivityRecharge01	充值金额(返还)	0	
TxtActivityRecharge02	比特金 数据金	0	
TxtActivityRecharge03	返还规则	0	
TxtActivityRecharge04	活动期间累计充值金额：	0	
TxtActivityRecharge05	公测可获得比特金	0	
TxtActivityRecharge06	以及数据金	0	
TxtActivityRecharge07	前往充值	0	
TxtActivityRecharge08	领取返还	0	
TxtActivityRecharge09	充值返利	0	
		0	
TxtRoleLogistcsTeam	后勤小队	0	
TxtRoleLogistcsEquip	当前配备：	0	
TxtRoleLogistcsTotalEquip	装配属性	0	
TxtRolePartsEquip	配件装备	0	
TxtLevelupMax	满级	0	
TxtRank.tip	升级数据收集中	0	
TxtUserLevelLimit	分析员等级需达%d级	0	
TxtRoleSkill.title	技能详情	0	
		0	
TxtOccupyNPC	正被敌方占领中...	0	
TxtOccupyOur	正被我方占领中...	0	
TxtOccupyOverNPC	已被敌方占领	0	
TXTOccupyOverOur	已被我方占领	0	
		0	
TxtDayUnlock	%d天后解锁	0	
		0	
TxtHandbook1	记忆载录	0	
TxtHandbook2	收集进度：	0	
TxtHandbook3	队员档案	0	
TxtHandbook4	已解锁	0	
TxtHandbook5	暂未获得	0	
TxtHandbook6	个人故事	0	
TxtHandbook7	队员语音	0	
TxtHandbook8	武器图鉴	0	
TxtHandbook9	图鉴	0	
TxtHandbook10	剧情记录	0	
TxtHandbook11	敌方情报	0	
TxtHandbook12	后勤档案	0	
TxtHandbook13	时装图鉴	0	
TxtHandbook14	探索见闻	0	
TxtHandbook15	队员信息	0	
TxtHandbook16	基础档案	0	
TxtHandbook17	履历背景	0	
TxtHandbook18	满级预览	0	
TxtHandbook19	基础属性	0	
TxtHandbook20	获取后解锁	0	
TxtHandbook21	资料	0	
TxtHandbook22	初始形象	0	
TxtHandbook23	进阶形象	0	
TxtHandbook24	获取信息源后解锁	0	
TxtHandbook25	配件图鉴	0	
TxtHandbook26	初始	0	
TxtHandbook27	满级	0	
TxtHandbook28	敬请期待	0	
			
RikiRoleSound1	登录	0	
RikiRoleSound2	共鸣	0	
RikiRoleSound3	看板娘展示1	0	
RikiRoleSound4	看板娘展示2	0	
RikiRoleSound9	看板娘展示3	0	
RikiRoleSound10	看板娘展示4	0	
RikiRoleSound5_1	战斗开始1	0	
RikiRoleSound5_2	战斗开始2	0	
RikiRoleSound6_1	战斗胜利1	0	
RikiRoleSound6_2	战斗胜利2	0	
RikiRoleSound7	战斗失败	0	
RikiRoleSound8	升级	0	
RikiRoleSound13	支援技	0	
RikiRoleSound14	爆发技	0	
RikiRoleSound15	换弹	0	
RikiRoleSound16	场景交互	0	
RikiRoleSound17	阶段目标达成	0	
RikiRoleSound18	切换登场	0	
RikiRoleSound19	敌人出现1	0	
RikiRoleSound20	敌人出现2	0	
RikiRoleSound21	消灭敌人1	0	
RikiRoleSound22	消灭敌人2	0	
RikiRoleSound23	消灭敌人3	0	
RikiRoleSound24	切换登场1	0	
RikiRoleSound25	切换登场2	0	
RikiRoleSound26	阶段目标达成1	0	
RikiRoleSound27	阶段目标达成2	0	
			
RikiskinSound1	战斗开始	0	
RikiskinSound2	战斗胜利	0	
RikiskinSound3	看板娘展示1	0	
RikiskinSound4	看板娘展示2	0	
RikiskinSound5	看板娘展示3	0	
RikiskinSound6	看板娘展示4	0	
RikiskinSound7	看板娘展示5	0	
RikiskinSound8	看板娘展示6	0	
RikiskinSound9	看板娘展示7	0	
RikiskinSound10	战斗开始1	0	
RikiskinSound11	战斗开始2	0	
RikiskinSound12	战斗胜利1	0	
RikiskinSound13	战斗胜利2	0	
			
			
RikiSupportUnlock1	获取后勤后可解锁	0	
RikiSupportUnlock2	后勤突破后可解锁	0	
RikiSupportUnlock3	后勤突破未达到解锁条件	0	
RikiRoleUnlock1	获取角色后可解锁	0	
RikiExplore00	电子日志	0	
RikiExplore01	信息残片	0	
RikiExplore02	风物百景	0	
RikiExplore03	异相研究	0	
RikiExplore04	录音记录	0	
RikiExplore05	数据载体	0	
RikiExplore06	语音载录	0	
RikiExplore07	追光逐影	0	
		0	
			
RikiCgBtn01	清除勾选	0	DLC3.0图鉴追加设置riki_check
RikiCgBtn02	保存勾选	0	DLC3.0图鉴追加设置riki_check
RikiCgTittle01	加载界面图片设置	0	DLC3.0图鉴追加设置riki_check
TextRikiCgCheck1	默认	0	DLC3.0图鉴追加设置riki_check
TextRikiCgCheck2	自定义	0	DLC3.0图鉴追加设置riki_check
TextRikiCgCheck3	已解锁的静态图片	0	DLC3.0图鉴追加设置riki_check
TextRikiCgTittle02	已选	0	DLC3.0图鉴追加设置riki_check
TextcantChoose	当前图片不可选	0	DLC3.0图鉴追加设置riki_cg_item
		0	
roleup_ProLevel	神格同调	0	
TxtRolebreaklvgo	可激活	0	
TxtRolebreaklv1	初识合作	0	
TxtRolebreaklv2	默契协同	0	
TxtRolebreaklv3	心有灵犀	0	
ProLevelStage	神格同调%d阶	0	
TxtRolebreaklvNot	未激活	0	
TxtRolebreaklvCompleted	已激活	0	
TxtRolebreaklvIng	可激活	0	
TxtRolebreaklvCompleted2	激活成功	0	
TxtRoleTry	试用	0	
TxtRolebreaklvNot2	神格同调尚未激活	0	
TxtRoleBreakMax	已达最高等阶	0	
TxtSyncNext	下一阶解锁条件	0	
TxtSyncNextAtt	下一阶属性	0	
		0	
TxtGachaRookie	初报到福利	0	
TxtGachaTotalnum	%s/%s	0	
TxtGachaTotalTxt	已共鸣	0	
TxtGachaRule1	共鸣说明	0	
TxtGachaRule2	共鸣规则	0	
TxtGachaRule3	重复获取角色	0	
TxtDefenseTip1	难度确认	0	
TxtDefenseTip2	荣誉冲突	0	
TxtDefenseTip3	已开始挑战，无法切换难度	0	
TxtDefenseTip4	赫伦汀系统	0	
TxtDefenseTip5	史诗系统	0	
TxtDefenseTip6	当前御敌波次：	0	
TxtDefenseTip7	当前御敌波次：	0	
TxtDefenseAction1	新纪录	0	
TxtDefenseAction2	龙息协助站	0	
TxtDefenseAction3	已上传战况，当前进度已存档，暂时离开后重新开始可以回到当前进度	0	
TxtDefenseAction4	重置所有补给点	0	
TxtDefenseAction5	重置所有爆炸装置	0	
TxtDefenseAction6	接下来3波次敌袭时限均延长60秒	0	
TxtDefenseAction7	复归1名撤退的队员	0	
TxtDefenseAction8	请选择复归的角色：	0	
TxtDefenseAction9	继续行动	0	
TxtDefenseAction10	暂时离开	0	
TxtDefenseAction11	购置低频震荡基座	0	
TxtDefenseAction13	部署	0	
TxtDefenseAction14	购置炸弹车	0	
TxtDefenseAction15	劝降弓箭会员	0	
TxtDefenseAction16	劝降泰坦融合体	0	
TxtDefenseAction17	劝降连弩会员	0	
TxtDefenseAction18	劝降连弩会员	0	
TxtDefenseAction19	劝降长刀会员	0	
TxtDefenseAction20	劝降长刀会员	0	
TxtChapterProgress	章节进度	0	
TxtChapterNum	第%d章	0	
TxtTowereventNum	第%d阶	0	
TxtChapterFinish	已完成	0	
TxtChapterUnfinish	未完成	0	
TxtChapterLock	封锁中	0	
TxtChapterTip1	即将进入危险区域//	0	
TxtChapterTip2	义装植入体契中...//	0	
TxtChapterTip3	资源储备项目确认中//	0	
TxtChapterTip4	©公司认证	0	
TxtChapterTip5	世界树系统运行中//	0	
TxtChapterTip6	战术地图初始化...	0	
TxtChapterLimit	先行体验	0	
TxtLevelTip11	【迷雾之梦】活动结束后，通关第十章主线故事方可解锁		
TxtLevelTipSP1	【雪境危途】活动结束后，通关第十一章主线故事方可解锁		
TxtLevelTip12up	【缭乱舞曲】活动结束后，通关【特别篇】主线故事方可解锁		
TxtLevelTip13up	【尽灼天幕】活动结束后，通关第十二章【前篇】主线故事方可解锁		
TxtLevelTipUp	活动结束后，需要通关前序主线故事方可解锁		
		0	
RemainingTime	剩余时间：	0	
LevelSettlement	关卡结算	0	
TxtLevelHardTip	敌对势力增强	0	
		0	
TxtTowereventtitle1	当前章节	0	
TxtTowereventtitle2	章节奖励	0	
TxtTowereventtitle3	瓦尔基里系统	0	
TxtTowereventtitle4	-系统已启动-	0	
TxtTowereventdes1	完成章节挑战进度，获得进度通关奖励	0	
TxtTowereventdes2	领取需求	0	
TxtTowereventdes3	当前完成度:	0	
TxtTowereventdes4	完成度%d	0	
TxtDungeonsRole.title	战术考核	0	
TxtTowereventRank	关卡	0	
		0	
CycleGift_Sender	系统	0	
CycleGift_Title	世界树新员工福利(%d/%d)	0	
CycleGift_Content	附件内是您购买超值聘任包免费赠送的登录奖励（第%d天/共%d天），请及时领取。\n\n提醒：超值聘任包购买30天后，将无法获得未登录天数的免费奖励，请您及时登录领取奖励。	0	
		0	
TxtChessTitle	灯火照途明	0	
TxtChessTitle2	当前进度	0	
TxtChessTitle3	探索记录	0	
TxtChessTitle4	探索进度	0	
TxtChessbutton1	前往	0	
TxtChessbutton2	无法到达	0	
