字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注	
1032300_des	瑟瑞斯使用高热水流击飞范围内目标并造成范围伤害，随后再次爆炸造成伤害\n爆发技结束后，瑟瑞斯会自动使用常规技进入【悠浪】状态，并同时进入【浪啸】状态，期间会为全队添加护盾【核浪凝盾】，并持续获得【升浪值】	0	悠游试玩建议	
				
1033100_name	逐星微光	0	米娅试玩建议	常规技
1033100_des	米娅默认装备特殊弹匣【甜能弹匣】，换弹会进行特殊换弹装填【味剂弹】：造成1次必定暴击的单体射击伤害\n米娅的点按常规技【逐星微光】进行蓄力：提升伤害、范围和物品破坏力，再次射击或使用常规技，会对范围内多名敌方目标造成电击类型伤害	0	米娅试玩建议	
1033200_name	碎闪锐爪	0	米娅试玩建议	支援技
1033200_des	米娅的支援技会对周围多个敌方目标造成1次范围的电击类型伤害	0	米娅试玩建议	
1033300_name	甜印驱动	0	米娅试玩建议	爆发技
1033300_des	米娅使用爆发技后进入【明彩绒光】状态，装填满【味剂弹】并获得1【彩绒标记】，下一次射击会消耗1【彩绒标记】，以三连发的形式快速发射3发强化【味剂弹】；\n米娅处于【明彩绒光】状态时，每次发射【味剂弹】和强化【味剂弹】造成伤害后，会获得【风味星点】\n【风味星点】不低于24时，米娅再次使用爆发技进入【风引星爆】状态，会消耗全部【风味星点】装填【甜星弹】，米娅以极快速度连续发射【甜星弹】造成必定暴击的单体射击伤害，直至耗尽	0	米娅试玩建议	
				
1034100_name	镜涌万象	0	灵鉴试玩建议	常规技
1034100_des	面对成群目标时，可以使用常规技释放【碎镜暴雨】造成范围类型伤害\n卜卜普通射击造成伤害会获得【镜晕】，积攒足够【镜晕】可以使常规技升级为【镜彩射击】	0	灵鉴试玩建议	
1034200_name	异镜来物	0	灵鉴试玩建议	支援技
1034200_des	卜卜在目标脚下制造1处虚境裂缝，对目标造成特异类型伤害	0	灵鉴试玩建议	
1034300_name	吉煞映照	0	灵鉴试玩建议	爆发技
1034300_des	使用【镜彩射击】造成伤害会获得【溢光】，足够【溢光】时，可使用爆发技【吉煞映照】进入【虚镜】世界：卜卜常规技升级为【镜裂射击】，此时可以连续使用常规技进行猛烈攻击\n消耗所有【溢光】或再次主动使用爆发技，会释放【镜蚀千界】进行攻击并退出【虚镜】世界	0	灵鉴试玩建议	
				
1036100_name	钢羽傍身	0	霄鹰试玩建议	常规技
1036100_des	茉莉安持续射击命中【獠牙信标】或其范围内目标，为【獠牙信标】充能满【械武值】时，根据下一枪命中的目标，茉莉安通过【獠牙信标】造成范围或单体动能类型伤害\n数次通过【獠牙信标】造成伤害后，下一次造成的伤害会通过消耗【振羽值】得到强化	0	霄鹰试玩建议	
1036200_name	重器制空	0	霄鹰试玩建议	支援技
1036200_des	茉莉安跃入空中进入【空猎】状态，并获得【鸟瞰值】，且【鸟瞰值】可随时间自然回复\n场上队员对目标造成伤害时，若此时茉莉安拥有一定【鸟瞰值】，则消耗全部【鸟瞰值】对目标发起追加攻击\n【空猎】状态下，茉莉安为场上队员提供额外攻击力	0	霄鹰试玩建议	
1036300_name	最终指令	0	霄鹰试玩建议	爆发技
1036300_des	茉莉安召唤【覆灭礼炮】对目标造成动能类型伤害，随后形成【清浊焰火】造成5次动能类型伤害	0	霄鹰试玩建议	
				
		0		
8001100_name	支架炮台	1000		
8001100_des	该炮台护盾会阻挡来自正面的子弹，需要玩家移动到炮台<span color="#ffc500">侧后方</>进行破坏。	1000		
8002100_name	万能炮台	1000		
8002100_des	该炮台会追踪我方队员，在同一水平面内进行无死角攻击，我方需要从<span color="#ffc500">较高位置</>进行攻击才可将其破坏。	1000		
		0		
9001100_name	<span color="#ffc500">基座的影响</>	0		
9001100_des	基座会对其周围敌方目标施加<span color="#ffc500">无敌状态</>，需<span color="#ffc500">优先破坏</>才能对其他敌人造成伤害；\n基座具有一定<span color="#ffc500">坚固值</>，不同类型武器针对其有<span color="#ffc500">不同破坏效果</>，手枪效果<span color="#ffc500">最差</>，霰弹枪效果<span color="#ffc500">最好</>	0		
9002100_name	<span color="#ffc500">部位破坏</>	0		
9002100_des	有些<span color="#ffc500">特殊</>的敌人用常规的方法很难对付，需要<span color="#ffc500">优先破坏其关键部位</>，破坏后可以<span color="#ffc500">使其生命和能力都有显著削减</>。	0		
9003100_name	<span color="#ffc500">跳弹</>	0		
9003100_des	面对装甲更厚的敌人时，普通射击的子弹可能被弹开，无法造成伤害。	0		
9003200_name	<span color="#ffc500">跳弹概率</>	0		
9003200_des	不同类型的枪械面对不同装甲的敌人时，跳弹概率<span color="#ffc500">由低到高</>分别是<span color="#ffc500">狙击枪、霰弹枪、手枪、突击步枪、冲锋枪</>。	0		
9004100_name	<span color="#ffc500">临界剧变</>	0		
9004100_des	对敌方目标造成<span color="#ffc500">不同类型伤害</>时，该目标会开始积累对应类型的临界剧变能量，达到临界值时会引起<span color="#ffc500">临界剧变</>，对目标<span color="#ffc500">额外造成1次对应属性的伤害</>。	0		
9004200_name	<span color="#ffc500">伤害类型和临界剧变的关系</>	0		
9004200_des	临界剧变能量积累更快的方法：<span color="#ffc500">高温、动能</>类型伤害对阵<span color="#ffc500">生物</>类敌人，<span color="#ffc500">低温、电击</>类型伤害对阵<span color="#ffc500">机械类</>敌人，<span color="#ffc500">特异</>类型伤害对阵<span color="#ffc500">泰坦类</>敌人。	0		
9004300_name	<span color="#ffc500">临界剧变积累效率</>	0		
9004300_des	        生物    机械    泰坦\n高热     <span color="#ffc500">△</>      △      ｘ\n低温     △      <span color="#ffc500">△</>      ｘ\n特异     ｘ      △      <span color="#ffc500">△</>\n电击     ｘ      <span color="#ffc500">△</>      △\n动能     <span color="#ffc500">△</>      ｘ      △	0		
9005100_name	<span color="#ffc500">特化阻断</>	0		
9005100_des	面对有特化技能的敌人时，部分队员的技能能对其进行有效<span color="#ffc500">阻断</>； \n在阻断生效的时间内，会让该特化技能彻底无效。	0		
9006100_name	<span color="#ffc500">支援技</>	0		
9006100_des	未上场的队员能用<span color="#ffc500">支援技</>协助战斗。各类支援技可应对不同战况，如芬妮的支援技可以将目标击退一段距离，适合用于解除近战威胁，特别是把敌人从高处推下，能直接将其击败。	0		
9007100_name	<span color="#ffc500">弱点部位</>	0		
9007100_des	大部分敌人都具有<span color="#ffc500">弱点部位</>，例如：螺钉的弱点位于头部，简易哨兵的则在底座。\n攻击弱点部位必定造成暴击伤害，合理运用可以更快击败敌人。	0		
9008100_name	<span color="#ffc500">跳跃</>	0		
9008100_des	部分特殊行动中，可以使用<span color="#ffc500">跳跃</>，活用跳跃提高作战能力吧，【跳跃】：%s键	0		
				
				
9101000_name	首领对策	0		
9101100_name	首领对策	0		
9101100_des	破坏两侧武器模块可使其失去对应攻击手段，\n破坏腿部外壳可使其暴露腿部主关节，该部位属于<img src="icon.BattleHint4"/><span color="#ee4735">可破坏的弱点部位</>。	0		
9101200_name	首领对策	0		
9101200_des	破坏腿部主关节，能造成更高伤害，且使其暂时失去行动能力，期间【二型验证机甲】会弹出背部散热器，直接攻击该<img src="icon.BattleHint4"/><span color="#ee4735">弱点</>可造成更高伤害！	0		
9102100_name	首领对策	0		
9102100_des	<img src="icon.BattleHint2"/><span color="#ee4735">通常护盾</>被常规射击的普通子弹命中时，受到的伤害会大幅提升，破坏通常护盾时，可使其暂时失去行动能力，但在恢复行动能力时，<img src="icon.BattleHint2"/><span color="#ee4735">通常护盾</>也会完全恢复，请在那之前抓紧时间将其击败！	0		
9103100_name	首领对策	0		
9103100_des	约瑟夫的外甲为强化<img src="icon.BattleHint7"/><span color="#ee4735">外甲</>，能使常规射击的<span color="#ee4735">跳弹</>概率大大提升，需要尽量可能攻击其头部弱点部位，约瑟夫每次卸掉一部分外甲时，战斗行为都会产生变化，需要注意躲避！	0		
9104100_name	首领对策	0		
9104100_des	尤弥尔胸口的晶体物质是其<img src="icon.BattleHint4"/><span color="#ee4735">弱点部位</>，在尤弥尔使用强力的大范围蓄力攻击时，需要尽快到巨石后躲避！	0		
9105100_name	首领对策	0		
9105100_des	加文的远距离剑气攻击和冲刺攻击非常迅猛，请注意躲避，加文蓄力期间，需要尽快<span color="#ee4735">破坏物质相方块</>！	0		
9106000_name	首领对策	0		
9106100_name	首领对策	0		
9106100_des	破坏海拉的<img src="icon.BattleHint6"/><span color="#ee4735">四肢</>可以使其暂时失去行动能力，破坏其<img src="icon.BattleHint6"/><span color="#ee4735">肩部</>两侧的攻击器官可以使其丧失对应攻击手段，海拉的头部和身体躯干中心都是<img src="icon.BattleHint4"/><span color="#ee4735">弱点部位</>。	0		
9107100_name	首领对策	0		
9107100_des	萨特拥有<img src="icon.BattleHint2"/><span color="#ee4735">通常护盾</>，被常规射击的普通子弹命中时，受到的伤害会大幅提升，萨特的各类弹幕攻击具有一定规律，熟悉规律后能轻松躲避！	0		
9107200_name	首领对策	0		
9107200_des	萨特召唤的波伏娃系统复制人在进行攻击后会自我销毁。	0		
9108100_name	首领对策	0		
9108100_des	刻耳柏洛斯的头部是<img src="icon.BattleHint4"/><span color="#ee4735">弱点部位</>，刻耳柏洛斯部署的全息无人机在进行攻击后会自我销毁，利用这点，接近并诱导他们进行攻击，可以加快战斗进程！	0		
9109100_name	首领对策	0		
9109100_des	爱思特拥有极高的机动性，对其施加眩晕效果或迟缓效果能使战斗更轻松！	0		
9110100_name	首领对策	0		
9110100_des	尤弥尔胸口的晶体物质是其<img src="icon.BattleHint4"/><span color="#ee4735">弱点部位</>，在尤弥尔召唤异化人时，可以通过跳跃装置前往其他平台，避免干扰。	0		
9110200_name	首领对策	0		
9110200_des	破坏尤弥尔的护盾后，尤弥尔会暴露出4个泰坦之核，可以通过跳跃装置接近并破坏泰坦之核！	0		
9111100_name	首领对策	0		
9111100_des	威尔麾下的跳棋小队非常擅长战斗，但晴-藏锋的常规技可以快速清理！威尔召唤跳棋小队组成的爆破方阵，期间请注意躲避！	0		
9112000_name	首领对策	0		
9112100_name	首领对策	0		
9112100_des	约瑟夫·顽骨在进行导弹齐射时，请尽快利用<span color="#ee4735">掩体</>进行躲避，但掩体是可破坏的，需要时刻关注其物坚值。	0		
9112200_name	首领对策	0		
9112200_des	只有优先破坏约瑟夫·顽骨肩部两侧的武器模块和躯干部位的强化外甲，才能解除其无敌状态！	0		
9113100_name	首领对策	0		
9113100_des	尼亚尔有着可怕的<img src="icon.BattleHint2"/><span color="#ee4735">通常护盾</>，在其被破坏前需要尽量使用常规射击进行攻击。	0		
9113200_name	首领对策	0		
9113200_des	尼亚尔在使用技能时会暂时暴露出内部<span color="#ee4735">弱点</>，此时攻击能提升攻击效率！	0		
9114100_name	首领对策	0		
9114100_des	耶洛沙之泪的所有攻击命中队员时，会使队员的常规能量减少，请注意躲避！	0		
9114200_name	首领对策	0		
9114200_des	耶洛沙之泪的污染晶旋只能影响对应平台，可以通过跳跃装置前往其他平台进行躲避。	0		
9115100_name	首领对策	0		
9115100_des	派·纯净的当前生命降低到一定程度时，会吸收周围的<span color="#ee4735">数据修复球来回复生命</>，需要优先破坏数据修复球！\n队员接触派·纯净制造的<span color="#ee4735">记忆修复涡流</>后造成的伤害会得到提升！	0		
9116100_name	首领对策	0		
9116100_des	初诞的沃坦在攻击命中天启者时，会<span color="#ee4735">吸取大量常规能量</>，来放置1个往世虚瞳、现世虚瞳或来世虚瞳，一段时间后会爆炸，且不同的虚瞳爆炸后的效果不同。	0		
9116200_name	首领对策	0		
9116200_des	在新恒提罗内时，初诞的沃坦有着更为可怕的生命力！\n初诞的沃坦在濒临死亡时会进入真神形态，其攻击方式会更加多样。	0		
9117100_name	首领对策	0		
9117100_des	极夜幽影使用“腐浆之壶”清除自身已有的负面效果并获得“千年腐能”，拥有“千年腐能”时，技能将得到强化！<span color="#ee4735">破坏部位</>能打断其非转阶段的饮用行为。	0		
9117200_name	首领对策	0		
9117200_des	极夜幽影有4个<span color="#ee4735">可破坏部位</>，被破坏后会掉落“沉梦萃汁”，队员拾取后会获得“沉梦”状态：生命持续减少，<span color="#ee4735">快速回复常规能量</>。	0		
9118100_name	首领对策	0	DLC2.2—主线BOSS关小攻略标题	
9118100_des	尘白恶魔号展开恶魔力场盾时会清除自身负面效果，恶魔力场盾会降低其所受伤害。将其破坏后可使尘白恶魔号暂时失去行动能力并暴露出<span color="#ee4735">能源核心</>。	0	DLC2.2—主线BOSS关小攻略	
9119100_name	首领对策	0	DLC2.3—主线BOSS关小攻略标题	
9119100_des	玉节天龙会周期性潜入地下，期间不会受到任何伤害，同时会修复自身可破坏部位。\n玉节天龙颈部部分护甲是可破坏部位，将其破坏后可使玉节天龙暂时失去行动能力并暴露出<span color="#ee4735">口中驱动中枢舱</>，期间队员的耐力回复速度提升。	0	DLC2.3—主线BOSS关小攻略	
9120100_name	首领对策	0	DLC2.4—主线BOSS关小攻略标题	
9120100_des	食夜影兽擅长使用臂刃和尾部进行强力的近距离攻击，且会从远处或攀墙对我方队员发起冲撞攻击。\n诱导食夜影兽<span color="#ee4735">冲撞向场景中的石柱</>可使其一定时间内失去行动能力。	0	DLC2.4—主线BOSS关小攻略	
9121100_name	首领对策	0	DLC2.5—主线BOSS关小攻略标题	
9121100_des	舍塔无正觉的“慈”、“怒”两个形态各自统御地面两个区域，每次形态转换一段时间后，与场上形态相反的区域会释放信念干扰波，若队员处于该区域内会持续受到伤害，且造成的伤害降低。	0	DLC2.5—主线BOSS关小攻略	
9122100_name	首领对策	0	DLC2.6—主线BOSS关小攻略标题	
9122100_des	墨菲斯·徒花时而会召唤仆从，并附身其中，攻击<span color="#ee4735">被附身的仆从</>可对其造成更多伤害。墨菲斯·徒花会将队员拉入异梦迷宫，仔细观察周遭才可找到出路，成功脱出该空间后可使墨菲斯·徒花一定时间内失去行动能力。	0	DLC2.6—主线BOSS关小攻略	
9123100_name	首领对策	0	DLC2.7—主线BOSS关小攻略标题	
9123100_des	海底观测者会在战斗中召唤卫城一型机兵和卫城二型机兵，将场上所有机兵击败后才可解除海底观测者的无敌状态。\n海底观测者拥有全新的<span color="#ee4735">能质护盾</>，此类护盾有别于通常护盾，受到的技能伤害会大幅提升。\n海底观测者会在生命较低时使用蓄力全场地技能，需要及时进入场上的防护装置才能躲避。	0	DLC2.7—主线BOSS关小攻略	
9124100_name	首领对策	0	DLC2.7—噬神斗场透墨索斯·白热化小攻略标题	
9124100_des	透墨索斯的星星气球炸弹被队员击破后，会释放正义火花追踪攻击透墨索斯，并对其施加易伤效果。\n但若是星星气球炸弹未被击破，掉落至地面后会释放诡异火花追踪攻击场上队员。	0	DLC2.7—噬神斗场透墨索斯·白热化小攻略	
9125100_name	首领对策	0	DLC2.8—噬神斗场尼亚尔·磐石小攻略标题	
9125100_des	尼亚尔·磐石会主动破坏自身外甲，随后连续使用多种技能进行攻击，期间队员对其造成的伤害提升。	0	DLC2.8—噬神斗场尼亚尔·磐石小攻略	
9126100_name	首领对策	0	DLC2.8—主线BOSS关小攻略标题	
9126100_des	噬孽机·卡律布狄斯会间歇性潜入水中，操控触腕无人机和飞鱼无人机进行攻击，<span color="#c25c02">此时每击败1个无人机都会对噬孽机·卡律布狄斯造成固定伤害，若击败所有无人机则使其重新浮出水面且一定时间内失去行动能力。</>\n噬孽机·卡律布狄斯降低一定生命后，会撞击桥面使其断裂。\n噬孽机·卡律布狄斯进行蓄力攻击时，直接进行攻击可打断其蓄力，并使其进入内部过载状态，若完成蓄力则会发射海啸集束炮。	0	DLC2.8—主线BOSS关小攻略	
9127100_name	首领对策	0	DLC3.0—主线BOSS关文明守护者小攻略标题	
9127100_des	文明守护者会依次出击，当4个文明守护者分别被击败后，每个文明守护者会依次进行攻击，然后共同蓄力准备使用文明轰鸣，在每个文明守护者单独攻击时会暴露其弱点部位，击破任一均可降低文明轰鸣的伤害，若全部都击破，则使文明守护者们一定时间内失去行动能力。	0	DLC3.0—主线BOSS关文明守护者小攻略	
9128100_name	首领对策	0	DLC3.0—噬神斗场派·纯净小攻略标题	
9128100_des	战斗中派·纯净会不断操控异化人攻击，击败异化人也会获得<span color="#ee4735">测评分数</>！	0	DLC3.0—噬神斗场派·纯净小攻略	
9129100_name	首领对策	0	DLC3.1—噬神斗场墨菲斯·徒花小攻略标题	
9129100_des	墨菲斯·徒花会周期性进行远程攻击，但不再利用仆从和异梦迷宫脱身。	0	DLC3.1—噬神斗场墨菲斯·徒花小攻略	
9130100_name	首领对策	0	DLC3.1—主线BOSS关小攻略标题	
9130100_des	米拉·猩红武装会在转换第二阶段时使用同化血清来<span color="#ee4735">清除队员施加于米拉·猩红武装的负面效果</>，进入第二阶段后，也会间歇性使用同化血清，还会使用催化血雾同时会为自身和队员都施加【循血】效果：<span color="#ee4735">持续失去生命，对敌方造成伤害时会回复生命</>。	0	DLC3.1—主线BOSS关小攻略标题	
9131100_name	首领对策	0	DLC3.2—主线BOSS关小攻略标题	
9131100_des	SpH-L12·孢子态进行攻击会积攒孢子素，过量孢子素会导致队员过敏，看见的SpH-L12会变成幽语者形态，该形态下进行攻击会损耗孢子素，耗尽后会释放1次炫梦孢子炮，随后再次变回孢子态。\nSpH-L12布置在地面的孢子雾沼可以被高热类型射击破坏掉。\nSpH-L12·幽语者的炫梦孢子炮可以被击破，高热类型攻击对其伤害更高。	0	DLC3.2—主线BOSS关小攻略标题	
9132100_name	首领对策	0	DLC3.2—主线序章BOSS关小攻略标题	
9132100_des	埃吉尔会使用尾部进行近身攻击，并伴有堕尘冰尖，且会使用多种方式进行远程攻击，第二阶段还会制造大范围冰棱冻雨。	0	DLC3.2—主线序章BOSS关小攻略标题	
9133100_name	首领对策	0	DLC3.3—主线boss第一关小攻略标题	
9133100_des	起源物种一开始会使用尾部、翅膀、头部进行近身攻击，且会使用多种方式进行远程攻击。起源物种具备极强的恢复能力，将其击败一定次数后才能结束战斗。	0	DLC3.3—主线boss第一关小攻略标题	
9134100_name	首领对策	0	DLC3.3—主线boss第2关小攻略标题	
9134100_des	起源物种·进化之终在使用进化凝光刃进行近身攻击的同时会发射弹幕，还会从空中对地面进行大范围轰炸。	0	DLC3.3—主线boss第2关小攻略标题	
9135100_name	首领对策	0	DLC3.4—主线boss关小攻略标题	
9135100_des	西西弗斯会在狡羽形态和徒腕形态之间切换，切换前会使用转阶段技能【戏神之罚】和【逆神之役】造成全屏伤害，在西西弗斯该技能的蓄力期间对其造成伤害可以打断祂使用【戏神之罚】和【逆神之役】。\n西西弗斯会对自己施加【无尽神憎】效果：自身攻击力提升，但受到特异类型伤害提升。	0	DLC3.4—主线boss关小攻略	
9136100_name	首领对策	0	DLC3.4—冬日接力赛小攻略标题	
9136100_des	本次作战敌人具备复数生命条，最大生命值为所有生命条上限的总和，当前生命值为剩余生命条的总和；在敌人所有生命条被消耗完之前，不会被击败。	0	DLC3.4—冬日接力赛boss关小攻略	
9137100_name	首领对策	0	DLC3.5—主线boss关小攻略标题	
9137100_des	阿帕忒擅长使用各种虚构言灵进行远程攻击，还会召唤阿帕忒之影辅助自己战斗；阿帕忒的部分虚构言灵是可破坏的，直接攻击便可将其破坏。\n阿帕忒会在第二阶段化身为阿帕忒·真神降临，且处于无敌状态，当阿帕忒·真神降临存在一段时间后会解除无敌状态，也可通过破坏阿帕忒·真神降临的自白沙漏来提前解除其无敌状态。	0	DLC3.5—主线boss关小攻略	
9138100_name	首领对策	0	DLC3.6—主线boss关小攻略	
9138100_des	神座·狐相在生命较低时会进入【炎嗔】状态，使用【炽源狐啸】持续长时间对全区域持续进行能量冲击，期间对场上队员造成无法躲避的伤害，该技能施展期间场上队员不会倒下，但当前生命减少至1，此时请尽快击败神座·狐相，若未能击败则神座·狐相每隔一段时间使用1次【炽源狐啸】。	0	DLC3.6—主线boss关小攻略	
