唯一ID	备注	StandbyId	镜头资产	动作循环ID（对应DT_InteractionLoopAnimSeqConfig)	对应镜头的基础standID	对应镜头的基础FaceID	镜头模式(1代表分析员中心镜头；2代表角色中心镜头）	镜头移动参数【如果是模式1：{{镜头左角度，镜头右角度},镜头上角度,镜头下角度},{半径}（可不填，填了也不生效）}】【如果是模式2：{{镜头左角度，镜头右角度},{上距,下距,模式(1上下移动 2中心上下旋转)},{半径,距离曲线}}】	阻尼曲线资产{左右公用一个，上下公用一个}·靠近镜头最大最小值时的阻挡感，x距离y倍率）	速度曲线资产{左右公用一个，上下公用一个}·玩家输入速度与实际移动速度 x玩家输入速度y倍率）	回弹曲线表{{左右的0x距离y倍率，左右的x速度y倍率,左右的x时间y倍率}}，{{上下的倍率距离+上下的速度时间，上下的x时间y倍率}}·松手后的回弹效果	UI对应BOX	UI对应鼠标样式	UI延迟出现时间	是否需要自动播放与跳过（空白 默认都不要；1自播，2跳过；格式：{1,2}）	人物actor	是否出现和谐圣光	是否出现置顶静态图素（默认不填，当前场景不显示静态图；需要才填路径名称，对应resourceID）	引导中隐藏指引	重置BGM
24	茉莉安幽潮-泳装待机pose1	{5}	/Game/Cinematics/girl005b_02_manifestation/Sequence/girl005b_02_ma_show_stand01_Master.girl005b_02_ma_show_stand01_Master		/Game/Characters/Girl/girl005b_02/Anim/manifestation/girl005b_02_ma_show_stand01.girl005b_02_ma_show_stand01	/Game/Characters/Girl/girl005b_02/AnimPart00/manifestation/girl005b_02_ma_show_stand01.girl005b_02_ma_show_stand01	{2}	{{2,2},{3,2},{10}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{708,15,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"}}	{{708,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"}}			girl005b_02_ma_show_stand01				
25	茉莉安幽潮-泳装待机pose2	{6}	/Game/Cinematics/girl005b_02_manifestation/Sequence/girl005b_02_ma_show_stand02_Master.girl005b_02_ma_show_stand02_Master		/Game/Characters/Girl/girl005b_02/Anim/manifestation/girl005b_02_ma_show_stand01.girl005b_02_ma_show_stand02	/Game/Characters/Girl/girl005b_02/AnimPart00/manifestation/girl005b_02_ma_show_stand01.girl005b_02_ma_show_stand02	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{704,14,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"},{705,14,"uw_girlroom_touch"}}	{{704,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"},{705,"uw_girlroom_mouse"}}			girl005b_02_ma_show_stand02				
26	茉莉安幽潮-泳装待机pose3	{7}	/Game/Cinematics/girl005b_02_manifestation/Sequence/girl005b_02_ma_show_stand03_Master.girl005b_02_ma_show_stand03_Master		/Game/Characters/Girl/girl005b_02/Anim/manifestation/girl005b_02_ma_show_stand01.girl005b_02_ma_show_stand03	/Game/Characters/Girl/girl005b_02/AnimPart00/manifestation/girl005b_02_ma_show_stand01.girl005b_02_ma_show_stand03	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{704,15,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"},{705,15,"uw_girlroom_touch"}}	{{704,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"},{705,"uw_girlroom_mouse"}}			girl005b_02_ma_show_stand03				
27	辰星恒约pose1	{1,2,3,4}	/Game/Cinematics/girl014b_02_manifestation/Sequence/girl014b_02_ma_standby_stand01_Master.girl014b_02_ma_standby_stand01_Master		/Game/Characters/Girl/girl014b_02/Anim/manifestation/girl014b_02_ma_standby_stand01.girl014b_02_ma_standby_stand01	/Game/Characters/Girl/girl014b_02/AnimPart00/manifestation/girl014b_02_ma_standby_stand01.girl014b_02_ma_standby_stand01	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl014b_02_ma_standby_stand01			1	
28	辰星恒约pose2	{5}	/Game/Cinematics/girl014b_02_manifestation/sequence/girl014b_02_ma_show_stand01_Master.girl014b_02_ma_show_stand01_Master		/Game/Characters/Girl/girl014b_02/Anim/manifestation/girl014b_02_ma_show_stand01.girl014b_02_ma_show_stand01	/Game/Characters/Girl/girl014b_02/AnimPart00/manifestation/girl014b_02_ma_show_stand01.girl014b_02_ma_show_stand01	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl014b_02_ma_show_stand01			1	
29	辰星恒约pose3	{6}	/Game/Cinematics/girl014b_02_manifestation/sequence/girl014b_02_ma_show_stand02_Master.girl014b_02_ma_show_stand02_Master		/Game/Characters/Girl/girl014b_02/Anim/manifestation/girl014b_02_ma_show_stand02.girl014b_02_ma_show_stand02	/Game/Characters/Girl/girl014b_02/AnimPart00/manifestation/girl014b_02_ma_show_stand02.girl014b_02_ma_show_stand02	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl014b_02_ma_show_stand02	{{715,1,"Bone_body01","uw_girlroom_peace"},{717,1,"Bone_body01","uw_girlroom_peace"}}		1	
30	辰星恒约pose4	{7}	/Game/Cinematics/girl014b_02_manifestation/sequence/girl014b_02_ma_show_stand03_Master.girl014b_02_ma_show_stand03_Master		/Game/Characters/Girl/girl014b_02/Anim/manifestation/girl014b_02_ma_show_stand03.girl014b_02_ma_show_stand03	/Game/Characters/Girl/girl014b_02/AnimPart00/manifestation/girl014b_02_ma_show_stand05.girl014b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl014b_02_ma_show_stand03	{{707,1,"Bip001-Spine","uw_girlroom_peace"}}		1	
31	辰星恒约告白	{11}	/Game/Cinematics/girl014b_02_manifestation/sequence/girl014b_02_ma_love_01_Master.girl014b_02_ma_love_01_Master		/Game/Characters/Girl/girl014b_02/Anim/manifestation/girl014b_02_ma_love_idle01.girl014b_02_ma_love_idle01	/Game/Characters/Girl/girl014b_02/AnimPart00/manifestation/girl014b_02_ma_show_stand05.girl014b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}				{1,2}	girl014b_02_ma_love_idle01			1	1
32	辰星恒约送戒指	{8,9,10}	/Game/Cinematics/girl014b_02_manifestation/sequence/girl014b_02_ma_prop_Master.girl014b_02_ma_prop_Master		/Game/Characters/Girl/girl014b_02/Anim/manifestation/girl014b_02_ma_prop_idle01.girl014b_02_ma_prop_idle01	/Game/Characters/Girl/girl014b_02/AnimPart00/manifestation/girl014b_02_ma_show_stand05.girl014b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}				{2}	girl014b_02_ma_prop_idle01			1	
33	肴恒约pose1	{1,2,3,4}	/Game/Cinematics/girl010b_02_manifestation/Sequence/girl010b_02_ma_standby_stand01_Master.girl010b_02_ma_standby_stand01_Master		/Game/Characters/Girl/girl010b_02/Anim/manifestation/girl010b_02_ma_standby_stand01.girl010b_02_ma_standby_stand01	/Game/Characters/Girl/girl010b_02/AnimPart00/manifestation/girl010b_02_ma_standby_stand01.girl010b_02_ma_standby_stand01	{2}	{{6,6},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl010b_02_ma_standby_stand01				
34	肴恒约pose2	{5}	/Game/Cinematics/girl010b_02_manifestation/sequence/girl010b_02_ma_show_stand01_Master.girl010b_02_ma_show_stand01_Master		/Game/Characters/Girl/girl010b_02/Anim/manifestation/girl010b_02_ma_show_stand01.girl010b_02_ma_show_stand01	/Game/Characters/Girl/girl010b_02/AnimPart00/manifestation/girl010b_02_ma_show_stand01.girl010b_02_ma_show_stand01	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl010b_02_ma_show_stand01				
35	肴恒约pose3	{6}	/Game/Cinematics/girl010b_02_manifestation/sequence/girl010b_02_ma_show_stand02_Master.girl010b_02_ma_show_stand02_Master		/Game/Characters/Girl/girl010b_02/Anim/manifestation/girl010b_02_ma_show_stand02.girl010b_02_ma_show_stand02	/Game/Characters/Girl/girl010b_02/AnimPart00/manifestation/girl010b_02_ma_show_stand02.girl010b_02_ma_show_stand02	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl010b_02_ma_show_stand02	{{715,1,"Bone_body01","uw_girlroom_peace"},{717,1,"Bone_body01","uw_girlroom_peace"}}			
36	肴恒约pose4	{7}	/Game/Cinematics/girl010b_02_manifestation/sequence/girl010b_02_ma_show_stand03_Master.girl010b_02_ma_show_stand03_Master		/Game/Characters/Girl/girl010b_02/Anim/manifestation/girl010b_02_ma_show_stand03.girl010b_02_ma_show_stand03	/Game/Characters/Girl/girl010b_02/AnimPart00/manifestation/girl010b_02_ma_show_stand05.girl010b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}					girl010b_02_ma_show_stand03	{{707,1,"Bip001-Spine","uw_girlroom_peace"}}			
37	肴恒约告白	{11}	/Game/Cinematics/girl010b_02_manifestation/sequence/girl010b_02_ma_show_stand01_Master.girl010b_02_ma_show_stand01_Master		/Game/Characters/Girl/girl010b_02/Anim/manifestation/girl010b_02_ma_love_idle01.girl010b_02_ma_love_idle01	/Game/Characters/Girl/girl010b_02/AnimPart00/manifestation/girl010b_02_ma_show_stand05.girl010b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}				{1,2}	girl010b_02_ma_love_idle01				
38	肴恒约送戒指	{8,9,10}	/Game/Cinematics/girl010b_02_manifestation/sequence/girl010b_02_ma_show_stand01_Master.girl010b_02_ma_show_stand01_Master		/Game/Characters/Girl/girl010b_02/Anim/manifestation/girl010b_02_ma_prop_idle01.girl010b_02_ma_prop_idle01	/Game/Characters/Girl/girl010b_02/AnimPart00/manifestation/girl010b_02_ma_show_stand05.girl010b_02_ma_show_stand05	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}				{2}	girl010b_02_ma_prop_idle01				
39	妮塔pose1	{1,2,3,4}	/Game/Cinematics/girl003a_02_manifestation/Sequence/girl003a_02_ma_standby_stand01_Master.girl003a_02_ma_standby_stand01_Master		/Game/Characters/Girl/girl003a_02/Anim/manifestation/girl003a_02_ma_standby_stand01.girl003a_02_ma_standby_stand01	/Game/Characters/Girl/girl003a_02/AnimPart00/manifestation/girl003a_02_ma_standby_stand01.girl003a_02_ma_standby_stand01	{1}	{{6,6},{0,0}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{701,100,"uw_girlroom_touch"},{702,100,"uw_girlroom_touch",30},{703,100,"uw_girlroom_touch"}}	{{701,"uw_girlroom_mouse"},{702,"uw_girlroom_mouse",30},{703,"uw_girlroom_mouse"}}			girl003a_02_ma_standby_stand01				
40	妮塔pose2	{5}	/Game/Cinematics/girl003a_02_manifestation/Sequence/girl003a_02_ma_show_stand01_Master.girl003a_02_ma_show_stand01_Master		/Game/Characters/Girl/girl003a_02/Anim/manifestation/girl003a_02_ma_show_stand01.girl003a_02_ma_show_stand01	/Game/Characters/Girl/girl003a_02/AnimPart00/manifestation/girl003a_02_ma_show_stand01.girl003a_02_ma_show_stand01	{2}	{{2,2},{3,2},{10}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{708,15,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"}}	{{708,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"}}			girl003a_02_ma_show_stand01				
41	妮塔pose3	{6}	/Game/Cinematics/girl003a_02_manifestation/Sequence/girl003a_02_ma_show_stand02_Master.girl003a_02_ma_show_stand02_Master		/Game/Characters/Girl/girl003a_02/Anim/manifestation/girl003a_02_ma_show_stand01.girl003a_02_ma_show_stand02	/Game/Characters/Girl/girl003a_02/AnimPart00/manifestation/girl003a_02_ma_show_stand01.girl003a_02_ma_show_stand02	{2}	{{10,75},{60,10,2},{130,"Ma_Girl003a_01_distance"}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl003a_02_sequence01_sd_01","Ma_Girl003a_02_sequence01_sd_01"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{704,14,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"},{705,14,"uw_girlroom_touch"}}	{{704,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"},{705,"uw_girlroom_mouse"}}			girl003a_02_ma_show_stand02				
42	妮塔精灵pose4	{7}	/Game/Cinematics/girl003a_02_manifestation/Sequence/girl003a_02_ma_show_stand03_Master.girl003a_02_ma_show_stand03_Master		/Game/Characters/Girl/girl003a_02/Anim/manifestation/girl003a_02_ma_show_stand01.girl003a_02_ma_show_stand03	/Game/Characters/Girl/girl003a_02/AnimPart00/manifestation/girl003a_02_ma_show_stand01.girl003a_02_ma_show_stand03	{2}	{{12,12},{3,2},{100}}	{"Ma_Girl011a_02_sequence01_zn_01","Ma_Girl011a_02_sequence01_zn_02"}	{"Ma_Girl011a_02_sequence01_sd_01","Ma_Girl011a_02_sequence01_sd_02"}	{{"Ma_Girl011a_02_sequence01_htjl_01","Ma_Girl011a_02_sequence01_htsd_01","Ma_Girl011a_02_sequence01_htsj_01"},{"Ma_Girl011a_02_sequence01_htjl_02","Ma_Girl011a_02_sequence01_htsd_02","Ma_Girl011a_02_sequence01_htsj_02"}}	{{704,15,"uw_girlroom_touch"},{701,100,"uw_girlroom_touch"},{705,15,"uw_girlroom_touch"}}	{{704,"uw_girlroom_mouse"},{701,"uw_girlroom_mouse"},{705,"uw_girlroom_mouse"}}			girl003a_02_ma_show_stand03				
