 	关卡ID	备注	开启时间	结束时间	战区buff（调用buff表）	词条库id(调用entreisid)	ui场景模型（调用scenendata）	boss概念图	关卡概念图	关卡标题	关卡描述	对应任务奖励
3505	2548	一期战区一第5关	[202605080400]	[202605220400]	{2141}	{1001,1141,1241}	26	1804030	1801000	season_title_name1	season_level_des5	19005
3511	2501	一期战区二第1关	[202605150400]	[202605220400]	{2142}	{1142}	13	1804045	1801000	season_title_name2	season_level_des1	19016
3512	2511	一期战区二第2关	[202605150400]	[202605220400]	{2142}	{1142}	13	1804045	1801000	season_title_name2	season_level_des2	19017
3513	2521	一期战区二第3关	[202605150400]	[202605220400]	{2142}	{1142}	13	1804045	1801000	season_title_name2	season_level_des3	19018
3514	2531	一期战区二第4关	[202605150400]	[202605220400]	{2142}	{1142}	13	1804045	1801000	season_title_name2	season_level_des4	19019
3515	2541	一期战区二第5关	[202605150400]	[202605220400]	{2142}	{1001,1142,1242}	13	1804045	1801000	season_title_name2	season_level_des5	19020
3521	2609	二期战区一第1关	[202605220400]	[202606050400]	{2143}	{1143}	27	1804154	1801000	season_title_name1	season_level_des1	19011
3522	2619	二期战区一第2关	[202605220400]	[202606050400]	{2143}	{1143}	27	1804154	1801000	season_title_name1	season_level_des2	19012
3523	2629	二期战区一第3关	[202605220400]	[202606050400]	{2143}	{1143}	27	1804154	1801000	season_title_name1	season_level_des3	19013
3524	2639	二期战区一第4关	[202605220400]	[202606050400]	{2143}	{1143}	27	1804154	1801000	season_title_name1	season_level_des4	19014
3525	2649	二期战区一第5关	[202605220400]	[202606050400]	{2143}	{1001,1143,1243}	27	1804154	1801000	season_title_name1	season_level_des5	19015
3531	2606	一期战区二第1关	[202605290400]	[202606050400]	{2144}	{1144}	28	1804163	1801000	season_title_name2	season_level_des1	19016
3532	2616	一期战区二第2关	[202605290400]	[202606050400]	{2144}	{1144}	28	1804163	1801000	season_title_name2	season_level_des2	19017
3533	2626	一期战区二第3关	[202605290400]	[202606050400]	{2144}	{1144}	28	1804163	1801000	season_title_name2	season_level_des3	19018
3534	2636	一期战区二第4关	[202605290400]	[202606050400]	{2144}	{1144}	28	1804163	1801000	season_title_name2	season_level_des4	19019
3535	2646	一期战区二第5关	[202605290400]	[202606050400]	{2144}	{1001,1144,1244}	28	1804163	1801000	season_title_name2	season_level_des5	19020
												
3701	2603	噬神斗场·生域（战区一）第1关	[202606190400]	[202607030400]	{2145}	{1145}	12	1804196	1801000	season_title_name1	season_level_des1	19001
3702	2613	噬神斗场·生域（战区一）第2关	[202606190400]	[202607030400]	{2145}	{1145}	12	1804196	1801000	season_title_name1	season_level_des2	19002
3703	2623	噬神斗场·生域（战区一）第3关	[202606190400]	[202607030400]	{2145}	{1145}	12	1804196	1801000	season_title_name1	season_level_des3	19003
3704	2633	噬神斗场·生域（战区一）第4关	[202606190400]	[202607030400]	{2145}	{1145}	12	1804196	1801000	season_title_name1	season_level_des4	19004
3705	2643	噬神斗场·生域（战区一）第5关	[202606190400]	[202607030400]	{2145}	{1001,1145,1245}	12	1804196	1801000	season_title_name1	season_level_des5	19005
3711	2601	噬神斗场·生域（战区二）第1关	[202606260400]	[202607030400]	{2146}	{1146}	9	1804166	1801000	season_title_name2	season_level_des1	19006
3712	2611	噬神斗场·生域（战区二）第2关	[202606260400]	[202607030400]	{2146}	{1146}	9	1804166	1801000	season_title_name2	season_level_des2	19007
3713	2621	噬神斗场·生域（战区二）第3关	[202606260400]	[202607030400]	{2146}	{1146}	9	1804166	1801000	season_title_name2	season_level_des3	19008
3714	2631	噬神斗场·生域（战区二）第4关	[202606260400]	[202607030400]	{2146}	{1146}	9	1804166	1801000	season_title_name2	season_level_des4	19009
3715	2641	噬神斗场·生域（战区二）第5关	[202606260400]	[202607030400]	{2146}	{1001,1146,1246}	9	1804166	1801000	season_title_name2	season_level_des5	19010
3721	2506	噬神斗场·冥域（战区一）第1关	[202607030400]	[202607170400]	{2147}	{1147}	3	1804066	1801000	season_title_name1	season_level_des1	19011
3722	2516	噬神斗场·冥域（战区一）第2关	[202607030400]	[202607170400]	{2147}	{1147}	3	1804066	1801000	season_title_name1	season_level_des2	19012
3723	2526	噬神斗场·冥域（战区一）第3关	[202607030400]	[202607170400]	{2147}	{1147}	3	1804066	1801000	season_title_name1	season_level_des3	19013
3724	2536	噬神斗场·冥域（战区一）第4关	[202607030400]	[202607170400]	{2147}	{1147}	3	1804066	1801000	season_title_name1	season_level_des4	19014
3725	2546	噬神斗场·冥域（战区一）第5关	[202607030400]	[202607170400]	{2147}	{1001,1147,1247}	3	1804066	1801000	season_title_name1	season_level_des5	19015
3731	2702	噬神斗场·冥域（战区二）第1关	[202607100400]	[202607170400]	{2148}	{1148}	25	1804225	1801000	season_title_name2	season_level_des1	19016
3732	2712	噬神斗场·冥域（战区二）第2关	[202607100400]	[202607170400]	{2148}	{1148}	25	1804225	1801000	season_title_name2	season_level_des2	19017
3733	2722	噬神斗场·冥域（战区二）第3关	[202607100400]	[202607170400]	{2148}	{1148}	25	1804225	1801000	season_title_name2	season_level_des3	19018
3734	2732	噬神斗场·冥域（战区二）第4关	[202607100400]	[202607170400]	{2148}	{1148}	25	1804225	1801000	season_title_name2	season_level_des4	19019
3735	2742	噬神斗场·冥域（战区二）第5关	[202607100400]	[202607170400]	{2148}	{1001,1148,1248}	25	1804225	1801000	season_title_name2	season_level_des5	19020
