ID	期数	是否在图鉴显示（1表示显示，不填表示不显示）	流派类型	是否是无尽buff	备注		名称	描述中的数值	描述	图标	关卡增益ID	Level等级	备注
161	2	1	6		蓄能尖笋	鹰眼竹笋特工每次击败敌方目标，攻击力提升{1}%，效果可叠加，最高提升{2}%	farmwar.farmwar_benefitname_98	{25,100}	farmwar.farmwar_benefitdes_98	4820000	100054	1	鹰眼竹笋每次击杀敌人攻击力提高 5%，最多100%
162	2	1	3		凛冬已至	凛冽竹笋特工对处于冰冻状态下的敌方目标造成的伤害提升{1}%	farmwar.farmwar_benefitname_99	{100}	farmwar.farmwar_benefitdes_99	4820000	100055	1	凛冽竹笋攻击冰冻状态下的敌人伤害 提高 60%
163	2	1	3		凛风行动	凛冽竹笋特工的攻击冷却时间降低{1}%	farmwar.farmwar_benefitname_100	{20}	farmwar.farmwar_benefitdes_100	4820003	100056	1	凛冽竹笋特工的攻击冷却时间降低20%
164	2	1	5		子藕岸防炮	莲藕要塞安保在无飞行单位时，也会攻击地面单位	farmwar.farmwar_benefitname_101		farmwar.farmwar_benefitdes_101	4820013	100057	1	莲藕无飞行单位时也会攻击地面单位
165	2	1	5		顶芽式雷达	莲藕要塞安保的索敌范围增加{1}%	farmwar.farmwar_benefitname_102	{30}	farmwar.farmwar_benefitdes_102	4820008	100058	1	莲藕提高攻击范围 10%
166	2	1	5		藕节超载	莲藕要塞安保的攻击命中敌方目标时，有{1}%概率将造成的伤害提升{2}%	farmwar.farmwar_benefitname_103	{50,100}	farmwar.farmwar_benefitdes_103	4820000	100059	1	莲藕有15%概率造成伤害提升200%（全伤害提升）
167	2	1	5		蓄能藕瓜	莲藕要塞安保每击败1个敌方目标，攻击力提升{1}%，效果可叠加，最高提升{2}%	farmwar.farmwar_benefitname_104	{25,100}	farmwar.farmwar_benefitdes_104	4820000	100060	1	莲藕每次击杀敌人攻击力提高 5%，最多100%
168	2	1	1		魔导新秀	各类紫茄魔导的攻击力提升{1}%	farmwar.farmwar_benefitname_105	{10}	farmwar.farmwar_benefitdes_105	4820000	100061	1	紫茄提高攻击力 10%
169	2	1	1		魔导新秀	各类紫茄魔导的攻击力提升{1}%	farmwar.farmwar_benefitname_106	{20}	farmwar.farmwar_benefitdes_106	4820000	100061	2	紫茄提高攻击力 20%
170	2	1	1		魔导新秀	各类紫茄魔导的攻击力提升{1}%	farmwar.farmwar_benefitname_107	{40}	farmwar.farmwar_benefitdes_107	4820000	100061	3	紫茄提高攻击力 30%
171	2	1	7		紫茄大贤杖	紫茄大贤者的普通攻击可击退敌方目标{1}米	farmwar.farmwar_benefitname_108	{1}	farmwar.farmwar_benefitdes_108	4820008	100062	1	紫茄贤者普通攻击也能击退敌人1m
172	2	1	7		紫茄大贤石	紫茄大贤者造成的普通攻击伤害提升{1}%	farmwar.farmwar_benefitname_109	{80}	farmwar.farmwar_benefitdes_109	4820000	100063	1	紫茄贤者普通攻击伤害提升20%
173	2	1	7		审判光束	紫茄魔导队长的超级光束和绝杀光束造成的伤害提升{1}%	farmwar.farmwar_benefitname_110	{60}	farmwar.farmwar_benefitdes_110	4820000	100064	1	紫茄队长超级攻击和绝杀的伤害提升15%
174	2	1	7		生物质回收	紫茄魔导队长击败敌方目标时，回复{1}麻辣能量	farmwar.farmwar_benefitname_111	{30}	farmwar.farmwar_benefitdes_111	4820007	100065	1	紫茄队长击败敌人回复辣椒能量 25点
175	2	1		1	燃起来辣	所有敌方目标受到的灼烧伤害提升{1}%	farmwar.farmwar_benefitname_112	{100}	farmwar.farmwar_benefitdes_112	4820005	100066	1	所有敌人受到灼烧伤害增加15%
176	2	1		1	冷风刺骨	迟缓状态下的敌方目标，受到伤害提升{1}%，如果其处于冰冻状态，受到伤害提升{2}%	farmwar.farmwar_benefitname_113	{50,100}	farmwar.farmwar_benefitdes_113	4820000	100067	1	迟缓状态下的敌人受到伤害增加 10%，冰冻状态下增加 20%
177	2	1		1	完美主义	蔬菜伙伴的生命为{1}%时，受到伤害降低{2}%；蔬菜伙伴的生命未到{3}%，则每秒回复{4}%的最大生命	farmwar.farmwar_benefitname_114	{100,50,100,1}	farmwar.farmwar_benefitdes_114	4820001	100068	1	蔬菜生命值满时，受到伤害降低60%，未满时，每秒回复0.5%
178	2	1		1	质变进化	蔬菜伙伴的攻击力超过{1}时，有{2}%概率将造成的伤害提升{3}%	farmwar.farmwar_benefitname_115	{128,50,200}	farmwar.farmwar_benefitdes_115	4820000	100069	1	蔬菜当前的攻击力超过40000时，有25%概率伤害提高400%
179	2	1		1	再部署	蔬菜伙伴的种植冷却时间减少{1}%，移除时，返还{2}%的麻辣能量消耗	farmwar.farmwar_benefitname_116	{80,80}	farmwar.farmwar_benefitdes_116	4820002	100070	1	蔬菜CD降低80%，被铲除后返回种植时80%的能量
181	2	0			黑夜	种植蔬菜伙伴需要耗费更大的精力。种植蔬菜伙伴的麻辣能量消耗提升{1}%	farmwar.farmwar_benefitname_117	{50}	farmwar.farmwar_benefitdes_117		190003	1	辣椒产出能量获取降低15%
182	2	0			降雪	种植蔬菜伙伴的麻辣能量消耗提升{1}%	farmwar.farmwar_benefitname_118	{30}	farmwar.farmwar_benefitdes_118		190004	1	蔬菜的价格提升15%
