任务组分页ID	任务ID（注意：任务ID不能超过65500）	任务排序分组	刷新规则(不配置为不刷新 1为每日刷新 2为每周刷新 3特殊刷新时间,单位天 4每周定期刷新)	//备注	分页名	任务名	任务介绍	任务或成就图标	标签{"颜色ID","表.key"})	排序	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	奖励列表	开始时间,格式	结束时间，格式同开始时间	每周定期刷新	跳转界面	跳转参数	条件跳转	背景图	背景SPINE	地区限制目前可填：0国内外,1国内,2海外
4	343			【区域1】中拥有2栋达到16级的建筑		vircapture.task_name_20	vircapture.task_desc_20_9					1	312	2	{326,1,16}	{{4,3,2,1,20},{5,6,1,2,1}}									
4	344			【区域2】中拥有1栋达到4级的建筑		vircapture.task_name_20	vircapture.task_desc_20_10					1	312	1	{326,2,4}	{{4,3,2,1,10},{4,1,6,8,15000}}									
4	345			【区域2】中拥有2栋达到4级的建筑		vircapture.task_name_20	vircapture.task_desc_20_10					1	312	2	{326,2,4}	{{4,3,2,1,10},{4,1,6,8,15000}}									
4	346			【区域2】中拥有2栋达到8级的建筑		vircapture.task_name_20	vircapture.task_desc_20_11					1	312	2	{326,2,8}	{{4,3,2,1,10},{4,1,6,8,30000}}									
4	347			【区域2】中拥有2栋达到12级的建筑		vircapture.task_name_20	vircapture.task_desc_20_12					1	312	2	{326,2,12}	{{4,3,2,1,20},{5,6,1,2,1}}									
4	348			【区域3】中拥有2栋达到4级的建筑		vircapture.task_name_20	vircapture.task_desc_20_13					1	312	2	{326,3,4}	{{4,3,2,1,10},{4,1,6,8,15000}}									
4	349			【区域3】中拥有2栋达到8级的建筑		vircapture.task_name_20	vircapture.task_desc_20_14					1	312	2	{326,3,8}	{{4,3,2,1,20},{5,6,1,2,1}}									
4	350			【区域4】中拥有2栋达到4级的建筑		vircapture.task_name_20	vircapture.task_desc_20_15					1	312	2	{326,4,4}	{{4,3,2,1,20},{5,6,1,2,1}}									
4	351			在蓝图岛内，累计钓鱼2次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	2	{326}	{{4,3,1,1,2000},{4,1,6,41,3}}									
4	352			在蓝图岛内，累计钓鱼4次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	4	{326}	{{4,3,1,1,4000},{4,1,6,41,3}}									
4	353			在蓝图岛内，累计钓鱼6次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	6	{326}	{{4,3,2,1,10},{4,1,6,41,3}}									
4	354			在蓝图岛内，累计钓鱼8次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	8	{326}	{{4,3,1,1,8000},{4,1,6,41,3}}									
4	355			在蓝图岛内，累计钓鱼10次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	10	{326}	{{4,3,1,1,10000},{4,1,6,41,3}}									
4	356			在蓝图岛内，累计钓鱼12次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	12	{326}	{{4,3,1,1,12000},{4,1,6,41,3}}									
4	357			在蓝图岛内，累计钓鱼14次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	14	{326}	{{4,3,1,1,14000},{4,1,6,41,3}}									
4	358			在蓝图岛内，累计钓鱼16次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	16	{326}	{{4,3,2,1,10},{4,1,6,41,3}}									
4	359			在蓝图岛内，累计钓鱼18次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	18	{326}	{{4,3,1,1,18000},{4,1,6,41,3}}									
4	360			在蓝图岛内，累计钓鱼20次		vircapture.task_name_21	vircapture.task_desc_21_1					1	314	20	{326}	{{4,3,1,1,20000},{4,1,6,41,3}}									
